;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
IOSense Rotterdam B.V.;2;;;;2
IPR Vastgoedmanagement B.V.;1;;;;1
Isocool N.V.;4;;;;4
ISS Integrated Facility Services B.V.;1;;;;1
ITH Kozijn & Geveltechniek B.V.;1;;;;1
ITN Installatietechniek B.V.;6;;;;6
Ivast B.V.;;;;5;5
Iv-Bouw B.V.;2;;;;2
J. Monsma Holding B.V.;3;;;;3
J. van Esch B.V.;7;;;;7
J.E. van Reekum, restauratie metalen kunstv.;2;;;;2
J.H. Oosterbeek Milieu en Asbest B.V.;1;;;;1
Jabor Advies B.V.;1;;;;1
Jac Ruijters Schildersbedrijf B.V.;2;;;;2
Jac. Boiten B.V.;4;;;;4
Jacot Audiovisueel Rental B.V.;1;;;;1
James Twiss Classic Cars and Spares;;;;3;3
James Watt Leisure B.V.;1;;;;1
Jan Couwenberg Architectuur;;;;1;1
Jan de Wit Autocars N.V.;1;;;;1
Jan van Limborgh Afbouw;1;;;;1
Jannink Nijverdal B.V.;5;;;;5
Jansma en Van Dijk B.V.;2;;;;2
Javeland Consultancy;2;;;;2
JAWS Amsterdam;;;5;;5
Jelsma Koelma Netwerk Notarissen;;;;1;1
Jet Dock Systems, inc.;2;;;;2
Jimmink Kolhorn B.V.;2;;;;2
Jo Painting Curaçao;;;;2;2
John's Handyman Services;1;;;;1
Johnson Controls Systems & Service B.V.;3;;;;3
Jongerenplatform Young & Connected B.V.;1;;;;1
Jongsma Advies;1;;;;1
Jo-painting & Maintenance N.V.;4;;;;4
Jos Scholman Groen B.V.;6;;;2;6
Josef Beermann GmbH & Co. KG;1;;;;1
Josefien & co;1;;;;1
Joss B.V.;;;;3;3
Joulz Infradiensten B.V.;5;;;1;5
Joulz Meetbedrijf B.V.;1;;;;1
JOVI Investments Events & Business Company II;;1;;5;5
JP Enterprises;3;;;;3
Jungheinrich Nederland B.V.;1;;;;1
Junior Construction;4;;;;4
Jurriëns Midden B.V.;7;;;;7
Jurriëns Noord;6;;;;6
Jurry Projects;2;;;;2
JW Onroerend Goed B.V.;;;;2;2
K & M Search to Connect B.V.;1;;;;1
K_Dekker bouw & infra B.V.;4;;;;4
K+ Adviesgroep;1;;;1;1
Kadanz;2;;;;2
Kalisvaart Technisch Beheer B.V.;2;;;;2
Kalkhoven Den Haag B.V.;;;;1;1
Kalsbeek B.V.;3;;;;3
Kamber asbest saneren;6;;;;6
Kanhai Onderhoud Service;1;;;;1
Kantelingen B.V.;1;;;;1
Kapulanthis B.V.;;1;;6;6
Karcher B.V.;3;;;;3
Karpinteria & Pintura El Caribe B.V.;2;;;;2
Karres en Brands Landschapsarchitecten B.V.;3;;;;3
K-atelier;1;;;;1
Kemkens Utiliteit B.V.;4;;;;4
Kemtec B.V.;1;;;;1
Kennelbouw Exclusief V.O.F.;3;;;;3
Kennis van Pompen B.V.;2;;;;2
Kenter;1;;;1;1
Kerssens Luchtbehandeling B.V.;2;;;;2
Kessels & Smit, Development Centers B.V.;2;;;;2
KG Parkmanagement B.V.;1;;;;1
KH Engineering B.V.;1;;;;1
Kilowatt Electrical Company N.V.;2;;;;2
KIM Plus Delta B.V.;1;;;4;4
Kiwa KOAC;2;;;;2
KIWI vastgoed en facility management;2;;;;2
Klaver Technisch Bedrijf B.V.;;;;2;2
Klein Klaus GMBH;2;;;;2
Klein Poelhuis Emmeloord B.V.;7;;;;7
Klijsen makelaardij onroerend goed B.V.;;;;1;1
Klimaatservice Holland B.V.;1;;;;1
Klima-Comp;1;;;;1
Klimwandspecialist;7;;;;7
Klinge Holding B.V.;1;;;;1
Klink-Nijland Gww Raalte B.V.;3;;;;3
Kloet Vlaardingen B.V.;6;;;;6
Kloosterboer Interieur B.V.;2;;;;2
Kloppenburg Beheer B.V.;1;;;;1
Klotz Bedrijfshuisvesting;1;;;;1
Klussenbedrijf Kastenberg;1;;;;1
KM Engineering & Management;2;;;;2
Knipscheer Infrastructuur B.V.;3;;;;3
Knol Bouwgroep B.V.;7;;;;7
Ko Hartog Elektrotechniek B.V.;2;;;;2
Koek & Reinders Schilderwerken B.V.;7;;;;7
Koelplan Airconditioning Zuid-Oost B.V.;1;;;;1
Koenders & Partners;;;;2;2
Koenders & Partners advis. en procesman. B.V.;4;;;;4
Koers Groep B.V.;3;;;;3
Komfort B.V.;10;;;;10
Kon. Ver. Agent Halverhout-Zwart-Zurmühlen BV;2;;;;2
Kone B.V.;;;;1;1
Kone Gevelliftinstallaties;7;;;;7
Konecranes B.V.;3;;;;3
Konermann;1;;;;1
Koning & Hartman B.V.;2;;;;2
Koninklijk Instituut van Ingenieurs;1;;;;1
Koninklijke Damstra Installatietechniek B.V.;5;;;;5
Koninklijke Oosterberg B.V.;2;;;;2
Koninklijke Otolift Trapliften;;;;;
Koninklijke Talens B.V.;;;;2;2
Koninklijke Van Twist B.V.;6;;;;6
Koninklijke Woudenberg;7;;;;7
Konstruktiebedrijf Roodenburg;2;;;;2
Koopmans Service & Onderhoud B.V.;6;;;;6
Koppers Meubel en Interieurbouw B.V.;2;;;;2
Kors Hoogwerksystemen B.V.;1;;;;1
Korte Poten 1-3 B.V.;1;;;;1
Kortom Video;2;;;;2
Kosterbeemden Kerkrade B.V.;;2;;5;5
KOVO Assen B.V.;2;;;;2
Kozijnservice Nederland B.V.;1;;;;1
KPN B.V.;6;;;;6
KPN Insurance Company;1;;;1;1
KPN Ventures B.V.;;;;1;1
Kraai Consult N.V.;2;;;;2
Kraaijeveld's Aannemingsbedrijf B.V.;3;;;;3
Kraaijvanger;2;;;;2
KrÃƒÂ¤mer Bouw B.V.;7;;;;7
Kragten B.V.;2;;;;2
Kralendijk Real Estate B.V.;;;;5;5
Kranendonk Vastgoedonderhoud;4;;;;4
Krinkels B.V.;7;;;;7
Kronenburg Promotie & Begeleiding B.V.;2;;;;2
Kropman Installatietechniek;7;;;;7
Kropman Installatietechniek B.V.;;;;5;5
Kropman Services;;;;1;1
KSP Kunstgras B.V.;3;;;;3
Kuijpers Beveiligingssystemen B.V.;6;;;;6
Kuijpers Installaties;5;;;;5
Kuiper Bouw B.V.;6;;;;6
Kunstwacht B.V.;2;;;;2
Kwa Bedrijfsadviseurs B.V.;1;;;;1
Kwatta General Contractors N.V.;5;;;;5
KWS Infra Rotterdam;4;;;;4
Lagemaat Milieu;1;;;;1
Lamberink Bedrijfsmakelaars B.V.;;;;1;1
Lammertink Bouwbedrijf B.V.;7;;;2;7
Lamson Group B.V.;3;;;;3
Landbouwbedrijf Haven;1;;;;1
Landbouwbedrijf J.J. Beukema;;;;1;1
Landgoed Bieduinen B.V.;;;;1;1
Landgoed Den Treek-Henschoten N.V.;;;;4;4
LANDSADVOCAAT DE;2;;;;2
Landschapsbeheer Het Witterveld;2;;;;2
Landustrie Sneek B.V.;1;;;;1
Lankelma Geotechniek Zuid B.V.;1;;;;1
Lanten ingenieursbureau B.V.;1;;;;1
Larmag Real Estate 6 B.V.;;;;5;5
Lasaulec B.V.;;;;4;4
Lasaulec Export B.V.;1;;;;1
Laumen Rolluiken-Zonweringen B.V.;1;;;;1
Laurens Kuipers Fotografie;1;;;;1
Lautenbag Reclame;1;;;;1
LBP Sight B.V.;1;;;;1
LCB Monster (Lutter Climate Balance);1;;;;1
Le Bistroquet B.V.;1;;;;1
Leap3D B.V.;1;;;;1
Leegstra NVM Makelaardij;;;;1;1
Leemans Speciaalwerken B.V.;2;;;;2
Leene Communicatie;;;;1;1
Lenferink Amsterdam Schilders, Afb.&V.g.o. BV;2;;;;2
Lennox Benelux B.V.;2;;;;2
Lenntech B.V.;1;;;;1
Lenting Project Loodgieters;3;;;;3
Leo Baumann;2;;;;2
Letman;4;;;;4
Level Acoustics & Vibration B.V.;4;;;;4
Leyten & v.d. Linde Rentmeest. en Makel. B.V.;;;;1;1
Leyten Vastgoedexploitatie II B.V.;;2;;;2
LGADVIES B.V.;2;;;;2
LIAG architekten en bouwadviseurs;7;;;;7
Liander N.V.;1;;;2;2
Lievense Milieu B.V.;6;;;;6
Liftinstituut Solutions B.V.;1;;;;1
Liftinstituut Solutions Caribbean N.V.;1;;;;1
Limburgse Koelindustrie Liko B.V.;4;;;;4
Linden Staalbouw;;;;1;1
Lingner S Industriemontagen;1;;;;1
Linisol Bouw Support B.V.;1;;;;1
Lint Notarissen B.V.;;;;1;1
Linthorst Techniek B.V.;2;;;;2
Lise Steyn Schilderijenrestaurator;1;;;;1
LKSVDD architecten;1;;;;1
Lodewijk Baljon landschapsarchitecten;2;;;;2
Logitech B.V.;1;;;;1
Loka Liften B.V.;1;;;;1
Lokapost;1;;;;1
Lomans Amersfoort B.V.;4;;;;4
Lomans Capelle B.V.;4;;;1;4
Lone Star Netherlands Acquisitions B.V.;;4;;7;7
Loodgieters- en Install.bedr. Van Kooten B.V.;2;;;;2
Loohuis Installatietechnieken B.V.;;;;1;1
Loohuis Service B.V.;1;;;;1
Loon- en Aannemingsbedrijf Van 't Foort B.V.;1;;;;1
Loon- en Grondverzetbedrijf Koonstra B.V.;3;;;;3
Loonbedrijf Berg B.V.;3;;;1;3
Loonbedrijf Dieleman;1;;;;1
Loonbedrijf Harthoorn B.V.;;;;3;3
Loonbedrijf Van Dun B.V.;2;;;;2
Louis Gerdessen;1;;;;1
Ludwig & Eichholtz;;1;;;1
Luna office- en projectmanagement;1;;;;1
LVA Liftadvies B.V.;1;;;;1
Lyreco Nederland B.V.;1;;;;1
M & B Timmerwerken;1;;;;1
M & DM;1;;;;1
M. Ex. T. Netherlands B.V.;1;;;;1
M. van Happen Container B.V.;;;;1;1
M.S.A. Bovens;2;;;;2
Maasdam Groep B.V.;1;;;;1
Maasmond Leeuwarden B.V.;2;;;;2
Maastricht Aachen Airport Beh.&Infrastr. B.V.;1;1;;1;2
Maatschap C&O;;;;1;1
Maatschap de Weerd;;;;1;1
Maatschap Einstein;;1;;;1
Maatschap Hoekstra;5;;;;5
Maatschap Knook & Schot Notarissen;;;;1;1
Maatschap Landlab;1;;;;1
Maatschap Rijp;;1;;4;4
Maatschap Vesper;;;;4;4
Madri Install Service B.V.;1;;;1;1
Madurodam B.V.;1;;;1;1
Magazijn 14 B.V.;1;;;;1
Makelaar Rijnbeek;;;;1;1
Makelaardij de Smelthe Oosterwolde;;;;1;1
Mammoetprint;;;;1;1
Mansveld Projecten & Services B.V.;2;;;;2
Manutan B.V.;1;;;1;1
Marc Seegers Beletteringen & Bewegwijzering;1;;;;1
Marcant Totaalbouw B.V.;1;;;;1
Marcel van de Kerkhof fotografie;1;;;;1
Marcos F.A. Cova / Indel N.V.;7;;;;7
Marees Installatie en Techniek B.V.;2;;;;2
Maria Byrne;3;;;;3
Marieke Francke;2;;;;2
Marine Construction Consultancy;4;;;;4
Marks Wachters Praktijk B.V.;1;;;;1
MarPo;1;;;;1
Master Cleaners B.V.;3;;;;3
Mastermate Brinkman B.V.;1;;;;1
Matex Deuren B.V.;1;;;;1
Matthijssen - Ten Have Lichtreclame;2;;;;2
Maud van Roosmalen Fotograaf;1;;;;1
Mauritshuis;2;;;;2
Maxwan Architects + Urbanists B.V.;2;;;;2
MDX communicatie;2;;;2;2
Me Gusta! Zonnige eetwaren;1;;;;1
m-E-2;1;;;;1
Meeberg Projectmanagement en Bouwadvies B.V.;1;;;;1
Mees Ruimte & Milieu;;;;2;2
Meesters in B.V.;2;;;;2
Meet & Connect Eindhoven B.V.;1;;;;1
MEET Strukton B.V.;9;;;;9
Meetingselect B.V.;1;1;;;1
Meijers Projectvloeren B.V.;2;;;;2
Meinders Catering B.V.;1;;;;1
Menerga Klimaattechnologie B.V.;6;;;;6
Mennens Dongen B.V.;5;;;;5
Mennens Hengelo B.V.;2;;;;2
Menova Holding B.V.;;1;;3;3
Mens-Zeist Totaalonderhoud;1;;;;1
Merin Add-On 6 B.V.;;;;7;7
Merin B.V.;;3;;5;5
Merk X B.V.;4;;;;4
Mertens Toegangstechniek;1;;;;1
Merwe management en advies B.V.;4;;;;4
Metafoor;;;;2;2
Metalmek Lighting;1;;;;1
Mett;;;;1;1
Meubelstoffeerderij M. Descendre;1;;;;1
MeyerBergman Erfgoed Made By Holland B.V.;;;;4;4
MH Roadstyling B.V.;1;;;;1
Micha de Bie;1;;;;1
Middelzaan Vastgoed & Ontwikkeling B.V.;3;;;;3
Miele Nederland B.V.;1;;;;1
Mijksenaar B.V.;1;;;;1
Mijn Huis Makelaardij;;;;1;1
Mijnmaatschappij Curacao BV;2;;;;2
Milieu en Bouwkundig Advies Buro Wim Jager;3;;;;3
Milieu Service Nederland B.V.;1;;;1;1
Milieutechnisch adviesbureau Heel;2;;;;2
Millers;1;;;;1
Ministerie van Financiën;1;;;;1
Mioteq B.V.;1;;;;1
Mitsubishi Elevator Europe B.V.;2;;;;2
Miviko B.V.;1;;;;1
Mobius Consult B.V.;2;;;;2
Modis B.V.;2;;;;2
Moesman's Antieke/Oude/Nwe. Stijl Meubelmak.;3;;;;3
Mokobouw Beheer B.V.;4;;;;4
Mokx Systeemwanden B.V.;5;;;;5
Monaco Schoonmaakbedrijf;;;;1;1
Monchyplein (Den Haag) B.V.;;;;6;6
Mondial Movers B.V.;1;;;;1
Monks Stukadoors;1;;;;1
Montagebedrijf Hoefnagels;2;;;;2
Montagebedrijf Robino B.V.;2;;;;2
Montagebedrijf Van den Berg B.V.;2;;;;2
Monument en Project;2;;;;2
Monumenten Advies Bureau;2;;;;2
Mortuarium Schiphol B.V.;;;;2;2
Motorenrevisiebedrijf Postma;4;;;;4
Motta Management B.V.;;;;;
Motus;;;;1;1
Mourik Klimaattechniek B.V.;1;;;;1
Mouwrik Waardenburg B.V.;7;;;;7
Movares Nederland B.V.;5;;;;5
Mr-Orange B.V.;;;;2;2
MTG Metall-technik GMBH;2;;;;2
Muco Technologies B.V.;2;;;;2
Mudde Materieel B.V.;1;;;;1
Multi Instruments Analytical B.V.;1;;;;1
Multi-Deur Service B.V.;6;;;;6
Multidiensten-DM;2;;;1;3
Munters Netherlands B.V.;1;;;;1
Museum Boerhaave;2;;;;2
Must Stedebouw B.V.;2;;;;2
MVGM;;;;1;1
MVGM Vastgoedtaxaties;1;;;;1
N.A. van den Hoven & Zonen B.V.;1;;;;1
N.V. Beleggingsmaatschappij De Pyramiden;;4;;7;7
N.V. Continental Land Company;1;;;;1
N.V. Luchthaven Lelystad;6;;;1;6
N.V. Port of Den Helder;;;;1;1
N.V. Port of Harlingen;;;;2;2
N.V. Stedin Netten Weert;;;;1;1
N.V. Univé Schade;1;;;;1
N.V. Waterbedrijf Groningen;;;;1;1
Naaykens' Luchttechnische Apparatenbouw B.V.;1;;;;1
NAB Bliksembeveiliging B.V.;6;;;;6
NACH B.V.;6;;;;6
Nationaal Gevangenismuseum;1;;;;1
NATO AWACS E-3A Component;1;;;;1
Natuurbalans/Limes Divergens B.V.;2;;;;2
Natuursteen Stefano;3;;;;3
Nauta Security Storage B.V.;3;;;;3
NCI Agency CSA - The Hague;;;;6;6
NDB Elektrotechniek Gmbh & Co *;1;;;;1
Nebest B.V.;3;;;;3
Necarex B.V.;3;;;;3
Ned Air B.V.;1;;;;1
Ned. Org. Deb.beheer & Rechtsvordering B.V.;1;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;4;;;;4
Nedaplast;1;;;;1
Nederlands Antilliaans Bouwbedrijf;6;;;;6
Nederlands Certific.- en Inspectie Inst. B.V.;1;;;;1
Nederlands Taxatie- en Adviesbureau B.V.;1;;;;1
Nederlandse Aardolie Maatschappij B.V.;3;2;;6;6
Nederlandse Document Reproduktie B.V.;1;;;;1
Nederlof Repro B.V.;1;;;;1
Nederman Nederland B.V.;1;;;;1
NedFox B.V.;1;;;;1
Nelissen Ingenieursbureau B.V.;1;;;;1
Nemacontrol;5;;;;5
NEP Broadcast Services B.V.;1;;;;1
Nespresso Nederland B.V.;1;;;;1
NetAxis Nederland B.V.;1;;;;1
Netherlands Heerlen Equities LLC;;;;6;6
Neuf & Associates B.V.;2;;;;2
Newday Offices;;;;3;3
Newomij VvE Beheer B.V.;4;;;;4
NIBA Bleskensgraaf;2;;;;2
NIBAG Groep B.V.;2;;;;2
NIC Associates B.V.;2;;;;2
Nieboer Makelaars;;;;1;1
Nieman Raadgevende Ingenieurs B.V.;1;;;;1
Nieman-Kettlitz Gevel- en Dakadvies B.V.;2;;;2;2
Nieuw Ammervelde;1;;;;1
Nieuwe of Litteraire Sociëteit De Witte;1;;;;1
Nieuwegein (NWG), Waternet;;1;;1;1
Nieuwenhuijse Arends B.V.;;;;1;1
Nijeboer-Hage Technisch adviseurs B.V.;2;;;;2
Nissen Advisering Energie en Klimaat;4;;;;4
Nitschke GmbH;1;;;;1
NK Liftinterieur B.V.;2;;;;2
NLC Real Estate;2;;;;2
NLhave;;;;1;1
NMM Company B.V.;7;;;8;9
Noël van Dooren Landschapsarchitect;1;;;;1
Noha;1;;;;1
NOHNIK architecture and landscapes;2;;;;2
Noordam;;;;1;1
Noordbouw Veendam B.V.;1;;;;1
Noort & de Vries Management B.V.;3;;;;3
NORD Architectuur;2;;;;2
Nordcap Immob Nierl 10 GMBH & Co KG;;;;7;7
Normec Aquaserva B.V.;1;;;;1
NotaMare Urk notarissen en adviseurs B.V.;;;;1;1
Notariaat Pieltjes B.V.;;;;1;1
Notariaat Winschoten Kruize Rolfers;;;;1;1
Notaris Lenderink B.V.;;;;1;1
Notaris Yvette Beumer B.V.;;;;1;1
Notarishuis Roermond B.V.;;;;1;1
Notariskantoor Mr. A.J. Nicolai;;;;1;1
Notariskantoor mr. S.J.M. van de Ven;;;;1;1
Notariskantoor Roerdalen;;;;1;1
Notariskantoor Spoormakers B.V.;;;;1;1
Notariskantoor Stoker;;;;1;1
Notarispraktijk mr. Kenneth F. Arends;6;;;;6
Notuleerservice Nederland B.V.;1;;;;1
Novar Nederland B.V.;1;;;;1
Novo Projectstoffering B.V.;4;;;;4
Novon Benelux B.V.;1;;;;1
NS Stations B.V.;1;4;;5;5
NS Vastgoed B.V.;;4;;7;7
Nsecure B.V.;5;;;;5
NSenergy B.V.;4;;;;4
NSI HNK B.V.;;;;;
NSI Kantoren B.V.;;5;;8;8
Numan & Kant B.V.;2;;;;2
Nyenburgstaete B.V.;1;;;3;3
O' Panuozzo;1;;;;1
Oasen N.V.;;1;;1;1
Oasis Data & Document Management Neth. B.V.;;;;2;2
OBN Ongedierte Bestrijding Nederland B.V.;1;;;;1
Odim Consolidated of Aruba NV/ Bonbini Cargo Services;1;;;;1
ODS B.V.;1;;;;1
Oever Zaaijer & Partners Architects/ Lyongo Architecture N.V.;2;;;;2
Off. for Metropol. Architect. Stedebouw B.V.;7;;;;7
Office Value Fund N.V.;;;;5;5
office_winhov B.V.;5;;;;5
Offringa Elektrotechniek B.V.;3;;;;3
Onderh.- en Interieurbouwbedrijf Johan Bosman;1;;;;1
Onderhoudsbedrijf Christiani;2;;;;2
Onderhoudsbedrijf PVL;1;;;;1
Ongediertebestrijding Eemland;;;;1;1
Online Bedrijfsmakelaar B.V.;;;;1;1
OnlyHuman Groep B.V.;3;;;;3
Ontwerpwerk B.V.;2;;;;2
Ooijevaar - bevlogen bouwers;4;;;;4
Oomens Energy & Consulting;1;;;;1
Ooperon Services B.V.;3;;;;3
Oostelbos van den Berg B.V.;4;;;;4
Oostendorp Interieur en Meubelstoffering B.V.;6;;;;6
Oostendorp Nederland Bouw B.V.;2;;;;2
Oosterveen's Oliehandel B.V.;;;;1;1
OOSTVEEN BV SCHILDERSBEDRIJF;4;;;;4
OPPS B.V.;2;;;;2
Optimum Engineering & Consultant Caribbean N.V.;5;;;;5
OptiToer;2;;;;2
Oranje B.V.;4;;;;4
Orcavoice B.V.;1;;;;1
Organique B.V.;;4;;;4
Orionis Walcheren;1;;;;1
Ortageo Noordoost B.V.;1;;;;1
OSINGA bouwhistorie;1;;;;1
Other Brother Construction & Tools Rental N.V.;2;;;;2
Otis B.V.;5;;;;5
"Otis Caribbean Elevators N.V. ""CAREL""";1;;;;1
Otjens Groep B.V.;3;;;;3
Out of the Sun;1;;;;1
Ouwehand Bouw Katwijk B.V.;2;;;;2
Ouwerkerk Montagebedrijf;3;;;;3
OVG Projecten LXXII B.V.;5;;;9;9
P&O North Sea Ferries B.V.;;;;2;2
P. Hellemons Schilders- en Afwerkingsbedrijf;2;;;;2
P. Simons;2;;;;2
P. Smit B.V.;2;;;;2
P.L.M. van Hulten;2;;;;2
Paagman Den Haag B.V.;1;;;;1
Packsteen B.V.;;1;;1;2
Pactechno;1;;;;1
Paman Gemuk (Dikke Oom);1;;;;1
Parkstad Inspecties;4;;;;4
Passier Bathrooms & Wellness B.V.;1;;;;1
Patina Dakbedekkingen Beverwijk B.V.;1;;;;1
Patina Dakbeheer B.V.;1;;;;1
Patina Valbeveiliging B.V.;7;;;;7
Patisan Vastgoed B.V.;;;;2;2
PATRIZIA Kapitalverwaltungsgesellschaft mbH;;;;3;2
Paul Essers Malerbetrieb;1;;;;1
PBT Beveiligingsgroep B.V.;2;;;;2
PBT Consult B.V.;1;;;;1
PCM Consulting;2;;;;2
PCW Huisvestingsadvies en Projectbegeleiding;;;;4;4
Peijnenburg Vught B.V.;1;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;11;;;6;11
Pensioenfonds Metaal en Techniek;2;;;7;7
Perera Productions;;;;1;1
Perfect Landscaping N.V.;5;;;;5
Persan Vastgoed B.V.;;;;6;6
Persc Communicatie B.V.;;;;1;1
PETER BLOKLAND;1;;;;1
Petracon, PD RES;;;;1;1
Peutz B.V.;4;;;2;4
PHB De Combi Nijmegen B.V.;4;;;;4
PHB Facility;8;;;;8
Pi2 B.V.;;;;9;9
Pieter IJsbrand Stichting;;;;5;5
Pieters Bouwtechniek Utrecht B.V.;1;;;;1
PingProperties Corporate Office Fund IV C.V.;;5;;8;8
Pipe Cleaning Service Aruba N.V.;1;;;;1
Pius Floris Boomverzorging Vught;5;;;;5
PJ Delft;1;;;;1
PJ Milieu B.V.;1;;;;1
Plan'16 architecture by co-creation;4;;;;4
Plan4it;1;;;;1
Planruimte;;;;1;1
Platina Argenta Events & Business Company;;2;;3;4
Plaza BW Den Haag B.V.;1;;;;1
Plein 19 Den Haag B.V.;1;;;;1
Plein 9 A B.V.;1;1;;;1
Ploeger Advies;4;;;;4
Ploegmakers Cultuurtechniek B.V.;1;;;;1
POL Heteren B.V.;1;;;;1
Pol Safety;1;;;;1
Polderdrain B.V.;2;;;;2
Polderman Bureau v. Monumenten & Restaur.adv.;2;;;;2
Polderman Grondverzet & Loonwerk;2;;;;2
Pole Air Koeltechniek;5;;;;5
Polvo B.V.;2;;;;2
Poly Products B.V.;1;;;;1
Polygon Nederland B.V.;1;;;;1
Polypla B.V.;3;;;;3
Poort van Den Haag B.V.;;;;8;8
PoortCentraal B.V.;7;;;10;10
Portakabin B.V.;;;;3;3
Possehl Aannemingsmaatschappij B.V.;6;;;;6
Post & Eger Hang- en Sluitwerk B.V.;1;;;;1
PostNL Real Estate B.V.;;5;;;5
Pouw Project Management;2;;;;2
Powertec Diesel Services B.V.;2;;;;2
PPS. Imaging;1;;;;1
Praktijkonderwijs Zutphen;;;;1;1
Pranger-Rosier Installaties B.V.;8;;;;8
Prestop B.V.;2;;;;2
Previder;1;;;;1
Pricewaterhousecoopers Advisory N.V.;4;;;;4
Primagaz Nederland B.V.;1;;;;1
Prime Advice B.V.;1;;;;1
Primoteq B.V.;4;;;;4
Prins Licht Beheer B.V.;2;;;;2
Prins Milieu Consultancy B.V.;2;;;;2
Prisma Groep B.V.;2;;;;2
Professional Pest Control of Curacao;1;;;;1
Professional Strategies;1;;;;1
ProGoDo;1;;;;1
Project La Fortezza I B.V.;;;;6;6
Project MMNT Den Bosch B.V.;;;;7;7
Project Property Netherlands B.V.;;4;;6;6
Project PVS B.V.;7;;;9;9
Project Team Energy B.V.;6;;;3;6
Projectinrichting en Vloerenbedrijf Birza;1;;;;1
Projekt Totaal Assen;4;;;;4
ProKitchen Design B.V.;1;;;;1
Prommenz B.V.;2;;;;2
Promosana B.V.;2;;;4;4
Propech N.V. - Tony's Airconditioning;1;;;;1
Propertunity NL N.V.;;;;5;5
Protect Pest Control;2;;;;2
Protectiepartners B.V.;1;;;;1
Protestantse gemeente te Den Dolder;;;;1;1
Prototype Architects;1;;;;1
Provian Bouwadvies & Projectbegeleiding;3;;;;3
ProXYZ Consultancy B.V.;2;;;;2
PSB Projekt-Service Buro B.V.;1;;;;1
Pure Total Indoor Quality Solutions N.V.;2;;;;2
Puur Amsterdam;;1;;;1
PW Schilderwerken;2;;;;2
Q.wateradvies en beheer;1;;;;1
QC Light Factory B.V.;1;;;;1
Qlife International BV;4;;;;4
QoQ-light, meer dan licht;2;;;;2
Q-Park Beheer B.V.;;;;2;2
Q-Park Nederland;1;;;7;7
Qualified Sales B.V.;1;;;;1
Quality Technology Services B.V.;;;;7;7
Quality Work B.V.;1;;;;1
Quatro Systems B.V.;5;;;;5
Questionmarkgroup B.V.;2;;;;2
Quist Wintermans Architekten B.V.;2;;;;2
R & F Afbouw en Montage;2;;;;2
R Creators B.V.;;;;9;9
R&A Elektrotechniek Aruba N.V.;1;;;;1
R. de Groot Holding B.V.;;;;2;2
R.E.C. Real Estate Consulting;4;;;2;4
R2B Inspecties B.V.;2;;;;2
RA Infra B.V.;3;;;;3
Raadgevend Ingenieursbureau Beekink B.V.;3;;;;3
Raadgevend Ingenieursbureau Dijkoraad B.V.;3;;;;3
Raatwerk B.V.;1;;;;1
Rademacher De Vries Architecten;2;;;;2
Radio Royaal B.V.;1;;;;1
Radome B.V.;3;;;;3
RAI Amsterdam B.V.;;;;;
Railtechniek Van Herwijnen B.V.;1;;;;1
Ramkema Makelaardij B.V.;;;;1;1
Ramon Otto DE grootkeuken consultant;2;;;;2
Rancheria Construction n.v.;1;;;;1
RaNo+ Advies en projectmanagement;1;;;;1
Rappange & Partners Architecten B.V.;6;;;;6
Ras Makelaars Hypotheken & Assurantiën V.O.F.;;;;1;1
Rasp-Stuc Adviseur;1;;;;1
RBI Corrosion B.V.;1;;;;1
RBS Pension Trustee Limited;;4;;7;7
RCS Advies;;;;1;1
Real Capital Analytics B.V.;1;;;;1
Real-life Xcape;1;;;;1
Realnomics B.V.;;;;3;3
Reaseuro;2;;;;2
Record Automatische Deuren B.V.;2;;;;2
Recyclebike B.V.;1;;;;1
Red Bee Media B.V.;1;;;;1
Redefine International Den Haag B.V.;;;;;
Redevelopment Property IV B.V.;6;;;;6
Regel Partners B.V.;7;;;;7
Regelink Ecologie B.V.;1;;;;1
Reijer Boxem Fotografie;1;;;;1
Rekenservice;1;;;;1
REKO Grondv.- en Wegenbouwbedrijf Raalte B.V.;2;;;;2
Relaas Producties;1;;;;1
Relatics B.V.;2;;;;2
Relining Advies B.V.;3;;;;3
Remlicht;;;;1;1
REMONDIS Dusseldorp Rioolservice B.V.;5;;;;5
Remondis industrie service GMBH & Co;1;;;;1
Remote Office Manager;2;;;;2
Rendo Netwerken;;1;;;1
Rendon Advies B.V.;1;;;;1
Renewi Nederland B.V.;1;;;1;1
Renpart Vastgoed Holding N.V.;;;;5;5
Rensen Regeltechniek B.V.;4;;;;4
Rensink Bouwmanagement;2;;;;2
Rentokil Initial B.V.;;;;1;1
Rentokil pest control;2;;;;2
Republiq NL B.V.;4;;;;4
Rescura B.V.;4;;;;4
Restaurant De Basiliek B.V.;1;;;;1
Restaurant Monica & Winston;1;;;;1
Restaurant Poppe Zwolle;1;;;;1
Restauratie Atelier Oude Delft;1;;;;1
Restauratie Ateliers Snoek en van Es;3;;;;3
Restauratieatelier Amsterdam;1;;;;1
Rever B.V.;2;;;;2
