Leveranciers;1120 Arbeidsomstandigheden en personele zorg;1130 Representatie voor eigen personeel;1140 Instroom, doorstroom en uitstroom van personeel;1150 Leren en ontwikkelen;1160 Personeelsevenementen, bijeenkomsten en recepties;1170 Noodzakelijke contributies van personeel;1180 Reis & verblijfskosten;1-Personele exploitatie
't MULDERKE;;1;;;;;;1
'T Pakhuis Restaurant-Café-Bistro;;1;;;;;;1
'T Plenkske Restaurant;;1;;;;;;1
'T Raadhuis Restaurant;;1;;;;;;1
'T Raedthuys Restaurant Stadscafé;;1;;;;;;1
't Raethuys;;1;;;;;;1
't Romienendal;;1;;;;;;1
't Ruysdael;;;;4;;;;4
'T Smoske;;1;;;;;;1
'T Veerhuis Restaurant (Rohaas);;1;;;;;;1
T VONDERKE;;1;;;;;;1
't Vuurspoor barbeque restaurant;;1;;;;;;1
't Wellse Veerhuis;;1;;;;;;1
't Zusje Brasserie;;1;;;;;;1
TaalNetWerk;;;;1;;;;1
Taalstrategie Commuicatie en Framingadvies;;;;1;;;;1
