NAAM;OMSCHRIJVING;BUURTNAAM;BUURTCODE;WIJKNAAM;WIJKCODE;STADSDEELNAAM;STADSDEELCODE;GEMEENTECODE;GEBIED;KWALITEIT;COUNTER;GUID
Bazarlaan;Bazarlaan;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;452;{B77FDF46-B6AC-415E-864B-71368376C7B7}
Bakkersstraat;Bakkersstraat;;;Centrum;28;;;;;residentiekwaliteit;463;{81C282CF-32B0-4ABA-9940-DFFB2C6BE5D0}
Pastoorswarande;Pastoorswarande;;;Centrum;28;;;;;residentiekwaliteit;464;{B73734F2-F080-436E-BB23-BB14C154D694}
Pieter van den Zandestraat;Pieter van den Zandestraat;;;Centrum;28;;;;;residentiekwaliteit;465;{362B5273-4F72-4965-A299-2946DE4594CC}
Oude Boomgaardstraat;Oude Boomgaardstraat;;;Centrum;28;;;;;residentiekwaliteit;466;{45E51121-F0BE-41F0-9A1A-EE38E00E1842}
Snoekstraat;Snoekstraat;;;Centrum;28;;;;;residentiekwaliteit;467;{E64F70BE-4985-4599-B1E8-8DBD04AE3A25}
Kalkoenstraat;Kalkoenstraat;;;Centrum;28;;;;;residentiekwaliteit;468;{F25E89F6-CB7E-4332-8120-E659AB90E14E}
Korte Molenstraat;Korte Molenstraat;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;469;{1FF87923-079F-4DA0-9C1D-9969AFCE93BB}
Pieterstraat;Pieterstraat;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;470;{63F5B7DE-EC68-4C22-A6F5-37F8E8060E59}
Tollensstraat;Tollensstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;453;{BAB62351-097F-45FB-A7A1-3408FEAAC6AE}
2e De Riemerstraat;2e De Riemerstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;454;{7519FB14-F067-4C94-AA97-1D1C5F1A3ED7}
Tivolistraat;Tivolistraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;455;{1C321CDF-8EC6-4B6B-9FBF-9B070D542A37}
Hogewal;Hogewal;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;456;{F58E4CBD-D4AB-4F5D-B857-76848B6D74D8}
Piet Heinplein;Piet Heinplein;;;Zeeheldenkwartier;22;;;;Grachtengordel;hofstadkwaliteit;457;{FFE42299-D990-4A0F-9A38-E64D0AC823CA}
Piet Heinstraat;Piet Heinstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;458;{A3BD4605-CA6C-4A3E-A619-60886FC56836}
Elandstraat;Elandstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;459;{5A94AFAB-956A-4427-BA7F-6B71C05824D8}
Da Costastraat;Da Costastraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;460;{434C24AF-B9EE-4095-B91E-CC6D57FB1BDA}
Helmersstraat;Helmersstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;461;{366D23CB-A199-4642-8056-8338AAF93A8F}
Crispijnstraat;Crispijnstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;462;{76DF5644-5B37-4411-95E0-8A74E1469580}
Veenkade;Veenkade;;;Zeeheldenkwartier;22;;;;Grachtengordel;hofstadkwaliteit;436;{228BEE10-36AF-41FE-A9E7-68C4D04B2D8D}
Zorgvlietstraat;Zorgvlietstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;437;{A9CC2812-2916-4441-9447-5201A53486AC}
Hemsterhuisstraat;Hemsterhuisstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;438;{9C66D009-5FEC-4E91-860C-DBE4298E85E4}
Noordwal;Noordwal;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;439;{FF62A95C-1A34-48DD-ADE2-58FA10119190}
1e De Riemerstraat;1e De Riemerstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;440;{68A1D5B4-16D6-457E-A42E-B40275955A5E}
Westerbaenstraat;Westerbaenstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;441;{577B0CC3-D5BF-4C10-B614-70E428BAA04B}
Vondelstraat;Vondelstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;442;{D39311BB-4A88-4CC6-AAF8-74857FA207C5}
Bilderdijkstraat;Bilderdijkstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;443;{1B5D49CA-B866-4118-9811-610294587695}
Harstenhoekweg;Harstenhoekweg;;;Oostduinen;1;;;;;residentiekwaliteit;471;{B20332CA-4870-4C8E-8F78-D63D12E6141E}
Pompstationsweg;Pompstationsweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;472;{332CF9E3-42AE-4105-90C0-29D2AEB59B97}
Galvanistraat;Galvanistraat;;;Duinoord;11;;;;;residentiekwaliteit;473;{31F7D829-43CA-4236-B2CC-5A0A5A76D6B6}
Voltastraat;Voltastraat;;;Duinoord;11;;;;;residentiekwaliteit;474;{ED8CEED6-15A7-4313-8E70-CC504A779D77}
Snelliusstraat;Snelliusstraat;;;Duinoord;11;;;;;residentiekwaliteit;475;{59111B5D-BB63-4EB9-8AD8-561A9166A219}
Obrechtstraat;Obrechtstraat;;;Duinoord;11;;;;;residentiekwaliteit;476;{325155D0-5EE2-4EAD-9AAD-36E826D0FD17}
Reinkenstraat;Reinkenstraat;;;Duinoord;11;;;;;residentiekwaliteit;477;{73A03139-D8D2-46B3-A7B1-C2894D813661}
Andries Bickerweg;Andries Bickerweg;;;Zorgvliet;10;;;;;residentiekwaliteit;490;{4951E9FA-3DBB-491D-8204-006FBB8C1620}
R.J.Schimmelpennincklaan;R. J. Schimmelpennincklaan;;;Zorgvliet;10;;;;;residentiekwaliteit;491;{6A39B7AA-BE17-4064-9F24-38ACABEBCC37}
Jacob de Graefflaan;Jacob de Graefflaan;;;Zorgvliet;10;;;;;residentiekwaliteit;492;{3FE81767-2886-4EAA-AF91-2EA803E886E1}
Stadhoudersplantsoen;Stadhoudersplantsoen;;;Duinoord;11;;;;;residentiekwaliteit;493;{77AFBDDE-C817-447B-AB27-F53CCCD31C2C}
Tobias Asserlaan;Tobias Asserlaan;;;Zorgvliet;10;;;;;residentiekwaliteit;494;{ABB39EB9-374C-4C24-9901-C44C5FF2A42A}
Buitenrustweg;Buitenrustweg;;;Zorgvliet;10;;;;;residentiekwaliteit;495;{ACA82BF3-02C9-4957-9767-9310619544AE}
Rustenburgweg;Rustenburgweg;;;Zorgvliet;10;;;;;residentiekwaliteit;496;{1605A4BE-FF84-4D97-81D0-3BB858C393AF}
Jacob Catslaan;Jacob Catslaan;;;Zorgvliet;10;;;;;residentiekwaliteit;497;{FAFB0408-6B0E-4454-AD01-500BFD5D02EA}
Willem Lodewijklaan;Willem Lodewijklaan;;;Zorgvliet;10;;;;;residentiekwaliteit;498;{C8CB4CD8-955F-4453-9DF7-AF1A62383B23}
Dorus Rijkersplein;Dorus Rijkersplein;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;499;{210AC815-830F-4BE0-BBB2-CB8F663BFE9C}
Kortenaerkade;Kortenaerkade;;;Zeeheldenkwartier;22;;;;Grachtengordel;hofstadkwaliteit;500;{9488C31B-2E4A-41E8-9074-C71A508632A5}
Maziestraat;Maziestraat;;;Centrum;28;;;;Grachtengordel;hofstadkwaliteit;501;{52EC6BF8-07EA-4B9B-B4DE-5BA870F69169}
Bazarstraat;Bazarstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;502;{5A746E96-1DBD-474D-A5AC-B5E30252B831}
Anna Paulownaplein;Anna Paulownaplein;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;503;{AA345DE8-F7ED-4579-B8E6-282198B31E03}
Trompstraat;Trompstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;504;{2B3E1328-6191-4175-97C3-C709A7EC582E}
Alexander Gogelweg;Alexander Gogelweg;;;Zorgvliet;10;;;;;residentiekwaliteit;521;{3A664BD1-58CC-4A46-861C-37669CF3E052}
Valeriusstraat;Valeriusstraat;;;Duinoord;11;;;;;residentiekwaliteit;522;{319B3DBE-6850-4CAD-8590-26B7F75B4898}
2e Sweelinckstraat;2e Sweelinckstraat;;;Duinoord;11;;;;;residentiekwaliteit;523;{12C04484-E36F-4BA6-82CA-7762EB22DEB5}
Ver-Huellweg;Ver-Huëllweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;524;{1392ED8E-B42C-4CEE-A86F-5C8985EBD7B3}
Catsheuvel;Catsheuvel;;;Zorgvliet;10;;;;World Forum;hofstadkwaliteit;525;{4C36B26B-B2AE-42F2-8982-01E215717071}
Hugo de Grootstraat;Hugo de Grootstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;505;{7CCCC921-5A90-4F5F-BFD8-40A576884C7D}
Van de Spiegelstraat;Van de Spiegelstraat;;;Zeeheldenkwartier;22;;;;;residentiekwaliteit;506;{0E976155-67CB-4358-A05D-5AF4617F4948}
Prinsevinkenpark;Prinsevinkenpark;;;Archipelbuurt;5;;;;;residentiekwaliteit;507;{57F4DFEC-1F6B-4A38-87AD-540CA684EB2B}
Celebesstraat;Celebesstraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;508;{700EA26F-C395-48E6-8B0E-B518E307581D}
Malakkastraat;Malakkastraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;509;{377B3177-27BE-4587-B336-F78C0AE2A660}
Bonistraat;Bonistraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;510;{C328A477-AFFC-42AC-9F72-901538396201}
Billitonstraat;Billitonstraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;511;{A0B9F763-A3A8-4280-93EC-AB93DAD1773D}
Madoerastraat;Madoerastraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;512;{E2508BA4-A0BB-4394-AA10-714B9165BE0B}
Soendastraat;Soendastraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;513;{DC103507-72EB-47B9-AB56-6C74CFB5D79B}
Borneostraat;Borneostraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;514;{86F8FDB3-72DE-481C-AA7C-CD796C554F4F}
Bankaplein;Bankaplein;;;Archipelbuurt;5;;;;;residentiekwaliteit;515;{CF31F075-C117-45CE-BEE6-7EA6B22CAB6E}
Lombokstraat;Lombokstraat;;;Archipelbuurt;5;;;;;residentiekwaliteit;516;{8DA520A1-7F32-46C3-9513-508AFAC791D3}
Namensestraat;Namensestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;517;{C4038303-45C4-402C-A615-67A99E52EEAA}
Gentsestraat;Gentsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;518;{26BED6A7-2CAA-4844-826C-EEA32F547868}
Jan Willem Frisolaan;Jan Willem Frisolaan;;;Zorgvliet;10;;;;;residentiekwaliteit;519;{744D1689-1BA6-4C95-85CF-DE629C598260}
Willem de Zwijgerlaan;Willem de Zwijgerlaan;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;520;{55DF0579-E0DF-469A-AF70-B5FBC877FC29}
Archimedesstraat;Archimedesstraat;;;Duinoord;11;;;;;residentiekwaliteit;478;{74CB8AB7-6533-4BA2-B70C-1573F7923E89}
2e Schuytstraat;2e Schuytstraat;;;Duinoord;11;;;;;residentiekwaliteit;479;{874E80F5-A918-49BD-947A-E7793EFE97AE}
Sweelinckplein;Sweelinckplein;;;Duinoord;11;;;;;residentiekwaliteit;480;{60CB7A5E-835D-4D92-877F-A7FE03F96697}
2e Van Blankenburgstraat;2e Van Blankenburgstraat;;;Duinoord;11;;;;;residentiekwaliteit;481;{63E41E37-28E4-468F-B2F4-9E8B070DC2CA}
Hollanderstraat;Hollanderstraat;;;Duinoord;11;;;;;residentiekwaliteit;482;{2EFC0923-3139-45CD-A628-125DE9B2A8D0}
Groot Hertoginnelaan;Groot Hertoginnelaan;;;Duinoord;11;;;;;residentiekwaliteit;483;{DD099070-33F1-41E1-B12F-44012EE0A3A0}
Dunklerstraat;Dunklerstraat;;;Duinoord;11;;;;;residentiekwaliteit;484;{83568D18-8052-435A-975E-366920D0C29C}
Verhulstplein;Verhulstplein;;;Duinoord;11;;;;;residentiekwaliteit;485;{D944D951-9C4C-4093-BBD5-BAF39A3E361F}
Schuytstraat;Schuytstraat;;;Duinoord;11;;;;;residentiekwaliteit;486;{33BE6784-48BA-4968-9651-D4C85FCF2D8F}
Banstraat;Banstraat;;;Duinoord;11;;;;;residentiekwaliteit;487;{6F9083A8-E9D0-47CB-AEE3-0038678E82BA}
1e Sweelinckstraat;1e Sweelinckstraat;;;Duinoord;11;;;;;residentiekwaliteit;488;{FA4DFB7F-1EF1-4AD9-AA08-CBFBB353A124}
Tolweg;Tolweg;;;Zorgvliet;10;;;;;residentiekwaliteit;489;{94DA1FF7-0C3C-486B-B2DC-9A2214524DA8}
Professor B.M.Teldersweg;Professor B. M. Teldersweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;541;{E879B3D4-13C7-4636-9E46-AAF6FE1ABB62}
Van Stolklaan;Van Stolklaan;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;542;{9AAF326F-12B3-4BDA-A64C-8C8306E99E52}
Van Stolkweg;Van Stolkweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;543;{3884CF81-9FF0-4D36-909F-6AD3CD27C57A}
Parkweg;Parkweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;544;{CF4BFDB3-8AA8-4913-AB9D-D131123CB4B5}
Hogeweg;Hogeweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;545;{68693116-CD1D-43BF-91A2-6D15B0AD01D2}
Duinweg;Duinweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;546;{C3F1D7CA-B859-483C-AE8F-39018F4EB847}
Belvedereweg;Belvédèreweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;547;{BC7192E6-317F-453D-8674-BECB0805D62B}
Professor P.S.Gerbrandyweg;Prof. P. S. Gerbrandyweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;548;{D18C28E8-61D8-4E9C-9A14-05173EA752DC}
Abbenbroekweg;Abbenbroekweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;549;{339484DB-A916-4AE5-925D-FE5104F6E796}
Jean Francois van Royenweg;Jean François van Royenweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;550;{288E25E8-C02A-44E6-80FF-C4EFCC33E575}
Gerrit Kasteinweg;Gerrit Kasteinweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;551;{ECF407A7-73DB-4D22-A984-D504084C2635}
Han Stijkelplein;Han Stijkelplein;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;552;{48EF2E20-21EC-4C62-813B-D585CED99A9D}
Johan de Wittlaan;Johan de Wittlaan;;;Zorgvliet;10;;;;;residentiekwaliteit;568;{C0BBEF8F-FF87-4C82-93C4-E7C0F88A5ED3}
President Kennedylaan;President Kennedylaan;;;Duinoord;11;;;;;residentiekwaliteit;569;{0C432043-4510-49EA-A183-2437669FF2B3}
Churchillplein;Churchillplein;;;Zorgvliet;10;;;;World Forum;hofstadkwaliteit;570;{A41FFDE4-9588-41C6-85D8-60C5A8DE45A4}
Arnhemsestraat;Arnhemsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;571;{8D9C2AC7-CEA3-474F-BB5D-910C31913C61}
Haagsestraat;Haagsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;572;{8B5DA82C-06E5-48BD-8C44-2AD272F185FA}
Willem Beukelszoonplein;Willem Beukelszoonplein;;;Scheveningen;7;;;;;residentiekwaliteit;553;{0D8E5548-ADD8-4B09-89EB-645B10E57ABD}
Haringkade;Haringkade;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;554;{C468326B-6F1D-4843-A9F0-85F62546CA47}
Scheveningseweg;Scheveningseweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;555;{02EE4755-1F4B-4542-AFFB-C26429217386}
Pansierstraat;Pansierstraat;;;Scheveningen;7;;;;;residentiekwaliteit;556;{11EF3B82-568C-49C9-A938-ACB5D97E17AE}
Rusthoekstraat;Rusthoekstraat;;;Scheveningen;7;;;;;residentiekwaliteit;557;{7F6BFE43-800E-4096-858D-37BFD629F369}
Ooststraat;Ooststraat;;;Scheveningen;7;;;;;residentiekwaliteit;558;{EF743BB6-F90D-41C0-B8C3-D0E8BB604E20}
Rogstraat;Rogstraat;;;Scheveningen;7;;;;;residentiekwaliteit;559;{18F43BB7-CD6F-4800-843B-F372000D992D}
Vijzelstraat;Vijzelstraat;;;Scheveningen;7;;;;;residentiekwaliteit;560;{B289D80D-5322-411B-8855-CD91BB0D0917}
Willem Kuijperstraat;Willem Kuijperstraat;;;Scheveningen;7;;;;;residentiekwaliteit;561;{11731812-810A-493C-8256-5E0537530306}
Willem Beukelszoonstraat;Willem Beukelszoonstraat;;;Scheveningen;7;;;;;residentiekwaliteit;562;{1E718FCC-BF5E-45D3-83A0-0AF3FFCE52E4}
Cornelis Jolstraat;Cornelis Jolstraat;;;Scheveningen;7;;;;;residentiekwaliteit;563;{E36E916C-6DA1-4066-974C-111363BB620E}
Symonszstraat;Symonszstraat;;;Scheveningen;7;;;;;residentiekwaliteit;564;{3C99C703-1C01-4213-855A-E80264B9CF1A}
Kanaalweg;Kanaalweg;;;Van Stolkpark en Scheveningse Bosjes;6;;;;;residentiekwaliteit;565;{93EF2266-C082-4E8F-ADEB-7C7B5E7C9BD0}
Adriaan Goekooplaan;Adriaan Goekooplaan;;;Zorgvliet;10;;;;;residentiekwaliteit;566;{C3347032-F338-4965-80CF-57AA2615E27A}
Verlengde Tolweg;Verlengde Tolweg;;;Zorgvliet;10;;;;;residentiekwaliteit;567;{23776BC3-56C8-4DE6-B1CC-99623BFE12EB}
Houtrustbrug;Houtrustbrug;;;Duinoord;11;;;;;residentiekwaliteit;526;{33849024-1082-4A79-AB25-CDA341B11E36}
Danckertsstraat;Danckertsstraat;;;Duinoord;11;;;;;residentiekwaliteit;527;{ADF9DECF-C651-4FA2-B181-20122FCC03E4}
Nicolaistraat;Nicolaïstraat;;;Duinoord;11;;;;;residentiekwaliteit;528;{0F17CC01-FFCE-45BE-BAD7-A534CC16C6E6}
Lubeckstraat;Lübeckstraat;;;Duinoord;11;;;;;residentiekwaliteit;529;{9E12E6D7-1AD1-433E-A975-FAD9A69E8243}
Adriaan Pauwstraat;Adriaan Pauwstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;530;{632850B3-494A-4CC3-B4BF-1787E347DE57}
Stadhouderslaan;Stadhouderslaan;;;Zorgvliet;10;;;;;residentiekwaliteit;531;{65026D41-A455-41D0-A9F3-A747CFB895A6}
Cornelis de Wittlaan;Cornelis de Wittlaan;;;Duinoord;11;;;;;residentiekwaliteit;532;{69A66F28-3ED7-4CA5-9B96-56DAC684C31F}
Van Loostraat;Van Loostraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;533;{14AF793D-8EF2-4A93-A71C-59004520BD4F}
Aert van der Goesstraat;Aert van der Goesstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;534;{D5A3D5F5-CFF5-4BD6-BA34-F2363AE7A346}
2e Antonie Heinsiusstraat;2e Antonie Heinsiusstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;535;{7E6919EE-8A9F-4EAC-AF34-9983D494D626}
Van Beverningkstraat;Van Beverningkstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;536;{D9214BD7-44F4-455A-A6F6-EC265476B002}
Frederik Hendrikplein;Frederik Hendrikplein;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;537;{F10E07C0-D49A-45A4-835F-278C625183EE}
Antonie Duyckstraat;Antonie Duyckstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;538;{2BD82099-5952-4723-98BF-6142966058D9}
Kerklaan;Kerklaan;;;Scheveningen;7;;;;;residentiekwaliteit;539;{080C38D5-F9DB-416F-A3F6-CC3F26AFD926}
Jacob Vermijstraat;Jacob Vermijstraat;;;Scheveningen;7;;;;;residentiekwaliteit;540;{6BCB1834-9ACA-424F-AF58-08887509D44D}
Stevinstraat;Stevinstraat;;;Belgisch Park;2;;;;;residentiekwaliteit;573;{2FE143A9-05B7-4EAB-AA66-C4E4DA8D7A5E}
Middelburgsestraat;Middelburgsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;574;{036728A4-35B1-4432-B4AC-EB36C1451D8F}
Berkenbosch Blokstraat;Berkenbosch Blokstraat;;;Scheveningen;7;;;;;residentiekwaliteit;575;{17EDFE95-83CC-4E65-81DC-8888D5C8FDCF}
Harstenhoekplein;Harstenhoekplein;;;Belgisch Park;2;;;;;residentiekwaliteit;576;{25311AC0-5F5C-4171-980A-738359E7EE7E}
Amsterdamsestraat;Amsterdamsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;577;{4A7347E8-025B-43C4-A946-A7CB1BC71E71}
Statenlaan;Statenlaan;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;595;{6E0098C1-AF41-43C3-9018-2415BEADF2C5}
Rooseveltplantsoen;Rooseveltplantsoen;;;Zorgvliet;10;;;;World Forum;hofstadkwaliteit;596;{6645D420-47F8-474C-B6D1-515202B47BA5}
Johan van Oldenbarneveltlaan;Johan van Oldenbarneveltlaan;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;597;{B1AF3939-EDB8-436D-8A83-482FF2BC3702}
Van Dorpstraat;Van Dorpstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;598;{5144BF10-F20A-4D29-9779-2B3576522176}
Frankenstraat;Frankenstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;599;{FA8D33ED-726B-49A1-A5A7-5594CBB5770C}
Verseveldtweg;Verseveldtweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;600;{5E65CA36-7E0E-4DF4-A050-2EFF7D6508F5}
Leo Voogdweg;Leo Voogdweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;601;{7D85B496-7272-46C4-8798-A45889496D7F}
Adrien Moonenweg;Adriën Moonenweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;602;{D1F5B2AC-29F4-41EF-B7C1-FA9CF7740B7E}
Maurits de Brauwweg;Maurits de Brauwweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;603;{77B0B234-D6C7-43DF-AF25-118698EBF611}
Jacob Mulderweg;Jacob Mulderweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;604;{5EED84A8-3DD0-4BCE-865B-8C2024D30453}
Bertus Rimaweg;Bertus Rimaweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;605;{0785C0B7-FB5F-4632-BA77-C2B584FF62EB}
Kwekerijweg;Kwekerijweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;606;{E5CDE4F9-6FB1-414C-AD36-7314501AC5E9}
Klatteweg;Klatteweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;607;{C83CDB5B-B32F-4066-8344-3DAAF5E7E0E6}
Tapijtweg;Tapijtweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;608;{0B1D19C0-5C0D-4F1E-AA1F-B7AA3FF7F9E1}
Van Lennepweg;Van Lennepweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;609;{9FE6F48C-E693-4A34-A85F-8A40089E3230}
Hasseltsestraat;Hasseltsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;626;{A216DFFF-C638-4AFB-B94E-179B3BD56092}
Belgischeplein;Belgischeplein;;;Belgisch Park;2;;;;;residentiekwaliteit;627;{9CC16516-7756-43FB-A0E1-0BC74557F64F}
Maastrichtsestraat;Maastrichtsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;628;{1E4CB332-7B09-4A45-8F7C-6D05082879EA}
Dordtsestraat;Dordtsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;629;{E4F93AA1-0446-4ADC-8722-AC39745F348E}
Amersfoortsestraat;Amersfoortsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;630;{02BAC298-C015-4AC9-AC67-FC08BD59095D}
Leeuwardensestraat;Leeuwardensestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;631;{283D4450-E4C2-4FC8-939A-B1BBC54F4512}
Assensestraat;Assensestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;632;{9DF1D553-6439-4E16-B81D-31266B58D459}
Zutfensestraat;Zutfensestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;633;{BE9A6C56-523F-401A-BABD-C5CCFFE56061}
Deventersestraat;Deventersestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;634;{42D5F0C2-D859-4504-B5B9-FBC542DCFACD}
Bosschestraat;Bosschestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;635;{810261B4-5F39-46DB-BBF0-67053D99C31B}
Van Bleiswijkstraat;Van Bleiswijkstraat;;;Geuzen- en Statenkwartier;9;;;;;residentiekwaliteit;636;{D27844C3-6E65-4AB6-9E65-67391A932CF5}
Borweg;Borweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;610;{149F84C7-1A36-495E-88B7-22831D59AEC5}
Cremerweg;Cremerweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;611;{D20E592A-97F6-4483-B9BF-0FDA55C4C1AD}
Ypersestraat;Ypersestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;612;{F882AC2D-13EA-4645-ADA9-B17AD29DD32E}
Kapelweg;Kapelweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;613;{A54B5BE8-6003-4D96-ABB9-2978D0F085C0}
Nieuwe Duinweg;Nieuwe Duinweg;;;Westbroekpark en Duttendel;3;;;;;residentiekwaliteit;614;{F06E15B3-2803-4A46-9E43-6AC5F4FE9EC5}
Rijslag;Rijslag;;;Scheveningen;7;;;;;residentiekwaliteit;615;{2E536C14-273C-4006-AA0E-3CE1944120EF}
Doorniksestraat;Doorniksestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;616;{AA0C21DC-01BC-4335-BE8D-14AD7317DC29}
Brusselselaan;Brusselselaan;;;Belgisch Park;2;;;;;residentiekwaliteit;617;{BE9B4A07-A75E-47C0-85CB-D8391193EA55}
Antwerpsestraat;Antwerpsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;618;{6418D2E9-FA28-4805-BEFC-6451A845888A}
Luiksestraat;Luiksestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;619;{F13E2E2B-7654-49EC-A884-E0586C155C0B}
Leuvensestraat;Leuvensestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;620;{1097A21B-A155-41A8-BBC9-660E4A22A975}
Mechelsestraat;Mechelsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;621;{9C51834A-744E-4B5B-811D-9C8ED4CF5F3F}
Brugsestraat;Brugsestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;622;{9183F08A-9DB4-4A34-8ABA-B8F70253F0FA}
Duinkerksestraat;Duinkerksestraat;;;Belgisch Park;2;;;;;residentiekwaliteit;623;{ECAC2BB7-FE2F-4E4F-BAEC-CDD179838294}
