Leverancier;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9520 - BZK specifiek;9530 - DEF specifiek;Eindtotaal
Jacobse Hulsebosch & Doorduyn Notarissen;;;1;;1
Jan Brouwer Architect;;;;1;1
Jansen Bartels Installatietechniek;;;;1;1
Jansma en Van Dijk B.V.;;;;6;6
Jongewaard Heemskerk NVM Makelaars;;;1;;1
Joulz Infradiensten B.V.;;;;2;2
Julisaemi;;;1;;1
Junior Construction;;;;2;2
Jurriëns Midden B.V.;;;1;;1
Jurriëns Noord;;;2;;2
JUST Notarissen B.V.;;;1;;1
K_Dekker bouw & infra B.V.;;;;6;6
Kalisvaart Technisch Beheer B.V.;;;1;;1
Kampschöer & Verroen Notarissen B.V.;;;1;;1
Kantelingen B.V.;;;;2;2
KCAP Partners;;;4;;4
Kennelbouw Exclusief V.O.F.;;;;1;1
Kerkhof & Kakkenberg Rentmeesters;;;1;;1
Kerkhof Technische Installaties Leersum B.V.;;;;3;3
Klein Poelhuis Emmeloord B.V.;;;;5;5
Klimaatservice Holland B.V.;;;;4;4
Klimwandspecialist;;;;7;7
Knol Bouwgroep B.V.;;;;7;7
Koenders & Partners;;;1;;1
Koenders & Partners advis. en procesman. B.V.;;;1;4;4
Koers Gouda;;;5;;5
Koers Groep B.V.;;;5;;5
Kolpa Architecten;;;2;;2
Kone Gevelliftinstallaties;;;;1;1
Koning & Hartman B.V.;;;;2;2
Konings Grondboorbedrijf B.V.;;;;1;1
Koninklijke Van Twist B.V.;;;;2;2
Konstruktiebedrijf Roodenburg;;;;1;1
Kooijman Autar Notarissen;;;1;;1
Koolstra Advies;;;;1;1
Koopmans Bouw B.V.;;;;6;6
Koopmans Bouwgroep B.V.;;;;4;4
Korbee van der Kroft Architecten B.V.;;;2;;2
KPN B.V.;;;;1;1
Kraaijvanger B.V.;;;;2;2
Kraan Van der Kolk Vastgoed B.V.;;;1;;1
Krachtwijken;;;2;;2
Kragten B.V.;;;;1;1
Kropman Installatietechniek;;;1;2;2
Kropman Installatietechniek B.V.;;;4;;4
Kruidenier Recreatie Bedr.makelaar/taxaties;;;1;;1
Kuijpers Installaties;;;;3;3
Kunstwacht B.V.;;;1;;1
KWS Infra Rotterdam;;;;7;7
Laarberg Notarissen en Scheidingsbemiddelaars;;;1;;1
Laco Zwembad Hoogerheide;;;;3;3
Lammertink Bouwbedrijf B.V.;;;2;6;6
Landal Heideheuvel;;;1;;1
Landgoed Den Treek-Henschoten N.V.;;;;1;1
Landman Notariaat Meppel B.V.;;;1;;1
LANDSADVOCAAT DE;;;;2;2
Lara Voerman;;;;2;2
LAUDY Bouw & Ontwikkeling B.V.;;;;5;5
Laurax Notariaat B.V.;;;1;;1
LCON B.V.;;;;2;2
Leemans Speciaalwerken B.V.;;;5;4;5
Leyten & v.d. Linde Rentmeest. en Makel. B.V.;;;1;;1
Liander N.V.;;;1;4;4
Liemers Wegenbouw B.V.;;;;4;4
Lievense Milieu B.V.;;;3;4;4
Life Safety Inspection Services B.V.;;;1;;1
Linde Notarissen B.V.;;;1;;1
Linden Staalbouw;;;1;;1
Lingewaerd Notarissen B.V.;;;1;;1
Logitech B.V.;;;;2;2
Loon- en Verhuurbedrijf De West C.V.;;;1;;1
Loonbedrijf Berg B.V.;;;1;;1
Loonbedrijf Schriek en Hol B.V.;;;;2;2
Loonbedrijf Van Dun B.V.;;;2;;2
M.R.S. Installatietechniek;;;;1;1
Maatsch. van Gestel & vd Schraaf Familierecht;;;1;;1
Maatschap Brinkman & Rensen Notarissen;;;1;;1
MakeCover B.V.;;;;1;1
Makelaardij Schokland;;;1;;1
Mansveld Projecten & Services B.V.;;;;3;3
Manutan B.V.;;;1;;1
Margit Kranenburg;;;;1;1
Marine Construction Consultancy;;;;5;5
Marjan van Aubel Studio B.V.;;;1;;1
Marks Wachters Praktijk B.V.;;;1;1;1
MarkVliet Netwerk Notarissen;;;1;;1
MARO Timmerwerken;;;1;;1
Marsoft Kabeltelevisie & Communicatie;;;;4;4
MAS architectuur;;;1;;1
Mauritshuis;;;2;;2
Mecanoo Architecten B.V.;;;2;;2
MediMetra;;;1;;1
Meeberg Projectmanagement en Bouwadvies B.V.;;;;2;2
Meerinzicht;;;6;;6
Mees Ruimte & Milieu;;;2;;2
Meesters in B.V.;;;;2;2
Meijers Projectvloeren B.V.;;;;1;1
Mennens Hengelo B.V.;;;;3;3
Merkx Vugts & Vlemmix Notarissen;;;1;;1
Metis Notarissen B.V.;;;1;;1
Metos B.V.;;;;1;1
Milieu Service Nederland B.V.;;;1;;1
Millvision B.V.;;;;2;2
MILON B.V.;;;;1;1
Mitsubishi Elevator Europe B.V.;;;;1;1
Miviko B.V.;;;;1;1
Mobius Consult B.V.;;;;2;2
Moerland Makelaardij 'O.G.' B.V.;;;1;;1
Moerland Notaris B.V.;;;1;;1
Monaco Schoonmaakbedrijf;;;1;;1
Monsdal Limburg Noord B.V.;;;;1;1
Motus;;;2;;2
Movares Nederland B.V.;;;;2;2
Mr A.J. Hoogendoorn;;;1;;1
Mr. K.M. Rientjes Notaris B.V.;;;1;;1
MSI-Sign Group B.V.;;;;1;1
MST SYSTEMS B.V.;;;;1;1
MUG Ingenieursbureau;;;;1;1
Multi-Deur Service B.V.;;;;3;3
Multidiensten-DM;;;1;;1
MVRDV B.V.;;;2;;2
MW InZicht;;;;2;2
MW Notariaat;;;1;;1
N.A. van den Hoven & Zonen B.V.;;;;1;1
N.E. Schildersbedrijf & More;;;1;;1
N.V. Luchthaven Lelystad;;;;5;5
N.V. Notariskantoor Van Ligten & Van Ligten;;;1;;1
NAB Bliksembeveiliging B.V.;;;;1;1
Natuurbalans/Limes Divergens B.V.;;;1;4;4
NatuurInclusief;;;;1;1
Natuurlijk! Fauna-advies;;;2;;2
NCC Group Escrow Europe B.V.;;;1;;1
NDC mediagroep B.V.;;;;1;1
Nebest B.V.;;;1;1;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;4;4
Nederman Nederland B.V.;;;;4;4
Nemacontrol;;;3;;3
Neptunus B.V.;;;;7;7
NEXT architects B.V.;;;2;;2
NIBAG B.V.;;;;1;1
NIBE B.V.;;;3;;3
Nieman Raadgevende Ingenieurs B.V.;;;;1;1
Nieman-Kettlitz Gevel- en Dakadvies B.V.;;;;2;2
Nieuwegein (NWG), Waternet;;;3;;3
Nieuwenhuijse Arends B.V.;;;1;4;4
NLR;;;;1;1
Nonak;;;;4;4
Noordam;;;1;;1
Norisk Keymanagement B.V.;;;;2;2
North Sea Port Netherlands N.V.;;;1;;1
Notariaat Born;;;1;;1
Notariaat De Gier;;;1;;1
Notariaat Gorinchem B.V.;;;1;;1
Notariaat Hattem;;;1;;1
Notariaat In de Tiendschuur B.V.;;;2;;2
Notariaat Pas B.V.;;;1;;1
Notariaat Valkenburg B.V.;;;1;;1
Notaris Elshof Rhenen B.V.;;;1;;1
Notaris Herwig;;;1;;1
Notaris IJdema B.V.;;;1;;1
Notaris mr R.E.A.A. Meuwissen;;;1;;1
Notaris Passmann;;;1;;1
Notarishuys Veldhoven;;;1;;1
Notariskant. Jhr. Mr. O.W.D.C. von Hertzberg;;;1;;1
Notariskantoor Beugelink Kluitenberg;;;1;;1
Notariskantoor De Jong;;;1;;1
Notariskantoor Ellemers;;;1;;1
Notariskantoor Herweijer;;;1;;1
Notariskantoor Hoogerheide;;;1;;1
Notariskantoor Kerkrade B.V.;;;1;;1
Notariskantoor Kruis-Sweere;;;1;;1
Notariskantoor Megchelsen & Haksteen;;;1;;1
Notariskantoor Mirjam Bos;;;1;;1
Notariskantoor mr. A.B. Volders B.V.;;;1;;1
Notariskantoor Mr. A.J. Nicolai;;;1;;1
Notariskantoor mr. H.J.N. Bakker B.V.;;;1;;1
Notariskantoor mr. R.E. Troost B.V.;;;1;;1
Notariskantoor Mr. S.P.P.M. Soons;;;1;;1
Notariskantoor Mr. T.A. Dantuma;;;1;;1
Notariskantoor Oudewater B.V.;;;1;;1
Notariskantoor Paauwe;;;1;;1
Notariskantoor Pels Rijcken;;;2;;2
Notariskantoor Reinsma;;;1;;1
Notariskantoor Roerdalen;;;1;;1
Notariskantoor Schuite B.V.;;;1;;1
Notariskantoor Spier & Hazenberg;;;1;;1
Notariskantoor Stigter & Leskens B.V.;;;1;;1
Notariskantoor Stoker;;;1;;1
Notariskantoor Teeuwen B.V.;;;1;;1
Notariskantoor Vermeeren;;;1;;1
Notariskantoor Vermeul;;;1;;1
Notariskantoor Wille;;;1;;1
Notariskantoor Zwanikken;;;1;;1
Notarispraktijk Lautenbach B.V.;;;1;;1
Notarispraktijk Mr D.J. Post B.V.;;;1;;1
Notarispraktijk Mr Dr R.C. van Dongen;;;1;;1
Notarispraktijk Mr. W.K. Vonk B.V.;;;1;;1
Notarissen Elst;;;1;;1
Notariswerk Rispens B.V.;;;1;;1
Notuleerservice Nederland B.V.;;;;1;1
Nouwen Notarissen;;;1;;1
Novitarius/Van Esch Wisse;;;1;;1
Novo Projectstoffering B.V.;;;;6;6
NRI (Nationaal Registratie Instituut) B.V.;;;2;;2
Nuijten Holding B.V.;;;;2;2
NXD Solutions;;;;1;1
Obelisk B.V.;;;2;;2
OBIN;;;1;;1
Octo-Plus B.V.;;;;1;1
Oesterbaai B.V.;;;;1;1
Ohra Zorgverzekeringen;;;1;;1
Ollie Nollie B.V.;;;1;;1
One-2-ten Customer Rating Systems B.V.;1;;;;1
OnlyHuman Groep B.V.;;;3;;3
Ooijevaar - bevlogen bouwers;;;;2;2
Oosterhof Holman Beton- en Waterbouw B.V.;;;;1;1
Oosterhof Holman Milieutechniek B.V.;;;5;;5
Oosterhof Juridische Ondersteuning;;;2;;2
Oosterveen's Oliehandel B.V.;;;1;;1
Open Text Coöperatief U.A.;;;7;;7
Opticopper;;;;2;2
Optisport Huizen B.V.;;;;1;1
Ordito Gilze B.V.;;;;2;2
Oskam Asbestverwijdering B.V.;;;;3;3
Otis B.V.;;;;3;3
Otjens Groep B.V.;;;;1;1
Outdoor Bakkeveen;;;;6;6
Ouwerkerk Tekst & Advies;;;1;;1
P&O North Sea Ferries B.V.;;;;5;5
P. Hellemons Schilders- en Afwerkingsbedrijf;;;;3;3
P. Smit B.V.;;;;2;2
P.H.H. de Vet B.V.;;;;1;1
P.V. Nat. Lucht- en Ruimtevaartlaborat.;;;5;;5
P.W.D.;;;;1;1
Painting Bouw B.V.;;;5;;5
Palmen & Dassen Notarissen;;;1;;1
Partiar B.V.;;;1;;1
Patina Valbeveiliging B.V.;;;;1;1
PBK Technische Installaties;;;2;;2
PBLQ B.V.;;;2;;2
PCW Huisvestingsadvies en Projectbegeleiding;;;4;;4
Pekel en Klein Notarissen;;;1;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;4;7;7
Peutz B.V.;;;1;2;2
PHB De Combi Nijmegen B.V.;;;;5;5
PHB Facility;;;;7;7
Pigmans Ras Janssen notarissen;;;1;;1
Pijl-Plus B.V.;;;;1;1
Pius Floris Boomverzorging Vught;;;1;;1
PJ Milieu B.V.;;;;4;4
Places real estate B.V.;;;2;;2
Plantentuin van Donkelaar V.O.F.;;;1;;1
Ploum Technology B.V.;;;;2;2
Plymovent Industrial Solutions B.V.;;;;2;2
PMDO B.V.;;;;2;2
Pol Safety;;;;2;2
Pole Air Koeltechniek;;;;1;1
Polvo B.V.;;;;1;1
Poppinghaus Notariskantoor;;;1;;1
Pouw Project Management;;;1;;1
Powertec Diesel Services B.V.;;;;4;4
Praktijkonderwijs Zutphen;;;1;;1
Pranger-Rosier Installaties B.V.;;;1;6;6
Presence Translate & Interact B.V.;;;1;;1
Prick & Van Houtum notarissen;;;1;;1
Prins Bouw B.V.;;;;2;2
Prisma Groep B.V.;;;;2;2
Prof. dr. Mick Eekhout Associates;;;;1;1
Project Ontwerp B.V.;;;;1;1
Project Team Energy B.V.;;;4;;4
Projectburo B.V.;;;;2;2
Projectvloeren Nederland B.V.;;;;4;4
Promenade Hotel B.V.;;;2;;2
ProRail B.V.;;;;2;2
Prorisk Security Management N.V.;;;;2;2
Prostairs traprenovatie;;;1;;1
Putman Onderhoudsdiensten B.V.;;;7;;7
PVM Notarissen B.V.;;;1;;1
PVU Gerechtsdeurwaarders;;;1;;1
Qander Consumer Finance B.V.;;;1;;1
Q-Park Nederland;;;;6;6
Q-Park Parking Eindhoven B.V.;;;;1;1
Q-Park Parking Hooghuis;;;;1;1
Qualified Sales B.V.;;;;1;1
Quatro Systems B.V.;;;;4;4
Questionmarkgroup B.V.;;;;2;2
Quint;;;2;;2
Quite Write;;;;1;1
QuoVadis Trustlink B.V.;;;2;;2
R & F Afbouw en Montage;;;1;1;1
R&B Real Estate B.V.;;;1;;1
R.D.E. Daverschot;;;1;;1
R.E.C. Real Estate Consulting;;;1;;1
R2B Inspecties B.V.;;;;1;1
Raadg. Ingenieursbur. Wiertsema & Partn. B.V.;;;;2;2
Raap Archeologisch Adviesbureau B.V.;;;;4;4
Ramkema Makelaardij B.V.;;;1;;1
Randstad Resource Bedrijf Zakelijk B.V.;;;;1;1
Ranox B.V.;;;;2;2
Rasenberg Asbestverwijdering B.V.;;;;1;1
Rasenberg Infra, regio Zuid-West;;;;7;7
RAVON;;;;1;1
RCS Advies;;;1;;1
reA B.V.;;;2;;2
Realnomics B.V.;;;2;;2
Reaseuro;;;1;4;5
Regelink Ecologie B.V.;;;;1;1
REKO Grondv.- en Wegenbouwbedrijf Raalte B.V.;;;;4;4
Relining Advies B.V.;;;;1;1
REMONDIS Dusseldorp Rioolservice B.V.;;;;3;3
Renewi Nederland B.V.;;;1;;1
Rensen Regeltechniek B.V.;;;;2;2
Rijkaart;;;;4;4
RijksBredius Notarissen B.V.;;;1;;1
Riool & Wegenbeheer Baard;;;;3;3
RIR;;;;1;1
Rite-Hite Benelux B.V.;;;;1;1
Rivierdael Netwerk Notarissen B.V.;;;1;;1
RMD Bouw Beheer BV;;;1;;1
Roamler Nederland B.V.;;;;1;1
Rockview V.O.F.;;;;1;1
Rodrigues & Batelaan Management Consult B.V.;;;2;;2
Roessen & Roessen Opslag B.V.;;;2;;2
ROHDE & GRAHL B.V.;;;;2;2
Rontrex Asbest B.V.;;;;1;1
Rouwmaat Groenlo B.V.;;;;1;1
ROVC Certificeringen B.V.;;;1;;1
Rowij Bouwchemie B.V.;;;;1;1
RPS advies- en ingenieursbureau B.V.;;;1;4;4
RPS Analyse B.V.;;;;1;1
RSK Netherlands;;;;2;2
RSP Taxaties & Vastgoedadvies B.V.;;;1;;1
RWV Advocaten;;;2;;2
Safety Masters;;;1;;1
Sagro Aannemingsmaatschappij Zeeland B.V.;;;2;6;6
SAGRO INFRA, MILIEU EN SLOOP;;;1;;1
Sagro Milieu Advies Zeeland B.V.;;;;1;1
SAM Sloop-, asbest & milieuadvies B.V.;;;1;;1
Samenwerkingsverband E&F Verhuur;;;1;;1
Saricon B.V.;;;;3;3
SAS Office Genealogique Bovyn-Dechn;;;2;;2
Satellietkantoor Utrecht;;;;5;5
SBR Vloeren & Interieur B.V.;;;;1;1
Schaap Advocaten en Notarissen;;;1;;1
Schekman Elektrotechniek B.V.;;;3;;3
Schermer Installatietechniek;;;;5;5
Schietsportvereniging 'Het Markiezaat';;;;4;4
Schilder- & Onderh.bedr. van der Kruijs B.V.;;;;3;3
Schildersbedrijf Beer en van de Hulst B.V.;;;;2;2
Schildersbedrijf T. van de Pol;;;;2;2
Schildersbedrijf Wolters B.V.;;;;2;2
Schindler Liften B.V.;;;2;;2
Schiphol Nederland B.V.;;;;6;6
Schiphol Real Estate B.V.;;;;1;1
Schokker Adviseur Bouw;;;1;;1
Schoonderbeek Installatie B.V.;;;3;;3
Schoonmaakbedrijf Heuvelman B.V.;;;1;;1
Schoonmaakbedrijf Jeurcrama B.V.;;;;1;1
Schot Van Loon Notariaat;;;1;;1
Schuiteman Woninginrichting;;;;2;2
Schuuring Installatie Techniek B.V.;;;;6;6
Search Milieu;;;;4;4
Sekuer Notarissen B.V.;;;1;;1
Service bedrijf Jelle;;;1;;1
Service Dienst Van Leeuwen;;;1;;1
Seydlitz Notarissen B.V.;;;2;;2
SGS Nederland B.V.;;;;1;1
SGS Search Opleidingen B.V.;;;1;;1
Shell Nederland B.V.;;;7;;7
Siemens Nederland N.V.;;;1;7;7
SIGHT Landscaping B.V.;;;1;5;5
Signa Notarissen B.V.;;;1;;1
SITE Urban Development B.V.;;;2;;2
SizeWork;;;;1;1
SK FireSafety Group B.V.;;;;7;7
SKG-IKOB Certificatie B.V.;;;2;;2
Sloopbedrijf J.H. Oosterbeek B.V.;;;1;;1
Slopen en Saneren B.V.;;;4;;4
Smalbraak Notarissen B.V.;;;1;;1
Smits Van Burgst Beheer en Onderhoud B.V.;;;;3;3
Snackcar;;;;1;1
Socufun;;;;1;1
Solid Services B.V.;;;;1;1
Sophia Engineering B.V.;;;;2;2
Sovon Vogelonderzoek Nederland;;;;2;2
Speed Clean Mobile Franchise B.V.;;;;2;2
Spek & Van den Beld Notariaat;;;1;;1
SPIE Infratechniek B.V.;;;;3;3
SPIE Nederland B.V.;;;;7;7
Spijkerman Prefab Solutions B.V.;;;;2;2
Spinlight;;;;2;2
Sportbedrijf Rotterdam B.V.;;;;4;4
SRO Amersfoort B.V.;;;;1;1
Stanley Security Nederland B.V.;;;;1;1
Staro Natuur en Buitengebied;;;1;;1
Statisfact B.V.;;;2;;2
STB;;;;1;1
Stedin;;;1;;1
Steegman Elektrotechniek B.V.;;;;8;8
SteenhuisMeurs;;;2;;2
Stefan van Nuland Timmerwerk en Montage;;;;2;2
Stena Line B.V.;;;;6;6
Stg. Prot. Chr. Voortg. Ond. in Gouda e.o.;;;2;;2
Sticht. R.K. Begraafplaatsen te 's-Gravenhage;;;1;;1
Stichting A-Film;;;2;;2
Stichting ArchiNed;;;;1;1
Stichting Architectuur Lokaal;;;;2;2
Stichting Bargerveen;;;;2;2
Stichting Bewaarder Dutchveste;;;;;
Stichting Bodembeheer Nederland;;;1;;1
Stichting Bouwreflectie;;;;1;1
Stichting BPL Pensioen;;;1;;1
Stichting CCGR;;;;1;1
Stichting De Bouwcampus;;;;3;3
Stichting Delft SD;;;;;
Stichting Deltares;;;;2;2
Stichting Dutch Design Foundation;;;;1;1
Stichting Dutch Green Building Council;;;;2;2
Stichting FutureCity;;;;2;2
Stichting Huisvesting Vredewold;;;1;;1
Stichting In ArcadiÃ«;;;;1;1
Stichting Kennis Gebiedsontwikkeling (SKG);;;;1;1
Stichting Mentorschap Rotterdam e.o.;;;1;;1
Stichting Monumentenwacht Gelderland;;;1;1;1
Stichting Nijestee;;;1;;1
Stichting Pensioenfonds ABP;;;7;;7
Stichting Schuldsanering ATAB;;;1;;1
Stichting SVB-BGT;;;;4;4
Stichting VastgoedsociÃ«teit Haaglanden;;;1;;1
Stichting Vrienden der Geldersche Kasteelen;;;;1;1
Stichting Waternet;;;5;;5
Stichting Waterweg Wonen;;;1;;1
Stichting Ymere;;;1;;1
Stichting Zone 3;;;1;;1
Stichting Zuiderzeemuseum;;;1;;1
STINAPA Bonaire National Parks;;;1;;1
StoredEnergy B.V.;;;2;;2
Stoverink Int.bouw & Stoverink Int.mont. B.V.;;;;2;2
Strak;;;;1;1
Strooming;;;2;;2
Struijk Milieu B.V.;;;2;;2
Strukton Milieutechniek B.V.;;;;3;3
Strukton Worksphere B.V.;;;;2;2
Studio id+;;;;2;2
Studio Judelande;;;;1;1
studio L A;;;;1;1
Studio Platz;;;;2;2
studionvb;;;;1;1
SUEZ RR IWS Remediation;;;;6;6
Superuse Studios NL B.V.;;;3;;3
Sustainable Outlook B.V.;;;2;1;2
Sweco Nederland B.V.;;;2;4;4
SWG Advocaten;;;2;;2
Synchro Bedrijfshuisvesting B.V.;;;2;;2
T & A Survey Drone Services;;;;2;2
T&T Compet&t.b.v.;;;1;;1
Tab B.V.;;;1;;1
Tak Architektenbureau;;;;1;1
Tauw B.V.;;;5;5;6
TAVELA B.V.;;;1;;1
Taylor Elektrotechniek Den Helder B.V.;;;4;;4
Te Lindert Notaris;;;1;;1
team V architectuur B.V.;;;;2;2
Team2 Advies;;;1;;1
Techniplan Adviseurs B.V.;;;1;;1
Technisch Installatiebedrijf Rood B.V.;;;;2;2
Technology Base;;;;2;2
TEMPO-deur B.V.;;;;1;1
TES Install.techn. Service & Onderhoud B.V.;;;;4;4
TES Installatietechniek Tilburg B.V.;;;;3;3
The Resources Factory B.V.;;;3;;3
The Three Engineers Consultants B.V.;;;;1;1
Thole Access Systems B.V.;;;;1;1
thyssenkrupp Liften Branch Noord;;;;1;1
Tigra Zoetermeer;;;2;;2
Tila;;;1;;1
TiMove;;;1;;1
Tint Bur. v. Grafisch Vormgeving;;;1;;1
Tismo;;;;1;1
Tjaden Adviesbureau voor Grondmechanica B.V.;;;1;1;2
TODAY DESIGNERS B.V.;;;;1;1
Toddshop.nl;;;2;;2
Tomlow + Partners Notarissen B.V.;;;1;;1
Top Movers Nederland B.V.;;;;2;2
TPAHG Architecten BNA;;;2;2;2
Tr.en Aannemingsbedr.H.M.S. Den Helder B.V.;;;;1;1
Transect B.V.;;;1;;1
Transportbedrijf Jan Zevenhuizen B.V.;;;;2;2
Travailleur Praktijk B.V.;;;1;;1
Trias Notarissen;;;1;;1
Trip Advocaten & Notarissen;;;1;;1
Triwa Heerenveen;;;;1;1
Troax B.V.;;;;1;1
TSA B.V.;;;;2;2
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;;;;2;2
Tyco Fire and Security Nederland B.V.;;;;7;7
U.C. Technologies B.V.;;;;2;2
Uitgeester Notariaat B.V.;;;1;;1
Uitgeverij THOTH B.V.;;;;2;2
Uitvaart Zorgcentrum van der Kraan B.V.;;;1;;1
Uitvaartverzorging De Witte Lelie;;;2;;2
Ulder;;;2;;2
Under Construction;;;3;;3
Unica Datacenters B.V.;;;;7;7
Unica Fire Safety B.V.;;;;1;1
Unica Installatietechniek;;;;7;7
Unica Regeltechniek B.V.;;;;1;1
Uniglas B.V.;;;1;;1
Union Springs B.V.;;;1;;1
Urban Sync B.V.;;;2;;2
USG Marketing, Communication & Sales Prof.;;;;2;2
V.O.F. Klift Roest Wonen;;;;1;1
V.O.F. Las- en Constructiebedrijf Kiljan;;;1;2;2
V.o.f. Maas Recreatie Bedrijfsmakelaardij;;;2;;2
V.O.F. Rommens-Wijne;;;1;;1
V.O.F. Thales Unica;;;;7;7
Vaccinatiezorg B.V.;;;1;;1
Valentin;;;3;;3
Value Services B.V.;;;2;;2
Van Beek Ingenieurs B.V.;;;4;2;5
Van Benthem's Aannemingsbedrijf B.V.;;;;2;2
Van de Vijver B.V.;;;1;;1
Van de Weerd Taxaties B.V.;;;1;;1
Van den Herik-Sliedrecht;;;;2;2
Van den Heuvel Aannemingsbedrijf B.V.;;;;3;3
Van der Goes en Groot Adviesbureau B.V.;;;;1;1
Van der Heide Bliksembeveiliging;;;;1;1
Van der Heijden Milieu- en Install.techn.;;;;2;2
Van der Hoeven Jacht- en Scheepswerf;;;;1;1
Van der Hoeven Milieu Service B.V.;;;5;;5
Van der Kolk B.V.;;;;1;1
Van der Straaten Geotechniek B.V.;;;;1;1
Van der Valk Netwerk Notarissen B.V.;;;1;;1
Van der Velden Rioleringsbeheer Buren B.V.;;;;1;1
Van der Wal Sloopwerken B.V.;;;;5;5
Van der Weegen Onderhoud & Renovatie B.V.;;;;7;7
Van der Zanden Milieu B.V.;;;;1;1
van der Zwan elektrotechniek;;;1;;1
Van Dijk de Jongh Notarissen;;;1;;1
Van Dijk Geo- en Milieutechniek B.V.;;;;2;2
Van Dijnsen Installatiewerken B.V.;;;;1;1
Van Doorn Amerongen B.V.;;;;1;1
Van Dorp installaties B.V.;;;;4;4
Van Drunen Installatiegroep B.V.;;;;2;2
Van Duin Installatie Management;;;;1;1
Van Gelder Kabel-/Leiding-/Montagewerken B.V.;;;;4;4
Van Ginderen B.V.;;;2;;2
Van Hecke Houben Notarissen B.V.;;;1;;1
Van Helvoirt Groenprojecten B.V.;;;1;;1
Van Hoef Advocatuur;;;1;;1
Van Hoogevest Architecten B.V.;;;2;;2
Van Hussen Kock Van Puijenbroek Notaris. B.V.;;;1;;1
Van Kreij Notariskantoor;;;1;;1
Van Lanschot Nannenga Naus Rentmeesters B.V.;;;1;;1
Van Leussen Van den Broek notarissen;;;1;;1
Van Lierop B.V.;;;1;;1
Van Meerwijk Holding B.V.;;;1;;1
Van Ooijen Gouda B.V.;;;;6;6
Van Santen Advies;;;1;;1
Van Santen Advies B.V.;;;1;;1
Van Stipdonk Landschapsinrichting B.V.;;;;2;2
Van Stratum Techniek B.V.;;;;1;1
Van Weeghel Doppenberg Kamps Notarissen;;;1;;1
Van Wijnen Gorredijk B.V.;;;;7;7
Van Wijnen Vastgoedbeheer Noord B.V.;;;;6;6
Vastgoed Rietveld B.V.;;;4;;4
vdSande Bosbeheer en Ecologie;;;;1;1
Velder B.V.;;;9;;9
Veolia Gebouwenbeheer B.V.;;;;2;2
Ver. van Eig. Bezuidenhoutseweg 20 & Boslaan;;;2;;2
Verdonck, Klooster & Associates B.V.;;;4;;4
Vereniging voor Energie, Milieu en Water;;;;2;2
Verheggen Elektrotechniek B.V.;;;;1;1
Verheij Groenvoorzieningen B.V.;;;1;3;3
Verhoeve Milieu en Water B.V.;;;;3;3
Verloo B.V.;;;;2;2
Verschueren Beheer B.V.;;;1;;1
Vertegaal Ecologisch Advies en Onderzoek;;;;1;1
Verzijl notarissen;;;1;;1
VGIB Onderhoudsmanagement B.V.;;;;2;2
Via Aperta Verhardingsadviseurs B.V.;;;;1;1
Villex Vastgoedbescherming B.V.;;;1;;1
Vink Aannemingsmaatschappij B.V.;;;;4;4
Violien bloemen en interieur;;;;1;1
VIOS Bouw Utrecht B.V.;;;;3;3
VIOS Bouwgroep;;;;4;4
VIRO Echt B.V.;;;;2;2
Vision Tronics;;;;1;1
Visser Projectservice B.V.;;;;1;1
Visser Woninginrichting;;;;2;2
Vissers Sloopwerken;;;;2;2
Visueel Vergaderen;;;;1;1
Vitruvius Bouwkostenadvies B.V.;;;;2;2
VKS N.V.;;;4;;4
Vliex Akoestiek en Lawaaibeheersing;;;;1;1
Vlindar B.V.;;;;5;5
Volta Limburg B.V.;;;1;;1
Voorberg Bouwkunde B.V.;;;;3;3
Vos de Boer & Partners B.V.;;;2;;2
Vos Reijntjes De Pagter Notarissen;;;1;;1
Voskamp Bouw en Industrie B.V.;;;;1;1
Vricad;;;2;;2
Vriecon Constructie N.V.;;;;1;1
Vrijthof Notarissen;;;1;;1
VSM Sloopwerken B.V.;;;1;;1
VvE Busitel te Amsterdam;;;2;;2
VvE parkeergar. Bezuidenhoutseweg en Boslaan;;;1;;1
VvE parkeergarage Hanedastraat;;;2;;2
VVE Verzamelgebouw 't Schip;;;4;;4
Waalpartners civil engineering;;;3;;3
Walpot V.O.F.;;;1;;1
WAM & Van Duren Bouw B.V.;;;;1;1
WAM & Van Duren Zakelijk B.V.;;;;7;7
Warmtetechnisch Bureau Joop Buiteman B.V.;;;1;;1
Wassink Installatie;;;;2;2
Watersnip V.O.F.;;;;1;1
Waterval Electro B.V.;;;;3;3
Wattanders B.V.;;;;1;1
WBC Bouw B.V.;;;;2;2
Weed Free Service B.V.;;;2;;2
Wegkamp Bouwtechnisch Adviesbureau B.V.;;;1;;1
Wenau Transport & Cleaning B.V.;;;;1;1
Western Airconditioning B.V.;;;;5;5
Whero;;;2;;2
Wijnand Galema Architectuurhistoricus;;;;1;1
Wijnbeld Holding B.V.;;;1;;1
Wijnen Bouwgroep;;;;7;7
Wijnen Installatietechniek B.V.;;;;1;1
Wildbeheereenheid Midden Veluwe;;;;1;1
WILDBEHEEREENHEID NOORD-OOST VELUWE;;;;1;1
