Leveranciersnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
City Dust Studio;;2;;;;2
Citytec B.V.;;2;;;;2
CIVIC Architecture;;2;;;;2
Claessens Onroerend Goed B.V.;;;1;;2;2
Clear4Clean;;1;;;;1
Clock Care B.V.;;2;;;;2
C-Mark B.V.;;5;;;;5
C-Mark Consultants;;1;;;;1
CNB Makelaardij B.V.;;;;;1;1
Coaz (Commerc. & Adm. Ondersteuning De Zwart);;1;;;;1
Cobra adviseurs B.V.;;4;;;;4
Cocari II Stichting;;;;;3;3
Coform B.V.;;1;;;2;2
COLLACTIVE B.V.;;;1;;;1
Colliers International REMS Retail;;3;;;;3
Colt International B.V.;;3;;;;3
COMMERZ GRUNDBES. INVESTM. MBH P/A ARTONA ASSET MANAGEMENT B.V.;;;;;7;7
Commerz Real Investmentgesellschaft mBH;;;7;;;7
COMMISSIE VAN BEHEER RIJKSKANTORENGEBOUW HANZELAND;;;;;3;3
Commonwealth Investments B.V.;;1;;;;1
Complan Advies & Management B.V.;;6;;;;6
Complex Zeestraat 41-43 B.V.;;1;;;;1
Comtest Engineering;;4;;;;4
ComVest Consultancy B.V.;;4;;;;4
Condair B.V.;;2;;;;2
Coneco Technical Support B.V.;;2;;;;2
Confina B.V.;;;1;;2;2
Consolidated Nederland B.V.;;3;;;;3
Constructie Bureau De Prouw B.V.;;1;;;;1
Constructie en meer;;1;;;;1
Consulente Annet van der Wiel;;2;;;;2
Control Energy Services B.V.;;1;;;;1
Coomans Consultancy;;1;;;;1
Coöperatie Action Equipment & Services UA;;5;;;;5
Coöperatie Univé UA;;;4;;6;6
Copier Projecten & Engineering B.V.;;2;;;;2
Cornelissen Aannemingsbedrijf B.V.;;7;;;;7
Cornelissen Service en Onderhoud B.V.;;3;;;;3
Corrosie Consultancy Van der Meer;;1;;;;1
CORUM CONVICTIONS;;;;;7;7
Cosource B.V.;;5;;;;5
Crawford Assa Abloy;;1;;;;1
CRH Mobile Fencing & Security B.V.;;6;;;;6
Croes;;;;;3;3
Croon advocaten N.V.;;4;;;1;4
Croon Elektrotechniek B.V.;;7;;;;7
Croonwolter&dros B.V.;;7;;;2;7
Crown Point B.V.;;;2;;5;6
Crowne Plaza Den Haag - Promenade;;1;;;;1
Cruden B.V.;;3;;;;3
Cruxin;;1;;;;1
Cruz Y. Ortiz Amsterdam B.V.;;2;;;;2
CSC Crewing B.V.;;;;;1;1
CSC Installatie B.V.;;5;;;;5
CSO Adviesbureau voor Milieu-Onderzoek;;5;;;;5
CSU Food Services;;1;;;;1
CTMabc;;1;;;;1
Cuppens en Zn. Aannemers B.V.;;5;;;6;6
CWN Spuitcabines B.V.;;2;;;;2
Cyclus Service B.V.;;3;;;;3
Cysocial;;1;;;;1
D & J Verlaar Schilderwerken B.V.;;3;;;;3
D&F Techniek B.V.;;2;;;;2
Daad Architecten;;1;;;;1
d'Ambrise's/Whitemoorbord. Bordercolliekennel;;2;;;;2
Davon & Ricardo Enterprises N.V.;;3;;;;3
DC16 B.V.;;;;;8;8
DDA Reproservices B.V.;;1;;;;1
DDD Bouwbedrijf en Uitzend Bedrijf;;1;;;;1
De Arc;;;;;1;1
De Boer & De Groot betonbouw B.V.;;2;;;;2
De Bosman Bedrijven B.V.;;2;;;;2
De Comme B.V.;;6;;;;6
De Dakdokters Amsterdam B.V.;;4;;;;4
De Designpolitie;;2;;;;2
De Enk Groen & Golf B.V.;;2;;;;2
De Franse Stap Culinair;;2;;;;2
De Goede Inspecties;;2;;;;2
De Goede Toezicht;;1;;;;1
De Goede Vastgoedonderhoud Vlaardingen B.V.;;3;;;;3
De Graaf en van Stijn B.V.;;3;;;;3
DE GRAAFF ADVIES B.V.;;1;;;;1
De Groene Ruimte B.V.;;;;;1;1
De Groene Stroomfabriek N.V.;;;1;;;1
De Groot & Schagen;;2;;;;2
De Groot Achterveld B.V.;;3;;;;3
De Groot Installatiegrp Brandbeveiliging B.V.;;4;;;;4
De Haan-van Ooyen B.V.;;;;;2;2
De Harmonie B.V.;;1;;;;1
De Jager Totaal B.V.;;4;;;;4
De Jong Construction N.V.;;3;;;;3
de Jong Gortemaker Algra Arch. en Ing. B.V.;;1;;;;1
De Kabath Vastgoedbescherming B.V.;;3;;;;3
De Kim Hekwerk;;2;;;;2
De Lelie Schoonm.bedr. en Glazenwassersbedr.;;1;;;;1
De Liemers Wegenbouw B.V.;;2;;;2;3
De Meeuw Oirschot B.V.;;3;;;4;4
De Melker Sanitairtechniek B.V.;;1;;;;1
De Mik Adviesbureau;;1;;;;1
De Presentatie;;1;;;;1
De Raad Vastgoed B.V.;;1;;;;1
De Raat Security Products B.V.;;1;;;;1
De Ridder Electronics;;1;;;;1
De Ruiter Grondwatertechniek Holding B.V.;;;;;2;2
De Thaam B.V.;;1;;;;1
De Utrechtse Haven B.V.;;1;;;;1
de Viet Bos en Boombeheer;;;;;2;2
De Vijverborgh B.V.;;2;;;;2
De Vlieg Techniek B.V.;;5;;;;5
De Vlinderstichting;;2;;;;2
De Vries Projekt Design B.V.;;1;;;;1
De Vroome Advies B.V.;;2;;;;2
De Waterreus;;1;;;;1
De Wijkplaats B.V.;;1;;;;1
De Witte Dame Monumenten B.V.;;;1;;3;3
Deba 2000 B.V.;;5;;;;5
Debuco Techniek B.V.;;1;;;;1
Deerns Nederland B.V.;;7;;;;7
Deka Immobolien Investment GMBH;;;7;;9;9
Dela Vastgoed B.V.;;;4;;6;6
Delmeco Raadgevend Ingenieursbureau B.V.;;2;;;;2
Delta Vorm Groep B.V.;;4;;;;4
Deltares Stichting;;2;;;;2
Den Helder Airport C.V.;;;1;;1;1
Den Hoed Aannemers B.V.;;3;;;;3
Den Ouden Management B.V.;;4;;;6;6
Denc Netherlands B.V.;;2;;;;2
Dendy B.V.;;1;;;;1
Denios B.V.;;1;;;;1
Derksen Benelux;;1;;;;1
Designs Technical Solutions;;1;;;;1
DeurenserviceCentrum B.V.;;1;;;;1
Deventer Schaapskudde;;2;;;;2
Dgi Dak & Gevel Ingenieurs B.V.;;3;;;;3
DGMR Bouw B.V.;;5;;;;5
DHV B.V.;;2;;;;2
DHW Service B.V.;;1;;;;1
Digidentity B.V.;;1;;;;1
Dijkoraad Bometis B.V.;;2;;;;2
Dime Real Estate B.V.;;;;;3;3
Dion Kraft woning & project stoffering;;1;;;;1
Dirks Projectontwikkeling B.V.;;2;;;;2
Dirkzwager Groep B.V.;;2;;;;2
Discountoffice.nl B.V.;;1;;;;1
DLVS B.V.;;1;;;;1
Dok Architecten B.V.;;5;;;;5
Dolmans Calamiteiten Diensten;;7;;;;7
Dolmans Landscaping Noord;;1;;;;1
Dolmans Landscaping Zeeland;;4;;;;4
Donisa Construction N.V.;;2;;;;2
Donker Groen;;1;;;;1
Donker Inspecties B.V.;;5;;;;5
DONKERGROEN B.V.;;3;;;1;3
Doornebal Interieurs B.V.;;4;;;;4
Double U Building B.V.;;;2;;5;5
Douma Bouwkundig Adviesburo V.O.F.;;3;;;;3
DPA Cauberg-Huygen B.V.;;1;;;;1
dpcp B.V.;;7;;;;7
DPI Animation House B.V.;;2;;;;2
DrÃƒÂ¤ger Nederland B.V.;;2;;;;2
Draisma Vastgoed B.V.;;5;;;2;5
Drukkerietje;;1;;;;1
Drukkerij Em. De Jong B.V.;;1;;;;1
DSS-de Swart Services B.V.;;6;;;;6
DTZ Zadelhoff Property Management B.V.;;2;;;;2
Du Prie Bouw & Ontwikkeling B.V.;;9;;;;9
Duett B.V.;;1;;;;1
Duijndam Holding B.V.;;1;;;;1
Duijvelaar Pompen;;1;;;;1
Duikbedrijf C.O.W. B.V.;;2;;;;2
Duin Vastgoed B.V.;;;1;;;1
Duinwijk';;;;;2;2
Duitman Hengelo B.V.;;1;;;;1
Dukers & De Cock Eindhoven B.V.;;2;;;;2
DULO Asbestverwijdering B.V.;;1;;;;1
DUNEA;;;1;;;1
Dunea N.V.;;2;4;;;5
Duo2 B.V.;;;;;9;9
Dura Vermeer Bouw Hengelo B.V.;;7;;;;7
Dura Vermeer Divisie Bouw en Vastgoed B.V.;;6;;;;6
Dura Vermeer Groep;;5;;;4;6
Dura Vermeer Infra Milieu B.V.;;7;;;2;7
Dura Vermeer Infrastructuur Noord West;;4;;;;4
Duratherm Nederland B.V.;;1;;;1;1
Duresta Real Estate Solutions B.V.;;1;;;;1
Dusseldorp;;2;;;1;2
Dutch Property Company Rembrandt 4 B.V.;;;2;;1;2
Dutch Property Company Rembrandt 8 B.V.;;;4;;7;7
Dutchesse;;;;;4;4
DuurzaamGebouw B.V.;;1;;;;1
DuurzaamNL B.V.;;8;;;;8
DVD - FireSafety - First;;1;;;;1
DWA B.V.;;4;;;;4
Dynaf Caribbean;;2;;;;2
Dynamic;;4;;;;4
Dynamis Taxaties Nederland B.V.;;1;;;;1
Dynatherm;;3;;;;3
DynaVision B.V.;;2;;;;2
E.F.P.C.;;1;;;;1
E.ON BENELUX LEVERING;;;4;;;4
E.ON Benelux Levering B.V.;;5;7;;;7
Easy Living Products B.V.;;1;;;;1
Eaton Industries (Netherlands) B.V.;;2;;;;2
Ebola B.V.;;4;;;2;4
Echt Nederlands Holland B.V.;;;;;2;2
Echte Bakker Verhoog;;1;;;;1
Ecogroen B.V.;;2;;;1;2
Ecologisch Adviesbureau Forestfun;;1;;;;1
Ecologisch Adviesbureau Viridis B.V.;;;;;2;2
Econsultancy B.V.;;1;;;2;2
ECONSULTANCY BV;;1;;;;1
EDM tuin & landschap;;1;;;;1
Edu4Install;;2;;;;2
Eelerwoude B.V.;;5;;;;5
Eemshaven Properties;;;2;;2;2
Efaflex;;1;;;;1
Efcon Water B.V.;;1;;;;1
Efectis Nederland B.V.;;2;;;;2
EFPC;;;;;2;2
EGM Architecten B.V.;;2;;;;2
Eijkelboom B.V.;;8;;;1;8
Eindhoven Airport N.V.;;;1;;5;5
EIS Kenniscentrum insecten;;1;;;;1
Ekster&Ekster;;1;;;;1
El Niño Beach Club;;1;;;;1
Elco;;1;;;1;1
Eldon BV;;;;;1;1
Elektra 21 B.V.;;2;;;;2
Elektro Faas;;1;;;;1
Element Binnenafbouw B.V.;;2;;;;2
Elro B.V. Dakbedekkingsbedrijf;;4;;;;4
Elseco B.V.;;1;;;;1
Elsenga Installatietechniek;;3;;;3;4
EM-Cultuur B.V.;;1;;;;1
EMILIN LAP VERTALINGEN;;1;;;;1
Endenburg B.V.;;1;;;;1
Endenburg Elektrotechniek B.V.;;6;;;;6
Endevoets Dakbedekkingen;;3;;;;3
Endress + Hauser B.V.;;1;;;;1
ENECO;;;4;;;4
Eneco Installatiebedrijven B.V.;;1;;;;1
ENECO SERVICES;;;1;;;1
Eneco Services B.V.;;4;4;;;4
ENECO Warmtenetten B.V.;;;;;4;4
Eneco Warmteproductie Utrecht B.V.;;;;;2;2
Eneco Zakelijk;;2;2;;;2
eNeg;;1;;;;1
Enerdeco B.V.;;1;;;;1
ENER-G Nedalo B.V.;;3;;;;3
Energie & Bouwadvies;;1;;;;1
Energieonderzoek Centrum Nederland Stichting;;1;;;;1
Energy Control Equipment Amsterdam B.V.;;1;;;;1
Energy Engineering Solutions (EES);;;;;2;2
ENEXIS;;;2;;;2
Enexis Netbeheer B.V.;;1;1;;3;3
Engelen-Groen Uden B.V.;;7;;;;7
Engelsman Hoveniers B.V.;;4;;;;4
ENGIE Nederland Retail B.V.;;;1;;;1
ENGIE Services Noord locatie Leeuwarden;;8;;;;8
ENGIE Services West B.V.;;8;;;4;8
ENGIE Services West vestiging Rijswijk;;1;;;;1
ENGIE Services Zuid B.V.;;8;;;;8
Enkhuizer Aannemersbedrijf (E.A.B.) B.V.;;7;;;;7
Envita Almelo B.V.;;7;;;;7
Envita Nijmegen B.V.;;1;;;;1
EPI Orange 21 B.V.;;;3;;;3
EPM Electro Paulus Maastricht BV;;1;;;;1
Epson Europe B.V.;;;;;5;5
E-quipment B.V.;;1;;;;1
Ericsson Telecommunicatie B.V.;;1;;;;1
Eriks B.V.;;4;;;;4
Erkon Engineering B.V.;;1;;;;1
ERNST & YOUNG BELASTINGADVISEURS LLP;;2;;;;2
Ernst Weil Dienstleistungen GmbH;;1;;;;1
ESP steiger B.V.;;3;;;;3
Essent Retail Energie B.V.;;;2;;;1
Eurocarbo Benelux B.V.;;2;;;;2
Eurofiber Holding B.V.;;2;;;;2
Euromate B.V.;;2;;;;2
European Energy Auction B.V.;;4;;;;4
Eurorouting Nederland B.V.;;1;;;;1
Eurosafe Solutions B.V.;;4;;;1;4
EusebiusBS (Arnhem) B.V.;;;6;;7;7
Eva Holding B.V.;;1;;;;1
EVA Optic B.V.;;2;;;;2
EV-Box;;1;;;;1
Evides Drinkwater;;1;;;;1
Evides N.V.;;;1;;;1
Ewac Projects B.V.;;1;;;;1
EWZ adviseurs;;2;;;;2
Ex Interiors B.V.;;5;;;;5
Exploitatie Dwarstocht 6 Zaandam B.V.;;;;;3;3
Exploitatiemij. Havencompl. Lauwersoog B.V.;;;;;2;2
Explosive Clearance Group B.V.;;6;;;5;7
F.M.T. Beheer B.V.;;2;;;;2
FaberExposize B.V.;;1;;;;1
Facilicom PPS B30 B.V.;;6;;;7;7
Facilicom PPS Doetinchem Exploitatie B.V.;;;;;7;7
Facta;;1;;;;1
Facta Aandrijftechniek B.V.;;2;;;;2
Facta Pomp- en Besturingstechniek B.V.;;1;;;;1
FELD;;2;;;;2
Felixx Landscape Architects & Planners;;2;;;;2
Ferretto Group Holland B.V.;;1;;;;1
Fewiro Wijchen B.V.;;8;;;;8
Fiction Factory B.V.;;3;;;;3
Fides B.V.;;1;;;;1
Fides Expertise B.V.;;1;;;;1
Fieten & Roos B.V.;;3;;;;3
Filcom B.V.;;1;;;;1
Fire Safety First B.V.;;8;;;4;8
Firma Van Es Boomverzorging;;2;;;;2
First Service B.V.;;1;;;;1
Flamco B.V.;;1;;;;1
Florie Makelaardij;;;;;2;2
Floris Aannemingsmaatschappij B.V.;;;;;7;7
Floris Verhuur B.V.;;2;;;;2
Florisse De Haagse Arc B.V.;;;7;;;7
Florisse De Maas B.V.;;;4;;7;7
Flowers&Wheels;;1;;;;1
FN2 B.V.;;;4;;7;7
Fobart B.V.;;1;;;;1
fonq.nl B.V.;;1;;;;1
Fore Installatie Adviseurs B.V.;;2;;;;2
Formabouw B.V.;;6;;;;6
Forteck Materieel B.V.;;4;;;;4
Fortron B.V.;;6;;;;6
Fortuyn Horeca B.V.;;1;;;;1
Fotex Netherlands B.V.;;;2;;7;7
FOX-IT;;2;;;;2
Foz Consultancy B.V;;1;;;;1
France Azur;;1;;;;1
Franke Koffieservices;;1;;;;1
Franken Wanroij;;2;;;;2
Fred Feddes;;1;;;;1
Freemont B.V.;;2;;;;2
Fri-Jo Lichtreklame B.V.;;1;;;;1
FTC Frans Tollenaar Consultance;;1;;;;1
FUDURA;;;1;;;1
Fudura B.V.;;;;;1;1
Fugro GeoServices B.V.;;1;;;;1
Fundashon Cas Bonairiano;;;;;1;1
"Fundashon Iglesia A.E. ""Salu di Tera"" Rincon";;;;;1;1
G4S Security Services B.V.;;2;;;;2
GALABO GmbH;;1;;;;1
Galjema B.V. Technisch Adviesbureau;;2;;;;2
Galvano Groothandel B.V.;;;;;4;4
Garnet Bonaire B.V.;;1;;;;1
Garsthagen Projectinrichting B.V.;;1;;;;1
Gate2 Vastgoed B.V.;;;;;6;6
GEA Westfalia Separator Nederland B.V.;;1;;;;1
Gebiedsmanagers B.V.;;5;;;;5
GEBR. BARENDSEN B.V.;;3;;;;3
Gebr. Bont;;4;;;;4
Gebr. Dijkhoff Onroerend Goed B.V.;;2;;;5;5
Gebr. Griekspoor B.V.;;5;;;2;5
Gebr. Reijrink Loonbedrijf B.V.;;;;;4;4
Gebr. Reimert B.V.;;;;;2;2
Gebr. Van der Veekens B.V.;;;;;2;2
Gebr. van Kessel B.V.;;5;;;;5
Gebroeders Beelen Dakdekkersbedrijf;;5;;;;5
Geest van der B.V. Schilderspecialisten;;3;;;;3
GEJO MAATSCHAP;;;;;2;2
Geldersch Landschap;;;;;3;3
GenKoo B.V.;;2;;;;2
Geo.xyz B.V.;;1;;;;1
Geofox-Lexmond B.V.;;2;;;2;2
Geonius Civiel II;;1;;;2;2
Georg Wolfbauer;;1;;;;1
Gerco Brandpreventie B.V.;;2;;;7;7
Gerdon Vogelwering;;1;;;;1
Gerritse IJzerwaren;;;;;1;1
Geveke Bouw B.V.;;2;;;;2
Gevelbeheer Nederland B.V.;;3;;;;3
GEZE Benelux B.V.;;1;;;;1
GGB inBalans B.V.;;6;;;;6
GGB inBalans DBMO B.V.;;1;;;;1
Giant Telcom B.V.;;1;;;;1
Gielissen Exhibitions B.V.;;1;;;;1
Ginderen van B.V. Electrotechnisch-Installatiebureau;;1;;;;1
GL events World Forum Convention Center B.V.;;1;;;5;5
Glemz Support;;1;;;;1
Global Solar Investments B.V.;;3;;;;3
GloMar Offshore II B.V.;;;;;2;2
GMB Rioleringstechnieken B.V.;;2;;;;2
GOM SPECIALISTISCHE REINIGING;;1;;;;1
Good Life Development Fund CVBA;;1;;;;1
Gordijnenreinigers.nl;;1;;;;1
Goudappel Coffeng B.V.;;2;;;;2
Gouweloos Elektrotechniek B.V.;;6;;;;6
Gouwenberg vloeren.gordijnen.zonwering;;2;;;;2
Gppc Fons Bergmans;;3;;;;3
Grand & Johnson B.V.;;;;;1;1
Graphorn Groen- en Infraprojekten B.V.;;2;;;;2
Grassa B.V.;;5;;;1;5
GrausBouw B.V.;;3;;;1;3
Graziosi Progetti B.V.;;1;;;;1
Groeibalans;;2;;;;2
Groen Support;;1;;;;1
Groenendijk PGN Bouw;;2;;;;2
Groen-Totaal;;2;;;;2
Grondslag Milieukundig Adviesbureau;;;;;1;1
Groningen Airport Eelde N.V.;;;2;;3;4
Groningen Seaports N.V.;;;;;1;1
Groothandelsgebouwen N.V.;;;3;;5;5
Grottendieck Maatwerk;;;;;1;1
Groundwater Technology B.V.;;;;;1;1
GSAudits;;1;;;;1
Gubbels Wegenbouw en Sloopwerken B.V.;;;;;2;2
GVR500 Building B.V.;;2;6;;8;8
H & M Jansen Holding B.V.;;1;;;;1
H&N Multiprotections B.V.;;2;;;;2
H.P.V. Lumiere Classique B.V.;;2;;;;2
H+N+S B.V.;;2;;;;2
Haarlems Beleggingsconsortium Habelco B.V.;;1;1;;2;2
Haarwerk Service;;1;;;;1
Habenu-van de Kreeke Bouw B.V.;;2;;;6;6
HABO B.V.;;2;;;;2
Haboldt Beheer B.V.;;6;;;5;7
HÃƒÂ¶rmann Nederland B.V.;;1;;;;1
Hafkamp Installatietechniek B.V.;;3;;;;3
Hagenaar Reklame B.V.;;;;;1;1
Halsterse Tennis Vereniging;;;;;4;4
Halvermuhlen Onr. Goed & Exploit. Mij.;;;1;;4;4
Hamaland Advies;;1;;;;1
Hamer B.V.;;4;;;;4
Handelmaatschappij 'Het Zuiden';;;;;1;1
Handyman Indoors & Outdoors Services & Supplies B.V.;;1;;;;1
Hanging Concepts B.V.;;1;;;;1
Hanzevast Real Estate;;;2;;;2
Happel Cornelisse Architecten;;4;;;;4
HARMONY RELOCATION;;;;1;;1
Harwig Communicatie & Veiligheid B.V.;;2;;;;2
HaskoningDHV Nederland B.V.;;5;;;4;6
Havenbedrijf Amsterdam N.V.;;;;;1;1
Havenbedrijf Rotterdam N.V.;;;2;;6;6
Havengebouw Amsterdam B.V.;;1;1;;3;3
HAVENSCHAP DELFZIJL-EEMSHAVEN;;;;;1;1
Hazenberg Bouw B.V.;;6;;;2;6
HB Landmeetkundige dienstverlening B.V.;;1;;;;1
HBK 2000 Besturingstechniek B.V.;;4;;;;4
hdb-tekst;;1;;;;1
He Adviseurs;;5;;;;5
Hectas Facility Services C.V.;;4;;;;4
Hedibouw;;1;;;;1
Heerkens van Bavel Bouw B.V.;;;;;9;9
Heezen Holding B.V.;;3;;;6;6
Hefas Branddetectie B.V.;;;;;2;2
Hegeman B.V. Aannemingsmaatschappij;;7;;;;7
Hegeman Plus B.V.;;3;;;;3
Heijdra Services B.V.;;2;;;;2
Heijmans Civiel Metaal B.V.;;2;;;4;4
Heijmans Utiliteit;;11;;;7;11
Heijmans Utiliteit B.V.;;1;;;;1
Heijmans Utiliteit Metaal;;6;;;;6
Heijmans Wegen;;7;;;3;7
Heijmans Wegen B.V.;;7;;;;7
Heijmans Wegen Metaal 2 B.V.;;;;;4;4
Heilijgers Bouw B.V.;;6;;;;6
Hein Sloots Zonweringen;;1;;;;1
Heko;;4;;;;4
Helder Vastgoed Onderhoud B.V.;;;;;2;2
Helder Vastgoed Schilderwerken B.V.;;1;;;;1
Hemubo Almere B.V.;;2;;;;2
Henri Culinair;;1;;;;1
Henriquez Enterprises N.V.;;;;;2;2
Heras B.V.;;8;;;3;8
Heras Ridderkerk;;2;;;;2
Herik v/d Sliedrecht BV;;3;;;;3
Herlings Elektro Techniek B.V.;;1;;;;1
Hermans Asbest B.V.;;;;;5;5
Herruer Grond- Weg- en Waterbouw;;3;;;;3
Herruer Holding B.V.;;2;;;;2
Hertek B.V.;;2;;;;2
HET BAKKERTJE;;1;;;;1
het Drentse Landschap Stichting;;1;;;;1
Het Meerwaardenhuys;;1;;;;1
Het NIC B.V.;;4;;;;4
Heuvelman Ibis B.V.;;;;;6;6
Hevo B.V.;;4;;;;4
Hexta Hekwerk B.V.;;1;;;;1
Heyligar Zorg;;;;;2;2
HGA, Heijmans Groenvoorziening en Advies;;7;;;3;7
HHF Gasthuisvelden B.V.;;;2;;7;7
Hilhorst Bouwbedrijf Amsterdam B.V.;;1;;;;1
Hiltop;;;;;2;2
Hiltra Barneveld B.V.;;2;;;;2
Hines Europe Limited;;1;;;;1
Hinke Fongers Beheer B.V.;;;;;5;5
Hinke Fongers Beheer Tupla B.V.;;;4;;5;5
Hitec Power Protection B.V.;;2;;;;2
HN Technics;;;;;1;1
Hodes Huisvesting B.V.;;7;;;;7
Hodgkiss language & communication services;;1;;;;1
Hoebink Willem;;2;;;;2
Hoefnagels Branddeuren B.V.;;1;;;;1
HOEK architectuur & restauratie;;2;;;;2
Hofland-Electronica B.V.;;1;;;;1
Hofman Vastgoed B.V.;;;;;4;4
Hofmeester;;1;;;;1
Hofstede B.V. Demontage Milieu;;3;;;;3
Holding Beheermaatschappij Ropeni B.V.;;1;;;;1
Holding Jansma en Van Dijk B.V.;;3;;;1;3
Holding van Landschoot B.V.;;;;;3;3
Hollander Techniek B.V.;;1;;;;1
HOLLANDER,IR.JORD DEN ARCHITECT;;1;;;;1
Homij Technische Installaties B.V.;;7;;;;7
Honeywell B.V.;;1;;;;1
Honeywell Building Solutions;;7;;;5;7
Hoog Catharijne Mall of the Netherlands B.V.;;;1;;3;3
Hoornstra Materieel N.V.;;5;;;;5
Hoornveste B.V.;;;2;;6;6
Hootsmans Architectuurbureau B.V.;;2;;;;2
Hooyschuur Restauratie B.V.;;2;;;;2
Hospitality Design B.V.;;3;;;;3
HOTEL MERCURE NIJMEGEN CENTRE;;1;;;;1
House of Lords B.V.;;2;;;;2
Howards Enterprises N.V.;;3;;;;3
HR Groep Leek;;1;;;;1
HR Groep Zuid;;1;;;;1
HS Techniek B.V.;;1;;;;1
Hubens Machinehandel B.V.;;1;;;;1
Huisartspraktijk Belcrum;;1;;;;1
Hulscher;;1;;;;1
Hulshoff Opsl.- en Archiveringsmij. B.V.;;;;;4;4
Hulst Fire Consultancy;;2;;;;2
Hummingbird B.V.;;;2;;5;6
Hunneman Milieu-Advies Raalte B.V.;;2;;;2;3
Hurks onderhoud & retail B.V.;;;;;7;7
Huys te Voorn Vastgoed B.V.;;;3;;6;7
HV Advies;;1;;;1;2
HVS Consultant;;3;;;;3
Hydra Group B.V.;;1;;;;1
Hydroscope B.V.;;4;;;;4
i29 interior architects B.V.;;1;;;;1
Ibis B.V.;;5;;;;5
IBK Koudetechniek B.V.;1;;;;;1
IBP Interieurbouw;;1;;;;1
ICOP B.V.;;2;;;2;3
ICP Nederland B.V.;;2;;;3;3
Icrow B.V.;;1;;;1;1
ICS Adviseurs;;2;;;;2
IDB Bouw B.V.;;2;;;;2
IDDS;;1;;;;1
IF Technology B.V.;;2;;;;2
IGG bouweconomie;;3;;;;3
IJbouw B.V.;;7;;;;7
IJsclub Stellendam;;;;;1;1
IKA Nederland;;1;;;;1
Ilex Installatie Management B.V.;;4;;;;4
IMD Raadgevende Ingenieurs;;3;;;;3
IMEC SERVICES N.V.;;2;;;;2
IMI Aero-Dynamiek B.V.;;2;;;;2
Imming Logistics;;1;;;;1
Imtech Industrial Services B.V.;;1;;;;1
in2asbestos;;2;;;;2
in60seconds B.V.;;2;;;;2
Inbo;;4;;;;4
Incendio B.V.;;1;;;;1
Incident Management Services (IMS) B.V.;;;;;1;1
Inclusief Gresbo B.V.;;5;;;;5
Industech B.V.;;1;;;;1
Industrial Solutions Zuid-Oost B.V.;;3;;;;3
Infoplaza BV;;1;;;;1
Infrasoil B.V.;;2;;;1;2
Infrasoil Gebiedsontwikkeling B.V.;;3;;;;3
Ing.bur. Bouwtechn. Goudstikker-de Vries B.V.;;2;;;;2
Ingenieursbureau Ebatech B.V.;;3;;;;3
Ingenieursbureau Inpijn-Blokpoel Son B.V.;;;;;2;2
Ingenieursbureau ISO3 B.V.;;1;;;;1
Ingenieursbureau Leon van Nierop;;2;;;;2
Ingenieursbureau 'Oranjewoud' III B.V.;;1;;;4;4
Ingenieursbureau Rotterdam B.V.;;2;;;;2
Ingenieursbureau SmitWesterman;;1;;;;1
Ingenieursbureau Wassenaar B.V.;;2;;;;2
Ingenieursburo van Ierssel B.V.;;2;;;;2
Initial B.V.;;1;;;;1
Innerself;;1;;;;1
Inpijn-Blokpoel Milieu B.V.;;1;;;;1
InPublic Ventures B.V.;;5;;;;5
Inspectie van het Onderwijs;;;;;2;2
Inspexx B.V.;;2;;;;2
Installatiebedrijf Elderhorst Nico Vos B.V.;;1;;;;1
Installatiebedrijf Embrechts B.V.;;3;;;2;3
Installatiebedrijf G. van Dam B.V.;;4;;;;4
Installatiebedrijf G. van Dam bv;;;;;4;4
Installatiebedrijf Van den Hoever B.V.;1;;;;;1
Installect Advies;;1;;;;1
Integron B.V.;;2;;;;2
Integron Group B.V.;;1;;;;1
Intermontage Leurink;;3;;;;3
Intern B.V.;;1;;;;1
International Criminal Court Bar Association;;1;;;;1
Interno Schilderwerken B.V.;;2;;;;2
Interparking Nederland B.V.;;;;;4;4
Intersafe Groeneveld B.V.;;4;;;;4
Intersafe Services B.V.;;1;;;;1
Interswitch;;1;;;;1
Invest Plus Spieghelaer B.V.;;;4;;;4
Investment in den Eng B.V.;;4;;;4;5
IOB;;4;;;;4
Iolan B.V.;;4;;;;4
IOSense Rotterdam B.V.;;1;;;;1
IPR Vastgoedmanagement B.V.;;1;;;;1
Iran United-States Claims Tribunal;;1;;;;1
Iris Coating and Industrial Services B.V.;;1;;;;1
ISS Cleaning Services;;;;;1;1
Issos B.V.;;;;;1;1
ITN Installatietechniek B.V.;;5;;;2;5
Ivast B.V.;;;;;5;5
Iv-Bouw B.V.;;2;;;;2
IVG INZAKE BARMENIA FONDS (2);;;;;2;2
Iv-Industrie B.V.;;;;;3;3
J&P Enterprises;;4;;;;4
Jacobs Architekten B.V.;;1;;;;1
Jacot Audiovisueel Rental B.V.;;1;;;;1
JagerJanssen;;2;;;;2
James Twiss Classic Cars and Spares;;;;;3;3
Jan Knijnenburg B.V.;;2;;;;2
Jan Montijn Beheer B.V.;;;;;1;1
Jan Snel B.V.;;;;;7;7
Janine van Reekum Restauratie;;1;;;;1
Jann Interieur;;2;;;;2
Jansen Venneboer Beheer & Onderhoud B.V.;;1;;;;1
