FID,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
lichtmasten_wegvak.194,600152099,2022-07-01T00:00:00,26,060015209920220701,PKK0000091080,I,,POINT (234779.38289999962 478064.188099999)
lichtmasten_wegvak.195,469355034,2022-07-01T00:00:00,20,046935503420220701,PKK0000091081,I,,POINT (234878.9710999988 477922.0645000003)
lichtmasten_wegvak.196,600431332,2022-07-01T00:00:00,27,060043133220220701,PKK0000091079,I,,POINT (227918.87409999967 475633.9849999994)
lichtmasten_wegvak.197,600144763,2019-02-01T00:00:00,15,060014476320190201,PKK0000091495,I,,POINT (188466.69200000167 507494.15900000185)
lichtmasten_wegvak.198,600948817,2022-06-01T00:00:00,16,060094881720220601,PKK0000091496,I,,POINT (188632.55440000072 507643.3559000008)
lichtmasten_wegvak.199,600948816,2022-06-01T00:00:00,0,060094881620220601,PKK0000091496,I,,POINT (188632.55440000072 507643.3559000008)
lichtmasten_wegvak.200,362445017,2021-10-01T00:00:00,15,036244501720211001,PKK0000091497,I,,POINT (181420.1966000013 522685.44260000065)
lichtmasten_wegvak.201,495352026,2022-07-01T00:00:00,3,049535202620220701,PKK0000091256,I,,POINT (247993.16849999875 476136.31120000035)
lichtmasten_wegvak.202,600153263,2021-10-01T00:00:00,24,060015326320211001,PKK0000092270,I,,POINT (253492.82389999926 576812.6356999986)
lichtmasten_wegvak.203,600950703,2022-06-01T00:00:00,2,060095070320220601,PKK0000092316,I,,POINT (218305.87079999968 440206.8280999996)
lichtmasten_wegvak.204,600455075,2021-07-01T00:00:00,7,060045507520210701,PKK0000092317,I,,POINT (240181.16800000146 453529.2039999999)
lichtmasten_wegvak.205,497333012,2021-10-01T00:00:00,22,049733301220211001,PKK0000092318,I,,POINT (248763.72439999878 466966.0573000014)
lichtmasten_wegvak.206,600953732,2022-06-01T00:00:00,1,060095373220220601,PKK0000093127,I,,POINT (178159.13720000163 436475.89079999924)
lichtmasten_wegvak.207,600992362,2022-12-01T00:00:00,208,060099236220221201,PKK0000092866,I,,POINT (40171.011700000614 411273.2917999998)
lichtmasten_wegvak.208,600140427,2021-10-01T00:00:00,8,060014042720211001,PKK0000083757,I,,POINT (171683.75450000167 367773.95980000123)
lichtmasten_wegvak.209,348130035,2021-10-01T00:00:00,448,034813003520211001,PKK0000083758,I,,POINT (174342.1099999994 365200.5230999999)
lichtmasten_wegvak.210,348130034,2021-10-01T00:00:00,21,034813003420211001,PKK0000083759,I,,POINT (174399.6072999984 365202.0245999992)
lichtmasten_wegvak.211,600140391,2021-10-01T00:00:00,13,060014039120211001,PKK0000084023,I,,POINT (174410.46660000086 517684.8706)
lichtmasten_wegvak.212,262498021,2021-10-01T00:00:00,19,026249802120211001,PKK0000084117,I,,POINT (131248.0150000006 549166.0709000006)
lichtmasten_wegvak.213,600137879,2022-03-01T00:00:00,339,060013787920220301,PKK0000084125,I,,POINT (158880.15790000185 566941.4899000004)
lichtmasten_wegvak.214,378507037,2022-03-01T00:00:00,17,037850703720220301,PKK0000084130,I,,POINT (189264.81929999962 553542.2932999991)
lichtmasten_wegvak.215,435552013,2022-04-01T00:00:00,511,043555201320220401,PKK0000084136,I,,POINT (218269.2083999999 576328.0500999987)
lichtmasten_wegvak.216,600236248,2021-10-01T00:00:00,10,060023624820211001,PKK0000084138,I,,POINT (221508.17280000076 578157.5581)
lichtmasten_wegvak.217,600153321,2021-10-01T00:00:00,20,060015332120211001,PKK0000084140,I,,POINT (262960.77380000055 577097.6873999983)
lichtmasten_wegvak.218,600121327,2022-05-01T00:00:00,5,060012132720220501,PKK0000084172,I,,POINT (113386.10770000145 543469.2126999982)
lichtmasten_wegvak.219,226486027,2022-05-01T00:00:00,166,022648602720220501,PKK0000084172,I,,POINT (113391.66479999945 543468.0207000002)
lichtmasten_wegvak.220,600135712,2021-10-01T00:00:00,17,060013571220211001,PKK0000084597,I,,POINT (151850.86230000108 431518.76370000094)
lichtmasten_wegvak.221,600137985,2021-10-01T00:00:00,1,060013798520211001,PKK0000084602,I,,POINT (161932.28620000184 435991.3092)
