Datum,Dag,Evenement,locatie,Bijzonderheden
06/06/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
06/06/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
07/06/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
07/06/2019,vrijdag,Feeding the Future,Domplein,
07/06/2019,zondag,Festival TREK,Griftpark,versterkt geluid
07/06/2019,zondag,Wijntjes en Kleintjes,Kasteel de Haar,
07/06/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
08/06/2019,woensdag,Suikerfeest,"Amsterdamsestraatweg, Plantage",
08/06/2019,zaterdag,Festival TREK,Griftpark,versterkt geluid
08/06/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
08/06/2019,zaterdag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
08/06/2019,zaterdag,Braderie Wkc. De Klop,Wkc. De Klop,
08/06/2019,zaterdag,Rommelmarkt Wolgadreef,Wolgadreef,
09/06/2019,maandag,Kermis de Klop,1e Polderweg (Fort aan de Klop),versterkt geluid
09/06/2019,zondag,Culturele Zondag Utrecht Centraal,"Abraham Dolehof, Catharijneconvent, Doelenstraat hofje, Domplein, Florahof,Fundatie van Renswoude, Jaarbeursplein,Janskerkhof, Karel V, Ledig Erf, Lepelenburg, LucasBolwerk, Mariaplaats, Moreelse Park, Neude, OudeHortus, Oudegracht,Nieuwegracht, Palladio, Pandhof, Pandhof SinteMarie,Kruisstraat, Mariaplaats, Paardenveld, Korte Minrebroederstraat, Stadshuisbrug, Stationsplein,Universiteitsbibliotheek, Vredenburg",versterkt geluid
09/06/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,versterkt geluid
09/06/2019,zondag,Festival TREK,Griftpark,versterkt geluid
09/06/2019,zondag,Golden Tentfeest,Joostenlaan Vleuten,versterkt geluid
09/06/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
09/06/2019,zondag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
09/06/2019,zondag,A Lazy Sunday Afternoon,Tolsteegplantsoen,versterkt geluid
09/06/2019,maandag,Roeiregatta Cafe Weerdzicht,Weerdsluis,versterkt geluid
10/06/2019,dinsdag,Kermis de Klop,1e Polderweg (Fort aan de Klop),versterkt geluid
10/06/2019,zaterdag,Festival TREK,Griftpark,versterkt geluid
10/06/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
10/06/2019,maandag,Kidsfun Festival,Maximapark,versterkt geluid
11/06/2019,vrijdag,SGWB Avondvierdaagse Leidsche Rijn,Hoge Woerdplein (Castellum Hoge Woerd),
11/06/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
12/06/2019,zaterdag,SGWB Avondvierdaagse Leidsche Rijn,Hoge Woerdplein (Castellum Hoge Woerd),
12/06/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
13/06/2019,zondag,SGWB Avondvierdaagse Leidsche Rijn,Hoge Woerdplein (Castellum Hoge Woerd),
13/06/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
13/06/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
14/06/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
14/06/2019,vrijdag,Bourgondisch Vleuten/Festijn op t Plein,Dorpsplein,versterkt geluid
14/06/2019,donderdag,SGWB Avondvierdaagse Leidsche Rijn,Hoge Woerdplein (Castellum Hoge Woerd),
14/06/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
14/06/2019,vrijdag,Burpees & Beers,Park Transwijk,versterkt geluid
15/06/2019,zaterdag,Midzomer evenement,"Amsterdamsestraatweg, Plantage",versterkt geluid
15/06/2019,zaterdag,Bourgondisch Vleuten/Festijn op t Plein,Dorpsplein,versterkt geluid
15/06/2019,donderdag,Duurzame Week,Neude,versterkt geluid
15/06/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
15/06/2019,zaterdag,Burpees & Beers,Park Transwijk,versterkt geluid
15/06/2019,zaterdag,Braderie Tiberdreef,Tiberdreef,
16/06/2019,zaterdag,Midzomer evenement,"Amsterdamsestraatweg, Plantage",versterkt geluid
16/06/2019,zondag,30 jaar ZIMIHC,Braziliëdreef 2,"versterkt geluid, wegafsluiting"
16/06/2019,zondag,Classic Car Meeting,Dorpsplein,
16/06/2019,zondag,SingelSwim Utrecht,Lepelenburg,
16/06/2019,zondag,A Lazy Sunday Afternoon,Lepelenburg,versterkt geluid
16/06/2019,vrijdag,Duurzame Week,Neude,versterkt geluid
16/06/2019,zondag,Utrecht Urban Trail,Mariaplaats,"versterkt geluid, wegafsluiting"
16/06/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
16/06/2019,zondag,Burpees & Beers,Park Transwijk,versterkt geluid
16/06/2019,zondag,Braderie Vasco da Gamalaan,Vasco da Gamalaan,
17/06/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
17/06/2019,zaterdag,Duurzame Week,Neude,versterkt geluid
18/06/2019,dinsdag,DELA Eredivisie Beach & Beachweek,Lucasbolwerk,versterkt geluid
18/06/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
18/06/2019,maandag,Duurzame Week,Neude,versterkt geluid
19/06/2019,woensdag,DELA Eredivisie Beach & Beachweek,Lucasbolwerk,versterkt geluid
19/06/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
19/06/2019,dinsdag,Duurzame Week,Neude,versterkt geluid
20/06/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
20/06/2019,donderdag,DELA Eredivisie Beach & Beachweek,Lucasbolwerk,versterkt geluid
20/06/2019,woensdag,Duurzame Week,Neude,versterkt geluid
20/06/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
21/06/2019,vrijdag,De Langste Dag,Castellum Hoge Woerd,versterkt geluid
21/06/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
21/06/2019,vrijdag,Het Midzomergracht festival,Domplein,versterkt geluid
21/06/2019,vrijdag,Kerkennacht Utrecht openingsconcert,Domplein,wegafsluiting
21/06/2019,vrijdag,DELA Eredivisie Beach & Beachweek,Lucasbolwerk,versterkt geluid
21/06/2019,donderdag,Duurzame Week,Neude,versterkt geluid
21/06/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
22/06/2019,zaterdag,Midzomer evenement,"Amsterdamsestraatweg, Plantage",versterkt geluid
22/06/2019,zaterdag,Het Midzomergracht festival,Domplein,versterkt geluid
22/06/2019,zaterdag,PANNDORA,Julianapark,versterkt geluid
22/06/2019,zaterdag,DELA Eredivisie Beach & Beachweek,Lucasbolwerk,versterkt geluid
22/06/2019,zondag,Straatfeest Mijdrechtstraat,Mijdrechtstraat,"versterkt geluid, wegafsluiting"
22/06/2019,vrijdag,Duurzame Week,Neude,versterkt geluid
22/06/2019,zaterdag,Platen- CD beurs,Mariaplaats,
22/06/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
22/06/2019,zaterdag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
22/06/2019,zaterdag,Verknipt Festival 2018,Strijkviertel,"versterkt geluid, wegafsluiting"
22/06/2019,zaterdag,Midzomer Festival,Willem van Noortplein,versterkt geluid
23/06/2019,zaterdag,Midzomer evenement,"Amsterdamsestraatweg, Plantage",versterkt geluid
23/06/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,
23/06/2019,zondag,Het Midzomergracht festival,Domplein,versterkt geluid
23/06/2019,zondag,Zomerfestival,Julianapark,"versterkt geluid, wegafsluiting"
23/06/2019,zondag,DELA Eredivisie Beach & Beachweek,Lucasbolwerk,versterkt geluid
23/06/2019,zondag,Braderie Wkc. Overkapel,Overkapel,
23/06/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
23/06/2019,zondag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
23/06/2019,zondag,De Klanksteen Fête de la Musique,Tolsteegplantsoen,versterkt geluid
23/06/2019,zondag,Hondadag ,Voorveldselaan,
23/06/2019,zondag,De Dag van het Wilhelminapark,Wilhelminapark,versterkt geluid
24/06/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
25/06/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
26/06/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
27/06/2019,donderdag,Vier de Liefde Concert,Bemuurde Weerd Oostzijde,"versterkt geluid, wegafsluiting"
27/06/2019,donderdag,Botanica LIVE,Botanische Tuinen,
27/06/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
27/06/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
28/06/2019,vrijdag,Botanica LIVE,Botanische Tuinen,
28/06/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
28/06/2019,vrijdag,Lepeltje Lepeltje,Lepelenburg,versterkt geluid
28/06/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
29/06/2019,zaterdag,40UP Zomerfestival,Papendorp,versterkt geluid
29/06/2019,zaterdag,Botanica LIVE,Botanische Tuinen,
29/06/2019,zaterdag,Lepeltje Lepeltje,Lepelenburg,versterkt geluid
29/06/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
29/06/2019,zaterdag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
29/06/2019,zaterdag,Evangelisatie activiteit met muziek,Stadhuisbrug,versterkt geluid
30/06/2019,zondag,Botanica LIVE,Botanische Tuinen,
30/06/2019,zondag,A Lazy Sunday Afternoon,Castellum Hoge Woerd,versterkt geluid
30/06/2019,zondag,Kinderklapstoelconcert,Koekoeksplein,"versterkt geluid, wegafsluiting"
30/06/2019,zondag,Lepeltje Lepeltje,Lepelenburg,versterkt geluid
30/06/2019,zondag,Braderie Marshalllaan/Rijnbaan,Marshalllaan/Rijnbaan,
30/06/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
30/06/2019,zondag,30 jaar ZIMIHC,"Rokade Zuilen, Groot Winkelcentrum Overvecht, Griftpark,Leidsche Rijn Centrum en Winkelcentrum Smaragdplein",versterkt geluid
30/06/2019,zondag,Swan Market,Vredenburg,versterkt geluid
30/06/2019,donderdag,Kindertriathlon Leidsche Rijn,"Waterwinpark, Rijnkennemerlaan, Leonard Bernsteinkade",
juli,,,,
04/07/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
05/07/2019,zondag,Vorkje Prik,Berlijnplein,versterkt geluid
05/07/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
06/07/2019,zaterdag,Vorkje Prik,Berlijnplein,versterkt geluid
06/07/2019,vrijdag,Tour d'Utrecht,Jaarbeurs + route,versterkt geluid
06/07/2019,zaterdag,Braderie Wkc. De Plantage,Plantage,
06/07/2019,zaterdag,Donkerblauwe Deuntjes,Verlengde Hoogravenseweg 13,versterkt geluid
06/07/2019,zaterdag,Ronde van het Wilhelminapark,Wilhelminapark,"versterkt geluid, wegafsluiting"
07/07/2019,maandag,Vorkje Prik,Berlijnplein,versterkt geluid
07/07/2019,zondag,Campusfestival,Burchtpoort,versterkt geluid
07/07/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,
07/07/2019,zondag,Platen- CD beurs,Janskerkhof,
07/07/2019,zondag,A Lazy Sunday Afternoon,Lepelenburg,versterkt geluid
07/07/2019,zondag,Tour d'Utrecht & Ronde van de Maliebaan,"Maliebaan, Malieblad, Maliesingel & Nachtegaalstraat","versterkt geluid, wegafsluiting"
07/07/2019,woensdag,Cars4Charity Food Drive,Meerndijk 59,
07/07/2019,zondag,Braderie Piekenkermis,"Nachtegaalstraat, Burgemeester Reigerstraat",
07/07/2019,zondag,Triathlon Utrecht,Strijkviertel,versterkt geluid
07/07/2019,zondag,Ronde van het Wilhelminapark,Wilhelminapark,"versterkt geluid, wegafsluiting"
11/07/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
12/07/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
12/07/2019,vrijdag,Openluchtconcert,Janskerkhof,versterkt geluid
12/07/2019,woensdag,Kermis Maliebaanfestival 2019,Maliebaan en Malieblad,versterkt geluid
13/07/2019,zaterdag,Openingsdag Lustrum,Domplein,versterkt geluid
13/07/2019,zaterdag,Openluchtconcert,Janskerkhof,versterkt geluid
13/07/2019,zaterdag,Utrecht TAPT Festival,Julianapark,versterkt geluid
13/07/2019,zaterdag,Kermis Maliebaanfestival 2019,Maliebaan en Malieblad,versterkt geluid
13/07/2019,zaterdag,Intocht Lustrum,Route door de stad,wegafsluiting
13/07/2019,zaterdag,Pop up Terras,Willem van Noortplein,
14/07/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,
14/07/2019,zondag,Utrecht TAPT Festival,Julianapark,versterkt geluid
14/07/2019,zondag,Kermis Maliebaanfestival 2019,Maliebaan en Malieblad,versterkt geluid
14/07/2019,zondag,Braderie Marco Pololaan,Marco Pololaan,
14/07/2019,zondag,Home Made Market,Mariaplaats,
14/07/2019,zondag,A Lazy Sunday Afternoon,Tolsteegplantsoen,versterkt geluid
14/07/2019,zondag,Slotetappe Kikarow Rondje NL,"Verlengde Hoogravenseweg, Oudegracht water",versterkt geluid
14/07/2019,zondag,Beach tennis,Vredenburg,versterkt geluid
14/07/2019,zondag,Pop up Terras,Willem van Noortplein,
15/07/2019,zaterdag,Kermis Maliebaanfestival 2019,Maliebaan en Malieblad,versterkt geluid
16/07/2019,zondag,Kermis Maliebaanfestival 2019,Maliebaan en Malieblad,versterkt geluid
16/07/2019,dinsdag,Kinderkaravaan circus Snor,Vleuterweide,versterkt geluid
17/07/2019,dinsdag,Kermis Maliebaanfestival 2019,Maliebaan en Malieblad,"versterkt geluid, wegafsluiting"
17/07/2019,woensdag,Kinderkaravaan circus Snor,Vleuterweide,versterkt geluid
18/07/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
19/07/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
19/07/2019,vrijdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
19/07/2019,donderdag,Kinderkaravaan circus Snor,Thematerweg (Geertjeshoeve),versterkt geluid
19/07/2019,vrijdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
20/07/2019,zaterdag,SummerVibes,Korte Minrebroederstraat,"versterkt geluid, wegafsluiting"
20/07/2019,zondag,Platen- CD beurs,Mariaplaats,
20/07/2019,zaterdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
20/07/2019,vrijdag,Kinderkaravaan circus Snor,Thematerweg (Geertjeshoeve),versterkt geluid
20/07/2019,zaterdag,De Leuke Festival,Voorveldsepolder,"versterkt geluid, wegafsluiting"
20/07/2019,zaterdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
21/07/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,
21/07/2019,zondag,SummerVibes,Korte Minrebroederstraat,"versterkt geluid, wegafsluiting"
21/07/2019,zondag,A Lazy Sunday Afternoon,Lepelenburg,versterkt geluid
21/07/2019,zondag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
21/07/2019,zaterdag,Kinderkaravaan circus Snor,Thematerweg (Geertjeshoeve),versterkt geluid
21/07/2019,zondag,Home Made Market,Vredenburg,versterkt geluid
21/07/2019,zondag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
22/07/2019,maandag,Kinderdorp Leidsche Rijn,Maximapark,versterkt geluid
22/07/2019,maandag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
22/07/2019,maandag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
23/07/2019,dinsdag,Kinderdorp Leidsche Rijn,Maximapark,versterkt geluid
23/07/2019,dinsdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
23/07/2019,dinsdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
24/07/2019,woensdag,Kinderdorp Leidsche Rijn,Maximapark,versterkt geluid
24/07/2019,woensdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
24/07/2019,woensdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
25/07/2019,zondag,Terrassenfestival Caribbean Summer,Janskerkhof,versterkt geluid
25/07/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
25/07/2019,donderdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
25/07/2019,donderdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
26/07/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
26/07/2019,zondag,Terrassenfestival Caribbean Summer,Janskerkhof,versterkt geluid
26/07/2019,vrijdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
26/07/2019,vrijdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
27/07/2019,vrijdag,Terrassenfestival Caribbean Summer,Janskerkhof,versterkt geluid
27/07/2019,zaterdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
27/07/2019,zaterdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
28/07/2019,zondag,A Lazy Sunday Afternoon,Castellum Hoge Woerd,versterkt geluid
28/07/2019,zondag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
28/07/2019,zaterdag,Swan Market,Vredenburg,versterkt geluid
28/07/2019,zondag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
29/07/2019,maandag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
29/07/2019,maandag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
30/07/2019,dinsdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
30/07/2019,dinsdag,Lustrumweek C.S. Veritas,Werkspoorkwartier of the Wall,versterkt geluid
31/07/2019,woensdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
augustus,,,,
01/08/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
01/08/2019,donderdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
02/08/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
02/08/2019,vrijdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
03/08/2019,zaterdag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
04/08/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,
04/08/2019,zondag,Platen- CD beurs,Janskerkhof,
04/08/2019,zondag,Theaterfestival De Parade,Moreelsepark,"versterkt geluid, wegafsluiting"
08/08/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
09/08/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
10/08/2019,zaterdag,Beat the Wall,Hertogswetering,versterkt geluid
10/08/2019,zaterdag,In het Zand Festival,Strand Oog in Al,"versterkt geluid, wegafsluiting"
11/08/2019,zondag,A Lazy Sunday Afternoon,Castellum Hoge Woerd,versterkt geluid
11/08/2019,zondag,Beat the Wall,Hertogswetering,versterkt geluid
11/08/2019,zondag,UIT-week C.S. Veritas,Hieronymusplantsoen,versterkt geluid
11/08/2019,zaterdag,UIT-week (Unitas),Lucasbolwerk,versterkt geluid
11/08/2019,zondag,A Lazy Sunday Afternoon,Tolsteegplantsoen,versterkt geluid
11/08/2019,zondag,Pre-UIT dag USC,Wilhelminapark,
12/08/2019,maandag,Beat the Wall,Hertogswetering,versterkt geluid
12/08/2019,maandag,UIT-week C.S. Veritas,Hieronymusplantsoen,versterkt geluid
12/08/2019,maandag,UITweek,Janskerkhof,wegafsluiting
12/08/2019,maandag,UIT-week (Unitas),Lucasbolwerk,versterkt geluid
12/08/2019,maandag,Utrechtse Introductie Tijd,"Moreelsepark, Wilhelminapark, Lepelenburg, Neude, Janskerkhof, Domplein, Botanische Tuinen, Malieblad, Zwembad de Kromme Rijn",versterkt geluid
13/08/2019,dinsdag,Beat the Wall,Hertogswetering,versterkt geluid
13/08/2019,dinsdag,UIT-week C.S. Veritas,Hieronymusplantsoen,versterkt geluid
13/08/2019,dinsdag,UITweek,Janskerkhof,wegafsluiting
13/08/2019,dinsdag,UIT-week (Unitas),Lucasbolwerk,versterkt geluid
13/08/2019,dinsdag,Utrechtse Introductie Tijd,"Moreelsepark, Wilhelminapark, Lepelenburg, Neude, Janskerkhof, Domplein, Botanische Tuinen, Malieblad, Zwembad de Kromme Rijn",versterkt geluid
14/08/2019,woensdag,Beat the Wall,Hertogswetering,versterkt geluid
14/08/2019,woensdag,UIT-week C.S. Veritas,Hieronymusplantsoen,versterkt geluid
14/08/2019,woensdag,UITweek,Janskerkhof,wegafsluiting
14/08/2019,woensdag,UIT-week (Unitas),Lucasbolwerk,versterkt geluid
14/08/2019,woensdag,Utrechtse Introductie Tijd,"Moreelsepark, Wilhelminapark, Lepelenburg, Neude, Janskerkhof, Domplein, Botanische Tuinen, Malieblad, Zwembad de Kromme Rijn",versterkt geluid
15/08/2019,donderdag,Beat the Wall,Hertogswetering,versterkt geluid
15/08/2019,donderdag,UIT-week C.S. Veritas,Hieronymusplantsoen,versterkt geluid
15/08/2019,donderdag,UITweek,Janskerkhof,wegafsluiting
15/08/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
15/08/2019,donderdag,UIT-week (Unitas),Lucasbolwerk,versterkt geluid
15/08/2019,donderdag,Utrechtse Introductie Tijd,"Moreelsepark, Wilhelminapark, Lepelenburg, Neude, Janskerkhof, Domplein, Botanische Tuinen, Malieblad, Zwembad de Kromme Rijn",versterkt geluid
16/08/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
16/08/2019,vrijdag,Woodstock Music,Griftpark,versterkt geluid
16/08/2019,vrijdag,Beat the Wall,Hertogswetering,versterkt geluid
16/08/2019,vrijdag,UITweek,Janskerkhof,wegafsluiting
16/08/2019,vrijdag,Utrechtse Introductie Tijd,"Moreelsepark, Wilhelminapark, Lepelenburg, Neude, Janskerkhof, Domplein, Botanische Tuinen, Malieblad, Zwembad de Kromme Rijn",versterkt geluid
17/08/2019,zaterdag,Woodstock Music,Griftpark,versterkt geluid
17/08/2019,zaterdag,Beat the Wall,Hertogswetering,versterkt geluid
18/08/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,
18/08/2019,zondag,Woodstock Music,Griftpark,versterkt geluid
18/08/2019,zondag,Beat the Wall,Hertogswetering,versterkt geluid
18/08/2019,zondag,A Lazy Sunday Afternoon,Lepelenburg,versterkt geluid
18/08/2019,zondag,Home Made Market,Vredenburg,versterkt geluid
19/08/2019,maandag,Zomeravond SLOTconcert,Buurkerkhof,
22/08/2019,donderdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
23/08/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
23/08/2019,vrijdag,Eten op Rolletjes,Maximapark,versterkt geluid
24/08/2019,zondag,Kinderkaravaan circus Snor,Koppeldijk (Kinderboederij Lunetten),versterkt geluid
24/08/2019,zaterdag,Platen- CD beurs,Mariaplaats,
24/08/2019,zaterdag,Eten op Rolletjes,Maximapark,versterkt geluid
25/08/2019,maandag,Kinderkaravaan circus Snor,Koppeldijk (Kinderboederij Lunetten),versterkt geluid
25/08/2019,zondag,Swan Market,Vredenburg,
25/08/2019,zondag,A Lazy Sunday Afternoon,Castellum Hoge Woerd,versterkt geluid
25/08/2019,zondag,Zomerse Zondag in het Castellum,Castellum Hoge Woerd,
25/08/2019,zaterdag,Het Utrechts Mosselfestival,"Lucasbolwerk, Lange Jufferstraat",
25/08/2019,zondag,Eten op Rolletjes,Maximapark,versterkt geluid
25/08/2019,zondag,De Klanksteen Country middag,Tolsteegplantsoen,versterkt geluid
26/08/2019,zaterdag,Kindervakantieweek Vleuten - Haarzuilens,Hindersteinlaan,versterkt geluid
26/08/2019,zondag,Kindervakantieweek de Meern,Mauritspark,
27/08/2019,zondag,Kindervakantieweek Vleuten - Haarzuilens,Hindersteinlaan,versterkt geluid
27/08/2019,zaterdag,Kindervakantieweek de Meern,Mauritspark,
28/08/2019,zondag,Kindervakantieweek Vleuten - Haarzuilens,Hindersteinlaan,versterkt geluid
28/08/2019,zaterdag,Kindervakantieweek de Meern,Mauritspark,wegafsluiting
29/08/2019,maandag,Kindervakantieweek Vleuten - Haarzuilens,Hindersteinlaan,versterkt geluid
29/08/2019,vrijdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
29/08/2019,zondag,Kindervakantieweek de Meern,Mauritspark,
30/08/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
30/08/2019,dinsdag,Festival STRAND,Haarrijnse Plas,versterkt geluid
30/08/2019,zondag,Kindervakantieweek de Meern,Mauritspark,
31/08/2019,woensdag,Festival STRAND,Haarrijnse Plas,versterkt geluid
31/08/2019,zaterdag,Bridging The Gap,"Maliebaan, Maliesingel, Nachtegaalstraat","versterkt geluid, wegafsluiting"
31/08/2019,zaterdag,Evangelisatie activiteit,Stadhuisbrug,versterkt geluid
september,,,,
01/09/2019,zondag,A Lazy Sunday Afternoon,Castellum Hoge Woerd,versterkt geluid
01/09/2019,donderdag,Festival STRAND,Haarrijnse Plas,"versterkt geluid, wegafsluiting"
01/09/2019,zondag,Platen- CD beurs,Janskerkhof,
01/09/2019,woensdag,Ronde van Midden Nederland,Papendorp,
05/09/2019,zaterdag,Las Nueve Openlucht Tango,Korte Minrebroederstraat,versterkt geluid
06/09/2019,vrijdag,Utrecht Skate Parade,diverse routes,versterkt geluid
06/09/2019,zaterdag,Asian streetfoodfestival JOY,Griftpark,versterkt geluid
07/09/2019,zaterdag,Braderie Adm. Helfrichlaan,Adm. Helfrichlaan,
07/09/2019,zondag,Asian streetfoodfestival JOY,Griftpark,versterkt geluid
07/09/2019,zaterdag,Lief Festival,Strijkviertel,versterkt geluid
08/09/2019,zondag,Leidsche Rijn Festival,Castellum Hoge Woerd,versterkt geluid
08/09/2019,maandag,Asian streetfoodfestival JOY,Griftpark,versterkt geluid
08/09/2019,zondag,A Lazy Sunday Afternoon,Lepelenburg,versterkt geluid
