NUMMER;PLAATS;AFWIJKING;AFLEZING;MAAIVELD;STIJGBUIS;JAARNR;WEEKNR;DDMUTATIE;STATUS;JAAR;INDICATIE_ACTIEF;DD_VERVALLEN;INDICATIENR;LON;LAT;RD_X;RD_Y;WIJKBUURTNR;WIJK;BUURTNAAM;GEMEENTE_CODE;GEMEENTE_NAAM;LANDCODE;LANDNAAM
6003;Havikstraat 25;;1,780;-2,230;-1,974;2015;22;28-05-2015;V;2015;1;;;4,3560065141;51,9323101022;84080,2600000000;438707,5470000000;6.4;Holy Zuid;VOGELBUURT NOORD;0622;Vlaardingen;NL;Nederland
6007;Aalscholverlaan;;0,710;-2,064;-2,184;2015;22;28-05-2015;V;2015;1;;;4,3501953317;51,9323906438;83680,7480000000;438722,1940000000;6.4;Holy Zuid;VOGELBUURT NOORD;0622;Vlaardingen;NL;Nederland
10;Grasveld tussen Bernweg/Londenweg;;1,080;;;2015;22;28-05-2015;V;2016;2;17-07-2016;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
9;Grasveld tussen Bernweg/Londenweg;;1,120;;;2015;22;28-05-2015;V;2016;2;28-05-2016;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
8;Grasveld tussen Bernweg/Londenweg;;1,020;;;2015;22;28-05-2015;V;2018;2;28-01-2016;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
7;Grasveld tussen Bernweg/Londenweg;;1,110;;;2015;22;28-05-2015;V;2015;2;14-11-2015;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
6;Grasveld tussen Lux'burg/Londenweg;;0,760;;;2015;22;28-05-2015;V;2015;2;28-09-2015;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
5;Grasveld tussen Lux'burg/Londenweg;;1,280;;;2015;22;28-05-2015;V;2015;2;14-11-2015;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
4;Grasveld tussen Lux'burg/Londenweg;;1,560;;;2015;22;28-05-2015;V;2015;2;30-11-2015;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
3;Grasveld tussen Madrid/Lux'burgweg;hek;;;;2015;22;28-05-2015;V;2015;2;28-10-2015;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
2;Grasveld tussen Madrid/Lux'burgweg;;1,090;;;2015;22;28-05-2015;V;2015;2;14-01-2016;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
1;Grasveld tussen Madrid/Lux'burgweg;;1,520;;;2015;22;28-05-2015;V;2015;2;28-01-2016;;;;;;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
7024;Kopenhagenlaan;;1,190;-1,766;-1,840;2015;22;28-05-2015;V;2015;1;;;4,3553758229;51,9366745932;84043,7810000000;439193,7070000000;7.4;Holy Noord;HOOFDSTEDENBUURT;0622;Vlaardingen;NL;Nederland
7026;Zeelandlaan 5;;0,620;-1,933;-2,046;2015;22;28-05-2015;V;2015;1;;;4,3589093664;51,9368999366;84287,1170000000;439215,3320000000;7.6;Holy Noord;HOEVENBUURT;0622;Vlaardingen;NL;Nederland
7025;Axelhoeve 10;;0,690;-1,948;-2,024;2015;22;28-05-2015;V;2015;1;;;4,3575235626;51,9378636916;84193,3430000000;439323,8980000000;7.6;Holy Noord;HOEVENBUURT;0622;Vlaardingen;NL;Nederland
7022;Barneveldhoeve 4;;0,790;-1,780;-1,890;2015;22;28-05-2015;V;2015;1;;;4,3575170869;51,9397942519;84195,9410000000;439538,6770000000;7.6;Holy Noord;HOEVENBUURT;0622;Vlaardingen;NL;Nederland
7023;Ruurlohoeve 12;;0,810;-2,000;-2,074;2015;22;28-05-2015;V;2015;1;;;4,3583024750;51,9396210450;84249,6710000000;439518,6430000000;7.6;Holy Noord;HOEVENBUURT;0622;Vlaardingen;NL;Nederland
7021;Gelderlandlaan 34;;0,640;-2,220;-2,260;2015;22;28-05-2015;V;2015;1;;;4,3569936479;51,9412407190;84162,2310000000;439700,1050000000;7.6;Holy Noord;HOEVENBUURT;0622;Vlaardingen;NL;Nederland
1011;Schoolstraat 41;;0,370;-0,501;-0,554;2015;22;28-05-2015;V;2016;1;;;4,3411557320;51,9078681277;83019,8230000000;436003,0140000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1010;Struyckstraat 2;;0,620;-0,650;-0,860;2015;22;28-05-2015;V;2016;1;;;4,3388575208;51,9079395591;82861,8020000000;436013,2390000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1006;Jacob v.d. Wintstraat 2;;0,650;-1,822;-1,844;2015;22;28-05-2015;V;2016;1;;;4,3357846471;51,9087904125;82651,7330000000;436110,9490000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1003;Groeneweg (terr. gemaal);;0,920;-1,844;-1,875;2015;22;28-05-2015;V;2016;1;;;4,3352805519;51,9092587811;82617,8020000000;436163,5560000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1024;Markgraaflaan 6;;0,880;-1,726;-1,857;2015;22;28-05-2015;V;2016;1;;;4,3360354696;51,9092178591;82669,6790000000;436158,2520000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1025;Groeneweg  32;;0,910;-1,769;-1,932;2015;22;28-05-2015;V;2016;1;;;4,3345739528;51,9098653093;82570,1610000000;436231,7350000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1026;Burg Pruissingel 56;;0,390;-1,573;-1,642;2015;22;28-05-2015;V;2016;1;;;4,3344005214;51,9102903607;82558,9130000000;436279,1940000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1023;HR Holststraat 19;;0,780;-1,201;-1,698;2015;22;28-05-2015;V;2016;1;;;4,3362011066;51,9098607266;82682,1100000000;436229,6050000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
