FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,gdb_geomattr_data,shape
mutaties_hectopunten.142,169,250,353531013,2023-01-01T00:00:00, , ,,POINT (176822.45850000158 566188.8460999988)
mutaties_hectopunten.143,170,150,353531013,2023-01-01T00:00:00, , ,,POINT (176802.32759999856 566090.924899999)
mutaties_hectopunten.144,171,50,353531013,2023-01-01T00:00:00, , ,,POINT (176768.27549999952 565997.2850000001)
mutaties_hectopunten.145,162,97,353533007,2023-01-01T00:00:00, , ,,POINT (176997.26669999957 566860.3610000014)
mutaties_hectopunten.146,582,29,357285041,2021-11-01T00:00:00, , ,,POINT (178968.86989999935 442732.8781000003)
mutaties_hectopunten.147,583,129,357285041,2021-11-01T00:00:00, , ,,POINT (179065.3018000014 442759.9283000007)
mutaties_hectopunten.148,584,87,358285012,2023-01-01T00:00:00, , ,,POINT (179158.9536000006 442793.8240999989)
mutaties_hectopunten.149,585,187,358285012,2023-01-01T00:00:00, , ,,POINT (179254.12269999832 442824.29520000145)
mutaties_hectopunten.150,586,287,358285012,2023-01-01T00:00:00, , ,,POINT (179348.95419999957 442856.63599999994)
mutaties_hectopunten.151,587,387,358285012,2023-01-01T00:00:00, , ,,POINT (179442.99529999867 442891.2335000001)
mutaties_hectopunten.152,588,487,358285012,2023-01-01T00:00:00, , ,,POINT (179536.26449999958 442927.03269999847)
mutaties_hectopunten.153,40,98,359036003,2021-11-01T00:00:00, , ,,POINT (179805.85429999977 318256.20419999957)
mutaties_hectopunten.154,41,197,359036003,2021-11-01T00:00:00, , ,,POINT (179887.56590000167 318312.9792999998)
mutaties_hectopunten.155,42,297,359036003,2021-11-01T00:00:00, , ,,POINT (179971.30209999904 318366.7338999994)
mutaties_hectopunten.156,61,363,360246057,2023-01-01T00:00:00, , ,,POINT (180348.68670000136 423778.0474999994)
mutaties_hectopunten.157,62,263,360246057,2023-01-01T00:00:00, , ,,POINT (180311.39950000122 423685.3482999988)
mutaties_hectopunten.158,63,163,360246057,2023-01-01T00:00:00, , ,,POINT (180292.6202000007 423587.22569999844)
mutaties_hectopunten.159,64,63,360246057,2023-01-01T00:00:00, , ,,POINT (180277.4188000001 423488.38800000027)
mutaties_hectopunten.160,54,419,360248010,2023-01-01T00:00:00, , ,,POINT (180652.80469999835 424407.9989)
mutaties_hectopunten.161,55,319,360248010,2023-01-01T00:00:00, , ,,POINT (180610.79879999906 424317.2503999993)
mutaties_hectopunten.162,56,219,360248010,2023-01-01T00:00:00, , ,,POINT (180565.25239999965 424228.2696999982)
mutaties_hectopunten.163,57,119,360248010,2023-01-01T00:00:00, , ,,POINT (180517.42440000176 424140.47239999846)
mutaties_hectopunten.164,58,19,360248010,2023-01-01T00:00:00, , ,,POINT (180471.8125 424051.623399999)
mutaties_hectopunten.165,52,75,361279019,2021-11-01T00:00:00, , ,,POINT (180930.86070000008 439702.17449999973)
mutaties_hectopunten.166,53,175,361279019,2021-11-01T00:00:00, , ,,POINT (181029.17449999973 439718.59369999915)
mutaties_hectopunten.167,54,275,361279019,2021-11-01T00:00:00, , ,,POINT (181128.74940000102 439731.15790000185)
mutaties_hectopunten.168,601,95,361286029,2023-01-01T00:00:00, , ,,POINT (180820.9987999983 443026.53020000085)
mutaties_hectopunten.169,602,195,361286029,2023-01-01T00:00:00, , ,,POINT (180920.99350000173 443025.71229999885)
mutaties_hectopunten.170,1588,3,362278010,2023-01-01T00:00:00, ,a,,POINT (181076.98039999977 439372.84750000015)
mutaties_hectopunten.171,1589,94,362278010,2023-01-01T00:00:00, ,a,,POINT (181089.5417000018 439462.28489999846)
mutaties_hectopunten.172,1590,194,362278010,2023-01-01T00:00:00, ,a,,POINT (181137.3574000001 439549.83839999884)
mutaties_hectopunten.173,1591,293,362278010,2023-01-01T00:00:00, ,a,,POINT (181174.63659999892 439640.2045000009)
mutaties_hectopunten.174,55,66,362279008,2021-11-01T00:00:00, , ,,POINT (181226.27820000052 439753.32339999825)
mutaties_hectopunten.175,56,166,362279008,2021-11-01T00:00:00, , ,,POINT (181325.03020000085 439769.6228)
mutaties_hectopunten.176,57,266,362279008,2021-11-01T00:00:00, , ,,POINT (181423.10029999912 439788.64350000024)
mutaties_hectopunten.177,58,366,362279008,2021-11-01T00:00:00, , ,,POINT (181520.9583999999 439809.39979999885)
mutaties_hectopunten.178,59,466,362279008,2021-11-01T00:00:00, , ,,POINT (181618.70960000157 439830.93079999834)
mutaties_hectopunten.179,60,566,362279008,2021-11-01T00:00:00, , ,,POINT (181716.1347000003 439853.1424999982)
mutaties_hectopunten.180,61,666,362279008,2021-11-01T00:00:00, , ,,POINT (181813.49159999937 439875.99709999934)
mutaties_hectopunten.181,62,766,362279008,2021-11-01T00:00:00, , ,,POINT (181910.6101000011 439899.56650000066)
mutaties_hectopunten.182,63,866,362279008,2021-11-01T00:00:00, , ,,POINT (182007.71200000122 439923.3632999994)
mutaties_hectopunten.183,64,966,362279008,2021-11-01T00:00:00, , ,,POINT (182105.14039999992 439945.9197999984)
mutaties_hectopunten.184,65,1066,362279008,2021-11-01T00:00:00, , ,,POINT (182202.8333999999 439967.12970000133)
mutaties_hectopunten.185,66,1166,362279008,2021-11-01T00:00:00, , ,,POINT (182300.83520000055 439986.9028000012)
mutaties_hectopunten.186,67,1266,362279008,2021-11-01T00:00:00, , ,,POINT (182399.15060000122 440005.26680000126)
mutaties_hectopunten.187,68,1366,362279008,2021-11-01T00:00:00, , ,,POINT (182497.7701999992 440022.28119999915)
mutaties_hectopunten.188,69,1466,362279008,2021-11-01T00:00:00, , ,,POINT (182596.51480000094 440037.7195000015)
mutaties_hectopunten.189,70,1566,362279008,2021-11-01T00:00:00, , ,,POINT (182695.4739000015 440051.7976000011)
mutaties_hectopunten.190,71,1666,362279008,2021-11-01T00:00:00, , ,,POINT (182794.7325000018 440064.686999999)
mutaties_hectopunten.191,72,1766,362279008,2021-11-01T00:00:00, , ,,POINT (182894.04399999976 440075.98330000043)
mutaties_hectopunten.192,73,1866,362279008,2021-11-01T00:00:00, , ,,POINT (182993.45430000126 440085.8645000011)
mutaties_hectopunten.193,74,1966,362279008,2021-11-01T00:00:00, , ,,POINT (183093.14759999886 440094.3649000004)
mutaties_hectopunten.194,75,2066,362279008,2021-11-01T00:00:00, , ,,POINT (183192.83350000158 440101.4041999988)
