FID,omschr,type_div,hectobord,afritnr,afritnaam,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
divergenties_kenmerk.574,Halfklaverblad-aansluiting,D,81.1a,13,'CULEMBORG'VBW. a,R,80.90100098,002,KPK0001124265,I,,POINT (139436.42179999873 438225.79289999977)
divergenties_kenmerk.575,Halfklaverblad-aansluiting,U,81.6c,13,'CULEMBORG'VBW. c,R,81.73400116,002,KPK0001124274,I,,POINT (139906.76850000024 437522.56489999965)
divergenties_kenmerk.576,,U,83.3m,,BS.PPL.'BISDE',R,83.10099792,002,KPK0001124281,I,,POINT (140548.94940000027 436328.43930000067)
divergenties_kenmerk.577,Halfklaverblad-aansluiting,U,87.9a,15,'GELDERMALSEN'VBW. a,R,87.80500031,002,KPK0001124327,I,,POINT (142728.20430000126 432168.7531999983)
divergenties_kenmerk.578,Pseudo T-knooppunt,D,75.8a,,'KP.BENELUX'PERNIS VBW. a,R,75.69999695,004,KPK0001127151,I,,POINT (85936.65720000118 432534.55310000107)
divergenties_kenmerk.579,Pseudo T-knooppunt,U,76.2z,,'KP.BENELUX'HOOGVLIET VBW. z,R,76.03500366,004,KPK0001127161,I,,POINT (85680.09840000048 432279.9772000015)
divergenties_kenmerk.580,Pseudo Klaverbladknooppunt,U,9.1n,,'KP.RAASDORP'UTRECHT RANG.BAAN n,R,9.23999977,005,KPK0001128415,I,,POINT (111453.4899000004 486417.3467000015)
divergenties_kenmerk.581,Halfklaverblad-aansluiting,U,13.5a,2,'IJMUIDEN'VBW. a,R,13.40200043,005,KPK0001128485,I,,POINT (113575.1165000014 489638.08989999816)
divergenties_kenmerk.582,Halfklaverblad-aansluiting,U,14.6a,3,'AMSTERDAM-WESTPOORT'VBW. a,R,14.48799992,005,KPK0001128493,I,,POINT (114671.44409999996 489666.11840000004)
divergenties_kenmerk.583,Halfklaverblad-aansluiting,U,13.9c,2,'IJMUIDEN'VBW. c,R,13.99499989,005,KPK0001128494,I,,POINT (114182.78550000116 489680.1312999986)
divergenties_kenmerk.584,Halfklaverblad-aansluiting,U,14.9c,3,'AMSTERDAM-WESTPOORT'VBW. c,R,14.98999977,005,KPK0001128495,I,,POINT (115187.29199999943 489667.64559999853)
divergenties_kenmerk.585,Klaverbladknooppunt,D,89.7g,,'KP.DEIL'NIJMEGEN VBW. g,R,89.55400085,002,KPK0001124362,I,,POINT (143612.30539999902 430662.5040999986)
divergenties_kenmerk.586,Halfklaverblad-aansluiting,U,93.5a,16,'WAARDENBURG'VBW. a,R,93.29799652,002,KPK0001124388,I,,POINT (145493.23889999837 427431.4272999987)
divergenties_kenmerk.587,Klaverbladknooppunt,U,91.2n,,'KP.DEIL'ROTTERDAM RANG.BAAN n,R,91.39199829,002,KPK0001124389,I,,POINT (144523.28390000015 429047.3933000006)
divergenties_kenmerk.588,Niet indeelbaar,U,18.9p,,WISSELSTROOK p,R,18.86000061,005,KPK0001128566,I,,POINT (118484.9338000007 490571.85660000145)
divergenties_kenmerk.589,Haarlemmermeer-aansluiting,U,25.8a,8,'OOSTVOORNE'VBW. a,R,25.7329998,015,KPK0001191795,I,,POINT (66330.42119999975 438966.1517000012)
divergenties_kenmerk.590,Pseudo T-knooppunt,U,36.1e,,'KP.HOLENDRECHT'HAARLEM VBW. e,R,35.86399841,002,KPK0001125883,I,,POINT (124705.12260000035 478137.2738999985)
divergenties_kenmerk.591,Pseudo T-knooppunt,U,36.7f,,'KP.HOLENDRECHT'AMSTERDAM ZUID-OOST VBW. f,R,36.78699875,002,KPK0001125905,I,,POINT (125330.10220000148 477375.12099999934)
divergenties_kenmerk.592,Haarlemmermeer-aansluiting,U,57.1c,6,'MAARSSEN'VBW. c,R,57.10400009,002,KPK0001125917,I,,POINT (131156.64809999987 458688.40040000156)
divergenties_kenmerk.593,Haarlemmermeer-aansluiting,U,58.6c,7,'UTRECHT-LEIDSCHE RIJN'VBW. c,R,58.72700119,002,KPK0001125918,I,,POINT (132448.31810000166 457722.76949999854)
divergenties_kenmerk.594,Haarlemmermeer-aansluiting,U,26.2n,8,'OOSTVOORNE'VBW. n,R,26.38299942,015,KPK0001191805,I,,POINT (66865.42110000178 439246.57919999957)
divergenties_kenmerk.595,Halfklaverblad-aansluiting,U,32.4a,11,'HAVENS 5500-5700'VBW. a,R,32.24000168,015,KPK0001191816,I,,POINT (71553.20479999855 438042.85929999873)
divergenties_kenmerk.596,,U,0.0#,,BS.PPL.'STAALDIEP',R,33.68899918,015,KPK0001191827,I,,POINT (72476.08159999922 436966.3383000009)
divergenties_kenmerk.597,Pseudo T-knooppunt,U,35.0x,,'BRIELLE'RANG.BAAN x,R,34.81900024,015,KPK0001191838,I,,POINT (73348.7426000014 436251.8093000017)
divergenties_kenmerk.598,Haarlemmermeer-aansluiting,U,39.3a,14,'ROZENBURG-CENTRUM'VBW. a,R,38.97700119,015,KPK0001191885,I,,POINT (77112.47500000149 434770.5507000014)
divergenties_kenmerk.599,Halfklaverblad-aansluiting,D,62.4c,8,'UTRECHT-LANGERAK'VBW. c,R,62.53099823,002,KPK0001125972,I,,POINT (133577.72019999847 454264.2476999983)
divergenties_kenmerk.600,Haarlemmermeer-aansluiting,U,56.4a,6,'RING-NOORD MAARSSEN'VBW. a,R,56.23300171,002,KPK0001125989,I,,POINT (130401.1660999991 459139.9156999998)
divergenties_kenmerk.601,Haarlemmermeer-aansluiting,U,29.8a,10,'HAVENS 5700-6200'VBW. a,R,29.51499939,015,KPK0001191812,I,,POINT (69370.69000000134 439344.64820000157)
divergenties_kenmerk.602,Haarlemmermeer-aansluiting,U,39.9c,14,'ROZENBURG-CENTRUM'VBW. c,R,40.02899933,015,KPK0001191920,I,,POINT (77310.68710000068 433870.33029999956)
divergenties_kenmerk.603,Haarlemmermeer-aansluiting,U,42.6a,15,'HAVENS 4000-5225'VBW. a,R,42.44599915,015,KPK0001191959,I,,POINT (78153.8658999987 431703.07939999923)
divergenties_kenmerk.604,Pseudo Haarlemmermeer-aansluiting,U,44.3x,,'BOTLEKBRUG'RANG.BAAN x,R,44.20999908,015,KPK0001191969,I,,POINT (79887.36450000107 431615.3447000012)
divergenties_kenmerk.605,Pseudo T-knooppunt,U,35.1#,,'KP.HOLENDRECHT'HENGELO (RW9),R,35.59999847,002,KPK0001201893,I,,POINT (124677.75560000166 478420.3145999983)
divergenties_kenmerk.606,Haarlemmermeer-aansluiting,U,80.5a,24,'SLIEDRECHT-WEST'VBW. a,R,80.35199738,015,KPK0001192072,I,,POINT (110235.22610000148 427373.16220000014)
divergenties_kenmerk.607,Pseudo T-knooppunt,U,35.3a,12,'BRIELLE'VBW. a,R,35.18099976,015,KPK0001192246,I,,POINT (73625.5001000017 436001.9629999995)
divergenties_kenmerk.608,Pseudo Halfklaverblad-aansluiting,U,0.0#,,'HAVENS 5500-5600'VBW. a,R,36.33599854,015,KPK0001192248,I,,POINT (74536.8797999993 435317.882100001)
divergenties_kenmerk.609,Pseudo Halfklaverblad-aansluiting,U,37.3a,,'ROZENBURG'VBW. a,R,37.13600159,015,KPK0001192253,I,,POINT (75390.73350000009 435401.67749999836)
divergenties_kenmerk.610,Pseudo Haarlemmermeer-aansluiting,D,44.6a,16,'SPIJKENISSE'VBW. a,R,44.48600006,015,KPK0001192279,I,,POINT (80170.44779999927 431627.21240000054)
divergenties_kenmerk.611,Pseudo T-knooppunt,D,0.0#,,'KP.EKKERSWEIJER'NIJMEGEN (RW50),R,154.82800293,002,KPK0001201737,I,,POINT (157278.37079999968 388574.50459999964)
divergenties_kenmerk.612,Pseudo Haarlemmermeer-aansluiting,U,0.0#,,'PERNIS',R,48.81000137,015,KPK0001192299,I,,POINT (84363.50189999864 432395.7283000015)
divergenties_kenmerk.613,Niet indeelbaar,D,56.9p,,'ROTTERDAM-ZUIDPLEIN'VBW. p,R,56.90000153,015,KPK0001192309,I,,POINT (92141.90190000087 430753.15940000117)
divergenties_kenmerk.614,Pseudo T-knooppunt,D,51.3q,,'KP.BENELUX'RING-WEST ROTTERDAM-NOORD VBW. q,R,51.49300003,015,KPK0001192317,I,,POINT (86969.76209999993 432198.4043999985)
divergenties_kenmerk.615,Pseudo Haarlemmermeer-aansluiting,D,54.0c,18,'ROTTERDAM-HEIJPLAAT'VBW. c,R,54.26699829,015,KPK0001192336,I,,POINT (89704.82119999826 431552.51960000023)
divergenties_kenmerk.616,Pseudo Haarlemmermeer-aansluiting,U,0.0#,,'PERNIS',R,53.5,015,KPK0001192356,I,,POINT (88942.56469999999 431747.40210000053)
divergenties_kenmerk.617,Overig volledig knooppunt,D,4.0j,,'KP.BADHOEVEDORP'UTRECHT VBW. j,R,3.94499993,004,KPK0001202191,I,,POINT (114574.08170000091 482482.28649999946)
divergenties_kenmerk.618,Overig volledig knooppunt,D,5.0e,,'KP.BADHOEVEDORP'ALKMAAR VBW. e,R,4.87799978,004,KPK0001202196,I,,POINT (113616.10319999978 482408.86719999835)
divergenties_kenmerk.619,Niet indeelbaar,U,60.7n,,"'UTRECHT""RANG.BAAN n",R,60.90800095,006,KPK0001202338,I,,POINT (151800.81590000167 489960.1790000014)
divergenties_kenmerk.620,,U,90.6p,,PPL.'OEVERWAL',R,90.50700378,006,KPK0001202356,I,,POINT (165695.99230000004 510249.38390000165)
divergenties_kenmerk.621,Pseudo T-knooppunt,U,97.6h,12,'SWIFTERBANT'VBW. h,R,97.78900146,006,KPK0001202360,I,,POINT (171960.35649999976 513449.1898000017)
divergenties_kenmerk.622,Pseudo Haarlemmermeer-aansluiting,U,78.7w,23,'PAPENDRECHT'VBW. w,R,78.77500153,015,KPK0001192400,I,,POINT (108792.52950000018 427967.96869999915)
divergenties_kenmerk.623,Halfklaverblad-aansluiting,U,95.1c,27,'GORINCHEM'VBW. c,R,95.18900299,015,KPK0001192405,I,,POINT (124335.73420000076 428494.0139000006)
divergenties_kenmerk.624,Niet indeelbaar,U,0.0#,,'SCHELLUINEN' (N216),R,94.7559967,015,KPK0001192430,I,,POINT (123988.808699999 428401.2642999999)
divergenties_kenmerk.625,Niet indeelbaar,U,0.0#,,'AMSTERDAM-IJBURG',R,7.07800007,001,KPK0001122363,I,,POINT (128003.78330000117 483314.65029999986)
divergenties_kenmerk.626,Pseudo Haarlemmermeer-aansluiting,U,7.2c,2,'DIEMEN'VBW. c,R,7.27899981,001,KPK0001122368,I,,POINT (128157.3553000018 483181.03130000085)
divergenties_kenmerk.627,Niet indeelbaar,U,41.5z,,WISSELSTROOK z (RW6),R,15.08399963,001,KPK0001122451,I,,POINT (135517.94310000166 480936.25670000166)
divergenties_kenmerk.628,Pseudo T-knooppunt,U,10.1f,,'KP.DIEMEN'HAARLEM VBW. f,R,10.22500038,001,KPK0001122461,I,,POINT (131003.01319999993 482626.061900001)
divergenties_kenmerk.629,T-aansluiting Haarlemmermeer,U,11.4c,3,'MUIDEN'VBW. c,R,11.49600029,001,KPK0001122462,I,,POINT (132204.6458999999 482200.5667999983)
divergenties_kenmerk.630,,U,94.3x,,BS.PPL.'BUTTERVLIET',R,94.20500183,004,KPK0001202137,I,,POINT (87583.57829999924 417106.38489999995)
divergenties_kenmerk.631,,U,302.6q,,PPL.'DE WIEL',R,302.67498779,006,KPK0001202389,I,,POINT (180272.56560000032 545108.3048)
divergenties_kenmerk.632,Halfklaverblad-aansluiting,U,305.2a,19,'ST.NICOLAASGA'VBW. a,R,304.98498535,006,KPK0001202394,I,,POINT (181015.85920000076 547266.6658000015)
divergenties_kenmerk.633,Pseudo T-knooppunt,U,36.4p,,'KP.HOLENDRECHT'ZIEKENHUIS AMC VBW. p(RW2),R,20.65600014,009,KPK0001202447,I,,POINT (125060.99130000174 477689.4556000009)
divergenties_kenmerk.634,Halfklaverblad-aansluiting,D,31.4c,10,'SOEST'VBW. c,R,31.51199913,001,KPK0001117457,I,,POINT (146484.01999999955 470689.2019999996)
divergenties_kenmerk.635,Overig volledig knooppunt,D,0.0#,,'KP.BADHOEVEDORP'ROTTERDAM VBW. p,R,33.81499863,009,KPK0001202480,I,,POINT (114120.42210000008 482395.2404000014)
divergenties_kenmerk.636,T-aansluiting Haarlemmermeer,D,10.7a,3,'MUIDEN'VBW. a,R,10.57499981,001,KPK0001122484,I,,POINT (131308.5971999988 482436.2551999986)
divergenties_kenmerk.637,Pseudo Klaverbladknooppunt,U,28.6a,,'KP.EEMNES'MOTEL DE WITTE BERGEN VBW. a,R,28.47500038,001,KPK0001122499,I,,POINT (144050.3889000006 472332.4979000017)
divergenties_kenmerk.638,Pseudo Klaverbladknooppunt,U,29.2e,,'KP.EEMNES'HILVERSUM VBW. e,R,29.08600044,001,KPK0001122504,I,,POINT (144493.83680000156 471932.376600001)
divergenties_kenmerk.639,Halfklaverblad-aansluiting,U,30.7a,10,'SOEST'VBW. a,R,30.56999969,001,KPK0001122506,I,,POINT (145563.7335000001 470892.13980000094)
divergenties_kenmerk.640,Pseudo Klaverbladknooppunt,D,30.1h,,'KP.EEMNES'UTRECHT VBW. h,R,30.30400085,001,KPK0001122542,I,,POINT (145383.65260000154 471090.7296999991)
divergenties_kenmerk.641,T-aansluiting halfklaverblad,U,61.7h,,'KP.PRINCEVILLE'ETTEN-LEUR VBW. h,R,61.88399887,016,KPK0001202651,I,,POINT (109232.71150000021 398801.8392999992)
divergenties_kenmerk.642,Klaverbladknooppunt,U,44.3k,,'KP.HOEVELAKEN'AMERSFOORT VBW. k,R,44.48600006,001,KPK0001122583,I,,POINT (157751.30040000007 465383.11389999837)
divergenties_kenmerk.643,Pseudo Klaverbladknooppunt,U,88.0f,,'KP.BEEKBERGEN'ZWOLLE VBW. f,R,88.06999969,001,KPK0001122630,I,,POINT (198883.5987999998 467147.32229999825)
divergenties_kenmerk.644,Pseudo Klaverbladknooppunt,U,28.7c,,'KP.EEMNES'MOTEL DE WITTE BERGEN VBW. c,R,28.73800087,001,KPK0001122526,I,,POINT (144278.9844999984 472187.50239999965)
divergenties_kenmerk.645,Pseudo Haarlemmermeer-aansluiting,D,5.8a,1,'DIEMEN-NOORD'VBW. a,R,5.5999999,001,KPK0001122668,I,,POINT (126959.65549999848 484334.97740000114)
divergenties_kenmerk.646,Pseudo Haarlemmermeer-aansluiting,U,6.8a,2,'DIEMEN'VBW. a,R,6.63100004,001,KPK0001122669,I,,POINT (127646.25490000099 483584.8775999993)
divergenties_kenmerk.647,Niet indeelbaar,U,0.0#,,WISSELSTROOK p,R,7.20599985,001,KPK0001122670,I,,POINT (128066.66319999844 483195.8808000013)
divergenties_kenmerk.648,Pseudo T-knooppunt,U,8.0e,,'KP.DIEMEN'UTRECHT VBW. e,R,7.91400003,001,KPK0001122733,I,,POINT (128721.74170000106 482865.04360000044)
divergenties_kenmerk.649,Pseudo Overig volledig knooppunt,U,70.1f,,'KP.KETHELPLEIN'RING-NOORD ROTTERDAM-NOORD VBW.f,R,70.24700165,004,KPK0001117993,I,,POINT (84864.06199999899 437744.55700000003)
divergenties_kenmerk.650,Halfklaverblad-aansluiting,U,14.9c,5,'PURMEREND'VBW. c,R,15.0340004,007,KPK0001118072,I,,POINT (124250.40780000016 503315.50549999997)
divergenties_kenmerk.651,Halfklaverblad-aansluiting,U,17.4c,6,'PURMEREND-NOORD'VBW. c,R,17.60499954,007,KPK0001118083,I,,POINT (125380.33999999985 505573.0700000003)
divergenties_kenmerk.652,Haarlemmermeer-aansluiting,U,0.0#,,'BS + PPL',R,67.67299652,002,KPK0001190242,I,,POINT (132784.01199999824 449236.27219999954)
divergenties_kenmerk.653,Haarlemmermeer-aansluiting,U,1.1a,1,'PAPENDRECHT'VBW. a,R,1.01199996,003,KPK0001190341,I,,POINT (108208.76539999992 427418.9765999988)
divergenties_kenmerk.654,Haarlemmermeer-aansluiting,U,4.4a,,'BRIELLE'VBW. a,R,4.24700022,057,KPK0001142222,I,,POINT (73301.6735999994 434698.84980000183)
divergenties_kenmerk.655,,U,7.2m,,BS.PPL.'COOSENHOEK',R,7.13500023,057,KPK0001142223,I,,POINT (72078.63019999862 432141.2050999999)
divergenties_kenmerk.656,Haarlemmermeer-aansluiting,U,5.1c,,'BRIELLE'VBW. c,R,5.23000002,057,KPK0001142224,I,,POINT (72911.06760000065 433796.9523999989)
divergenties_kenmerk.657,,U,7.4n,,BS.PPL.'TUSSENHOEK',R,7.4920001,057,KPK0001142229,I,,POINT (71829.6138000004 431876.9946000017)
divergenties_kenmerk.658,Pseudo Haarlemmermeer-aansluiting,U,18.4a,,'HAVENS STELLENDAM'VBW. a,R,18.30200005,057,KPK0001142233,I,,POINT (62331.66580000147 427425.2787999995)
divergenties_kenmerk.659,Pseudo Haarlemmermeer-aansluiting,U,0.0#,,'STELLENDAM-NOORD'VBW. a,R,20.47500038,057,KPK0001142240,I,,POINT (60906.0700000003 425789.503800001)
divergenties_kenmerk.660,Pseudo Haarlemmermeer-aansluiting,U,19.4c,,'HAVENS STELLENDAM'VBW. c,R,19.47800064,057,KPK0001142242,I,,POINT (61569.13910000026 426528.7771999985)
divergenties_kenmerk.661,Haarlemmermeer-aansluiting,U,59.7a,24,'FIJNAART'VBW. a,R,59.60499954,059,KPK0001143311,I,,POINT (90188.84450000152 406924.3740000017)
divergenties_kenmerk.662,Halfklaverblad-aansluiting,U,102.4c,34,'RAAMSDONKSVEER'VBW. c,R,102.46700287,059,KPK0001143359,I,,POINT (119861.15810000151 410976.52219999954)
divergenties_kenmerk.663,,U,0.0#,,BS.PPL.'STAATS-SPAANSE-LINIES',R,6.15600014,061,KPK0001143492,I,,POINT (30320.533500000834 371494.03990000114)
divergenties_kenmerk.664,Halfklaverblad-aansluiting,U,2.9c,1,'RING 's-HERTOGENBOSCH-WEST'VBW. c,R,3.02999997,065,KPK0001143513,I,,POINT (148984.85680000111 408522.50180000067)
divergenties_kenmerk.665,Halfklaverblad-aansluiting,U,59.2a,10,'UITGEEST'VBW. a,R,59.00699997,009,KPK0001130635,I,,POINT (109416.30799999833 503326.1603000015)
divergenties_kenmerk.666,Halfklaverblad-aansluiting,U,59.4c,10,'UITGEEST'VBW. c,R,59.55899811,009,KPK0001130636,I,,POINT (109617.92020000145 503828.6840999983)
divergenties_kenmerk.667,Haarlemmermeer-aansluiting,U,62.6a,11,'AKERSLOOT'VBW. a,R,62.45199966,009,KPK0001130674,I,,POINT (109741.87810000032 506683.76110000163)
divergenties_kenmerk.668,Haarlemmermeer-aansluiting,U,61.9c,11,'AKERSLOOT'VBW. c,R,61.99499893,009,KPK0001130675,I,,POINT (109757.89770000055 506227.5731000006)
divergenties_kenmerk.669,Haarlemmermeer-aansluiting,U,42.2a,10,'HEERENVEEN-ZUID'VBW. a,R,42.09799957,032,KPK0001140818,I,,POINT (193737.1875 549138.9752999991)
divergenties_kenmerk.670,Haarlemmermeer-aansluiting,U,44.9a,11,'HEERENVEEN'VBW. a,R,44.75400162,032,KPK0001140823,I,,POINT (192441.7600999996 551441.9728000015)
divergenties_kenmerk.671,Klaverbladknooppunt,U,48.2w,,'KP.HEERENVEEN'IND.HEERENVEEN-IBF VBW. w,R,48.27299881,032,KPK0001140832,I,,POINT (190571.61300000176 554318.2650000006)
divergenties_kenmerk.672,Klaverbladknooppunt,U,48.8s,,'KP.HEERENVEEN'HEERENVEEN-WEST VBW. s,R,48.98099899,032,KPK0001140838,I,,POINT (190031.4840000011 554775.9945)
divergenties_kenmerk.673,,U,0.0#,,BS.PPL.'SMARPOT',R,57.13600159,032,KPK0001140842,I,,POINT (185942.878800001 561571.4974000007)
divergenties_kenmerk.674,Haarlemmermeer-aansluiting,U,62.7a,14,'GROU'VBW. a,R,62.54399872,032,KPK0001140845,I,,POINT (184344.3852000013 566711.0821000002)
divergenties_kenmerk.675,Haarlemmermeer-aansluiting,U,65.1a,15,'SNEEK'VBW. a,R,64.98300171,032,KPK0001140846,I,,POINT (183658.47100000083 569046.0075999983)
divergenties_kenmerk.676,,U,0.0#,,BS.PPL.'MANDELAN',R,67.125,032,KPK0001140847,I,,POINT (183002.17240000144 571086.3537999988)
divergenties_kenmerk.677,Haarlemmermeer-aansluiting,U,63.3c,14,'GROU'VBW. c,R,63.47200012,032,KPK0001140849,I,,POINT (184102.2071999982 567610.4690999985)
divergenties_kenmerk.678,Haarlemmermeer-aansluiting,U,65.9c,15,'SNEEK'VBW. c,R,66.10299683,032,KPK0001140850,I,,POINT (183306.90509999916 570113.1491999999)
divergenties_kenmerk.679,Halfklaverblad-aansluiting,U,69.5c,16,'WIRDUM'VBW. c,R,69.59300232,032,KPK0001140861,I,,POINT (182272.0962000005 573444.4048000015)
divergenties_kenmerk.680,Pseudo T-knooppunt,U,70.4z,,'KP.WERPSTERHOEK'LEEUWARDEN-ZUID VBW. z,R,70.26499939,032,KPK0001140862,I,,POINT (182100.00950000063 574091.3158)
divergenties_kenmerk.681,Pseudo T-knooppunt,D,70.8r,,'KP.WERPSTERHOEK'GRONINGEN VBW. r,R,70.69000244,032,KPK0001140863,I,,POINT (182054.32070000097 574509.0012999997)
divergenties_kenmerk.682,Pseudo T-knooppunt,U,5.9a,,'KP.ASSEN'ASSEN VBW. a,R,5.80299997,033,KPK0001140865,I,,POINT (232580.95969999954 554658.5494000018)
divergenties_kenmerk.683,Pseudo T-knooppunt,U,6.5c,,'KP.ASSEN'ASSEN VBW. c,R,6.55700016,033,KPK0001140866,I,,POINT (233283.9048999995 554381.2692999989)
divergenties_kenmerk.684,,U,0.0#,,BS.PPL.'BAARVELD',R,10.80000019,033,KPK0001140871,I,,POINT (237467.4167000018 554424.5379000008)
divergenties_kenmerk.685,Pseudo T-knooppunt,D,171.5u,,'KP.ASSEN'ZWOLLE VBW. u(RW28),R,6.9920001,033,KPK0001140872,I,,POINT (233698.7639000006 554254.8902000003)
divergenties_kenmerk.686,Haarlemmermeer-aansluiting,U,7.5c,,BUSBAAN,R,7.65199995,033,KPK0001140873,I,,POINT (234352.89299999923 554129.8652000017)
divergenties_kenmerk.687,Halfklaverblad-aansluiting,U,12.9a,33,'ROLDE'VBW. a,R,12.87300014,033,KPK0001140879,I,,POINT (239501.18320000172 554782.8773999996)
divergenties_kenmerk.688,Halfklaverblad-aansluiting,U,13.7c,33,'ROLDE'VBW. c,R,13.8409996,033,KPK0001140880,I,,POINT (240357.0544999987 555241.2157999985)
divergenties_kenmerk.689,Pseudo Haarlemmermeer-aansluiting,U,21.5c,34,'GIETEN'VBW. c,R,21.54500008,033,KPK0001140884,I,,POINT (246742.7624000013 559148.0075000003)
divergenties_kenmerk.690,Halfklaverblad-aansluiting,U,27.7c,35,'GIETERVEEN'VBW. c,R,27.74300003,033,KPK0001140888,I,,POINT (251655.4070999995 562837.9730000012)
divergenties_kenmerk.691,Halfklaverblad-aansluiting,U,29.9c,36,'BAREVELD'VBW. c,R,29.98600006,033,KPK0001140892,I,,POINT (253590.01089999825 563905.3077000007)
divergenties_kenmerk.692,Haarlemmermeer-aansluiting,U,32.9a,37,'VEENDAM-ZUID'VBW. a,R,32.84899902,033,KPK0001140894,I,,POINT (255055.43569999933 566314.1975000016)
divergenties_kenmerk.693,Haarlemmermeer-aansluiting,U,36.3c,38,'VEENDAM'VBW. c,R,36.41999817,033,KPK0001140899,I,,POINT (256230.56289999932 569649.6627999991)
divergenties_kenmerk.694,,U,78.1n,,'SEROOSKERKE'VBW. n,R,78.1289978,057,KPK0001142337,I,,POINT (32404.90170000121 393750.60660000145)
divergenties_kenmerk.695,Halfklaverblad-aansluiting,U,79.6a,,'MIDDELBURG-CENTRUM'VBW. a,R,79.47599792,057,KPK0001142339,I,,POINT (33195.0223999992 392691.2316999994)
divergenties_kenmerk.696,T-aansluiting halfklaverblad,U,19.3a,3,'RING-NOORD TILBURG-NOORD'VBW. a,R,19.20000076,065,KPK0001143608,I,,POINT (137757.4050000012 397345.8038999997)
divergenties_kenmerk.697,T-aansluiting halfklaverblad,U,19.4c,3,'RING-NOORD TILBURG-NOORD'VBW. c,R,19.61100006,065,KPK0001143610,I,,POINT (137581.41539999843 397001.1105000004)
divergenties_kenmerk.698,Pseudo Haarlemmermeer-aansluiting,U,69.4r,,'KP.KOOIMEER'RING-WEST DEN HELDER VBW. r,R,69.25299835,009,KPK0001130757,I,,POINT (110651.02710000053 513277.75569999963)
divergenties_kenmerk.699,,U,0.0#,,BS.,R,78.22499847,009,KPK0001130772,I,,POINT (109764.81929999962 516590.8112999983)
divergenties_kenmerk.700,Haarlemmermeer-aansluiting,U,88.1a,,'WARMENHUIZEN'VBW. a,R,87.94599915,009,KPK0001130780,I,,POINT (109458.05160000175 524800.5932999998)
divergenties_kenmerk.701,Haarlemmermeer-aansluiting,U,0.0#,,'WARMENHUIZEN'VBW. c,R,87.87999725,009,KPK0001130781,I,,POINT (109452.17610000074 524735.0811999999)
divergenties_kenmerk.702,Haarlemmermeer-aansluiting,U,100.9a,,''t ZAND'VBW. a,R,100.77600098,009,KPK0001130810,I,,POINT (110901.77659999952 536042.6944000013)
divergenties_kenmerk.703,Haarlemmermeer-aansluiting,U,39.4a,39,'VEENDAM-NOORD'VBW. a,R,39.38499832,033,KPK0001140902,I,,POINT (256209.91789999977 572614.6865999997)
divergenties_kenmerk.704,Pseudo Klaverbladknooppunt,U,43.5w,,'KP.ZUIDBROEK'BREMEN VBW. w,R,43.69599915,033,KPK0001140907,I,,POINT (255756.31859999895 576885.0949000008)
divergenties_kenmerk.705,Niet indeelbaar,U,0.0#,,'OMMELANDERWIJK' (N366),R,35.2820015,033,KPK0001140923,I,,POINT (255982.54309999943 569081.0678000003)
divergenties_kenmerk.706,Halfklaverblad-aansluiting,U,48.9c,12,'GRUBBENVORST'VBW. c,R,49.06100082,073,KPK0001144066,I,,POINT (205915.14880000055 381250.1075000018)
divergenties_kenmerk.707,Haarlemmermeer-aansluiting,U,54.4c,11,'HORST'VBW. c,R,54.55500031,073,KPK0001144072,I,,POINT (202160.04129999876 385133.3751000017)
divergenties_kenmerk.708,Halfklaverblad-aansluiting,U,63.0a,9,'VENRAY'VBW. a,R,62.85300064,073,KPK0001144078,I,,POINT (197926.55270000175 392151.71460000053)
divergenties_kenmerk.709,Pseudo Klaverbladknooppunt,U,39.5s,,'KP.RAASDORP'ROTTERDAM VBW. s,R,39.59600067,009,KPK0001130919,I,,POINT (110355.86290000007 486102.53180000186)
divergenties_kenmerk.710,Pseudo Klaverbladknooppunt,U,38.7r,,'KP.RAASDORP'ZAANSTAD VBW. r,R,38.56100082,009,KPK0001130927,I,,POINT (111167.58540000021 485441.4354999997)
divergenties_kenmerk.711,Niet indeelbaar,U,0.0#,,KP.ROTTEPOLDERPLEIN'HALFWEG,R,42.71500015,009,KPK0001130942,I,,POINT (108766.7173999995 488537.3029000014)
divergenties_kenmerk.712,,U,0.0#,,BS + PPL,R,70.40699768,009,KPK0001130958,I,,POINT (111175.18890000135 514295.05680000037)
divergenties_kenmerk.713,Niet indeelbaar,U,0.0#,,'SCHOORL',R,88.40200043,009,KPK0001130965,I,,POINT (109594.90199999884 524726.7789999992)
divergenties_kenmerk.714,Haarlemmermeer-aansluiting,U,104.0c,,'BALKBRUG'VBW. c,R,104.05999756,048,KPK0001141296,I,,POINT (224106.11180000007 513879.7694000006)
divergenties_kenmerk.715,Halfklaverblad-aansluiting,U,111.8c,,'ZUIDWOLDE'VBW. c,R,111.80200195,048,KPK0001141299,I,,POINT (226524.66189999878 520987.35080000013)
divergenties_kenmerk.716,Klaverbladknooppunt,U,115.7w,,'KP.HOOGEVEEN'EMMEN VBW. w,R,115.81600189,048,KPK0001141304,I,,POINT (227289.5100999996 524873.302099999)
divergenties_kenmerk.717,Pseudo T-knooppunt,D,93.4q,,'KP.EKKERSWEIJER'WAALRE VBW. q,R,93.58200073,050,KPK0001141308,I,,POINT (157428.84939999878 388749.09739999846)
