Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
Loket/prodcat/products/getProductDetailsAction.do?id=421,1555,2176,200892,37,1758,0.001,15.662,643,4223,336695,239,437,1496,605,415,129,37%,28%,0.424,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=421,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D421,
wmo-in-utrecht/index,1531,2065,154305,52,1670,0.001,6.288,820,5668,427230,250,464,1467,786,444,101,30%,30%,0.428,http://www.utrecht.nl/wmo-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2F,
leidsche-rijn/index,1518,2022,103394,30,1544,0.001,22.725,1021,5493,329261,311,490,1479,999,483,68,30%,32%,0.518,http://www.utrecht.nl/leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2F,
werk-en-inkomen/index,1506,2081,114542,44,1702,0.001,14.876,591,4934,387310,112,252,1465,570,241,76,19%,17%,0.468,http://www.utrecht.nl/werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,1502,1883,145270,119,1540,0.001,22.457,77,378,28391,32,197,1477,72,192,97,42%,13%,0.667,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verhuizen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerhuizen,
Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring omtrent het gedrag,1492,2005,201314,13,1682,0.001,3394.102,912,5239,458095,249,409,1416,859,392,135,27%,27%,2.634,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Verklaring%2Bomtrent%2Bhet%2Bgedrag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DVerklaring%2Bomtrent%2Bhet%2Bgedrag,
castellum-hoge-woerd/index,1452,2018,189181,4,1409,0.001,21.363,1064,3546,292082,424,694,1411,1032,669,130,40%,48%,0.615,http://www.utrecht.nl/castellum-hoge-woerd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcastellum-hoge-woerd%2F,
startpagina/toerisme-en-vrije-tijd/index,1443,2076,68447,16,1545,0.001,9.123,58,238,11397,18,350,1428,58,345,47,31%,24%,0.484,http://www.utrecht.nl/startpagina/toerisme-en-vrije-tijd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Ftoerisme-en-vrije-tijd%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/index,1406,1816,83335,12,1222,0.001,6.79,136,826,64438,27,191,1379,134,182,59,20%,14%,0.629,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/voorjaarsvakantierooster/index,1376,1596,220242,,813,0.001,6.154,126,308,34323,71,684,1312,118,653,160,56%,50%,0.54,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/voorjaarsvakantierooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2Fvoorjaarsvakantierooster%2F,
werken-en-leren-bij-utrecht/?osadcampaign=vacatures,1372,1579,79640,4,1239,0.001,28.732,40,88,8369,18,393,1354,39,392,58,45%,29%,0.443,http://www.utrecht.nl/werken-en-leren-bij-utrecht/?osadcampaign=vacatures,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2F%3Fosadcampaign%3Dvacatures,
werk-en-inkomen/contact/index,1353,1698,190437,19,1397,0.001,15.543,389,1977,159628,173,491,1289,363,465,141,44%,36%,0.579,http://www.utrecht.nl/werk-en-inkomen/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fcontact%2F,
parkeren/parkeren-bezoeker/wanneer-betalen/index,1343,1574,90063,11,1118,0.001,32.289,516,1985,145251,93,261,1329,508,254,67,18%,19%,0.622,http://www.utrecht.nl/parkeren/parkeren-bezoeker/wanneer-betalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fwanneer-betalen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1083,1314,1757,134771,11,1396,0.001,24.235,858,3152,214148,256,460,1294,839,449,103,30%,35%,0.358,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1083,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1083,
parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/index,1310,1632,59623,17,1227,0.001,13.432,450,2181,189837,67,140,1219,381,134,46,15%,11%,0.566,http://www.utrecht.nl/parkeren/parkeren-bewoner/wachtlijst-parkeervergunning/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2Fwachtlijst-parkeervergunning%2F,
utrecht-bereikbaar/index,1308,1599,116562,26,1142,0.001,8.061,908,2355,166219,460,646,1275,886,635,89,51%,49%,0.467,http://www.utrecht.nl/utrecht-bereikbaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-bereikbaar%2F,
wonen-in-veemarkt/index,1305,1679,79857,8,1080,0.001,12.614,975,5870,470917,146,274,1265,946,270,61,15%,21%,0.595,http://www.utrecht.nl/wonen-in-veemarkt/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=392,1283,1597,118639,12,1209,0.001,11.131,222,1669,133590,79,264,1218,186,248,92,36%,21%,0.911,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=392,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D392,
Loket/prodcat/products/getProductDetailsAction.do?id=744,1279,1800,229673,28,1258,0.001,153.511,717,4010,365839,229,410,1228,680,394,180,32%,32%,0.854,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=744,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D744,
Loket/prodcat/products/getProductDetailsAction.do?id=565,1275,1706,172332,21,1422,0.001,38.264,567,7134,447828,173,331,1214,527,311,135,31%,26%,0.376,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=565,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D565,
gevonden-voorwerpen/index,1265,1589,102648,27,1167,0.001,23.384,947,3608,299446,208,322,1224,913,314,81,22%,25%,0.619,http://www.utrecht.nl/gevonden-voorwerpen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2F,
utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/index,1261,1670,227759,7,1050,0.001,84.556,564,1671,216470,278,663,1176,517,618,181,49%,53%,0.783,http://www.utrecht.nl/utrecht-fietst/fiets-weg/gemeentelijk-fietsendepot/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2Fgemeentelijk-fietsendepot%2F,
bouwen-en-verbouwen/index,1257,1738,102193,29,1318,0.001,192.267,426,2529,195883,105,253,1210,408,245,81,25%,20%,0.772,http://www.utrecht.nl/bouwen-en-verbouwen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2F,
winkels-open/index,1248,1442,123286,15,901,0.001,5.278,941,1561,121341,748,966,1221,918,947,99,79%,77%,0.626,http://www.utrecht.nl/winkels-open/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwinkels-open%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/index,1245,1349,154770,2,874,0.001,7.835,77,225,33545,43,513,1220,75,499,124,56%,41%,0.615,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/tarieven-zwembad-de-kwakel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Ftarieven-zwembad-de-kwakel%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=uwGegevens,1239,1647,115599,1,1340,0.002,17.348,12,60,1577,7,93,1222,11,89,93,58%,8%,0.56,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=uwGegevens,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DuwGegevens,
vastgoedaanbod/panden-in-uitgifte/index,1211,1804,159542,22,1109,0.001,7.375,672,2200,169475,323,617,1171,659,607,132,48%,51%,0.618,http://www.utrecht.nl/vastgoedaanbod/panden-in-uitgifte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Fpanden-in-uitgifte%2F,
Page URL not defined,1201,1608,0,14,5,0.003,0.111,,,,,,1192,,,0,0%,0%,0.045,,,
index.php?id=51102,1177,1556,70590,11,1276,0.001,131.907,40,318,23275,15,94,1144,39,94,60,38%,8%,0.666,http://www.utrecht.nl/index.php?id=51102,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D51102,
werk-en-inkomen/veelgestelde-vragen/index,1169,1523,137079,79,1208,0.001,25.698,550,1976,148059,252,481,1133,528,463,117,46%,41%,0.972,http://www.utrecht.nl/werk-en-inkomen/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fveelgestelde-vragen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=564,1167,1608,140069,14,1322,0.001,38.431,509,4781,267506,104,253,1124,488,244,120,20%,22%,0.429,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=564,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D564,
startpagina/zorg-en-welzijn/index,1167,1749,34561,16,1329,0.001,138.956,44,278,16767,4,55,1151,44,55,30,9%,5%,0.612,http://www.utrecht.nl/startpagina/zorg-en-welzijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fzorg-en-welzijn%2F,
utrecht-fietst/fiets-weg/index,1165,1489,69909,18,1059,0.001,23.882,691,2755,256211,106,198,1120,662,191,60,15%,17%,0.644,http://www.utrecht.nl/utrecht-fietst/fiets-weg/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2F,
parkeren/mijnparkeren/index,1159,1564,59832,11,1177,0.001,131.777,358,2084,147250,55,134,1128,344,133,52,15%,12%,0.669,http://www.utrecht.nl/parkeren/mijnparkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fmijnparkeren%2F,
e-mailproclaimer/index,1153,1391,151523,12,1056,0.001,10.911,849,2259,181872,581,824,1125,822,806,131,68%,71%,0.504,http://www.utrecht.nl/e-mailproclaimer/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fe-mailproclaimer%2F,
sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/index,1145,1430,232937,11,794,0.001,11.554,378,1422,176914,203,540,1063,324,482,203,54%,47%,0.576,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwemmen-0-5-jaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwemmen-0-5-jaar%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,1137,1712,91658,13,1493,0.001,84.256,350,3446,265256,28,113,1105,338,113,81,8%,10%,0.425,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=wat_wilt_u,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dwat_wilt_u,
wonen-in-veemarkt/nieuws/index,1133,1563,182260,9,955,0.001,20.173,648,2387,240178,253,465,1081,609,444,161,39%,41%,0.828,http://www.utrecht.nl/wonen-in-veemarkt/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fnieuws%2F,
milieu/luchtkwaliteit/maatregelenpakket-utrecht-west/index,1119,1506,160639,18,1025,0.001,8.762,854,2985,344771,212,318,1065,806,302,144,25%,28%,0.55,http://www.utrecht.nl/milieu/luchtkwaliteit/maatregelenpakket-utrecht-west/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmilieu%2Fluchtkwaliteit%2Fmaatregelenpakket-utrecht-west%2F,
Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=/process/closeWindowAction.do&result=ok,1112,1222,90430,2,1026,0.001,24.282,21,94,7273,11,485,1106,19,482,81,52%,44%,0.23,https://pki.utrecht.nl/Loket/form/view/viewPageAction.do?process=cases&name=paymentResult&forward=%2Fprocess%2FcloseWindowAction.do&result=ok,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fform%2Fview%2FviewPageAction.do%3Fprocess%3Dcases%26name%3DpaymentResult%26forward%3D%2Fprocess%2FcloseWindowAction.do%26result%3Dok,
Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners vergunning&processName=Aanvraag met DigiD,1108,1332,114036,3,938,0.001,10.018,40,242,28466,14,171,1019,37,161,103,35%,15%,0.233,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Bewoners%2Bvergunning&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DBewoners%2Bvergunning%26processName%3DAanvraag%2Bmet%2BDigiD,
parkeren/downloads/stratenlijsten-parkeerrayons/index,1083,1473,68017,22,1026,0.001,13.561,340,1515,128133,82,159,1049,319,151,63,24%,15%,0.626,http://www.utrecht.nl/parkeren/downloads/stratenlijsten-parkeerrayons/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fdownloads%2Fstratenlijsten-parkeerrayons%2F,
subsidiehulp/index,1074,1604,70613,44,1269,0.001,31.666,406,2871,178887,101,225,1043,389,210,66,25%,21%,0.495,http://www.utrecht.nl/subsidiehulp/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2F,
verkeer-en-vervoer/milieuzone/veelgestelde-vragen/index,1073,1512,143511,20,1122,0.001,5.864,548,1938,155913,217,499,1042,531,486,134,40%,47%,0.545,http://www.utrecht.nl/verkeer-en-vervoer/milieuzone/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fmilieuzone%2Fveelgestelde-vragen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=699,1049,1270,94767,14,938,0.001,10.061,423,2920,200848,126,304,1004,398,296,90,30%,29%,0.633,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=699,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D699,
wijk-vleuten-de-meern/wijkservicecentrum/loket-burgerzaken/index,1032,1604,105625,38,1116,0.001,11.773,304,1926,124044,54,228,1001,290,215,102,18%,22%,0.58,http://www.utrecht.nl/wijk-vleuten-de-meern/wijkservicecentrum/loket-burgerzaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fwijkservicecentrum%2Floket-burgerzaken%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,1015,1426,55384,599,1228,0.001,6.587,20,102,6941,9,124,1006,20,123,55,45%,12%,0.235,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGemeentebelasting,
verkiezingen/gezocht-tellers-en-stembureauleden/index,1011,1244,172676,31,950,0.001,13.051,394,1490,162026,195,455,957,366,430,171,49%,45%,0.609,http://www.utrecht.nl/verkiezingen/gezocht-tellers-en-stembureauleden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2Fgezocht-tellers-en-stembureauleden%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,1008,1504,169791,2,1212,0.008,6.012,11,56,1491,7,94,999,11,94,168,64%,9%,0.27,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=registrerenGrofvuil,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3DregistrerenGrofvuil,
sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/index,991,1313,155538,10,754,0.001,10.624,218,943,98213,87,295,950,205,279,157,40%,30%,0.627,http://www.utrecht.nl/sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Freguliere-zwemles-kinderen%2F,
werk-en-inkomen/hulp-bij-schulden/index,983,1529,96891,24,1265,0.001,5.304,401,2689,198614,90,209,936,378,200,99,22%,21%,0.507,http://www.utrecht.nl/werk-en-inkomen/hulp-bij-schulden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhulp-bij-schulden%2F,
wijk-noordoost/de-wijk/projecten/de-gaard/index,979,1373,200657,14,937,0.001,24.897,795,2452,319948,434,646,949,768,622,205,55%,66%,0.593,http://www.utrecht.nl/wijk-noordoost/de-wijk/projecten/de-gaard/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-noordoost%2Fde-wijk%2Fprojecten%2Fde-gaard%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,974,1347,87699,3,1153,0.001,33.982,25,219,14151,7,112,963,25,112,90,28%,11%,0.676,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Duwgegevens_personen,
Loket/prodcat/products/getProductDetailsAction.do?id=853,965,1199,79461,13,977,0.001,15.095,609,2886,282916,100,162,906,562,146,82,16%,17%,0.494,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=853,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D853,
parkeren/contact/index,946,1166,116968,23,788,0.001,17.859,354,1437,146853,166,379,917,339,359,124,47%,40%,0.602,http://www.utrecht.nl/parkeren/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fcontact%2F,
Loket/prodcat/products/getProductsAction.do,943,1196,43906,490,1002,0.002,50.119,11,147,4919,4,37,938,11,37,47,36%,4%,1.092,https://pki.utrecht.nl/Loket/prodcat/products/getProductsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductsAction.do,
Loket/prodcat/products/getProductDetailsAction.do?id=433,925,1325,130056,16,867,0.001,17.818,488,2716,231871,156,311,874,446,285,141,32%,34%,0.649,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=433,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D433,
stadskaart/index,913,1177,42487,80,862,0.001,9.323,324,1135,64579,71,187,904,323,187,47,22%,20%,0.415,http://www.utrecht.nl/stadskaart/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskaart%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=1059,906,1125,83793,14,836,0.001,15.478,257,1434,102557,66,203,886,242,199,92,26%,22%,0.483,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1059,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1059,
sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/index,892,1324,41900,10,836,0.001,9.067,223,1423,105768,20,62,872,218,58,47,9%,7%,0.545,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fzwemles%2F,
werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/index,890,1160,138984,30,914,0.001,13.42,447,1038,98646,288,537,875,440,528,156,64%,60%,0.552,http://www.utrecht.nl/werk-en-inkomen/hoogte-bijstandsuitkering-en-kostendelersnorm/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhoogte-bijstandsuitkering-en-kostendelersnorm%2F,
sport-in-utrecht/zwembaden/zwembad-de-krommerijn/index,884,1205,61196,3,853,0.001,7.193,165,695,36525,64,217,866,155,205,69,39%,25%,0.551,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-krommerijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-krommerijn%2F,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,879,963,40380,2,776,0.044,180.303,7,13,59,4,40,875,7,39,46,57%,5%,1.095,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=overview,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Doverview,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,861,1226,86165,,1105,0.015,11.777,10,79,7334,2,39,837,10,38,100,20%,5%,0.306,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Uw_gegevens,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DUw_gegevens,
Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,849,883,91375,1,709,0.002,48.677,20,40,9625,15,363,841,19,356,108,75%,43%,0.532,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_grofvuil&state=confirmation,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_grofvuil%26state%3Dconfirmation,
bestemmingsplannen/index,838,1415,85169,40,1104,0.001,9.246,403,2530,185393,59,158,800,384,157,102,15%,19%,0.471,http://www.utrecht.nl/bestemmingsplannen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbestemmingsplannen%2F,
Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,838,7197,179064,5,6323,0.002,30.703,45,529,33160,19,144,803,39,140,214,42%,17%,0.239,https://pki.utrecht.nl/Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fdecisiontree%2FrenderAction.do%3Ftree_type%3Dformuliertoegang%26tree_name%3DBijzondereBijstand,
college-van-b-en-w/index,836,1063,56972,39,833,0.001,4.165,157,685,50753,47,170,816,155,165,68,30%,20%,0.469,http://www.utrecht.nl/college-van-b-en-w/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=461,831,926,146851,13,574,0.001,15.516,97,168,22053,70,526,787,84,498,177,72%,63%,0.424,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=461,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D461,
stadsparken-en-landgoederen/griftpark/index,831,1041,112914,10,605,0.001,26.691,590,1783,180691,238,386,805,567,374,136,40%,46%,0.662,http://www.utrecht.nl/stadsparken-en-landgoederen/griftpark/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fgriftpark%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/index,827,1111,42249,5,694,0.001,43.557,81,452,35688,13,83,814,81,81,51,16%,10%,0.65,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fvrij-zwemmen%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke kenteken registratie&processName=Aanvraag met DigiD,822,1007,108238,,665,0.001,16.659,46,257,25921,13,172,779,42,165,132,28%,21%,0.261,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke%2Bkenteken%2Bregistratie&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DTijdelijke%2Bkenteken%2Bregistratie%26processName%3DAanvraag%2Bmet%2BDigiD,
Loket/prodcat/products/getProductDetailsAction.do?id=424,821,1159,90390,34,929,0.001,8.408,428,3198,221017,124,232,793,408,224,110,29%,28%,0.598,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=424,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D424,
