FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2007.606,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600460, 258439.9998999983 600460, 258439.9998999983 600480, 258459.99980000034 600480, 258459.99980000034 600460))"
zostera_noltei_2007.638,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258620.0001000017 600660.0001000017, 258600.00019999966 600660.0001000017, 258600.00019999966 600680, 258620.0001000017 600680, 258620.0001000017 600660.0001000017))"
zostera_noltei_2007.642,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600520.0001000017, 258380 600520.0001000017, 258380 600540.0001000017, 258399.9998999983 600540.0001000017, 258399.9998999983 600520.0001000017))"
zostera_noltei_2007.648,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600540.0001000017, 258399.9998999983 600540.0001000017, 258399.9998999983 600560.0001000017, 258419.9998999983 600560.0001000017, 258419.9998999983 600540.0001000017))"
zostera_noltei_2007.651,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600520.0001000017, 258399.9998999983 600520.0001000017, 258399.9998999983 600540.0001000017, 258419.9998999983 600540.0001000017, 258419.9998999983 600520.0001000017))"
zostera_noltei_2007.657,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600560.0001000017, 258399.9998999983 600560.0001000017, 258399.9998999983 600580, 258419.9998999983 600580, 258419.9998999983 600560.0001000017))"
zostera_noltei_2007.658,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600580, 258419.9998999983 600580, 258419.9998999983 600600.0001999997, 258439.9998999983 600600.0001999997, 258439.9998999983 600580))"
zostera_noltei_2007.659,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600560.0001000017, 258419.9998999983 600560.0001000017, 258419.9998999983 600580, 258439.9998999983 600580, 258439.9998999983 600560.0001000017))"
zostera_noltei_2007.661,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600600.0001999997, 258419.9998999983 600600.0001999997, 258419.9998999983 600620.0001000017, 258439.9998999983 600620.0001000017, 258439.9998999983 600600.0001999997))"
zostera_noltei_2007.665,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258280 600460, 258260 600460, 258260 600480, 258280 600480, 258280 600460))"
zostera_noltei_2007.681,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258579.99980000034 600620.0001000017, 258559.9998999983 600620.0001000017, 258559.9998999983 600640.0001000017, 258579.99980000034 600640.0001000017, 258579.99980000034 600620.0001000017))"
zostera_noltei_2007.687,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258579.99980000034 600640.0001000017, 258559.9998999983 600640.0001000017, 258559.9998999983 600660.0001000017, 258579.99980000034 600660.0001000017, 258579.99980000034 600640.0001000017))"
zostera_noltei_2007.688,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258600.00019999966 600660.0001000017, 258579.99980000034 600660.0001000017, 258579.99980000034 600680, 258600.00019999966 600680, 258600.00019999966 600660.0001000017))"
zostera_noltei_2007.691,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258579.99980000034 600660.0001000017, 258559.9998999983 600660.0001000017, 258559.9998999983 600680, 258579.99980000034 600680, 258579.99980000034 600660.0001000017))"
zostera_noltei_2007.692,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600560.0001000017, 258439.9998999983 600560.0001000017, 258439.9998999983 600580, 258459.99980000034 600580, 258459.99980000034 600560.0001000017))"
zostera_noltei_2007.728,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258280 600439.9998999983, 258260 600439.9998999983, 258260 600460, 258280 600460, 258280 600439.9998999983))"
zostera_noltei_2007.732,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258299.9998999983 600439.9998999983, 258280 600439.9998999983, 258280 600460, 258299.9998999983 600460, 258299.9998999983 600439.9998999983))"
