FID,omschrij_3,opmerking,code,ngd_mv,ngd_lat,bag_dp_mv,bag_dp_lat,se_anno_cad_data,gdb_geomattr_data,shape
vakindeling_historie.85,Stortvak,KF Maasgeul,D5c,0,0,0,0,,,"POLYGON ((574729.6639 5767012.942600001, 575054.2638999997 5766632.6337, 574673.8633000003 5766308.141100001, 574349.2632999998 5766688.449999999, 574729.6639 5767012.942600001))"
vakindeling_historie.86,Stortvak,KF Maasgeul,C2c,0,0,0,0,,,"POLYGON ((572335.744 5763656.848999999, 572660.3095000004 5763276.510600001, 572279.6305 5762951.7838, 571955.0187999997 5763332.082699999, 572335.744 5763656.848999999))"
vakindeling_historie.87,Stortvak,KF Maasgeul,C5a,0,0,0,0,,,"POLYGON ((574673.8633000003 5766308.141100001, 574998.2807 5765928.0462, 574617.8784999996 5765603.555500001, 574293.4627 5765983.648600001, 574673.8633000003 5766308.141100001))"
vakindeling_historie.88,Stortvak,KF Maasgeul,C5b,0,0,0,0,,,"POLYGON ((574998.2807 5765928.0462, 575322.8808000004 5765547.737299999, 574942.4786 5765223.2467, 574617.8784999996 5765603.555500001, 574998.2807 5765928.0462))"
vakindeling_historie.89,Stortvak,KF Maasgeul,B4a,0,0,0,0,,,"POLYGON ((574562.2984999996 5764898.9454, 574886.6705 5764518.830399999, 574506.1294 5764194.2226, 574181.7396 5764574.3211, 574562.2984999996 5764898.9454))"
vakindeling_historie.90,Stortvak,KF Maasgeul,E2a,0,0,0,0,,,"POLYGON ((571854.4232999999 5766531.0945999995, 572178.8092 5766151.0009, 571798.4090999998 5765826.5077, 571474.0240000002 5766206.6006000005, 571854.4232999999 5766531.0945999995))"
vakindeling_historie.91,Stortvak,KF Maasgeul,E4c,0,0,0,0,,,"POLYGON ((573319.8554999996 5767124.349199999, 573644.4555000002 5766744.0404, 573264.4223999996 5766419.860200001, 572939.8585000001 5766800.199899999, 573319.8554999996 5767124.349199999))"
vakindeling_historie.92,Stortvak,KF Maasgeul,D4b,0,0,0,0,,,"POLYGON ((574349.2632999998 5766688.449999999, 574673.8633000003 5766308.141100001, 574293.4627 5765983.648600001, 573968.8627000004 5766363.9575, 574349.2632999998 5766688.449999999))"
vakindeling_historie.93,Stortvak,KF Maasgeul,D4d,0,0,0,0,,,"POLYGON ((573644.4555000002 5766744.0404, 573968.8627000004 5766363.9575, 573588.7927999999 5766039.7469999995, 573264.4223999996 5766419.860200001, 573644.4555000002 5766744.0404))"
vakindeling_historie.94,Stortvak,KF Maasgeul,C2a,0,0,0,0,,,"POLYGON ((572391.7728000004 5764361.4529, 572716.1462000003 5763981.3396000005, 572335.744 5763656.848999999, 572011.3722000001 5764036.9604, 572391.7728000004 5764361.4529))"
vakindeling_historie.95,Stortvak,KF Maasgeul,C4a,0,0,0,0,,,"POLYGON ((573913.3565999996 5765659.407299999, 574237.7346999999 5765279.2852, 573857.1573000001 5764954.645, 573532.7622999996 5765334.749399999, 573913.3565999996 5765659.407299999))"
