;9302 - Laboratoriummaterialen;9304 - Aankoop onderzoeksmateriaal;9520 - BZK specifiek;9530 - DEF specifiek;9550 - Fin specifiek;Eindtotaal
Duik- en Bergingsbedrijf Van Bekkum;;;2;;;2
Dura Vermeer Infra Milieu B.V.;;;;2;;2
DuretTrip Notarissen N.V.;;;1;;;1
DURO Ruimtelijke Ontwikkeling;;;2;;;2
Dusseldorp Infra, Sloop en Mil.techn. B.V.;;;1;6;;6
DuurzaamNL B.V.;;;2;;;2
DWA B.V.;;;2;;;2
DWR Notarissen B.V.;;;1;;;1
Dynaf Caribbean;;;;5;;5
Dynamis Taxaties Nederland B.V.;;;3;;;3
E&E Survey;;;1;;;1
E. Witte Bouw- en Aannemersbedrijf B.V.;;;1;;;1
E.F.P.C.;;;;1;;1
E.ON Benelux Levering B.V.;;;2;;;2
Eaton Industries (Netherlands) B.V.;;;;1;;1
Eco Reest B.V.;;;;2;;2
Ecogroen B.V.;;;;2;;2
Ecologisch Adviesbureau Viridis B.V.;;;;2;;2
Econsultancy B.V.;;;4;2;;4
Ecoresult B.V.;;;;2;;2
ECORYS Nederland B.V.;;;2;;;2
Eelerwoude B.V.;;;;1;;1
Efectis Nederland B.V.;;;;2;;2
Eijkelboom B.V.;;;2;5;;5
Eindhoven Airport N.V.;;;;3;;3
Ekwadraat Advies B.V.;;;1;;;1
Electra Spark N.V.;;;;1;;1
Elektrotechniek Schuurmans B.V.;;;;4;;4
Elinex Power Solutions B.V.;;;;2;;2
Else.com;;;;2;;2
Elsenga Installatietechniek B.V.;;;;3;;3
EM Sport- en ontspanningsmassage;;;1;;;1
Emmius Notarissen;;;1;;;1
Endenburg Elektrotechniek B.V.;;;;5;;5
Enerdeco B.V.;;;;1;;1
Energie Advies Emmeloord;;;1;;;1
Enexis Netbeheer B.V.;;;1;;;1
Engelen-Groen Uden B.V.;;;;4;;4
Engelsman Hoveniers B.V.;;;;2;;2
ENGIE Services West B.V.;;;;1;;1
ENGIE Services Zuid B.V.;;;2;;;2
enterlye.com;;;;2;;2
Envision-S;;;;1;;1
Erkamp Boot Willemsen Notarissen;;;1;;;1
Explicit Solutions;;;;1;;1
Exploitatie Maatschappij Komfort B.V.;;;;4;;4
Exploitatiemij. Oostelijk Zwembad B.V.;;;;3;;3
Explosive Clearance Group B.V.;;;;6;;6
F. Milikowski;;;;1;;1
Fa. P.E.J. Smits;;;2;;;2
Fa. Van Effrink & Malestein;;;;2;;2
Facilicom Solutions B.V.;;;;2;;2
Fakton B.V.;;;1;;;1
Fakton Consultancy B.V.;;;2;;;2
Falco B.V.;;;;2;;2
Feuerstein Holding B.V.;;;;2;;2
Fewiro Wijchen B.V.;;;;4;;4
FFT Notarissen;;;1;;;1
Fieten & Roos B.V.;;;;3;;3
Figo Figo Heavy Equipment;;;;3;;3
Firas el Hallak Independant Film Director;;;;1;;1
Fire Safety First B.V.;;;;4;;4
Firma Schuurmans;;;;1;;1
Fischer & van Thoor notarissen;;;1;;;1
Flanderijn Invordering B.V.;;;1;;;1
Floriaan B.V.;;;;1;;1
Floris Verhuur B.V.;;;5;;;5
Flux Landscape Architecture B.V.;;;;1;;1
Fokkema Linssen;;;1;;;1
Frenken & Moers notarissen;;;1;;;1
Frens Construction N.V.;;;;4;;4
Frensly J.E. Constancia Jefcon Airconditioning;;;;2;;2
Frisia Makelaars o.g.;;;1;;;1
Friso Civiel;;;;2;;2
Fugro GeoServices B.V.;;;;1;;1
Fugro NL Land B.V.;;;;2;;2
G & B Beheer B.V.;;;;1;;1
G. Hellinga B.V.;;;;2;;2
Galjema B.V. Technisch Adviesbureau;;;2;;;2
Garnet Bonaire B.V.;;;;1;;1
Gebr. Dijkhoff B.V.;;;;7;;7
Gebr. Griekspoor B.V.;;;;3;;3
Gemeente De Fryske Marren;;;1;;;1
GeO Architecten B.V.;;;;2;;2
Geofox-Lexmond B.V.;;;;3;;3
Geomaat B.V.;;;;2;;2
Geonius Geotechniek B.V.;;;;1;;1
Geonius Milieu B.V.;;;2;;;2
Gerco Brandpreventie B.V.;;;;8;;8
Gerco-Willems VGO;;;;7;;7
GGN Mastering Credit N.V.;;;1;;;1
Gloudemans;;;;1;;1
Gom Schoonhouden;;;;2;;2
Gouwenberg vloeren.gordijnen.zonwering;;;;4;;4
GrausBouw B.V.;;;;2;;2
Groenewegen Notarissen B.V.;;;1;;;1
Grondslag Milieukundig Adviesbureau;;;;3;;3
Groningen Airport Eelde N.V.;;;;2;;2
Grouwels Vastgoed B.V.;;;1;;;1
Gunters en Meuser B.V.;;;;1;;1
Haaxman Projecten B.V.;;;1;;;1
Habenu-van de Kreeke Bouw B.V.;;;;8;;8
Hack Rentmeesters B.V.;;;1;;;1
Hafkamp Installatietechniek B.V.;;;;1;;1
Hamaland Advies;;;2;;;2
Handelsonderneming Bechtold;;;;2;;2
Harstra Instruments B.V.;1;;;;;1
HaskoningDHV Nederland B.V.;;;2;5;;5
Haver Zonwering;;;;2;;2
He Adviseurs;;;1;;;1
Heemskerk & Feijen Notarissen;;;1;;;1
Heerkens van Bavel Bouw B.V.;;;;1;;1
Hefas Branddetectie B.V.;;;;6;;6
Hegeman Bouw & Infra B.V.;;;;3;;3
Heibrink Telecom Support B.V.;;;;1;;1
Heijmans Infra B.V.;;;4;;;4
Heijmans Utiliteit;;;2;9;;9
Heijmans Wegen;;;3;;;3
Heijmans Wegen B.V.;;;;3;;3
Hekkelman Advocaten&Notarissen;;;1;;;1
Hendriks & Fleuren Zuyd Notarissen;;;1;;;1
Hendriks Asbestsanering B.V.;;;2;;;2
Heras B.V.;;;;6;;6
Heras Ridderkerk;;;;2;;2
Hereditatis Petitio B.V.;;;1;;;1
Hermans Asbest B.V.;;;;4;;4
Herruer Grond- Weg- en Waterbouw;;;;2;;2
Hexta Hekwerk B.V.;;;;4;;4
Hobbelink & Buitink;;;1;;;1
Hodal B.V.;;;1;;;1
Hoekstra & Partners Notarissen;;;1;;;1
Hoekstra & Partners Notarissen Tilburg;;;1;;;1
Hoen Vastgoedmanagement;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;;1;;1
Holland Mast B.V.;;;;1;;1
Holtman Notarissen B.V.;;;1;;;1
Homij Technische Installaties B.V.;;;;7;;7
Honeywell Building Solutions;;;;6;;6
Hooghiemster taxatie & advies;;;1;;;1
Hootsmans Architectuurbureau B.V.;;;2;;;2
Hordijk & Hamer notarissen;;;1;;;1
Hotel Restaurant Bitter en Zoet B.V.;;;;1;;1
Huijbregts Notarissen B.V.;;;1;;;1
Hulshof Bouw & Restauratie B.V.;;;4;;;4
HulstFlier Installateurs Elburg B.V.;;;;2;;2
Hunneman Milieu - Advies;;;1;;;1
Hunneman Milieu-Advies Raalte B.V.;;;;2;;2
HVB Constructie B.V.;;;;3;;3
ICOP B.V.;;;;3;;3
Ideacura;;;2;;;2
ifsa;;;2;;;2
IJzerman Gerechtsdeurwaarders & Incasso;;;1;;;1
IMD Raadgevende Ingenieurs;;;2;;;2
Inbo;;;;2;;2
Industrial Solutions Zuid-Oost B.V.;;;;1;;1
Infrasoil B.V.;;;;1;;1
Infrastructure Services & Projects B.V.;;;;1;;1
Ing.bur. Beton en Staalkonstr. A. Palte B.V.;;;;1;;1
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;;;;2;;2
Ingenieursbureau Haboldt B.V.;;;;4;;4
Ingenieursbureau Inpijn-Blokpoel Son B.V.;;;;1;;1
Ingenieursburo Kok;;;3;;;3
Innergo B.V.;;;2;;;2
Inpijn-Blokpoel Ingenieursbureau;;;;1;;1
Inpijn-Blokpoel Son Milieu B.V.;;;;2;;2
Inprevo;;;;2;;2
Installatiebedrijf G. van Dam B.V.;;;;2;;2
Installatiebedrijf Haerkens B.V.;;;;1;;1
Installatiebedrijf Rosmalen B.V.;;;;3;;3
Installatiebedrijf van Bentem;;;;1;;1
Instock Amsterdam;;;1;1;;1
Int. Verhuisbedr. Joh. van Buuren & Zn. B.V.;;;1;;;1
Interim Direct Incasso & Debiteurenbeheer;;;1;;;1
Interpolis;;;1;;;1
Interveste Beheer B.V.;;;1;;;1
Isocool N.V.;;;;5;;5
ITN Installatietechniek B.V.;;;;5;;5
Iv-Industrie B.V.;;;;3;;3
J. Sikkema;;;1;;;1
J. van Esch B.V.;;;;2;;2
J.H. Oosterbeek Milieu en Asbest B.V.;;;;1;;1
J.W. Smedema Taxaties & Advies;;;1;;;1
Jacobse Hulsebosch & Doorduyn Notarissen;;;1;;;1
Jansma en Van Dijk B.V.;;;;5;;5
Judith Vintges Assurantiën;;;1;;;1
Jurieva B.V.;;;1;;;1
Jurriëns Noord;;;2;;;2
Juurlink en Geluk BNSP Rotterdam B.V.;;;2;;;2
