stembureau;straatnaam;postcode;gemeente;foto;openingsti;x;y;lat;lon;geopunt
Eindhovens Studenten Corps;Ten Hagestraat 13;5611EG;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/e19a5853b0364337a9c4ad7f885f2f58;Stemlokaal is open van 07.30 tot 21.00 uur.;161518.3713;383194.7168;51.4378155344;5.4809467904;51.4378155344, 5.4809467904
Wijkcentrum De Dommel;Bennekelstraat 131;5654DD;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/a0aa001300bd690d28c1e435ff25926e;Stemlokaal is open van 07.30 tot 21.00 uur.;160078.8567;381212.9679;51.4200170798;5.46021515605;51.4200170798, 5.46021515605
Basisschool Louis Buelens;Mirabelweg 96;5632 PD;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/00c931deb3dd9e5791f97cde93a8b663;Stemlokaal is open van 07.30 tot 21.00 uur.;162555.4781;388140.9135;51.4822621566;5.49596852782;51.4822621566, 5.49596852782
Basisschool De Boschuil;Kiplinglaan 1;5629 MK;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/209d227432106c579a8f230bdec0eda7;Stemlokaal is open van 07.30 tot 21.00 uur.;161072.0724;388714.2994;51.4874340935;5.47462323193;51.4874340935, 5.47462323193
Basisschool Strijp Dorp;Apeldoornstraat 1;5651EN;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/ba91df98b6cc210cc53dd4466b773971;Stemlokaal is open van 07.30 tot 21.00 uur.;158690.2303;384156.9107;51.4464900364;5.44028248147;51.4464900364, 5.44028248147
Wijkcentrum 't Akkertje;Heezerweg 452;5645KZ;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/432499ed24eb5aab1c91421baba41f7a;Stemlokaal is open van 07.30 tot 21.00 uur.;163190.9892;381146.2487;51.4193807;5.50495481789;51.4193807, 5.50495481789
Jean Sibelius;Sibeliuslaan 101;5654CT;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/b6ff720156e9f976b56b8b7d333b4ea2;Stemlokaal is open van 07.30 tot 21.00 uur.;160408.2147;381453.184;51.4221732373;5.46495381855;51.4221732373, 5.46495381855
Soci├½teit Het Struikske;Struyckenstraat 10;5652 GM;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/5d8bf75bfdeee32eac411d41de45a87f;Stemlokaal is open van 07.30 tot 21.00 uur.;158800.2429;383415.2858;51.4398230857;5.44185700391;51.4398230857, 5.44185700391
Basisschool Wethouder van Eupen;Odysseuslaan 6;5631 JM;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/4d51288623b6a408a329a99fa5d81483;Stemlokaal is open van 07.30 tot 21.00 uur.;162334.7149;386102.4569;51.463942138;5.49274793623;51.463942138, 5.49274793623
Vitalis Berckelhof;Generaal Cronjestraat 3;5642 MH;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/a5161a71ef2de4f2cb97741118fd5cd0;Stemlokaal is open van 07.30 tot 21.00 uur.;164093.1888;383307.3046;51.4387918468;5.51798071154;51.4387918468, 5.51798071154
De Hangar;Meerbos 4;5658 LA;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/dc4c71b78711b8cbdb67144ac2924fea;Stemlokaal is open van 07.30 tot 21.00 uur.;156635.0937;383747.2005;51.4428170545;5.4107180037;51.4428170545, 5.4107180037
Popei;Klokgebouw 300;5617AD;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/5719e3a2dbe60068bdf59b39e37d178d;Stemlokaal is open van 07.30 tot 21.00 uur.;159891.1395;384472.1745;51.449314666;5.45756162113;51.449314666, 5.45756162113
Vitalis Wissehaege;Herman Gorterlaan 4;5644SX;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/71854f438b7da275920b8aa9671a215f;Stemlokaal is open van 07.30 tot 21.00 uur.;161611.257;380922.5517;51.4173907176;5.4822401014699995;51.4173907176, 5.4822401014699995
De Bibliotheek;Emmasingel 22;5611AZ;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/87bb7760c958c09c393dcb0b0ffb6f7c;Stemlokaal is open van 07.30 tot 21.00 uur.;161083.0469;383372.6178;51.4394194997;5.47468901702;51.4394194997, 5.47468901702
Mobiel Stembureau GGZE;Grote Beekstraat 26;5626NE;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/27239cc1d7f99986e635b845e432e0ba;Stemlokaal is open van 09.00 tot 11.00 uur.;158976.1888;386460.0983;51.4671906414;5.44442187313;51.4671906414, 5.44442187313
Station NS Zuidzijde;Stationsplein 22;5611AC;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/63242c458442ca85dad966e171eb9cb2;Stemlokaal is open van 06.30 tot 19.30 uur.;161432.0087;383693.9401;51.4423038752;5.47971382301;51.4423038752, 5.47971382301
Basisschool Trudo;St Trudostraat 10;5616GB;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/99be73edbaa1d82a24f9a08c3c3e97e9;Stemlokaal is open van 07.30 tot 21.00 uur.;159652.4701;383441.0482;51.4400482482;5.45411461952;51.4400482482, 5.45411461952
Archipel Den Eerdbrand/De Bevelanden;Waddenzeelaan 2;5628 HB;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/7d389386e1a3ef1341d74bf8b7866ae5;Stemlokaal is open van 07.30 tot 21.00 uur.;160405.4015;387887.4895;51.4800090112;5.46501199506;51.4800090112, 5.46501199506
Basisschool De Regenboog;Mimosaplein 1;5643 CJ;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/23d5079eeaa2bd077ac26a054c2c6b5c;Stemlokaal is open van 07.30 tot 21.00 uur.;162598.8972;381401.3897;51.4216823769;5.4964482941;51.4216823769, 5.4964482941
Basisschool De Wilakkers;Piuslaan 68;5614CM;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/5c01a60775f2db52ea912f69e2ede022;Stemlokaal is open van 07.30 tot 21.00 uur.;162619.3163;381947.4076;51.4265900736;5.49675365117;51.4265900736, 5.49675365117
Basisschool De Driestam;Schoenmakerstraat 2;5612 AD;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/6a96ea27cf06ed854fc4d8da27bf290f;Stemlokaal is open van 07.30 tot 21.00 uur.;161222.4214;384780.8085;51.4520757143;5.47671840791;51.4520757143, 5.47671840791
Basisschool Gunterslaer;Normandielaan 50;5627 HT;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/17861a94f75d252c3a12b777dd7db2d1;Stemlokaal is open van 07.30 tot 21.00 uur.;159420.2239;387965.1389;51.4807155931;5.45083100222;51.4807155931, 5.45083100222
Basisschool De Korenaar;Elegaststraat 1;5625 CV;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/698874596fa84b6d62e2fcbebfd07346;Stemlokaal is open van 07.30 tot 21.00 uur.;160650.135;386805.5464;51.4702814069;5.46851765155;51.4702814069, 5.46851765155
Sporthal Eckart;Weegschaalstraat 1;5632CW;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/eedf1bb7fbe2c7e68295a1af47b0d412;Stemlokaal is open van 07.30 tot 21.00 uur.;162919.6342;387280.4283;51.4745225624;5.50119157173;51.4745225624, 5.50119157173
Buurtcentrum de Rondweg;Camphuysenstraat 1;5615KS;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/9da2b0b6158491f660ace43fb0b7f111;Stemlokaal is open van 07.30 tot 21.00 uur.;160652.1248;382023.8275;51.427300169;5.46846967147;51.427300169, 5.46846967147
Bibliotheek MetaForum;Groene Loper 5;5612AZ;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/e23b40f10f66668d411baed4d9320405;Stemlokaal is open van 07.30 tot 21.00 uur.;161943.8793;384312.1943;51.4478550634;5.4870884454799995;51.4478550634, 5.4870884454799995
Basisschool De Driesprong;Tafelbergplein 8;5642 GP;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/4275225f20b1c3ebf2da4114c5f3c019;Stemlokaal is open van 07.30 tot 21.00 uur.;163514.4045;383577.2185;51.4412270585;5.50966297773;51.4412270585, 5.50966297773
Basisschool De Talisman;Seringenstraat 9;5644 PK;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/e72219f05772c6635e747cc33e0ecc98;Stemlokaal is open van 07.30 tot 21.00 uur.;162141.9615;381330.3912;51.4210501743;5.48987753172;51.4210501743, 5.48987753172
Basisschool Fellenoord;Hemelrijken 310;5612 WS;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/eb76cbdee49d658611a5b6abcd304a60;Stemlokaal is open van 07.30 tot 21.00 uur.;160916.6686;384099.4553;51.4459545666;5.47230826416;51.4459545666, 5.47230826416
Spilcentrum de Boog;Koudenhovenseweg Zuid 202;5641 AC;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/dc421e5ff2f73d78401817221cebb4e4;Stemlokaal is open van 07.30 tot 21.00 uur.;163991.8247;384442.8488;51.4490004793;5.51655182215;51.4490004793, 5.51655182215
Recreatieruimte Hof van Eden;Hof van Eden 47;5615 GJ;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/ae452cb3c72ca2482204e264454be4f3;Stemlokaal is open van 07.30 tot 21.00 uur.;161027.243;382688.2279;51.4332683512;5.47387472802;51.4332683512, 5.47387472802
Parktheater;Elzentlaan 50;5615 CN;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/8815e6c9af4cee0e39f95e6d501340d0;Stemlokaal is open van 07.30 tot 21.00 uur.;161761.5663;382220.9428;51.4290597409;5.48442576282;51.4290597409, 5.48442576282
Nat Lab;Kastanjelaan 500;5616 LZ;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/e82ad230de83ca089faebf5c6d7b851b;Stemlokaal is open van 07.30 tot 21.00 uur.;159671.8883;384080.8868;51.4457993795;5.45440237329;51.4457993795, 5.45440237329
Basisschool De Spaaihoeve;Heraultlaan 4;5627DP;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/1779a96bae4cd527d81b99bb8e49714b;Stemlokaal is open van 07.30 tot 21.00 uur.;158601.2949;388480.2045;51.4853511894;5.43904734535;51.4853511894, 5.43904734535
Eindhovens Dagblad;Torenallee 45;5617BA;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/8e7f55522e28046c7da1a5273625c9f0;Stemlokaal is open van 07.30 tot 21.00 uur.;159997.8432;384071.5028;51.4457122271;5.4590909481;51.4457122271, 5.4590909481
Summa College Welzijn;Willem de Rijkelaan 3;5616 EA;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/c9d7b6ada8b06ea38bf568a454704440;Stemlokaal is open van 07.30 tot 21.00 uur.;160210.408;382903.899;51.4352151025;5.46213135152;51.4352151025, 5.46213135152
Rode Kruis;Willem van Konijnenburglaan 6;5613DW;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/3f5ccfcb50a99ecb04a8f3f8ee72e34d;Stemlokaal is open van 07.30 tot 21.00 uur.;162503.1962;383312.9812;51.438866307;5.49511306501;51.438866307, 5.49511306501
Wijkgebouw 't Slot;Kastelenplein 167;5653LX;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/36694b5ce294fa4454bf427b6d08e946;Stemlokaal is open van 07.30 tot 21.00 uur.;158798.906;381088.9848;51.418912732;5.44181274498;51.418912732, 5.44181274498
Service/verzorgingscentrum Antonius;Amstelstraat 112;5626 BH;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/471caca055c7e9107d1f51cba11b3f34;Stemlokaal is open van 07.30 tot 21.00 uur.;157966.5186;388019.4505;51.4812133584;5.42990457441;51.4812133584, 5.42990457441
Archipel Gagelbosch;Gagelboschplein 200;5654 KS;Eindhoven;https://data.eindhoven.nl/api/v2/catalog/datasets/stembureaus-eindhoven/files/c317a9245352366a86b80430c476f55c;Stemlokaal is open van 07.30 tot 21.00 uur.;159206.9077;381174.3513;51.4196771606;5.44767921213;51.4196771606, 5.44767921213
