KADAAND;KADAAND_ID;KADAAND_VOLGNUMMER;EIGENDOMSSITUATIE;APARTEMENTSSITUATIE;OBJECTID;OPPERVL_GROND;SOORT_GROOTTE
GVH09 N 06988 G 0000;182987;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239197;554;vastgesteld
GVH26 AI 04708 G 0000;71097;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239198;90;vastgesteld
GVH11 P 04828 G 0000;191073;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;239443;306;vastgesteld
GVH31 AO 01341 G 0000;126997;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239445;371;vastgesteld
LDN03 H 05852 G 0000;33947;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239446;215;vastgesteld
GVH38 AX 09357 G 0000;4590;16;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239450;131;vastgesteld
GVH38 AX 09344 G 0000;4577;18;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239451;121;vastgesteld
GVH29 AM 03662 G 0000;109764;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;245290;115;vastgesteld
GVH35 AU 02991 G 0000;139731;5;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;234571;120;vastgesteld
GVH32 AP 02049 G 0000;628666;1;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;239358;2546;
LDN03 H 05358 G 0000;32625;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234612;19;vastgesteld
GVH16 X 03546 G 0000;221549;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;242245;182;vastgesteld
GVH43 BD 06595 G 0000;14926;7;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;242248;1;vastgesteld
LDN03 I 05781 G 0000;43805;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242258;213;vastgesteld
GVH16 X 04799 G 0000;222700;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234643;149;vastgesteld
GVH14 V 07935 G 0000;215285;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;238938;366;vastgesteld
GVH16 X 05994 G 0000;227924;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;238939;10446;vastgesteld
GVH27 AK 06789 G 0000;87734;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;238940;110;vastgesteld
GVH14 V 02864 G 0000;207980;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;234578;113;vastgesteld
GVH12 R 10442 G 0000;200144;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;255023;217;vastgesteld
GVH46 BG 04655 G 0000;21348;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234610;115;vastgesteld
GVH48 BI 02289 G 0000;23596;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284784;140;vastgesteld
GVH17 Y 01559 G 0000;229087;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;248140;156;vastgesteld
GVH04 G 04916 G 0000;168817;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284788;1173;vastgesteld
GVH19 AB 07328 G 0000;239886;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;319880;6;vastgesteld
GVH18 Z 01225 G 0000;231803;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;248141;146;vastgesteld
GVH38 AX 06962 G 0000;1187;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;710;84;vastgesteld
GVH11 P 10183 G 0000;196606;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284796;516;vastgesteld
LDN03 M 05319 G 0000;54217;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242301;161;vastgesteld
GVH26 AI 08373 G 0000;77738;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;255553;25;vastgesteld
GVH19 AB 07384 G 0000;240417;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;319881;35;vastgesteld
LDN03 N 02321 G 0000;57136;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;238944;149;vastgesteld
GVH19 AB 07394 G 0000;240427;7;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;319882;110;vastgesteld
LDN03 M 02891 G 0000;51200;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239862;113;vastgesteld
LDN03 M 02965 G 0000;51274;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239863;115;vastgesteld
LDN03 M 04891 G 0000;53718;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239864;95;vastgesteld
LDN03 M 06214 G 0000;56001;5;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;251202;145;vastgesteld
LDN03 N 01554 G 0000;56623;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;163017;495;vastgesteld
GVH19 AB 07434 G 0000;240466;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;319883;14;vastgesteld
GVH19 AB 07439 G 0000;240471;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;319884;93;vastgesteld
GVH27 AK 04585 G 0000;86574;7;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;234591;600;vastgesteld
LDN03 N 01112 G 0000;56281;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;162856;166;vastgesteld
GVH45 BF 04888 G 0000;566627;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;251204;283;
GVH09 N 07865 G 0000;183813;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234639;24;vastgesteld
LDN03 K 02402 G 0000;312377;11;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;321011;505;vastgesteld
LDN03 H 05357 G 0000;32624;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234653;19;vastgesteld
GVH12 R 12733 G 0000;202904;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;296551;206;vastgesteld
GVH38 AX 07007 G 0000;1227;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;750;151;vastgesteld
GVH31 AO 00324 G 0000;126294;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;234619;375;vastgesteld
GVH12 R 13523 G 0000;204720;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284815;5729;vastgesteld
GVH10 O 03233 G 0000;187385;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;321029;24;vastgesteld
GVH04 G 04052 G 0000;168738;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284816;191;vastgesteld
GVH37 AW 03176 G 0000;156767;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;234640;50;vastgesteld
GVH48 BI 02442 G 0000;23736;6;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239063;21;vastgesteld
GVH24 AG 02154 G 0000;255982;6;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239065;122;vastgesteld
LDN03 H 05374 G 0000;32641;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234654;168;vastgesteld
GVH26 AI 03171 G 0000;69951;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;296553;108;vastgesteld
GVH06 I 02840 G 0000;172260;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;296538;176;vastgesteld
GVH26 AI 05576 G 0000;71820;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284824;97;vastgesteld
GVH46 BG 04843 G 0000;629013;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239069;169;vastgesteld
GVH36 AV 02462 G 0000;146097;4;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;310854;543;vastgesteld
GVH26 AI 03460 G 0000;70179;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;164476;81;vastgesteld
GVH35 AU 02048 G 0000;138816;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153750;182;vastgesteld
GVH43 BD 06287 G 0000;14628;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239071;294;vastgesteld
GVH23 AF 02591 G 0000;251773;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239072;48;vastgesteld
GVH27 AK 01835 G 0000;85105;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;239073;202;vastgesteld
GVH44 BE 04596 G 0000;15545;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239074;208;vastgesteld
GVH35 AU 01201 G 0000;138403;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153764;169;vastgesteld
GVH35 AU 01149 G 0000;138391;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153766;210;vastgesteld
GVH41 BB 01485 G 0000;8429;6;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239201;23;vastgesteld
GVH46 BG 03605 G 0000;20357;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239202;415;vastgesteld
GVH29 AM 05469 G 0000;110975;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;239203;108;vastgesteld
LDN03 L 01159 G 0000;446637;13;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239204;290;vastgesteld
GVH46 BG 04829 G 0000;609663;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284736;169;vastgesteld
GVH18 Z 01681 G 0000;231960;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;247383;164;vastgesteld
GVH36 AV 02495 G 0000;146162;4;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;310855;258;vastgesteld
GVH36 AV 02520 G 0000;146210;4;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;310856;224;vastgesteld
GVH49 BK 02720 G 0000;25692;8;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;310857;136;vastgesteld
LDN03 L 00931 G 0000;50284;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;321137;345;vastgesteld
GVH35 AU 02754 G 0000;139331;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;153547;197;vastgesteld
GVH49 BK 03410 G 0000;27848;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;247385;92;vastgesteld
GVH09 N 04379 G 0000;182127;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234614;144;vastgesteld
GVH23 AF 03333 G 0000;252231;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234618;40;vastgesteld
GVH34 AS 02428 G 0000;834643;4;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;321197;11508;vastgesteld
GVH38 AX 08644 G 0000;3767;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;247384;204;vastgesteld
GVH16 X 02063 G 0000;220524;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;234650;136;vastgesteld
GVH08 L 06089 G 0000;174789;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;321200;48;vastgesteld
GVH11 P 04304 G 0000;190802;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284750;191;vastgesteld
GVH38 AX 07093 G 0000;1312;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;835;110;vastgesteld
LDN03 I 05958 G 0000;43923;5;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;239336;304;vastgesteld
LDN03 H 04719 G 0000;31882;5;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;239337;525;vastgesteld
LDN03 O 00134 G 0000;66505;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;321210;249;vastgesteld
LDN03 L 00924 G 0000;50277;9;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;321230;290;vastgesteld
GVH11 P 05105 G 0000;191142;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;242314;37;vastgesteld
LDN03 K 03797 G 0000;907650;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;320810;82;
GVH02 E 03236 G 0000;167061;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;320616;197;vastgesteld
GVH48 BI 02570 G 0000;23895;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;320619;7;vastgesteld
GVH29 AM 01670 G 0000;108515;3;Gemeentelijk appartement belast met erfpacht;Gesplitst in appartementsrechten;284257;1680;vastgesteld
GVH20 AC 03192 G 0000;244171;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242331;167;vastgesteld
GVH38 AX 07008 G 0000;1228;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;751;150;vastgesteld
GVH38 AX 09946 G 0000;998768;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;320623;109;
GVH16 X 01132 G 0000;219870;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239387;134;vastgesteld
GVH27 AK 05977 G 0000;87449;6;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284233;146;vastgesteld
GVH43 BD 04734 G 0000;11925;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239389;163;vastgesteld
LDN03 I 06008 G 0000;43967;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242376;309;vastgesteld
GVH25 AH 03393 G 0000;258549;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;234616;121;vastgesteld
GVH38 AX 07015 G 0000;1235;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;758;174;vastgesteld
GVH19 AB 02010 G 0000;234594;5;Gemeentelijk appartement belast met erfpacht;Gesplitst in appartementsrechten;284239;94;vastgesteld
GVH08 L 11933 G 0000;176909;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;320634;2077;vastgesteld
GVH30 AN 00201 G 0000;118588;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239393;166;vastgesteld
GVH38 AX 07026 G 0000;1246;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;769;137;vastgesteld
GVH34 AS 00591 G 0000;131385;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233263;5;vastgesteld
GVH34 AS 00596 G 0000;131390;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233264;12;vastgesteld
GVH44 BE 06356 G 0000;998741;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;320656;176;
GVH38 AX 07042 G 0000;1262;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;785;180;vastgesteld
GVH38 AX 07043 G 0000;1263;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;786;150;vastgesteld
GVH38 AX 07044 G 0000;1264;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;787;136;vastgesteld
GVH31 AO 03320 G 0000;129675;2;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;233267;6;vastgesteld
GVH36 AV 00310 G 0000;144450;4;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;310858;184;vastgesteld
GVH34 AS 00310 G 0000;131201;2;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;233273;39;vastgesteld
GVH31 AO 01400 G 0000;127038;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233274;102;vastgesteld
GVH31 AO 01450 G 0000;127070;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233275;206;vastgesteld
GVH31 AO 01458 G 0000;127078;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233276;108;vastgesteld
GVH31 AO 01456 G 0000;127076;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233277;232;vastgesteld
GVH31 AO 01680 G 0000;127237;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233278;262;vastgesteld
LDN03 I 05505 G 0000;43611;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284792;386;vastgesteld
GVH38 AX 09829 G 0000;797643;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284263;393;vastgesteld
LDN03 I 05510 G 0000;43616;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284793;4;vastgesteld
GVH31 AO 01463 G 0000;127083;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;233280;167;vastgesteld
GVH30 AN 04416 G 0000;120511;4;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;310859;254;vastgesteld
GVH30 AN 04485 G 0000;120532;4;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;310861;590;vastgesteld
GVH38 AX 08231 G 0000;3134;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302089;144;vastgesteld
GVH23 AF 02469 G 0000;251709;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284230;50;vastgesteld
GVH38 AX 09828 G 0000;797647;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284231;449;vastgesteld
GVH38 AX 08454 G 0000;3561;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284245;148;vastgesteld
GVH04 G 05070 G 0000;169099;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284262;145;vastgesteld
GVH29 AM 03896 G 0000;109945;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284228;150;vastgesteld
GVH27 AK 05976 G 0000;87448;6;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284236;158;vastgesteld
LDN03 M 06516 G 0000;629236;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284243;111;vastgesteld
GVH26 AI 11255 G 0000;737640;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284251;192;vastgesteld
GVH38 AX 09830 G 0000;797651;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284253;397;vastgesteld
GVH38 AX 09827 G 0000;797653;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284235;442;vastgesteld
GVH38 AX 09826 G 0000;797650;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284254;647;vastgesteld
GVH38 AX 06799 G 0000;1068;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284232;144;vastgesteld
GVH38 AX 09832 G 0000;797644;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;284240;358;vastgesteld
GVH38 AX 09831 G 0000;797648;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284248;402;vastgesteld
GVH38 AX 09833 G 0000;797646;2;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284250;480;vastgesteld
GVH38 AX 08240 G 0000;3143;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302098;145;vastgesteld
LDN03 M 02858 G 0000;51168;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302305;114;vastgesteld
GVH16 X 05968 G 0000;227893;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;293967;29145;vastgesteld
GVH24 AG 00772 G 0000;255737;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239077;85;vastgesteld
GVH43 BD 05930 G 0000;13331;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239078;158;vastgesteld
GVH37 AW 02271 G 0000;152737;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239079;154;vastgesteld
GVH15 W 03220 G 0000;217255;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;241126;208;vastgesteld
GVH46 BG 04097 G 0000;20830;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239083;235;vastgesteld
GVH16 X 00923 G 0000;219741;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239089;134;vastgesteld
GVH34 AS 01510 G 0000;132367;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;255549;206;vastgesteld
GVH11 P 05238 G 0000;191194;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239085;172;vastgesteld
GVH11 P 07987 G 0000;192323;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239086;68;vastgesteld
GVH11 P 05033 G 0000;191119;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;239087;96;vastgesteld
GVH11 P 05032 G 0000;191118;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239088;93;vastgesteld
GVH38 AX 08251 G 0000;3154;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302104;133;vastgesteld
GVH38 AX 08252 G 0000;3155;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302105;133;vastgesteld
LDN03 K 03431 G 0000;835682;5;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;287077;147;
GVH39 AY 03961 G 0000;6809;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302133;288;vastgesteld
GVH41 BB 01729 G 0000;8689;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302144;6925;vastgesteld
LDN03 K 01941 G 0000;49213;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;241153;730;vastgesteld
GVH25 AH 03937 G 0000;259543;5;Gemeentelijk eigendom niet belast met erfpacht;Niet gesplitst in appartementsrechten;242141;997;vastgesteld
LDN03 H 04380 G 0000;31331;5;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;239346;522;vastgesteld
GVH09 N 06284 G 0000;182804;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;324016;160;vastgesteld
GVH10 O 08618 G 0000;516627;5;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;239347;203;vastgesteld
LDN03 M 05279 G 0000;54180;5;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242143;193;vastgesteld
GVH15 W 02885 G 0000;217021;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;242147;105;vastgesteld
GVH26 AI 09959 G 0000;82120;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;257381;141;vastgesteld
GVH39 AY 04569 G 0000;7417;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;257383;172;vastgesteld
GVH16 X 03626 G 0000;221612;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;324029;661;vastgesteld
GVH06 I 02020 G 0000;171874;5;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;174186;639;vastgesteld
GVH10 O 06761 G 0000;187669;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239351;100;vastgesteld
GVH43 BD 03992 G 0000;11183;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239425;248;vastgesteld
GVH38 AX 07079 G 0000;1299;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;822;126;vastgesteld
GVH11 P 08921 G 0000;192685;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239426;11;vastgesteld
GVH38 AX 07081 G 0000;1301;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;824;133;vastgesteld
GVH16 X 04495 G 0000;222144;5;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;324030;1846;vastgesteld
GVH49 BK 03668 G 0000;28256;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239428;157;vastgesteld
GVH10 O 08542 G 0000;189528;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239429;86;vastgesteld
GVH27 AK 11223 G 0000;95846;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239430;122;vastgesteld
GVH49 BK 02501 G 0000;25342;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;257387;121;vastgesteld
GVH28 AL 02237 G 0000;98276;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;167599;194;vastgesteld
GVH38 AX 09355 G 0000;4588;15;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239091;299;vastgesteld
LDN03 N 04025 G 0000;64928;2;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;239206;317;vastgesteld
GVH15 W 02161 G 0000;216633;4;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;239207;245;vastgesteld
GVH43 BD 04696 G 0000;11887;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;242162;170;vastgesteld
GVH37 AW 02231 G 0000;152702;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242164;154;vastgesteld
GVH02 E 03758 G 0000;355385;7;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239211;78;vastgesteld
GVH27 AK 11438 G 0000;261582;5;Gemeentelijk eigendom belast met erfpacht;Gesplitst in appartementsrechten;247075;94;vastgesteld
GVH12 R 00889 G 0000;199456;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;239214;240;vastgesteld
GVH35 AU 04026 G 0000;143827;3;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;247050;1065;vastgesteld
GVH37 AW 03432 G 0000;157464;6;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242175;68;vastgesteld
GVH44 BE 05311 G 0000;16390;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;302184;254;vastgesteld
GVH46 BG 03911 G 0000;20652;4;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;302199;178;vastgesteld
GVH46 BG 03946 G 0000;20685;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;302201;389;vastgesteld
GVH47 BH 03250 G 0000;22699;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;302209;334;vastgesteld
GVH44 BE 04294 G 0000;15247;2;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;302173;231;vastgesteld
GVH37 AW 03439 G 0000;157471;3;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;242217;106;vastgesteld
GVH38 AX 07110 G 0000;1329;1;Geen gemeentelijk eigendom;Niet gesplitst in appartementsrechten;852;157;vastgesteld
GVH38 AX 09427 G 0000;303383;10;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;239052;254;vastgesteld
GVH37 AW 01368 G 0000;149335;4;Gemeentelijk eigendom belast met erfpacht;Niet gesplitst in appartementsrechten;284801;5523;vastgesteld
LDN03 I 05503 G 0000;43609;3;Geen gemeentelijk eigendom;Gesplitst in appartementsrechten;284828;229;vastgesteld
