FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
2e_herziening_serie3_index.81,27 kerkdriel_3e uitg_1960,,,"POLYGON ((149739.74399999902 415491.0329999998, 149739.74399999902 422510.5320000015, 154765.02299999818 422510.5320000015, 154765.02299999818 415491.0329999998, 149739.74399999902 415491.0329999998))"
2e_herziening_serie3_index.82,28 hedel_3e ged_4e uitg_1959,,,"POLYGON ((141738.59600000083 413284.24500000104, 141738.59600000083 418305.83300000057, 149753.37799999863 418305.83300000057, 149753.37799999863 413284.24500000104, 141738.59600000083 413284.24500000104))"
2e_herziening_serie3_index.83,29 heusden_4e uitg_1959,,,"POLYGON ((136842.2800000012 413594.2039999999, 136842.2800000012 421606.436999999, 141753.0859999992 421606.436999999, 141753.0859999992 413594.2039999999, 136842.2800000012 413594.2039999999))"
2e_herziening_serie3_index.84,29a poederoijen_4e uitg_1959,,,"POLYGON ((128850.94999999925 419149.47199999914, 128850.94999999925 424151.42599999905, 136848.95899999887 424151.42599999905, 136848.95899999887 419149.47199999914, 128850.94999999925 419149.47199999914))"
2e_herziening_serie3_index.85,29b gorinchem_5e uitg_1959,,,"POLYGON ((125099.52199999988 424137.6400000006, 125099.52199999988 429122.57499999925, 133311.95600000024 429122.57499999925, 133311.95600000024 424137.6400000006, 125099.52199999988 424137.6400000006))"
2e_herziening_serie3_index.86,29c hardinxveld_4e uitg_1950,,,"POLYGON ((117092.07899999991 424138.01999999955, 117092.07899999991 429124.5700000003, 125117.64900000021 429124.5700000003, 125117.64900000021 424138.01999999955, 117092.07899999991 424138.01999999955))"
2e_herziening_serie3_index.87,29d sliedrecht_3e uitg_1937,,,"POLYGON ((109099.6959999986 424139.12999999896, 109099.6959999986 429130.04100000113, 117108.6649999991 429130.04100000113, 117108.6649999991 424139.12999999896, 109099.6959999986 424139.12999999896))"
2e_herziening_serie3_index.88,30 heesbeen_3e uitg_1955,,,"POLYGON ((131840.24799999967 410093.11499999836, 131840.24799999967 418099.4519999996, 136863.30299999937 418099.4519999996, 136863.30299999937 410093.11499999836, 131840.24799999967 410093.11499999836))"
2e_herziening_serie3_index.89,31 capelle_3e uitg_1955,,,"POLYGON ((124088.37999999896 410925.8819999993, 124088.37999999896 415977.83399999887, 131864.1710000001 415977.83399999887, 131864.1710000001 410925.8819999993, 124088.37999999896 410925.8819999993))"
2e_herziening_serie3_index.90,32 raamsdonk_4e uitg_1940,,,"POLYGON ((119092.13599999994 411139.4979999997, 119092.13599999994 419140.06500000134, 124100.32999999821 419140.06500000134, 124100.32999999821 411139.4979999997, 119092.13599999994 411139.4979999997))"
2e_herziening_serie3_index.91,32a nieuwendijk_3e ged_4e uitg_1938,,,"POLYGON ((117090.40900000185 419134.0069999993, 117090.40900000185 424142.3029999994, 125089.8590000011 424142.3029999994, 125089.8590000011 419134.0069999993, 117090.40900000185 419134.0069999993))"
2e_herziening_serie3_index.92,32b s-gravenmoer_2e uitg_1954,,,"POLYGON ((120653.35700000077 406138.37900000066, 120653.35700000077 411152.9919999987, 125683.36800000072 411152.9919999987, 125683.36800000072 406138.37900000066, 120653.35700000077 406138.37900000066))"
2e_herziening_serie3_index.93,33 geertruidenberg_4e uitg_1941,,,"POLYGON ((114087.9609999992 411146.5769999996, 114087.9609999992 419143.9510000013, 119119.06500000134 419143.9510000013, 119119.06500000134 411146.5769999996, 114087.9609999992 411146.5769999996))"
2e_herziening_serie3_index.94,33a kop van t-land_3e uitg_1937,,,"POLYGON ((109087.39699999988 419132.7479999997, 109087.39699999988 424140.7479999997, 117106.39699999988 424140.7479999997, 117106.39699999988 419132.7479999997, 109087.39699999988 419132.7479999997))"
2e_herziening_serie3_index.95,33b steelhoven_2e uitg_1954,,,"POLYGON ((115656.33399999887 406150.64499999955, 115656.33399999887 411146.131000001, 120680.05000000075 411146.131000001, 120680.05000000075 406150.64499999955, 115656.33399999887 406150.64499999955))"
2e_herziening_serie3_index.96,34 hoge zwaluwe_4e uitg_1934,,,"POLYGON ((109088.7349999994 411143.4930000007, 109088.7349999994 419147.25, 114130.42100000009 419147.25, 114130.42100000009 411143.4930000007, 109088.7349999994 411143.4930000007))"
2e_herziening_serie3_index.97,35 lage zwaluwe_4e uitg_1934,,,"POLYGON ((104093.8200000003 413791.4539999999, 104093.8200000003 421817.4539999999, 109107.8200000003 421817.4539999999, 109107.8200000003 413791.4539999999, 104093.8200000003 413791.4539999999))"
2e_herziening_serie3_index.98,36 moerdijk_4e uitg_1940,,,"POLYGON ((99108.45699999854 410492.51099999994, 99108.45699999854 418498.63599999994, 104107.17300000042 418498.63599999994, 104107.17300000042 410492.51099999994, 99108.45699999854 410492.51099999994))"
2e_herziening_serie3_index.99,37 noordschans_3e uitg_1940,,,"POLYGON ((91085.4059999995 410053.9120000005, 91085.4059999995 415100.1319999993, 99122.07299999893 415100.1319999993, 99122.07299999893 410053.9120000005, 91085.4059999995 410053.9120000005))"
2e_herziening_serie3_index.100,38 willemstad_2e uitg_1959,,,"POLYGON ((86001.44900000095 409688.5219999999, 86001.44900000095 417701.743999999, 91109.62200000137 417701.743999999, 91109.62200000137 409688.5219999999, 86001.44900000095 409688.5219999999))"
2e_herziening_serie3_index.101,39 dintelsas_2e uitg_1957,,,"POLYGON ((80500.43200000003 405377.118999999, 80500.43200000003 410396.2049999982, 88499.44000000134 410396.2049999982, 88499.44000000134 405377.118999999, 80500.43200000003 405377.118999999))"
2e_herziening_serie3_index.102,40 den bommel_2e uitg_1958,,,"POLYGON ((78088.61400000006 410367.9219999984, 78088.61400000006 415384.5450000018, 86012.69799999893 415384.5450000018, 86012.69799999893 410367.9219999984, 78088.61400000006 410367.9219999984))"
2e_herziening_serie3_index.103,41 tien gemeten_2e uitg_1950,,,"POLYGON ((78095.48200000077 415366.1710000001, 78095.48200000077 420405.8220000006, 86003.75899999961 420405.8220000006, 86003.75899999961 415366.1710000001, 78095.48200000077 415366.1710000001))"
2e_herziening_serie3_index.104,42 stad aan t-haringvliet_2e uitg_1957,,,"POLYGON ((73093.25600000098 414477.46499999985, 73093.25600000098 422491.0009999983, 78121.43299999833 422491.0009999983, 78121.43299999833 414477.46499999985, 73093.25600000098 414477.46499999985))"
2e_herziening_serie3_index.105,43 middelharnis_1e uitg_1953,,,"POLYGON ((68803.6959999986 419494.8539999984, 68803.6959999986 427505.4530000016, 73806.32200000063 427505.4530000016, 73806.32200000063 419494.8539999984, 68803.6959999986 419494.8539999984))"
2e_herziening_serie3_index.106,44 hellevoetsluis_1e uitg_1959,,,"POLYGON ((63796.70899999887 421240.4990000017, 63796.70899999887 429256, 68806.71799999848 429256, 68806.71799999848 421240.4990000017, 63796.70899999887 421240.4990000017))"
2e_herziening_serie3_index.107,45 goedereede_1e uitg_1960,,,"POLYGON ((55778.38899999857 424046.24599999934, 55778.38899999857 430035.5159999989, 63829.7490000017 430035.5159999989, 63829.7490000017 424046.24599999934, 55778.38899999857 424046.24599999934))"
2e_herziening_serie3_index.108,46 rockanje_1e uitg_1956,,,"POLYGON ((60520.63300000131 429244.188000001, 60520.63300000131 436269.46599999815, 65498.311000000685 436269.46599999815, 65498.311000000685 429244.188000001, 60520.63300000131 429244.188000001))"
