OBJECTID,AGEMATERIAAL,AGEGEBRUIKSTATUS,AGELABELCODE,AGEOPMERKING,MBSDIAMETERBINNEN,MBSDIAMETERBUITEN,AGEIDENT,GLOBALID,LDG_LDG_ID,AGE_AGE_ID,SHAPE_Length
508,18,300,,,,219,20576,{A74376AA-8DE8-466B-90B9-604FE7AA37C9},{25F6FA94-6A80-4E19-B330-8E95915DF7E1},,0.000117553264868862
509,18,300,,,,500,24736,{310A0338-0289-42C6-889A-9F0BF82EA3C8},{80AA5ED0-8B4B-49E0-ABD4-B9C301E04EF4},,8.55853707294528e-05
510,18,300,,,,150,22499,{B0212FE4-F291-4E29-8092-5EFC04F3AE65},{17EF0602-E7D0-416B-9BE0-F44F2F183CBB},,1.99717198636043e-05
511,6,300,,,,800,21536,{9FB61242-110A-447E-819D-8F770045F906},{4ED2FB84-2D53-456F-AE98-C06B434737E7},,0.000144478126976755
512,18,300,,,,244,22505,{06003938-388D-471C-8A26-F28C73DE01C3},{17EF0602-E7D0-416B-9BE0-F44F2F183CBB},,4.3830523236667e-05
513,18,300,,,,178,22816,{1828A835-99C0-4AF1-9DE9-4B89AFA76EE3},{533FEF12-AAAB-439F-A6B6-901BB0A9378C},,6.93396277350217e-05
514,18,300,,,,,25699,{2AC62AD7-49F9-4110-9852-A5C8A0F1408A},{4E71E065-CFF2-4813-8779-A477CA7E6116},,0.000368279018227136
515,18,300,,,,200,25707,{90B9AE3D-9BD4-4C68-ACB4-39C2552F8E69},{4E71E065-CFF2-4813-8779-A477CA7E6116},,0.000334140826702061
516,,300,,,,500,26655,{F50077DB-2835-4AF1-AD86-8A60CD7BCA65},{3B08F843-E5FB-437B-A0A0-429D1EEE13B3},,6.74203422462749e-05
517,6,300,,,450,,27299,{16CFC44C-06CB-43B4-9B21-3F94C8E0CE63},{D47AB47F-90A9-4FF2-935F-4F169C0B6096},,0.000192680271760489
518,1,300,,,250,,35637,{CB0945AD-A0D3-4529-9C7F-3DE743E2E6BA},{B4E31944-639D-4EAB-AC82-C321BF396BAA},,0.00226881428140302
519,1,300,,,250,,35636,{C7D11EDB-E9EE-47FA-908C-ACB9B41723E4},{B4E31944-639D-4EAB-AC82-C321BF396BAA},,0.0017743738381907
520,1,300,,,250,,35635,{D090B619-94D6-4B6D-8DD1-70BC41079936},{B4E31944-639D-4EAB-AC82-C321BF396BAA},,0.000340786682455759
521,,300,,Mantelbuis staal,,,BC1273,{2DABE03A-E434-4809-8EC3-5562A447D888},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,6.66424834985183e-05
522,,300,,Mantelbuis staal,,,BC1275,{D6CCE22A-08FD-4C10-AF8F-69665D8CAA81},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,4.3787677933806e-05
523,,300,,Mantelbuis staal,,,BC1276,{56CAFC68-83B6-4A2E-BEDA-42D6E86BCC32},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,7.65588154637896e-05
524,,300,,Mantelbuis staal,,,BC1274,{1CB124B3-698E-4A9E-BDAE-3F2A0097FAE7},{19BB15B3-95DB-9AFD-E053-07011EAC467A},,7.38270112895218e-05
525,,300,,Mantelbuis staal ø160,,,BC524,{7BF95D56-B25C-48BF-B13B-A6966B50345E},{19BB15B3-95E8-9AFD-E053-07011EAC467A},,5.32531858299253e-05
526,,300,,Mantelbuis PVC ø315,,,BC527,{F7F68A61-A7FD-495F-B78C-1B38C231561F},{19BB15B3-95E8-9AFD-E053-07011EAC467A},,0.000160689032833477
527,18,300,,,,244,34038,{8696DF0E-3751-49A0-8F85-842F9536A6AF},{737A5D0A-1E8A-4A41-A173-21B1598D4D69},,7.84857207962588e-05
528,,300,,Mantelbuis PVC ø315,,,BC526,{4D1478A3-F542-4FDC-8502-BA7ED665D734},{19BB15B3-95E8-9AFD-E053-07011EAC467A},,0.000154060781726084
529,,300,,Geen gegevens,,,BC528,{A04C00E8-3CD7-4EE9-9050-17D361C6A4EF},{19BB15B3-95E8-9AFD-E053-07011EAC467A},,0.000165057613860183
