FID,land,opmerking,vliegveld,point,se_anno_cad_data,gdb_geomattr_data,shape
waypoints_controlevluchten.253,Nederland,Kustwacht, ,VB2,,,POINT (483821.4326999998 5711015.6566)
waypoints_controlevluchten.254,Nederland,Kustwacht, ,VB3,,,POINT (445686.5864000004 5711280.633199999)
waypoints_controlevluchten.255,Nederland,Kustwacht, ,VB6,,,POINT (695991.6528000003 6002516.2798)
waypoints_controlevluchten.256,Nederland,Kustwacht, ,VB7,,,POINT (610671.0177999996 5923995.354499999)
waypoints_controlevluchten.257,Nederland,Kustwacht, ,VB8,,,POINT (589288.6248000003 5883298.5502)
waypoints_controlevluchten.258,Nederland,Kustwacht, ,VB9,,,POINT (519950.7615 5862300.0471)
waypoints_controlevluchten.259,Nederland,Kustwacht, ,VB15,,,POINT (473814.1361999996 5742198.872199999)
waypoints_controlevluchten.260,Nederland,Kustwacht, ,VB16,,,POINT (476287.0064000003 5779076.142000001)
waypoints_controlevluchten.261,Nederland,Kustwacht, ,VB17,,,POINT (548505.9869999997 5941493.947899999)
waypoints_controlevluchten.262,Nederland,Kustwacht, ,VB18,,,POINT (608296.9907999998 5987938.753799999)
waypoints_controlevluchten.263,Nederland,Kustwacht, ,VB19,,,POINT (547854.2971000001 5896613.054199999)
waypoints_controlevluchten.264,Nederland,Kustwacht, ,VZ1,,,POINT (581445.7542000003 5762815.1997)
waypoints_controlevluchten.265,Nederland,Kustwacht, ,VZ2,,,POINT (531644.8902000003 5695518.256899999)
waypoints_controlevluchten.266,Nederland,Kustwacht, ,VZ3,,,POINT (516193.9331 5706196.3978)
waypoints_controlevluchten.267,Nederland,Kustwacht, ,VZ4,,,POINT (566883.4417000003 5773722.737600001)
waypoints_controlevluchten.268,Nederland,Kustwacht, ,VZ5,,,POINT (551361.2544 5773538.140699999)
waypoints_controlevluchten.269,Nederland,Kustwacht, ,VZ6,,,POINT (579098.9765999997 5752765.420399999)
waypoints_controlevluchten.270,Nederland,Kustwacht, ,VZ7,,,POINT (562045.3805999998 5731019.8813000005)
waypoints_controlevluchten.271,Nederland,Kustwacht, ,VZ8,,,POINT (528647.6452000001 5755559.155200001)
waypoints_controlevluchten.272,Nederland,Kustwacht, ,VZ9,,,POINT (511735.4880999997 5733246.7673)
waypoints_controlevluchten.273,Nederland,Kustwacht, ,VZ10,,,POINT (545557.5294000003 5708228.5331)
waypoints_controlevluchten.274,Nederland,Kustwacht, ,WS1,,,POINT (520249.05510000046 5704542.7203)
waypoints_controlevluchten.275,Nederland,Kustwacht, ,WS2,,,POINT (536147.1513999999 5698143.2415)
waypoints_controlevluchten.276,Nederland,Kustwacht, ,WS3,,,POINT (557436.1864 5690553.2017)
waypoints_controlevluchten.277,Nederland,Kustwacht, ,WS4,,,POINT (563801.4359999998 5692871.807600001)
waypoints_controlevluchten.278,Nederland,Kustwacht, ,WS5,,,POINT (566053.9875999996 5698072.5189)
waypoints_controlevluchten.279,Nederland,Kustwacht, ,WS6,,,POINT (577127.6590999998 5693037.3047)
waypoints_controlevluchten.280,Nederland,Kustwacht, ,WZ1,,,POINT (745313.0129000004 5935563.636600001)
waypoints_controlevluchten.281,Nederland,Kustwacht, ,WZ2,,,POINT (638779.4364 5909521.793299999)
waypoints_controlevluchten.282,Nederland,Kustwacht, ,WZ3,,,POINT (644048.4989999998 5918955.759199999)
waypoints_controlevluchten.283,Nederland,Kustwacht, ,WZ4,,,POINT (644053.3733000001 5870715.479699999)
waypoints_controlevluchten.284,Nederland,Kustwacht, ,ZS2,,,POINT (583886.1357000005 5873001.3739)
waypoints_controlevluchten.285,Nederland,Kustwacht, ,ZS3,,,POINT (582913.7196000004 5928620.850500001)
waypoints_controlevluchten.286,Nederland,Kustwacht, ,ZS4,,,POINT (632657.1610000003 5929755.2511)
waypoints_controlevluchten.287,Nederland,Kustwacht, ,ZS5,,,POINT (631614.0968000004 5966833.285)
waypoints_controlevluchten.288,Nederland,Kustwacht, ,ZS6,,,POINT (697405.9460000005 5969152.337400001)
waypoints_controlevluchten.289,Nederland,Kustwacht, ,ZS7,,,POINT (696620.8984000003 5987687.7103)
waypoints_controlevluchten.290,Noordzee,Bonn Agreement, ,A38,,,POINT (421915.2346000001 6607678.552300001)
waypoints_controlevluchten.291,Noordzee,Bonn Agreement, ,A37,,,POINT (452351.56290000025 6633155.3489)
waypoints_controlevluchten.292,Noordzee,Bonn Agreement, ,A41,,,POINT (480797.4230000004 6324851.892100001)
waypoints_controlevluchten.293,Noordzee,Bonn Agreement, ,A42,,,POINT (515457.46829999983 6243207.3881)
waypoints_controlevluchten.294,Noordzee,Bonn Agreement, ,A43,,,POINT (599677.1227000002 6166408.3967)
waypoints_controlevluchten.295,Noordzee,Bonn Agreement, ,A44,,,POINT (642360.8717 6145315.9585)
waypoints_controlevluchten.325,Nederland,Bonn Agreement, ,NL1,,,POINT (510427.06740000006 5707447.8927)
waypoints_controlevluchten.326,Nederland,Bonn Agreement, ,NL2,,,POINT (590539.4556999998 5815819.1993)
waypoints_controlevluchten.327,Nederland,Bonn Agreement, ,NL3,,,POINT (589288.6248000003 5883298.5502)
waypoints_controlevluchten.328,Nederland,Bonn Agreement, ,NL4,,,POINT (610671.0179000003 5923995.354499999)
waypoints_controlevluchten.329,Nederland,Bonn Agreement, ,NL5,,,POINT (721745.3496000003 5965602.014)
waypoints_controlevluchten.330,Nederland,Bonn Agreement, ,NL6,,,POINT (491875.3781000003 5724960.1142)
waypoints_controlevluchten.331,Nederland,Bonn Agreement, ,NL7,,,POINT (561292.0471000001 5825316.8791000005)
waypoints_controlevluchten.332,Nederland,Bonn Agreement, ,NL8,,,POINT (555676.5664999997 5892340.2513)
waypoints_controlevluchten.333,Nederland,Bonn Agreement, ,NL9,,,POINT (590965.4144000001 5947811.000600001)
waypoints_controlevluchten.334,Nederland,Bonn Agreement, ,NL10,,,POINT (703030.5692999996 5989140.0502)
waypoints_controlevluchten.335,Nederland,Bonn Agreement, ,NL11,,,POINT (473222.06319999974 5742449.1547)
waypoints_controlevluchten.336,Nederland,Bonn Agreement, ,NL12,,,POINT (532126.7723000003 5834617.0966)
waypoints_controlevluchten.337,Nederland,Bonn Agreement, ,NL13,,,POINT (521920.0449000001 5901337.0989)
waypoints_controlevluchten.338,Nederland,Bonn Agreement, ,NL14,,,POINT (571753.0584000004 5971340.8781)
waypoints_controlevluchten.339,Nederland,Bonn Agreement, ,NL15,,,POINT (684356.2418999998 6012619.753699999)
waypoints_controlevluchten.340,Nederland,Bonn Agreement, ,NL16,,,POINT (638370.4919999996 6027336.967800001)
waypoints_controlevluchten.341,Nederland,Bonn Agreement, ,NL17,,,POINT (611257.2177999998 6049387.111099999)
waypoints_controlevluchten.342,Nederland,Bonn Agreement, ,NL18,,,POINT (610134.8839999996 6087859.357100001)
waypoints_controlevluchten.343,Nederland,Bonn Agreement, ,NL19,,,POINT (595237.6188000003 6011241.3017)
waypoints_controlevluchten.344,Nederland,Bonn Agreement, ,NL20,,,POINT (575155.2774999999 6041010.4956)
waypoints_controlevluchten.345,Nederland,Bonn Agreement, ,NL21,,,POINT (584837.3071999997 6108118.178099999)
waypoints_controlevluchten.346,Nederland,Bonn Agreement, ,NL22,,,POINT (552183.0581999999 5995220.362600001)
waypoints_controlevluchten.347,Nederland,Bonn Agreement, ,NL23,,,POINT (539076.2514000004 6032583.398499999)
waypoints_controlevluchten.348,Nederland,Bonn Agreement, ,NL24,,,POINT (559523.7783000004 6128390.846999999)
waypoints_controlevluchten.349,Nederland,Bonn Agreement, ,NL25,,,POINT (515430.8965999996 5942165.5339)
waypoints_controlevluchten.350,Nederland,Bonn Agreement, ,NL26,,,POINT (503014.08779999986 6024164.8759)
waypoints_controlevluchten.351,Nederland,Bonn Agreement, ,NL27,,,POINT (534214.6061000004 6148649.782500001)
waypoints_controlevluchten.352,Nederland,Bonn Agreement, ,NORRA,,,POINT (593778.3837000001 5800303.2511)
waypoints_controlevluchten.353,Nederland,Bonn Agreement, ,MBS1,,,POINT (590539.4556999998 5815819.1993)
waypoints_controlevluchten.354,Nederland,Bonn Agreement, ,MBS2,,,POINT (548309.7972999997 5816890.0386)
waypoints_controlevluchten.355,Nederland,Bonn Agreement, ,MBS3,,,POINT (505128.52940000035 5780659.6336)
waypoints_controlevluchten.356,Nederland,Bonn Agreement, ,MBS4,,,POINT (483673.41530000046 5754298.834000001)
waypoints_controlevluchten.357,Nederland,Bonn Agreement, ,MBS5,,,POINT (568456.2684000004 5856624.8181)
waypoints_controlevluchten.358,Nederland,Staat niet in het Bonn-Agreement, ,MBS6,,,POINT (559053.6458 5798467.1022)
waypoints_controlevluchten.359,Nederland,Staat niet in het Bonn-Agreement, ,MBS7,,,POINT (539971.5800999999 5770467.375600001)
waypoints_controlevluchten.360,Nederland,Bonn Agreement, ,Maas C.,,,POINT (561243.0833999999 5763607.7685)
waypoints_controlevluchten.361,Noorwegen,Tour de Horizon, ,T1,,,POINT (451203.6518000001 6818824.7421)
waypoints_controlevluchten.362,Verenigd Koninkrijk,Tour de Horizon, ,T2,,,POINT (420582.04389999993 6837962.503400002)
waypoints_controlevluchten.363,Noorwegen,Tour de Horizon, ,T3,,,POINT (500000.00009999983 6697815.878699999)
waypoints_controlevluchten.364,Noorwegen,Tour de Horizon, ,T4,,,POINT (480941.2189999996 6738705.230799999)
waypoints_controlevluchten.365,Noorwegen,Tour de Horizon, ,T5,,,POINT (446199.23709999956 6781762.9804)
waypoints_controlevluchten.366,Noorwegen,Tour de Horizon, ,T6,,,POINT (462852.7121000001 6655310.683499999)
waypoints_controlevluchten.367,Noorwegen,Tour de Horizon, ,T7,,,POINT (456911.34509999957 6540293.7565)
waypoints_controlevluchten.368,Verenigd Koninkrijk,Tour de Horizon, ,T8,,,POINT (440070.4314000001 6373486.9169)
waypoints_controlevluchten.369,Denemarken,Tour de Horizon, ,T9,,,POINT (525919.3629000001 6217287.6327)
waypoints_controlevluchten.370,Denemarken,Tour de Horizon, ,T10,,,POINT (561963.4106999999 6234354.0987)
waypoints_controlevluchten.371,Denemarken,Tour de Horizon, ,T11,,,POINT (626758.6287000002 6137415.601199999)
waypoints_controlevluchten.372,Nederland,Tour de Horizon, ,T12,,,POINT (533119.3530000001 5770417.055)
waypoints_controlevluchten.373,Nederland,Tour de Horizon, ,T13,,,POINT (556568.71 5816978.385600001)
waypoints_controlevluchten.374,Nederland,Tour de Horizon, ,T14,,,POINT (566850.7035999997 5891278.031199999)
waypoints_controlevluchten.375,Verenigd Koninkrijk,Tour de Horizon, ,T15,,,POINT (340087.88100000005 5941734.1142)
waypoints_controlevluchten.376,Verenigd Koninkrijk,Tour de Horizon, ,T16,,,POINT (365095.97119999956 5966927.1939)
waypoints_controlevluchten.377,Verenigd Koninkrijk,Tour de Horizon, ,T17,,,POINT (407438.0946000004 5999283.9749)
waypoints_controlevluchten.378,Verenigd Koninkrijk,Tour de Horizon, ,T18,,,POINT (448430.8403000003 6239781.6008)
waypoints_controlevluchten.379,Verenigd Koninkrijk,Tour de Horizon, ,T19,,,POINT (350329.56060000043 6379512.2764)
waypoints_controlevluchten.380,Verenigd Koninkrijk,Tour de Horizon, ,T20,,,POINT (407747.9024 6401932.861500001)
waypoints_controlevluchten.381,Verenigd Koninkrijk,Tour de Horizon, ,T22,,,POINT (514756.67760000005 6434304.152899999)
waypoints_controlevluchten.382,Verenigd Koninkrijk,Tour de Horizon, ,T23,,,POINT (403190.28089999966 6498571.0865)
waypoints_controlevluchten.383,Verenigd Koninkrijk,Tour de Horizon, ,T24,,,POINT (420198.1349999998 6782256.6774)
waypoints_controlevluchten.384,Verenigd Koninkrijk,Tour de Horizon, ,T25,,,POINT (381113.42449999973 6712767.158299999)
waypoints_controlevluchten.385,Verenigd Koninkrijk,Tour de Horizon, ,T21,,,POINT (250055.9433000004 6455147.2075)
waypoints_controlevluchten.386,Frankrijk,East Channel, ,A,,,POINT (117209.88049999997 5543014.5658)
waypoints_controlevluchten.387,Frankrijk,East Channel, ,B,,,POINT (290625.3196999999 5533444.390000001)
waypoints_controlevluchten.388,Frankrijk,East Channel, ,C,,,POINT (369982.26489999983 5595830.726500001)
waypoints_controlevluchten.389,Frankrijk,East Channel, ,D,,,POINT (394371.3953999998 5632363.306500001)
waypoints_controlevluchten.390,Frankrijk,East Channel, ,E,,,POINT (381178.4475999996 5567756.323100001)
waypoints_controlevluchten.391,Frankrijk,East Channel, ,F,,,POINT (283531.8847000003 5505892.0737)
waypoints_controlevluchten.392,Frankrijk,West Channel, ,A,,,POINT (-148324.0678000003 5334252.3507)
waypoints_controlevluchten.393,Frankrijk,West Channel, ,B,,,POINT (-115329.7209999999 5405501.726600001)
waypoints_controlevluchten.394,Frankrijk,West Channel, ,C,,,POINT (140504.03189999983 5532100.992799999)
waypoints_controlevluchten.395,Frankrijk,West Channel, ,D,,,POINT (117209.88049999997 5543014.5658)
waypoints_controlevluchten.396,Frankrijk,West Channel, ,E,,,POINT (-162309.20859999955 5429612.429199999)
waypoints_controlevluchten.397,Frankrijk,West Channel, ,F,,,POINT (-198150.35599999968 5340101.9069)
waypoints_controlevluchten.398,Noorwegen,Bonn Agreement, ,N01,,,POINT (936241.5515000001 6579899.101600001)
waypoints_controlevluchten.399,Noorwegen,Bonn Agreement, ,N02,,,POINT (905580.8960999995 6524139.017000001)
waypoints_controlevluchten.400,Noorwegen,Bonn Agreement, ,N03,,,POINT (875638.0318 6511777.662699999)
waypoints_controlevluchten.401,Noorwegen,Bonn Agreement, ,N04,,,POINT (847501.9512 6466247.4377999995)
waypoints_controlevluchten.402,Noorwegen,Bonn Agreement, ,N05,,,POINT (815782.0219 6431899.134199999)
waypoints_controlevluchten.403,Noorwegen,Bonn Agreement, ,N06,,,POINT (737450.7993000001 6417175.688100001)
waypoints_controlevluchten.404,Noorwegen,Bonn Agreement, ,N07,,,POINT (635976.6272999998 6486740.1828000005)
waypoints_controlevluchten.405,Noorwegen,Bonn Agreement, ,N08,,,POINT (592160.1454999996 6684130.315199999)
waypoints_controlevluchten.406,Noorwegen,Bonn Agreement, ,N09,,,POINT (572110.9998000003 6763521.2480999995)
waypoints_controlevluchten.407,Noorwegen,Bonn Agreement, ,N10,,,POINT (570594.6684999997 6837770.439199999)
waypoints_controlevluchten.408,Noorwegen,Bonn Agreement, ,N11,,,POINT (603309.1875 6922197.0132)
waypoints_controlevluchten.409,Noorwegen,Bonn Agreement, ,N12,,,POINT (701357.2600999996 7010434.407900002)
waypoints_controlevluchten.410,Zweden,Bonn Agreement, ,S6,,,POINT (986493.1458999999 6420973.9121)
waypoints_controlevluchten.411,Zweden,Bonn Agreement, ,S7,,,POINT (974500.9966000002 6445769.629799999)
waypoints_controlevluchten.412,Zweden,Bonn Agreement, ,S8,,,POINT (911394.0850999998 6478006.517899999)
waypoints_controlevluchten.413,Zweden,Bonn Agreement, ,S9,,,POINT (915262.8082999997 6506463.9629999995)
waypoints_controlevluchten.414,Zweden,Bonn Agreement, ,S10,,,POINT (938240.0072999997 6537064.496200001)
waypoints_controlevluchten.415,Zweden,Bonn Agreement, ,S11,,,POINT (939426.3661000002 6552178.315199999)
waypoints_controlevluchten.416,Zweden,Bonn Agreement, ,S12,,,POINT (942439.8098999998 6500099.5887)
waypoints_controlevluchten.417,Zweden,Bonn Agreement, ,S13,,,POINT (940696.0628000004 6471825.6347)
