Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Rob Oost Projectinrichting B.V.;1;;;;1
Robert Winterink Tuinonderhoud;2;;;;2
Roompot Service B.V.;;1;;;1
Rotshuizen Geense Advocaten B.V.;;;;2;2
Rotterdamse Elektrische Tram N.V.;;;;2;2
Rovato Techniek B.V.;1;;;;1
Royal Haskoning - Arup, MC Renovatie Bruggen;;;;1;1
RPS advies- en ingenieursbureau;2;;;;2
RPS Analyse B.V.;;1;;;1
RSM Wehrens Mennen De Vries Services;;;;1;1
S.A.B. Arnhem B.V.;;;;1;1
S.C. Kat Taxaties;;;;1;1
SAAone GWW V.O.F.;;;;4;4
Sabel Communicatie B.V.;2;;;1;2
Sagro Aannemingsmaatschappij Zeeland B.V.;1;;;;1
Samenwerkingsverband Achterhoekse notarissen;;;;4;4
Schildersbedrijf Donker;1;;;;1
Schildersbedrijf Geelen V.O.F.;1;;;;1
Schiphol Nederland B.V.;;1;;;1
Schiphol Real Estate B.V.;;;;2;2
Schuchard-Projectbeheersing;;;;1;1
Schürgers Sleutelservice V.O.F.;1;;;;1
Search Milieu;1;;;;1
Season Flowers;;;;1;1
Seats2Meet.com Utrecht B.V.;1;;;;1
Seconed B.V.;;;;2;2
Securitas Beveiliging B.V.;2;;;;2
Security Monitoring Centre;1;;;;1
Service Team Nederland B.V.;2;;;;2
Siemens Nederland;1;;;;1
Signa Terra B.V.;4;;;;4
Simone Leenders Ontwerp;3;;;;3
SITA Recycling Services;1;;;;1
SITA Recycling Services Noord-Oost;;1;;;1
Sky Pictures;;;;1;1
Sleut.- & Safespecial. W. van den Hoogen B.V.;1;;;;1
Smit Groenadvies B.V.;;;;1;1
SNS REAAL;;;;4;4
Solutions for Security B.V.;1;;;;1
Source4Energy B.V.;;3;;;3
Sparring Partner;4;;;;4
SPIE Nederland B.V.;;1;;;1
Sportfondsen Welzijn Delft B.V.;1;;;;1
SPPS Consultants B.V.;;4;;;4
SPS Benelux B.V.;;;;1;1
Spyke Security B.V.;4;;;;4
Square Four B.V.;;;;6;6
Staelduinsebos Groenspecialisten;1;;;;1
Starfoto B.V.;1;;;;1
Stedin;;7;;;7
Stedin Infradiensten B.V.;2;;;;2
Stedin Meetbedrijf B.V.;1;4;;;4
Stg. B.v.&Adm. Not.knt Groenveld en Van Houdt;;;;2;2
Stg. Bur. Commissie v.d. Mil.-Effectrapport.;;;;2;2
Stg. Maritiem Research Instituut Nederland;;;;3;3
Stichting Achmea Rechtsbijstand;;;;1;1
Stichting Adviesbureau Onroerende Zaken;;;;2;2
Stichting Bouwreflectie;;;;2;2
Stichting Deltares;;;;7;7
Stichting Derdengelden Nysingh Advocaten;;;;6;6
Stichting Erfgoedpark Batavialand;;;;3;3
Stichting Het Limburgs Landschap;;;;3;3
Stichting Het Noordbrabants Landschap;;;;2;2
Stichting Jazz Amsterdam;;;;1;1
Stichting KINT Onderzoeksprojecten;;;;1;1
Stichting Klussen en Kringloop;;;;1;1
Stichting Kornwerderzand;;;;1;1
Stichting Noodfonds GVB;;;;1;1
Stichting Promotie;;;;1;1
Stichting SBRCURnet;;;;3;3
Stichting Uitgeverij De Twaalfde Provincie;;;;1;1
Stichting Vrienden der Geldersche Kasteelen;;;;2;2
Stichting Wateropleidingen;;;;2;2
Stichting Zuidoost Partners;;;;1;1
Storing Horeca B.V.;;;;1;1
Stork Industry Services;1;;;;1
Strandpaviljoen Thalassa B.V.;;;;1;1
Streetfurniture Montage B.V.;1;;;;1
Strukton Civiel Projecten B.V.;;;;5;5
Strukton Worksphere;3;;;;3
SUEZ Nederland Holding B.V.;1;;;;1
Sun Solutions B.V.;;2;;;2
Swanenberg Handelsonderneming B.V.;;;;3;3
Sweco Nederland;;;;1;1
Swedamast Nederland B.V.;1;;;;1
Syscon PTC;;2;;;2
't Regthuys;;;;3;3
T.O.D. Nijkamp B.V.;;2;;;2
Tappan Communicatie B.V.;;;;1;1
Taskers B.V.;;;;2;2
Tasman Properties C.V.;;;;2;2
Taurus Bouwadvies;;;;2;2
Tauw B.V.;1;;;6;6
Taxatie- en adviesbureau Van Reekum en Kraak;;;;3;3
Tebodin Netherlands B.V.;;;;1;1
Technisch Bureau Ben Grool;1;;;;1
Technisch Buro Nijkamp B.V.;1;1;;;1
Technische Unie B.V.;1;1;;;1
Technolution B.V.;;;;3;3
Teledyne Reson B.V.;;;;2;2
Telegrootgebruik B.V.;3;;;6;6
Tempcontrol Industr. Electronic Products B.V.;;;;1;1
TenneT TSO;;;;2;2
Tenuki B.V.;;;;3;3
Ter Braak Willems Almelo;;;;1;1
Termifa;1;;;;1
Terra Milieu B.V.;;;;1;1
TES Install.techn. Service & Onderhoud B.V.;1;;;;1
Tes Installatietechniek Utiliteit B.V.;1;;;;1
The Colour Kitchen Langerlust B.V.;;;;1;1
The View;;;;1;1
Thermo Fisher Scientific B.V.;;;;4;4
Theunisse Makelaardij en Taxatie O.G.;;;;2;2
Thijssen Holding B.V.;;;;1;1
Thyzo B.V.;1;;;;1
Tjaden Adviesbureau voor Grondmechanica B.V.;;;;2;2
TMC Zeeland B.V.;1;;;;1
TNO International Agencies B.V.;;;;5;5
TON Projectstoffering B.V.;3;;;;3
Top Movers Nederland B.V.;5;7;1;;7
Tornak Groep B.V.;;;;1;1
TRAAS Ongediertebestrijding;1;;;;1
Tracé Ingenieurs in Detachering;;;;4;4
Traffic Support B.V.;;;;3;3
Trajeqt B.V.;;;;2;2
Trenton B.V.;;6;;;6
Trentvast B.V.;;;;4;4
Trigion Beveiligingstechniek B.V.;1;;;;1
Trip Advocaten & Notarissen;;;;5;5
Tunneladvies;;;;1;1
TVE Reclameproducties B.V.;2;;;;2
TvH Notarissen B.V.;;;;7;7
Twynstra Gudde;;;;2;2
Twynstra Gudde Adviseurs B.V.;;;;2;2
TWYNSTRA GUDDE CONTRACTEREN EN;;;;2;2
Twynstra Gudde Huisv., V.g. en Fac. Man. B.V.;4;;;;4
Twynstra Gudde Interim Management B.V.;2;;;1;2
Twynstra Gudde Mobiliteit & Infrastruct. B.V.;2;;;2;2
Twynstra Gudde Veiligheid B.V.;;;;2;2
Twynstra The Bridge B.V.;2;;;;2
Tyco Fire and Security Nederland B.V.;1;;;;1
U-Conto;;3;;;3
UJG;;;;1;1
Unica Industrial Projects;1;;;;1
Unica Installatietechniek;2;1;;;2
Unihorn B.V.;1;;;3;3
USG People N.V.;;;;1;1
UTS Van der Lee/Cors De Jongh B.V.;;;4;;4
UTS VERKROOST VERHUIZINGEN;;;1;;1
V.A. Burg Schildersbedrijf B.V.;2;;;;2
V.O.F. A. Prop Beplantingswerken;2;;;;2
V.O.F. AmsterdamMobiel;;;;7;7
V.O.F. Korf Catering;;;;1;1
V.O.F. Loonbedrijf A. Verhoef;1;;;;1
V.O.F. Movares, Goudappel Coffeng, Nelen;;;;7;7
V.O.F. Roest Advies;;;;3;3
V.O.F. Verkeers Management Centrale Rhoon;;;;5;5
Value FM;;;;2;2
van Amerongen facilitair bedrijf B.V.;1;;;;1
Van Benthem & Keulen N.V.;;;;2;2
Van Bon Installaties - Technisch Beheer B.V.;1;;;;1
Van Buren Bouwmaterialen B.V.;1;;;;1
Van den Akker Bouwkosten Consultancy B.V.;;;;1;1
Van den Berg Installateurs;1;;;;1
Van der Kolk B.V.;1;;;;1
Van der Plas Meubel en Projekt B.V.;1;;;;1
Van der Valk Hotel Middelburg B.V.;1;;;;1
Van der Velden Rioleringsbeheer Tilburg B.V.;1;;;;1
Van der Vleuten Raadgevers B.V.;;;;2;2
Van Dijk Employment Services;4;;;;4
Van Doorn Geldermalsen B.V.;2;;;;2
Van Engen Advies;;;;2;2
Van Gastel Notarissen;;;;5;5
Van Ginkel Oost Nederland B.V.;1;;;;1
Van Heeswijk Notarissen N.V.;;;;5;5
Van Kats Machines B.V.;1;;;;1
Van Leussen Van den Broek notarissen;;;;4;4
Van Maanen Maatschap;;;;1;1
Van Oostrum Westbroek B.V.;;;;5;5
Van Paridon & De Groot;;;;1;1
Van Rossum IJzerhandel;1;;;;1
van Schoor Aviation Infra Techniek;1;;;;1
Van Solkema Notaris B.V.;;;;3;3
Van SpiegelZaak;;1;;;1
Van Stratum Techniek B.V.;;1;;;1
Van Vleuten Consult B.V.;;;;2;2
Van Vuuren Elektrotechniek B.V.;2;;;;2
Van Wieren International B.V.;;;;1;1
VANDERVALK + DEGROOT;2;;;;2
Vandervelde Protection B.V.;1;;;;1
VanDoClean B.V.;1;;;;1
Vastint Netherlands B.V.;;;;3;3
VCK Travel B.V.;;;;1;1
Venko Schilderwerken B.V.;7;;;;7
Veolia Gebouwenbeheer B.V.;2;;;;2
Verboon Groen & GWW B.V.;1;;;;1
Verhagen Groep B.V.;;;;2;2
Verkoijen Juridisch Advies;;;;1;1
Verwey Vastgoed Management;2;;;4;4
Videotronic Infosystems Nederland B.V.;1;;;;1
Vink Lisse B.V.;1;;;;1
Vios Bouw en Onderhoud Utrecht B.V.;2;;;;2
Vision Furniture B.V.;2;;;;2
Visions Connected Netherlands B.V.;2;;;;2
Visser & Smit Hanab Distributie B.V.;;;;8;8
Visser en Verweij Communicatie;;1;;;1
Vissers Olie B.V.;;1;;;1
Viteau Direct B.V.;;1;;;1
Vitens N.V.;;4;;2;4
Vlasman Betonbewerk.- en Slooptechnieken B.V.;4;;;;4
Vloerenbedrijf Het Zuiden B.V.;1;;;;1
VolkerRail Nederland B.V.;;;;1;1
Volta Limburg B.V.;;1;;1;1
Voorberg Bouwkunde B.V.;1;;;;1
Vorm Vijf Ontwerpteam B.V.;;;;1;1
VTN Besturingstechniek;;;;1;1
Vwq Projectmanagement B.V.;;;;1;1
Waanzinnig;;2;;;2
Wagensveld Hoveniers;1;;;;1
Walrus Leeuwarden B.V.;1;;;;1
Wareco Amsterdam B.V.;;;;2;2
Waterkracht B.V.;1;;;;1
Waterrecreatie Advies B.V.;;;;1;1
Weghorst Lonnekermeer B.V.;;3;;;3
Weijman Vastgoedonderhoud B.V.;;;;2;2
Wendy van Hemert Projectmanager;;;;1;1
Wesselink Van Zijst B.V.;;;;2;2
WestCord Delft B.V.;1;;;;1
Westland Infra Netbeheer B.V.;;1;;;1
Wijnhandel De Moriaan;;1;;;1
Wilchem B.V.;2;;;;2
Wilgh QSE B.V.;;;;2;2
Willis;;;;2;2
Wits Vastgoedonderhoud Nederland B.V.;2;;;;2
Witteveen+Bos;;;;7;7
Wolter & Dros Goes;1;;;;1
Wolter & Dros Maastricht Airport;2;;;3;4
Woonsfeer B.V.;1;;;;1
Work'n Tools B.V.;1;;;;1
WorkWire B.V.;3;;;;3
wUrck;;;;4;4
Xi-Digital;1;;;;1
XKP ontwerp en beeldvorming;;;;2;2
Xtnt;;;;4;4
Zaal Gieling Groessen B.V.;;;;1;1
Zandbeek Eindhoven;;;;1;1
Zeilmaker Infra Advies;;;;1;1
Zonwering-Nederland B.V.;2;;;;2
Zuidema Rioleringswerken;1;;;;1
zus of zo;1;;;;1
Zwarts & Jansma Architecten B.V.;;;;1;1
Eindtotaal;9;10;4;11;13
