OBJECTID,PUIC,NAAM,VOLTAGE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1071,6db43c75-5174-4178-84bf-4eaeaa9fab90,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,96.365779,"96,365779",-0.117266,"-0,117266",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210596.122,518767.991,52.65354726,6.20881218
1072,01697ec5-6298-44ea-a0c3-14b4a8e6f65f,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,91.124396,"91,124396",-0.892623,"-0,892623",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212811.067,514236.31,52.6125936,6.24075066
1073,1eca143a-82c9-4dff-82db-af5fccf1b259,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,92.395638,"92,395638",-0.322017,"-0,322017",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212805.42,515496.455,52.62391826,6.24088698
1074,ebfb9faa-51b1-4cc8-b384-fc1b7f58605a,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,93.089159,"93,089159",0.115733,"0,115733",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212544.952,516125.09,52.62959493,6.2371499
1075,33d4247b-497b-4240-8272-3a1cefd029f3,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,92.799717,"92,799717",-1.259176,"-1,259176",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212713.629,515888.982,52.62745535,6.23959989
1076,56322f2e-7476-461b-b6e5-92e4a091261c,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,96.826456,"96,826456",0.104146,"0,104146",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210304.56,519127.008,52.65680319,6.20456387
1077,8884e980-c756-4e20-87cb-46d6fb3ed064,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,98.792629,"98,792629",-1.061024,"-1,061024",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,209844.532,521038.839,52.67402999,6.19808272
1078,c971d956-1c43-4e2a-95f9-9d040a7bb0d4,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,94.555522,"94,555522",0.084582,"0,084582",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211709.68,517335.307,52.64055791,6.22502134
1079,0e5c7267-e91e-4a8b-99f7-b7555d887d35,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,87.187017,"87,187017",0.352814,"0,352814",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211352.177,510562.658,52.57973354,6.21858973
1080,26d9de3d-5edd-4df8-81bb-51573394c5fd,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,91.191083,"91,191083",0.101908,"0,101908",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212835.033,514296.929,52.6131358,6.24111503
1081,b2fd4d69-4864-487d-85de-9e757a3c9127,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,94.144035,"94,144035",0.876517,"0,876517",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211922.112,516979.158,52.63733529,6.22809822
1082,b8220dfd-fd22-4945-a560-217d70f6561e,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,87.048349,"87,048349",-0.108358,"-0,108358",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211300.601,510432.704,52.57857105,6.21780687
1083,36ef7640-5c5b-477b-a6fd-2ac1841d2425,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,81.445454,"81,445454",-0.441711,"-0,441711",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,209219.217,505196.897,52.53173036,6.18625025
1084,d072ce86-1548-4b69-9b37-f579bf6bc888,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,97.09725,"97,097250",-0.857668,"-0,857668",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,210182.603,519369.906,52.65899832,6.20280214
1085,6e3d0bb9-2dcf-44c2-b67b-2732e71620e3,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,98.477087,"98,477087",0.574033,"0,574033",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,209891.592,520726.785,52.67122104,6.19872662
1086,d0d4f5a9-2c4b-46db-b711-404e8a4349a3,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,88.465051,"88,465051",3.379529,"3,379529",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,211830.626,511756.868,52.59041554,6.22585202
1087,b6a4155d-7c6c-496b-bab1-8b90ec19a89a,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,013,,13,013__,Herfte Aansl. - Meppel,91.586223,"91,586223",-0.54814,"-0,548140",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Overijssel,34,ASSET Rail,212889.031,514686.325,52.6166293,6.24198017
1088,a36a31ea-8751-436e-bd54-10ec4e82e9c7,,Onbekend,Zl-Lw,Zwolle - Leeuwarden ,502,b,502,502_b,Meppel,100.390804,"100,390804",21.571689,"21,571689",ProRail,Noord-Oost,NO,BVL,Drenthe,440,Drenthe,35,ASSET Rail,209756.64,522630.211,52.68833928,6.19704701
