nummer;gebied;onderwerp;aangemaakt;gewijzigd;buurt;geo_shape;locatie_ter_hoogte_van;wijkcode;stadsdeelcode_;wijknaam;stadsdeelnaam;geo_point_2d
990534219;5-Woensel-Noord 1;14.2 Tegels en klinkers;2018-11-26T16:12:00+00:00;2018-12-13T14:22:00+00:00;BU07721521;"{""coordinates"": [5.430996537621627, 51.477358837576915], ""type"": ""Point""}";De Regge 1;52;5;Wijk Achtse Molen;Stadsdeel Woensel-Noord;51.477358837576915, 5.430996537621627
990535278;5-Woensel-Noord 1;14.2 Tegels en klinkers;2018-12-03T11:49:00+00:00;2018-12-13T14:22:00+00:00;BU07721511;"{""coordinates"": [5.44887483581932, 51.46941039729858], ""type"": ""Point""}";Matterhorn;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.46941039729858, 5.44887483581932
990534380;5-Woensel-Noord 1;14.2 Tegels en klinkers;2018-11-27T14:43:00+00:00;2018-12-13T14:22:00+00:00;BU07721523;"{""coordinates"": [5.444853266171593, 51.48372627362237], ""type"": ""Point""}";Oude Bossche Baan;52;5;Wijk Achtse Molen;Stadsdeel Woensel-Noord;51.48372627362237, 5.444853266171593
990534971;5-Woensel-Noord 1;14.2 Tegels en klinkers;2018-12-01T11:06:00+00:00;2018-12-13T14:22:00+00:00;BU07721513;"{""coordinates"": [5.466493208713326, 51.47636009881758], ""type"": ""Point""}";Firapeellaan;51;5;Wijk Ontginning;Stadsdeel Woensel-Noord;51.47636009881758, 5.466493208713326
990534899;6-Strijp;6.4 (Brom) fietswrak;2018-11-30T15:35:00+00:00;2018-12-13T14:25:00+00:00;BU07721615;"{""coordinates"": [5.455247423737961, 51.44167418544881], ""type"": ""Point""}";St Trudoplein 5;61;6;Wijk Oud-Strijp;Stadsdeel Strijp;51.44167418544881, 5.455247423737961
990535729;10-Woensel-Noord 2;9.5 Bladafval;2018-12-05T17:03:00+00:00;2018-12-13T14:33:00+00:00;BU07721534;"{""coordinates"": [5.473034549374923, 51.48572463163873], ""type"": ""Point""}";Agatha Christielaan 12;53;5;Wijk Aanschot;Stadsdeel Woensel-Noord;51.48572463163873, 5.473034549374923
990460884;6-Strijp;13.1 Straatverlichting;2017-10-24T13:30:00+00:00;2017-11-09T10:00:00+00:00;BU07721640;"{""coordinates"": [5.411179634355539, 51.44255170830639], ""type"": ""Point""}";Meerbos 12;63;6;Wijk Meerhoven;Stadsdeel Strijp;51.44255170830639, 5.411179634355539
990460885;10-Woensel-Noord 2;10.1 Riolering;2017-10-24T13:32:00+00:00;2017-12-12T08:54:00+00:00;BU07721541;"{""coordinates"": [5.4946346785548235, 51.47528863452497], ""type"": ""Point""}";Airbornelaan 91;54;5;Wijk Dommelbeemd;Stadsdeel Woensel-Noord;51.47528863452497, 5.4946346785548235
990460889;6-Strijp;1.3 Ondergrondse afvalcontainer;2017-10-24T13:43:00+00:00;2017-10-24T14:23:00+00:00;BU07721616;"{""coordinates"": [5.4555306914669455, 51.44704967948247], ""type"": ""Point""}";Torenallee 61 6;61;6;Wijk Oud-Strijp;Stadsdeel Strijp;51.44704967948247, 5.4555306914669455
990460895;4-Woensel-Zuid;14.8 Fietspaden controleronde;2017-10-24T13:58:00+00:00;2017-11-24T08:33:00+00:00;BU07721114;"{""coordinates"": [5.47694277170958, 51.44597367344049], ""type"": ""Point""}";Veldmaarschalk Montgomerylaan 125;11;1;Wijk Centrum;Stadsdeel Centrum;51.44597367344049, 5.47694277170958
