Kenteken,Brandstof volgnummer,Brandstof omschrijving,Brandstofverbruik buiten de stad,Brandstofverbruik gecombineerd,Brandstofverbruik stad,CO2 uitstoot gecombineerd,CO2 uitstoot gewogen,Geluidsniveau rijdend,Geluidsniveau stationair,Emissieklasse,Milieuklasse EG Goedkeuring (licht),Milieuklasse EG Goedkeuring (zwaar),Uitstoot deeltjes (licht),Uitstoot deeltjes (zwaar),Nettomaximumvermogen,Nominaal continu maximumvermogen,Roetuitstoot,Toerental geluidsniveau,Emissie deeltjes type1 wltp,Emissie co2 gecombineerd wltp,Emissie co2 gewogen gecombineerd wltp,Brandstof verbruik gecombineerd wltp,Brandstof verbruik gewogen gecombineerd wltp,Elektrisch verbruik enkel elektrisch wltp,Actie radius enkel elektrisch wltp,Actie radius enkel elektrisch stad wltp,Elektrisch verbruik extern opladen wltp,Actie radius extern opladen wltp,Actie radius extern opladen stad wltp,Max vermogen 15 minuten,Max vermogen 60 minuten,Netto max vermogen elektrisch,Klasse hybride elektrisch voertuig,Opgegeven maximum snelheid,Uitlaatemissieniveau
0047ZV,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0047ZZ,1,Diesel,,0.69,,,,,,6,,,,,375.00,,0.52,,,,,,,,,,,,,,,,,,EURO 6
0048NE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0048PS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0049GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0049PK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0049PK,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
004GV0,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,
004GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
004GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
004GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
004GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0050EE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0050PK,1,Benzine,,,,,,,,0,,,,,103.00,,,,,,,,,,,,,,,,,,,,
0050US,1,Diesel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0050VA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0050VR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0050XB,1,Benzine,,,,,,,,0,,,,,52.00,,,,,,,,,,,,,,,,,,,,
0051BD,1,Benzine,,,,,,,,0,,,,,17.00,,,,,,,,,,,,,,,,,,,,
0051GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,
0051XZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0052GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0053NK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0053NK,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0053RK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0053XK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0054DJ,1,Benzine,,,,,,,,0,,,,,27.00,,,,,,,,,,,,,,,,,,,,
0054FP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0054GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0054ME,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0054NG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0054RN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0054XH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0054XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0055GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,
0055NN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0055SL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0055UJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0055XA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0056FE,1,Benzine,,,,,,,,0,,,,,63.00,,,,,,,,,,,,,,,,,,,,
0056GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
0056RU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0057GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0057TN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0057TV,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0057TV,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0059FL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0059FL,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0059FN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0059FN,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0059MB,1,Benzine,,,,,,,,0,,,,,35.00,,,,,,,,,,,,,,,,,,,,
0059TL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0059UA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
005GV0,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
005GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
005GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
005GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
0060EZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0060GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
0060PD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0060RL,1,Benzine,,,,,,,,0,,,,,40.00,,,,,,,,,,,,,,,,,,,,
0060VA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0060XE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0060XZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0061NN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0061PK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0062DR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0062GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,
0062GZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0062PF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0062PK,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0062PK,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0063GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0063PM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0063TP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0063ZE,1,Benzine,,,,,,,,0,,,,,40.00,,,,,,,,,,,,,,,,,,,,
0064DE,1,Benzine,,,,,,,,0,,,,,110.00,,,,,,,,,,,,,,,,,,,,
0065BB,1,Benzine,,,,,,,,0,,,,,55.00,,,,,,,,,,,,,,,,,,,,
0065PK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0065TP,1,Benzine,,,,,,,,0,,,,,96.00,,,,,,,,,,,,,,,,,,,,
0066RT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0066RU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0066SB,1,Benzine,,,,,,,,0,,,,,42.00,,,,,,,,,,,,,,,,,,,,
0066SB,2,LPG,,,,,,,,0,,,,,42.00,,,,,,,,,,,,,,,,,,,,
0066XE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0066ZA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0067AL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0067GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0067HD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0067MK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0067SP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0067TZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0067TZ,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0067UA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0067ZE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0067ZZ,1,Diesel,,,,,,86,84,6,,,,,430.00,,0.58,1350,,,,,,,,,,,,,,,,,
0068JA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0068PE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0068UK,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0068UK,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0068VK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0068VX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0069BU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0069GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0069PL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0069PL,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
006GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
006GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
006GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
006GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0070PH,1,LPG,,,,,,,,0,,,,,175.00,,,,,,,,,,,,,,,,,,,,
0071FP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0072DS,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0072EB,1,Diesel,,,,,,,,0,,,,,93.00,,,,,,,,,,,,,,,,,,,,EURO 0
0072GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0072SK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0072ZJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0072ZJ,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0073GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0073UP,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0073UP,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0073XF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0073ZZ,1,Diesel,,,,,,77,92,6,,595/2009*627/2014A,,,375.00,,,1350,,,,,,,,,,,,,,,,,EURO VI A
0074DZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0074GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,
0074NJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0074XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0074ZK,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0074ZK,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0074ZZ,1,Diesel,,,,,,77,90,6,,595/2009*627/2014C,,,265.00,,,1200,,,,,,,,,,,,,,,,,EURO VI C
0075DZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0075EM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0075GR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0075HD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0075JG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0075NP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0075PH,1,Benzine,,,,,,,,0,,,,,242.00,,,,,,,,,,,,,,,,,,,,
0075RM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0075ZZ,1,Diesel,,,,,,77,90,6,,595/2009*627/2014C,,,265.00,,,1200,,,,,,,,,,,,,,,,,EURO VI C
0076GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0076MK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0076UP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0076VA,1,Diesel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0076VG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0076ZZ,1,Diesel,,,,,,77,90,6,,595/2009*627/2014C,,,265.00,,,1200,,,,,,,,,,,,,,,,,EURO VI C
0077JD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0077UJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0077ZZ,1,Diesel,,,,,,77,90,6,,595/2009*627/2014C,,,265.00,,,1200,,,,,,,,,,,,,,,,,EURO VI C
0078FE,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0078FE,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0078NT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0078PE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0079JD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0079PZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0079RZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0079TZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0079UP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
007GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
007GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
007GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
007GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0080EB,1,LPG,,,,,,,,0,,,,,64.00,,,,,,,,,,,,,,,,,,,,
0080EB,2,Benzine,,,,,,,,0,,,,,64.00,,,,,,,,,,,,,,,,,,,,
0080NT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0080VH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0080VP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0082GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
0082JK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0082JK,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0083AL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0083GM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0083SL,1,Diesel,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0083TF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0083XA,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0083XA,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0083XF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0083ZZ,1,Diesel,,,,,,,,4,,,,,440.00,,1.20,,,,,,,,,,,,,,,,,,
0084GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,
0085DJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0085ET,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0085GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0085PD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0085XU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0086EK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0086FV,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0086GM,1,Benzine,,,,,,,,0,,,,,332.00,,,,,,,,,,,,,,,,,,,,
0086GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0086SU,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0086SU,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0087BU,1,Benzine,,,,,,,,0,,,,,215.00,,,,,,,,,,,,,,,,,,,,
0087EM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0087GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0087NP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0088GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0088XA,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0089BU,1,LPG,,,,,,,,0,,,,,119.00,,,,,,,,,,,,,,,,,,,,
0089BU,2,Benzine,,,,,,,,0,,,,,119.00,,,,,,,,,,,,,,,,,,,,
0089FL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
008GV0,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
008GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
008GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
008GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
008GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0090GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0090JD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0090VD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0090XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0090ZZ,1,Diesel,,,,,,75,,6,,595/2009*627/2014C,,,375.00,,0.50,1350,,,,,,,,,,,,,,,,,EURO VI C
0091AP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0091GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0091JD,1,Benzine,,,,,,,,0,,,,,75.00,,,,,,,,,,,,,,,,,,,,
0091UJ,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0091UP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0091VB,1,LPG,,,,,,,,0,,,,,81.00,,,,,,,,,,,,,,,,,,,,
0091VB,2,Benzine,,,,,,,,0,,,,,81.00,,,,,,,,,,,,,,,,,,,,
0091VD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0091VX,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0092GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
0092HR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0092UJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0092UJ,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0092XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0093GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
0093HP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0093PM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0093PT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0093SK,1,Benzine,,,,,,,,0,,,,,19.00,,,,,,,,,,,,,,,,,,,,
0093VJ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0093XU,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0094EB,1,Diesel,,,,,,,,0,,,,,63.00,,,,,,,,,,,,,,,,,,,,
0094FL,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0094RP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0094RT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0094UE,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0094UE,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0094VE,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0094VE,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0094XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0095ES,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0095UE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0095UE,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0096UP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0097GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0097HR,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0097TN,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0097UA,1,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0097UA,2,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0097XM,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0098EF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0098PE,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0098PF,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0098RG,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0098UA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0098UA,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0098VA,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0098VK,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0099GB,1,Benzine,,,,,,,,0,,,,,37.00,,,,,,,,,,,,,,,,,,,,
0099GV,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
0099JD,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0099PH,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0099PH,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0099PT,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0099PT,2,LPG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0099TZ,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
0099VP,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
0099ZZ,1,Diesel,,,,,,,,5,,,,,500.00,,1.30,,,,,,,,,,,,,,,,,,
009GV1,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
009GV2,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
009GV3,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
009GV4,1,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,
00AB18,1,Diesel,,,,,,,,0,,,,,49.00,,,,,,,,,,,,,,,,,,,,
00AB92,1,LPG,,,,,,,,0,,,,,26.00,,,,,,,,,,,,,,,,,,,,
00AB92,2,Benzine,,,,,,,,0,,,,,26.00,,,,,,,,,,,,,,,,,,,,
00AD11,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
00AD47,1,LPG,,,,,,,,0,,,,,65.00,,,,,,,,,,,,,,,,,,,,
00AD47,2,Benzine,,,,,,,,0,,,,,65.00,,,,,,,,,,,,,,,,,,,,
00AD88,1,Benzine,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,EURO 0
