OBJECTID,NAAM,DETAIL,CATEGORIE,MUTATIEDATUM,BOOGSTRAAL,GEOSUBCODE_PVR,KM_GEOCODE_PVR,SPOORNAAM_PVR,GEOSUBCODE,KM_GEOCODE,SPOORNAAM,RECHTSTAND,BINNENZIJDEBOOG,POSITIONELE_NAUWKEURIGHEID_MM,KWALITEIT,PROCESSTATUS,OBSTAKEL_ID,RECHTSTAND_VERTICAAL,SNELHEID,REF_FUNC_SPOORTAK_NAAM_LANG,VERKANTING,BOOGSTRAAL_VERTICAAL,MEETDATUM,REF_FUNCTIONELE_SPOORTAK_PUIC,Shape__Length
388,133-2018-41-2365,,Paal,2020/07/22 05:39:13+00,9000,133_a,15.216,HA,133_a,15.217668,HA,Y,N,250,Hoog,Definitief,230643,,,133_1087BV_15.1,,,2018/10/08 00:00:00+00,94ad357c-0e21-4b8e-aaf4-038f373406a2,1.5451061452211
389,133-2018-41-2358,,Paal,2020/07/22 05:39:04+00,9000,133_a,14.975,s121-w1087Br,133_a,14.976114,s121-w1087BR,Y,N,250,Hoog,Definitief,230636,,,133_1071V_14.6,,,2018/10/08 00:00:00+00,15b28b75-62d5-4871-a1ac-70b9af3e6396,1.53154693039423
390,532-2022-25-1020,,Rijdraad,2022/10/05 12:05:21+00,9000,532__,11.183,sKA-sKC,532__,11.185542,sKA-sKC,Y,N,250,Hoog,Voorlopig,310469,Y,140,532_1061BR_12.0,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,7bc5797d-7a41-4270-8399-7d11d2856165,0.271536369571371
391,547-2022-11-0029,,Rijdraad,2022/06/29 10:28:03+00,4094,547_c,37.765,248,547_c,37.767819,248,N,Y,250,Hoog,Voorlopig,304281,Y,140,531_2863R_37.1,4.24399159675251e-314,4.24399602852136e-314,2022/03/20 00:00:00+00,008f5ea0-471e-44a0-94e5-e4bbcce70b89,0.21627991122617
392,044-2022-05-0030,,Bovenleiding,2022/12/21 09:12:31+00,9000,044__,12.568,BC,044__,12.567953,BC,Y,Y,250,Hoog,Definitief,315461,Y,1,514_161AT_16.4,4.24399158193054e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,128e7e92-1efc-4d5a-aa9d-574f75794e64,2.32159535664594
393,133-2018-41-3718,,Paal,2020/03/05 14:13:05+00,9000,133_a,13.264,R3,133_a,13.264564,R3,Y,N,250,Hoog,Definitief,207643,,,133_1047BR_13.5,,,2018/10/11 00:00:00+00,5b43c9d2-536e-4f3c-bb33-a8c8e0bdb96f,1.151029104758
394,531-2022-25-1779,,Rijdraad,2022/10/05 11:46:13+00,9000,531_c,34.997,7,531_c,34.995981,7,Y,N,250,Hoog,Voorlopig,309756,Y,80,531_2679R_34.7,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e4a8d30c-0e51-4ccb-8f1a-b4b9359724ed,0.267792830374527
395,531-2022-26-2436,,Rijdraad,2022/10/05 12:04:53+00,839,531_c,35.195,12,531_c,35.194574,12,N,N,250,Hoog,Voorlopig,310413,Y,80,531_2667V_34.8,4.24399160317537e-314,4.24399602852136e-314,2022/06/28 00:00:00+00,8ef69164-88cf-4231-a8ad-03225795c787,0.273031133755841
396,531-2022-25-2949,,Bovenleiding,2023/01/26 16:21:22+00,4079,531_c,34,226,531_c,34,226,N,N,250,Hoog,Voorlopig,316614,Y,80,531_2347L_34.3,4.24399158736527e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,33fe1ab3-d805-49b8-b6b8-ee26a180ac35,3.43613562014074
397,163-2021-40-7215,,Rijdraad,2022/03/11 13:01:37+00,9000,163__,43.591,HG,163__,43.595357,HG,Y,N,250,Hoog,Voorlopig,300701,Y,140,664_907BV_43.3,4.24399158193054e-314,4.24399602852136e-314,2021/10/07 00:00:00+00,dcc17448-b33c-4cc9-b1fe-2bd522bb8e9a,0.271464546488119
398,102-2022-20-1311,,Rijdraad,2022/12/20 07:31:46+00,9000,102__,14.491,LD,102__,14.491074,LD,Y,N,250,Hoog,Voorlopig,314218,Y,120,623_365V_17.0,4.24399158291868e-314,4.24399602852136e-314,2022/05/21 00:00:00+00,e82ffaca-cc4b-431c-aaf4-2aec9f5f2e46,0.280588666912974
399,102-2022-20-1235,,Rijdraad,2022/12/22 08:26:47+00,2266,102__,7.728,LA,102__,7.728431,LA,N,N,250,Hoog,Voorlopig,316126,Y,100,102_393V_9.1,4.2439916026813e-314,4.24399602852136e-314,2022/05/21 00:00:00+00,27bbe822-21b8-4784-a705-b93da281ad20,0.282078003396224
400,163-2021-40-5001,Strail,Overig,2022/03/11 13:00:18+00,2974,163__,45.373,sLE-sLD,163__,45.40321,sLE-sLD,N,N,250,Hoog,Voorlopig,300610,N,130,555_379V_84.4,4.24402395162946e-314,4.24399315207117e-314,2021/10/07 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,1.33140564817789
401,109-2022-16-1459,,Rijdraad,2022/09/21 10:45:09+00,9000,109__,31.378,1,109__,31.377319,1,Y,N,250,Hoog,Voorlopig,305809,Y,80,109_233BV_32.2,4.24399158341274e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,592b462d-f9e3-49f2-8e10-7abf9684c8cc,0.20289159667172
402,588-2022-27-1069,,Rijdraad,2022/11/07 15:03:00+00,9000,588__,1.519,MU,588__,1.518797,MU,Y,N,250,Hoog,Voorlopig,312335,Y,60,588_341AR_1.0,4.24399158193054e-314,4.24399602852136e-314,2022/07/06 00:00:00+00,d5049082-51bd-4c8f-9264-47b17badf393,0.273585452829642
403,163-2021-34-0215,,Bovenleiding,2021/11/18 19:36:33+00,2908,163__,45.38,LE,163__,45.380382,LE,N,N,250,Hoog,Voorlopig,284755,N,60,555_379V_84.4,4.24399159131779e-314,4.24399453150245e-314,2021/08/23 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,2.65537134879474
404,514-2022-05-8112,,Rijdraad,2022/12/21 14:31:28+00,1017,514_b,65.157,s180-w49B/51As,514_b,65.157881,s180-w49B/51AS,N,N,250,Hoog,Definitief,316076,Y,1,514_49BS_65.3,4.24399162590239e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,0.261629509039023
405,163-2021-40-7203,,Rijdraad,2022/03/11 13:01:37+00,9000,163__,47.891,sHB-sHA,163__,47.880199,sHB-sHA,Y,N,250,Hoog,Voorlopig,300689,Y,130,555_387V_84.4,4.24402396052264e-314,4.24399602852136e-314,2021/10/07 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,0.293334280301502
406,033-2022-16-1160,,Rijdraad,2022/09/21 10:36:10+00,9000,033__,25.421,DZ,033__,25.421256,DZ,Y,Y,250,Hoog,Voorlopig,305016,Y,130,609_135AL_26.6,4.24402395904045e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,f3894638-bd89-4aad-bd52-797e15612eb7,0.25551907952245
407,109-2022-16-1419,,Rijdraad,2022/09/21 10:45:09+00,9000,109__,25.602,VR,109__,25.601607,VR,Y,N,250,Hoog,Voorlopig,305769,Y,100,109_243AL_31.0,4.24402396052264e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,3e1aeee2-abd1-4265-a325-1297b1c80778,0.221108570616338
408,163-2021-34-0529,,Bovenleiding,2022/03/04 09:40:12+00,9000,163__,43.698,HG,163__,43.693176,HG,Y,Y,250,Hoog,Voorlopig,299561,Y,140,664_907BV_43.3,4.24402396052264e-314,4.24399602852136e-314,2021/08/23 00:00:00+00,dcc17448-b33c-4cc9-b1fe-2bd522bb8e9a,3.6475794713755
409,047-2022-05-0054,,Bovenleiding,2022/06/29 10:05:01+00,4477,047__,59.649,NW,047__,59.648838,NW,N,Y,250,Hoog,Voorlopig,302921,N,1,514_49BS_65.3,4.24399159131779e-314,4.24402120116601e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,3.12297118142323
410,589-2022-25-1019,,Rijdraad,2022/10/05 12:21:02+00,9000,589_a,0.881,DZ,,,DZ,Y,N,250,Hoog,Voorlopig,310576,Y,80,027_955BV_149.2,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,69381260-b6d0-4668-b877-a1fb559d7aea,0.27701624501101
411,514-2022-05-0146,,Rijdraad,2022/06/29 10:23:02+00,782,514_b,65.265,49A,514_b,65.264867,49A,N,N,250,Hoog,Voorlopig,304011,N,40,514_49AL_65.2,4.24399158193054e-314,4.24399500778173e-314,2022/02/06 00:00:00+00,0d9d76ce-6b23-4444-8dbf-81ba4a95b3bb,0.46877286610895
412,531-2022-25-1816,,Rijdraad,2022/10/05 11:48:47+00,856,531_c,34.995,15,531_c,34.996354,15,N,N,250,Hoog,Voorlopig,309793,Y,80,531_2621V_34.7,4.2439916041635e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,69088f7d-3aaa-4e90-b9a7-6d3be82c09f6,0.257598524840497
413,047-2022-05-0544,,Bovenleiding,2022/06/29 10:10:54+00,9000,047__,52.612,w71r-sRS,047__,52.611458,w71R-sRS,Y,N,250,Hoog,Voorlopig,303409,N,130,047_71R_52.2,4.24402396052264e-314,4.24402065077688e-314,2022/02/05 00:00:00+00,3b17f45d-54e6-49f6-978a-b48d92dfbd47,1.72010842681501
414,588-2022-27-1026,,Bovenleiding,2022/11/07 15:03:00+00,2963,588__,2.887,411B/415A,588__,2.887984,411B/415A,N,Y,250,Hoog,Voorlopig,312292,N,40,588_415AT_2.9,4.24402396052264e-314,4.24402101638546e-314,2022/07/06 00:00:00+00,61cd6817-90ca-443e-90d0-72e329884ed4,0.364584695235552
415,096-2022-27-1010,,Rijdraad,2022/11/07 13:39:46+00,2619,096_b,105.65,UB,096_b,105.649452,UB,N,Y,250,Hoog,Voorlopig,311475,N,1,096_497V_104.4,4.24399159675251e-314,4.24402258652608e-314,2022/07/06 00:00:00+00,8b0333a5-63e6-44e5-b635-1efc00f4bb92,0.277856077853266
416,133-2018-41-2348,,Paal,2020/07/22 05:38:50+00,9000,133_a,15.036,1087B,133_a,15.036728,1087B,Y,N,250,Hoog,Definitief,230626,,,133_1071V_14.6,,,2018/10/08 00:00:00+00,15b28b75-62d5-4871-a1ac-70b9af3e6396,1.53206951539413
417,133-2018-41-3141,,Rijdraad,2020/03/05 15:24:20+00,2735,133_a,16.672,HB,133_a,16.672683,HB,N,N,250,Hoog,Definitief,209340,,,133_1087AR_15.0,,,2018/10/09 00:00:00+00,685accac-470c-447b-9c37-7ad230ac4a12,0.270484750032234
418,547-2022-16-1064,,Bovenleiding,2022/09/21 10:58:21+00,9000,547_c,37.787,FA,547_c,37.786938,FA,Y,Y,250,Hoog,Voorlopig,307043,N,140,531_2765L_35.7,4.24399158736527e-314,4.24401973675544e-314,2022/04/20 00:00:00+00,51e9d1e2-872d-4142-b0de-e8d95113ebdd,1.15740096768579
419,096-2022-27-1126,,Rijdraad,2023/02/01 15:43:05+00,395,096_b,105.231,UP,096_b,105.232012,UP,N,Y,250,Hoog,Voorlopig,316637,Y,1,526_495L_104.3,4.24399162886678e-314,4.24399602852136e-314,2022/07/06 00:00:00+00,6355b66c-99a3-40b0-8b8d-e3f361d368c8,0.213677326827158
420,589-2022-27-1212,,Bovenleiding,2022/11/07 19:46:45+00,9000,589_b,4.327,505,,,505,Y,N,250,Hoog,Voorlopig,312734,Y,140,526_495L_104.3,4.24399159181186e-314,4.24399602852136e-314,2022/07/06 00:00:00+00,6355b66c-99a3-40b0-8b8d-e3f361d368c8,1.83683314430027
421,133-2018-41-3233,,Paal,2020/03/05 14:27:57+00,1433,133_a,14.11,106,133_a,14.088864,106,N,N,250,Hoog,Definitief,208081,,,133_1061R_13.8,,,2018/10/10 00:00:00+00,95209470-d7bf-40ba-a51d-60c353d07087,1.9802323096041
422,096-2022-27-1005,,Rijdraad,2022/11/07 13:39:46+00,1869,096_b,105.62,UB,096_b,105.62042,UB,N,N,250,Hoog,Voorlopig,311470,N,1,096_497V_104.4,4.24399160317537e-314,4.24399414464905e-314,2022/07/06 00:00:00+00,8b0333a5-63e6-44e5-b635-1efc00f4bb92,0.274273586041383
423,531-2022-25-2618,,Rijdraad,2022/11/07 15:17:25+00,1797,531_c,35.22,11,531_c,35.219757,11,N,N,250,Hoog,Voorlopig,312411,Y,80,531_2665L_34.7,4.24402395953451e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,2a1fccea-b1c4-43ce-95d5-473bed4f8554,0.26771066471099
424,133-2018-41-3940,,Paal,2020/03/05 15:26:56+00,2593,133_a,16.776,HY,133_a,16.777256,HY,N,N,250,Hoog,Definitief,209398,,,133_1083AL_15.1,,,2018/10/11 00:00:00+00,934abd36-f04d-4630-8efb-5bb23ee54c81,0.969937111363412
425,508-2022-05-0504,,Rijdraad,2022/06/29 10:18:20+00,9000,508__,91.689,6a,508__,91.688396,6a,Y,N,250,Hoog,Voorlopig,303863,N,40,508_2107R_91.5,4.24399158193054e-314,4.2440200939649e-314,2022/02/06 00:00:00+00,2792f455-d62c-4fa3-8381-e95cf5cd960e,0.204707107839469
426,508-2022-05-0418,,Rijdraad,2022/06/29 10:19:40+00,2690,508__,90.563,26,508__,90.562818,26,N,Y,250,Hoog,Voorlopig,303905,N,110,508_2005R_90.1,4.24399159428219e-314,4.24402182418279e-314,2022/02/06 00:00:00+00,3319ab2f-4a0a-4a6c-ab9d-bd2f0f593b97,0.301398407427777
427,163-2021-34-0493,,Bovenleiding,2022/03/04 09:40:12+00,4483,163__,45.46,sLE-sLD,163__,45.458908,sLE-sLD,N,N,250,Hoog,Voorlopig,299525,N,60,555_379V_84.4,4.24399159181186e-314,4.24399513870913e-314,2021/08/23 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,1.93114396149018
428,589-2022-25-1055,,Rijdraad,2022/11/07 19:31:33+00,495,589_d,200.628,s581-sDM,,,s581-sDM,N,N,250,Hoog,Voorlopig,312577,Y,80,027_969L_149.5,4.24399163380744e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,4f835615-7791-45c3-8057-eaa9acfc57f6,0.266692707061892
429,109-2022-16-1607,,Rijdraad,2022/09/21 10:47:01+00,9000,109__,36.951,VA,109__,36.951466,VA,Y,N,250,Hoog,Voorlopig,305957,Y,80,562_159L_60.9,4.24399158193054e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,b6deb1ad-d097-4822-a80a-fb28112679ca,0.28643498389687
430,555-2021-40-2003,STRAIL,Overig,2022/03/11 13:03:29+00,702,555__,84.425,w379V-sLA,555__,84.422774,w379V-sLA,N,N,250,Hoog,Voorlopig,300787,N,60,555_379V_84.4,4.24402394866507e-314,4.24399381658946e-314,2021/10/07 00:00:00+00,5df5d91b-39e8-4fac-a500-e3a16457fcf0,1.46650741559666
431,096-2022-27-1121,,Rijdraad,2023/02/01 15:43:05+00,2619,096_b,105.65,UB,096_b,105.649452,UB,N,N,250,Hoog,Voorlopig,316632,N,1,096_497V_104.4,4.24399159675251e-314,4.24402258652608e-314,2022/07/06 00:00:00+00,8b0333a5-63e6-44e5-b635-1efc00f4bb92,0.277856077853266
432,109-2022-16-1558,,Rijdraad,2022/09/21 10:46:32+00,9000,109__,33.926,VN,109__,33.926188,VN,Y,N,250,Hoog,Voorlopig,305908,Y,80,562_161R_61.2,4.24399158242461e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,e177435a-9507-479b-bc84-c488b8d504e0,0.298744037597405
433,047-2022-05-0013,,Rijdraad,2022/12/21 09:12:31+00,9000,047__,63.149,NW,047__,63.149229,NW,Y,N,250,Hoog,Definitief,315479,Y,1,514_49BS_65.3,4.2439915868712e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,0.27965872058636
434,133-2018-41-4019,,Paal,2020/03/05 14:27:52+00,9000,133_a,14.092,104,133_a,14.093154,104,Y,Y,250,Hoog,Definitief,208070,,,133_1063AL_13.8,,,2018/10/11 00:00:00+00,3e54f637-fa43-486f-bdda-07c028fadf6c,2.11428096524563
435,047-2022-05-0016,,Bovenleiding,2022/12/21 09:12:31+00,1507,047__,63.27,NW,047__,63.270274,NW,N,Y,250,Hoog,Definitief,315482,N,1,514_49BS_65.3,4.24399160169317e-314,4.24402151094517e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,1.90500419947044
436,514-2022-05-0320,,Bovenleiding,2022/06/30 09:38:07+00,989,514_b,65.083,sWN-w49Av,514_b,65.08332,sWN-w49AV,N,N,250,Hoog,Voorlopig,304385,N,100,514_49AV_65.2,4.24399161404481e-314,4.24401986175405e-314,2022/02/05 00:00:00+00,c95bc0f4-6a92-4ee7-a3fe-744321b9be3c,2.00674188674079
437,133-2018-41-3654,,Paal,2020/03/05 14:12:47+00,9000,133_a,13.164,R3,133_a,13.164028,R3,Y,N,250,Hoog,Definitief,207614,,,133_1047BR_13.5,,,2018/10/11 00:00:00+00,5b43c9d2-536e-4f3c-bb33-a8c8e0bdb96f,0.998497371053124
438,531-2022-25-2020,,Bovenleiding,2022/10/05 11:59:09+00,4079,531_c,33,226,531_c,34,226,N,Y,250,Hoog,Voorlopig,309997,Y,80,531_2347L_34.3,4.24399158736527e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,33fe1ab3-d805-49b8-b6b8-ee26a180ac35,3.43613562014074
439,054-2021-05-0725,,Rijdraad,2021/12/29 05:15:26+00,9000,054_a,49.623,DB,054_a,49.622927,DB,Y,N,250,Hoog,Definitief,286151,,,054_1315BV_47.5,,,2021/02/05 00:00:00+00,c43f3122-7a7d-452b-9ebf-7535bd39cf64,0.249435362368691
440,508-2022-05-0419,,Rijdraad,2022/06/29 10:19:40+00,9000,508__,90.583,26,508__,90.582565,26,Y,Y,250,Hoog,Voorlopig,303906,N,110,508_2005R_90.1,4.24399158637714e-314,4.24402161420489e-314,2022/02/06 00:00:00+00,3319ab2f-4a0a-4a6c-ab9d-bd2f0f593b97,0.524294764421694
441,133-2018-41-3449,,Paal,2020/03/05 14:12:41+00,9000,133_a,13.129,R4,133_a,13.128508,R4,Y,N,250,Hoog,Definitief,207603,,,133_1015V_8.7,,,2018/10/11 00:00:00+00,78cd3795-746d-41d6-90a0-8273b82aad5b,2.04360000978665
442,047-2022-05-0056,,Bovenleiding,2022/06/29 10:05:01+00,9000,047__,59.705,NW,047__,59.705393,NW,Y,Y,250,Hoog,Voorlopig,302923,N,1,514_49BS_65.3,4.24399158193054e-314,4.24402120017788e-314,2022/02/05 00:00:00+00,de4ae7c5-2a2d-4770-a8e0-aacf27a781aa,1.67568045879875
443,133-2018-41-2349,,Paal,2020/07/22 05:38:51+00,9000,133_a,15.027,s121-w1087Br,133_a,15.027768,1087B,Y,Y,250,Hoog,Definitief,230627,,,133_1071V_14.6,,,2018/10/08 00:00:00+00,15b28b75-62d5-4871-a1ac-70b9af3e6396,1.53292204628937
444,508-2022-05-0421,,Rijdraad,2022/06/29 10:19:40+00,1793,508__,90.622,26,508__,90.621792,26,N,Y,250,Hoog,Voorlopig,303908,N,80,508_2005R_90.1,4.24399159823471e-314,4.24402182813532e-314,2022/02/06 00:00:00+00,3319ab2f-4a0a-4a6c-ab9d-bd2f0f593b97,0.413240849868451
445,531-2022-25-1819,,Bovenleiding,2022/10/05 11:48:47+00,2018,531_c,35.045,15,531_c,35.045685,15,N,N,250,Hoog,Voorlopig,309796,Y,80,531_2621V_34.7,4.24399159230592e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,69088f7d-3aaa-4e90-b9a7-6d3be82c09f6,3.14279318441414
446,097-2022-25-1032,,Rijdraad,2022/10/05 11:21:53+00,9000,097__,20.959,UP7,097__,20.95926,UP7,Y,Y,250,Hoog,Voorlopig,308657,Y,140,080_3425L_11.2,4.24402395953451e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,6ba83e50-6d7b-434e-9b9f-7480709267af,0.280315893234758
447,109-2022-16-1514,,Rijdraad,2022/09/21 10:46:32+00,9000,109__,32.507,231A,109__,32.5069,231A,Y,N,250,Hoog,Voorlopig,305864,Y,80,109_231AL_32.5,4.24402396052264e-314,4.24399602852136e-314,2022/04/24 00:00:00+00,c794b9b5-1268-4fb9-acc6-7f54305ccd25,0.228089894559141
448,163-2021-40-7206,,Rijdraad,2022/03/11 13:01:37+00,9000,163__,45.362,HE,163__,45.365739,HE,Y,N,250,Hoog,Voorlopig,300692,N,130,555_387V_84.4,4.24402395953451e-314,4.24399342924199e-314,2021/10/07 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,0.200192407448434
449,532-2022-25-1053,,Rijdraad,2022/11/07 13:48:22+00,2845,532__,10.921,sKP-sKM,532__,10.920764,sKP-sKM,N,Y,250,Hoog,Voorlopig,312232,Y,140,101_1063L_12.3,4.24399162194986e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,d8ccc264-445d-4a08-b530-6d064c15177f,0.275
450,163-2021-34-0500,,Bovenleiding,2022/03/04 09:40:12+00,489,163__,48.443,HA,163__,48.443293,HA,N,N,250,Hoog,Voorlopig,299532,Y,60,555_387V_84.4,4.24399161157448e-314,4.24399602852136e-314,2021/08/23 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,1.65687175122277
451,100-2022-25-1287,,Rijdraad,2022/11/07 13:42:35+00,2507,100__,10.461,DO,100__,10.459884,DO,N,Y,250,Hoog,Voorlopig,311769,Y,140,532_1037R_11.2,4.24399160218724e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,45e5fa27-8744-46b2-83fe-a0136b7ee60e,0.263600075872523
452,531-2022-25-1781,,Rijdraad,2022/10/05 11:46:13+00,9000,531_c,35.01,7,531_c,35.010118,7,Y,N,250,Hoog,Voorlopig,309758,Y,80,531_2679R_34.7,4.24399158193054e-314,4.24399602852136e-314,2022/06/25 00:00:00+00,e4a8d30c-0e51-4ccb-8f1a-b4b9359724ed,0.274985454160761
453,133-2018-41-2381,,Paal,2020/07/22 05:39:37+00,9000,133_a,15.102,w1087Bv-sHA,133_a,15.097544,w1087BV-sHA,Y,N,250,Hoog,Definitief,230659,,,133_1087BV_15.1,,,2018/10/08 00:00:00+00,94ad357c-0e21-4b8e-aaf4-038f373406a2,1.53377475530144
454,163-2021-34-0109,,Rijdraad,2021/11/18 19:04:13+00,500,163__,48.534,HA,163__,48.534917,HA,N,N,250,Hoog,Voorlopig,284618,N,60,555_387V_84.4,4.24399161206855e-314,4.24399453891343e-314,2021/08/23 00:00:00+00,2e889544-fbda-4f64-aa63-53c63713db6e,0.260249879923123
455,924-2019-12-0571,,Rijdraad,2019/09/12 18:04:22+00,502,924_a,34.201,OA,924_a,34.198996,OA,N,Y,250,Hoog,Definitief,160977,,,116_1373BV_33.0,,,2019/03/20 00:00:00+00,f51317c4-758f-4a50-9c50-0cbf8026faac,0.257386868351903
456,098-2022-27-1288,,Rijdraad,2022/11/07 13:36:55+00,9000,098__,28.879,3867,098__,28.87981,3867,Y,N,250,Hoog,Voorlopig,311243,Y,140,098_3831L_27.8,4.24402396002858e-314,4.24399602852136e-314,2022/07/06 00:00:00+00,884f3fee-f7c2-47c3-b42e-505d0e73ea73,0.264594028655221
457,133-2018-41-3053,,Paal,2020/07/22 06:10:49+00,9000,133_a,15.012,1087A,133_a,15.012808,1087A,Y,N,250,Hoog,Definitief,231303,,,133_1087AR_15.0,,,2018/10/09 00:00:00+00,685accac-470c-447b-9c37-7ad230ac4a12,0.403555448482609
458,950-2012-31-0545,,Gebouw,2023/01/13 20:59:51+00,9000,950_e,28.227,685,950_e,28.227741,685,Y,N,250,Middel,Definitief,316206,Y,40,950_998R_28.1,4.24399158193054e-314,,2012/07/29 22:00:00+00,5bbbab0c-677e-4e14-942c-b75a34692d01,4.08965157440093
459,133-2018-41-4085,,Paal,2020/03/05 14:40:46+00,9000,133_a,14.648,w1077Bv-s123,133_a,14.649404,w1077BV-s123,Y,N,250,Hoog,Definitief,208506,,,133_1077BV_14.6,,,2018/10/11 00:00:00+00,38a38817-f7ee-4296-9adb-e6ef1b999b69,1.98584616725465
460,133-2018-41-2434,,Rijdraad,2020/03/05 14:40:23+00,3800,133_a,14.576,1071,133_a,14.576379,1071,N,N,250,Hoog,Definitief,208458,,,133_1065L_13.9,,,2018/10/09 00:00:00+00,00f0cdba-1cd6-4286-a86b-baf0cc6f4107,0.263933703796995
461,100-2022-25-1286,,Rijdraad,2022/11/07 13:42:35+00,2778,100__,10.511,DO,100__,10.511,DO,N,Y,250,Hoog,Voorlopig,311768,Y,140,532_1037R_11.2,4.24399159279999e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,45e5fa27-8744-46b2-83fe-a0136b7ee60e,0.262619496610591
462,514-2022-05-0144,,Rijdraad,2022/06/29 10:23:02+00,732,514_b,65.25,49A,514_b,65.249956,49A,N,N,250,Hoog,Voorlopig,304009,N,40,514_49AL_65.2,4.24399158242461e-314,4.2440233844421e-314,2022/02/06 00:00:00+00,0d9d76ce-6b23-4444-8dbf-81ba4a95b3bb,0.293783934210161
463,508-2022-05-0420,,Rijdraad,2022/06/29 10:19:40+00,3562,508__,90.602,26,508__,90.602041,26,N,Y,250,Hoog,Voorlopig,303907,N,80,508_2005R_90.1,4.2439915883534e-314,4.24402127132333e-314,2022/02/06 00:00:00+00,3319ab2f-4a0a-4a6c-ab9d-bd2f0f593b97,0.411757210015805
464,133-2018-41-2767,,Rijdraad,2020/07/22 05:45:52+00,3030,133_a,16.005,HB,133_a,16.006073,HB,N,N,250,Hoog,Definitief,230685,,,133_1087AR_15.0,,,2018/10/09 00:00:00+00,685accac-470c-447b-9c37-7ad230ac4a12,0.278237308785145
465,133-2018-41-3693,,Paal,2020/03/05 14:09:38+00,9000,133_a,12.802,R3,133_a,12.80196,R3,Y,N,250,Hoog,Definitief,207477,,,133_1047BR_13.5,,,2018/10/11 00:00:00+00,5b43c9d2-536e-4f3c-bb33-a8c8e0bdb96f,1.98642417423872
466,047-2022-05-0521,,Rijdraad,2022/06/29 10:09:57+00,9000,047__,50.989,RT,047__,50.988517,RT,Y,N,250,Hoog,Voorlopig,303388,Y,120,047_61V_50.5,4.24399158291868e-314,4.24399602852136e-314,2022/02/05 00:00:00+00,85c6d547-6e2c-4eea-8ffb-89777a3ff5da,0.283668820986727
467,133-2018-41-3854,,Paal,2020/03/05 14:59:01+00,9000,133_a,15.74,HY,133_a,15.741238,HY,Y,N,250,Hoog,Definitief,209001,,,133_1083AL_15.1,,,2018/10/11 00:00:00+00,934abd36-f04d-4630-8efb-5bb23ee54c81,1.29504633121754
468,099-2022-25-1012,,Rijdraad,2022/11/07 13:37:55+00,9000,099__,3.866,BN,099__,3.866407,BN,Y,N,250,Hoog,Voorlopig,311363,Y,130,099_1021AV_6.1,4.24402396002858e-314,4.24399602852136e-314,2022/06/26 00:00:00+00,3c298e54-871a-43b9-afe1-4540f0ff3c0a,0.270379363117824
469,531-2022-25-2924,,Bovenleiding,2023/01/26 16:21:22+00,9000,531_c,35.005,1,531_c,35.005039,1,Y,N,250,Hoog,Voorlopig,316590,N,1,531_2583T_34.6,4.24402396052264e-314,4.24402074563749e-314,2022/06/25 00:00:00+00,7d866d24-12de-4c9a-9e86-36775b123734,2.01457290759109
470,163-2021-34-0056,,Rijdraad,2021/11/18 18:53:45+00,1851,163__,44.488,w969v-w971v,163__,44.486892,w969V-w971V,N,Y,250,Hoog,Voorlopig,284565,Y,130,163_969V_44.4,4.24399159625845e-314,4.24399602852136e-314,2021/08/23 00:00:00+00,ddb3a92d-9bd3-4b84-95bf-774dc9ea38b0,0.272752635184337
