Rijlabels;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Tappan Communicatie B.V.;;2;;;;2
Tasman Properties C.V.;;;;;7;7
Tauw B.V.;;4;;;2;4
Taylor Elektrotechniek Den Helder B.V.;;;;;2;2
TCN SIG Telehousing Exploitatie B.V.;;;;;7;7
Team 4 Architecten B.V.;;4;;;;4
Tebodin Netherlands B.V.;;;;;2;2
Technical Inspection Services B.V.;;1;;;;1
Technikeur Inspectie B.V.;;4;;;;4
Technion Zuid B.V.;;3;;;;3
Technisch Beheer Nederland B.V.;;1;;;;1
Technisch Bureau Swart B.V.;;3;;;;3
Technisch Buro J. Zoet;;2;;;;2
Technisch Commercieel Adviesburo Vogels B.V.;;1;;;;1
Technisch Handelsbureau 'Rensa' B.V.;;1;;;;1
Technische Unie B.V.;;1;;;;1
Techno Security Systems TSS;;1;;;;1
Technoconsult B.V.;;1;;;;1
Teeuwissen Rioolreiniging Huizen B.V.;;5;;;;5
Tekst & Beeld;;2;;;;2
Tele2 Nederland B.V.;;2;;;;2
Telesignal Europe B.V.;;1;;;;1
Terra Milieu B.V.;;;;;1;1
TES Install.techn. Service & Onderhoud B.V.;;5;;;4;5
TES Installatietechniek Tilburg B.V.;;7;;;;7
Teun de Haan Beheer B.V.;;;;;1;1
Th. Draisma Holding B.V.;;1;;;4;4
Thermica B.V.;;1;;;;1
Thermofrost B.V.;;4;;;;4
THT Elektrotechniek B.V.;;5;;;;5
Thyssenkrupp Encasa N.V.;;1;;;;1
thyssenkrupp Liften Branch Noord;;6;;;;6
Thyzo B.V.;;1;;;;1
TIBN Technisch Beheer & Onderhoud B.V.;;7;;;;7
Tijdhof Consulting;;1;;;;1
Tijssens Electrotechniek B.V.;;6;;;;6
TNO B.V.;;;;;2;2
ToekomstService;;4;;;;4
Toetsadvies;;2;;;;2
Top Movers Nederland B.V.;;;;6;;6
Top Totaalonderhoud B.V.;;2;;;;2
Topbloemen Nederland B.V.;;2;;;;2
Tornak Groep B.V.;;2;;;;2
Total Identity;;1;;;;1
TotalKlima B.V.;;1;;;;1
Touax B.V.;;;;;4;4
TPAHG Architecten BNA;;3;;;;3
Tramétex Transporttechniek B.V.;;2;;;;2
Transiënt B.V.;;1;;;;1
Trigion Alarmcentrale B.V.;;1;;;;1
Trigion Beveiliging B.V.;;2;;;;2
Trimension B.V.;;1;;;;1
Trompenburg B.V.;;;;;1;1
Troostwijk Real Estate B.V.;;3;;;;3
Tuesday Multimedia;;1;;;;1
TUV Nederland QA B.V.;;;;;1;1
Two-O-Four B.V.;;4;;;;4
Tyco Fire and Security Nederland B.V.;;7;;;5;7
Uitgeverij Blauwdruk B.V.;;2;;;;2
ULC Technisch Beheer B.V.;;2;;;;2
Umami Restaurant Den Haag B.V.;;1;;;;1
Uncrowned King;;1;;;;1
Unibail-Rodamco SE;;;;;1;1
Unica Installatietechniek;;9;;;;9
Unica Installatietechniek B.V.;;1;;;;1
United Fish Auctions N.V.;;;;;2;2
Uticon Engineering Consultancy B.V.;;2;;;;2
UTS Abbink Den Haag;;;;4;;4
UTS Hersevoort Zwolle B.V.;;;;;3;3
UTS van der Geest Verhuizingen B.V.;;2;;;;2
Vabeog Amersfoort B.V.;;;;;4;4
Van Asbeck Arch. en Restauratieadviseurs B.V.;;5;;;;5
Van Benthem's Aannemingsbedrijf B.V.;;1;;;;1
Van Boldrik Vendor Lease B.V.;;;;;5;5
Van Dam Technisch Beheer B.V.;;3;;;;3
van de Wijdeven;;3;;;;3
Van den Berg Bros Vastgoed B.V.;;1;;;;1
Van den Berg Installateurs;;1;;;;1
Van den Bijtel Ecologisch Onderzoek;;;;;1;1
Van den Brul Restauratie;;1;;;;1
Van den Heuvel Watertechnologie B.V.;;1;;;;1
Van der Bel Sloopwerken B.V.;;2;;;;2
Van der Burg Kozijnen;;4;;;;4
Van der Goes en Groot B.V.;;;;;2;2
Van der Heijden Milieu- en Install.techn.;;7;;;2;7
Van der Hoeven Jacht- en Scheepswerf;;2;;;;2
Van der Kroft Party Rental Services B.V.;;1;;;;1
Van der Plas B.V.;;4;;;;4
Van der Tol Hoven. en Terr.inricht. B.V.;;1;;;;1
Van der Velden Rioleringsbeheer Buren B.V.;;4;;;;4
Van der Velden Rioleringsbeheer Utrecht B.V.;;1;;;;1
Van der Vlis Bouwconsult B.V.;;3;;;;3
Van der Vorm Vastgoed;;2;;;6;6
Van Dijk Zakelijk B.V.;;;;;1;1
Van Donkersgoed B.V.;;2;;;;2
Van Doorn Dakspecialist;;3;;;;3
Van Doorne N.V.;;2;;;;2
Van Dorp installaties B.V.;;7;;;;7
Van Dorp Zwembaden;;6;;;;6
Van Drunen B.V.;;2;;;;2
Van Ede Schilderwerken;;3;;;;3
Van Enckevort Groothandel B.V.;;1;;;;1
Van Esch Groenvoorzieningen B.V.;;4;;;;4
Van Galen Installatietechniek;;4;;;;4
Van Galen Service & Onderhoud Utrecht B.V.;;5;;;;5
Van Gansewinkel Nederland B.V.;1;;;;;1
Van Gelder Verkeerstechniek B.V.;;5;;;2;6
Van Ginkel West Nederland B.V.;;3;;;;3
Van Gogh Museum;;2;;;;2
Van Hoogevest Architecten B.V.;;4;;;;4
Van Kralingen B.V.;;4;;;4;4
van Leeuwen Keukens B.V.;;1;;;;1
Van Mensvoort Veghel B.V.;;;;;3;3
Van Randwijk Paperflow Solutions B.V.;;1;;;;1
Van Son Architecten B.V.;;1;;;;1
Van Stipdonk Landschapsinrichting B.V.;;5;;;2;5
Van Vlier Media B.V.;;2;;;;2
Van Wijk Onroerend Goed B.V.;;;;;3;3
Van Wijnen Arnhem B.V.;;1;;;;1
Van Wijnen Stolwijk B.V.;;5;;;;5
Vandervelde Protection B.V.;;1;;;;1
Vasloc Beheer B.V.;;;;;7;7
Vastg. Rietveld (Hilversum-Stationspl.) B.V.;;;;;7;7
Vastgoed C.V. APF VII;;;;;4;4
Vastgoed Fundament Fonds N.V.;;;;;3;3
Vastgoed Rietveld (Den Haag-Neuhuyskade) B.V.;;;;;6;6
Vastgoed Rietveld B.V.;;1;;;8;8
Vastgoed Utrechtseweg 290 Arnhem B.V.;;;;;2;2
Vastgoedmaatschap Zuidflank/Noordwal;;;;;6;6
VB&T Vastgoedmanagement B.V.;;4;;;7;7
Vebes Adviseurs B.V.;;;;;2;2
Vellinga Vastgoed Beheer B.V.;;;;;4;4
Venema Restauratie;;3;;;;3
Veolia Gebouwenbeheer B.V.;;7;;;;7
Ver. van Eig. Bezuidenhoutseweg 20 & Boslaan;;;;;2;2
Vereniging Deltametropool;;1;;;;1
Verheggen Elektrotechniek B.V.;;;;;1;1
Verheij Groenvoorzieningen B.V.;;7;;;;7
Verhoeven Electrotechniek B.V.;;;;;1;1
Verhoeven Milieutechniek B.V.;;;;;1;1
Verhuurbedrijf Paul B.V.;;1;;;;1
Verloo B.V.;;2;;;;2
Vermeulen Groep;;1;;;;1
Vermeulen Leiderdorp B.V.;;6;;;;6
Verschoor Bouwservice B.V.;;4;;;5;5
Verwol Projektafbouw B.V.;;5;;;;5
Vestas Benelux B.V.;;4;;;;4
VGZ Vastgoed B.V.;;;;;4;4
Vhiva B.V.;;1;;;;1
Via Aperta Verhardingsadviseurs B.V.;;1;;;;1
Vialis B.V.;;1;;;;1
Vigier Infra Projecten B.V.;;1;;;;1
Villa Augustus B.V.;;1;;;;1
Vinçotte Nederland B.V.;;3;;;;3
Vink Electrotechnisch Installatiebureau B.V.;;3;;;2;3
Vios Bouw en Onderhoud Amsterdam B.V.;;7;;;2;7
Vis Restauratie Architecten;;3;;;;3
Vision Tronics;;1;;;;1
Visser & Smit Bouw;;1;;;;1
Vitens N.V.;;;1;;;1
Vitrov Bouw en Vastgoed B.V.;;4;;;;4
Vitruvius Consultancy B.V.;;2;;;;2
Vlaming Decorateur-Restaurateur;;3;;;;3
Vodafone;;5;;;;5
VolkerWessels Integraal B.V.;;6;;;;6
Vollebregt Installatie B.V.;;2;;;;2
Voorberg Bouwkunde B.V.;;5;;;;5
Vos & Creman;;1;;;;1
Voskuil Tenten Service;;1;;;;1
Vriend B.V.;;4;;;;4
VvE 154 woningen Boslaan 85 t/m 393 Den Haag;;;;;2;2
VvE parkeergar. Bezuidenhoutseweg en Boslaan;;;;;3;3
VVE Rinze Koopmanstraat 2 t/m 42 te Rotterdam;;;;;7;7
VVE Verzamelgebouw 't Schip;;3;;;;3
W. Goudkuil Beheer B.V.;;;;;5;5
W. Groothuis B.V.;;;;;2;2
W.F. van Galen Beheer B.V.;;2;;;;2
WA Fokker;;1;;;;1
WAM & van Duren Bouw B.V.;;8;;;;8
Wareco Amsterdam B.V.;;2;;;;2
WAREMA Nederland B.V.;;1;;;;1
Warners Huis & Tuin B.V.;;3;;;;3
Wassink Installatie;;1;;;;1
Water & Wegenbouw B.V.;;5;;;;5
Waterkracht B.V.;;2;;;1;2
Waterval Electro B.V.;;2;;;1;3
Wavin Nederland;;1;;;;1
WCS Teleadvies B.V.;;2;;;;2
Webbers Bouwmanagement B.V.;;2;;;;2
Wegenbouw Veldhoven B.V.;;1;;;;1
Weijers Techniek B.V.;;5;;;;5
Wellzijn Rekreatiebouw;;2;;;;2
Werkplaats erfgoed;;2;;;;2
WEWO EUROPE B.V.;;;;1;;1
WHR Installatie-adviseurs Breda B.V.;;;;;1;1
Wilhelminaplein (Rotterdam) B.V.;;;;;7;7
Willems technisch adviesbureau;;3;;;;3
Wilms Den Helder B.V.;;5;;;2;5
WINCKERS BouwConsult B.V.;;1;;;;1
WING Process Consultancy B.V.;;1;;;;1
Witteveen+Bos;;5;;;3;5
WKO Assist;;2;;;;2
Wolter & Dros Groningen;;4;;;;4
Wolter & Dros Safety Partners;;6;;;;6
Wolter & Dros Terneuzen;;5;;;2;5
Wouter Vanstiphout Architectural Historian;;1;;;;1
WPC Jacob 18-16 B.V.;;;;;7;7
WTRD Technoservice;;6;;;;6
Xam-Xam B.V.;;;;;4;4
Xerox (Nederland) B.V.;;1;;;;1
YNNO B.V.;;5;;;;5
Zandexpl. Mij. De Vries en Van de Wiel B.V.;;3;;;3;4
Zantingh Energy Services B.V.;;1;;;;1
Zeehaven IJmuiden N.V.;;;;;2;2
Zegwaard Rioolbeheer B.V.;;1;;;;1
Zenber interieur - architectuur B.V.;;2;;;;2
Ziggo B.V.;;1;;;;1
ZIUT B.V.;;7;;;2;7
Znd Dakbedekking B.V.;;3;;;;3
Zonneveld ingenieurs B.V.;;5;;;;5
'Zoppi' Koperbewerking;;2;;;;2
Zuiderpoort Café B.V.;;;;;2;2
Zurich Leven;;;;;8;8
ZVS Eemnes B.V.;;4;;;;4
Zwart Techniek B.V.;;1;;;1;1
Jan Altenburg, Management & Advies;;2;;;;2
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;3;;;;3
Van den Oever Zaaijer & Partners Architecten;;2;;;;2
Eindtotaal;1;13;8;7;13;13
