ELEMENTNUMMER,SRT_NAAM,Nederlandse naam,HOOGTE,DIAMETER,AANLEGJAAR,STANDPLAATS,BOOMVORM,EIGENDOM,EINDBEELD,STATUS,COORD_X,COORD_Y,longitude,latitude
"01-03-051-0250","Platanus x hispanica","plataan","16","55","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105696.612","424771.949","4.67260943604925","51.8103414929879"
"01-03-051-0220","Platanus x hispanica","plataan","16","45","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105695.74","424794.631","4.67259355654601","51.810545301264"
"01-03-051-0210","Platanus x hispanica","plataan","17","55","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105696.906","424805.466","4.67260892055214","51.8106427986241"
"01-03-051-0200","Platanus x hispanica","plataan","16","55","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105696.24","424816.916","4.67259762982959","51.8107456622173"
"01-03-051-0130","Platanus x hispanica","plataan","14","40","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105656.78","424864.19","4.67201864685339","51.8111671126006"
"01-05-576-0210","Tilia x europaea","Hollandse linde","9","25","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105875.458","424948.018","4.67517796971477","51.8119399311989"
"01-05-576-0150","Tilia x europaea","Hollandse linde","9","20","1990","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105914.733","425019.338","4.6757374141919","51.8125844743158"
"01-05-576-0170","Tilia x europaea","Hollandse linde","7","15","2003","VERHARDING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","105891.432","424985.752","4.67540426660443","51.8122805234872"
"01-03-391-0040","Quercus robur","zomereik","7","10","2000","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105910.504","424850.004","4.67570012533864","51.8110619803067"
"01-03-391-0050","Quercus robur","zomereik","7","10","2000","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105904.673","424841.337","4.67561678920886","51.8109835611361"
"01-03-051-0110","Platanus x hispanica","plataan","15","55","1970","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst","105652.437","424874.314","4.67195422054121","51.8112577316374"
"01-05-311-0050","Prunus cerasifera 'Nigra'","Kerspruim","7","15","1985","VERHARDING","","Gemeente Dordrecht","Takvrije stam 2m rondom","Bomenlijst","105823.2","425011.934","4.67441102897067","51.8125098587995"
"01-05-311-0040","Prunus cerasifera 'Nigra'","Kerspruim","7","15","1985","VERHARDING","","Gemeente Dordrecht","Takvrije stam 2m rondom","Bomenlijst","105818.881","425016.172","4.67434779084159","51.8125475728183"
"01-05-311-0020","Robinia pseudoacacia 'Pyramidalis'","","15","20","1994","VERHARDING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105813.031","425033.822","4.67426044156753","51.8127057104121"
"01-05-311-0010","Robinia pseudoacacia 'Pyramidalis'","","15","20","1994","VERHARDING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105803.11","425041.398","4.67411548594394","51.8127729351209"
"01-05-371-0040","Pyrus calleryana 'Chanticleer'","","5","10","2004","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105771.948","425035.059","4.67366446625477","51.8127132055049"
"01-05-371-0070","Pyrus calleryana 'Chanticleer'","","5","10","2004","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105791.388","425051.79","4.67394400605408","51.8128653126653"
"01-03-191-0710","Tilia x europaea","Hollandse linde","15","35","1970","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst en -structuur","104693.882","424909.05","4.65804836798684","51.8114843486088"
