Leveranciersnaam;9410 - Lokale belastingen - waterschapslasten;9520 - BZK Specifiek;9560 - I&M specifiek;Eindtotaal
Anoniem 719;;;4;4
Anoniem 721;;;4;4
Anoniem 722;;;1;1
Anoniem 723;;;1;1
Anoniem 724;;;2;2
Anoniem 73;;;1;1
Anoniem 735;;;1;1
Anoniem 736;;;1;1
Anoniem 737;;;1;1
Anoniem 738;;;2;2
Anoniem 742;;;5;5
Anoniem 743;;;1;1
Anoniem 744;;;1;1
Anoniem 745;;;1;1
Anoniem 746;;;2;2
Anoniem 750;;;7;7
Anoniem 751;;;2;2
Anoniem 752;;;2;2
Anoniem 753;;;1;1
Anoniem 754;;;1;1
Anoniem 755;;;1;1
Anoniem 756;;;2;2
Anoniem 758;;;2;2
Anoniem 764;;;1;1
Anoniem 767;;;2;2
Anoniem 768;;;9;9
Anoniem 770;;;1;1
Anoniem 772;;;2;2
Anoniem 778;;;1;1
Anoniem 779;;;1;1
Anoniem 783;;;1;1
Anoniem 788;;;2;2
Anoniem 792;;;2;2
Anoniem 796;;;4;4
Anoniem 798;;;2;2
Anoniem 8;;;3;3
Anoniem 80;;;1;1
Anoniem 800;;;1;1
Anoniem 804;;;2;2
Anoniem 806;;;2;2
Anoniem 808;;;1;1
Anoniem 809;;;2;2
Anoniem 810;;;1;1
Anoniem 812;;;2;2
Anoniem 815;;;3;3
Anoniem 816;;;1;1
Anoniem 818;;;2;2
Anoniem 821;;;2;2
Anoniem 823;;;1;1
Anoniem 825;;;1;1
Anoniem 826;;;2;2
Anoniem 830;;;1;1
Anoniem 831;;;1;1
Anoniem 837;;;1;1
Anoniem 840;;;2;2
Anoniem 842;;;2;2
Anoniem 848;;;1;1
Anoniem 852;;;1;1
Anoniem 854;;;1;1
Anoniem 856;;;2;2
Anoniem 857;;;2;2
Anoniem 859;;;2;2
Anoniem 860;;;1;1
Anoniem 868;;;2;2
Anoniem 869;;;1;1
Anoniem 87;;;1;1
Anoniem 873;;;2;2
Anoniem 874;;;3;3
Anoniem 877;;;1;1
Anoniem 880;;;1;1
Anoniem 881;;;2;2
Anoniem 883;;;2;2
Anoniem 884;;;2;2
Anoniem 887;;;1;1
Anoniem 888;;;1;1
Anoniem 89;;;9;9
Anoniem 890;;;2;2
Anoniem 897;;;3;3
Anoniem 90;;;2;2
Anoniem 905;;;2;2
Anoniem 907;;;1;1
Anoniem 91;;;2;2
Anoniem 912;;;3;3
Anoniem 914;;;1;1
Anoniem 922;;;3;3
Anoniem 923;;;1;1
Anoniem 928;;;3;3
Anoniem 933;;;2;2
Anoniem 935;;;1;1
Anoniem 937;;;3;3
Anoniem 940;;;10;10
Anoniem 941;;;1;1
Anoniem 942;;;1;1
Anoniem 947;;;2;2
Anoniem 95;;;4;4
Anoniem 950;;;1;1
Anoniem 951;;;7;7
Anoniem 955;;;2;2
Anoniem 96;;;2;2
Anoniem 961;;;1;1
Anoniem 963;;;1;1
Anoniem 965;;;2;2
Anoniem 966;;;2;2
Anoniem 967;;;1;1
Anoniem 968;;;1;1
Anoniem 970;;;2;2
Anoniem 972;;;1;1
Anoniem 973;;;1;1
Anoniem 974;;;3;3
Anoniem 976;;;8;8
Anoniem 977;;;1;1
Anoniem 978;;;1;1
Anoniem 98;;;12;12
Anoniem 980;;;6;6
Anoniem 984;;;1;1
Anoniem 985;;;9;9
Anoniem 986;;;5;5
Anoniem 987;;;1;1
Anoniem 99;;;1;1
Anoniem 990;;;1;1
Anoniem 991;;;3;3
Anoniem 994;;;1;1
Anoniem 995;;;1;1
Anoniem 999;;;1;1
ANP Photo;;;1;1
ANS Verkeer & Ruimte B.V.;;;2;2
ANSINGER B.V.;;;5;5
Antargaz Nederland B.V.;;;1;1
Antea Inspection B.V.;;;9;9
Antea Nederland B.V.;;;9;9
Anthony Fudge & Associates;;;1;1
Antropia B.V.;;;2;2
ANWB B.V.;;;5;5
Aon Global Risk Consulting B.V.;;;2;2
AON Ned. Makel. in Assurant.-Risico-Adviser.;1;;;1
Ap Keizer Reinigingstechnieken V.O.F.;;;1;1
Ap-Art;;;2;2
Apartt Rotterdam Horeca B.V.;;;1;1
Apollo Journey;;;3;3
Apollo13;;;3;3
Appel B.V.;;;1;1
Appeltje+P B.V.;;;1;1
Appia Quality Projects B.V.;;;4;4
APPLIED SCIENCE ASSOCIATES INC. DB;;;1;1
APPM Management Consultants B.V.;;;5;5
APPMA Projectmanagement en Advies;;;2;2
Aqua Technics Benelux;;;2;2
Aqua Vision B.V.;;;7;7
Aquagis B.V.;;;4;4
Aqualab Zuid B.V.;;;3;3
Aqualectra B.V.;;;1;1
Aquanoom B.V.;;;4;4
Aquasurvey;;;1;1
AquaTerra-KuiperBurger;;;6;6
AquaTerra-KuiperBurger (ATKB);;;6;6
Aquatic Drones B.V.;;;4;4
Aquatuur B.V.;;;4;4
Aquifer Advies B.V.;;;4;4
A-Quin B.V.;;;2;2
Aquirius B.V.;;;3;3
AR Benelux;;;1;1
ARA Adviesburo B.V.;;;3;3
ARA Groep B.V.;;;5;5
Aracor Holding B.V.;;;4;4
Arad;;;1;1
ARAG SE Nederland;;;1;1
Aram Planning Consultants B.V.;;;4;4
Arane adviseurs in verkeer en vervoer B.V.;;;5;5
Aranea Grafimedia B.V.;;;1;1
Arbo Aanzet;;;5;5
Arbo Inspectie Dienst B.V.;;;1;1
Arbo Unie B.V.;;;4;4
Arboats;;;1;1
ARCADIS Nederland;;;7;7
ARCADIS Nederland B.V.;;;10;10
Arcadis Planrealisatie B.V.;;;4;4
Arch.- & Konstruktieburo Van Rossum V.O.F.;;;2;2
Architectural Bim;;;1;1
architectuurstudio KRAMER;;;1;1
Architektenburo K. van Velsen B.V.;;;6;6
ArchiXL B.V.;;;2;2
Arco de Visser B.V.;;;1;1
Ardis Opleidingen B.V.;;;1;1
Ardytectuur;;;2;2
Arfman Hekwerk B.V.;;;2;2
Argenta Consult;;;2;2
Argentijns Grill Restaurant Rancho Bravo;;;1;1
Aride interactieve communicatie;;;1;1
Arie Kok Catering-Partyverhuur B.V.;;;1;1
Aristo Utrecht B.V.;;;1;1
Arlamar;;;1;1
Arlanet B.V.;;;2;2
Armada Mobility B.V.;;;1;1
ARMAEX B.V.;;;2;2
Armiz;;;3;3
Arnage Horeca B.V.;;;1;1
Arriva Personenvervoer Nederland B.V.;;;1;1
ARS Traffic & Transport Technology B.V.;;;9;9
Art Centre Delft;;;2;2
art of change B.V.;;;2;2
Art2Wall;;;1;1
ARTeFACT! Advies en Onderzoek in Erfgoed;;;2;2
Artemisia;;;1;1
Arthe Civil & Structure B.V.;;;2;2
Artiestenverloningen B.V.;;;1;1
Artige B.V.;;;1;1
Artihove Regina B.V.;;;1;1
Artisanis;;;2;2
Artium Experts Rotterdam B.V.;;;2;2
Arup B.V.;;;7;7
Arup-Nebest;;;7;7
ASB Security B.V.;;;2;2
Asbestzoeken B.V.;;;1;1
Asem;;;1;1
ASI Security Nederland B.V.;;;1;1
Asito Twente B.V.;;;1;1
Aspentech;;;4;4
ASSA ABLOY Nederland B.V.;;;2;2
Assembl3d B.V.;;;2;2
Assemblee Sprekersbureau B.V.;;;1;1
Asset Manag. Control Tools & Training B.V.;;;2;2
Asterisa;;;2;2
Astoria B.V.;;;1;1
ASU FEDERAL CASH DEPOSIT;;;7;7
Asya B.V.;;;1;1
At Osborne B.V.;;;7;7
ATAB Civiele Techniek B.V.;;;1;1
Atelier de Pleijsterplaats;;;1;1
Atelier Heuvel;;;2;2
Ateno;;;2;2
Athenas B.V.;;;1;1
Athlon Car Lease Rental Services B.V.;;;1;1
Atlantic Hotel Exploitatie B.V.;;;1;1
Atlas Landkaartenbedrijf;;;2;2
Atlas Reizen B.V.;;;1;1
Atlas Services Group Dredging B.V.;;;3;3
Atos Nederland B.V.;;;4;4
ATP Specials B.V.;;;1;1
Attentie Attentie;;;2;2
Attractie Verhuur Moonen B.V.;;;1;1
Auberge Des Moules B.V.;;;1;1
Auto Courier Europe B.V.;;;1;1
Auto- en Scheepssloperij Treffers B.V.;;;2;2
Autobedrijf van den Udenhout B.V.;;;1;1
Autobedrijf Wassenaar Leeuwarden B.V.;;;3;3
Automation4B B.V.;;;4;4
AutomotiveNL B.V.;;;3;3
Autoverhuur Rijnmond B.V.;;;1;1
Auxilium B.V.;;;2;2
AVA Management, Consulting & Engineering B.V.;;;4;4
Avance Maastricht B.V.;;;4;4
Avangate B.V.;;;1;1
Avcommit B.V.;;;3;3
Aveco De Bondt;;;7;7
Avenue2 Infra;;;8;8
Avetica B.V.;;;1;1
Avex B.V.;;;5;5
A-Vier Producties;;;1;1
Aviste B.V.;;;2;2
Aviv B.V.;;;1;1
Awareness B.V.;;;3;3
AXA;;;1;1
AxelConsultancy;;;1;1
Axent Notarissen;;;10;10
Axians;;;4;4
Axiell ALM Netherlands B.V.;;;1;1
AXLE Focused;;;2;2
Axle Projects B.V.;;;1;1
Axxicom Airport Caddy B.V.;;;1;1
Azerty;;;1;1
B & D Natuuradvies;;;2;2
B en P V.O.F.;;;1;1
B&G Hekwerk B.V;;;2;2
B&I Advies;;;2;2
B.&A. Services B.V.;;;4;4
B.J. Bink Beheer B.V.;;;3;3
B.S.I. Beheer B.V.;;;1;1
B.V. Aannemersbedrijf B. van Hees en Zonen;;;5;5
B.V. Aannemingsbedrijf De Klerk;;;9;9
B.V. Aannemingsmij. De Branding, v/h J. Stolk;;;1;1
B.V. Algemeen Nederlands Persbureau ANP;;;2;2
B.V. Boek & Offermans Taxaties;;;1;1
B.V. Bouwmaatschappij 'Hendriks';;;5;5
B.V. Brouwerij Kleiburg;;;1;1
B.V. Cartografisch Instituut 'Cito-Plan';;;2;2
B.V. 'Esbi';;;2;2
B.V. HAEVER!;;;4;4
B.V. Ingenieursbureau Ir. K. Boorsma;;;5;5
B.V. Kraanbedrijf BKF;;;1;1
B.V. Kwadraat Technische Advisering;;;2;2
B.V. Landzicht Vreeland;;;1;1
B.V. Nederlands Wegen Markeerbedrijf;;;2;2
B.V. Perscentrum Nieuwspoort;;;1;1
B.V. Recreatiemaatschappij Rivierengebied;;;2;2
B.V. Rederij G. Doeksen en Zonen;;;2;2
B.V. Steenfabriek Huissenswaard;;;3;3
B.V. Touringcarbedrijf E.D.A.D.;;;1;1
B.V. Twentsche Kabelfabriek;;;4;4
B20 ASSESSMENT;;;2;2
Baac Bur. Bouwh. Archeol. Archit.&Cult.hist.;;;4;4
Baarends & Bak Catering;;;1;1
Baart Advies;;;3;3
Bachu Projects;;;2;2
Bacoadviesbureau;;;3;3
Badhotel Bruin;;;1;1
badjasparadijs.nl;;;1;1
Baek Food & Drinks;;;1;1
Bagels & Beans Vivaldi;;;1;1
Bagger & Waterwerken Oosterwolde B.V.;;;6;6
Bagger- en Aannem.maatsch. Van der Kamp B.V.;;;9;9
Baggerbedrijf De Boer;;;3;3
Baker Tilly Berk Breda;1;;2;2
Bakerware B.V.;;;2;2
Bakker Ammerlaan Bleiswijk B.V.;;;1;1
Bakker in Vorden;;;1;1
Bakker Installaties V.O.F.;;;2;2
Bakker Rijkenberg;;;1;1
Bakker Sliedrecht Electro Industrie B.V.;;;7;7
Bakker Wim;;;1;1
Bakkerij Andringa;;;1;1
Bakkerij Bongaards V.O.F.;;;1;1
Bakkerij de Bruijne V.O.F.;;;1;1
Bakkerij Fa. D. Dekker;;;1;1
Bakkerij Hilvers B.V.;;;1;1
Bakkerij Hirdes;;;1;1
Bakkerij Jan Schrieks B.V.;;;1;1
Bakkerij Jeroen Luijten;;;1;1
Bakkerij Marathon;;;1;1
Bakkerij Nollen;;;1;1
Bakkerij Out B.V.;;;1;1
Bakkerij Paulissen;;;1;1
Bakkerij Risseeuw B.V.;;;1;1
Bakkerij van Kol;;;1;1
Bakkerij Vink Haarlem B.V.;;;1;1
BakkerRijk;;;1;1
Balance Ervaring op Projectbasis B.V.;;;8;8
Balance Financieel Management;;;4;4
Balance2People;;;5;5
Balans & Impuls B.V.;;;1;1
Ballast Nedam Engineering B.V.;;;2;2
Ballast Nedam Infra B.V.;;;7;7
Ballast Nedam Infra Specialiteiten B.V.;;;7;7
Ballast Nedam Specialistisch Grondverzet B.V.;;;4;4
Ballering Tankstation;;;3;3
Ballorig Gaasperplas B.V.;;;2;2
Balthazar Communicatie en Evenementen;;;1;1
BAM Accommodatie Asset Management B.V.;;;4;4
BAM Bouw en Techniek B.V.;;;7;7
BAM Infra Industrie;;;8;8
BAM Infra Regio Civiel, vestiging Drachten;;;8;8
BAM Infra Regio Noordoost Wegen;;;8;8
BAM Infra Regionaal Den Haag;;;1;1
BAM Infra Regionaal Gouda;;;9;9
BAM Infra Telecom B.V.;;;7;7
BAM Infraconsult B.V.;;;3;3
BAM PPP Nederland B.V.;;;9;9
BAM Wegen Materieel B.V.;;;11;11
Bandra Beheer B.V.;;;1;1
Bandsma-Bultje Verhuizingen B.V.;;;1;1
Banketbakkerij Boheemen;;;1;1
Banketbakkerij en Chocolaterie Wesseling B.V.;;;1;1
Banketbakkerij H.F. Borsboom;;;1;1
Banketbakkerij Herfst;;;1;1
Banketbakkerij Jan Ekkelenkamp;;;1;1
Banketbakkerij Jansen-de Koning;;;1;1
Banketbakkerij Kamphorst B.V.;;;1;1
Banketbakkerij Maison Kelder B.V.;;;1;1
Banketbakkerij Nijstad;;;1;1
Banketbakkerij Theo Bijman;;;1;1
Banketbakkerij Theo Blom V.O.F.;;;1;1
Banketbakkerij van Beek & Specker B.V.;;;1;1
Banketbakkerij Verspeek;;;1;1
Banketbakkerij, Chocolaterie Van Ingen;;;1;1
Banketbakkerij-Chocolaterie Looijenga B.V.;;;1;1
Bar Bistro 'Pieke Potloed';;;1;1
Bar Petit Restaurant de Pelikaan;;;1;1
Barbarossa Beach B.V.;;;1;1
BARBIERGIDSEN;;;1;1
Barista Company B.V.;;;1;1
Barista Service Nederland;;;1;1
Barthen Exploitatie Maatschappij B.V.;;;1;1
Bartmanz;;;1;1
Bartolomeus Productions;;;1;1
BAS Consultancy B.V.;;;5;5
Base Media;;;1;1
Basso Exploitatie B.V.;;;1;1
Bastion Hotel Leiden B.V.;;;1;1
Bastion Hotel Utrecht B.V.;;;1;1
BASZELF;;;2;2
Batavia;;;1;1
Batec B.V.;;;4;4
Baten & Partners B.V.;;;6;6
Batterij Import Nederland B.V.;;;2;2
Bauhaus Artitech B.V.;;;2;2
BB Catering;;;1;1
BBA Binnenmilieu B.V.;;;2;2
BC & O Advies B.V.;;;2;2
BCN B.V.;;;1;1
BCS Europe B.V.;;;2;2
BCT Landgraaf B.V.;;;2;2
BdBProjectmanagement B.V.;;;3;3
BDG Nederland B.V.;;;2;2
BDO Accountants & Belastingadviseurs B.V.;;;1;1
BDS Harlingen B.V.;;;7;7
BDUvakmedia B.V.;;;1;1
BE Engineering;;;2;2
Beauforthuis Exploitatie B.V.;;;1;1
Bedr.verzorg. Onderaannem. van Sommeren B.V.;;;2;2
Bedrijfscatering Jan Vendrig;;;1;1
Beek Container Groep Nederland B.V.;;;2;2
Beekman Transport Logistics B.V.;;;1;1
Beenen B.V.;;;6;6
Befreelancer;;;1;1
Behartiging Opleidingen Bouwnijverheid B.V.;;;2;2
Beheer Civiel B.V.;;;3;3
Beide-Handen;;;1;1
Beijer Automotive B.V.;;;4;4
Bejo druk & print;;;1;1
Bekke Recycling B.V.;;;2;2
Bekwaam Interim Management B.V.;;;6;6
Belast./financieel adviespraktijk Mellendijk;;;4;4
belevenisonderwijs;;;1;1
Belgian Beer Cafe Belv�d�re;;;1;1
Belgisch BiercafÃ© Olivier B.V.;;;1;1
Belien Beheer B.V.;;;2;2
Belmont Innovations & Sustainability B.V.;;;2;2
BE-MOBILE NV;;;7;7
Bencs Advocaten B.V.;;;7;7
Benegas;;;3;3
Benelec B.V.;;;2;2
BENELUX MERKENBUR;;;1;1
Benfried B.V.;;;1;1
Benjamins & Benjamins;;;4;4
Benk Projects B.V.;;;5;5
Benner Publiek Private Horeca B.V.;;;1;1
BENTLEY SYSTEMS INTERNATIONAL;;;2;2
Bento Presentaties;;;1;1
Bentum Nijboer Notarissen;;;4;4
Bentvelzen en Jacobs Demontage B.V.;;;5;5
Berenschot B.V.;;;6;6
Berenschot Groep B.V.;;;6;6
Bergenwerkt facility en safety engineers;;;2;2
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;1;1
Bergnet;;;4;4
Bergsche Plas Exploitatie B.V.;;;1;1
Bergslot B.V.;;;1;1
Bergwerff Dienstverlening;;;2;2
Berkx maatwerk voor woning en bedrijf;;;1;1
BermBeveiliging Nederland B.V.;;;2;2
Berry's Bloemenshop;;;1;1
Bert Hellinger Instituut Nederland;;;1;1
Bert Kuizenga Media Producties;;;1;1
Bert ter Avest, Vormg. overheidsparticipatie;;;4;4
BESIX GROUP;;;7;7
Besseling Travel B.V.;;;1;1
Best Solution;;;2;2
Best Trucks Oude Tonge B.V.;;;1;1
Best Value Consulting;;;5;5
Best Value Group B.V.;;;4;4
Best Value Nederland;;;2;2
Betonvereniging';;;4;4
Better Future B.V.;;;1;1
Between B.V.;;;9;9
Beudeker Makelaars;;;4;4
Beuk Touringcars;;;2;2
Bever B.V.;;;1;1
Bex*communicatie;;;3;3
BG Engineering B.V.;;;3;3
BHVNederland;;;1;1
BIConsult B.V.;;;3;3
Bierbrouwerij De Koningshoeven B.V.;;;1;1
Bierfabriek Delft B.V.;;;1;1
Bierman Henket architecten B.V.;;;2;2
BIG SHOTS B.V.;;;2;2
Bij Aaltje aan de Linie;;;1;1
Bij Negen Heino;;;1;1
Bij Teus;;;1;1
Bijl Opleiding en Advies;;;2;2
Bijnsdorp Communicatie Projecten B.V.;;;4;4
Bilderberg Europa Hotel Scheveningen;;;1;1
BILDNG B.V.;;;2;2
Bilfinger Tebodin B.V.;;;3;3
Bilfinger Tebodin Netherlands B.V.;;;2;2
Biljoen Groen Velp N.V.;;;1;1
Billy's Eerlijke Keuken;;;1;1
Bind Community Building;;;1;1
Bioclear earth B.V.;;;4;4
Biolab Research & Solutions B.V.;;;1;1
Biologische Catering Twente;;;1;1
BIOPOP;;;5;5
BIRD Invest B.V.;;;2;2
Bisnez Management B.V.;;;3;3
Bistro 'La Route';;;1;1
Bistro Lelystad;;;1;1
Bistronome Des Arts;;;1;1
BjÃ¸rke.nl;;;2;2
BJOND B.V.B.A.;;;1;1
BK Bouw- en Milieuadvies B.V.;;;2;2
BK Ingenieurs B.V.;;;1;1
BK Ruimte & Milieu;;;2;2
Blaauwendraat Landschapsverzorging;;;2;2
BLAUD B.V.;;;2;2
Blauw Research B.V.;;;2;2
Blitta B.V.;;;2;2
Bloembinderij De Korenschoof;;;1;1
Bloemen van 'Van Haeren';;;1;1
Bloemenboetiek Panhuis;;;1;1
Bloemenboutique Fonville;;;1;1
Bloemenhandel 't Laar;;;1;1
Bloemenhuis De Narcis;;;1;1
Bloemenmagazijn Johan;;;1;1
Bloemsierkunst 'De Linde';;;1;1
Bloemsierkunst Futura;;;1;1
Bloemsierkunst W. Klandermans;;;1;1
Blonk Film;;;1;1
BLUE MEN RECLAME;;;1;1
BlueCity010 B.V.;;;1;1
Blueconomy B.V.;;;3;3
Blueland Consultancy B.V.;;;3;3
Bluestar Onderhoud-Renovatie-Beveiliging;;;1;1
Blyco Linnenkamer;;;2;2
BMC Advies B.V.;;;2;2
BMM Groen B.V.;;;1;1
BMS WIJNDEPOT NV;;;1;1
BMW Amsterdam;;;1;1
BNRA Gladheid;;;7;7
BoÃ«tzel Betonboor & Zaagtechniek;;;1;1
BOARD OF INNOVATION BVBA;;;2;2
BOB Infra;;;4;4
Bodac B.V.;;;3;3
Bodemkundig Adviesbureau Edelman B.V.;;;1;1
Bodhi Yoga en Mindfulness;;;1;1
Boegschroef Exploitatie B.V.;;;1;1
Boeketcadeau.nl;;;1;1
Boekhandel De Koperen Tuin;;;1;1
Boekhandel Huyser B.V.;;;1;1
Boekhandel Waanders B.V.;;;1;1
Boels Verhuur;;;2;2
Boerderij De Middenhof Nieuwegein;;;1;1
Boerderij Restaurant De Lickebaertshoeve;;;1;1
Bohms Beheer;;;2;2
Bokaal B.V.;;;1;1
bol.com B.V.;;;1;1
Bolster Group B.V.;;;4;4
Bombs Away B.V.;;;2;2
Bomen Centrum Nederland B.V.;;;2;2
Bomendienst;;;1;1
Bonaire Port en Sea Services;;;1;1
BONN AGREEMENT;;;2;2
BonoTraffics B.V.;;;5;5
Bontekoe Produkties V.O.F.;;;1;1
BooijPuntCom;;;2;2
Boomontzorging;;;2;2
Boosty I B.V.;;;1;1
BOOT organiserend ingenieursburo B.V.;;;2;2
Bootservice Leeuwen;;;1;1
BosBoon Expertise Eindhoven B.V.;;;1;1
Bosch & Van Rijn B.V.;;;1;1
Bosch en Slabbers Den Haag B.V.;;;2;2
Bosch Rexroth B.V.;;;7;7
Boskalis Nederland B.V.;;;12;12
Boskalis Nederland Infra B.V.;;;7;7
Bossers & Cnossen B.V.;;;1;1
Bostec;;;5;5
Bosters Waterbouw & Hydrologie;;;2;2
Bosveld Gerechtsdeurwaarders & Incasso's;;;1;1
Boudewijns Bodem Breed;;;5;5
Bouhof B.V.;;;1;1
Bouman Coaching & Therapie;;;1;1
Bouwbedrijf A.H. Visser en Zn. B.V.;;;1;1
Bouwbedrijf Bos Terschelling B.V.;;;1;1
Bouwbedrijf De Witte B.V.;;;4;4
Bouwbedrijf Meliskerke B.V.;;;2;2
Bouwbedrijf Quant Zierikzee B.V.;;;1;1
Bouwend Nederland;;;2;2
BouwenisCommuniceren;;;3;3
Bouwkund. Tekenbureau en Advies Jouke Miedema;;;1;1
Bouwkundige Begeleidings Adviesgroep B.V.;;;2;2
Bouwman en Van Goudswaard B.V.;;;1;1
BouwQ B.V.;;;5;5
Bouwra ICT B.V.;;;2;2
Bouwselect B.V.;;;3;3
Bouwservice Management Nederland B.V.;;;4;4
Bouwvisie Geo Techniek B.V.;;;9;9
Bovag Service B.V.;;;1;1
Bovenkamers;;;1;1
Bovenregionaal kantoor;;;7;7
Bowling Administratie;;;1;1
Bowling Huizen;;;1;1
Bowling-Restaurant Uitgeest;;;1;1
Braai-Tapperij 'De Mug';;;1;1
Brabant Water N.V.;;;4;4
Brabanthallen;;;1;1
Braining B.V.;;;5;5
BrainStax B.V.;;;1;1
Brainworks;;;1;1
Bram Stolk Foodservice;;;1;1
Bramer Advies;;;4;4
Branchever. Recycling Breken en Sorteren;;;1;1
Brand MKRS creative agency;;;3;3
Brandsing Meubelmakers;;;2;2
Brasserie Beeckestijn;;;1;1
Brasserie de Altena;;;1;1
Brasserie De Bank;;;1;1
Brasserie de Berk B.V.;;;1;1
Brasserie De Boerderij;;;1;1
Brasserie De Hoge Dijk B.V.;;;2;2
Brasserie de Houtrib;;;1;1
Brasserie Dichtbij;;;1;1
Brasserie Fine;;;1;1
Brasserie Ome Bernard B.V.;;;1;1
Brasserie Paardenburg B.V.;;;1;1
Brasserie Spiegelaar;;;1;1
Brasserie Vrienden;;;1;1
Brasserie Waalhaven;;;1;1
Brasserie Westbeer;;;1;1
Braveheart Shipping B.V.;;;2;2
Bre-Ad B.V.;;;3;3
Break Free Fun Company;;;1;1
Bredenoord B.V.;;;2;2
Breedband Helmond B.V.;;;1;1
Breijer Contractonderhoud B.V.;;;6;6
Brem Funderingsexpertise;;;4;4
Bremer Engineering;;;1;1
Bressers Metaal B.V.;;;2;2
Breur IJzerhandel Vlietlaan B.V.;;;1;1
Brian Franken Technieken B.V.;;;5;5
BRICSYS SERVICES N.V.;;;1;1
Bright Events;;;1;1
Brimos Borden B.V.;;;1;1
BRL Leiden B.V.;;;2;2
BRO;;;4;4
Broeks Events B.V.;;;1;1
Broers;;;1;1
Bron 12;;;2;2
Bronsonn B.V.;;;4;4
Brood & Banketbakkerij Prins B.V.;;;1;1
Brood- en Banketbakkerij Hoeve V.O.F.;;;1;1
Brood- en Banketbakkerij Sterk B.V.;;;1;1
Broodje Lucullus;;;1;1
Broodjenodig;;;1;1
Broodjesbar Bocadillo;;;1;1
Broodjestijd B.V.;;;1;1
Brouwer Communiceert;;;4;4
Bruggers Business Consulting;;;2;2
Bruining Advies;;;1;1
Bruisten GWW B.V.;;;3;3
Brunel Nederland B.V.;;;5;5
Bruxelles aan Zee B.V.;;;2;2
BS Financial Consultancy;;;5;5
BS Reklame B.V.;;;1;1
Bsb Staalbouw B.V.;;;4;4
BSDV;;;4;4
BT NEDERLAND N.V.;;;7;7
BTD Beveiligingstechniek Dordrecht B.V.;;;1;1
BTL Advies B.V.;;;5;5
BTL Realisatie B.V.;;;7;7
BTMpartners B.V.;;;1;1
BTN B.V.;;;4;4
BTS;;;4;4
Bubbles & Bites;;;1;1
BUCK CONS INT;;;1;1
Buck Consultants International B.V.;;;5;5
Bucky's Catering;;;1;1
BUCON B.V.;;;7;7
Budget Rent a Car;;;1;1
Building Bits B.V.;;;5;5
BUILDINGSMART INTERNATIONAL LTD.;;;2;2
Buiten organisatieadvies;;;1;1
BuitenBusiness B.V.;;;1;1
Buitengoed Fredeshiem;;;1;1
Buitengoed Uylenburg B.V.;;;2;2
Buitenlandse Persvereniging in Nederland;;;1;1
Buitenpoort Catering B.V.;;;1;1
BuitensociÃ«teit Deventer sedert 1865;;;1;1
Buitink Zeilmakerij Duiven B.V.;;;1;1
Buko Infrasupport B.V.;;;1;1
BULLCHES FURNITURE;;;1;1
Bulle's Mannenmode;;;1;1
Bullit House;;;1;1
Buma-PMB;;;4;4
BUNDESVEREINIGUNG LOGISTIK OSTERREI;;;1;1
Bur. B + B Stedeb. en Landschapsarch. B.V.;;;2;2
bur. VERBEEK landsch.arch./ecol./sted. ontw.;;;5;5
Burdock Bouw en Infra B.V.;;;4;4
Bureau Beeldtaal, filmmakers;;;1;1
Bureau Bram;;;2;2
BUREAU BRUSSELS;;;2;2
Bureau De Bont B.V.;;;4;4
Bureau Drift;;;3;3
Bureau JJV;;;3;3
Bureau Karin de Lange B.V.;;;2;2
Bureau Kundig;;;4;4
Bureau Landwijzer;;;3;3
Bureau Mozaiek;;;2;2
Bureau Onderweg;;;2;2
Bureau Op Stand Grafische Vormgeving;;;2;2
bureau Ruimtewerk;;;5;5
Bureau Schoonebeek V.O.F.;;;1;1
Bureau Servest;;;1;1
Bureau voor Beeldzaken;;;1;1
Bureau voor Landmeetkunde De Winter;;;2;2
Bureau voor Overheidscommunicatie B.V.;;;4;4
Bureau Waardenburg B.V.;;;7;7
Bureau Zuidema B.V.;;;2;2
bureauMK Events en Projecten;;;1;1
Bureautaal B.V.;;;1;1
Buren Systems International B.V.;;;3;3
Burger Coaching & Advies;;;3;3
Burgers Arneym B.V.;;;1;1
Burghouwt Bouwbeslag B.V.;;;1;1
Burgraadt Gebouwen B.V.;;;1;1
Buro Blauw B.V.;;;2;2
Buro C5;;;3;3
Buro De Steeg B.V.;;;1;1
Buro Duo-Advies;;;5;5
Buro Hemmen;;;4;4
Buro Informatie Management Winkels;;;2;2
Buro Nienhuis;;;2;2
Buro Ruimte & Groen;;;2;2
Buro XYZ;;;2;2
BURO2010 B.V.;;;2;2
BURO38;;;2;2
Busé Communications;;;3;3
Buschman Consultancy B.V.;;;1;1
Business Food Party Productions B.V.;;;1;1
Buts Technical Consultancy;;;5;5
Buurt Den Bosch;;;1;1
Buurt- en Belangenvereniging 'Westersluis';;;1;1
Buyitdirect.com N.V.;;;3;3
BuzzMaster B.V.;;;1;1
bVa Holding B.V.;;;1;1
BVBA BENEDEN;;;1;1
Bvolve B.V.;;;2;2
BVR Advis. Sted. Ontw. en Management B.V.;;;1;1
BWZ Ingenieurs B.V.;;;1;1
Byzonder Ontwerp;;;1;1
BZ Innovatiemanagement B.V.;;;3;3
C&T Communicatie V.O.F.;;;2;2
C. Services Holland B.V.;;;1;1
