titel_dataset;thema_s;restricties_aan_toegang_tot_data;update_frequentie;data_vanaf_jaar;data_tot_en_met_jaar;bevat_historie;afdeling_dataverzameling;geo_aanduiding_aanwezig;type_geo_data;metadata_aanwezig;mag_data_openbaar;beschikbaar_als_open_data;locatie_open_data;url_open_data;naam_open_data_verzameling;beschikbaar_op_andere_wijze;plaats_data_andere_wijze_toegankelijk;url_data_andere_wijze_toegankelijk;beschikbaar_in_andere_vorm;plaats_data_andere_vorm_toegankelijk;url_data_andere_vorm_toegankelijk
Adelijke titel-/ predikatentabel;Bestuur;Intern/extern;Onregelmatig;1992;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;n.v.t.;n.v.t.;Volledig beschikbaar in andere vorm;Via RVIG;https://publicaties.rvig.nl/Landelijke_tabellen/Landelijke_tabellen_32_t_m_61_excl_tabel_35
Agenda sportevenementen en -activiteiten;Cultuur en recreatie;Beperkte groep binnen de organisatie;Continu;2014;;Niet gevuld;RU.ES Eindhoven Sport;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Website Eindhoven Sport;https://eindhovensport.nl/activiteit-kalender
Basis Lijnen Tekstbestand (BLT);Ruimte en infrastructuur;Alle medewerkers;1 x Per maand;2019;;Dataverzameling bevat geen historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/stadskaart-eindhoven-pdf/custom/?disjunctive.filename&sort=-filename&dataChart=eyJxdWVyaWVzIjpbeyJjb25maWciOnsiZGF0YXNldCI6InN0YWRza2FhcnQtZWluZGhvdmVuLXBkZiI;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Basisregistratie Adressen en Gebouwen (BAG);Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Onregelmatig;2005;;Dataverzameling bevat historie;PC.BEL Belastingen;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;www.pdok.nl en bagviewer.kadaster.nl;www.pdok.nl en bagviewer.kadaster.nl;www.pdok.nl en bagviewer.kadaster.nl;Volledig beschikbaar op andere wijze;landelijke site;www.pdok.nl en bagviewer.kadaster.nl;Niet beschikbaar in andere vorm;;
Bebouwde kom Wet natuurbescherming;Natuur en milieu;Beperkte groep binnen de organisatie;1x Per 5 jaar;2019;;Dataverzameling bevat geen historie;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;n.v.t.;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Buurtkijker: leefbaarheid en veerkracht van Eindhovense buurten;Meerdere waarden ingevuld;Alle medewerkers;1 x Per jaar;2009;;Dataverzameling bevat historie;CTRL.OCC.BIO Team Beleidsinformatie & Onderzoek;Geo-aanduiding aanwezig in dataverzameling;Buurt;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Databank Eindhoven in cijfers;https://eindhoven.incijfers.nl/jive/;Databank Eindhoven in cijfers;Volledig beschikbaar op andere wijze;Buurtkijker;https://buurt.eindhoven.nl/app/buurt;Niet beschikbaar in andere vorm;;
Catalogus bibliotheek;Bestuur;Beperkte groep binnen de organisatie;Meerder keren per week;1990;;Dataverzameling bevat historie;FAO.DIVP DIV Post;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Eindhovense sensoren binnen sensorenregister SensRNet;Meerdere waarden ingevuld;Intern/extern;Onregelmatig;2021;;Dataverzameling bevat geen historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;GPS Lat/Lon;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;API SensRNet;https://viewer.sensorenregister.nl/api/#/Sensor/SensorController_registerSensor;SensRNet Backend API;Volledig beschikbaar op andere wijze;Viewer SensRNet;https://viewer.sensorenregister.nl/;Niet beschikbaar in andere vorm;;
Erfgoedkaart: Archeologisch Landschap, Archeologische Vindplaatsen;Cultuur en recreatie;Alle medewerkers;Onregelmatig;2003;2015;Dataverzameling bevat historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/erfgoedkaart-archeologisch-landschap/information/?disjunctive.onderzoektype;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Erfgoedkaart: Historisch Landschap;Cultuur en recreatie;Alle medewerkers;Onregelmatig;2010;2015;Dataverzameling bevat historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/gebied-in-erfgoedkaart-historisch-landschap/information/?disjunctive.type;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Gebiedsindelingen prioriteitennota;Meerdere waarden ingevuld;Intern/extern;1x Per 5 jaar;2020;;Dataverzameling bevat geen historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/gebiedsindeling-prioriteitennota/information/?disjunctive.type_gebied&disjunctive.naam_gebied;prioriteitennota;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;website gemeente Eindhoven;https://www.eindhoven.nl/bestuur-en-beleid/beleid/visies-plannen-en-verordeningen
Gemeententabel;Bestuur;Beperkte groep binnen de organisatie;1 x Per jaar;1900;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;n.v.t.;n.v.t.;Volledig beschikbaar in andere vorm;Via RVIG;https://publicaties.rvig.nl/Landelijke_tabellen/Landelijke_tabellen_32_t_m_61_excl_tabel_35
Groenbeleidsplan kaart structuur;Natuur en milieu;Alle medewerkers;;2017;;Niet gevuld;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;site Eindhoven;www.eindhoven.nl;Niet beschikbaar in andere vorm;;
Groenstedelijke gebieden;Meerdere waarden ingevuld;Intern/extern;Onregelmatig;2021;;Dataverzameling bevat geen historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;Ruimtelijk cluster;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/groenstedelijke-gebieden/;Groenstedelijke gebieden;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Grondwaterbeschermingszones;Ruimte en infrastructuur;Alle medewerkers;Onregelmatig;;;Niet gevuld;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/grondwaterbeschermingszones/;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Historische vogelvluchtfotos;Cultuur en recreatie;Intern/extern;Onregelmatig;1950;1985;Dataverzameling bevat historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/historische-vogelvluchtfotos/?disjunctive.periode;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Interim structuurvisie;Natuur en milieu;Alle medewerkers;;2009;2009;Niet gevuld;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Kleurenwandkaart / Stadskaart;Ruimte en infrastructuur;Intern/extern;1 x Per maand;2004;;Dataverzameling bevat geen historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data portaal;https://data.eindhoven.nl/explore/dataset/stadskaart-eindhoven-pdf/custom/?disjunctive.filename&disjunctive.bestandsnaam;data portaal;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Milieuzone;Natuur en milieu;Beperkte groep binnen de organisatie;Onregelmatig;2009;;Dataverzameling bevat geen historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;Ruimtelijk cluster;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/milieuzone/information/?disjunctive.filename;Milieuzone;Volledig beschikbaar op andere wijze;site Eindhoven;https://www.eindhoven.nl/ondernemen/milieuzone?search=milieuzone;Niet beschikbaar in andere vorm;;
Online marketing;Cultuur en recreatie;Beperkte groep binnen de organisatie;;2014;;Niet gevuld;RU.ES Eindhoven Sport;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Volledig beschikbaar in andere vorm;Via Facebook en Google;Divers
Oude Ruimtelijkeplannen;Ruimte en infrastructuur;Intern/extern;1x Per week;2015;2015;Dataverzameling bevat geen historie;RE.RO Ruimtelijke Ordening;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;Ruimtelijke Plannen.nl;www.ruimtelijkeplannen.nl;Niet beschikbaar in andere vorm;;
Overzicht lang parkeerautomaten en -meters met tarieven;Financiën;;Onregelmatig;2012;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;online Eindhoven-site;https://www.eindhoven.nl/artikelen/parkeren-23.htm;Niet beschikbaar in andere vorm;;
Producten en diensten catalogus sociaal domein;Sociale zekerheid;Beperkte groep binnen de organisatie;1 x Per dag;2013;;Dataverzameling bevat geen historie;SD Sociaal Domein;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;website Eindhoven;http://www.eindhoven.nl/artikelen/Ontwikkeltafel-Contracten.htm;Niet beschikbaar in andere vorm;;
Publicaties team Beleidsinformatie en Onderzoek;Meerdere waarden ingevuld;Alle medewerkers;1 x Per jaar;2005;;Dataverzameling bevat geen historie;CTRL.OCC.BIO Team Beleidsinformatie & Onderzoek;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;https://onderzoek.eindhoven.nl/;https://onderzoek.eindhoven.nl/onderzoek-en-informatieproducten;Onderzoek en Informatieproducten (publicaties);Volledig beschikbaar op andere wijze;Databank Eindhoven in cijfers;https://eindhoven.incijfers.nl/jive/;Niet beschikbaar in andere vorm;;
Risicocontouren buisleidingen;Natuur en milieu;Alle medewerkers;Onregelmatig;2011;;Niet gevuld;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Straatnamenkaart / stadsplan;Ruimte en infrastructuur;Alle medewerkers;Onregelmatig;2007;;Dataverzameling bevat geen historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data portaal;https://data.eindhoven.nl/explore/dataset/stadskaart-eindhoven-pdf/custom/?disjunctive.filename&disjunctive.bestandsnaam;data portaal;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Struikelstenen;Ruimte en infrastructuur;Alle medewerkers;;;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/struikelstenen-punt/information/;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Tabel Redenen ontbinding/nietig verklaring huwelijk/geregistreerd partnerschap;Bestuur;Intern/extern;Onregelmatig;1900;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;deels , via Buurtmonitor / CBS;n.v.t.;Volledig beschikbaar in andere vorm;n.v.t.;n.v.t.
Tabel Verblijfstitels;Bestuur;Intern/extern;Onregelmatig;1988;;Dataverzameling bevat historie;PC.OOD Ontwikkeling & Onderst Dienstverlening;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;deels , via Buurtmonitor / CBS;n.v.t.;Volledig beschikbaar in andere vorm;n.v.t.;n.v.t.
Verkeerstellingen in Eindhoven;Verkeer;Beperkte groep binnen de organisatie;Onregelmatig;2005;;Niet gevuld;RE Ruimtelijke Expertise;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;webapplicatie Basec van ondezoeksbureau Dufec (www.basec.nl);n.v.t.;Niet beschikbaar in andere vorm;;
Bedrijfsprocessen Ruimtelijk Domein;Meerdere waarden ingevuld;Beperkte groep binnen de organisatie;Onregelmatig;2020;;Dataverzameling bevat geen historie;RU.AO Advies en Ondersteuning;Geen geo-aanduiding aanwezig in dataverzameling;;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Begroting;Financiën;Beperkte groep binnen de organisatie;Continu;2008;;Dataverzameling bevat historie;FAO.FA1 Financiële Administratie 1;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;Open Spending;https://openspending.nl/eindhoven/begroting/2022-0/lasten/hoofdfuncties/;Open Spending;Volledig beschikbaar op andere wijze;website Eindhoven;https://eindhoven.begroting-2022.nl/;Niet beschikbaar in andere vorm;;
Beheers-archief Van Abbemuseum;Cultuur en recreatie;Alle medewerkers;Onregelmatig;1936;1989;Dataverzameling bevat historie;VAM Van Abbemuseum;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;Website Van Abbemuseum;https://vanabbemuseum.nl/;Niet beschikbaar in andere vorm;;
Bouwplannenboek;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Onregelmatig;1985;;Dataverzameling bevat historie;RE.OKW Omgevingskwaliteit;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Bestekgrenzen;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;;2011;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;Stadsdeel;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Goten;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Meerder keren per maand;2011;;Dataverzameling bevat historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Deels beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/goten;Goten;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Informatie over bedrijven die zich in Eindhoven gevestigd hebben;Economie;Beperkte groep binnen de organisatie;;2016;;Niet gevuld;EC.EZA Economische Zaken en Arbeidsmarkt;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Klimaatbeheersingssysteem Van Abbemuseum;Cultuur en recreatie;Beperkte groep binnen de organisatie;Onregelmatig;;;Niet gevuld;VAM Van Abbemuseum;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Registratie van alle voorwerpen in het archeologisch depot;Meerdere waarden ingevuld;Afdeling;Onregelmatig;2016;;Dataverzameling bevat historie;RE Ruimtelijke Expertise;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Schouwvlakken;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;;2011;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Speelondergronden;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Meerder keren per maand;2011;;Dataverzameling bevat historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;Data.Eindhoven.nl;https://data.eindhoven.nl/explore/dataset/speelgoedondergronden/information/?disjunctive.stadsdeel&disjunctive.buurt&disjunctive.element&disjunctive.omschrijv&disjunctive.vloer_opp&disjunctive.straat&;Speelondergronden;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Speeltoestellen;Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Meerder keren per maand;2011;;Dataverzameling bevat historie;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;www.data.eindhoven.nl;https://data.eindhoven.nl/explore/dataset/speeltoestellen/;Speeltoestellen;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Verantwoording jaarrekening;Financiën;Alle medewerkers;1 x Per jaar;1950;;Dataverzameling bevat historie;CTRL.PCB.PC Team Planning & Control;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;Eindhoven Notudoc Raadsinformatiesysteem;n.t.b.;Niet beschikbaar in andere vorm;;
Voorzieningen Jeugd/WMO;Sociale zekerheid;Beperkte groep binnen de organisatie;1 x Per jaar;2015;;Dataverzameling bevat historie;SD Sociaal Domein;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Warmte en energie visie kaarten;Meerdere waarden ingevuld;Alle medewerkers;1x Per 5 jaar;2021;2050;Dataverzameling bevat geen historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;Ruimtelijk cluster;Metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Deels beschikbaar op andere wijze;https://www.eindhovenduurzaam.nl/transitievisiewarmte;"https://www.eindhovenduurzaam.nl/transitievisiewarmte
https://www.eindhoven.nl/bouwen/grond-en-vastgoed/bodeminformatie_x000D_";Deels beschikbaar in andere vorm;Energieloket;https://aardgasvrij.regionaalenergieloket.nl/eindhoven
Actuele luchtfotos;Ruimte en infrastructuur;Alle medewerkers;1 x Per jaar;1998;;Dataverzameling bevat historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;https://eindhoven.opendatasoft.com/explore/dataset/actuele-luchtfotos/;data.eindhoven.nl;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Administratie tijdschriften bibliotheek gemeente Eindhoven;Bestuur;Beperkte groep binnen de organisatie;Meerder keren per dag;2010;;Dataverzameling bevat historie;FAO.DIVP DIV Post;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Basisregistratie Grootschalige Topografie (BGT);Ruimte en infrastructuur;Alle medewerkers;Meerder keren per dag;2006;;Dataverzameling bevat historie;RU.GDK GEO-Informatie, Data en Kwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl en pdok;https://eindhoven.opendatasoft.com/explore/?sort=modified&q=basis en https://www.pdok.nl/nl/producten/pdok-downloads/download-basisregistratie-grootschalige-topografie;data.eindhoven.nl en pdok;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Begroting (jaarlijks, digitaal beschikbaar);Financiën;Alle medewerkers;1 x Per jaar;1950;;Dataverzameling bevat historie;CTRL.PCB.PC Team Planning & Control;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;Eindhoven Notudoc Raadsinformatiesysteem;https://eindhoven.begroting-2022.nl/;Niet beschikbaar in andere vorm;;
Bezoek en gebruik websites Eindhoven Sport;Cultuur en recreatie;Beperkte groep binnen de organisatie;Onregelmatig;2014;;Dataverzameling bevat historie;RU.ES Eindhoven Sport;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Bruggen, viaducten en tunnels (Civieltechnische kunstwerken);Ruimte en infrastructuur;Beperkte groep binnen de organisatie;Onregelmatig;1930;;Niet gevuld;RU.SB Stadsbeheer;Geo-aanduiding aanwezig in dataverzameling;GPS Lat/Lon;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Collectie bibliotheek Van Abbemuseum;Cultuur en recreatie;Alle medewerkers;Onregelmatig;1936;;Dataverzameling bevat historie;VAM Van Abbemuseum;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;Website Van Abbemuseum;https://vanabbemuseum.nl/;Niet beschikbaar in andere vorm;;
Content website Holland Expat Center South;Migratie en integratie;Alle medewerkers;Onregelmatig;2010;;Dataverzameling bevat historie;EC.EZA.ECZN Expatcentrum Zuid-Nederland;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;Website Expat Center;http://www.hollandexpatcenter.com/;Niet beschikbaar in andere vorm;;
Cultuurhistorische waarden;Cultuur en recreatie;Alle medewerkers;Onregelmatig;2008;2020;Dataverzameling bevat geen historie;RE.OKW Omgevingskwaliteit;Geo-aanduiding aanwezig in dataverzameling;RD XY;Metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;data.eindhoven.nl;n.v.t.;data.eindhoven.nl;Volledig beschikbaar op andere wijze;Website gemeente Eindhoven;https://www.eindhoven.nl/stad-en-wonen/stad/erfgoed/cultuurhistorie;Niet beschikbaar in andere vorm;;
Definitieve contracten met leveranciers.;Bestuur;Beperkte groep binnen de organisatie;Onregelmatig;2000;;Dataverzameling bevat historie;FAO.INK Inkoop;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Ecologische kansenkaart;Natuur en milieu;Beperkte groep binnen de organisatie;Niet;2013;;Dataverzameling bevat geen historie;RE.OPR Openbare Ruimte;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Volledig beschikbaar als open data;n.v.t.;n.v.t.;n.v.t.;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Fietstellingen in Eindhoven op ca. 30 locaties;Verkeer;Beperkte groep binnen de organisatie;1 x Per jaar;2006;;Dataverzameling bevat historie;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;Adres;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;webapplicatie Basec van ondezoeksbureau Dufec (www.basec.nl);n.v.t.;Volledig beschikbaar in andere vorm;www.basec.nl;onbekend
Financiële projectadministraties;Financiën;Beperkte groep binnen de organisatie;Continu;2008;;Dataverzameling bevat historie;FAO.FA1 Financiële Administratie 1;Geen geo-aanduiding aanwezig in dataverzameling;;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Niet beschikbaar op andere wijze;;;Niet beschikbaar in andere vorm;;
Geluidsmetingen naast rijks- en spoorwegen, evenemententerreinen en horecagebieden;Natuur en milieu;;Continu;2013;;Niet gevuld;RE.VMD Verkeer, Milieu en Duurzaamheid;Geo-aanduiding aanwezig in dataverzameling;RD XY;Geen metadata aanwezig bij dataverzameling;Het betreft open data;Niet beschikbaar als open data;;;;Volledig beschikbaar op andere wijze;site munisense;https://opendata.munisense.net/;Niet beschikbaar in andere vorm;;
