FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,doorstroomoppervlakte,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
duiker_vlak_legger.36,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker-2 Hondswaard (benedenstroom),ON,Boven-Rijn - Waal,"BR4.KZ.R.950,600.--",-99,,,0,,"POLYGON ((130533.5449000001 425922.65199999884, 130533.37700000033 425922.5020000003, 130531.74689999968 425924.34530000016, 130530.69299999997 425925.5370000005, 130530.85179999843 425925.67859999835, 130534.4979000017 425928.9283999987, 130534.66800000146 425929.0799999982, 130535.66180000082 425927.95600000024, 130537.34800000116 425926.0489999987, 130537.1988000013 425925.9158000015, 130533.5449000001 425922.65199999884))"
duiker_vlak_legger.37,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker uitstroom neveng. Afferdensche&Deestsche W.,ON,Boven-Rijn - Waal,"BR2.KZ.L.903,165.--",-99,,,0,,"POLYGON ((169984.49320000038 434307.8913999982, 169983.28500000015 434307.8539999984, 169983.2811000012 434307.98039999977, 169983.07990000024 434314.4565999992, 169982.96799999848 434318.05700000003, 169984.48600000143 434318.1039999984, 169984.59490000084 434314.5982000008, 169984.80299999937 434307.90100000054, 169984.49320000038 434307.8913999982))"
duiker_vlak_legger.38,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker-1 Hondswaard (bovenstroom),ON,Boven-Rijn - Waal,"BR4.KZ.R.950,100.--",-99,,,0,,"POLYGON ((130986.8574000001 425765.86659999937, 130985.66299999878 425765.36100000143, 130985.59389999881 425765.5234999992, 130983.64959999919 425770.09910000116, 130983.57699999958 425770.26999999955, 130984.92920000106 425770.85440000147, 130987.26999999955 425771.8660000004, 130987.35000000149 425771.67770000175, 130989.29630000144 425767.0954999998, 130989.36699999869 425766.9290000014, 130986.8574000001 425765.86659999937))"
duiker_vlak_legger.39,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Vogelzang,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL4.KZ.R.963,830.--",-99,,,0,,"POLYGON ((124205.14090000093 441948.2822000012, 124207.62750000134 441946.28180000186, 124207.65900000185 441946.3209999986, 124210.07699999958 441944.3759999983, 124210.01399999857 441944.2980000004, 124208.66099999845 441945.38599999994, 124207.86600000039 441944.3969999999, 124209.2190000005 441943.30900000036, 124209.1559999995 441943.23099999875, 124206.73800000176 441945.17599999905, 124206.76900000125 441945.21449999884, 124203.9272999987 441947.5007000007, 124187.38149999827 441960.8121000007, 124187.0623999983 441961.0687999986, 124185.98200000077 441961.938000001, 124186.83999999985 441963.00499999896, 124187.92060000077 441962.1356999986, 124188.57600000128 441961.6083999984, 124205.14090000093 441948.2822000012))"
duiker_vlak_legger.40,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,doorlaatconstructie D5 Boerengat Zuid,WNZ,Noordwaard,"109A.KG.L.965,7",-99,,,0,,"POLYGON ((116597.52519999817 422698.02870000154, 116596.37000000104 422696.7514999993, 116595.5421999991 422696.9386, 116596.6873999983 422698.2045000009, 116618.12339999899 422721.9010999985, 116619.89519999921 422723.85979999974, 116620.44350000098 422723.3638000004, 116619.00340000167 422721.7718000002, 116597.52519999817 422698.02870000154))"
duiker_vlak_legger.41,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,doorlaatconstructie D5 Boerengat Zuid,WNZ,Noordwaard,"109A.KG.L.965,71",-99,,,0,,"POLYGON ((116595.77059999853 422698.508200001, 116594.4274000004 422697.02699999884, 116594.21990000084 422697.0397000015, 116593.46950000152 422697.0669, 116595.00019999966 422698.754900001, 116616.24120000005 422722.17770000175, 116617.98970000073 422724.1057999991, 116618.53519999981 422723.6112000011, 116617.11840000004 422722.04879999906, 116595.77059999853 422698.508200001))"
duiker_vlak_legger.42,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,doorlaatconstructie D3 Steenen Huisje Noord,WNZ,Nieuwe Merwede,"109A.KG.L.966,01",-99,,,0,,"POLYGON ((116139.85440000147 423125.1169000007, 116141.86850000173 423124.7373000011, 116142.11030000076 423125.8724000007, 116142.30620000139 423125.83139999956, 116142.17130000144 423125.13230000064, 116141.82360000163 423123.3299999982, 116141.48750000075 423121.58769999817, 116141.2399000004 423120.3044999987, 116141.07310000062 423120.3343999982, 116139.00169999897 423109.5282000005, 116139.14660000056 423109.4985000007, 116138.85979999974 423108.0207999982, 116138.80600000173 423107.7435000017, 116138.50560000166 423106.195700001, 116138.29740000144 423105.123300001, 116138.15239999816 423104.3761, 116137.90300000086 423104.4296000004, 116138.1464000009 423105.6983000003, 116136.15269999951 423106.07079999894, 116135.88969999924 423104.79940000176, 116135.6559999995 423104.8418000005, 116135.81370000169 423105.6821000017, 116135.97140000015 423106.5230999999, 116136.34479999915 423108.5131999999, 116136.441300001 423109.02760000154, 116136.62669999897 423110.01579999924, 116136.87200000137 423109.9653999992, 116138.93310000002 423120.7177999988, 116138.72639999911 423120.7547999993, 116139.0421999991 423122.2544, 116139.35810000077 423123.75499999896, 116139.75019999966 423125.6169999987, 116139.90619999915 423126.3579999991, 116140.127700001 423126.28599999845, 116139.85440000147 423125.1169000007))"
duiker_vlak_legger.43,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,doorlaatconstructie D5 Boerengat Zuid,WNZ,Noordwaard,"109A.KG.L.965,73",-99,,,0,,"POLYGON ((116600.69170000032 422695.9877000004, 116600.53200000152 422695.8095000014, 116600.01359999925 422695.92819999903, 116599.6427000016 422696.01199999824, 116599.7239000015 422696.1026000008, 116600.8814000003 422697.39460000023, 116622.28929999843 422721.2890000008, 116624.2023999989 422723.4243000001, 116624.79639999941 422722.8922000006, 116623.23119999841 422721.1451999992, 116601.79720000178 422697.2215999998, 116600.69170000032 422695.9877000004))"
duiker_vlak_legger.44,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,doorlaatconstructie D5 Boerengat Zuid,WNZ,Noordwaard,"109A.KG.L.965,7",-99,,,0,,"POLYGON ((116599.79910000041 422697.59910000116, 116598.57899999991 422696.25239999965, 116597.73449999839 422696.44319999963, 116598.93039999902 422697.7631999999, 116620.48460000008 422721.55420000106, 116622.37849999964 422723.64460000023, 116622.93719999865 422723.1383999996, 116621.3823999986 422721.42229999974, 116599.79910000041 422697.59910000116))"
duiker_vlak_legger.45,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Sifon Empelse Aanvoersloot,ZN,Maximakanaal,BK01.KZ.M.6.700.--,-99,,,0,,"POLYGON ((151408.89840000123 416388.00719999894, 151406.10770000145 416386.76110000163, 151406.0764000006 416386.8443999998, 151405.60029999912 416388.11100000143, 151405.4466000013 416388.4600000009, 151403.75459999964 416392.3007000014, 151402.82079999894 416394.4202999994, 151402.6169999987 416394.8830000013, 151401.55669999868 416397.28979999945, 151404.07339999825 416398.3984999992, 151404.31309999898 416398.5040999986, 151411.92810000107 416401.8586000018, 151411.9888000004 416401.88540000096, 151414.35709999874 416402.92870000005, 151417.54529999942 416404.3332000002, 151418.47419999912 416404.74240000173, 151420.27849999815 416405.53720000014, 151422.26419999823 416406.4120000005, 151434.54410000145 416411.8216000013, 151457.9624999985 416422.13809999824, 151479.5773999989 416431.66000000015, 151481.50349999964 416432.5084999986, 151483.9257999994 416433.57559999824, 151488.65680000186 416435.6596999988, 151492.80189999938 416437.48580000177, 151493.6864 416437.8753999993, 151496.52800000086 416439.1272, 151502.00090000033 416441.53810000047, 151512.0962000005 416445.9853999987, 151515.82090000063 416447.6262000017, 151515.86670000106 416447.6464000009, 151516.0170999989 416447.7186000012, 151519.1585999988 416449.22769999877, 151519.38940000162 416449.32939999923, 151521.7298000008 416450.3603999987, 151521.90399999917 416450.4371000007, 151523.00679999962 416451.17330000177, 151524.13430000097 416448.59099999815, 151522.87150000036 416448.2408000007, 151522.69590000063 416448.1634999998, 151520.34340000153 416447.1270000003, 151520.1261 416447.03130000085, 151516.84470000118 416445.71279999986, 151516.73750000075 416445.66970000044, 151516.69170000032 416445.6495000012, 151512.42990000173 416443.7721000016, 151502.7276000008 416439.4979999997, 151497.3925999999 416437.1477999985, 151494.55099999905 416435.8960000016, 151493.67489999905 416435.51000000164, 151489.563000001 416433.69860000163, 151484.79470000044 416431.59800000116, 151482.3575000018 416430.52439999953, 151480.65819999948 416429.7758000009, 151458.83549999818 416420.16230000183, 151435.41710000113 416409.84589999914, 151423.11960000172 416404.4285000004, 151421.13379999995 416403.55370000005, 151419.3471999988 416402.76669999957, 151418.41340000182 416402.3553000018, 151415.22520000115 416400.9508000016, 151412.85960000008 416399.9087000005, 151412.80579999834 416399.88500000164, 151405.17179999873 416396.5221000016, 151404.94420000166 416396.42179999873, 151404.6239 416396.28069999814, 151404.81329999864 416395.85060000047, 151405.02309999987 416395.374400001, 151405.9582999982 416393.25140000135, 151407.63560000062 416389.44409999996, 151407.79659999907 416389.0784999989, 151408.83419999853 416388.069600001, 151408.89840000123 416388.00719999894))"
duiker_vlak_legger.46,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Sifon Empelse Aanvoersloot,ZN,Maximakanaal,BK01.KZ.M.6.700.--,-99,,,0,,"POLYGON ((151412.35060000047 416389.54879999906, 151409.3925999999 416388.2278999984, 151409.38500000164 416388.31430000067, 151409.26080000028 416389.72360000014, 151409.0956000015 416390.09860000014, 151408.21070000157 416392.1074000001, 151408.05139999837 416392.4690000005, 151406.99109999835 416394.87579999864, 151409.50769999996 416395.9844000004, 151409.75560000166 416396.0936000012, 151413.71220000088 416397.8365999982, 151413.76260000095 416397.85880000144, 151416.1264999993 416398.90019999817, 151419.3147 416400.30469999835, 151420.25250000134 416400.7177999988, 151421.98919999972 416401.4829000011, 151424.01410000026 416402.3748999983, 151436.32239999995 416407.7969999984, 151459.74080000073 416418.1134000011, 151481.69480000064 416427.7846999988, 151483.24320000038 416428.4668000005, 151485.6997999996 416429.5489999987, 151490.50279999897 416431.66490000114, 151494.5802000016 416433.4611000009, 151495.4477000013 416433.84319999814, 151498.28929999843 416435.0949999988, 151503.53240000084 416437.40480000153, 151512.91409999877 416441.53770000115, 151517.59470000118 416443.59959999844, 151517.6405000016 416443.6198000014, 151517.78559999913 416443.6895000003, 151520.93239999935 416445.20109999925, 151521.15769999847 416445.3002999984, 151523.5011 416446.33260000125, 151523.6777999997 416446.41050000116, 151524.70569999889 416447.22030000016, 151525.90100000054 416444.5603, 151524.64539999887 416444.2142000012, 151524.46719999984 416444.1356999986, 151522.08900000155 416443.0879999995, 151521.89990000054 416443.00470000133, 151518.64820000157 416441.6981000006, 151518.5113000013 416441.6431000009, 151518.46550000086 416441.6229000017, 151513.5150000006 416439.44209999964, 151504.44570000097 416435.44689999893, 151499.15370000154 416433.11560000107, 151496.31219999865 416431.8638000004, 151495.45320000127 416431.4853999987, 151491.3863000013 416429.6937999986, 151486.65029999986 416427.6075000018, 151484.0971999988 416426.4827999994, 151482.47239999846 416425.7670000009, 151460.6138000004 416416.1376999989, 151437.19539999962 416405.82119999826, 151424.85720000044 416400.38589999825, 151422.97129999846 416399.5551000014, 151421.125500001 416398.7419999987, 151420.1838000007 416398.3271000013, 151416.99560000002 416396.92269999906, 151414.63340000063 416395.882100001, 151414.58630000055 416395.86129999906, 151410.6286999993 416394.117899999, 151410.37849999964 416394.00769999996, 151410.05820000172 416393.86659999937, 151410.24769999832 416393.4365000017, 151410.4059999995 416393.0769999996, 151411.28700000048 416391.07719999924, 151411.45710000023 416390.69110000134, 151412.3024000004 416389.6103999987, 151412.35060000047 416389.54879999906))"
duiker_vlak_legger.47,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,,ZN,Maas,BK01.KZ.R.7.200.--,-99,,,0,,"POLYGON ((151293.47289999947 416903.1992999986, 151293.28350000083 416903.12680000067, 151292.34800000116 416905.5698999986, 151292.54459999874 416905.6451999992, 151296.4825000018 416907.1532000005, 151296.6675999984 416907.22410000116, 151297.59939999878 416904.77800000086, 151297.41710000113 416904.7082999982, 151293.47289999947 416903.1992999986))"
duiker_vlak_legger.69,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,"109A.KZ.L.965,51",-99,,,0,,"POLYGON ((116320.69220000133 420926.0989000015, 116323.71620000154 420924.13230000064, 116324.34010000154 420923.7265999988, 116325.31509999931 420923.09259999916, 116325.36719999835 420923.17339999974, 116325.68329999968 420922.9695000015, 116325.89959999919 420922.8299999982, 116327.3627000004 420921.8863000013, 116327.26190000027 420921.73000000045, 116325.58179999888 420922.81379999965, 116325.49659999833 420922.8687000014, 116324.5009999983 420921.3251999989, 116324.57869999856 420921.2751000002, 116326.22320000082 420920.2142999992, 116326.12240000069 420920.05799999833, 116324.80519999936 420920.9076000005, 116324.47709999979 420921.1191999987, 116324.17000000179 420921.3172999993, 116324.23860000074 420921.4237000011, 116323.30330000073 420922.02329999954, 116322.61820000038 420922.4624999985, 116319.58529999852 420924.41209999844, 116319.5828000009 420924.4083000012, 116317.02820000052 420926.0458999984, 116312.95030000061 420928.66000000015, 116312.55570000038 420928.9129999988, 116313.24240000173 420930.22879999876, 116313.57580000162 420930.7270000018, 116314.06650000066 420930.40790000185, 116318.11809999868 420927.7729999982, 116320.69220000133 420926.0989000015))"
duiker_vlak_legger.48,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Uitwateringsduiker Wilhelminasluis,ZN,Afgedamde Maas,"120A.KZ.L.242,800.--",-99,,,0,,"POLYGON ((131613.06599999964 422744.6939999983, 131614.59200000018 422742.9979999997, 131615.42399999872 422743.74500000104, 131615.55799999833 422743.59600000083, 131614.86520000175 422742.9741999991, 131614.2109999992 422742.38699999824, 131614.14169999957 422742.3247999996, 131616.5022 422739.8861999996, 131618.19700000063 422738.13540000096, 131618.26399999857 422738.1979999989, 131620.39400000125 422740.19000000134, 131620.5300000012 422740.04399999976, 131619.04300000146 422738.63500000164, 131618.37200000137 422738.02600000054, 131617.59800000116 422737.3029999994, 131617.3999999985 422737.1180000007, 131616.63049999997 422736.3980999999, 131615.92500000075 422735.73800000176, 131615.7890000008 422735.8841000013, 131617.25400000066 422737.25400000066, 131617.42500000075 422737.4140000008, 131617.49560000002 422737.48000000045, 131615.81599999964 422739.2168999985, 131613.42920000106 422741.6851999983, 131613.26300000027 422741.53599999845, 131611.8440000005 422740.26300000027, 131611.7100000009 422740.4120000005, 131612.35119999945 422740.9868000001, 131612.9849999994 422741.5549999997, 131610.9059999995 422743.56700000167, 131611.04399999976 422743.7120000012, 131613.14299999923 422741.6970000006, 131614.46200000122 422742.8819999993, 131612.44299999997 422745.0870000012, 131612.59099999815 422745.22199999914, 131613.06599999964 422744.6939999983))"
duiker_vlak_legger.49,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Hemelbeekduiker te Elsloo,ZN,Maas,MM5.KZ.-.9.9.ov,-99,,,0,,"POLYGON ((180979.3669999987 328703.1810000017, 180977.13699999824 328701.0549999997, 180973.8317000009 328704.632100001, 180970.45439999923 328708.2870000005, 180969.41569999978 328709.41110000014, 180968.54809999838 328710.35009999946, 180960.83300000057 328718.69999999925, 180960.09629999846 328719.49749999866, 180960.07189999893 328719.5238999985, 180959.28029999882 328720.3803999983, 180959.2697999999 328720.39180000126, 180958.04320000112 328721.71819999814, 180955.3211000003 328724.6651000008, 180955.2888999991 328724.69999999925, 180954.03709999844 328726.05409999937, 180954.03290000185 328726.058699999, 180944.20080000162 328736.6997000016, 180931.76110000163 328750.1623999998, 180921.8575000018 328760.88049999997, 180921.1286999993 328761.6691999994, 180920.47289999947 328762.37889999896, 180920.43400000036 328762.4210000001, 180918.16429999843 328764.8772, 180917.30319999903 328765.8092, 180916.70540000126 328766.45650000125, 180915.44970000163 328767.81529999897, 180914.99399999902 328768.3084000014, 180914.63329999894 328768.6988000013, 180913.56659999862 328769.8531999998, 180912.77010000125 328770.7151999995, 180907.41160000116 328776.5144000016, 180906.36089999974 328777.65150000155, 180904.23099999875 328779.95650000125, 180903.0577000007 328781.22630000114, 180901.5603 328782.84690000117, 180901.52600000054 328782.8839999996, 180904.06899999827 328785.1579999998, 180904.1026000008 328785.12139999866, 180905.6757999994 328783.4087000005, 180906.88100000098 328782.0965999998, 180909.02180000022 328779.76590000093, 180909.68439999968 328779.04459999874, 180915.24390000105 328772.9921000004, 180916.04349999875 328772.1215999983, 180917.11059999838 328770.95980000123, 180917.4662999995 328770.5725999996, 180917.85080000013 328770.1539000012, 180917.85700000077 328770.1469999999, 180919.20899999887 328768.67500000075, 180919.7927000001 328768.0397000015, 180920.64680000022 328767.10979999974, 180922.93189999834 328764.6218999997, 180923.0903000012 328764.44949999824, 180923.82079999894 328763.6543999985, 180924.34580000117 328763.08300000057, 180934.31450000033 328752.2296000011, 180946.48000000045 328738.9849999994, 180956.30700000003 328728.2868000008, 180957.65689999983 328726.8169, 180957.66039999947 328726.813099999, 180960.3258999996 328723.9109000005, 180960.8220999986 328723.3707000017, 180960.95080000162 328723.2305999994, 180961.55110000074 328722.5771000013, 180961.55429999903 328722.5736999996, 180962.33289999887 328721.7259000018, 180962.38610000163 328721.66800000146, 180963.12099999934 328720.8680000007, 180970.45100000128 328712.88800000027, 180971.38749999925 328711.86840000004, 180972.43710000068 328710.72569999844, 180975.81049999967 328707.0529999994, 180979.3669999987 328703.1810000017))"
duiker_vlak_legger.50,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Uitwateringsduiker Wilhelminasluis,ZN,Afgedamde Maas,"120A.KZ.L.242,800.--",-99,,,0,,"POLYGON ((131644.85240000114 422736.75979999825, 131639.1581000015 422733.70870000124, 131638.37040000036 422734.6099999994, 131644.06450000033 422737.6612999998, 131649.69629999995 422740.679299999, 131650.9609999992 422741.3570000008, 131654.47740000114 422743.24120000005, 131669.47129999846 422751.27540000156, 131672.2637999989 422752.7716999985, 131672.33900000155 422752.811999999, 131672.91899999976 422751.7989999987, 131672.80519999936 422751.73800000176, 131669.73699999973 422750.0938999988, 131655.28709999844 422742.3511000015, 131651.61800000072 422740.38500000164, 131650.99390000105 422740.0505999997, 131644.85240000114 422736.75979999825))"
duiker_vlak_legger.51,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Molenbeek,ZN,Maas,"MM5.KZ.-.30,5.--",-99,,,0,,"POLYGON ((188021.0469999984 347551.0069999993, 188019.34200000018 347547.22100000083, 188019.2135999985 347547.2831000015, 188018.38069999963 347547.6860000007, 188016.3264000006 347548.67969999835, 188015.23959999904 347549.20540000126, 188013.00310000032 347550.28709999844, 187996.51419999823 347558.2626999989, 187994.9587999992 347559.01509999856, 187993.70969999954 347559.61930000037, 187992.06049999967 347560.41699999943, 187990.40900000185 347561.2157999985, 187989.29030000046 347561.7569999993, 187976.0784999989 347568.1473999992, 187940.23559999838 347585.4844000004, 187926.90040000156 347591.934799999, 187925.70800000057 347592.51110000163, 187924.24870000035 347593.21719999984, 187922.22690000013 347594.19509999827, 187921.15089999884 347594.7159000002, 187919.5410999991 347595.4941000007, 187906.46299999952 347601.8200000003, 187905.6757999994 347602.2008999996, 187904.81269999966 347602.61829999834, 187902.32470000163 347603.8216999993, 187900.36070000008 347604.7716999985, 187895.16959999874 347607.2826000005, 187893.61389999837 347608.03510000184, 187893.2419999987 347608.21499999985, 187895.73800000176 347613.2190000005, 187896.11340000108 347613.0326000005, 187897.63749999925 347612.27600000054, 187900.96389999986 347610.624499999, 187902.7725000009 347609.7265999988, 187904.73099999875 347608.7542000003, 187907.2239000015 347607.5166000016, 187908.0789999999 347607.0920000002, 187908.8189000003 347606.7248999998, 187921.86300000176 347600.2489, 187923.46810000017 347599.4519000016, 187924.55090000108 347598.9140999988, 187926.5789999999 347597.9070999995, 187928.0929000005 347597.1559000015, 187929.25510000065 347596.5788999982, 187942.50129999965 347590.00239999965, 187978.13809999824 347572.309799999, 187991.2190000005 347565.8150999993, 187992.38679999858 347565.23580000177, 187993.98669999838 347564.44150000066, 187995.65780000016 347563.6118000001, 187996.9241000004 347562.98310000077, 187998.4226000011 347562.2391999997, 188014.89790000021 347554.0599000007, 188017.09099999815 347552.97100000083, 188018.18450000137 347552.42810000107, 188020.2478 347551.4037999995, 188020.91789999977 347551.0711000003, 188021.0469999984 347551.0069999993))"
duiker_vlak_legger.52,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,Boven-Rijn - Waal,,-99,,,0,,"POLYGON ((197438.9384999983 431143.72239999846, 197398.39779999852 431155.80409999937, 197399.06899999827 431158.1534000002, 197439.47549999878 431146.00459999964, 197438.9384999983 431143.72239999846))"
duiker_vlak_legger.53,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,Boven-Rijn - Waal,,-99,,,0,,"POLYGON ((182067.29100000113 432696.83999999985, 182093.61950000003 432683.65150000155, 182093.27120000124 432683.08570000157, 182066.98999999836 432696.2329999991, 182067.29100000113 432696.83999999985))"
duiker_vlak_legger.54,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,Boven-Rijn - Waal,,-99,,,0,,"POLYGON ((181771.1873999983 432756.5769999996, 181771.29050000012 432757.38800000027, 181798.2424999997 432751.7404999994, 181798.47100000083 432751.05359999835, 181771.1873999983 432756.5769999996))"
duiker_vlak_legger.55,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,Boven-Rijn - Waal,,-99,,,0,,"POLYGON ((181645.38639999926 432776.03290000185, 181649.120099999 432778.65100000054, 181672.0399999991 432745.65199999884, 181669.60700000077 432743.41600000113, 181645.38639999926 432776.03290000185))"
duiker_vlak_legger.56,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,Boven-Rijn - Waal,,-99,,,0,,"POLYGON ((181294.04800000042 432941.6939999983, 181294.64299999923 432942.506000001, 181339.3724000007 432917.02969999984, 181338.89200000092 432916.12000000104, 181294.04800000042 432941.6939999983))"
duiker_vlak_legger.57,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,Boven-Rijn - Waal,,-99,,,0,,"POLYGON ((138329.8161999993 424769.810899999, 138334.6303000003 424770.4677999988, 138334.74439999834 424769.8685000017, 138329.8986000009 424769.20369999856, 138329.8161999993 424769.810899999))"
duiker_vlak_legger.58,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((198008.88289999962 504476.87950000167, 198009.55939999968 504477.4946000017, 198019.0802000016 504467.0218000002, 198018.40359999985 504466.40670000017, 198008.88289999962 504476.87950000167))"
duiker_vlak_legger.59,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((210361.92540000007 458605.7879000008, 210363.27479999885 458605.5498000011, 210356.3687000014 458585.54580000043, 210355.09860000014 458586.1015000008, 210361.92540000007 458605.7879000008))"
duiker_vlak_legger.60,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((205699.83729999885 490522.4219000004, 205701.05550000072 490520.62359999865, 205677.32939999923 490506.7591999993, 205676.2853000015 490508.44150000066, 205699.83729999885 490522.4219000004))"
duiker_vlak_legger.61,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((205701.40349999815 490519.57939999923, 205702.50580000132 490517.9550999999, 205678.95369999856 490504.2067999989, 205677.90949999914 490506.00499999896, 205701.40349999815 490519.57939999923))"
duiker_vlak_legger.62,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((205703.20179999992 490517.14290000126, 205704.24599999934 490515.3447000012, 205680.4701000005 490501.7912000008, 205679.47580000013 490503.56870000064, 205703.20179999992 490517.14290000126))"
duiker_vlak_legger.63,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((203850.63489999995 479325.66860000044, 203851.11520000175 479324.5480000004, 203829.8925999999 479316.41330000013, 203829.4561999999 479317.5518000014, 203850.63489999995 479325.66860000044))"
duiker_vlak_legger.64,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((203851.75070000067 479323.371199999, 203852.23099999875 479322.250599999, 203831.0084999986 479314.1158999987, 203830.5720999986 479315.2544, 203851.75070000067 479323.371199999))"
duiker_vlak_legger.65,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((203852.66970000044 479321.0738000013, 203853.1499999985 479319.95320000127, 203831.9274000004 479311.818500001, 203831.49109999835 479312.95699999854, 203852.66970000044 479321.0738000013))"
duiker_vlak_legger.66,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((203853.71990000084 479318.90769999847, 203854.20019999892 479317.78709999844, 203832.97769999877 479309.65239999816, 203832.54129999876 479310.7908000015, 203853.71990000084 479318.90769999847))"
duiker_vlak_legger.67,2022-07-04T00:00:00,RHDHV,Projectplan,Vastgesteld,0,,,ON,IJssel,,-99,,,0,,"POLYGON ((203854.96709999815 479316.8071999997, 203855.44739999995 479315.68659999967, 203834.22480000183 479307.5518999994, 203833.7884999998 479308.69040000066, 203854.96709999815 479316.8071999997))"
duiker_vlak_legger.68,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker,WNZ,Noordwaard,,-99,,,0,,"POLYGON ((116704.82339999825 421110.445700001, 116705.08540000021 421109.4138999991, 116705.20120000094 421109.43930000067, 116705.43629999831 421108.3696000017, 116705.72399999946 421107.060899999, 116705.51949999854 421107.0159999989, 116705.45479999855 421107.3104000017, 116705.05680000037 421109.1209000014, 116703.25539999828 421108.7248999998, 116703.72540000081 421106.5863999985, 116703.45109999925 421106.5260999985, 116703.15670000017 421107.86569999903, 116702.92100000009 421108.938099999, 116703.05539999902 421108.96759999916, 116702.85909999907 421109.7754999995, 116702.5832999982 421110.91050000116, 116702.43409999833 421111.5245999992, 116701.72419999912 421114.4459999986, 116701.4908999987 421115.4059000015, 116700.79639999941 421118.2642999999, 116699.44579999894 421123.8229999989, 116701.29250000045 421124.3493999988, 116702.72080000117 421118.7250000015, 116703.44350000098 421115.8792000003, 116703.68609999865 421114.92390000075, 116704.42430000007 421112.01740000024, 116704.58040000126 421111.40249999985, 116704.82339999825 421110.445700001))"
