Handelsnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Van Gelder Ridderkerk B.V.;;1;;;;;;;;;1
Van Gool Hef- en Hijstechniek;;;;;;;;1;;;1
Van Kempen V.O.F.;;;;;;;;;1;;1
Van Randwijk Paperflow Solutions B.V.;;;;;;;1;;;;1
Van Sloun Stomerij B.V.;;;;1;;;;;;;1
Van Straaten Post;;;;;6;;;;;;6
Van Uffelen Mode;;;;;;;;;1;;1
Van Wees-Herenmode Voorschoten B.V.;;;;;;;;;1;;1
Vendor B.V.;;;;1;;;;1;;;2
Vereniging Haagse Kunstkring;;;;;;;;1;;;1
Vermeij B.V.;;;;;;;;;1;;1
Vesting Finance;;;;;1;;;;;;1
Vigilat Beveiligingen;;;1;;;;;;;;1
Vink Lisse B.V.;;;;;;;;;4;;4
Virol B.V.;;;;1;;;;;;;1
VisFish Forellenvijvers;;1;;;;;;;;;1
Visualworkplace.nl;;;;;;;;;1;;1
Vitam Catering;;7;;;;;;;;;7
Vonk Sports;;;;;;;;;1;;1
Watermelon b.v.;;;;;;;;;1;;1
Wegrestaurant 'Frans op den Bult' B.V.;;1;;;;;;;;;1
Wijnhandel Jan van Breda;;1;;;;;;;;;1
Xerox (Nederland) B.V.;;;;;;;;;5;;5
Yorcom Computers B.V.;;;;;;;;;1;;1
Your Style v.o.f.;;;;;;;;;1;;1
annoniem 52;;;;;;;;1;;;1
annoniem 56;;;;;;;;;;4;4
annoniem 70;;;;;;;;1;;;1
annoniem 134;;;;;;;;1;;;1
Eindtotaal;1;8;7;8;11;8;8;9;8;8;13
