OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,AZIMUT,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,PRORAIL_GEBIED,X,Y,LATITUDE,LONGITUDE
70,a832782d-6cad-45e2-9b04-2b041215defd,,120,Bestaand,,,,,,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,41.674465,"41,674465",-16.944336,"-16,944336",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,61586.483,440317.436,51.94345085,4.02857474
71,32afdac6-20ba-474a-a5a8-c16fdaf3776b,,60,Bestaand,,,,,,Zlw-Np,Lage Zwaluwe - Nispen ,545,b,545,545_b,Roosendaal,22.817756,"22,817756",93.956282,"93,956282",ProRail,Zuid,Z,BASIS,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,90643.228,395204.397,51.54212268,4.4594816
72,8b405a7b-d69a-43eb-b075-8a4fdd0f5f93,,60,Bestaand,,,,,,Brvalw-Brvalo,Betuweroute Valburg West - Betuweroute Valburg Oost ,938,,938,938__,CUP Valburg,2.588994,"2,588994",-14.315461,"-14,315461",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,A15trace,71,VolkerRail,Zee-Zevenaar,184080.414,434249.445,51.89599844,5.80969241
73,e1ebb6d6-d139-4936-95dd-c6662667c959,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,7.190067,"7,190067",71.777084,"71,777084",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,89735.028,431847.962,51.87135187,4.43951531
74,c770ca3f-1651-49fa-a5b8-1f4695255253,,60,Bestaand,,,,,,Zlw-Mdk,Lage Zwaluwe - Moerdijk (Racc.) ,801,a,801,801_a,Moerdijk Industrieterrein,7.836196,"7,836196",13.063786,"13,063786",ProRail,Zuid,Z,BASIS,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,100499.864,409684.801,51.67331227,4.5992965
75,557bd410-4ecb-4fec-be74-da50f2adeede,,120,Bestaand,,,,,,Mvta-Mvtn,Maasvlakte Aansl. - Maasvlakte Noordwesthoek ,478,a,478,478_a,Rotterdam Europoort 4,1.961774,"1,961774",-135.574961,"-135,574961",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,61233.511,440154.042,51.94192313,4.02348699
76,82026dde-c17c-48e3-a6ff-8af7a1659bce,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,16.835505,"16,835505",52.825439,"52,825439",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,80323.776,431752.618,51.86931301,4.30290078
77,74c6c94f-5d72-4f3e-8765-f79b8b3ee708,,60,Bestaand,,,,,,Axa-Tnzz,Axel Aansl. - Terneuzen Zuidzijde (Racc.)  ,130,a,130,130_a,Axel Aansl. - Terneuzen Aansl.,61.50861,"61,508610",-12.617218,"-12,617218",ProRail,Zuid,Z,BASIS,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,48084.082,366765.318,51.28008787,3.85476308
78,75a2dd3c-f458-4ea4-8d5d-70176a0e5050,,60,Bestaand,,,,,,Erp-Kon,"Rotterdam, Emplacement Europoort - Kolenoverslag ",477,b,477,477_b,Rotterdam Europoort 3,200.453867,"200,453867",2.732182,"2,732182",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,72029.652,437728.338,51.9218408,4.18105445
79,fccd8eec-44cd-4501-85b0-9cb1741b2191,,120,Bestaand,,,,,,Bottha-Botbh,Botlek Theemsweg Aansl. - Botlek Brittanniëhaven ,476,b,476,476_b,Rotterdam Europoort 2,202.082618,"202,082618",10.46086,"10,460860",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,75588.177,434225.339,51.89087959,4.2335831
80,897b0e13-6364-4489-91d3-37d27d6eeba1,,60,Bestaand,,2022/02/23 00:00:00+00,,,,Vl-Ehv,Venlo - Eindhoven ,618,b,618,618_b,Eindhoven,51.109239,"51,109239",15.530263,"15,530263",ProRail,Zuid,Z,BASIS,De Peel,300,Eindhoven,24,ASSET Rail,Zuid-Oost,161885.347,383880.185,51.44397259,5.48623802
81,b88d1d6b-cf39-41b8-afdc-41a58689e8e4,,60,Bestaand,,,,,,Ahg-Va,Arnhem Goederenstation - Velperpoort Aansl. ,437,a,437,437_a,Arnhem Goederenstation - Velperbroek Aansl.,0.808098,"0,808098",-1.654239,"-1,654239",ProRail,Noord-Oost,NO,BASIS,Gelre,400,Achterhoek,30,ASSET Rail,Oost,192542.276,443255.209,51.97643504,5.93360893
82,33a16437-262b-49d3-a7fd-6e3e2c3ad97c,,60,Bestaand,,,,,,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,486,b,486,486_b,Amsterdam Westhaven (gebied),76.035541,"76,035541",-34.486127,"-34,486127",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,Midden,118009.505,490711.912,52.40299282,4.84365263
83,5357fee9-2043-4380-abaf-9761b7cd2daa,,120,Bestaand,,,,,,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,17.329304,"17,329304",-7.966219,"-7,966219",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,79838.97,431652.345,51.86834663,4.29588449
