type;nabijadres;buurtnaam;wijknaam;geo_point_2d;objectid;identificatiekast;aansluitwaardehoofd;stadsdeelnaam
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45154991931386, 5.4712548512469645;804;WCD 73623;;Stadsdeel Woensel-Zuid
ELEQ zuilkast 2RVS31;Grote Berg, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 KJ, Nederland;Bergen;Wijk Centrum;51.43558580097623, 5.475350009817231;810;ZK5611033;;Stadsdeel Centrum
Easy Power Supply (marktkast);15, Markt, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EB, Nederland;Binnenstad;Wijk Centrum;51.438918438828615, 5.4787311315678195;643;11007;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Latinos Burger, Volderhof, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AK, Nederland;Binnenstad;Wijk Centrum;51.440267468058856, 5.478030807130645;644;11009;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Witte Dame, Lichtplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 XP, Nederland;Witte Dame;Wijk Centrum;51.43969210354457, 5.4745060621531305;648;11013;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Gekooide Vrijheid, Wilhelminaplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 HE, Nederland;Bergen;Wijk Centrum;51.43783415210497, 5.4708238687580355;650;11014;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Gerardus Majellakerk, Gladiolusstraat, Gerardusplein, Stratum, Eindhoven, Noord-Brabant, Nederland, 5644 ND, Nederland;Gerardusplein;Wijk Kortonjo;51.42057715642411, 5.489084294452533;651;22001;ABB 4P/63A;Stadsdeel Stratum
Easy Power Supply (marktkast);8, Sint Gerardusplein, Gerardusplein, Stratum, Eindhoven, Noord-Brabant, Nederland, 5644 NE, Nederland;Gerardusplein;Wijk Kortonjo;51.420628553768374, 5.488279894179024;652;22002;ABB 4P/63A;Stadsdeel Stratum
Easy Power Supply (marktkast);1, Sint Gerardusplein, Gerardusplein, Stratum, Eindhoven, Noord-Brabant, Nederland, 5644 NE, Nederland;Gerardusplein;Wijk Kortonjo;51.4203807351275, 5.488590596665935;654;22004;ABB 4P/63A;Stadsdeel Stratum
Easy Power Supply (marktkast);10, Rietvinkstraat, Lakerlopen, Tongelre, Eindhoven, Noord-Brabant, Nederland, 5613 BX, Nederland;Villapark;Wijk De Laak;51.4423787640574, 5.5014635394155444;655;31001;ABB 4P/63A;Stadsdeel Tongelre
Easy Power Supply (marktkast);213, Tongelresestraat, Lakerlopen, Tongelre, Eindhoven, Noord-Brabant, Nederland, 5613 DG, Nederland;Villapark;Wijk De Laak;51.44228027778113, 5.502164198096326;656;31002;ABB 4P/63A;Stadsdeel Tongelre
Easy Power Supply (marktkast);Sumatralaan, Karpen, Tongelre, Eindhoven, Noord-Brabant, Nederland, 5631 AA, Nederland;Karpen;Wijk Oud-Tongelre;51.45249078214884, 5.497224958823555;658;33003;Holec 250A;Stadsdeel Tongelre
Easy Power Supply (marktkast);'t Slot, Kastelenplein, Hanevoet, Gestel, Eindhoven, Noord-Brabant, Nederland, 5653 LX, Nederland;Hanevoet;Wijk Gestelse Ontginning;51.419083186034456, 5.4414679800924075;666;73002;ABB 4P/63A;Stadsdeel Gestel
Easy Power Supply (marktkast);WoensXL P1, Winkelcentrum Woensel, Winkelcentrum WoensXL, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5625 AE, Nederland;Winkelcentrum;Wijk Ontginning;51.46891914598707, 5.474080336153384;668;51003;ABB 4P/63A;Stadsdeel Woensel-Noord
Easy Power Supply (marktkast);WoensXL P1, Winkelcentrum Woensel, Winkelcentrum WoensXL, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5625 AE, Nederland;Winkelcentrum;Wijk Ontginning;51.46849768473401, 5.474057944877715;669;51004;ABB 4P/63A;Stadsdeel Woensel-Noord
Easy Power Supply (marktkast);WoensXL P1, Winkelcentrum Woensel, Winkelcentrum WoensXL, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5625 AE, Nederland;Winkelcentrum;Wijk Ontginning;51.468925358855934, 5.473340030684601;672;51002;ABB 4P/63A;Stadsdeel Woensel-Noord
Easy Power Supply (marktkast);54001, Tarwelaan, Vaartbroek, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5632 MD, Nederland;Vaartbroek;Wijk Dommelbeemd;51.47650966489453, 5.492537756725729;675;54001;ABB 4P/63A;Stadsdeel Woensel-Noord
Easy Power Supply (marktkast);Jumbo, Kastelenplein, Hanevoet, Gestel, Eindhoven, Noord-Brabant, Nederland, 5653 LX, Nederland;Hanevoet;Wijk Gestelse Ontginning;51.41921351043636, 5.441106575158454;677;73006;ABB 4P/63A;Stadsdeel Gestel
Easy Power Supply (bomeneiland);Frits Philips, Markt, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EB, Nederland;Binnenstad;Wijk Centrum;51.439571126572886, 5.478246885190553;678;11016;ABB 4P/63A;Stadsdeel Centrum
Putkast Markt type basis;4, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AL, Nederland;Binnenstad;Wijk Centrum;51.44148235450507, 5.477016909812023;685;11039;;Stadsdeel Centrum
STAKA RH1600EN;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45166086327659, 5.4705968776809355;693;41001;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45180807616359, 5.471624051626448;695;41003;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451058845867124, 5.471782639822763;698;41006;;Stadsdeel Woensel-Zuid
STAKA RH1600EN;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45108829528741, 5.4717048649557665;699;41007;;Stadsdeel Woensel-Zuid
OPS kast Woenselse markt;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45108065728775, 5.472318423126759;701;41009;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450879558121386, 5.472349553600744;718;NLEFLEV7315080;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45137278786964, 5.471081601404413;706;WCD 73607;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451472888917046, 5.4708772116383155;708;WCD 73609;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45166086327659, 5.4705968776809355;713;WCD 73614;;Stadsdeel Woensel-Zuid
;Paradijs Sang Lee, 103, Kruisstraat, Gildebuurt, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CE, Nederland;Hemelrijken;Wijk Oud-Woensel;51.44868772694639, 5.474580244811794;720;n.t.b. kast 2;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45180630368004, 5.471589233137355;723;WCD 73629;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451841271113196, 5.471711007281717;725;WCD 73632;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451841271113196, 5.471711007281717;726;WCD 73633;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451801681593025, 5.471888894309946;733;WCD 73640;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45155591722044, 5.472032014053282;738;WCD 73646;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451261383727164, 5.471254175765545;742;WCD 73650;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45134858392479, 5.4712400939860295;743;WCD 73651;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45134858392479, 5.4712400939860295;744;WCD 73652;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45135324368703, 5.471259955673457;745;WCD 73653;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111512377246, 5.471522641096054;747;WCD 73656;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111512377246, 5.471522641096054;748;WCD 73657;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111512377246, 5.471522641096054;751;WCD 73660;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451337495252254, 5.4716577079024;752;WCD 73661;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451337495252254, 5.4716577079024;753;WCD 73662;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451337495252254, 5.4716577079024;754;WCD 73663;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451337495252254, 5.4716577079024;755;WCD 73664;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.4513478034872, 5.4716972893254265;756;WCD 73665;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451400232390476, 5.472156885550809;761;WCD 73671;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451400232390476, 5.472156885550809;762;WCD 73672;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451297386951666, 5.472054407507299;763;WCD 73673;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451297386951666, 5.472054407507299;764;WCD 73674;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.451297386951666, 5.472054407507299;766;WCD 73676;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45111538040405, 5.47203536687091;769;WCD 73679;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45110937750777, 5.472008597320304;771;WCD 73681;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45100117593374, 5.471731318043544;777;WCD 73686;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45071754102953, 5.472283218972584;778;WCD 73687;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45071754102953, 5.472283218972584;779;WCD 73688;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450859817159646, 5.472179904032671;781;WCD 73692;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.450859817159646, 5.472179904032671;783;WCD 73694;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45089672812872, 5.472347283862203;786;WCD 73698;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45089672812872, 5.472347283862203;790;WCD 73702;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45037491206875, 5.472747967006308;794;WCD 73706;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45050050002499, 5.472603335109654;795;WCD 73707;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45050050002499, 5.472603335109654;796;WCD 73708;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45062434474144, 5.4726293180291705;797;WCD 73709;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45062434474144, 5.4726293180291705;799;WCD 73711;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45062434474144, 5.4726293180291705;800;WCD 73712;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45154991931386, 5.4712548512469645;803;WCD 73622;;Stadsdeel Woensel-Zuid
;Woenselse Markt, Hemelrijken, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 CT, Nederland;Hemelrijken;Wijk Oud-Woensel;51.45154991931386, 5.4712548512469645;805;WCD 73624;;Stadsdeel Woensel-Zuid
