CODE;OBJECTID;STD_KOPPEL;STD_ID_S;STD_ID_I;WK_KOPPEL;WK_ID_S;WK_ID_I;BRT_KOPPEL;BRT_ID_S;SHAPE_LENG;SHAPE_AREA;BRT_NAAM;WK_NAAM;STD_NAAM;AANTBEV;LFT019;LFT2064;LFT65_;GESLM;GESLV;ETNICBS8;ETNICBS9;AANTGEB;AANTSTRF;NATLOOP;VESTTOT;VERTRTOT;SALDVEVE;BEVSALDO;AANTHH;EPHH;MPHHZK;MPHHMK;EENOUD;SRWON1;SRWON2;SRWON3;SRWON4;SRWON5;SRWON6;SRWON7;SRWON8;SRWON9;SRWON10;SRWON11;SRWON12;SRWON13;EIGEND1;EIGEND3;EIGEND2;EIGEND4;AANTOZB;BVOWON;TTPRS;ANIETWON;AKANTOOR;AWINKELS;ABEDRIJF;AHORECA;AHOTELS;AUITGAAN;ACULTUUR;AATRACTI;ASPORTS;ARECREAT;AMEDISCH;ABIJZOND;ASCHOLEN;AKERKEN;ABIJWON;AOVERIG;VESTTOTAAL;WPTOTAAL;POTBEROEP;NWWTOT;WPS1;WPS2;WPS3;WPS4;WPS5;WPS6;WPS7;WPS8;WPS9;PARTAUTO;PARTMOTOR
89;82;02 Escamp;02;2;34 Morgenstond;34;34;89 Morgenstond-Oost;89;3593.081164900000203;600234.57080099999439;Morgenstond-Oost;Morgenstond;Escamp;5498;1097;3640;761;2844;2654;2008;3490;0;0;0;0;0;0;0;3253;1941;484;434;394;232;2789;12;0;35;2571;171;28;179;7;18;0;4;493;149;2381;2;3025;223307;95274;315;6;83;0;7;0;0;0;0;1;4;9;0;1;3;0;201;389;1111;3804;770;44;110;481;147;54;198;21;15;0;1498;70
90;83;01 Loosduinen;01;1;15 Kijkduin en Ockenburgh;15;15;90 Ockenburgh;90;7983.377321830000255;3462062.7386500001885;Ockenburgh;Kijkduin en Ockenburgh;Loosduinen;726;139;476;111;382;344;513;213;0;0;0;0;0;0;0;267;75;95;82;15;191;0;0;0;0;0;0;2;15;18;156;0;24;181;15;18;1;215;53534;629721;252;1;3;5;2;0;0;0;0;6;7;2;0;1;0;203;22;75;616;540;20;1;10;162;49;0;52;263;19;0;304;0
91;84;01 Loosduinen;01;1;15 Kijkduin en Ockenburgh;15;15;91 Kijkduin;91;5879.737113060000411;1447219.076200000010431;Kijkduin;Kijkduin en Ockenburgh;Loosduinen;1545;236;701;608;741;804;1164;381;0;0;0;0;0;0;0;781;287;306;149;39;402;412;0;0;0;412;0;34;208;65;95;0;1;443;261;109;2;815;116518;429910;220;5;39;0;17;1;0;0;0;0;0;0;0;1;0;0;157;161;752;781;30;54;12;337;83;0;13;99;9;0;780;46
92;85;01 Loosduinen;01;1;14 Bohemen, Meer en Bos;14;14;92 Bohemen/Meer en Bos;92;3996.386687650000113;805149.934899999992922;Bohemen/Meer en Bos;Bohemen, Meer en Bos;Loosduinen;4416;545;2160;1711;1960;2456;3290;1126;0;0;0;0;0;0;0;2589;1476;672;308;133;249;2487;25;52;28;2341;41;46;195;1;7;0;8;1748;506;471;19;2744;287356;195623;246;5;12;0;2;0;0;0;0;1;1;7;0;3;0;0;215;336;977;2299;140;0;40;96;181;0;403;207;24;0;1907;112
93;86;01 Loosduinen;01;1;18 Waldeck;18;18;93 Componistenbuurt;93;1849.392727120000018;146683.411699999996927;Componistenbuurt;Waldeck;Loosduinen;1825;267;939;619;822;1003;1331;494;0;0;0;0;0;0;0;1046;531;307;153;55;124;943;0;0;30;913;0;16;108;0;0;0;1;930;138;0;0;1068;118606;203649;93;1;4;1;0;0;0;0;0;0;1;4;0;0;0;0;82;119;225;1005;50;0;18;47;100;0;38;6;11;0;794;40
94;87;01 Loosduinen;01;1;18 Waldeck;18;18;94 Waldeck-Noord;94;2608.412098369999967;336069.494850000017323;Waldeck-Noord;Waldeck;Loosduinen;3102;235;1207;1660;1280;1822;2285;817;0;0;0;0;0;0;0;2033;1280;555;141;57;90;2045;4;0;25;2016;0;13;77;0;0;0;5;1138;493;476;33;2140;207555;151035;422;1;33;0;1;0;0;0;0;3;2;8;0;3;1;0;370;151;718;1256;70;3;15;291;54;0;226;81;15;0;1369;52
95;88;01 Loosduinen;01;1;17 Loosduinen;17;17;95 Kom Loosduinen;95;3730.29490683999984;466895.662850000022445;Kom Loosduinen;Loosduinen;Loosduinen;4932;724;2694;1514;2245;2687;3794;1138;0;0;0;0;0;0;0;2791;1502;650;374;265;506;2261;208;286;50;1463;254;107;387;8;4;0;8;1024;486;1263;2;2775;246805;146446;236;20;92;7;3;0;0;1;0;1;7;12;0;3;2;0;88;336;1169;2858;290;6;85;397;197;89;239;46;52;0;1739;85
96;89;02 Escamp;02;2;33 Bouwlust/Vrederust;33;33;96 Zijden/Steden/Zichten;96;4487.660519029999705;983598.796850000042468;Zijden/Steden/Zichten;Bouwlust/Vrederust;Escamp;7754;1979;4768;1007;3868;3886;2216;5538;0;0;0;0;0;0;0;3835;1802;697;828;508;547;3187;60;36;123;2968;0;114;388;21;24;0;4;1029;356;2351;2;3738;330688;113773;215;4;39;8;4;20;0;0;0;4;4;11;1;7;3;0;110;522;1541;5157;850;99;239;267;173;103;371;241;21;0;2255;76
97;90;01 Loosduinen;01;1;16 Kraayenstein;16;16;97 Kraayenstein & Vroondaal;97;8060.240083650000088;3361340.409399999771267;Kraayenstein;Kraayenstein;Loosduinen;5254;1010;3209;1035;2680;2574;3774;1480;0;0;0;0;0;0;0;2392;970;679;571;172;1121;1189;47;47;0;1095;0;289;501;227;104;0;27;1262;617;407;51;2337;331100;263741;350;6;10;10;2;0;0;1;0;2;11;1;0;1;1;0;305;410;1392;3484;190;9;79;279;295;59;540;69;29;0;2181;154
98;91;02 Escamp;02;2;33 Bouwlust/Vrederust;33;33;98 Dreven en Gaarden;98;4726.572277340000255;995511.350250000017695;Dreven en Gaarden;Bouwlust/Vrederust;Escamp;10699;2843;6077;1779;5189;5510;3143;7556;0;0;0;0;0;0;0;4944;2204;958;1160;622;820;3859;0;0;17;3842;0;221;598;1;0;0;29;1101;328;3261;18;4708;469131;123024;478;20;26;23;5;0;0;0;0;3;10;14;0;7;2;0;368;581;1870;6670;1010;84;245;244;189;0;838;222;14;0;3024;117
