EU Type goedkeuringssleutel,EEG variantcode,EEG Uitvoeringscode,Uitvoering wijzigingsnummer,Volgnummer handelsbenaming,Handelsbenaming fabrikant,Registratiedatum handelsbenaming,Registratiedatum handelsbenaming_DT
e1*01/116*0023*22,SEA8CATMX01,NSGFM62N025S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NAGFA59B009Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NAGFA59B009R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NAGFA59B009S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NAGFA59B024Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NAGFA59B024R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NAGFA59B024S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NSGFM62N027P,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NSGFM62N027Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NSGFM62N027R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX01,NSGFM62N027S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX11,NSGQM62N013Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX11,NSGQM62N013R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAUYX11,NSGQM62N013S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B010P,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B010Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B010R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B010S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B022P,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B022Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B022R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NAGFA59B022S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NSGFM62N013P,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NSGFM62N013Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NSGFM62N013R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAWCX01,NSGFM62N013S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B010P,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B010Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B010R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B010S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B023P,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B023Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B023R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NAGFA59B023S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NSGFM62N026P,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NSGFM62N026Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NSGFM62N026R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX01,NSGFM62N026S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX11,NSGQM62N012Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX11,NSGQM62N012R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8CAYLX11,NSGQM62N012S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8FAUYX01,NAGFA59B009Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8FAUYX01,NAGFA59B009R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8FAUYX01,NAGFA59B009S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8FAUYX01,NAGFA59B024Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8FAUYX01,NAGFA59B024R,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8FAUYX01,NAGFA59B024S,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
e1*01/116*0023*22,SEA8FAUYX11,NSGQM62N013Q,0,1,SHARAN,20030916,09/16/2003 12:00:00 AM
