Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
anoniem 1982;;;;;;;1;;1
anoniem 199;;;;;;1;;;1
anoniem 1993;;;;;;;1;;1
anoniem 2;;;;;;1;;;1
anoniem 2001;;;;1;;;;;1
anoniem 2006;;;;;;1;;;1
anoniem 2011;;;;;1;;;;1
anoniem 2015;;;;;;;1;;1
anoniem 2018;;;;;;;1;;1
anoniem 2025;;;;;;;1;;1
anoniem 2026;;;;;;1;;;1
anoniem 2029;;;;;;1;;;1
anoniem 2031;;;;;;;1;;1
anoniem 2032;;;1;;;;;;1
anoniem 2033;;;;;;1;;;1
anoniem 2037;;;;;;2;;;2
anoniem 2038;;;;;;2;;;2
anoniem 2042;;;;;;3;;;3
anoniem 2043;;;;;;;1;;1
anoniem 2044;;;;;;1;;;1
anoniem 2051;;;;;;3;;;3
anoniem 2052;;;;;;1;;;1
anoniem 2056;;;;;;1;;;1
anoniem 2058;;;;1;;;;;1
anoniem 2061;;;;1;;;;;1
anoniem 2068;;;;;;1;;;1
anoniem 2069;1;;;;;;;;1
anoniem 2071;;;;;;;1;;1
anoniem 2077;;;;;;2;;;2
anoniem 2078;2;;;;;;;;2
anoniem 2080;;;;;;1;;;1
anoniem 2084;;;;;;;1;;1
anoniem 2088;;;;;;1;;;1
anoniem 2090;;;1;;;;;;1
anoniem 2093;;;;;;;1;;1
anoniem 2102;;;;;;4;;;4
anoniem 2106;;;;;;2;;;2
anoniem 2109;;;;;;;1;;1
anoniem 2111;;;;;;2;;;2
anoniem 2117;;;;;;1;;;1
anoniem 2121;;;;;1;;;;1
anoniem 2122;;;;;;1;;;1
anoniem 2124;;;;;;;1;;1
anoniem 2140;1;;;;;;;;1
anoniem 2141;;;1;;;;;;1
anoniem 2150;;;;;;1;;;1
anoniem 2154;;;;;;;1;;1
anoniem 2156;;;;;;1;;;1
anoniem 2157;;;;;;1;;;1
anoniem 2158;;;;;;1;;;1
anoniem 2166;;;;;;2;;;2
anoniem 2168;;;;;;1;;;1
anoniem 2176;;;;;;2;;;2
anoniem 2177;;;;;;1;;;1
anoniem 2178;;;;;;1;;;1
anoniem 2181;;;;;;2;;;2
anoniem 2182;;;;;;2;;;2
anoniem 2185;;;;;;1;;;1
anoniem 2186;;;;;;1;;;1
anoniem 2187;;2;;;;;;;2
anoniem 2189;;;;;;1;;;1
anoniem 2193;;;;;;1;;;1
anoniem 2195;;;;1;;;;;1
anoniem 2199;;;;;2;;;;2
anoniem 220;;;;;;1;1;;1
anoniem 2201;;;;;;;1;;1
anoniem 2203;;;;;;;1;;1
anoniem 2204;;;;;;1;;;1
anoniem 2207;;;;;;3;;;3
anoniem 2210;;;;;;3;;;3
anoniem 2212;;;;;;2;;;2
anoniem 2220;;;;;;1;;;1
anoniem 2221;;;;;;;1;;1
anoniem 2230;;;;;;;1;;1
anoniem 2231;;;;;;1;;;1
anoniem 2241;;;;;;;1;;1
anoniem 2243;;;;;;;;1;1
anoniem 2248;;;;1;;;;;1
anoniem 2256;;;;;;1;;;1
anoniem 2268;;4;;;;;;;4
anoniem 2270;;;;;2;;;;2
anoniem 2272;;;1;;;;;;1
anoniem 2276;;;;;;2;;;2
anoniem 2282;;;;1;;;;;1
anoniem 2285;;;;;;;1;;1
anoniem 2287;;;;;;1;;;1
anoniem 2288;;;;;;1;;;1
anoniem 229;;;;;;;1;;1
anoniem 2292;;;;;;1;;;1
anoniem 2307;;;;;;;1;;1
anoniem 2308;;;;;;1;;;1
anoniem 2309;;;;1;;;;;1
anoniem 2311;;;;;;2;;;2
anoniem 2313;;;;;;2;;;2
anoniem 2315;;;;;;1;;;1
anoniem 2316;2;;;;;;;;2
anoniem 2327;;;;;;1;;;1
anoniem 2328;;;;;;1;;;1
anoniem 2329;;;;;;1;;;1
anoniem 2331;;;;;;1;;;1
anoniem 2344;;;;;;1;;;1
anoniem 2346;;;;;;7;;;7
anoniem 2348;;;;;;2;;;2
anoniem 2358;;;;;;1;;;1
anoniem 2368;;;;1;;;;;1
anoniem 2374;;;;;;1;;;1
anoniem 2375;;;;1;;;;;1
anoniem 2376;;;;1;;;;;1
anoniem 2382;;;;;;2;;;2
anoniem 2383;;1;;;;;;;1
anoniem 2389;;;;;;7;;;7
anoniem 2391;;;;;;1;;;1
anoniem 2392;;;;;;;1;;1
anoniem 2394;;;;;;;1;;1
anoniem 2399;;;;;1;;;;1
anoniem 240;;;;;;1;1;1;1
anoniem 2408;;;1;;;;;;1
anoniem 2412;;;;;;2;;;2
anoniem 2420;;;;;;1;;;1
anoniem 2423;;;;1;;;;;1
anoniem 2428;;;;;;;1;;1
anoniem 2430;;;;;;;1;;1
anoniem 2432;;;;;;;1;;1
anoniem 2434;;;1;;;;;;1
anoniem 2435;;;;;;2;;;2
anoniem 2437;;;;;;;1;;1
anoniem 2440;;;;;;1;;;1
anoniem 2443;;;;;;6;;;6
anoniem 2446;;;1;;;;;;1
anoniem 2448;;;;;;;1;;1
anoniem 2465;;;;;;1;;;1
anoniem 2475;2;;;;;;;;2
anoniem 2478;;;;;;1;;;1
anoniem 2480;;;;;;;1;;1
anoniem 2483;;;;;;2;;;2
anoniem 2485;;;;;;1;;;1
anoniem 2486;;;;;;4;;;4
anoniem 2488;;;;;;1;;;1
anoniem 2491;1;;;;;;;;1
anoniem 2492;;;;;;;;1;1
anoniem 2495;;;;;;1;;;1
anoniem 25;;;;;;2;;;2
anoniem 2500;;;;;;1;;;1
anoniem 2507;;;;;;1;;;1
anoniem 2509;;;;;;1;;;1
anoniem 2514;;;;;;1;;;1
anoniem 2515;;;1;;;;;;1
anoniem 2516;;;1;;;;;;1
anoniem 2531;;1;;;;;;;1
anoniem 2532;1;;;;;;;;1
anoniem 2537;;;;;;;1;;1
anoniem 2547;;;;;;2;;;2
anoniem 2551;;;;;;1;;;1
anoniem 2554;;;;;;1;;;1
anoniem 2555;;;;;;6;;;6
anoniem 2560;;;;;;1;;;1
anoniem 2561;;;;1;;;;;1
anoniem 2563;;;;;;5;;;5
anoniem 2567;;;;;;;1;;1
anoniem 2568;;;;;;;1;;1
anoniem 2575;;;;;;1;;;1
anoniem 2580;;;;;;;1;;1
anoniem 2583;;;;;;;1;;1
anoniem 2586;;;1;;;;;;1
anoniem 2589;;;;;;;1;;1
anoniem 2593;;;;;;2;;;2
anoniem 2597;;;;;;1;;;1
anoniem 2601;;;;;;1;;;1
anoniem 2605;;;;;;2;;;2
anoniem 2615;;;;;;;1;;1
anoniem 2622;;;;1;;;;;1
anoniem 2623;;;;;;1;;;1
anoniem 2627;;;;;;1;;;1
anoniem 2630;;;;;;;1;;1
anoniem 2631;;;;;;;1;;1
anoniem 2632;;1;;;;;;;1
anoniem 2637;;;1;;;;;;1
anoniem 2638;;;;1;;;;;1
anoniem 2639;;;;;;1;;;1
anoniem 2640;;;1;;;;;;1
anoniem 2641;;;;;;;2;;2
anoniem 2645;;;;;;;1;;1
anoniem 2646;;;;;;1;;;1
anoniem 2648;;;;;;2;;;2
