FID,entiteit_separatiezone,naam_separatiezone,se_anno_cad_data,gdb_geomattr_data,shape
separatiezones.29,Seperatiezone,-,,,"POLYGON ((811234.6085999999 5990485.2356, 808416.2180000003 5989645.574999999, 805395.3611000003 5994524.873500001, 808951.4408999998 5995598.2412, 811234.6085999999 5990485.2356))"
separatiezones.30,Seperatiezone,-,,,"POLYGON ((792608.1003 6008170.316299999, 794695.5766000003 6008321.9891, 801546.5888999999 5997249.1623, 799709.4359999998 5996701.8279, 792608.1003 6008170.316299999))"
separatiezones.31,Seperatiezone,-,,,"POLYGON ((720219.1501000002 6007300.913899999, 720142.2198000001 6008226.0755, 787240.8539000005 6013319.3617, 788333.7324999999 6011546.3618, 720296.0888 6006375.7541000005, 720219.1501000002 6007300.913899999))"
separatiezones.32,Seperatiezone,-,,,"POLYGON ((435140.30370000005 5697148.9442, 432221.3339999998 5699893.486099999, 439750.2999999998 5707769.3181, 466942.4444000004 5736437.270199999, 468486.1158999996 5735055.6261, 442870.0725999996 5705453.1492, 435140.30370000005 5697148.9442))"
separatiezones.33,Seperatiezone,-,,,"POLYGON ((421285.4807000002 5681067.188999999, 427626.55399999954 5692022.334100001, 428519.4177000001 5691156.998, 421285.4807000002 5681067.188999999))"
separatiezones.34,Seperatiezone,-,,,"POLYGON ((441948.7572999997 5686536.4122, 443018.64350000024 5688748.8923, 449615.88520000037 5685565.4738, 441948.7572999997 5686536.4122))"
separatiezones.35,Seperatiezone,-,,,"POLYGON ((435107.63829999976 5679946.560699999, 431329.3426000001 5675695.112, 415032.1014999999 5667856.2382, 413307.98280000035 5668626.559800001, 419699.5098000001 5673342.7344, 423697.53419999965 5678287.0392, 435744.8532999996 5684387.4735, 435107.63829999976 5679946.560699999))"
separatiezones.36,Seperatiezone,-,,,"POLYGON ((417031.5044 5662428.9429, 434878.5527999997 5671051.6448, 442057.1485000001 5674523.0002, 458803.3459999999 5686966.308499999, 443324.2432000004 5673303.9681, 433715.5366000002 5668489.865900001, 413465.99480000045 5658594.492000001, 417031.5044 5662428.9429))"
separatiezones.37,Seperatiezone,-,,,"POLYGON ((355619.35639999993 5601230.765000001, 287744.81070000026 5583882.0692, 285735.4157999996 5592852.324100001, 330592.12009999994 5603202.229499999, 379399.4446999999 5634802.7689, 386465.25989999995 5646602.6208, 403802.5083999997 5662751.6413, 404431.8205000004 5662072.5067, 405061.30030000024 5661393.4508, 387641.84229999967 5645242.007099999, 380338.48199999984 5619447.3299, 355619.35639999993 5601230.765000001))"
separatiezones.38,Seperatiezone,-,,,"POLYGON ((362387.5915999999 5637357.853399999, 362612.3065999998 5636981.0196, 326446.6590999998 5613614.104699999, 283339.2196000004 5603714.3585, 282542.9534 5607329.194499999, 326239.33910000045 5614474.2775, 362161.9271 5637697.636, 362387.5915999999 5637357.853399999))"
separatiezones.39,Seperatiezone,-,,,"POLYGON ((385024.7452999996 5613075.4309, 385287.55900000036 5612698.860099999, 358219.80680000037 5589403.3083999995, 290979.78920000046 5569594.8445999995, 290164.8267999999 5573059.866, 357893.2511 5590469.075200001, 384797.3086000001 5613451.238399999, 385024.7452999996 5613075.4309))"
separatiezones.40,Seperatiezone,-,,,"POLYGON ((412220.2748999996 5721631.5471, 411885.17229999974 5721600.2948, 410126.4598000003 5740042.4947999995, 409698.30090000015 5741162.6521000005, 408117.01130000036 5742044.236099999, 405985.43429999985 5741731.388900001, 405992.0259999996 5742083.559900001, 408180.88239999954 5742395.356699999, 408931.8761999998 5741992.311899999, 409978.6716 5741417.1993, 410461.3491000002 5740129.2236, 411548.93099999987 5728744.339299999, 412220.2748999996 5721631.5471))"
separatiezones.41,Seperatiezone,-,,,"POLYGON ((414987.4857999999 5729074.563999999, 416118.20270000026 5729185.4142, 416795.8788999999 5722073.295, 415663.59530000016 5721962.279200001, 414987.4857999999 5729074.563999999))"
separatiezones.42,Seperatiezone,-,,,"POLYGON ((421714.36039999966 5740960.9549, 439841.33249999955 5749146.382200001, 439730.97389999963 5748554.4618999995, 421694.20639999956 5740405.0635, 421714.36039999966 5740960.9549))"
separatiezones.43,Seperatiezone,-,,,"POLYGON ((421780.00850000046 5742962.2765999995, 418950.14070000034 5746974.8434999995, 420400.5844999999 5753737.4703, 421760.4844000004 5753474.992900001, 420460.70409999974 5747414.168199999, 422247.1294 5744938.8266, 440681.93429999985 5753289.0864, 440303.68879999965 5751365.5273, 421780.00850000046 5742962.2765999995))"
separatiezones.44,Seperatiezone,-,,,"POLYGON ((416081.1777999997 5751064.054500001, 415006.55950000044 5751267.5888, 415728.36110000033 5754629.874399999, 416813.7352999998 5754426.2949, 416081.1777999997 5751064.054500001))"
separatiezones.45,Seperatiezone,-,,,"POLYGON ((320208.7368000001 5939622.143100001, 320775.07600000035 5939117.9912, 321501.7516000001 5937883.9727, 321442.13719999976 5936308.5636, 321384.6370000001 5934788.761399999, 320399.5064000003 5933601.115, 319436.70409999974 5932431.3539, 315768.5409000004 5935969.796399999, 315348.29470000044 5935967.6568, 315819.5574000003 5936710.285800001, 316532.3200000003 5937981.852, 316976.6091 5938038.837300001, 319653.5516999997 5940125.943499999, 320208.7368000001 5939622.143100001))"
separatiezones.46,Seperatiezone,-,,,"POLYGON ((313545.72979999986 5936521.1536, 313491.3727000002 5935984.987299999, 311269.35450000037 5935999.069800001, 311894.33949999977 5936698.0734, 312610.38609999977 5937467.783, 313001.09609999973 5937285.2149, 313603.69049999956 5937428.430299999, 313545.72979999986 5936521.1536))"
separatiezones.47,Seperatiezone,-,,,"POLYGON ((309546.9171000002 5938999.4702, 309173.3861999996 5938310.991900001, 308779.18149999995 5937584.4081, 307595.4007000001 5938375.1076, 308330.7997000003 5939607.510199999, 309546.9171000002 5938999.4702))"
separatiezones.48,Seperatiezone,-,,,"POLYGON ((626365.5066 6510496.9564, 628162.0165999997 6510047.0474, 623005.0676999995 6489455.0649999995, 621208.5581999999 6489904.9727, 619412.0495999996 6490354.880799999, 624568.9970000004 6510946.864499999, 626365.5066 6510496.9564))"
separatiezones.49,Seperatiezone,-,,,"POLYGON ((833475.8881999999 5995903.854900001, 835309.0925000003 5996036.3509, 835342.4686000003 5995574.558700001, 835375.8447000002 5995112.7665, 833542.6420999998 5994980.2706, 833509.2647000002 5995442.0627999995, 833475.8881999999 5995903.854900001))"
separatiezones.50,Special area,Voorzorgsgebied Maas Center,,,"POLYGON ((571536.1147999996 5759995.3684, 571436.4181000004 5760031.550000001, 571306.9845000003 5760077.302200001, 571240.6458999999 5760100.8289, 571193.8778999997 5760114.957, 571180.8471999997 5760118.4421, 571141.2130000005 5760128.4451, 571062.5843000002 5760142.1206, 570994.4121000003 5760149.827400001, 570923.9839000003 5760151.941500001, 570858.9271 5760148.236500001, 570793.6398999998 5760141.4143, 570719.7916000001 5760128.0206, 570650.3859000001 5760111.241900001, 570592.6749999998 5760093.183599999, 570560.8424000004 5760078.6565000005, 570532.5536000002 5760065.7469, 570525.1946 5760061.638499999, 570428.3569999998 5760012.660700001, 570314.2494999999 5759946.1996, 570187.9225000003 5759869.335100001, 570078.3251 5759898.3354, 569586.6314000003 5760091.843800001, 569335.9870999996 5760157.378699999, 569102.0034999996 5760188.516799999, 568846.1507000001 5760176.2267, 568607.4691000003 5760114.0272, 568238.8315000003 5759989.3166000005, 567732.2252000002 5759809.5988, 567602.1419000002 5759750.9673, 567514.4658000004 5759701.4943, 567412.5514000002 5759612.7269, 567323.6738 5759481.6796, 566484.551 5758196.131899999, 566378.1913999999 5758006.2706, 566376.1401000004 5758001.3948, 555848.6076999996 5756884.089199999, 555827.6946999999 5756881.969799999, 548081.6304000001 5756096.9977, 548057.5286999997 5756094.555199999, 545961.6627000002 5755882.1636, 545902.2301000003 5755876.140799999, 543245.6478000004 5755033.2344, 540859.9967999998 5754276.2916, 540859.6074000001 5754281.2402, 540854.7100999998 5754343.4783, 540570.1880999999 5757959.4121, 540326.4919999996 5761056.493899999, 540302.9139999999 5761356.147500001, 540255.7588 5761955.4308, 540232.182 5762255.062100001, 539941.8833999997 5765944.4091, 539623.6047 5769989.3445999995, 539580.0367999999 5770543.1412, 539580.0294000003 5770543.234300001, 541404.3838 5772260.487400001, 541828.2116999999 5772659.4333999995, 543652.5662000002 5774376.6861000005, 550966.4913999997 5774511.7456, 553752.3658999996 5774563.190099999, 561715.7330999998 5774710.2422, 568557.1409999998 5774836.476500001, 571900.1513999999 5760983.0604, 571906.8446000004 5760955.424900001, 571892.4108999996 5760916.8816, 571796.773 5760662.24, 571795.0341999996 5760657.610099999, 571717.0701000001 5760456.8037, 571618.0372000001 5760201.7323, 571607.9348999998 5760175.712200001, 571536.1147999996 5759995.3684))"
separatiezones.51,Special area,Voorzorgsgebied Maas,,,"POLYGON ((527853.2953000003 5750182.1184, 518852.2104000002 5747334.7774, 519835.7128999997 5753636.271500001, 520559.35730000027 5758272.8028, 520559.36209999956 5758272.8344, 520607.7039000001 5758582.571, 520704.40189999994 5759202.134299999, 520752.7432000004 5759511.865599999, 520752.7440999998 5759511.8704, 520752.74540000036 5759511.878799999, 521509.79530000035 5764362.449200001, 522311.95529999956 5769502.045499999, 529925.2408999996 5769716.3489, 529417.0416000001 5765057.6196, 528937.8206000002 5760664.5407, 528937.8192999996 5760664.526699999, 528937.6985999998 5760663.420399999, 528904.2558000004 5760356.8454, 528847.5527999997 5759837.041099999, 528837.0005999999 5759740.306299999, 528803.5652000001 5759433.801000001, 528803.5643999996 5759433.793500001, 528385.8787000002 5755367.2699, 527853.2953000003 5750182.1184))"
separatiezones.52,Special area,Voorzorgsgebied Noord Hinder,,,"POLYGON ((510660.25739999954 5744766.8851, 503978.2451999998 5742679.9913, 481136.17080000043 5735411.9111, 479801.4573999997 5731623.8429000005, 476034.36450000014 5730880.3489, 475469.70189999975 5730753.309, 473764.22190000024 5730409.7004, 468486.1158999996 5735055.6261, 466942.4444000004 5736437.270199999, 460889.6655000001 5741782.3824000005, 469642.7642000001 5751547.937899999, 479858.5318 5763268.1351, 484493.92009999976 5768612.608999999, 484494.0209999997 5768612.7249, 490936.9780000001 5776018.5909, 490937.0733000003 5776018.700200001, 495622.3568000002 5781404.2064, 499802.9801000003 5777772.818299999, 503516.61670000013 5774547.0659, 509732.2133999998 5769148.0514, 509569.91860000044 5763380.9318, 509559.2368999999 5763001.3544, 509473.07930000033 5759939.8124, 509458.8909999998 5759435.759299999, 509458.8799999999 5759435.653899999, 509162.12540000025 5756669.3596, 509012.97809999995 5755279.032299999, 508648.3295 5751879.931600001, 508591.92760000005 5751354.177100001, 510660.25739999954 5744766.8851))"
separatiezones.53,Special area,Voorzorgsgebied Rijnveld,,,"POLYGON ((514139.65830000024 5784873.0579, 530806.1010999996 5801073.4605, 533431.1782999998 5787982.660599999, 533713.2947000004 5779975.1975, 530569.1140000001 5775618.821699999, 514139.65830000024 5784873.0579))"
separatiezones.54,Special area,Voorzorgsgebied oversteek IJmuiden,,,"POLYGON ((561684.3174999999 5808745.815300001, 555001.9357000003 5807982.6578, 555576.1752000004 5811084.071, 556004.4590999996 5813397.190300001, 556006.5118000004 5813408.276699999, 557183.2012999998 5819763.464500001, 562091.8065999998 5819833.2136, 563748.7631000001 5819856.7578, 563541.7314999998 5818742.5044, 563322.8131999997 5817564.2771000005, 563322.8131999997 5817564.275800001, 563210.7465000004 5816961.1274, 563210.7461000001 5816961.126499999, 562400.5098000001 5812600.3947, 561684.3174999999 5808745.815300001))"
separatiezones.55,Special area,Voorzorgsgebied IJmuiden,,,"POLYGON ((580200.9948000005 5814674.8938, 578076.9638 5814096.5613, 577302.2730999999 5815823.8192, 576634.5247999998 5817312.6373, 576634.5239000004 5817312.6395, 576450.1177000003 5817723.7936, 576368.4495000001 5817905.881100001, 576368.4482000005 5817905.8837, 575914.3645000001 5818918.3136, 575419.0873999996 5820022.588099999, 577032.6003999999 5820045.5156, 577527.8775000004 5818941.241, 577973.3953 5817947.9103, 577973.3965999996 5817947.9077, 578239.4709999999 5817354.6657, 578239.4715 5817354.6643, 578380.6942999996 5817039.7917, 580200.9948000005 5814674.8938))"
separatiezones.56,Special area,Voorzorgsgebied oversteek Vlieland,,,"POLYGON ((613036.8240999999 5925488.857799999, 615978.8898 5932795.0331999995, 620811.3294000002 5934864.2787, 617867.0447000004 5927554.6822, 613036.8240999999 5925488.857799999))"
separatiezones.57,Inshore Traffic Zone,Zone voor het kustverkeer,,,"POLYGON ((544788.9665999999 5750320.1711, 543245.6771999998 5755033.143999999, 545902.2301000003 5755876.140799999, 548081.6304000001 5756096.9977, 548511.8296999997 5751892.949999999, 556264.3658999996 5752678.548599999, 555827.6946999999 5756881.969799999, 565209.7438000003 5757877.603, 564695.0778000001 5752733.277000001, 566902.3393999999 5751582.4913, 565651.7642999999 5744787.9717, 559289.7482000003 5742298.57, 547329.0844999999 5731635.389799999, 539538.2648999998 5717232.4726, 534432.7785 5714182.593900001, 528750.8732000003 5745271.0392, 544788.9665999999 5750320.1711))"
separatiezones.65,Seperatiezone,VSS North Friesland,,,"POLYGON ((629618.398 5989562.289000001, 630843.915 5993344.819, 637316.2759999996 5994423.032, 636107.2230000002 5990639.025, 629618.398 5989562.289000001))"
separatiezones.58,Inshore Traffic Zone,Zone voor het kustverkeer,,,"POLYGON ((621492.4038000004 5894080.2863, 606149.9347999999 5893758.695499999, 610666.4166000001 5901280.913899999, 630343.1320000002 5922167.9561, 637447.3372999998 5925541.6842, 645202.3488999996 5928315.5921, 645063.3103999998 5929239.1185, 720958.9371999996 5957443.740800001, 725758.2088000001 5944914.8354, 725811.3930000002 5944775.9945, 725783.4142000005 5944751.9309, 725764.9955000002 5944736.0030000005, 725746.0948000001 5944719.604499999, 725727.1935999999 5944703.205499999, 725708.4351000004 5944686.591, 725689.9466000004 5944669.877699999, 725671.1934000002 5944653.1522, 725652.6991999997 5944636.5504, 725634.1597999996 5944619.5009, 725615.8139000004 5944602.572000001, 725597.4729000004 5944585.532199999, 725579.3245999999 5944568.613, 725561.1925999997 5944551.360200001, 725543.0601000004 5944534.1075, 725525.1316999998 5944516.7533, 725507.1470999997 5944499.1735, 725489.4272999996 5944481.606799999, 725471.6410999997 5944464.036599999, 725453.9212999996 5944446.4695, 725436.3437000001 5944428.686899999, 725418.7717000004 5944410.7928, 725401.3978000004 5944392.9088, 725384.0239000004 5944375.0243, 725366.6605000002 5944356.9177, 725349.8470999999 5944338.391899999, 725332.6816999996 5944320.2949, 725315.7362000002 5944301.762499999, 725298.5044999998 5944283.6625, 725281.7516999999 5944265.2513, 725264.7390000001 5944246.7162, 725247.9862000002 5944228.305, 725231.381 5944209.5667, 725214.7761000004 5944190.828400001, 725198.1708000004 5944172.0901, 725181.7687999997 5944153.25, 725165.3724999996 5944134.298800001, 725149.1025 5944115.4657000005, 725132.9041999998 5944096.5241, 725116.9258000003 5944077.147600001, 725100.8647999996 5944058.1011, 725084.8196999999 5944038.7215, 725069.0334999999 5944019.465600001, 725053.3848000001 5944000.1053, 725037.5486000003 5943980.512800001, 725022.1140999999 5943960.8281, 725006.608 5943941.251800001, 724991.1734999996 5943921.567, 724975.9474 5943901.6698, 724960.6398 5943882.1032, 724945.4189999998 5943862.0945, 724930.5236 5943842.213099999, 724915.4455000004 5943821.9889, 724900.9785000002 5943801.4595, 724886.2810000004 5943781.5878, 724871.4013999999 5943761.3728, 724856.7197000002 5943741.1679, 724842.2522 5943720.638499999, 724827.7027000003 5943700.4398, 724813.2295000004 5943680.0219, 724798.8942 5943659.4991999995, 724784.8230999997 5943638.9888, 724770.7016000003 5943618.142100001, 724756.5747999996 5943597.406400001, 724742.6359000001 5943576.903000001, 724728.9212999996 5943555.852600001, 724715.1966000004 5943535.0252, 724701.3998999996 5943514.3058, 724687.8890000004 5943493.153999999, 724674.3065 5943472.110200001, 724660.9886999996 5943451.0791, 724647.8189000003 5943429.721000001, 724634.6385000004 5943408.5854, 724621.4682999998 5943387.227299999, 724608.4963999996 5943365.878900001, 724595.7388000004 5943344.206, 724582.7669000002 5943322.8575, 724570.1414000001 5943301.191199999, 724557.5000999998 5943279.858999999, 724544.9404999996 5943258.195800001, 724532.5291999998 5943236.205600001, 724520.7074999996 5943214.354900001, 724508.4784000004 5943192.707900001, 724496.2651000004 5943170.7269, 724484.1791000003 5943148.864, 724472.1638000002 5943126.8926, 724460.1485000001 5943104.921700001, 724448.4589 5943083.0776, 724436.6578000002 5943060.7827, 724425.182 5943038.6142, 724413.5130000003 5943016.3255, 724402.2356000002 5942994.167099999, 724390.7651000004 5942971.887499999, 724384.2511 5942947.1699, 724359.1994000003 5942946.8675, 724334.1586999996 5942946.3423999995, 724309.1332999999 5942945.4838, 724284.3120999997 5942944.5242, 724259.3530000001 5942943.669, 724234.3280999996 5942942.810799999, 724209.3185 5942941.6194, 724184.3251999998 5942940.094900001, 724159.3161000004 5942938.9035, 724134.3887 5942937.381999999, 724109.4058999997 5942935.635299999, 724084.4126000004 5942934.1107, 724059.6335000005 5942932.262599999, 724034.6665000003 5942930.1822999995, 724009.7658000002 5942928.1055, 723984.8041000003 5942925.9145, 723959.8372 5942923.8346, 723935.0848000003 5942921.4311999995, 723910.1758000003 5942918.128799999, 723885.2141000004 5942915.9383000005, 723860.4775999999 5942913.201199999, 723835.5922999997 5942910.7917, 723810.6568999998 5942908.0458, 723785.9199999999 5942905.3092, 723760.9956 5942902.3412999995, 723736.2745000003 5942899.2711, 723711.3548999997 5942896.1921, 723686.6442999998 5942892.9002, 723661.8015000001 5942889.6021, 723637.1119999997 5942885.865499999, 723612.4013999999 5942882.573999999, 723587.5082 5942878.9397, 723562.8291999996 5942874.981000001, 723538.1502 5942871.022700001, 723513.4711999996 5942867.0649, 723488.8080000002 5942862.773, 723464.3695 5942857.9350000005, 723439.6904999996 5942853.9772, 723415.0268999999 5942849.685699999, 723390.3636999996 5942845.3947, 723365.7163000004 5942840.77, 723341.1957999999 5942836.263, 723316.5480000004 5942831.638800001, 723292.1095000003 5942826.8017, 723267.4721999997 5942821.9553, 723243.0385999996 5942817.007200001, 723218.6155000003 5942811.8368999995, 723194.1266000001 5942806.6635, 723169.7351000002 5942800.8259, 723145.3120999997 5942795.656099999, 723120.9047999997 5942790.1526, 723096.4923 5942784.760600001, 723072.0186999999 5942779.254000001, 723047.8093999997 5942773.760600001, 723023.4178999998 5942767.924000001, 722999.1585999997 5942762.093900001, 722975.2636000002 5942754.163699999, 722950.7426000005 5942749.6589, 722926.0943999998 5942745.0364, 722901.4561999999 5942740.1919, 722877.0062999995 5942735.579500001, 722852.6091999998 5942729.854800001, 722828.1747000003 5942724.9088, 722803.6690999996 5942720.0712, 722779.0466999998 5942714.8939, 722754.6074000001 5942710.0594, 722730.1991999997 5942704.5581, 722705.7752999999 5942699.390000001, 722681.3671000004 5942693.8892, 722657.1385000004 5942687.3936, 722632.7251000004 5942682.003799999, 722608.3164999997 5942676.502900001, 722584.0405000001 5942671.0087, 722559.6481999997 5942665.1746, 722535.4538000003 5942659.3498, 722511.0053000003 5942653.2906, 722486.8213999998 5942647.244000001, 722462.8175999997 5942640.2028, 722438.6228 5942634.378900001, 722414.2562999995 5942627.989499999, 722390.0115 5942621.8289, 722365.9755999995 5942615.4553, 722341.8070999999 5942609.076099999, 722317.6545000002 5942602.3628, 722293.6338999998 5942595.6559999995, 722269.415 5942588.9405000005, 722245.4764999999 5942581.9032000005, 722221.4718000004 5942574.863299999, 722197.4614000004 5942567.934900001, 722173.5383000001 5942560.5649, 722149.7736999998 5942552.645199999, 722125.9674000004 5942545.6154, 722101.9726999998 5942538.353800001, 722078.0650000004 5942530.650599999, 722054.2687999997 5942523.3982, 722030.5038000001 5942515.479499999, 722006.7281999998 5942507.7828, 721982.9636000004 5942499.8641, 721959.1980999997 5942491.9453, 721935.6315000001 5942484.035800001, 721912.1069999998 5942475.237299999, 721888.3468000004 5942467.2075, 721864.7903000005 5942459.076300001, 721841.2390000001 5942450.834000001, 721817.6876999997 5942442.591700001, 721794.1523000002 5942434.0162, 721770.7747999998 5942424.890699999, 721747.2390000001 5942416.315300001, 721723.6978000002 5942407.851299999, 721700.3602999998 5942399.285499999, 721676.8402000004 5942390.376800001, 721653.4464999996 5942381.5854, 721630.1191999996 5942372.7974, 721606.8129000003 5942363.5648, 721583.6333999997 5942354.4498, 721560.3218 5942345.3287, 721537.1578000002 5942335.8806, 721514.0603999998 5942326.4355, 721490.9121000003 5942316.6537, 721468.1865999997 5942306.3346, 721445.0888 5942296.890000001, 721422.1385000004 5942287.117799999, 721398.9897999996 5942277.3365, 721376.0499999998 5942267.3422, 721353.1660000002 5942257.5736, 721330.2311000004 5942247.4683, 721307.7351000002 5942236.4925, 721284.7949000001 5942226.4987, 721261.8600000003 5942216.3938, 721239.1335000005 5942206.075999999, 721216.6371999998 5942195.1007, 721193.9106999999 5942184.7829, 721171.1896000002 5942174.354, 721148.4632000001 5942164.036699999, 721125.7521000002 5942153.3862, 721103.2395000001 5942142.7444, 721080.5284000002 5942132.093900001, 721058.3936999999 5942120.467499999, 721035.6823000005 5942109.817, 721013.1692000004 5942099.176100001, 720990.6719000004 5942088.202099999, 720968.3173000002 5942077.0112, 720945.8196 5942066.0371, 720923.8982999995 5942054.087200001, 720901.3953 5942043.224199999, 720879.0455 5942031.9231, 720856.9863 5942020.0781, 720834.6360999998 5942008.777000001, 720812.3521999996 5941997.479499999, 720790.2109000003 5941985.965500001, 720767.9265999999 5941974.6679, 720745.8006999996 5941962.820699999, 720723.8886000002 5941950.6491, 720701.7468999997 5941939.135500001, 720679.6766999997 5941927.514, 720657.5504000001 5941915.667199999, 720635.8366999999 5941903.5053, 720613.7099000001 5941891.659, 720591.7868999997 5941879.7104, 720569.9248000002 5941867.8763999995, 720548.0121999998 5941855.705700001, 720526.3135000002 5941843.210999999, 720504.4005000005 5941831.0403, 720482.4874999998 5941818.869999999, 720460.7729000002 5941806.7094, 720439.0689000003 5941794.3258, 720417.3033999996 5941781.828500001, 720395.6042 5941769.3342, 720374.5261000004 5941756.311899999, 720352.7602000004 5941743.8149999995, 720331.0763999997 5941730.987600001, 720309.5856999997 5941718.2809, 720288.4567 5941704.9223, 720266.9550000001 5941692.4377, 720245.4692000002 5941679.619999999, 720223.9271 5941666.577, 720202.6343999999 5941653.879899999, 720181.7192000002 5941640.1974, 720160.182 5941627.043400001, 720138.9046999998 5941614.0131, 720117.5606000004 5941600.979800001, 720096.4307000004 5941587.622099999, 720075.3565999996 5941574.49, 720054.2422000002 5941560.7991, 720033.5345999999 5941546.904100001, 720012.4042999996 5941533.546800001, 719991.2792999996 5941520.078500001, 719970.3574999999 5941506.508300001, 719949.4409999996 5941492.827500001, 719928.5399000002 5941478.8126, 719907.8213 5941465.1406, 719887.2770999996 5941450.5858, 719866.5586000001 5941436.9142, 719845.6569999997 5941422.899800001, 719825.1469999999 5941409.0153, 719804.8161000004 5941394.1361, 719784.1129000001 5941380.1313000005, 719763.5520000001 5941365.910599999, 719743.0625999998 5941351.5814, 719722.5674999999 5941337.363700001, 719702.0114000002 5941323.0319, 719682.0926999999 5941307.838400001, 719661.5971999997 5941293.621099999, 719640.8373999996 5941279.3916, 719620.5455999998 5941265.0721, 719600.4117999999 5941250.203400001, 719579.8499999996 5941235.983100001, 719559.3592999997 5941221.655200001, 719539.0111999996 5941207.111, 719518.7295000004 5941192.569800001, 719498.381 5941178.025900001, 719478.2467999998 5941163.1577, 719457.9030999998 5941148.5024, 719437.9774000002 5941133.4212, 719418.2712000003 5941117.9046, 719398.1365 5941103.0363, 719378.1997999996 5941088.1778, 719358.2789000003 5941072.9856, 719338.358 5941057.7938, 719318.5640000002 5941042.7192, 719298.6425999999 5941027.527000001, 719279.4903999995 5941011.479699999, 719259.7828000002 5940995.963500001, 719240.0598999998 5940980.781400001, 719236.6656999998 5940978.171599999, 726982.6891999999 5941345.149499999, 727207.7720999997 5941378.294199999, 727407.4341000002 5941403.424000001, 727606.3383999998 5941423.6219, 727655.3772999998 5941427.441500001, 727703.4683999997 5941431.6614, 727750.6810999997 5941434.836100001, 727796.9619000005 5941438.078, 727971.3808000004 5941447.4102, 728012.7893000003 5941448.523499999, 728052.7470000004 5941449.455399999, 728092.3184000002 5941450.1459, 728130.6482999995 5941450.442299999, 728167.6653000005 5941450.452299999, 728203.9868999999 5941449.760500001, 728239.2545999996 5941448.906300001, 728273.5406 5941447.782, 728413.6748000002 5941439.085000001, 728450.5121999998 5941435.9682, 728487.3658999996 5941432.5178, 728525.2788000004 5941429.1193, 728563.6372999996 5941424.7391, 728602.4040000001 5941420.1566, 728642.2186000003 5941415.8485, 728682.0767000001 5941410.6504999995, 728722.8723999998 5941405.2761, 728764.2852999996 5941399.4855, 728806.5695000002 5941393.5154, 728848.8866999997 5941386.8780000005, 728892.1412000004 5941380.0637, 728978.9367000004 5941366.0045, 729021.8272000002 5941358.5054, 729064.6176000005 5941350.3325, 729233.9223999996 5941317.6667, 729399.3879000004 5941280.8072999995, 729440.3974000001 5941271.102399999, 729521.5274999999 5941250.8697999995, 729561.6431999998 5941240.453199999, 729719.9002 5941196.454299999, 729759.1823000005 5941184.104, 729797.3573000003 5941172.703299999, 729835.5810000002 5941160.302100001, 729873.9373000003 5941147.908, 729911.7751000002 5941135.2654, 729949.1161000002 5941121.930500001, 730022.8454 5941095.7717, 730059.3038999997 5941081.502599999, 730095.7357000001 5941067.789799999, 730131.5881000003 5941053.7148, 730167.6665000003 5941039.093699999, 730437.8554999996 5940926.2469, 730661.3962000003 5940830.5559, 727033.3969999999 5940708.325999999, 725401.1102999998 5939652.645199999, 723115.9110000003 5938174.724300001, 722136.5398000004 5937541.341600001, 720187.8891000003 5935974.731000001, 713230.3552999999 5934573.2413, 711242.5212000003 5934172.8488, 707210.8981999997 5935037.933800001, 706761.4691000003 5933521.8893, 706312.1706999997 5932006.3518, 703326.3053000001 5931530.418299999, 702331.0246000001 5931371.780300001, 699332.6031999998 5931271.0603, 696367.7824999997 5930170.9043000005, 693382.0141000003 5929695.443600001, 688405.8069000002 5928903.0725, 683418.0482999999 5928457.7948, 679427.9115000004 5928101.618899999, 678211.8903000001 5928561.0911, 673347.8779999996 5930398.956, 671391.0530000003 5929082.739399999, 669434.2271999996 5927766.547900001, 665487.0932999998 5926133.576300001, 663510.7478999998 5925400.3959, 656593.6031999998 5922834.4037, 653616.6025999999 5922109.4936, 646446.3480000002 5920363.6230999995, 645678.0544999996 5920176.5527, 644708.2777000004 5919940.4361000005, 644685.7483000001 5919934.9506, 644136.3125999998 5918415.9991, 643770.0159999998 5917403.366900001, 642787.4521000003 5916870.326099999, 639839.7657000003 5915271.234999999, 639367.2471000003 5912415.8902, 639007.4250999996 5910241.547700001, 637025.5897000004 5909675.174799999, 635746.6771999998 5909309.6917, 635043.7640000004 5909108.8159, 634069.5351 5908326.0176, 632121.0727000004 5906760.439099999, 631931.5857999995 5906608.1895, 631146.8402000004 5905977.6588, 629198.3717 5904412.1162, 627249.8984000003 5902846.5978, 624318.8514999999 5900748.171700001, 622853.3268999998 5899698.9772, 622375.9210999999 5899016.173699999, 622137.2176000001 5898674.773499999, 621421.1037999997 5897650.574100001, 621492.4038000004 5894080.2863))"
separatiezones.59,Seperatiezone,"West Friesland VSS
",,,"POLYGON ((534807.6991999997 5913325.158500001, 546237.0114000002 5952124.1017, 582113.3629999999 5979722.514, 604822.182 5983184.35, 602716.6260000002 5976051.118000001, 587770.8394999998 5959655.2925, 549327.3227000004 5930143.458799999, 540797.1656 5910684.192, 534807.6991999997 5913325.158500001))"
