Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
STU Project - Naritaweg Amsterdam B.V.;;;;;4;4
Stucadoorsbedrijf Fa. Delstuc;;2;;;;2
Studio 4D;;1;;;;1
Studio EMM;;2;;;;2
Studio M10 B.V.;;2;;;;2
Studio Seven Architecten;;2;;;;2
Studio-RO;;3;;;;3
Stulz Groep B.V.;;2;;;;2
Sulzer Pumps Wastewater Netherlands B.V.;;3;;;;3
Summit Dis B.V.;;1;;;;1
Sun Solutions B.V.;;2;;;;2
Sunchar Beheer B.V.;;2;;;;2
SUPAIR Intermediairs;;3;;;;3
Surcom International B.V.;;2;;;;2
SW;;3;;;;3
Swisslog B.V.;;4;;;;4
Synto Installatiebedrijf Goes B.V.;;1;;;;1
Syntrus Achmea Vastgoed;;;;;7;7
Systeembouw 2000 B.V.;;1;;;;1
Systemair B.V.;;1;;;;1
Sytec B.V.;;1;;;;1
T & A Survey B.V.;;2;;;;2
T & G Terrein- en Groenvoorziening B.V.;;3;;;;3
't Hoogt B.V.;;1;;;;1
't Schoutenhuis B.V.;;;;;4;4
T.H. Klimaatbeheersing B.V.;;2;;;;2
Tab B.V.;;4;;;;4
TAC Technisch Adv. Centr., Brandveiligh. B.V.;;1;;;;1
Tango Properties Management B.V.;;;;;5;5
Tankinstallatiebedrijf Mokobouw B.V.;;2;;;1;2
Tappan Communicatie B.V.;;1;;;;1
Tapwacht Service B.V.;;1;;;;1
Tasman Properties C.V.;;;;;7;7
Tauw B.V.;;4;;;4;5
Taylor Elektrotechniek Den Helder B.V.;;1;;;1;1
TBI Concessies B.V.;;3;;;;3
TCN SIG Telehousing Exploitatie B.V.;;;;;6;6
TDS Engineering B.V.;;1;;;;1
Tebodin Netherlands B.V.;;;;;2;2
Technical Inspection Services B.V.;;1;;;;1
Technikeur Inspectie B.V.;;1;;;;1
Technion Zuid B.V.;;2;;;;2
Technisch Bureau Swart B.V.;;2;;;;2
Technisch Bureau Tigwelding B.V.;;1;;;;1
Technisch Bureau W. Janssen B.V.;;2;1;;;2
Technisch Buro J. Zoet;;1;;;;1
Technisch Commercieel Adviesburo Vogels B.V.;;3;;;;3
Technisch Handelsbureau 'Rensa' B.V.;;2;;;;2
Technisch Installatiebureau Bakker B.V.;;1;;;2;2
Technisch Teken- en Adviesbureau BORST;;1;;;;1
Technische Handelsonderneming Emmink;;1;;;;1
Technische Handelsonderneming Weeflex;;1;;;;1
Technische Unie;;;;;1;1
Technische Unie B.V.;;5;;;;5
Techno Security Systems TSS;;1;;;;1
Technoconsult B.V.;;1;;;;1
Technofil B.V.;;1;;;;1
Technotron B.V.;;1;;;;1
Techtrans Vertalingen;;;;;1;1
Teeuwissen Rioolreiniging Huizen B.V.;;5;;;1;5
Tekenbureau Peerdeman;;2;;;;2
Tekst & Beeld;;1;;;;1
Tele2 Nederland B.V.;;2;;;;2
Telesignal Europe B.V.;;1;;;;1
Tereco B.V.;;2;;;;2
Terra Milieu B.V.;;;;;2;2
Terwen Consultancy;;3;;;;3
TES Install.techn. Service & Onderhoud B.V.;;7;;;4;7
TES Installatietechniek Tilburg B.V.;;5;;;;5
Tes Installatietechniek Utiliteit B.V.;;2;;;;2
Teunis Industrietechniek B.V.;;1;;;;1
Texplor Benelux B.V.;;1;;;;1
Th. Draisma Holding B.V.;;;;;4;4
theateradvies B.V.;;1;;;;1
Thermatras B.V.;;1;;;;1
Thermica B.V.;;1;;;;1
Thermofrost B.V.;;4;;;;4
Thole Access Systems B.V.;;1;;;;1
Thomas & Betts Netherlands B.V.;;1;;;;1
THT Elektrotechniek B.V.;;4;;;;4
ThyssenKrupp Encasa B.V.;;1;;;;1
Thyssenkrupp Encasa N.V.;1;;;;;1
ThyssenKrupp Liften Branch Noord;;5;;;;5
TIBN Technisch Beheer & Onderhoud B.V.;;6;;;;6
Tijdhof Consulting;;1;;;;1
Tijssens Electrotechniek B.V.;;4;;;;4
Tilkema Horeca B.V.;;1;;;;1
Timmers Elektrotechniek B.V.;;1;;;;1
Tjaden B.V.;;2;;;;2
TNO B.V.;;;;;3;3
ToekomstService;;4;;;;4
Toes Dakbeheer B.V.;;1;;;;1
Toes Montage B.V.;;5;;;;5
Tolhuis Rioolinspecties B.V.;;;;;3;3
Top Movers Nederland B.V.;;;;7;;7
Top Totaalonderhoud B.V.;;4;;;;4
Topbloemen Nederland B.V.;;3;;;;3
Tornak Groep B.V.;;2;;;;2
Total Facility Management B.V.;;1;;;;1
Total Identity;;1;;;;1
TotalKlima B.V.;;4;;;;4
Touax B.V.;;;;;2;2
TPAHG Architecten BNA;;3;;;;3
Tramec Nederland;;1;;;;1
Transiënt B.V.;;1;;;;1
Trebbe Oost & Noord B.V.;;;;;6;6
Trias Breda B.V. i.o.;;6;;;;6
Trigion Alarmcentrale B.V.;;1;;;;1
Trigion Beveiliging B.V.;;2;;;;2
Trimension B.V.;;1;;;;1
Triops Advies B.V.;;1;;;;1
Troax B.V.;;2;;;1;2
Troostwijk Real Estate B.V.;;2;;;;2
TROX Nederland B.V.;;1;;;;1
Tuesday Multimedia;;1;;;;1
Tuinaanleg Takken B.V.;;1;;;;1
TUV Nederland QA B.V.;;;;;1;1
TUV Rheinland Nederland B.V.;;;;;2;2
Two-O-Four B.V.;;3;;;;3
Twynstra Gudde Huisvesting, Vastgoed en Facility Management B.V.;;2;;;;2
Tyco Fire and Security Nederland B.V.;;7;;;2;7
UBP B.V.;;3;;;;3
UBS Real Estate Kapitalanlagegesellschaft mbH;;;;;6;6
Udink Noodverlichting B.V.;;1;;;;1
Uitgeverij Blauwdruk B.V.;;1;;;;1
Uitzendbureau 65plus;;2;;;;2
Unibail-Rodamco SE;;;;;2;2
Unica Fastcom;;5;;;3;5
Unica Installatietechniek;;8;;;2;8
Unihorn B.V.;;2;;;;2
Unis Group Benelux B.V.;;1;;;;1
United Fish Auctions N.V.;;;;;2;2
Unlimited Visions B.V.;;1;;;;1
URS;;;;;2;2
Usegy;;;;;1;1
Uticon Engineering Consultancy B.V.;;5;;;;5
UTS Abbink Den Haag;;1;;;;1
UTS HERSEVOORT B.V.;;;;;3;3
UTS van der Geest Verhuizingen B.V.;;2;;;;2
Uyterlinde Koeltechniek B.V.;;1;;;;1
V&M Elektrotechniek B.V.;;1;;;;1
V.O.F. Klift Roest Wonen;;2;;;;2
V.O.F. Mecanoo Haskoning New Premis. Eurojust;;6;;;;6
V.O.F. TES/Kemkens Maintenance;;7;;;;7
v/d Zandschulp Grond- & Sloopwerk;;1;;;;1
Vaarkamp B.V.;;1;;;;1
Vabeog Amersfoort B.V.;;;;;4;4
Vakutrans B.V.;;1;;;;1
Valerie Kuypers Fotografie;;1;;;;1
Valkenberg Raadgevend Ingenieursburo B.V.;;1;;;;1
Valprevent B.V.;;1;;;;1
Valstar Simonis;;2;;;;2
Van Aken Hekwerk B.V.;;1;;;;1
Van Asbeck Arch. en Restauratieadviseurs B.V.;;5;;;;5
Van Beek Ingenieurs B.V.;;;1;;;1
Van Benthem's Aannemingsbedrijf B.V.;;2;;;;2
Van Boldrik Vendor Lease B.V.;;;;;6;6
Van Bon;;1;;;;1
Van Breemen Automaterialen B.V.;;1;;;;1
Van Dam Garagedeuren;;2;;;;2
