straatnaam_identificatie_mast;objectid;stadsdeel;wijk;buurt;straatnaam;wegvak;identificatie;lokatie;eigenaar;x;y;identificatie_lamp;type_lamp;datum_plaatsing_lamp;datum_onderhoud_lamp;soort_lamp;kleur_lamp;wattage_lamp;lumen_lamp;ra_waarde_lamp;fitting_lamp;schakelschema_lamp;identificatie_armatuur;type_armatuur;datum_plaatsing_armatuur;datum_onderhoud_armatuur;lph_armatuur;brandstand_armatuur;identificatie_drager_mast;type_drager_mast;datum_plaatsing_drager_mast;datum_onderhoud_drager_mast;identificatie_drager_uithouder;type_drager_uithouder;datum_plaatsing_drager_uithoud;datum_onderhoud_drager_uithoud;geo_shape;geo_point_2d;locat
Deken van Somerenstraat 001;92958;1 Centrum;11 Centrum;112 de Bergen;Deken van Somerenstraat;;001;;Gemeente Eindhoven;161144.359;382947.042;1;SON PIA PLUS 100W;2019-01-14;2024-01-01;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1987-01-01;2017-01-01;900;1;;ST 9 STANDAARD VZ;1987-01-01;2027-01-01;;ST OPZETSTUK 0,40 M;1987-01-01;2027-01-01;"{""coordinates"": [5.475563429207077, 51.43559347727456], ""type"": ""Point""}";51.43559347727456, 5.475563429207077;51.4355937954238, 5.475564675530108
Deken van Somerenstraat 015;92960;1 Centrum;11 Centrum;112 de Bergen;Deken van Somerenstraat;;015;;Gemeente Eindhoven;161079.783;382794.999;1;SON PIA PLUS 100W;2018-09-19;2023-08-31;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1987-01-01;2017-01-01;900;1;;ST 9 STANDAARD VZ;1987-01-01;2027-01-01;;ST OPZETSTUK 0,40 M;1987-01-01;2027-01-01;"{""coordinates"": [5.4746321226187895, 51.434227515470766], ""type"": ""Point""}";51.434227515470766, 5.4746321226187895;51.434227832075166, 5.474633364475905
Paradijslaan 002;92968;1 Centrum;11 Centrum;112 de Bergen;Paradijslaan;;002;;Gemeente Eindhoven;161299.104;382990.784;1;SON PIA PLUS 100W;2022-09-22;2027-09-03;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;2013-05-24;2053-05-24;;ST ENKEL 1 M LOS VZ;2013-05-24;2053-05-24;"{""coordinates"": [5.477789645554075, 51.435984948568596], ""type"": ""Point""}";51.435984948568596, 5.477789645554075;51.43598526770636, 5.477790886149174
Paradijslaan 003;92969;1 Centrum;11 Centrum;112 de Bergen;Paradijslaan;;003;;Gemeente Eindhoven;161325.27;382960.468;1;SON PIA PLUS 100W;2019-04-05;2024-03-15;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;2018-08-06;2058-08-06;;ST ENKEL 1 M LOS VZ;2018-08-06;2058-08-06;"{""coordinates"": [5.478165406710259, 51.43571215486212], ""type"": ""Point""}";51.43571215486212, 5.478165406710259;51.43571247384808, 5.478166644421909
Paradijslaan 006;92972;1 Centrum;11 Centrum;112 de Bergen;Paradijslaan;;006;;Gemeente Eindhoven;161331.518;382875.08;1;SON PIA PLUS 100W;2016-06-09;2021-05-12;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1983-01-01;2013-01-01;900;1;;ST 9 STANDAARD VZ;1974-01-01;2023-07-31;;ST ENKEL 1 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.478253729377863, 51.434944560818444], ""type"": ""Point""}";51.434944560818444, 5.478253729377863;51.434944879105764, 5.478254962439842
Boschdijk 014;92982;1 Centrum;11 Centrum;114 Fellenoord;Boschdijk;;014;;Gemeente Eindhoven;160932.106;383893.788;;LED84-4S/830 DM33;2019-11-20;2044-08-29;LED;wit;62;11900;80;LED;in40lux 80% - 19:00;A;BGP761 LED84-4S/830;2019-11-20;2039-11-20;1100;1;;ST 11 V-100.T.115;2019-11-20;2059-11-20;;ST ENKEL 100 X 162 V;2019-11-20;2059-11-20;"{""coordinates"": [5.4725268672913066, 51.44410573159087], ""type"": ""Point""}";51.44410573159087, 5.4725268672913066;51.44410605756867, 5.472528175245433
Boschdijk 016;92983;1 Centrum;11 Centrum;114 Fellenoord;Boschdijk;;016;;Gemeente Eindhoven;160920.449;383912.504;;LED84-4S/830 DM33;2019-11-20;2044-08-29;LED;wit;62;11900;80;LED;in40lux 80% - 19:00;A;BGP761 LED84-4S/830;2019-11-20;2039-11-20;1100;1;;ST 11 V-100.T.115;2019-11-20;2059-11-20;;ST ENKEL 100 X 162 V;2019-11-20;2059-11-20;"{""coordinates"": [5.472359507017514, 51.444274086067736], ""type"": ""Point""}";51.444274086067736, 5.472359507017514;51.44427441218143, 5.472360816651274
Vestdijktunnel 087;92986;1 Centrum;11 Centrum;114 Fellenoord;Vestdijktunnel;;087;;Gemeente Eindhoven;161258.976;383866.469;1;SON PIA PLUS 250W;2020-04-06;2024-10-29;son;geel;250;30900;25;E40;in40lux 100% - 19:00;A;SGS201 SON 250 W;1998-01-01;2028-01-01;1300;1;;ST 13 STANDAARD;1955-01-01;2024-11-06;;ST DUBBEL 1,50 M L.;1998-01-01;2038-01-01;"{""coordinates"": [5.477228079809176, 51.443856629143944], ""type"": ""Point""}";51.443856629143944, 5.477228079809176;51.44385695624765, 5.477229368943398
Vestdijktunnel 087;92987;1 Centrum;11 Centrum;114 Fellenoord;Vestdijktunnel;;087;;Gemeente Eindhoven;161258.976;383866.469;1;SON PIA PLUS 250W;2020-04-06;2024-10-29;son;geel;250;30900;25;E40;in40lux 100% - 19:00;B;SGS201 SON 250 W;1998-01-01;2028-01-01;1300;1;;ST 13 STANDAARD;1955-01-01;2024-11-06;;ST DUBBEL 1,50 M L.;1998-01-01;2038-01-01;"{""coordinates"": [5.477228079809176, 51.443856629143944], ""type"": ""Point""}";51.443856629143944, 5.477228079809176;51.44385695624765, 5.477229368943398
P Czn Hooftlaan 014;92994;1 Centrum;11 Centrum;111 Binnenstad;P Czn Hooftlaan;;014;;Gemeente Eindhoven;161699.942;382601.091;1;SON PIA PLUS 150W;2016-09-06;2021-08-15;son;geel;150;17000;25;E40;in40lux 100% - uit40;A;SGS201 SON 150 W;2002-07-30;2032-07-30;900;1;;ST 9 STANDAARD VZ;2002-07-30;2042-07-30;;AL ENKEL LOS 1 M;2002-07-30;2032-07-30;"{""coordinates"": [5.483546870677427, 51.432477501784284], ""type"": ""Point""}";51.432477501784284, 5.483546870677427;51.432477819156944, 5.483548071022941
P Czn Hooftlaan 016;92995;1 Centrum;11 Centrum;111 Binnenstad;P Czn Hooftlaan;;016;;Gemeente Eindhoven;161719.113;382582.462;1;SON PIA PLUS 100W;2020-08-18;2025-07-25;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1999-05-01;2029-05-01;900;1;;ST 9 STANDAARD;1962-01-01;2024-11-05;;ST ENKEL 1 M VAST;1962-01-01;2002-01-01;"{""coordinates"": [5.483822201135793, 51.432309823534275], ""type"": ""Point""}";51.432309823534275, 5.483822201135793;51.43231014080458, 5.483823399607619
P Czn Hooftlaan 012;92996;1 Centrum;11 Centrum;111 Binnenstad;P Czn Hooftlaan;;012;;Gemeente Eindhoven;161678.266;382625.038;1;SON PIA PLUS 100W;2017-08-14;2022-07-19;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;2000-02-11;2030-02-11;900;1;;ST 9 STANDAARD VZ;1962-01-01;2024-11-05;;ST ENKEL 1 M LOS VZ;1962-01-01;2002-01-01;"{""coordinates"": [5.4832356158834346, 51.4326930107891], ""type"": ""Point""}";51.4326930107891, 5.4832356158834346;51.43269332831861, 5.483236818597782
P Czn Hooftlaan 018;92997;1 Centrum;11 Centrum;111 Binnenstad;P Czn Hooftlaan;;018;;Gemeente Eindhoven;161738.061;382582.943;1;SON PIA PLUS 100W;2017-08-14;2022-07-19;son;geel;100;9700;25;E40;in40lux 100% - 19:00;A;SGS203 SON 100 W DIM;1999-05-01;2029-05-01;900;1;;ST 9 STANDAARD;1962-01-01;2024-11-05;;ST ENKEL 1 M VAST;1962-01-01;2002-01-01;"{""coordinates"": [5.484094687728093, 51.43231392063898], ""type"": ""Point""}";51.43231392063898, 5.484094687728093;51.432314237953705, 5.484095885198203
Julianastraat 014;92999;1 Centrum;11 Centrum;112 de Bergen;Julianastraat;;014;;Gemeente Eindhoven;160722.773;383140.525;1;PLL 36 W xtra polar;2018-09-19;2024-11-15;pll;wit;36;2900;82;2G11;in40lux 100% - uit40;A;SGP630 PL-L 36W;2015-01-28;2045-01-28;700;1;;ST 7 STANDAARD VZ;1991-01-01;2031-01-01;;ST ENKEL 1 M LOS;1991-01-01;2031-01-01;"{""coordinates"": [5.469503607113228, 51.437337075831714], ""type"": ""Point""}";51.437337075831714, 5.469503607113228;51.43733739394459, 5.469504885215093
Wilhelminaplein 001;93002;1 Centrum;11 Centrum;112 de Bergen;Wilhelminaplein;;001;;Gemeente Eindhoven;160913.059;383241.32;1;SON-T PIA PLUS 250W;2021-02-18;2025-02-06;sont;geel;250;33000;25;E40;in40lux 100% - uit40;A;SGS254 SON/T250W GB;2014-07-17;2044-07-17;1300;1;;ST 13 V-100.T.114;1977-01-01;2025-10-09;;ST ENKEL 1,50 M LOS;1977-01-01;2017-01-01;"{""coordinates"": [5.472241962790939, 51.43824112043141], ""type"": ""Point""}";51.43824112043141, 5.472241962790939;51.438241440148914, 5.472243236202289
Wilhelminaplein 004;93005;1 Centrum;11 Centrum;112 de Bergen;Wilhelminaplein;;004;;Gemeente Eindhoven;160817.729;383162.887;1;SON-T PIA PLUS 250W;2017-10-07;2021-09-22;sont;geel;250;33000;25;E40;in40lux 100% - uit40;A;SGS254 SON/T250W GB;2011-06-30;2041-06-30;1300;1;;ST 13 V-100.T.114;1977-01-01;2025-10-09;;ST ENKEL 1,50 M LOS;1977-01-01;2017-01-01;"{""coordinates"": [5.470869619767356, 51.43753710649949], ""type"": ""Point""}";51.43753710649949, 5.470869619767356;51.43753742517561, 5.470870894092318
Wilhelminaplein 005;93006;1 Centrum;11 Centrum;112 de Bergen;Wilhelminaplein;;005;;Gemeente Eindhoven;160794.658;383168.477;1;SON-T PIA PLUS 250W;2019-12-18;2023-12-06;sont;geel;250;33000;25;E40;in40lux 100% - uit40;A;SGS254 SON/T250W GB;2015-08-19;2045-08-19;1300;1;;ST 13 V-100.T.114;1977-01-01;2025-10-09;;ST ENKEL 1,50 M LOS;1977-01-01;2017-01-01;"{""coordinates"": [5.470537906169021, 51.43758759118223], ""type"": ""Point""}";51.43758759118223, 5.470537906169021;51.43758790981424, 5.470539181984753
Wilhelminaplein 006;93007;1 Centrum;11 Centrum;112 de Bergen;Wilhelminaplein;;006;;Gemeente Eindhoven;160806.202;383199.026;1;SON-T PIA PLUS 250W;2023-01-11;2026-12-31;sont;geel;250;33000;25;E40;in40lux 100% - uit40;A;SGS254 SON/T250W GB;2017-02-06;2047-02-06;1300;1;;ST 13 V-100.T.114;1977-01-01;2025-10-09;;ST ENKEL 1,50 M LOS;1977-01-01;2017-01-01;"{""coordinates"": [5.470704433885541, 51.43786206679084], ""type"": ""Point""}";51.43786206679084, 5.470704433885541;51.43786238572628, 5.470705710685066
Vonderweg 009;93017;1 Centrum;11 Centrum;112 de Bergen;Vonderweg;;009;;Gemeente Eindhoven;160693.05;383275.76;;LED84/740 DX70;2020-11-11;2045-08-15;LED;wit;60;8400;70;LED;in40lux 90% - 19:00;B;BGP761;2020-11-11;2040-11-11;1200;;;ST 12 COMBINATIEMAST VRI VZ;2015-03-31;2055-03-31;;ST DUBBEL 1,50 M L.;2015-03-31;2055-03-31;"{""coordinates"": [5.469078316511225, 51.4385529589814], ""type"": ""Point""}";51.4385529589814, 5.469078316511225;51.43855327811647, 5.469079603212017
Insulindelaan 004;93021;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;004;;Gemeente Eindhoven;162461.89;384761.698;;LED94/740 I DX70 DGR;2017-09-25;2042-11-04;LED;wit;64;9400;70;LED;in30lux 100% - 19:00;A;BGP761 LED94/740 I D;2017-09-25;2037-09-25;900;1;;ST 9 STANDAARD;1966-01-01;2023-10-18;;ST ENKEL 1 M LOS;1966-01-01;2006-01-01;"{""coordinates"": [5.494549634148833, 51.45188886288986], ""type"": ""Point""}";51.45188886288986, 5.494549634148833;51.45188920523325, 5.494550905198969
Insulindelaan 012;93024;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;012;;Gemeente Eindhoven;162571.984;384690.705;;LED94/740 I DX70 DGR;2017-09-25;2042-11-04;LED;wit;64;9400;70;LED;in30lux 100% - 19:00;A;BGP761 LED94/740 I D;2017-09-25;2037-09-25;900;1;;ST 9 STANDAARD VZ;2003-02-06;2043-02-06;;ST ENKEL 1 M LOS VZ;2003-02-06;2043-02-06;"{""coordinates"": [5.496131971644426, 51.45124926131305], ""type"": ""Point""}";51.45124926131305, 5.496131971644426;51.451249603398885, 5.496133232605265
Insulindelaan 024;93031;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;024;;Gemeente Eindhoven;162709.734;384529.578;;LED120/740 I DX50 DG;2017-09-25;2042-11-04;LED;wit;82;12000;70;LED;in30lux 100% - 19:00;A;BGP762 LED120/740 I;2017-10-16;2037-10-16;1100;1;;ST 11 STANDAARD VZ;1989-01-01;2029-01-01;;ST DUBBEL 1,50 M L.;1989-01-01;2029-01-01;"{""coordinates"": [5.498110154295583, 51.44979907743411], ""type"": ""Point""}";51.44979907743411, 5.498110154295583;51.44979941844127, 5.498111398951137
Insulindelaan 024;93032;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;024;;Gemeente Eindhoven;162709.734;384529.578;;LED120/740 I DX50 DG;2017-09-25;2042-11-04;LED;wit;82;12000;70;LED;in30lux 100% - 19:00;B;BGP762 LED120/740 I;2017-10-16;2037-10-16;1100;1;;ST 11 STANDAARD VZ;1989-01-01;2029-01-01;;ST DUBBEL 1,50 M L.;1989-01-01;2029-01-01;"{""coordinates"": [5.498110154295583, 51.44979907743411], ""type"": ""Point""}";51.44979907743411, 5.498110154295583;51.44979941844127, 5.498111398951137
Insulindelaan 074;93035;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;074;;Gemeente Eindhoven;162751.528;384451.102;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;A;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;1;;ST 13 STANDAARD;1977-01-01;2023-10-17;;ST DUBBEL 2 M LOS ME;1977-01-01;2017-01-01;"{""coordinates"": [5.498709668829688, 51.44909311032079], ""type"": ""Point""}";51.44909311032079, 5.498709668829688;51.44909345069016, 5.498710907034787
Insulindelaan 077;93041;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;077;;Gemeente Eindhoven;162795.217;384370.465;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;B;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;1;;ST 13 COMBINATIEMAST ANWB VZ;2001-02-01;2041-02-01;;ST DUBBEL 2 M LOS ME;1977-01-01;2017-01-01;"{""coordinates"": [5.499336377458315, 51.4483676894891], ""type"": ""Point""}";51.4483676894891, 5.499336377458315;51.448368029109034, 5.499337608778507
Insulindelaan 078;93043;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;078;;Gemeente Eindhoven;162809.66;384343.442;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;A;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;1;;ST 13 STANDAARD;1977-01-01;2023-10-18;;ST DUBBEL 2 M LOS ME;1977-01-01;2017-01-01;"{""coordinates"": [5.499543546482029, 51.44812458909126], ""type"": ""Point""}";51.44812458909126, 5.499543546482029;51.44812492845901, 5.499544775504359
Insulindelaan 079;93045;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;079;;Gemeente Eindhoven;162824.247;384316.419;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;A;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;2;;ST 13 V-100.T.114;2016-09-20;2056-09-20;;ST DUBBEL 1,50 M V.;2016-09-20;2056-09-20;"{""coordinates"": [5.499752784771215, 51.4478814863221], ""type"": ""Point""}";51.4478814863221, 5.499752784771215;51.44788182543687, 5.499754011478297
Insulindelaan 101;93049;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;101;;Gemeente Eindhoven;162904.659;384172.021;;LED110/740 DW10;2022-10-28;2047-12-02;LED;;64;11000;70;LED;in30lux 100% - 19:00;A;BGP762;2022-10-28;2042-10-28;1300;1;;ST 13 V-100.T.114;2022-10-28;2062-10-28;;ST ENKEL 100 X 162 V;2022-10-28;2062-10-28;"{""coordinates"": [5.500906289756666, 51.44658242024279], ""type"": ""Point""}";51.44658242024279, 5.500906289756666;51.44658275801717, 5.500907504027163
Insulindelaan 103;93051;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;103;;Gemeente Eindhoven;162915.778;384136.038;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;B;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;2;;ST 13 V-100.T.114;2012-04-04;2052-04-04;;ST DUBBEL 1,50 M L.;2012-04-04;2052-04-04;"{""coordinates"": [5.501065426436221, 51.44625882552032], ""type"": ""Point""}";51.44625882552032, 5.501065426436221;51.44625916292144, 5.501066638130951
Insulindelaan 106;93053;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;106;;Gemeente Eindhoven;162932.095;384111.039;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;B;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;2;;ST 13 V-100.T.114;1973-01-01;2023-10-18;;ST DUBBEL 1,50 M L.;1977-01-01;2017-01-01;"{""coordinates"": [5.501299578877091, 51.44603388864182], ""type"": ""Point""}";51.44603388864182, 5.501299578877091;51.44603422582164, 5.5013007883015295
Insulindelaan 106;93054;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;106;;Gemeente Eindhoven;162932.095;384111.039;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;A;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;2;;ST 13 V-100.T.114;1973-01-01;2023-10-18;;ST DUBBEL 1,50 M L.;1977-01-01;2017-01-01;"{""coordinates"": [5.501299578877091, 51.44603388864182], ""type"": ""Point""}";51.44603388864182, 5.501299578877091;51.44603422582164, 5.5013007883015295
Insulindelaan 112;93060;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;112;;Gemeente Eindhoven;163006.97;383976.901;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;A;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;2;;ST 13 V-100.T.114;1973-01-01;2023-10-18;;ST DUBBEL 1,50 M L.;1977-01-01;2017-01-01;"{""coordinates"": [5.502373580496023, 51.44482710944967], ""type"": ""Point""}";51.44482710944967, 5.502373580496023;51.444827445386515, 5.502374778520327
Insulindelaan 113;93061;1 Centrum;11 Centrum;115 TU-terrein;Insulindelaan;;113;;Gemeente Eindhoven;163021.283;383949.122;;LED109/740 I DW10 DG;2017-09-25;2042-11-04;LED;wit;78;10900;70;LED;in30lux 100% - 19:00;A;BGP761 LED109/740 I;2017-10-16;2037-10-16;1300;2;;ST 13 V-100.T.114;1973-01-01;2023-10-18;;ST DUBBEL 1,50 M L.;1977-01-01;2017-01-01;"{""coordinates"": [5.502578830041967, 51.444577210050696], ""type"": ""Point""}";51.444577210050696, 5.502578830041967;51.44457754572496, 5.502580025785473
Insulindeplein 001;93065;1 Centrum;11 Centrum;115 TU-terrein;Insulindeplein;;001;;Gemeente Eindhoven;162834.429;384235.487;;LED260/740 I DX50 DG;2017-09-25;2042-11-04;LED;wit;176;26000;70;LED;in30lux 100% - 19:00;C;BGP763 LED260/740 I;2017-09-25;2037-09-25;2500;2;;ST 25 BRUGMAST;1973-01-01;2018-09-25;;ST 3-VOUDIG 0,59 M;1973-01-01;2013-01-01;"{""coordinates"": [5.499897456870575, 51.44715387558562], ""type"": ""Point""}";51.44715387558562, 5.499897456870575;51.44715421379523, 5.499898678578524
Insulindeplein 002;93068;1 Centrum;11 Centrum;115 TU-terrein;Insulindeplein;;002;;Gemeente Eindhoven;162856.282;384192.859;;LED260/740 I DX50 DG;2017-09-25;2042-11-04;LED;wit;176;26000;70;LED;in30lux 100% - 19:00;A;BGP763 LED260/740 I;2017-09-25;2037-09-25;2500;2;;ST 25 BRUGMAST;1973-01-01;2018-09-25;;ST 3-VOUDIG 0,59 M;1973-01-01;2013-01-01;"{""coordinates"": [5.500210861714232, 51.44677040297101], ""type"": ""Point""}";51.44677040297101, 5.500210861714232;51.44677074077645, 5.500212079857364
Genderstraatje 001;93075;1 Centrum;11 Centrum;111 Binnenstad;Genderstraatje;;001;;Gemeente Eindhoven;161407.453;383446.946;;LED120/830 I DS50 DG;2020-08-10;2045-04-01;LED;;92;12000;80;LED;in40lux 100% - 19:00;A;BGP762 LED120/830 I;2020-08-10;2040-08-10;700;1;;ST 9 V-100.Q.143/G VZ CIL;2020-08-10;2060-08-10;;ST ENKEL 100x070;2020-08-10;2050-08-10;"{""coordinates"": [5.479356142913954, 51.4400840102935], ""type"": ""Point""}";51.4400840102935, 5.479356142913954;51.44008433373139, 5.479357400991379
Onze Lieve Vrouwestraat 046;93080;1 Centrum;11 Centrum;115 TU-terrein;Onze Lieve Vrouwestraat;;046;;Gemeente Eindhoven;161895.631;384820.699;;LED159/740 I DX70 DG;2017-09-25;2042-11-04;LED;wit;108;15900;70;LED;in30lux 87% - 19:00;A;BGP762 LED159/740 I;2017-09-25;2037-09-25;900;1;;ST 9 V-100.Q.143/G VZ CIL;2019-12-09;2059-12-09;;ST ENKEL 1 M LOS VZ;2000-10-11;2040-10-11;"{""coordinates"": [5.486404327469072, 51.45242642692134], ""type"": ""Point""}";51.45242642692134, 5.486404327469072;51.452426766999466, 5.4864056346504935
Onze Lieve Vrouwestraat 042;93081;1 Centrum;11 Centrum;115 TU-terrein;Onze Lieve Vrouwestraat;;042;;Gemeente Eindhoven;161807.949;384838.981;;LED120/740 I DX50 DG;2017-09-25;2042-11-04;LED;wit;82;12000;70;LED;in30lux 100% - 19:00;A;BGP762 LED120/740 I;2017-09-25;2037-09-25;1300;1;;ST 13 V-100.T.114;1991-01-01;2031-01-01;;ST ENKEL 1,50 M LOS;1991-01-01;2031-01-01;"{""coordinates"": [5.485143232174871, 51.4525918253046], ""type"": ""Point""}";51.4525918253046, 5.485143232174871;51.45259216509023, 5.485144545474789
Onze Lieve Vrouwestraat 056;93085;1 Centrum;11 Centrum;115 TU-terrein;Onze Lieve Vrouwestraat;;056;;Gemeente Eindhoven;162072.66;384825.398;;LED159/740 I DX70 DG;2017-09-25;2042-11-04;LED;wit;108;15900;70;LED;in30lux 100% - 19:00;A;BGP762 LED159/740 I;2017-09-25;2037-09-25;900;1;;ST 9 STANDAARD VZ;1996-11-28;2036-11-28;;ST ENKEL 1 M LOS VZ;1996-11-28;2036-11-28;"{""coordinates"": [5.488951271748795, 51.452466466878725], ""type"": ""Point""}";51.452466466878725, 5.488951271748795;51.45246680799081, 5.488952568826989
John F Kennedylaan 001;93088;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;001;;Gemeente Eindhoven;161523.387;384021.583;1;CDM-T 150W;2019-02-08;2022-01-30;cdm-t;wit;150;14000;88;G12;in40lux 100% - uit40;B;BGP761;2000-05-01;2030-05-01;1100;1;;ST 18 V-100.T.133 CIL VZ;2021-03-17;2061-03-17;;ST DUBBEL 0,44 M LOS;2018-09-12;2058-09-12;"{""coordinates"": [5.481034213488708, 51.44524789187158], ""type"": ""Point""}";51.44524789187158, 5.481034213488708;51.44524822167526, 5.48103549745239
John F Kennedylaan 009;93094;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;009;;Gemeente Eindhoven;161517.968;384137.3;;LED84/740 DM12;2020-04-21;2045-01-25;LED;;55;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-04-21;2040-04-21;1100;;;ST 11 V-100.T.115;2020-04-21;2060-04-21;;ST ENKEL 100 X 162 V;2020-04-21;2060-04-21;"{""coordinates"": [5.480958402460359, 51.44628809457744], ""type"": ""Point""}";51.44628809457744, 5.480958402460359;51.446288425576995, 5.480959693237857
John F Kennedylaan 011;93096;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;011;;Gemeente Eindhoven;161519.629;384166.563;;LED84/740 DM12;2020-04-21;2045-01-25;LED;;55;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-04-21;2040-04-21;1100;;;ST 11 V-100.T.115;2020-04-21;2060-04-21;;ST ENKEL 100 X 162 V;2020-04-21;2060-04-21;"{""coordinates"": [5.480982836192318, 51.44655111026315], ""type"": ""Point""}";51.44655111026315, 5.480982836192318;51.44655144157736, 5.4809841285330085
John F Kennedylaan 013;93097;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;013;;Gemeente Eindhoven;161524.112;384198.717;;LED84/740 DM12;2020-04-21;2045-01-25;LED;;55;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-04-21;2040-04-21;1100;;;ST 11 V-100.T.115;2020-04-21;2060-04-21;;ST ENKEL 100 X 162 V;2020-04-21;2060-04-21;"{""coordinates"": [5.48104791771849, 51.44684007941816], ""type"": ""Point""}";51.44684007941816, 5.48104791771849;51.446840411089, 5.481049211636499
John F Kennedylaan 019;93100;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;019;;Gemeente Eindhoven;161546.872;384293.164;;LED50/740 DM12;2020-04-21;2045-01-25;LED;wit;31;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-04-21;2040-04-21;1100;;;ST 11 V-100.T.115;2020-04-21;2060-04-21;;ST ENKEL 100 X 162 V;2020-04-21;2060-04-21;"{""coordinates"": [5.481377069832481, 51.44768876623747], ""type"": ""Point""}";51.44768876623747, 5.481377069832481;51.447689098994715, 5.4813783678761405
John F Kennedylaan 025;93103;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;025;;Gemeente Eindhoven;161584.134;384384.782;;LED50/740 DM12;2020-04-21;2045-01-25;LED;wit;31;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-04-21;2040-04-21;1100;;;ST 11 V-100.T.115;2020-04-21;2060-04-21;;ST ENKEL 100 X 162 V;2020-04-21;2060-04-21;"{""coordinates"": [5.481914798411916, 51.448511853670325], ""type"": ""Point""}";51.448511853670325, 5.481914798411916;51.44851218754341, 5.481916099653254
John F Kennedylaan 033;93107;1 Centrum;11 Centrum;115 TU-terrein;John F Kennedylaan;;033;;Gemeente Eindhoven;161643.643;384502.158;;LED84/740 DM12;2020-04-21;2045-01-25;LED;;55;8400;70;LED;in40lux 100% - 19:00;A;BGP761;2020-04-21;2040-04-21;1100;;;ST 11 V-100.T.115;2020-04-21;2060-04-21;;ST ENKEL 100 X 162 V;2020-04-21;2060-04-21;"{""coordinates"": [5.482773069155386, 51.44956620597544], ""type"": ""Point""}";51.44956620597544, 5.482773069155386;51.44956654132672, 5.482774373757813
