Kenteken,Subcategorie voertuig volgnummer,Subcategorie voertuig europees,Subcategorie voertuig europees omschrijving
0127ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0128WT,1,SE,Caravan
0129ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0130WE,1,SE,Caravan
0130ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0131WS,1,SE,Caravan
0132ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0133ZZ,1,SF,Mobiele kraan
0134ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0135ZZ,1,SF,Mobiele kraan
0137ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0139WS,1,SE,Caravan
0139ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0140WG,1,SE,Caravan
0141DB,1,SA,Kampeerwagen
0141ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0142WV,1,SE,Caravan
0142ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0146SB,1,SA,Kampeerwagen
0146ZZ,1,SF,Mobiele kraan
0147MB,1,SA,Kampeerwagen
0147ZZ,1,SG,Overig voertuig voor speciale doeleinden
0148ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0149ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0150WF,1,SE,Caravan
0150WT,1,SE,Caravan
0150ZZ,1,SF,Mobiele kraan
0151WV,1,SE,Caravan
0151ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0152ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0153ZZ,1,SG,Overig voertuig voor speciale doeleinden
0154ZZ,1,SF,Mobiele kraan
0155ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0156WE,1,SE,Caravan
0156WF,1,SE,Caravan
0156ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0158PU,1,SA,Kampeerwagen
0160XB,1,SA,Kampeerwagen
0163WG,1,SE,Caravan
0164RB,1,SA,Kampeerwagen
0164WD,1,SE,Caravan
0165WN,1,SE,Caravan
0165WX,1,SE,Caravan
0166ZZ,1,SG,Overig voertuig voor speciale doeleinden
0167ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0168WF,1,SE,Caravan
0169WG,1,SE,Caravan
0169ZZ,1,SF,Mobiele kraan
0171WF,1,SE,Caravan
0171WV,1,SE,Caravan
0171ZZ,1,SF,Mobiele kraan
0172ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0173WZ,1,SE,Caravan
0173ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0174ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0175ZZ,1,SF,Mobiele kraan
0176XB,1,SA,Kampeerwagen
0176ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0177ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0180ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0181WL,1,SE,Caravan
0181WT,1,SE,Caravan
0181ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0182ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0183ZZ,1,SF,Mobiele kraan
0184ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0185WJ,1,SE,Caravan
0185ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0186ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0187VB,1,SA,Kampeerwagen
0187ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0189ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0190WD,1,SE,Caravan
0190ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
0191WH,1,SE,Caravan
0191WJ,1,SE,Caravan
0193ZZ,1,SF,Mobiele kraan
0195ZZ,1,SF,Mobiele kraan
0196ZZ,1,SF,Mobiele kraan
0197UT,1,SA,Kampeerwagen
0198WJ,1,SE,Caravan
0199WH,1,SE,Caravan
0199ZZ,1,SK,Aanhangwagen vervoer van uitzond lading
01BBGR,1,SA,Kampeerwagen
01BBKX,1,SA,Kampeerwagen
01BBNS,1,SA,Kampeerwagen
01BBRJ,1,SA,Kampeerwagen
01BBSX,1,SA,Kampeerwagen
01BBTF,1,SA,Kampeerwagen
01BBVT,1,SA,Kampeerwagen
01BBZS,1,SA,Kampeerwagen
01BDBZ,1,SA,Kampeerwagen
01BDDS,1,SA,Kampeerwagen
01BDGX,1,SA,Kampeerwagen
01BDNX,1,SA,Kampeerwagen
01BDSF,1,SA,Kampeerwagen
01BDTZ,1,SA,Kampeerwagen
01BFFS,1,SA,Kampeerwagen
01BFKP,1,SA,Kampeerwagen
01BFXF,1,SA,Kampeerwagen
01BGDS,1,SA,Kampeerwagen
01BGFT,1,SA,Kampeerwagen
01BGFZ,1,SA,Kampeerwagen
01BGHX,1,SA,Kampeerwagen
01BGJS,1,SA,Kampeerwagen
01BGLN,1,SA,Kampeerwagen
01BGXG,1,SA,Kampeerwagen
01BHBH,1,SA,Kampeerwagen
01BHF8,1,SF,Mobiele kraan
01BHG9,1,SF,Mobiele kraan
01BHGJ,1,SA,Kampeerwagen
01BHKR,1,SA,Kampeerwagen
01BHNZ,1,SA,Kampeerwagen
01BHPN,1,SA,Kampeerwagen
01BHPS,1,SA,Kampeerwagen
01BHRR,1,SA,Kampeerwagen
01BHSJ,1,SA,Kampeerwagen
01BHTS,1,SA,Kampeerwagen
01BHZS,1,SA,Kampeerwagen
01BJFV,1,SA,Kampeerwagen
01BJLR,1,SA,Kampeerwagen
01BJNP,1,SA,Kampeerwagen
01BJRF,1,SA,Kampeerwagen
01BJV8,1,SF,Mobiele kraan
01BKVV,1,SA,Kampeerwagen
01BKXD,1,SA,Kampeerwagen
01BKZ6,1,SF,Mobiele kraan
01BLJ3,1,SF,Mobiele kraan
01BLKR,1,SA,Kampeerwagen
01BLPN,1,SA,Kampeerwagen
01BLRT,1,SA,Kampeerwagen
01BLZS,1,SA,Kampeerwagen
01BNBF,1,SA,Kampeerwagen
01BNDG,1,SA,Kampeerwagen
01BNFP,1,SA,Kampeerwagen
01BNGT,1,SA,Kampeerwagen
01BNKG,1,SA,Kampeerwagen
01BNLJ,1,SA,Kampeerwagen
01BNNH,1,SA,Kampeerwagen
01BNPH,1,SA,Kampeerwagen
01BPBK,1,SA,Kampeerwagen
01BPN4,1,SF,Mobiele kraan
01BPPG,1,SA,Kampeerwagen
01BPRJ,1,SA,Kampeerwagen
01BPSB,1,SG,Overig voertuig voor speciale doeleinden
01BPSH,1,SA,Kampeerwagen
01BPTP,1,SA,Kampeerwagen
01BPXP,1,SA,Kampeerwagen
01BPZB,1,SA,Kampeerwagen
01BRBP,1,SA,Kampeerwagen
01BRG5,1,SF,Mobiele kraan
01BRHZ,1,SA,Kampeerwagen
01BRK6,1,SF,Mobiele kraan
01BRRG,1,SA,Kampeerwagen
01BRSK,1,SA,Kampeerwagen
01BRSR,1,SA,Kampeerwagen
01BRV1,1,SF,Mobiele kraan
01BSDH,1,SA,Kampeerwagen
01BSKZ,1,SA,Kampeerwagen
01BSN7,1,SF,Mobiele kraan
01BSVJ,1,SA,Kampeerwagen
01BSXL,1,SA,Kampeerwagen
01BSXV,1,SA,Kampeerwagen
01BTFF,1,SA,Kampeerwagen
01BTHL,1,SA,Kampeerwagen
01BTKV,1,SA,Kampeerwagen
01BTNJ,1,SA,Kampeerwagen
01BTTB,1,SA,Kampeerwagen
01BTZD,1,SA,Kampeerwagen
01BVDJ,1,SA,Kampeerwagen
01BVGK,1,SA,Kampeerwagen
01BVNG,1,SA,Kampeerwagen
01BXBT,1,SA,Kampeerwagen
01BXGR,1,SA,Kampeerwagen
01BXPX,1,SA,Kampeerwagen
01BXRF,1,SA,Kampeerwagen
01BXSX,1,SA,Kampeerwagen
01BXVT,1,SA,Kampeerwagen
01BXXX,1,SA,Kampeerwagen
01BZBB,1,SA,Kampeerwagen
01BZDJ,1,SA,Kampeerwagen
01BZHB,1,SA,Kampeerwagen
01BZJP,1,SA,Kampeerwagen
01BZTD,1,SA,Kampeerwagen
01BZTP,1,SA,Kampeerwagen
01BZXL,1,SA,Kampeerwagen
01EB48,1,SA,Kampeerwagen
01EB70,1,SA,Kampeerwagen
01FHZN,1,SA,Kampeerwagen
01FN61,1,SA,Kampeerwagen
01FPTT,1,SA,Kampeerwagen
01FXFD,1,SA,Kampeerwagen
01GBGS,1,SA,Kampeerwagen
01GBJ8,1,SA,Kampeerwagen
01GBT3,1,SA,Kampeerwagen
01GDS9,1,SA,Kampeerwagen
01GFL8,1,SA,Kampeerwagen
01GGB7,1,SA,Kampeerwagen
01GGFK,1,SA,Kampeerwagen
01GHV1,1,SA,Kampeerwagen
01GKV8,1,SA,Kampeerwagen
01GKX2,1,SA,Kampeerwagen
01GNH6,1,SA,Kampeerwagen
01GNJ6,1,SA,Kampeerwagen
01GSN2,1,SA,Kampeerwagen
01GTL3,1,SD,Lijkwagen
01GVBX,1,SA,Kampeerwagen
01GXDL,1,SA,Kampeerwagen
01GXGK,1,SA,Kampeerwagen
01GXJ1,1,SA,Kampeerwagen
01GZH2,1,SA,Kampeerwagen
01HB98,1,SA,Kampeerwagen
01HBDL,1,SA,Kampeerwagen
01HBDR,1,SA,Kampeerwagen
01HBG2,1,SA,Kampeerwagen
01HDGH,1,SA,Kampeerwagen
01HFZ3,1,SA,Kampeerwagen
01HGXS,1,SA,Kampeerwagen
01HHPH,1,SA,Kampeerwagen
01HJH1,1,SA,Kampeerwagen
01HJJ1,1,SA,Kampeerwagen
01HJK4,1,SA,Kampeerwagen
01HJPH,1,SA,Kampeerwagen
01HLLH,1,SA,Kampeerwagen
01HNHK,1,SA,Kampeerwagen
01HNP1,1,SA,Kampeerwagen
01HRK6,1,SA,Kampeerwagen
01HRX4,1,SA,Kampeerwagen
01HSH9,1,SA,Kampeerwagen
01HTK8,1,SA,Kampeerwagen
01HVF1,1,SA,Kampeerwagen
01HVH1,1,SH,Voor rolstoelen toegankelijk voertuig
01HVN6,1,SA,Kampeerwagen
01HVNN,1,SA,Kampeerwagen
01HXP1,1,SA,Kampeerwagen
01HXP3,1,SA,Kampeerwagen
01HZG6,1,SA,Kampeerwagen
01HZG7,1,SA,Kampeerwagen
01HZS5,1,SA,Kampeerwagen
01JBD4,1,SA,Kampeerwagen
01JBX5,1,SA,Kampeerwagen
01JDBG,1,SA,Kampeerwagen
01JDR4,1,SA,Kampeerwagen
01JDT8,1,SA,Kampeerwagen
01JFK1,1,SA,Kampeerwagen
01JFLJ,1,SA,Kampeerwagen
01JFV6,1,SA,Kampeerwagen
01JGJ8,1,SA,Kampeerwagen
01JGL9,1,SA,Kampeerwagen
01JGS9,1,SA,Kampeerwagen
01JGX2,1,SA,Kampeerwagen
01JGZ4,1,SA,Kampeerwagen
01JHH7,1,SA,Kampeerwagen
01JHK1,1,SA,Kampeerwagen
01JHNR,1,SA,Kampeerwagen
01JHV4,1,SA,Kampeerwagen
01JHX3,1,SA,Kampeerwagen
01JHZ6,1,SC,Ambulance
01JJJ5,1,SA,Kampeerwagen
01JJP7,1,SA,Kampeerwagen
01JKJ8,1,SA,Kampeerwagen
01JKT3,1,SA,Kampeerwagen
01JLR2,1,SA,Kampeerwagen
01JLZ9,1,SA,Kampeerwagen
01JNR4,1,SA,Kampeerwagen
01JNT9,1,SA,Kampeerwagen
01JNX7,1,SA,Kampeerwagen
01JPH7,1,SA,Kampeerwagen
01JPKS,1,SA,Kampeerwagen
01JRB3,1,SH,Voor rolstoelen toegankelijk voertuig
01JRJ4,1,SA,Kampeerwagen
01JRK1,1,SA,Kampeerwagen
01JRLV,1,SA,Kampeerwagen
01JRX2,1,SA,Kampeerwagen
01JSF7,1,SA,Kampeerwagen
01JTFH,1,SA,Kampeerwagen
01JTG6,1,SA,Kampeerwagen
01JTH5,1,SA,Kampeerwagen
01JTK3,1,SA,Kampeerwagen
01JTX6,1,SA,Kampeerwagen
01JVK4,1,SA,Kampeerwagen
01JXBT,1,SA,Kampeerwagen
01JXV7,1,SA,Kampeerwagen
01JXVJ,1,SA,Kampeerwagen
01JXXV,1,SA,Kampeerwagen
01JZTB,1,SA,Kampeerwagen
01KBH3,1,SA,Kampeerwagen
01KBH5,1,SA,Kampeerwagen
01KBL6,1,SA,Kampeerwagen
01KFJ1,1,SA,Kampeerwagen
01KHL4,1,SA,Kampeerwagen
01KJG5,1,SA,Kampeerwagen
01KJT6,1,SA,Kampeerwagen
01KKP2,1,SH,Voor rolstoelen toegankelijk voertuig
01KNP1,1,SA,Kampeerwagen
01KPN8,1,SA,Kampeerwagen
01KPV6,1,SA,Kampeerwagen
01KRL5,1,SA,Kampeerwagen
01KRS5,1,SA,Kampeerwagen
01KSR9,1,SA,Kampeerwagen
01KTB5,1,SA,Kampeerwagen
01KTZ2,1,SA,Kampeerwagen
01KVD1,1,SA,Kampeerwagen
01KXN4,1,SH,Voor rolstoelen toegankelijk voertuig
01KXX4,1,SA,Kampeerwagen
01KZH1,1,SA,Kampeerwagen
01KZR7,1,SA,Kampeerwagen
01KZS3,1,SA,Kampeerwagen
01KZT8,1,SD,Lijkwagen
01KZZ2,1,SA,Kampeerwagen
01LBD1,1,SA,Kampeerwagen
01LBG1,1,SA,Kampeerwagen
01LBG3,1,SA,Kampeerwagen
01LBN6,1,SA,Kampeerwagen
01LBX9,1,SA,Kampeerwagen
01LDS4,1,SA,Kampeerwagen
01LDV2,1,SH,Voor rolstoelen toegankelijk voertuig
01LFD7,1,SA,Kampeerwagen
01LFS5,1,SA,Kampeerwagen
01LFZ2,1,SA,Kampeerwagen
01LHD3,1,SA,Kampeerwagen
01LHD9,1,SA,Kampeerwagen
01LHJ4,1,SA,Kampeerwagen
01LJV6,1,SA,Kampeerwagen
01LKB1,1,SA,Kampeerwagen
01LKT4,1,SA,Kampeerwagen
01LKVZ,1,SA,Kampeerwagen
01LKZ4,1,SA,Kampeerwagen
01LLD4,1,SA,Kampeerwagen
01LLKD,1,SA,Kampeerwagen
01LLV1,1,SA,Kampeerwagen
01LNH7,1,SA,Kampeerwagen
01LNL8,1,SA,Kampeerwagen
01LNLT,1,SA,Kampeerwagen
01LNRX,1,SA,Kampeerwagen
01LPP2,1,SA,Kampeerwagen
01LPP5,1,SA,Kampeerwagen
01LPS7,1,SA,Kampeerwagen
01LPTV,1,SA,Kampeerwagen
01LRK8,1,SA,Kampeerwagen
01LSG8,1,SA,Kampeerwagen
01LSKF,1,SA,Kampeerwagen
01LTG1,1,SA,Kampeerwagen
01LVBH,1,SA,Kampeerwagen
01LVT7,1,SA,Kampeerwagen
01LXR9,1,SA,Kampeerwagen
01LXTX,1,SA,Kampeerwagen
01LZD7,1,SA,Kampeerwagen
01LZP4,1,SA,Kampeerwagen
01NB30,1,SA,Kampeerwagen
01NB71,1,SA,Kampeerwagen
01NBB2,1,SA,Kampeerwagen
01NBT4,1,SA,Kampeerwagen
01NDF3,1,SA,Kampeerwagen
01NFF2,1,SA,Kampeerwagen
01NFG4,1,SA,Kampeerwagen
01NFX4,1,SH,Voor rolstoelen toegankelijk voertuig
01NGJJ,1,SA,Kampeerwagen
01NGTR,1,SA,Kampeerwagen
01NHR2,1,SH,Voor rolstoelen toegankelijk voertuig
01NLH5,1,SA,Kampeerwagen
01NLS4,1,SA,Kampeerwagen
01NN26,1,SA,Kampeerwagen
01NNV7,1,SA,Kampeerwagen
01NPS5,1,SA,Kampeerwagen
01NPSJ,1,SA,Kampeerwagen
01NPV8,1,SA,Kampeerwagen
01NRXR,1,SA,Kampeerwagen
01NSR1,1,SA,Kampeerwagen
01NST6,1,SA,Kampeerwagen
01NTB9,1,SA,Kampeerwagen
01NTL3,1,SA,Kampeerwagen
01NVTD,1,SA,Kampeerwagen
01NVZX,1,SA,Kampeerwagen
01NXD3,1,SA,Kampeerwagen
01NXKV,1,SA,Kampeerwagen
01NXL9,1,SA,Kampeerwagen
01NXN8,1,SA,Kampeerwagen
01NXT2,1,SA,Kampeerwagen
01NXT3,1,SA,Kampeerwagen
01NXV3,1,SA,Kampeerwagen
01NXXX,1,SA,Kampeerwagen
01NXZ3,1,SH,Voor rolstoelen toegankelijk voertuig
01NZB8,1,SH,Voor rolstoelen toegankelijk voertuig
01NZKT,1,SA,Kampeerwagen
01PBBV,1,SA,Kampeerwagen
01PBVP,1,SA,Kampeerwagen
01PDHG,1,SA,Kampeerwagen
01PDJN,1,SA,Kampeerwagen
01PDSZ,1,SA,Kampeerwagen
01PFNV,1,SA,Kampeerwagen
01PHDG,1,SA,Kampeerwagen
01PJH3,1,SA,Kampeerwagen
01PJPB,1,SA,Kampeerwagen
01PKG2,1,SH,Voor rolstoelen toegankelijk voertuig
01PLV8,1,SA,Kampeerwagen
01PND6,1,SH,Voor rolstoelen toegankelijk voertuig
01PNN4,1,SA,Kampeerwagen
01PNVV,1,SA,Kampeerwagen
01PPHL,1,SA,Kampeerwagen
01PPJ3,1,SA,Kampeerwagen
01PRN5,1,SA,Kampeerwagen
01PSN9,1,SA,Kampeerwagen
01PSP5,1,SA,Kampeerwagen
01PTXV,1,SA,Kampeerwagen
01PVN9,1,SA,Kampeerwagen
01PVZ2,1,SA,Kampeerwagen
01PXK4,1,SA,Kampeerwagen
01PZB3,1,SA,Kampeerwagen
01PZJ1,1,SA,Kampeerwagen
01PZN4,1,SA,Kampeerwagen
01PZVS,1,SA,Kampeerwagen
01RBP1,1,SA,Kampeerwagen
01RDF5,1,SH,Voor rolstoelen toegankelijk voertuig
01RDFD,1,SA,Kampeerwagen
01RFD6,1,SA,Kampeerwagen
01RFN7,1,SA,Kampeerwagen
01RFN9,1,SA,Kampeerwagen
01RGH9,1,SA,Kampeerwagen
01RGHF,1,SA,Kampeerwagen
01RGKJ,1,SA,Kampeerwagen
01RGXP,1,SA,Kampeerwagen
01RHB2,1,SA,Kampeerwagen
01RHJ1,1,SA,Kampeerwagen
01RHKZ,1,SA,Kampeerwagen
01RHXJ,1,SA,Kampeerwagen
01RHZ7,1,SA,Kampeerwagen
01RJHB,1,SA,Kampeerwagen
01RJRK,1,SA,Kampeerwagen
01RKF5,1,SA,Kampeerwagen
01RKHG,1,SA,Kampeerwagen
01RKPD,1,SA,Kampeerwagen
01RLFR,1,SA,Kampeerwagen
01RLKH,1,SA,Kampeerwagen
01RLNB,1,SA,Kampeerwagen
01RLNF,1,SA,Kampeerwagen
01RND6,1,SA,Kampeerwagen
01RNDL,1,SA,Kampeerwagen
01RPB3,1,SA,Kampeerwagen
01RPFV,1,SA,Kampeerwagen
01RPKJ,1,SA,Kampeerwagen
01RRFH,1,SA,Kampeerwagen
01RRG6,1,SA,Kampeerwagen
01RRKH,1,SA,Kampeerwagen
01RRN3,1,SA,Kampeerwagen
01RRNS,1,SA,Kampeerwagen
01RSL6,1,SH,Voor rolstoelen toegankelijk voertuig
01RSN8,1,SA,Kampeerwagen
01RSV8,1,SA,Kampeerwagen
01RTH9,1,SA,Kampeerwagen
01RVG6,1,SA,Kampeerwagen
01RVHG,1,SA,Kampeerwagen
01RVHP,1,SA,Kampeerwagen
01RVLJ,1,SA,Kampeerwagen
01RZL5,1,SH,Voor rolstoelen toegankelijk voertuig
01SBG9,1,SH,Voor rolstoelen toegankelijk voertuig
01SBJG,1,SA,Kampeerwagen
01SBS2,1,SA,Kampeerwagen
01SFDV,1,SA,Kampeerwagen
01SJKX,1,SA,Kampeerwagen
01SJRT,1,SA,Kampeerwagen
01SKG5,1,SA,Kampeerwagen
01SKHH,1,SA,Kampeerwagen
01SKV5,1,SA,Kampeerwagen
01SKZR,1,SA,Kampeerwagen
01SLG3,1,SA,Kampeerwagen
01SLGX,1,SA,Kampeerwagen
01SLJ9,1,SA,Kampeerwagen
01SLPT,1,SA,Kampeerwagen
01SLZD,1,SA,Kampeerwagen
01SPK9,1,SA,Kampeerwagen
01SPTK,1,SA,Kampeerwagen
01SRKX,1,SA,Kampeerwagen
01SRSP,1,SA,Kampeerwagen
01SRTT,1,SA,Kampeerwagen
01SRV5,1,SA,Kampeerwagen
01SRXT,1,SA,Kampeerwagen
01SRZZ,1,SA,Kampeerwagen
01STB9,1,SA,Kampeerwagen
01SVGV,1,SA,Kampeerwagen
01SVJ7,1,SA,Kampeerwagen
01SVRD,1,SA,Kampeerwagen
01SVSF,1,SA,Kampeerwagen
01SXDP,1,SA,Kampeerwagen
01SXDX,1,SA,Kampeerwagen
01SXZ6,1,SA,Kampeerwagen
01SZDX,1,SA,Kampeerwagen
01SZVS,1,SA,Kampeerwagen
01TB14,1,SA,Kampeerwagen
01TBV8,1,SA,Kampeerwagen
01TBVP,1,SD,Lijkwagen
01TFP3,1,SA,Kampeerwagen
01TFZP,1,SA,Kampeerwagen
01TGP6,1,SA,Kampeerwagen
01TGS3,1,SH,Voor rolstoelen toegankelijk voertuig
01TGZ9,1,SA,Kampeerwagen
01TJT2,1,SA,Kampeerwagen
01TKR8,1,SA,Kampeerwagen
01TKRN,1,SA,Kampeerwagen
01TLH5,1,SA,Kampeerwagen
01TNN6,1,SA,Kampeerwagen
01TNNK,1,SA,Kampeerwagen
01TNR3,1,SA,Kampeerwagen
01TNS2,1,SA,Kampeerwagen
01TNV9,1,SH,Voor rolstoelen toegankelijk voertuig
01TPR5,1,SA,Kampeerwagen
01TPV9,1,SA,Kampeerwagen
01TRG8,1,SA,Kampeerwagen
01TRN9,1,SA,Kampeerwagen
01TRX4,1,SA,Kampeerwagen
01TSF2,1,SH,Voor rolstoelen toegankelijk voertuig
01TSKH,1,SA,Kampeerwagen
01TSX4,1,SA,Kampeerwagen
01TSZ4,1,SA,Kampeerwagen
01TTJ4,1,SA,Kampeerwagen
01TTK4,1,SA,Kampeerwagen
01TVN7,1,SA,Kampeerwagen
01TVRT,1,SA,Kampeerwagen
01TXK2,1,SA,Kampeerwagen
01TXNR,1,SA,Kampeerwagen
01TZZ1,1,SA,Kampeerwagen
01UB19,1,SA,Kampeerwagen
01VB43,1,SA,Kampeerwagen
01VBB9,1,SA,Kampeerwagen
01VBBR,1,SA,Kampeerwagen
01VBD2,1,SA,Kampeerwagen
01VBF9,1,SA,Kampeerwagen
01VBHH,1,SA,Kampeerwagen
01VBN5,1,SA,Kampeerwagen
01VBN8,1,SA,Kampeerwagen
01VBPB,1,SA,Kampeerwagen
01VBT7,1,SA,Kampeerwagen
01VBXJ,1,SA,Kampeerwagen
01VDH5,1,SA,Kampeerwagen
01VDJV,1,SA,Kampeerwagen
01VDNJ,1,SA,Kampeerwagen
01VFF3,1,SA,Kampeerwagen
01VFGL,1,SA,Kampeerwagen
01VFRP,1,SA,Kampeerwagen
01VFS9,1,SA,Kampeerwagen
01VFTF,1,SA,Kampeerwagen
01VFZJ,1,SA,Kampeerwagen
01VGBB,1,SA,Kampeerwagen
01VGDP,1,SA,Kampeerwagen
01VGGJ,1,SA,Kampeerwagen
01VGHH,1,SA,Kampeerwagen
01VGJP,1,SA,Kampeerwagen
01VGNV,1,SA,Kampeerwagen
01VGRR,1,SA,Kampeerwagen
01VGS6,1,SA,Kampeerwagen
01VGV5,1,SA,Kampeerwagen
01VHBJ,1,SA,Kampeerwagen
01VHDF,1,SA,Kampeerwagen
01VHFR,1,SA,Kampeerwagen
01VHH3,1,SA,Kampeerwagen
01VHHS,1,SA,Kampeerwagen
01VHK3,1,SA,Kampeerwagen
01VHNH,1,SA,Kampeerwagen
01VHR4,1,SA,Kampeerwagen
01VHRT,1,SA,Kampeerwagen
01VHVG,1,SA,Kampeerwagen
01VHVV,1,SA,Kampeerwagen
01VJD4,1,SA,Kampeerwagen
01VJG6,1,SA,Kampeerwagen
01VJGS,1,SA,Kampeerwagen
01VJJK,1,SA,Kampeerwagen
01VJJR,1,SA,Kampeerwagen
01VJP3,1,SA,Kampeerwagen
01VJTL,1,SA,Kampeerwagen
01VJX4,1,SA,Kampeerwagen
01VJXG,1,SA,Kampeerwagen
01VJZJ,1,SA,Kampeerwagen
01VKG4,1,SA,Kampeerwagen
01VKH5,1,SG,Overig voertuig voor speciale doeleinden
01VLB9,1,SA,Kampeerwagen
01VLFR,1,SA,Kampeerwagen
01VLLN,1,SA,Kampeerwagen
01VLLV,1,SA,Kampeerwagen
01VLPV,1,SA,Kampeerwagen
01VLZG,1,SA,Kampeerwagen
01VNFB,1,SA,Kampeerwagen
01VNJG,1,SA,Kampeerwagen
01VNP5,1,SA,Kampeerwagen
01VNPS,1,SA,Kampeerwagen
01VNRX,1,SA,Kampeerwagen
01VNTH,1,SA,Kampeerwagen
01VNV8,1,SA,Kampeerwagen
01VNX1,1,SG,Overig voertuig voor speciale doeleinden
01VNXV,1,SA,Kampeerwagen
01VPB4,1,SA,Kampeerwagen
01VPDR,1,SA,Kampeerwagen
01VPJ2,1,SA,Kampeerwagen
01VPK6,1,SA,Kampeerwagen
01VPKF,1,SA,Kampeerwagen
01VPPF,1,SA,Kampeerwagen
01VPRG,1,SA,Kampeerwagen
01VPT4,1,SA,Kampeerwagen
01VPT8,1,SA,Kampeerwagen
01VPTL,1,SA,Kampeerwagen
01VPTS,1,SA,Kampeerwagen
01VPZF,1,SA,Kampeerwagen
01VRDK,1,SA,Kampeerwagen
01VRG1,1,SA,Kampeerwagen
01VRJ6,1,SA,Kampeerwagen
01VRJJ,1,SA,Kampeerwagen
01VRLS,1,SA,Kampeerwagen
01VRNV,1,SA,Kampeerwagen
01VRP2,1,SA,Kampeerwagen
01VRSB,1,SA,Kampeerwagen
01VRTB,1,SA,Kampeerwagen
01VRTH,1,SA,Kampeerwagen
01VRTX,1,SA,Kampeerwagen
01VRX2,1,SA,Kampeerwagen
01VRXK,1,SA,Kampeerwagen
01VRZD,1,SA,Kampeerwagen
01VSLF,1,SA,Kampeerwagen
01VSPL,1,SA,Kampeerwagen
01VTBN,1,SA,Kampeerwagen
01VTBR,1,SA,Kampeerwagen
01VTG4,1,SA,Kampeerwagen
01VTGN,1,SA,Kampeerwagen
01VTJ5,1,SA,Kampeerwagen
01VTJ9,1,SA,Kampeerwagen
01VTS2,1,SA,Kampeerwagen
01VTTG,1,SA,Kampeerwagen
01VTV3,1,SA,Kampeerwagen
01VTX8,1,SA,Kampeerwagen
01VVJB,1,SA,Kampeerwagen
01VVJJ,1,SA,Kampeerwagen
01VVLD,1,SA,Kampeerwagen
01VVNK,1,SA,Kampeerwagen
01VVRZ,1,SA,Kampeerwagen
01VVS3,1,SA,Kampeerwagen
01VVT3,1,SA,Kampeerwagen
01VXDB,1,SA,Kampeerwagen
01VXK7,1,SA,Kampeerwagen
01VXP1,1,SA,Kampeerwagen
01VXS8,1,SA,Kampeerwagen
01VXVF,1,SA,Kampeerwagen
01VXXL,1,SA,Kampeerwagen
01VZBG,1,SA,Kampeerwagen
01VZNT,1,SA,Kampeerwagen
01VZT6,1,SA,Kampeerwagen
01VZTG,1,SA,Kampeerwagen
01VZXJ,1,SA,Kampeerwagen
01VZXP,1,SA,Kampeerwagen
01VZZR,1,SA,Kampeerwagen
01WBB1,1,SE,Caravan
01WBBG,1,SE,Caravan
01WBBH,1,SE,Caravan
01WBBJ,1,SE,Caravan
01WBBK,1,SE,Caravan
01WBBN,1,SE,Caravan
01WBBS,1,SE,Caravan
01WBBT,1,SE,Caravan
01WBD2,1,SE,Caravan
01WBD5,1,SE,Caravan
01WBDB,1,SE,Caravan
01WBDD,1,SE,Caravan
01WBDG,1,SE,Caravan
01WBDJ,1,SE,Caravan
01WBDN,1,SE,Caravan
01WBDR,1,SE,Caravan
01WBDT,1,SE,Caravan
01WBF1,1,SE,Caravan
01WBF2,1,SE,Caravan
01WBF6,1,SE,Caravan
01WBF9,1,SE,Caravan
01WBFB,1,SE,Caravan
01WBFD,1,SE,Caravan
01WBFH,1,SE,Caravan
01WBFP,1,SE,Caravan
01WBFX,1,SE,Caravan
01WBG1,1,SE,Caravan
01WBG7,1,SE,Caravan
