bestemming;brinnummer;school;bestuursnummer;gebouwnummer;postcode;adres;economisch_eigenaar;juridisch_eigenaar;stadsdeel;wijk;bouwaard;bouwjaar;bvo;xcoord;ycoord;ozb;opstal;verzekerd;lesruimte;gymruimte;kadastraal;archief;long;lat
VO;19ZP00;Maris College Bohemen;41360;150;2555 XZ;Mgr. Nolenslaan 16;Gemeente;41360;1;18;Permanent;2011;5491;76875;453421;0;0;0;44;;LSD 7250 I;0;4.247900560621625;52.06356830001934
BO;03PY;De Oase;20281;494;2565 DC;Resedastraat 50;Gemeente;20281;3;12;Permanent;2011;2180;77444;454760;0;0;0;19;;GVH AN 4975;0;4.255892531718318;52.07568140225125
BO;17PY;Galvanischool;41572;499;2565 BM;Stokroosstraat 185;Gemeente;41572;3;12;Permanent;2011;2577;77444;454760;0;0;0;22;;GVH AN 4975;0;4.255892531718318;52.07568140225125
BO;05VX02;Europese School Den Haag, elementary edu;46879;496;2566 HA;Houtrustweg 2;Gemeente;46879;3;12;Permanent;1960;2459;78616;455641;0;0;0;19;;GVH AN 5953;0;4.272788140542422;52.08376159650515
BO-Voorschool;19NT/VPZ;Voorschool De Drentse Hoek;41572;489;2545 SL;Oosterhesselenstraat 586;Gemeente;41572;2;34;Permanent;2011;115;78786;451499;0;0;0;1;;GVH AW 491;1;4.276192586018872;52.046562070533156
BO;13ZY;De Regenboog;20281;134;2522 GR;Linnaeusstraat 4 + 6;Gemeente;20281;6;38;Permanent;1992;369;82597;452867;0;0;0;3;;GVH AI 9627;0;4.33144826505524;52.0593671001908
BO-Voorschool;19NW/VPZ;Voorschool Van Ostadeschool;;168;2526 EV;Van Ostadestraat 245;Gemeente;41572;5;29;Permanent;2012;83;80817;453693;0;0;0;1;;GVH AE 5425;0;4.305317884508548;52.06655471265518
BO;05VV;Schoolvereniging Wolters;95681;481;2597 PH;Utenbroekestraat 2;Gemeente;95681;7;4;Permanent;2012;2423;81436;457262;0;0;0;18;;GVH X 5783;0;4.3135741074503064;52.09871105338063
GYM;05VV;Schoolvereniging Wolters;95681;481;2597 PH;Utenbroekestraat 2;Gemeente;95681;7;4;Permanent;2012;430;81436;457262;0;0;0;;1;GVH X 5783;0;4.3135741074503064;52.09871105338063
GYM;19YS;De Vlierboom;41572;151;2564 LA;Mient 351;Gemeente;CVDH;3;19;Permanent;1927;282;77710;453964;0;0;0;;1;GVH AV 3194;1;4.259952237986722;52.06856521968216
GYM;17HR05;Heldring College;20281;381;2517 RZ;Morsestraat 1;Gemeente;20281;3;12;Permanent;2012;1933;78817;455436;0;0;0;;1;GVH N 8111;0;4.275765920335848;52.08194702757057
VO;21GU08;College St. Paul;20281;508;2591 SG;Isabellaland 259;Gemeente;20281;7;25;Permanent;2012;2628;850780;456923;0;0;0;39;;GVH AS 1752;0;15.466746690333634;51.666455567105054
GYM;05HC;Montessori-basisschool John F. Kennedy;20281;508;2591 SG;Isabellaland 259;Gemeente;20281;7;25;Permanent;2012;910;85078;456923;0;0;0;;4;GVH AS 1752;0;4.36678848011691;52.096136613911504
GYM;17SU;Comenius Chr. Basisschool;70176;1150;2572 NR;Colensostraat 2;Gemeente;99990;5;30;Permanent;1984;756;80105;453122;0;0;0;;3;GVH AB 6687;0;4.295061130727352;52.06132745517553
GYM;26AW;De Vlieger;20281;1564;2496 VB;Laan van Kans 9 t/m 13;Gemeente;99990;8;42;Permanent;2005;756;84570;451308;0;0;0;;6;GVH BK 3430;0;4.360534702157039;52.0456107470678
GYM;19VB;De Wissel;41572;1099;2541 RL;Steenwijklaan 16;Juridisch eigenaar;;2;34;Permanent;1957;756;793950;451325;0;0;0;;3;GVH AW 2064;0;14.643886623014982;51.684242639014464
BO;00WO;Instituut voor Individueel Onderwijs;95694;97;2593 PJ;Van Heutszstraat 12;Gemeente;95694;7;26;Permanent;1932;2618;83710;45576;0;0;0;30;;GVH AU 2544;0;4.425359513381657;48.399387231596215
BO-Voorschool;19WO/VPZ;Voorschool Het Galjoen;41572;488;2525 ZW;Arnold Aletrinoplantsoen 8;Gemeente;41572;5;37;Permanent;2011;230;80665;453055;0;0;0;2;;GVH AC 2867;1;4.303240401207601;52.06080077126062
GYM;14DG;Willemspark;95694;533;2514 LK;Frederikstraat 28;Gemeente;95694;5;23;Permanent;2015;463;81172;455970;0;0;0;;1;GVH P 10120;0;4.31000161996925;52.0870650223498
BO;26AZ;De Gantel;70176;305;2548 BR;Laan van Wateringse Veld 925;Gemeente;70176;2;40;Permanent;1999;2040;0;0;0;0;0;16;;GVH AY 4288 A1;0;4.289813210470348;52.02616607365006
GYM;26AZ;De Gantel;70176;305;2548 BR;Laan van Wateringse Veld 925;Gemeente;70176;2;40;Permanent;1999;463;0;0;0;0;0;;1;GVH AY 4288 A1;0;4.289813210470348;52.02616607365006
BO;18PQ;Anne Frank;41572;321;2542 JG;Beresteinlaan 267;Gemeente;41572;2;33;Permanent;2000;2005;0;0;0;0;0;18;;GVH AW 2826;0;4.254661176027876;52.0407153748215
GYM;18PQ;Anne Frank;41572;321;2542 JG;Beresteinlaan 267;Gemeente;41572;2;33;Permanent;2000;430;0;0;0;0;0;;1;GVH AW 3766;0;4.254661176027876;52.0407153748215
BO;17MC;Bohemen - Kijkduin;41572;323;2555 SB;Daltonplantsoen 6;Gemeente;41572;1;14;Permanent;2000;2360;0;0;0;0;0;18;;LSD H 7937;0;4.240475278825328;52.06920541395739
GYM;17MC;Bohemen - Kijkduin;41572;323;2555 SB;Daltonplantsoen 6;Gemeente;41572;1;14;Permanent;2000;386;0;0;0;0;0;;1;LSD H 7937;0;4.240475278825328;52.06920541395739
VO;00HI03;Fran̤ois Vatelschool;41298;330;2592 TD;Granaathorst 20;Gemeente;41298;7;25;Permanent;2001;5040;0;0;0;0;0;30;;GVH AS 1257;0;4.355263249345778;52.09182226891043
GYM;00HI03;Fran̤ois Vatelschool;41298;330;2592 TD;Granaathorst 20;Gemeente;41298;7;25;Permanent;2001;410;0;0;0;0;0;;1;GVH AS 1257;0;4.355263249345778;52.09182226891043
GYM;26AX;Daltonschool De Vijver;41572;331;2548 WJ;Kikkerbeetlaan 27;Gemeente;41572;2;40;Permanent;2001;337;0;0;0;0;0;;1;GVH AY 4261;0;4.3010492672588345;52.02018883941131
BO;27CF;Fontein;78782;365;2496 PN;Steenuillaan 2;Gemeente;78782;8;42;Permanent;2002;2130;0;0;0;0;0;16;;GVH BG 4772 A2;0;4.374295572164642;52.04471859353512
GYM;08NF;De Jonge Wereld;20281;375;2547 ST;Den Helderstraat 260;Gemeente;20281;2;32;Permanent;2003;483;0;0;0;0;0;;1;;0;4.264597443228451;52.06356578537929
BO;26AY;De Fontein;20281;396;2548 CJ;Laan van Wateringse Veld 394;Gemeente;20281;2;40;Permanent;2004;2141;0;0;0;0;0;16;;GVH AX 6555 A65;1;4.2867395227131055;52.03214525373824
BO;26AY;De Fontein;20281;397;2548 CK;Laan van Wateringse Veld 462;Gemeente;20281;2;40;Permanent;2004;5792;0;0;0;0;0;46;;GVH AX 6555 A65;0;4.287045916584919;52.03172638681991
BO;27VA;Prinses Catharina Amalia school;41572;416;2493 ZL;Cicerostrook 9;Gemeente;41572;8;42;Permanent;2005;1572;0;0;0;0;0;11;;GVH BE 4941 A3;0;4.396246562909861;52.059814592993085
GYM;27VA;Prinses Catharina Amalia school;41572;417;2493 ZL;Cicerostrook 5;Gemeente;41572;8;42;Permanent;2005;525;0;0;0;0;0;;2;GVH BE 4931 A3;0;4.396142530439682;52.06011102757679
BO;26PZ;Montessorischool Leidschenveen;41081;418;2493 ZL;Cicerostrook 1;Gemeente;41081;8;42;Permanent;2005;2171;0;0;0;0;0;17;;GVH BE 4931;0;4.395672204487938;52.06021301118079
BO;27PD;Zonnestraal;78782;424;2498 BZ;Oeverwallaan 108;Gemeente;78782;8;42;Permanent;2005;1782;0;0;0;0;0;13;;GVH BH 2725;0;4.381315553328884;52.031515942347774
VO;19ZP05;Maris College Houtrust;41360;441;2566 HD;Tjalie Robinsonduin 74;Gemeente;41360;3;13;Permanent;2009;3859;0;0;0;0;0;37;;;0;4.26925255421634;52.08638833861617
BO;26AX;Daltonschool De Vijver;41572;450;2548 VG;Moskousingel 34;Juridisch eigenaar;;2;40;Permanent;2001;788;0;0;0;0;0;8;;GVH AY 5325 A1;0;4.300429865357754;52.0201107973447
SO/VSO;23GJ13;Pleysier College Westerbeek;30815;429;2571 BK;Asmansweg 16;Gemeente;30815;3;20;Permanent;2008;2638;0;0;0;0;0;28;;GVH Y 2931 A1;0;4.2901897340664;52.07466742331874
GYM;23GJ13;Pleysier College Westerbeek;30815;429;2571 BK;Asmansweg 16;Gemeente;30815;3;21;Permanent;2008;745;0;0;0;0;0;;2;GVH 2931 A1;0;4.2901897340664;52.07466742331874
VO;31EW00;'s Gravendreef College;41298;459;2492 JJ;Klaas Voskuildreef 135;Gemeente;41298;8;42;Permanent;2009;5193;0;0;0;0;0;40;;GVH BD 6030 A1;0;4.399034737797004;52.0666880256204
BO;04ON;Koningin Beatrixschool;33932;460;2525 TN;Saenredamstraat 4;Gemeente;33932;5;29;Permanent;2009;2316;0;0;0;0;0;17;;GVH L 13290 A2;0;4.305449206613688;52.06436975016064
GYM;04ON;Koningin Beatrixschool;33932;460;2525 TN;Saenredamstraat 4;Gemeente;33932;5;29;Permanent;2009;422;0;0;0;0;0;;2;GVH L 13290 A2;0;4.305449206613688;52.06436975016064
BO;25GH;Algemene Hindoe basisschool (VAHON);40740;428;2571 AR;Mackaystraat 6;Gemeente;40740;3;21;Permanent;2009;2939;0;0;0;0;0;23;;GVH U 4250 A1;0;4.290929687999847;52.07356187880217
GYM;02DE00;Bernardusschool (SO/VSO-ZMLK);20281;452;2597 GV;Theo Mann-Bouwmeesterlaan 63;Gemeente;20281;7;4;Permanent;2011;455;0;0;0;0;0;;1;GVH X 6007;0;4.325899576086496;52.10549642305387
Sport;27VA;Prinses Catharina Amalia school;41572;2028;2492 JL;Vaz Diasdreef 20;Gemeente;99990;8;42;Permanent;2009;3570;0;0;0;0;0;;;GVH BD 6030 A2;1;4.398438994255634;52.06745077735469
BO;18AR;Maria Montessorischool;41572;479;2548 NT;Zevenwoudenlaan 197;Gemeente;41572;2;40;Permanent;2011;2271;0;0;0;0;0;17;;;0;4.293054444730234;52.033981769299196
BO;18AR;Maria Montessorischool;41572;480;2548 NT;Zevenwoudenlaan 193;Gemeente;41572;2;40;Permanent;2011;320;0;0;0;0;0;4;;;0;4.293443390031208;52.03388908623905
BO;26AZ;De Gantel;70176;481;2548 NP;Laantje van Salland 32;Gemeente;CVDH;2;40;Permanent;2011;1621;0;0;0;0;0;30;;;0;4.2935242079503855;52.034392674144854
BO-Voorschool;04ON/VPZ;Voorschool Koningin Beatrixschool;33932;460;2525 TN;Saenredamstraat 4;Gemeente;;5;29;Permanent;2009;171;0;0;0;0;0;2;;GVH L 13290 A2;1;4.305449206613688;52.06436975016064
BO;17NQ;P.C. Hooftschool;41572;473;2547 GA;Escamplaan 65;Gemeente;CVDH;2;31;Permanent;2011;1465;0;0;0;0;0;11;;;0;4.275731685220761;52.064476364963056
GYM;17NQ;P.C. Hooftschool;41572;474;2574 PK;Naarderstraat 170;Gemeente;70176;2;31;Permanent;2011;455;0;0;0;0;0;;2;;0;4.275283541236;52.06440426895193
BO-Voorschool;17NQ/VPZ;Voorschool P.C. Hooftschool;41572;473;2547 GA;Escamplaan 65;Gemeente;CVDH;2;31;Permanent;2011;230;0;0;0;0;0;2;;;1;4.275731685220761;52.064476364963056
BO;17SU;Comenius Chr. Basisschool;70176;491;2572 NR;Colensostraat 6;Gemeente;70176;5;30;Permanent;2012;1140;0;0;443000;0;0;8;;;0;4.294382712110671;52.061443283602
BO-Voorschool;17SU/VPZ;Voorschool basisschool Comenius;;491;2572 NR;Colensostraat 6;Gemeente;70176;5;30;Permanent;2012;115;0;0;0;0;0;1;;;1;4.294382712110671;52.061443283602
VO;20MJ00;Johan de Witt Scholengroep, locatie Zust;41360;485;2512 TP;Zusterstraat 120;Gemeente;41360;5;28;Permanent;2011;5604;0;0;0;0;0;46;;;0;4.295605537052408;52.07194635272231
BO;27PX;De Bras R.K. Basisschool;20281;492;2498 BL;Hennegras 70;Juridisch eigenaar;;8;42;Nood;2011;772;0;0;0;0;0;14;;;0;4.380675698939917;52.0312782420006
GYM;20MJ00;Johan de Witt Scholengroep, locatie Zust;41360;485;2512 TP;Zusterstraat 120;Gemeente;41360;5;28;Permanent;2011;946;0;0;0;0;0;;2;;0;4.295605537052408;52.07194635272231
BO;17XC;Ds. D.J. Karresschool voor Chr. Basisond;70176;474;2574 PK;Naarderstraat 170;Gemeente;70176;2;31;Permanent;2011;1465;0;0;0;0;0;12;;;0;4.275283541236;52.06440426895193
BO-Voorschool;17XC/VPZ;Voorschool Karreschool;;474;2574 PK;Naarderstraat 170;Gemeente;70176;2;31;Permanent;2011;230;0;0;0;0;0;2;;;1;4.275283541236;52.06440426895193
VO;20MJ04;Johan de Witt Scholengroep, locatie Capa;41360;498;2523 AC;Capadosestraat 25;Gemeente;41360;6;38;Permanent;2012;2923;0;0;0;0;0;37;;;0;4.317736864772861;52.05817217840229
GYM;20MJ04;Johan de Witt Scholengroep, locatie Capa;41360;498;2523 AC;Capadosestraat 25;Gemeente;41360;6;38;Permanent;2012;455;0;0;0;0;0;;1;;0;4.317736864772861;52.05817217840229
BO;17FV;Dr. Willem Dreesschool;41572;498;2523 XC;Bresterstraat 15;Gemeente;41572;6;38;Permanent;2013;2043;0;0;0;0;0;16;;;0;4.319301361852465;52.059464218436304
GYM;17FV;Dr. Willem Dreesschool;41572;498;2523 XC;Bresterstraat 15;Gemeente;41572;6;38;Permanent;2013;453;0;0;0;0;0;;1;;0;4.319301361852465;52.059464218436304
BO-Voorschool;17PJ/VPZ;Voorschool Het Startpunt;;219;2526 WS;Suze Robertsonstraat 103;Gemeente;41572;5;29;Permanent;1989;52;0;0;0;0;0;1;;;1;4.3114634069449105;52.06546482287172
GYM;17FN;De Spoorzoeker;41572;500;2524 PB;Max Havelaarstraat 75;Gemeente;41572;6;38;Permanent;2012;449;0;0;0;0;0;;1;GVH AI 7797;0;4.311978986185473;52.05153766801121
GYM;05VX02;Europese School Den Haag, elementary edu;46879;496;2566 HA;Houtrustweg 2;Gemeente;46879;3;12;Permanent;1960;910;0;0;0;0;0;;3;;0;4.273275388947291;52.0833222935631
GYM;18AR;Maria Montessorischool;41572;1787;2548 HJ;Panamaplein 30;Gemeente;99990;2;40;Permanent;2004;756;0;0;0;0;0;;9;GVH BK 2607 A1;0;4.287698721358882;52.032608011594846
GYM;26PT;Balans, Samenwerkingsschool;20281;2028;2492 JL;Vaz Diasdreef 20;Gemeente;99990;8;42;Permanent;2009;756;0;0;0;0;0;;3;GVH BD 6030 A2;0;4.398438994255634;52.06745077735469
GYM;26AU;OBS Ypenburg;41572;1816;2497 CH;Plesmanlaan 217;Gemeente;99990;8;42;Permanent;2004;756;0;0;0;0;0;;15;;0;4.367884158514785;52.04047730099813
VO;20MM06;Het Roemer Visscher College;20281;483;2533 VG;Roemer Visscherstraat 106;Gemeente;20281;2;36;Permanent;2013;7364;0;0;0;0;0;43;;;0;4.291599402215177;52.05139399734382
SO/VSO;27ZD;Het Avontuur;20281;513;2496 ZC;Windjammersingel 80;Juridisch eigenaar;;8;42;Permanent;2013;1714;0;0;0;0;0;13;;;0;4.3901977719059415;52.05406769163308
GYM;27ZD;Het Avontuur;20281;513;2496 ZC;Windjammersingel 80;Juridisch eigenaar;;8;42;Permanent;2013;252;0;0;0;0;0;;1;;0;4.3901977719059415;52.05406769163308
SO/VSO;16VG;De Opperd (SO-ZMOK);20281;507;2544 GJ;Hengelolaan 602;Gemeente;20281;2;33;Permanent;2013;1359;0;0;0;0;0;13;;;0;4.265089589568981;52.04526717219677
GYM;16VG;De Opperd (SO-ZMOK);20281;507;2544 GJ;Hengelolaan 602;Gemeente;20281;2;33;Permanent;2013;470;0;0;0;0;0;;1;;0;4.265089589568981;52.04526717219677
BO;17YO;De Ontmoeting Chr. basisschool;70176;506;2516 KE;Draaistraat 16;Gemeente;70176;6;38;Permanent;2013;1350;0;0;0;0;0;10;;;0;4.330729098968841;52.065322673076714
GYM;17YO;De Ontmoeting Chr. basisschool;70176;506;2516 KE;Draaistraat 16;Gemeente;70176;6;38;Permanent;2013;455;0;0;0;0;0;;1;;0;4.330729098968841;52.065322673076714
BO-Voorschool;17YO/VPZ;Voorschool De Ontmoeting;70176;506;2516 KE;Draaistraat 14;Gemeente;70176;6;38;Permanent;2013;76;0;0;0;0;0;1;;;1;4.330639128751084;52.0653331650291
BO;07YO;Bavinckschool;70176;509;2565 JZ;Acaciastraat 141;Gemeente;70176;3;12;Permanent;2013;1423;0;0;0;0;0;10;;;0;4.269980070774992;52.07710018783023
GYM;07YO;Bavinckschool;70176;509;2565 JZ;Acaciastraat 141;Gemeente;70176;3;12;Permanent;2013;437;0;0;0;0;0;;1;;0;4.269980070774992;52.07710018783023
BO-Voorschool;07UO/VPZ;Voorschool De Peutergaarde;59083;18;2542 ED;Ambachtsgaarde 5;Gemeente;59083;2;33;Permanent;2015;230;0;0;0;0;0;2;;;1;4.2646439246391195;52.035506129398534
GYM;04NS;Christelijke Montessorischool De Abeel;41324;504;2565 XP;Abeelstraat 30;Gemeente;41324;3;12;Permanent;2014;455;0;0;0;0;0;;1;;0;4.268624251165078;52.07767238348705
BO-Voorschool;07AK/VPZ;Voorschool De Buutplaats;59083;216;2525 SR;Stortenbekerstraat 264;Gemeente;59083;5;29;Permanent;1927;230;0;0;0;0;0;25;;;1;4.302365044125734;52.06387485783677
GYM;20MM06;Het Roemer Visscher College;20281;483;2533 VG;Roemer Visscherstraat 106;Gemeente;41402;2;36;Permanent;2013;960;0;0;0;0;0;;2;;0;4.291599402215177;52.05139399734382
BO;17JE;Valkenbos Montessorischool;41572;503;2565 JM;Cederstraat 29;Gemeente;41572;3;12;Permanent;2014;1465;0;0;0;0;0;11;;;0;4.268921195988314;52.077471229079215
BO;04NS;Christelijke Montessorischool De Abeel;41324;504;2565 XP;Abeelstraat 30;Gemeente;41324;3;12;Permanent;2014;1695;0;0;0;0;0;13;;;0;4.268624251165078;52.07767238348705
BO;19YS;De Vlierboom;41572;240;2564 HT;Vlierboomstraat 366;Gemeente;41572;3;19;Permanent;2014;1513;0;0;0;0;0;14;;;0;4.259085189123426;52.068983329750225
BO;17MR;Benoordenhout;41572;512;2596 XG;Dreibholtzstraat 2;Gemeente;41572;7;4;Permanent;2014;1318;0;0;0;0;0;10;;;0;4.3211473445198845;52.092696093338276
VO;07MZ00;Praktijkschool de Poort;70176;514;2517 HB;2e Sweelinckstraat 160;Gemeente;70176;4;11;Permanent;2014;3229;0;0;0;0;0;21;;;0;4.2770214238375175;52.08469787468196
GYM;07MZ00;Praktijkschool de Poort;70176;514;2517 HB;2e Sweelinckstraat 160;Gemeente;70176;4;11;Permanent;2014;455;0;0;0;0;0;;1;;0;4.2770214238375175;52.08469787468196
BO;19XU;De Tweemaster;41572;515;2583 JM;Tesselsestraat 114;Gemeente;41572;4;8;Permanent;1927;613;0;0;0;0;0;7;;;0;4.259269522300185;52.089848868885866
VO;02GP06;Europese School Rijnlands Lyceum VO;46879;516;2566 HA;Houtrustweg 4;Gemeente;46879;3;12;Permanent;2014;3275;0;0;0;0;0;23;;;0;4.273928039701102;52.083498216423905
GYM;02GP04;Koninklijk Conservatorium, School voor J;46879;516;2566 HA;Houtrustweg 4;Gemeente;46879;3;12;Permanent;2014;252;0;0;0;0;0;;1;;1;4.273928039701102;52.083498216423905
BO;19VB;De Wissel;41572;516;2541 RL;Steenwijklaan 10;Gemeente;41572;2;34;Permanent;2014;1925;0;0;0;0;0;16;;;0;4.285794276807952;52.045453848309954
BO;17RV;O.G. Heldringschool voor Chr. Basisonder;70176;510;2566 VS;IJsvogelplein 10;Gemeente;70176;3;13;Permanent;2014;2348;0;0;0;0;0;20;;;0;4.256322476018262;52.081440657938245
GYM;17RV;O.G. Heldringschool voor Chr. Basisonder;70176;510;2566 VS;IJsvogelplein 10;Gemeente;70176;3;13;Permanent;2014;403;0;0;0;0;0;;1;;0;4.256322476018262;52.081440657938245
BO;20KD00;Praktijkschool De Einder;41360;526;2572 TD;Schalk Burgerstraat 493;Juridisch eigenaar;;5;30;Permanent;0;2121;0;0;0;0;0;32;;;0;4.293409413132941;52.06015127577317
GYM;20WR09;Cor Emousschool (SO);21679;534;2531 TG;Van Ruysbroekstraat 5;Gemeente;21679;2;36;Permanent;2015;455;0;0;0;0;0;;1;;0;4.303691397474674;52.05511954490017
GYM;19QD;De Kleine Wereld;41572;535;2531 TG;Van Ruysbroekstraat 7;Gemeente;41572;2;36;Permanent;2015;455;0;0;0;0;0;;1;;0;4.303972114167484;52.05491759618921
GYM;25GH;Algemene Hindoe basisschool (VAHON);40740;428;2571 AR;Mackaystraat 6;Gemeente;40740;3;21;Permanent;2009;455;0;0;0;0;0;;1;;0;4.290929687999847;52.07356187880217
BO;17YY;Jan van Nassauschool voor Chr. BO;70176;536;2515 TM;Zaanstraat 25;Gemeente;70176;5;27;Permanent;2015;1979;0;0;0;0;0;15;;;0;4.32674451390297;52.0748068097902
GYM;17YY;Jan van Nassauschool voor Chr. BO;70176;536;2515 TM;Zaanstraat 25;Gemeente;70176;5;27;Permanent;2015;476;0;0;0;0;0;;1;;0;4.32674451390297;52.0748068097902
GYM;20JE;Eerste Nederlandse Buitenschool (SO-LZ);41572;526;2587 XM;Doorniksestraat 28;Gemeente;41572;4;2;Permanent;2015;456;0;0;0;0;0;;1;;0;4.299613504735377;52.10897907707553
SO/VSO;20WR09;Cor Emousschool (SO);21679;534;2531 TG;Van Ruysbroekstraat 5;Gemeente;21679;2;36;Permanent;2015;2246;0;0;0;0;0;19;;;0;4.303691397474674;52.05511954490017
BO;19QD;De Kleine Wereld;41572;535;2531 TG;Van Ruysbroekstraat 7;Gemeente;41572;2;36;Permanent;2015;2130;0;0;0;0;0;16;;;0;4.303972114167484;52.05491759618921
BO;14DG;Willemspark;95694;533;2514 LK;Frederikstraat 28;Gemeente;95694;5;23;Permanent;2014;1284;0;0;0;0;0;10;;;0;4.310191749073577;52.087247245117055
SO/VSO;20JM02;Haagse Mytylschool De Piramide;41572;537;2541 RL;Steenwijklaan 30;Gemeente;41572;2;34;Permanent;2016;1385;0;0;0;0;0;11;;;0;4.284184662331982;52.04464523468093
GYM;20WR12;Viertaal College Den Haag (VSO);21679;537;2541 RL;Steenwijklaan 30;Gemeente;41572;2;34;Permanent;2016;514;0;0;0;0;0;;2;;0;4.284184662331982;52.04464523468093
VO;21GU00;Edith Stein College;20281;515;2514 HP;Louis Couperusplein 33;Gemeente;20281;5;28;Permanent;2015;6148;0;0;0;0;0;27;;;0;4.310077090401639;52.08421855717689
GYM;21GU00;Edith Stein College;20281;515;2514 HP;Louis Couperusplein 33;Gemeente;20281;5;28;Permanent;2015;1074;0;0;0;0;0;;2;;0;4.310077090401639;52.08421855717689
VO;19ZP03;Maris College Kijkduin;41360;531;2551 CA;Landrestraat 150;Gemeente;41360;1;18;Permanent;2016;2314;0;0;0;0;0;1;;;0;4.227648246316594;52.05974750313855
GYM;19ZP03;Maris College Kijkduin;41360;531;2551 CA;Landrestraat 150;Gemeente;41360;1;18;Permanent;2016;468;0;0;0;0;0;;1;;0;4.227648246316594;52.05974750313855
BO;17UD;Dr. J.A. Gerth van Wijkschool voor Chr.;70176;525;2523 GW;Withuysstraat 2;Gemeente;70176;6;38;Permanent;2016;2034;0;0;0;0;0;18;;;0;4.316682020760149;52.058715854090245
GYM;17UD;Dr. J.A. Gerth van Wijkschool voor Chr.;70176;525;2523 GW;Withuysstraat 2;Gemeente;70176;6;38;Permanent;2016;453;0;0;0;0;0;;1;;0;4.316682020760149;52.058715854090245
BO;16ZP;Ds. W.E. den Hertogschool;70176;538;2552 RA;Luxemburgstraat 7;Gemeente;70176;1;17;Permanent;2016;1748;0;0;0;0;0;16;;;0;4.237981033752691;52.053287013205185
GYM;16ZP;Ds. W.E. den Hertogschool;70176;538;2552 RA;Luxemburgstraat 7;Gemeente;70176;1;17;Permanent;2016;448;0;0;0;0;0;;1;;0;4.237981033752691;52.053287013205185
VO;14TA00;Christelijk Lyceum Zandvliet;20281;516;2594 AW;Bezuidenhoutseweg 40;Gemeente;20281;7;24;Permanent;2015;5750;0;0;0;0;0;40;;GVH11 sectie P 09428;0;4.329300667280364;52.08523251630382
GYM;14TA00;Christelijk Lyceum Zandvliet;20281;516;2594 AW;Bezuidenhoutseweg 40;Gemeente;20281;7;24;Permanent;2015;1173;0;0;0;0;0;;2;;0;4.329300667280364;52.08523251630382
GYM;20JF;De Haagse Beek;41572;532;2545 NT;Bentelostraat 59;Gemeente;41572;2;34;Permanent;2017;455;0;0;0;0;0;;1;;0;4.275293557818509;52.04599728946987
GYM;13TA;Kindcentrum Bamboe;20281;541;2545 NV;Bentelostraat 53;Gemeente;20281;2;34;Permanent;2017;455;0;0;0;0;0;;1;;0;4.276535578779033;52.04654056050037
GYM;19TM;M.M. Boldingh Nutsbasisschool;20281;540;2517 SC;Verhulstplein 21;Gemeente;20281;4;11;Permanent;2017;507;0;0;0;0;0;;1;;0;4.2759733623041685;52.08434651829541
SO/VSO;20WR12;Viertaal College Den Haag (VSO);21679;537;2541 RL;Steenwijklaan 30;Gemeente;;2;34;Permanent;2016;912;0;0;0;0;0;8;;;0;4.284184662331982;52.04464523468093
BO;19TO;Het Volle Leven;41572;548;2587 BB;Rijslag 21;Gemeente;41572;4;7;Permanent;2017;2773;0;0;0;0;0;21;;;0;4.284927285751271;52.10641867293154
GYM;19TO;Het Volle Leven;41572;548;2587 BB;Rijslag 21;Gemeente;41572;4;7;Permanent;2017;430;0;0;0;0;0;;1;;0;4.284927285751271;52.10641867293154
BO;26AW;De Vlieger;20281;601;2497 DN;Frits Diepenlaan 39;Gemeente;20281;8;42;Permanent;2016;1150;0;0;0;0;0;8;;;0;4.365971348479936;52.04082391319241
BO;13TA;Kindcentrum Bamboe;20281;541;2545 NT;Bentelostraat 53;Gemeente;20281;2;34;Permanent;2016;1725;0;0;0;0;0;13;;;0;4.276535578779033;52.04654056050037
BO;19TA;Basisschool De Vuurtoren;70176;92;2586 XZ;Haringstraat 60;Gemeente;70176;4;7;Permanent;0;135;0;0;0;0;0;2;;;0;4.284576658715848;52.10813851445269
BO;19TM;M.M. Boldingh Nutsbasisschool;20281;540;2517 SC;Verhulstplein 21;Gemeente;20281;4;11;Permanent;2017;1562;0;0;0;0;0;14;;;0;4.2759733623041685;52.08434651829541
BO;20JF;De Haagse Beek;41572;532;2545 NV;Bentelostraat 59;Gemeente;41572;2;34;Permanent;0;1085;0;0;0;0;0;8;;;0;4.275293557818509;52.04599728946987
BO;31RW;De Waterlelie;70176;542;2548 NW;Oostergosingel 153;Juridisch eigenaar;;2;40;Permanent;2015;252;0;0;0;0;0;2;;;0;4.291594304023442;52.03313439888802
GYM;17PY;Galvanischool;41572;999;2566 DA;Laan van Poot 363;Gemeente;CVDH;3;13;Permanent;0;455;0;0;0;0;0;;1;;0;4.242750262301484;52.0761989714158
GYM;16WH;Kindcentrum Vroondaal;70176;543;2553 EG;Madepolderweg 76;Gemeente;70176;1;17;Tijdelijk;2018;455;0;0;0;0;0;;1;;0;4.226273133912611;52.03822611535377
BO;16WH;Kindcentrum Vroondaal;70176;543;2553 EG;Madepolderweg 76;Juridisch eigenaar;70176;1;17;Tijdelijk;2018;1050;0;0;0;0;0;8;;;0;4.226273133912611;52.03822611535377
