GEMEENTE,CBS_GEMEENTECODE,BETREFT,WIJKNAAM,CBS_WIJKCODE,BUURTNAAM,CBS_BUURTCODE,BAGREFNUMMER,STRAATNAAM,HUISNUMMER,HUISLETTER,HUISNUMMERTOEVOEGING,POSTCODE,WOONPLAATS,longitude,latitude,X,Y,GEOMETRIE
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032903,Scheendijk,18,,19,3621VC,Breukelen,5.02228,52.180917,130041.21,465927.05,"POLYGON ((130036.946 465927.448,130038.156 465927.35,130037.874 465922.753,130044.576 465922.429,130044.764 465928.985,130039.179 465929.113,130039.225 465930.439,130037.025 465930.477,130036.946 465927.448))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032904,Scheendijk,18,,20,3621VC,Breukelen,5.022541,52.18091,130059.07,465926.17,"POLYGON ((130053.316 465922.652,130060.486 465922.487,130060.549 465926.603,130061.376 465926.61,130061.38 465929.754,130059.556 465929.854,130059.516 465928.363,130053.642 465928.742,130053.316 465922.652))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000031301,Scheendijk,20,,34,3621VC,Breukelen,5.022893,52.181739,130083.61,466018.32,"POLYGON Z ((130082.8 466022.868 0,130081.912 466012.798 0,130086.062 466012.437 0,130086.909 466022.578 0,130082.8 466022.868 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Nigtevecht,WK190408,Polder Garsten Noord,WK19040802,1904010000033788,Vreelandseweg,44,a,,1393PG,Nigtevecht,5.032513,52.253368,130780.59,473984.5,"POLYGON ((130768.865 473977.747,130773.712 473972.726,130785.538 473984.207,130780.69 473989.228,130768.865 473977.747))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Nigtevecht,WK190408,Polder Garsten Noord,WK19040802,1904010000033789,Vreelandseweg,44,b,,1393PG,Nigtevecht,5.032445,52.253321,130775.91,473979.35,"POLYGON ((130768.865 473977.747,130773.712 473972.726,130785.538 473984.207,130780.69 473989.228,130768.865 473977.747))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000033790,Scheendijk,20,,37,3621VC,Breukelen,5.023452,52.181725,130121.83,466016.5,"POLYGON ((130116.509 466010.934,130120.995 466010.778,130121.176 466015.976,130124.5 466015.861,130124.616 466019.189,130116.807 466019.461,130116.509 466010.934))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000033548,De Plassen Noord,66,,,3621PN,Breukelen,5.033765,52.182319,130827.52,466079.15,"POLYGON ((130819.952 466078.174,130829.901 466077.19,130829.99 466079.652,130831.798 466079.55,130831.858 466082.19,130828.816 466082.341,130828.853 466082.909,130820.305 466083.591,130819.952 466078.174))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000033331,De Plassen Noord,7,,,3621PN,Breukelen,5.036151,52.183554,130991.35,466215.73,"POLYGON Z ((130983.647 466215.364 0,130992.644 466214.488 0,130993.186 466219.709 0,130987.415 466220.289 0,130987.28 466221.183 0,130984.101 466221.39 0,130983.647 466215.364 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Nieuwer Ter Aa,WK190404,Polder Oukoop,WK19040401,1904010000031626,Demmeriksekade,12,,,3626AZ,Nieuwer Ter Aa,4.973132,52.219146,126704.08,470198.41,"POLYGON Z ((126700.503 470193.713 0,126706.331 470192.171 0,126709.759 470203.484 0,126703.588 470205.198 0,126700.503 470193.713 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Maarssen,WK190401,Centrum ten zuiden van de Vecht,WK19040110,0333010000013752,Wilhelminaweg,9,,,3603CR,Maarssen,5.033565,52.14098,130791.38,461479.92,"POLYGON ((130787.394 461480.425,130791.833 461476.425,130794.583 461479.477,130794.718 461479.627,130794.6 461482.17,130794.191 461482.535,130792.736 461483.821,130790.217 461483.683,130790.123 461483.574,130787.394 461480.425))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Maarssenbroek,WK190412,Duivenkamp,WK19041208,0333010000011558,Duivenkamp,580,,,3607BM,Maarssen,5.026244,52.134478,130286.66,460758.94,"POLYGON Z ((130281.998 460757.503 0,130284.371 460753.98 0,130292.209 460759.258 0,130291.506 460760.301 0,130289.836 460762.782 0,130281.998 460757.503 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Vreeland,WK190406,Vreeland Dorp,WK19040603,1904010000033850,Ruiterstraat,11,,,3633AV,Vreeland,5.033971,52.228831,130866.85,471254.02,"POLYGON Z ((130862.093 471255.458 0,130863.77 471250.819 0,130867.054 471252.028 0,130868.264 471248.744 0,130870.178 471249.449 0,130868.969 471252.733 0,130869.409 471252.895 0,130867.705 471257.524 0,130862.093 471255.458 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000033851,De Plassen Zuid,439,a,,3621PZ,Breukelen,5.03044,52.165202,130590.73,464175.79,"POLYGON Z ((130588.155 464177.375 0,130589.472 464173.44 0,130592.934 464174.599 0,130591.616 464178.534 0,130588.155 464177.375 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000033852,Scheendijk,2,a,,3621VB,Breukelen,5.030113,52.165742,130568.63,464236.06,"POLYGON Z ((130560.567 464239.269 0,130562.383 464232.673 0,130574.484 464236.001 0,130572.548 464242.657 0,130560.567 464239.269 0))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Kievitsbuurt,WK19040204,1904010000033513,De Plassen Zuid,310,,,3621PZ,Breukelen,5.039192,52.173462,131193.96,465091.93,"POLYGON ((131193.439 465094.429,131194.153 465087.701,131201.71 465088.509,131201.251 465095.077,131193.439 465094.429))"
Stichtse Vecht,G1904,StichtseVecht-logiesfunctie,Breukelen,WK190402,Scheendijk,WK19040211,1904010000032426,Port Broclede,46,a,,3621VP,Breukelen,5.020728,52.179379,129934.23,465756.48,"POLYGON Z ((129928.819 465734.038 0,129928.891 465731.355 0,129928.494 465731.28 0,129928.109 465731.155 0,129927.744 465730.982 0,129927.403 465730.764 0,129927.094 465730.504 0,129926.82 465730.207 0,129926.586 465729.877 0,129926.396 465729.521 0,129926.253 465729.142 0,129926.159 465728.749 0,129926.117 465728.347 0,129926.126 465727.943 0,129926.187 465727.543 0,129926.298 465727.154 0,129926.458 465726.783 0,129926.663 465726.435 0,129926.912 465726.116 0,129927.199 465725.832 0,129927.52 465725.586 0,129927.87 465725.384 0,129928.243 465725.227 0,129928.633 465725.12 0,129929.033 465725.063 0,129929.102 465723.191 0,129929.189 465723.193 0,129944.09 465723.52 0,129944.05 465725.3 0,129980.017 465726.131 0,129979.897 465731.503 0,129979.78 465736.731 0,129941.505 465735.84 0,129940.619 465776.686 0,129928.513 465776.426 0,129929.353 465739.825 0,129932.434 465739.933 0,129932.578 465735.629 0,129928.779 465735.508 0,129928.819 465734.038 0))"
