;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Labyrintus ad Mare Serinitatis;1;;1;1
Lagaay International B.V.;1;;;1
Landbouwbedrijf Olmenstein B.V.;;1;;1
Lasaulec B.V.;1;;;1
Leaseplan Nederland N.V.;;;9;9
Life Recruitment B.V.;1;;;1
Linde Gas Benelux B.V.;2;;;2
Lloyd's Register Nederland B.V.;2;;;2
Locatie 78 B.V.;;1;;1
Locked Up;;1;;1
Lotje;;1;;1
Louwman & Parqui B.V.;;;2;2
LOXAM Workx;;;1;1
Lunchcafé Stadhuis;;1;;1
Lunchroom Harrels;;1;;1
Made in Italy;;1;;1
Manta Beach;;1;;1
Manutan B.V.;1;1;;1
Marcus Import;;1;;1
Mario Verkade t.h.o.d.n. Premio;;;1;1
Maritech Marine B.V.;1;;3;3
Marpol Services B.V.;2;;;2
Media 73 B.V.;;;1;1
Meet & Connect 's-Hertogenbosch B.V.;;1;;1
Meet Berlage B.V.;;1;;1
Meeting Circle Maarssen;;1;;1
Meeting Plaza Utrecht B.V.;;1;;1
MeetingDistrict;;1;;1
Meetingselect B.V.;;7;;7
Mercure Den Haag Central;;2;;2
Meuwissen Advies B.V.;2;;;2
Mobility Mixx B.V.;;;1;1
Moduli Print B.V.;;1;;1
Moeke Nijkerk B.V.;;1;;1
Molecaten Horeca B.V.;;1;;1
Mooi Werk;;1;;1
Motel Assen B.V.;;1;;1
Motocom;1;;1;1
Motrac Intern Transport B.V.;;;2;2
Multicom B.V.;;1;;1
Multraship Ocean Towage B.V.;;;6;6
Museum Catering Den Haag B.V.;;2;;2
Museumkwartier B.V.;;1;;1
N.B.C. Exploitatie B.V.;;2;;2
N.V. Golf Exploitatie Mij. Schipluiden (GEMS);;1;;1
Nautica Jansen B.V.;;;2;2
Nautical Foil Solutions B.V.;;;2;2
Nederlandse School voor Openbaar Bestuur B.V.;;1;;1
Neptune Repair;2;;;2
New Babylon Gardens Business Centre;;1;;1
New Babylon Meeting Center B.V.;;3;;3
NEWNRG;;1;;1
NH Grand Hotel Krasnapolsky;;1;;1
Nicky Noe;;;1;1
Nico B.V.;;;1;1
Nieuwegeinse Catering Company;;1;;1
NMF Huis van Hilde Exploitatie B.V.;;1;;1
Noord Nederlandse Reinigingsdienst B.V.;1;;;1
Nooteboom Tours B.V.;1;;;1
NR71;;1;;1
NS Reizigers B.V.;3;;;3
NWC Events B.V.;;1;;1
Oesterbaai B.V.;;;1;1
Ok Gas B.V.;;;1;1
Oliehandel Anton van Megen B.V.;;;3;3
Oliehandel Hoekman B.V.;;;5;5
On Line;;1;;1
Onemeeting.com B.V.;;1;;1
Ottenhome B.V.;;1;;1
Oudaen B.V.;;1;;1
Ouwehands Dierenpark B.V.;;1;;1
P.W.R. Motoren B.V.;;;1;1
PAK Aanhangwagens Kruiningen;;;1;1
Party Centrum De Franse School;;1;;1
Partycentrum-Restaurant 'Boerderij Mereveld';;1;;1
Paviljoen Stormvogel B.V.;;1;;1
PC plus;1;;;1
Peinemann Heftrucks B.V.;;;2;2
Peinemann Hoogwerksystemen B.V.;;;1;1
People & Print Group;;1;;1
PERISKAL GROUP;2;;;2
Pilkington's;;1;;1
Pino Evenementen & Congressen B.V.;;2;;2
Plaza BW Den Haag B.V.;;2;;2
Plein 20 Den Haag B.V.;;1;;1
PLSTK V.O.F.;;1;;1
Pon Power B.V.;1;;4;4
Ponthoeve V.O.F.;;1;;1
Ponton Made B.V.;1;;;1
