Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Sol-Cocreatie;;2;;;;;2
Solid Lava B.V.;;2;;;;;2
Solid Sense B.V.;1;;;;;;1
Solidaridad;;1;;;;;1
Solide Beheer B.V.;;1;;;;;1
SOLITT LAW B.V.;;;;2;;;2
Solunastra B.V.;;2;;;;;2
Solutherm B.V.;;2;;;;;2
Solution Sellers;1;;;;;;1
Solutions for Development Consulting Co.;;2;;;;;2
Solvinity;;1;;;;;1
Soma Bedrijfsopleidingen;;3;;;;;3
Souls on Stage;;1;;;;;1
Sound and Light Systems S.L.S.;;1;;;;;1
Soundfocus B.V.;;1;;;;;1
South Hansa;;2;;;;;2
Sovon Vogelonderzoek Nederland;;4;;;;;4
Space Expo;;1;;;;;1
Spaceconsultants;;1;;;;;1
SpaceHolding B.V.;;2;;;;;2
SpaceNed;;1;;;;;1
Spang Makandra Studio NV;;1;;;;;1
Sparkling Projects B.V.;;1;;;;;1
Speech Republic B.V.;;2;;;;;2
spelbepaler;;1;;;;;1
SPITZ congres & event B.V.;;4;;;;;4
SPPS Consultants B.V.;;2;;;;;2
Sprekershuys B.V.;;1;;;;;1
Sprengers Advocaten;;;;1;;;1
Springnest Travelnest Marketing (Pty) Ltd;;2;;;;;2
SPWAdvies;;2;;;;;2
SQ Consult B.V.;;2;;;;;2
SQL Integrator B.V.;6;;;;;;6
Square Commodities;;1;;;;;1
St. Streekontwikkeling Betuwe 'De Fruitmotor';;1;;;;;1
St.stg. Ver. v. Zoogdierk. en Zoogdierbesch.;;2;;;;;2
Stadscafe De Waag B.V.;;1;;;;;1
Staman Advies en verkenning;;1;;;;;1
Standard Bank;;2;;;;;2
Start People;6;1;;;;;6
Startup Genome LLC;;2;;;;;2
Stas International;;2;;;;;2
STC-Group Scheepvaart en Transport College;;4;;;;;4
STC-NESTRA B.V.;;2;;;;;2
Stek Advocaten B.V.;;;;1;;;1
Stelvio Coaching & Advies;1;;;;;;1
Steward Redqueen B.V.;;3;;;;;3
Stg. Beh. Derdeng. Kennedy v.d. Laan Advoc.;;;;1;;;1
Stg. Beheer Derdengelden PlasBossinade Advo.;;;;1;;;1
Stg. Beheer Drd.gld. CMS DSB Advocatuur;;;;1;;;1
Stg. beheren v.d. bijdr. van leden v. NL GUTS;;2;;;;;2
Stg. Bez.centr. Nat. Park Schiermonnikoog;;1;;;;;1
Stg. Bur. Commissie v.d. Mil.-Effectrapport.;;4;;;;;4
Stg. Derdengeld. De Brauw Blackstone Westbr.;;;;1;;;1
Stg. Derdengelden vd Biesen Kloostra Advo.;;;;1;;;1
Stg. European Centre for Eco and Agro Tourism;;6;;;;;6
Stg. European Invertebrate Survey Nederland;;4;;;;;4
Stg. Expertisecentrum Regelgeving Bouw, ERB;;1;;;;;1
Stg. Interkerkel. Org. Ontwikkel.samenwerking;;2;;;;;2
Stg. Kennis Centrum Aanpak Fund.problematiek;;3;;;;;3
Stg. Kenniscentrum Center People & Buildings;;2;;;;;2
Stg. Landel. Insp.dienst Dierenbescherming;;5;;;;;5
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;2;;;;;2
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;5;;;;;5
Stg. Ned.-Afrikaans Centr. voor Handelsbev.;;2;;;;;2
Stg. Nederl. Ind. voor Defensie en Veiligheid;;1;;;;;1
Stg. Nederl. Wetenschapp. Onderzoek Institut.;;1;;;;;1
Stg. Neth. Agro, Food & Techn. Center Africa;;2;;;;;2
Stg. Onderst. Overl.org. Nat. Park Oostersch.;;1;;;;;1
Stg. Pens.fonds Benelux-Bur. Intell. Eigendom;;2;;;;;2
Stg. PostAcademisch Onderw. Techniek en Man.;;1;;;;;1
Stg. Technolog. Kenniscentr. Text. Verzorg.;;2;;;;;2
Stg. Werkgeversinst. Soc. Cult.Werk Rotterdam;;2;;;;;2
Stibbe N.V.;4;2;;;;;4
Sticht. Beheer Derdengelden MH + O Advocaten;;;;1;;;1
Sticht. Centr. v. Natuur- en Milieu-Educatie;;2;;;;;2
Sticht. Centr. voor Lokale OndernemersKringen;;2;;;;;2
Sticht. Centre of Expertise Water Technologie;;2;;;;;2
Sticht. HAS KennisTransfer en Bedr.opleid.;;1;;;;;1
Sticht. Int. Belasting Documentatie Bureau;;3;;;;;3
Sticht. Kwaliteit voor Installaties Nederland;;3;;;;;3
Sticht. Ruimte voor Onderwijs en Kinderopvang;;4;;;;;4
Stichting Accessibility;;1;;;;;1
Stichting Adviesbureau Onroerende Zaken;;1;;;;;1
Stichting Adviescentrum Metaal;;2;;;;;2
Stichting Afrika-Studiecentrum;;2;;;;;2
Stichting Agri-ProFocus;;2;;;;;2
Stichting Agriterra;;2;;;;;2
Stichting Akoesticum;;1;;;;;1
Stichting Alliantie Verduurzaming Voedsel;;3;;;;;3
Stichting Amsterdam Rainbow Dress Foundation;;1;;;;;1
Stichting ANMEC;;3;;;;;3
Stichting Antares;;1;;;;;1
Stichting Bargerveen;;3;;;;;3
Stichting BE-Basic;;1;;;;;1
Stichting Beheer Derdengelden FNV Advocaten;;;;2;;;2
Stichting Beheer Derdengelden Freshfields;;;;1;;;1
Stichting Beheer Derdengelden Linssen c.s.;;;;1;;;1
Stichting Bezoekerscentrum Zuidwest-Friesland;;1;;;;;1
Stichting BiD Network;;2;;;;;2
Stichting BiomimicryNL;;3;;;;;3
Stichting BoP Innovation Center;;1;;;;;1
Stichting Brabantse Milieufederatie;;1;;;;;1
Stichting Centerdata;;2;;;;;2
Stichting Centrum voor Landbouw en Milieu;;1;;;;;1
Stichting CMO STAMM Groningen Drenthe;;1;;;;;1
Stichting CNV Internationaal;;2;;;;;2
Stichting Collectief Agrarisch Natuurbeheer;;2;;;;;2
Stichting Compuplan;;2;;;;;2
Stichting Connecting Future;;1;;;;;1
Stichting Connekt;;3;;;;;3
Stichting Cordaid;;2;;;;;2
Stichting Crosswise Works;;3;;;;;3
Stichting Dasuda Foundation;;2;;;;;2
Stichting De Natuur- en Milieufederaties;;2;;;;;2
Stichting De Noordzee;;3;;;;;3
Stichting De Opkikker;;;;1;;;1
Stichting De Wilgenborg Blauwestad;;1;;;;;1
Stichting Deltares;;7;;;;;7
Stichting Derdengelden Advocatuur Bird & Bird;;;;2;;;2
Stichting Derdengelden Brinkhof;;;;1;;;1
Stichting Diergeneesmiddelenautoriteit;;1;;;;;1
Stichting Dunamare Onderwijsgroep;;1;;;;;1
Stichting Dutch Green Building Council;;2;;;;;2
Stichting Dutch Hospital Data;;1;;;;;1
Stichting Dutchbasecamp;;2;;;;;2
Stichting duurzame PABO;;2;;;;;2
Stichting Duurzame Palingsector Nederland;;5;;;;;5
Stichting Energie Dialoog Nederland;;3;;;;;3
Stichting fashion council NL;;2;;;;;2
Stichting Fonds Instituut Clingendael;;5;;;;;5
Stichting Gebiedsfonds Drentsche Aa;;1;;;;;1
Stichting Geonovum;;3;;;;;3
Stichting Global Flyway Network;;2;;;;;2
Stichting Green IT Consortium Regio Amsterdam;;2;;;;;2
Stichting GreenUp;;2;;;;;2
Stichting Greenwish;;1;;;;;1
Stichting GroenGelinkt;;3;;;;;3
Stichting Harmonia;;1;;;;;1
Stichting Herenboeren NL;;2;;;;;2
Stichting Het Groene Brein;;2;;;;;2
Stichting Het Huis;;1;;;;;1
Stichting HIER opgewekt;;3;;;;;3
Stichting Hogeschool Utrecht;;1;;;;;1
Stichting Holland Horti International;;2;;;;;2
Stichting HPC 2017;;2;;;;;2
Stichting Immuno Valley;;2;;;;;2
Stichting Index Alliance Foundation;;4;;;;;4
Stichting Instituut voor Bouwrecht;;2;;;;;2
Stichting Instock;;1;;;;;1
Stichting ISPT;;2;;;;;2
Stichting ISSO;;3;;;;;3
Stichting IVN;;3;;;;;3
Stichting Juffertoren Schildwolde;;1;;;;;1
Stichting Kafkabrigade;;2;;;;;2
Stichting Kennisbank Bouwfysica;;1;;;;;1
Stichting Klimaatverbond Nederland;;4;;;;;4
Stichting Koninklijke Rotterdamse Diergaarde;;4;;;;;4
Stichting Kwadrantgroep;;;;1;;;1
Stichting Kwaliteitsborging Installatiesector;;2;;;;;2
Stichting Kwaliteits-Controle-Bureau;;6;;;;;6
Stichting Lab Vlieland;;1;;;;;1
Stichting Laboratorium voor Microklimaten;;1;;;;;1
Stichting LandschappenNL;;2;;;;;2
Stichting Landschapstheater E.M.;;2;;;;;2
Stichting Louis Bolk Instituut;;1;;;;;1
Stichting Metaalunie Diensten;;2;;;;;2
Stichting Middag-Humsterland Duurzaam;;1;;;;;1
Stichting Milieukeur;;2;;;;;2
Stichting MKB Steunpunt Energie en Chemie;;2;;;;;2
Stichting Nationaal Park Duinen van Texel;;1;;;;;1
Stichting Natuur en Milieu;;4;;;;;4
Stichting Natuur en Milieu Overijssel;;3;;;;;3
Stichting Nedworc;;2;;;;;2
Stichting Netherlands Journal of Geosciences;;1;;;;;1
Stichting Netherlands Water Partnership (Nwp);;4;;;;;4
Stichting NIVRE Calamiteiten & Projecten;;2;;;;;2
Stichting NLVOW;;2;;;;;2
Stichting Noordzeeboerderij;;2;;;;;2
Stichting Oase Plantsoenen;;1;;;;;1
Stichting Ondersteuning Groninger Dorpen;;1;;;;;1
Stichting Platform BÃ¨ta en Techniek;;2;;;;;2
Stichting Platform Bio-Energie;;2;;;;;2
Stichting Platform Gras;2;;;;;;2
Stichting Pleio;;1;;;;;1
Stichting Probos;;4;;;;;4
Stichting Proeftuin Zwaagdijk;;2;;;;;2
Stichting Publiekssterrenwacht Hellendoorn;;1;;;;;1
Stichting Reos Foundation Europe;;3;;;;;3
Stichting Rotterdam Partners;;2;;;;;2
Stichting Seafood Trade Intelligence Portal;;2;;;;;2
Stichting SEO Economisch Onderzoek;;6;;;;;6
Stichting Shared Value;;2;;;;;2
Stichting Socrates Nederland;;1;;;;;1
Stichting Solidaridad Nederland;;2;;;;;2
Stichting Springtij Festival Terschelling;;2;;;;;2
Stichting Stad en Regio;;1;;;;;1
Stichting Steunfonds Stenden Hogeschool;;2;;;;;2
Stichting Streekhuis Het Groene Woud;;1;;;;;1
Stichting Switch;;1;;;;;1
Stichting T.M.C. Asser Instituut;;4;;;;;4
Stichting Task Force Health Care;;5;;;;;5
Stichting TASTE;;2;;;;;2
Stichting Tasty Green Lifestyle Experience;;2;;;;;2
Stichting Team FAST;;1;;;;;1
Stichting TKI Chemie;;3;;;;;3
Stichting TKI-Wind op Zee;;2;;;;;2
Stichting Toerisme Suriname S.T.S.;;2;;;;;2
Stichting TOF media, film en educatie;;2;;;;;2
Stichting Tomato World;;1;;;;;1
Stichting VeiligheidNL;;2;;;;;2
Stichting VETbase;;2;;;;;2
Stichting Water Partner;;2;;;;;2
Stichting Wennekerpand;;1;;;;;1
Stichting Werken op Maat;;1;;;;;1
Stichting Zuyd Hogeschool;;1;;;;;1
Stip B.V.;;2;;;;;2
Straathof Advies - Energie in transitie;;2;;;;;2
Stratagem Group B.V.;;2;;;;;2
Stratagem Strategic Research B.V.;;4;;;;;4
Strategic Advisory Research and Consulting Ltd (SARC);;2;;;;;2
Strategic Business Solutions Sociedad Anonima Cerrada;;1;;;;;1
Strategic Partnerships Global Alliance for Clean Cookstoves;;2;;;;;2
Strategy Analytics;;2;;;;;2
Stratix B.V.;;4;;;;;4
Strict Consultancy B.V.;;2;;;;;2
Studio AndrÃ© van de Waal B.V.;2;;;;;;2
Studio Oostrum;;1;;;;;1
Studiodet;;1;;;;;1
Sturingsadvies;;2;;;;;2
Styliness;;1;;;;;1
Suite novotel Den Haag City Centre;;1;;;;;1
Sumicsid;;4;;;;;4
SURFsara B.V.;;2;;;;;2
Suriname Hospitality and Tourism Association (Shata);;3;;;;;3
Sustainable Business Development;;2;;;;;2
Sustainable Outlook B.V.;;2;;;;;2
Sustainable Trading Co.,S.A.;;2;;;;;2
SustainableMotion;;3;;;;;3
Sweco Nederland;;2;;;;;2
Sweco Nederland B.V.;;3;;;;;3
SWITCH MAKER COMPANY;;2;;;;;2
SYB JSC.;;2;;;;;2
Sylbing & Gould;;1;;;;;1
Symbol B.V.;;1;;;;;1
Synergos Communicatie B.V.;;3;;;;;3
Sysqa B.V.;;1;;;;;1
t Ruysdael B.V.;;2;;;;;2
T.D.I. (Touristic Development International);;4;;;;;4
Tabasco;;1;;;;;1
tailorD;;3;;;;;3
Tarifica;;1;;;;;1
Tauw B.V.;;2;;;;;2
TC Techno Consult Elektronik Beratungs- und Vertriebsgesellschaft mbH;;2;;;;;2
Team Communicatie Management B.V.;;2;;;;;2
TeamSupport Creating Together B.V.;;2;;;;;2
Technisch Beheer Nederland B.V.;;1;;;;;1
Technolution B.V.;;3;;;;;3
Technopolis B.V.;;5;;;;;5
Telan B.V.;;1;;;;;1
Telecom.Paper B.V.;;2;;;;;2
Tele-Rilevamento Europa T.R.E. s.r.l.;;3;;;;;3
TenneT TSO;;2;;;;;2
TepICT;;1;;;;;1
Terts: woord, beeld, vertaling;;1;;;;;1
Test Veritas;;1;;;;;1
Tethys : aquatic ecosystem advice;;2;;;;;2
Textcetera B.V.;;1;;;;;1
Textline Reclamecentrum B.V.;;1;;;;;1
Thales Nederland;;5;;;;;5
The Association of Small and Medium Enterprises in Tourism (ASMET);;2;;;;;2
The Brattle Group Limited - Italian Branch;;4;;;;;4
The Cape Craft and Design Institute (CCDI);;2;;;;;2
The Choice B.V.;;2;;;;;2
The Coal Authority;;2;;;;;2
The Colour Kitchen Langerlust B.V.;;1;;;;;1
The Design Niche;;2;;;;;2
The Extremely Useful Company GmbH;;2;;;;;2
The Faithful Goose B.V.;;2;;;;;2
The Family Tree;;2;;;;;2
The Flea Market;;1;;;;;1
The Friesian Agro Consultancy B.V.;;5;;;;;5
The Hague Academy for Local Governance;;5;;;;;5
The Journey Tourism Consulting and Management (Pty) Ltd;;2;;;;;2
The Next Speaker;;1;;;;;1
The Oddshop B.V.;;2;;;;;2
The Others B.V.;;2;;;;;2
The United Nations Office for Project Services (UNOPS);;4;;;;;4
Thema Project en Advies B.V.;;5;;;;;5
Thieu Verdonschot;;1;;;;;1
Things To Make And Do B.V.;;2;;;;;2
Thorbecke B.V.;;2;;;;;2
Thuiswinkel B.V.;;1;;;;;1
TiasNimbas Business School;;4;;;;;4
time.lex BV CVBA;;1;;;;;1
Tint, Buro voor Grafische Vormgeving;;2;;;;;2
T-Minus Engineering B.V.;;2;;;;;2
TNS Nipo B.V.;;4;;;;;4
To Realize Concepts B.V.;;1;;;;;1
To70 B.V.;;4;;;;;4
TO70 Holding B.V.;;3;;;;;3
TOBE B.V.;;4;;;;;4
Today Designers B.V.;;2;;;;;2
Top Movers Nederland B.V.;;1;;;;;1
TOPdesk Nederland B.V.;1;1;;;;;1
Total Identity;;1;;;;;1
Total Public B.V.;;1;;;;;1
Totems Architecture B.V.;;3;;;;;3
TPG Post Holdings;;1;;;;;1
Trade up Africa suarl;;1;;;;;1
Transaction Technologies B.V.;;1;;;;;1
Transfer France;;2;;;;;2
TRANSFER Latin Business Consultancy B.V.;;3;;;;;3
Transformatieteam;;1;;;;;1
Triarii B.V.;;2;;;;;2
Trices B.V.;;2;;;;;2
Trinity Consult BVBA;;1;;;;;1
Trinomics B.V.;;4;;;;;4
Triple A - Risk Finance B.V.;;1;;;;;1
Trots Consultancy & Detachering B.V.;3;4;;;1;;4
Trots Solutions B.V.;;1;;;;;1
True Food;;2;;;;;2
Tshukudu Technology College B.V.;;2;;;;;2
Tulipan Real SAC;;2;;;;;2
Tuned In Travel;;1;;;;;1
Turner Interim Management B.V.;;2;;;;;2
TV Ugarte Martinez;;1;;;;;1
TVCN;;1;;;;;1
TVHG Budget Amsterdam III B.V.;;1;;;;;1
Twentenet;1;;;;;;1
Twinstone BV;;2;;;;2;2
Twynstra Gudde Adviseurs B.V.;;2;;;;;2
Twynstra Gudde Energie B.V.;;2;;;;;2
Twynstra Gudde Mobiliteit & Infrastruct. B.V.;;2;;;;;2
UITExpo LLC;;1;;;;;1
UJG;;6;;;;;6
Unisys Nederland N.V.;1;;;;;;1
UNIVATE B.V.;;2;;;;;2
Universit?t Stuttgart;;1;;;;;1
University of Cambridge;;2;;;;;2
University of Peradeniya, Sri Lanka;;2;;;;;2
Urbancore;;2;;;;;2
Urbanos;;2;;;;;2
USG Marketing & Communications;3;2;;;;;3
Ushi Enschede B.V.;;1;;;;;1
USP Marketing Consultancy B.V.;;3;;;;;3
UTS Abbink Den Haag;;1;;;;;1
UW Werkmaatschappij B.V.;;2;;;;;2
UX-Informmation Technology Lda.;;1;;;;;1
v. Rossum Raadgev. Ingenieurs Amsterdam B.V.;;1;;;;;1
V.O.F. Duracert;;2;;;;;2
V.O.F. Heemstra;;1;;;;;1
Va Consult;;1;;;;;1
Vabi Advies B.V.;;1;;;;;1
Valsplat B.V.;;4;;;;;4
Value Added in Africa (VAA);;1;;;;;1
Van Beek Ingenieurs B.V.;;1;;;;;1
Van Bommel FAUNAWERK;;1;;;;;1
Van de Meerakker Service B.V.;;1;;;;;1
Van den Herik & Verkaart B.V.;;2;;;;;2
Van den Kommer Legal B.V.;;1;;;;;1
Van der Kolk Advies;;2;;;;;2
Van der Linde Holding B.V.;;1;;;;;1
Van der Post ICT dienstverlening;;;;;1;;1
Van der Valk Exclusief Hotel Emmeloord;;1;;;;;1
Van der Valk Hotel Den Haag B.V.;;1;;;;;1
van der Wiel Ruimtelijk Advies;;3;;;;;3
Van Eybergen Management Advies;;1;;;;;1
Van Kempen Engineering & Consultancy B.V.;;3;;;;;3
Van Kempen Onderzoek en Advies;;3;;;;;3
Van Rijn Advies;;1;;;;;1
Van Vieren B.V.;;2;;;;;2
Van Woerkom, Nobels & Ten Veen B.V.;;1;;;;;1
Van Wolferen Research;;2;;;;;2
Vanberkel Interim Professionals B.V.;;;;2;;;2
VAPRO B.V.;;2;;;;;2
Vastgoed Belang Ledenservice B.V.;;1;;;;;1
Vastgoedjournaal.nl B.V.;;4;;;;;4
VCK Travel B.V.;;2;;;;;2
VDE Prüf- und Zertifizierungsinstitut GmbH;;4;;;;;4
Veegeo B.V.;;1;;;;;1
Velders & Novak IMC;;3;;;;;3
Venture IQ B.V.;;2;;;;;2
Ver. Behart. Bel. Nederl. Neth. Aerospace Gr.;;2;;;;;2
Ver. Koninklijke Nederlandse Bouwkeramiek;;2;;;;;2
Ver. Mak. Vastgoeddeskund. NVM, Afd. Gron.;;1;;;;;1
Ver. van Beleggers voor Duurzame Ontwikkeling;;2;;;;;2
Ver. voor Lok. Natuur- en Milieucommunicatie;;2;;;;;2
Verdonck, Klooster & Associates B.V.;3;5;;;;;5
Verenig. v. Fabrik. van Agrarische Betonwaren;;1;;;;;1
Verenig. van de Ned. Chemische Industrie;;3;;;;;3
Vereniging 'De BredeStroomversnelling';;2;;;;;2
Vereniging de Nederlandse Werkgroep Drogen;;3;;;;;3
Vereniging Deltametropool;;1;;;;;1
Vereniging DOET;;1;;;;;1
Vereniging Dorpsbelangen Onderdendam;;2;;;;;2
Vereniging FME-CWM;;4;;;;;4
Vereniging GDO;;3;;;;;3
Vereniging High Tech NL;;2;;;;;2
Vereniging PhotonicsNL;;2;;;;;2
Vereniging PO-raad;;4;;;;;4
Vereniging Sport en Gemeenten;;2;;;;;2
Vereniging van Bos- en Natuurterreineigenaren;;1;;;;;1
Vereniging van Milieuprofessionals;;2;;;;;2
Vereniging van Ned. Koel- en Vrieshuizen;;2;;;;;2
Vereniging VNO-NCW;;2;;;;;2
Verhaert Netherlands B.V.;;2;;;;;2
Vermeegen Management Consultancy B.V.;;2;;;;;2
Vermilion Energy Netherlands B.V.;;;;1;;;1
Verstegen & Van den Bos B.V.;;4;;;;;4
VetEffect Consultancy & Recruiting B.V.;;2;;;;;2
Videonieuwsbericht B.V.;;1;;;;;1
Vietnam Consulting Services;;2;;;;;2
Vijverberg Juristen B.V.;;2;;2;;;2
Vine and Wine Foundation of Armenia;;2;;;;;2
Vinium;;3;;;;;3
Vinvis;;2;;;;;2
Vision Project en Adviesbureau voor Technologie Management;;2;;;;;2
Visit Bolivia;;2;;;;;2
Vissers vd Kust Geintegr. Visserij CoÃƒÂ¶per. U;;1;;;;;1
Vito;;1;;;;;1
Vodafone;;;1;;;;1
Voedingscentrum Nederland;;2;;;;;2
Vogelaar Beheer B.V.;;3;;;;;3
Voorberg Bouwkunde B.V.;;3;;;;;3
Vos Consult;;1;;;;;1
Voxx Communicatie-Adviseurs B.V.;;2;;;;;2
VSSC - Van Schijndel Strategic Consultancy;;1;;;;;1
Waag Leiden B.V.;;1;;;;;1
Waaloord;;1;;;;;1
Waddenvereniging;;2;;;;;2
Wageningen Centre for Development Innovation;;3;;;;;3
WAM Holland Bulk Handling Equipment B.V.;;2;;;;;2
Water Insight B.V.;;2;;;;;2
Waternet;;1;;;;;1
WaterSense;;2;;;;;2
WAZA projectos SA;;2;;;;;2
WB de Ruimte B.V.;;1;;;;;1
wbpr Kommunikation GmbH;;1;;;;;1
We Consult;;2;;;;;2
We Love Earth;;2;;;;;2
We Quit Mail;;2;;;;;2
We Share Talent B.V.;;1;;;;;1
Well Design B.V.;;2;;;;;2
WEnergy Global;;2;;;;;2
Werkpartner;;1;;4;;;4
Werkpartner B.V.;;2;;;;;2
WernerConsult Ltd;;3;;;;;3
Wesselink Van Zijst B.V.;;2;;;;;2
Westland Infra Netbeheer B.V.;;;;1;;;1
Wetgevingswerken B.V.;;2;;;;;2
Wetlands International;;1;;;;;1
Wetransform Gmbh;;1;;;;;1
WhatELs;;1;;;;;1
Whoosah;1;;;;;;1
Wiertsema & Partners Beheer B.V.;;2;;;;;2
WIK-Consult GmbH;;4;;;;;4
Wikibase Solutions;;1;;;;;1
Wildlands Adventure Zoo Emmen B.V.;;1;;;;;1
Wind Minds B.V.;;2;;;;;2
Wines of Macedonia;;2;;;;;2
WING Process Consultancy B.V.;;5;;;;;5
Winkelman-v. Hessen Market. & Publ. Rel. B.V.;;1;;;;;1
WIPO World Intellectual Property;;4;;;;;4
Wirtz, Film & Experience Agency B.V.;;2;;;;;2
Witteveen+Bos;;4;;;;;4
WOLCK;;1;;;;;1
Wolfskater International Consultancy Services BV;;2;;;;;2
Woman, Peace & Security;;2;;;;;2
Women for Water Partnership;;1;;;;;1
Woodside;;2;;;;;2
WorkWire B.V.;;1;;;;;1
WT B.V.;;1;;;;;1
Wunderkraut Nederland B.V.;;1;;;;;1
Xedia;;1;;;1;;2
Xillio B.V.;;1;;;;;1
XPEX B.V.;;1;;;;;1
Xportwise;;2;;;;;2
XS4ALL Internet B.V.;;;;;1;;1
Yacht B.V.;;4;;2;;;4
Ynformed;;2;;;;;2
Z&C V.O.F.;;1;;;;;1
Zaalverhuur7;;1;;;;;1
Zambia Tourism Board;;1;;;;;1
Zeezicht Vlieland B.V.;;1;;;;;1
Zet Solutions B.V.;;;1;;;;1
Ziggo B.V.;;;1;;;;1
Zilt Proefbedrijf B.V.;;2;;;;;2
Zilverberg Advies, Communicatie en Projecten;;2;;;;;2
Zimbabwe Environmental Law Association (ZELA);;1;;;;;1
ZimTrade;;1;;;;;1
Zoetbrood Advies;;1;;;;;1
Zorg van de Zaak N.V.;;1;;;;;1
ZorgVuldig Advies;;3;;;;;3
Zorgweb B.V.;;2;;;;;2
Zuivere Speeltijd;;2;;;;;2
Eindtotaal;11;12;2;7;6;4;13
