ID;GUID;NAAM;OPMERKINGEN;ZONE_NAAM;WABO;SGH;BEHEER_DERDEN;TYPE_ECOLOGISCHE_VERBINDINGSZO;BUURT_CODE;BUURT_OMSC;STADSDEEL_CODE;STADSDEEL_OMSC;WIJK_CODE;WIJK_OMSC;BEHEERGEBIEDEN_OMSC;COUNTER
4632282;{68B7F892-9ED5-40A8-93C0-F394346C49AC};Scheveningse Zone, deelgebied I;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;72;Rijslag;4;Scheveningen;7;Scheveningen;;286
4632283;{B4388D22-5DC6-41FA-BA06-B27BD86388E2};Scheveningse Zone, deelgebied I;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;72;Rijslag;4;Scheveningen;7;Scheveningen;;287
4632260;{3101C59A-845F-4E72-97F0-4E94C4B24B4A};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;288
4632261;{2881B886-C689-46A9-ADD6-D84CE3A370E9};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;289
4632262;{D64A0E50-F98B-4768-87DA-BA2FD9C2A2EC};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;290
4632263;{3A02C05E-F7BE-4F62-9C7F-2FBEEF44240D};Scheveningse Zone, deelgebied L;;Scheveningse zone;Ja;Ja;Nee;Ecologische verbindingszone;5;Van Stolkprk./Schev.Bosjes;4;Scheveningen;6;Van Stolkpark en Scheveningse Bosjes;;291
4632317;{2F28B15D-9304-48B7-B8CC-9ADA928E56AB};Zone Leidschenveen, deelgebied Z;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;292
4632318;{FF942689-8AAA-4A7F-A083-6621736C66E7};Zone Leidschenveen, deelgebied Z;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;293
4632319;{92BBC3D1-9F3E-4C23-A961-984E8AAF6FA2};Zone Leidschenveen, deelgebied W;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;294
4632320;{9928BDEF-DE2E-497C-A405-5061131C2573};Zone Leidschenveen, deelgebied V;;Leidschenveenzone;Ja;Ja;Nee;Ecologische verbindingszone;120;De Vissen;8;Leidschenveen-Ypenburg;44;Leidschenveen;;295
4632267;{A5DC5750-59A7-494A-9406-0F000CB31F8A};Haagse Beekzone, deelgebied J;Uitvoering restpunten 2015/2016deels uitgevoerd, uitvoering resterende punten gepland voor 2015/2016;Haagse Beekzone;Ja;Ja;Nee;Ecologische verbindingszone;9;Vogelwijk;3;Segbroek;13;Vogelwijk;;255
