FID,omschr,doorrijhgt,invent_oms,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
kunstoverweg_wegvak.602,Viaduct,0,VIAD.'BRUKSKE'I/D DEURNESEWEG =N270,600146480,2022-03-01T00:00:00,73,060014648020220301,PKK0000089222,I,,POINT (197731.58260000125 392614.7248999998)
kunstoverweg_wegvak.603,Viaduct,0,VIAD.'LANDWEERT'I/D ROSMOLENBAAN,394190021,2022-03-01T00:00:00,593,039419002120220301,PKK0000089223,I,,POINT (197446.2298000008 394442.7795000002)
kunstoverweg_wegvak.604,Viaduct,0,VIAD.'LANDWEERT'I/D ROSMOLENBAAN,600146480,2022-03-01T00:00:00,1938,060014648020220301,PKK0000089223,I,,POINT (197458.9791000001 394445.8896000013)
kunstoverweg_wegvak.605,Viaduct,0,VIAD.'HOLTHEES'I/D LOONSEWEG,600146753,2022-05-01T00:00:00,751,060014675320220501,PKK0000089224,I,,POINT (196833.11690000072 398433.9640999995)
kunstoverweg_wegvak.606,Viaduct,0,VIAD.'HOLTHEES'I/D LOONSEWEG,392198011,2022-05-01T00:00:00,940,039219801120220501,PKK0000089224,I,,POINT (196821.51509999856 398427.8830999993)
kunstoverweg_wegvak.607,Viaduct,0,VIAD.'VIERLINGSBEEK'I/D OVERLOONSEWEG,388204008,2022-05-01T00:00:00,3345,038820400820220501,PKK0000089225,I,,POINT (196057.63859999925 399756.55640000105)
kunstoverweg_wegvak.608,Viaduct,0,VIAD. BUS,266307031,2022-04-01T00:00:00,261,026630703120220401,PKK0000089523,I,,POINT (133528.1248999983 454076.8359999992)
kunstoverweg_wegvak.609,Viaduct,0,"VIAD.""MARINUS VAN TYRUSVIADUCT""I/D MARINUS VAN TYRUSLAAN",266307031,2022-04-01T00:00:00,208,026630703120220401,PKK0000089524,I,,POINT (133515.17559999973 454025.44260000065)
kunstoverweg_wegvak.610,Viaduct,0,VIAD.'DE GRAAF'I/D HAPSEWEG,379223012,2022-05-01T00:00:00,41,037922301220220501,PKK0000089228,I,,POINT (189655.95169999823 411558.22349999845)
kunstoverweg_wegvak.611,Viaduct,0,VIAD.'HEYTRACK'I/D HEYTRACKSESTRAAT,600445566,2022-05-01T00:00:00,599,060044556620220501,PKK0000089229,I,,POINT (189060.79839999974 412593.16050000116)
kunstoverweg_wegvak.612,Viaduct,0,VIAD.'HEYTRACK'I/D HEYTRACKSESTRAAT,600445563,2022-05-01T00:00:00,693,060044556320220501,PKK0000089229,I,,POINT (189075.36780000106 412595.7934000008)
kunstoverweg_wegvak.613,Viaduct,0,VIAD.'KALKHOF'I/D HAPSEBAAN,600445565,2022-05-01T00:00:00,2164,060044556520220501,PKK0000089230,I,,POINT (188336.0020999983 414320.0698999986)
kunstoverweg_wegvak.614,Viaduct,0,VIAD.'KALKHOF'I/D HAPSEBAAN,600445564,2022-05-01T00:00:00,1286,060044556420220501,PKK0000089230,I,,POINT (188348.58049999923 414324.2357000001)
kunstoverweg_wegvak.615,Viaduct,0,VIAD.'VOSSENEIND'I/D J.J.LUDENLAAN =N271,600144186,2021-10-01T00:00:00,484,060014418620211001,PKK0000089231,I,,POINT (186052.41200000048 420253.935800001)
kunstoverweg_wegvak.616,Viaduct,0,VIAD.IN VBW.h ='KP.OUDENRIJN',266306045,2022-04-01T00:00:00,338,026630604520220401,PKK0000089525,I,,POINT (133343.67550000176 453301.7067999989)
kunstoverweg_wegvak.617,Viaduct,0,VIAD.'BLANKENBERG'I/D BLANKENBERGSEWEG,368245007,2022-03-01T00:00:00,1861,036824500720220301,PKK0000089232,I,,POINT (185711.02899999917 421459.5916999988)
kunstoverweg_wegvak.618,Viaduct,0,VIAD.'BLANKENBERG'I/D BLANKENBERGSEWEG,600142273,2021-10-01T00:00:00,758,060014227320211001,PKK0000089232,I,,POINT (185720.5784999989 421467.49170000106)
kunstoverweg_wegvak.619,Viaduct,0,VIAD.'WALRICK'I/D STADDIJK,366246019,2022-07-01T00:00:00,508,036624601920220701,PKK0000089233,I,,POINT (183542.34329999983 423066.69409999996)
kunstoverweg_wegvak.620,Viaduct,0,VIAD.'WALRICK'I/D STADDIJK,600142274,2021-10-01T00:00:00,855,060014227420211001,PKK0000089233,I,,POINT (183549.4257999994 423078.1609000005)
kunstoverweg_wegvak.621,Viaduct,0,VIAD.'STRAAT',399111053,2022-03-01T00:00:00,4,039911105320220301,PKK0000089198,I,,POINT (199869.9593999982 355638.76669999957)
kunstoverweg_wegvak.622,Viaduct,0,VIAD.'KIEFT'I/D FIETS-VOETG.BRUG KIEVITSWEG,411163004,2021-10-01T00:00:00,446,041116300420211001,PKK0000089218,I,,POINT (205910.36400000006 381257.0058000013)
kunstoverweg_wegvak.623,Viaduct,0,VIAD.'DE GRAAF'I/D HAPSEWEG,600144284,2022-05-01T00:00:00,30,060014428420220501,PKK0000089228,I,,POINT (189670.44469999894 411557.9294999987)
kunstoverweg_wegvak.624,Viaduct,0,VIAD.'KLOOSTERHOF'I/D KONINGINNELAAN,600147789,2022-03-01T00:00:00,18,060014778920220301,PKK0000089197,I,,POINT (199092.10159999877 354847.2501000017)
kunstoverweg_wegvak.625,Viaduct,0,VIAD.'STRAAT',600147457,2022-03-01T00:00:00,668,060014745720220301,PKK0000089198,I,,POINT (199856.76940000057 355645.3231999986)
kunstoverweg_wegvak.626,Viaduct,0,VIAD.,414140031,2021-10-01T00:00:00,18,041414003120211001,PKK0000089206,I,,POINT (207163.27659999952 370033.9517999999)
kunstoverweg_wegvak.627,Viaduct,0,VIAD.'KIEFT'I/D FIETS-VOETG.BRUG KIEVITSWEG,600149290,2022-03-01T00:00:00,7,060014929020220301,PKK0000089218,I,,POINT (205925.38859999925 381258.3599999994)
kunstoverweg_wegvak.628,Viaduct,0,VIAD.'VIERLINGSBEEK'I/D OVERLOONSEWEG,600144121,2022-05-01T00:00:00,10,060014412120220501,PKK0000089225,I,,POINT (196068.42300000042 399764.564199999)
kunstoverweg_wegvak.629,Viaduct,0,VIAD.'VOSSENEIND'I/D J.J.LUDENLAAN =N271,372241014,2022-03-01T00:00:00,559,037224101420220301,PKK0000089231,I,,POINT (186039.79439999908 420254.7120999992)
kunstoverweg_wegvak.630,Ecoduct,0,ECODUCT 'WARNBACH',600149286,2022-03-01T00:00:00,1680,060014928620220301,PKK0000089238,I,,POINT (209339.04890000075 371927.28770000115)
kunstoverweg_wegvak.631,Ecoduct,0,ECODUCT 'WARNBACH',419143002,2021-10-01T00:00:00,228,041914300220211001,PKK0000089238,I,,POINT (209344.7498999983 371939.0423000008)
kunstoverweg_wegvak.632,Viaduct,0,VIAD.'ULINGSHEIDE' I/D ULINGSHEIDE,600149286,2022-03-01T00:00:00,1573,060014928620220301,PKK0000089239,I,,POINT (209252.05330000073 371989.5199000016)
kunstoverweg_wegvak.633,Viaduct,0,VIAD.'ULINGSHEIDE' I/D ULINGSHEIDE,419143002,2021-10-01T00:00:00,335,041914300220211001,PKK0000089239,I,,POINT (209257.89979999885 372001.4706000015)
kunstoverweg_wegvak.634,Brug,0,FIETS VIAD. 'EGYPTE',600149286,2022-03-01T00:00:00,692,060014928620220301,PKK0000089240,I,,POINT (208787.44729999825 372719.85709999874)
