OBJECTID,BEHEERCODE,BEHEERTYPE,HOOFDSOORT,BEHEERDER,PARKNAAM_LANDGOED,OPPERVLAKTE,OMTREK,MAAIFREQUENTIE,BEHEERKLASSE,MATERIAAL_ONDERGROND,GEBIEDSNAAM,SHAPESTArea,SHAPESTLength
465,06.22.G.0895,Gazon,,Stadsdeel 6,,408.423,122.081,16 x per jaar | Machinaal,,,Elden en De Laar,408.422725,122.081037704745
466,03.09.G.2627,Heesters laag,AA_Gemengde soorten,Afdeling Bossen & Parken,Begraafpark Moscowa,11.817,14.93,,Onkruid beheersen,,Noord-Oost,11.81737,14.9300004721785
467,05.16.G.0607,Blokhaag,,Stadsdeel 5,,25.869,58.787,,,,Malburgen,25.869119,58.7866780084913
468,06.22.G.0618,Gazon,,Stadsdeel 6,,33.848,42.24,16 x per jaar | Machinaal,,,Elden en De Laar,33.439853,42.2353937728555
469,06.22.G.3959,Gras/kruiden,,Stadsdeel 6,,599.121,255.854,2 x per jaar | Op Talud | Machinaal,,,Elden en De Laar,599.120926,255.854207658929
470,03.06.G.0744,Gazon,,Stadsdeel 3,,5.995,10.918,16 x per jaar | Machinaal,,,Noord-West,5.994329705,10.9155717678494
471,01.01.G.1556,Vlak onderhoud projecten,Rosa 'Rote Hannover',Projecten,,42.195,26.162,,Onkruid beheersen,,CSA,42.194885,26.1615975974381
472,06.22.G.3716,Heesters laag,,Stadsdeel 6,,2.978,7.382,,Onkruid beheersen,,Elden en De Laar,2.977744655,7.37958711836903
473,03.08.G.2238,Gazon,,Afdeling Bossen & Parken,Park Sacre Coeur,312.601,430.996,18 x per jaar | Machinaal,,,Noord-Oost,312.636359,430.99574399255
474,03.09.G.3308,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,47.942,53.512,,Graven 3 x maaien handmatig,,Noord-Oost,47.9423425,53.5120679243331
475,05.18.G.1550,Haag,,Stadsdeel 5,,17.347,41.942,,,,Malburgen,17.3471455,41.9417215783818
476,04.02.G.0197,Heesters laag,AA zie opm,Stadsdeel 4,,9.652,12.336,,Onkruid beheersen,,CSA,9.65119994,12.334563238199
477,06.24.G.0415,Gazon,,Stadsdeel 6,,425.298,233.325,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",426.37796871,233.27725992453
478,05.18.G.2644,Gras/kruiden,,Stadsdeel 5,,318.838,145.678,2 x per jaar | Machinaal,,,Malburgen,318.8382245,145.678406785458
479,06.22.G.2897,Heesters laag,Cotoneaster suecicus 'Coral Beauty',Stadsdeel 6,,5.008,10.675,,Onkruid beheersen,,Elden en De Laar,5.005467145,10.6730252117223
480,06.24.G.1144,Gras/kruiden,,Stadsdeel 6,,467.948,932.131,2 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",467.132877115,932.100114180484
481,06.21.G.2867,Struweel,,Stadsdeel 6,,7641.567,904.285,,,,"Schuytgraaf, Elderveld",7641.5673685,904.284742044266
482,03.11.G.1931,Gras/kruiden,,Stadsdeel 3,,373.53,175.806,1 x per jaar | Machinaal,,,Noord-Oost,373.497923895,175.801121024048
483,05.18.G.2406,Heesters laag,Symphoricarpos chenaultii 'Hancock',Stadsdeel 5,,225.242,76.797,,Onkruid beheersen,,Malburgen,225.24242,76.7972710746671
484,06.22.G.1385,Gras/kruiden,,Stadsdeel 6,,196.948,69.267,2 x per jaar | Machinaal,,,Elden en De Laar,196.9481215,69.26677698894
485,06.21.G.3052,Gazon,,Stadsdeel 6,,2486.361,222.488,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",2486.196402375,222.438668576565
486,05.23.G.3025,Boomspiegel,,Stadsdeel 5,,2.304,6.081,16 x per jaar | Handmatig,,,VKR,2.3043555,6.0813432483659
487,04.03.G.0188,Gazon,,Stadsdeel 4,,16.556,18.145,16 x per jaar | Machinaal,,,CSA,16.55567,18.1452373441766
488,05.23.G.0771,Gazon,,Stadsdeel 5,,38.902,49.282,16 x per jaar | Machinaal,,,VKR,38.9018325,49.2819703992749
489,03.09.G.3870,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,18.097,22.513,,Graven onkruidvrij,,Noord-Oost,18.097237,22.5128363261584
490,03.06.G.0406,Gras/kruiden,,Stadsdeel 3,,64.9,43.193,3 x per jaar | Machinaal,,,Noord-West,64.900064,43.1934247169631
491,06.21.G.3504,Gras/kruiden,,Stadsdeel 6,,276.917,106.716,2 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",276.9173805,106.716159161327
492,02.12.G.1980,Heesters hoog,Rhododendron sp.,Afdeling Bossen & Parken,Park Zijpendaal,175.59,52.269,,Rhododendron,,Noord-West,175.5904865,52.2691570234228
493,05.18.G.1239,Gazon,,Stadsdeel 5,,17.3,31.663,16 x per jaar | Machinaal,,,Malburgen,17.167657765,31.661039705339
494,05.18.G.1849,Gazon,,Stadsdeel 5,,104.763,55.952,16 x per jaar | Machinaal,,,Malburgen,104.697411415,55.947780940406
495,06.21.G.0889,Gras/kruiden,,Stadsdeel 6,,289.258,492.423,1 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",289.253970085,492.421719188421
496,05.16.G.0825,Gazon,,Stadsdeel 5,,2.553,6.391,16 x per jaar | Machinaal,,,Malburgen,2.5530225,6.39139195309447
497,03.09.G.1477,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,63.876,66.188,,Graven verplicht onderhoud,,Noord-Oost,63.8763885,66.1877393510257
498,05.19.G.1258,Haag,Ligustrum sp.,Stadsdeel 5,,1.031,4.07,,,,VKR,1.030736,4.06951952085055
499,04.05.G.0996,Gazon,,Stadsdeel 4,,987.024,755.896,16 x per jaar | Machinaal,,,Presikhaaf,987.2211215,755.890002267642
500,04.05.G.1215,Gazon,,Stadsdeel 4,,111.565,57.809,16 x per jaar | Machinaal,,,Presikhaaf,111.563677695,57.8075316490601
501,03.09.G.4974,Gras/kruiden,,Stadsdeel 3,,220.354,111.721,2 x per jaar | Machinaal,,,Noord-West,220.453345285,111.718459332922
502,05.23.G.3370,Vaste planten,,Stadsdeel 5,,9.212,22.597,,,,VKR,9.211566,22.5965044488338
503,05.18.G.1896,Gazon,,Stadsdeel 5,,372.709,126.997,16 x per jaar | Machinaal,,,Malburgen,372.7085005,126.997388893534
504,05.23.G.0380,Gazon,,Stadsdeel 5,,552.149,272.113,16 x per jaar | Machinaal,,,VKR,552.1485995,272.113296656723
505,04.03.G.1109,Struweel,,Stadsdeel 4,,70.025,44.721,,,,CSA,69.98450627,44.7101029396131
506,03.07.G.1168,Vlak onderhoud derden,,Derden,,88.572,63.898,,Onkruid beheersen,,Noord-West,88.572356,63.8982007435713
507,05.17.G.0796,Gazon,,Stadsdeel 5,,244.276,137.038,16 x per jaar | Machinaal,,,Malburgen,244.273035625,137.03532719647
508,03.07.G.1238,Vlak onderhoud derden,,Derden,,23.55,21.241,,,,Noord-West,23.550361,21.2407291935232
509,04.05.G.1644,Vaste planten,,Stadsdeel 4,,3.111,7.108,,,,Presikhaaf,3.111344,7.10814761464447
510,03.08.G.0634,Gazon,,Stadsdeel 3,,36.786,33.56,16 x per jaar | Machinaal,,,Noord-Oost,36.78157904,33.5577406207852
511,05.18.G.1150,Gazon,,Stadsdeel 5,,176.769,94.447,16 x per jaar | Machinaal,,,Malburgen,176.72016228,94.435756527542
512,03.10.G.0579,Boomspiegel,,Stadsdeel 3,,8.297,12.361,16 x per jaar | Handmatig,,,Noord-Oost,8.296252815,12.3583534217959
513,05.19.G.0701,Gazon,,Stadsdeel 5,,109.522,52.73,16 x per jaar | Machinaal,,,VKR,109.47411165,52.7267640342899
514,04.04.G.1875,Haag,Fagus sylvatica,Stadsdeel 4,,3.674,20.325,,,,Presikhaaf,3.6744495,20.3251881097585
515,03.11.G.0270,Gazon,,Stadsdeel 3,,93.769,52.801,16 x per jaar | Machinaal,,,Noord-Oost,93.769283,52.8013988138914
516,03.09.G.1089,Gras/kruiden,,Stadsdeel 3,,10.531,13.251,2 x per jaar | Machinaal,,,Noord-Oost,10.529176765,13.2493459972134
517,03.07.G.0635,Gazon,,Stadsdeel 3,,33.944,22.896,16 x per jaar | Machinaal,,,Noord-West,33.93068585,22.8906583254139
518,06.24.G.3228,Gras/kruiden,,Stadsdeel 6,,179.31,125.767,3 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",179.3102785,125.766756985752
519,03.08.G.2214,Boomspiegel,,Stadsdeel 3,,4.192,8.751,16 x per jaar | Handmatig,,,Noord-Oost,4.19058037,8.7485377506234
520,03.09.G.4877,Gazon,,Afdeling Bossen & Parken,Begraafpark Moscowa,28.661,48.105,25 x per jaar | Machinaal,,,Noord-Oost,28.660546,48.1047537612787
521,04.05.G.1755,Gazon,,Afdeling Bossen & Parken,Park Presikhaaf,37.196,81.574,18 x per jaar | Machinaal,,,Presikhaaf,37.19573,81.5736489350103
522,06.22.G.2690,Heesters laag,Gemengde soorten zie doc.,Stadsdeel 6,,324.536,153.724,,Onkruid beheersen,,Elden en De Laar,324.101975055,153.699453427262
523,05.19.G.0115,Blokhaag,,Stadsdeel 5,,28.45,23.123,,,,VKR,28.4500445,23.1234136344709
524,06.24.G.2316,Haag,,Stadsdeel 6,,10.088,40.915,,,,"Schuytgraaf, Elderveld",10.088477,40.9154440210928
525,05.19.G.3307,Blokhaag,,Stadsdeel 5,,11.385,18.182,,,,VKR,11.3848305,18.1820454029372
526,06.21.G.3648,Gazon,,Stadsdeel 6,,851.36,127.895,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",851.360476,127.895218925808
527,04.05.G.1463,Gazon,,Afdeling Bossen & Parken,Park Presikhaaf,245.557,109.47,18 x per jaar | Machinaal,,,Presikhaaf,245.88828953,109.397913346187
528,02.12.G.3339,Gazon,,Stadsdeel 2,,3.393,7.375,16 x per jaar | Machinaal,,,Noord-West,3.3932695,7.37545022507931
529,05.23.G.0439,Gazon,,Stadsdeel 5,,19.765,18.161,16 x per jaar | Machinaal,,,VKR,19.58015398,18.1514660836877
530,06.22.G.1321,Gras/kruiden,,Stadsdeel 6,,183.997,79.694,2 x per jaar | Machinaal,,,Elden en De Laar,183.9971845,79.6940280541375
531,03.11.G.2109,Gazon,,Stadsdeel 3,,61.591,32.569,16 x per jaar | Machinaal,,,Noord-Oost,61.5914345,32.5689076137761
532,06.22.G.4841,Gras/kruiden,,Stadsdeel 6,,944,603.855,2 x per jaar | Machinaal,,,Elden en De Laar,943.570277675,603.845676730684
533,03.06.G.0804,Vlak onderhoud derden,AA zie document,Derden,,9.064,17.842,,,,Noord-West,9.0642605,17.84171230352
534,06.22.G.1732,Struweel,,Stadsdeel 6,,448.399,211.646,,,,Elden en De Laar,448.3986295,211.646179692659
535,03.08.G.1027,Gazon,,Stadsdeel 3,,18.709,19.505,16 x per jaar | Machinaal,,,Noord-Oost,18.709077,19.5053914462261
536,04.05.G.0723,Gazon,,Stadsdeel 4,,27.723,21.142,16 x per jaar | Machinaal,,,Presikhaaf,27.722715,21.1415421702774
537,03.09.G.3896,Heesters laag,Taxus sp.,Afdeling Bossen & Parken,Begraafpark Moscowa,75.439,41.834,,Onkruid beheersen,,Noord-Oost,75.46754605,41.8316386301131
538,04.05.G.1171,Gras/kruiden,,Stadsdeel 4,,435.235,166.518,3 x per jaar | Op Talud | Machinaal,,,Presikhaaf,435.2349705,166.518317655531
539,06.22.G.4133,Heesters laag,Rosa 'Schneeflocke' (Noaschnee),Stadsdeel 6,,3.737,10.14,,Onkruid beheersen,,Elden en De Laar,3.73567929,10.1378911817139
540,05.23.G.2181,Gras/kruiden,,Stadsdeel 5,,1991.407,1017.744,1 x per jaar | Op Talud | Machinaal,,,VKR,1991.406646,1017.74389910288
541,05.17.G.0357,Gazon,,Stadsdeel 5,,32.912,32.798,16 x per jaar | Machinaal,,,Malburgen,32.9116335,32.798327730932
542,06.22.G.2262,Blokhaag,,Stadsdeel 6,,12.942,14.729,,,,Elden en De Laar,12.9424645,14.728792583528
543,05.19.G.3056,Gazon,,Afdeling Bossen & Parken,Park Immerloo,363.071,95.782,18 x per jaar | Machinaal,,,VKR,363.0713835,95.7820389169354
544,06.22.G.4783,Vlak onderhoud derden,,Derden,,14.751,16.336,,,,Elden en De Laar,14.7506265,16.3358528371684
545,04.03.G.1617,Vaste planten,Rudbeckia fulgida 'Goldsturm',Stadsdeel 4,,2.112,5.843,,,,CSA,2.1121985,5.8433203331968
546,05.19.G.1491,Heesters hoog,Gemengde soorten zie doc.,Stadsdeel 5,,154.562,50.065,,Onkruid beheersen,,VKR,154.5616855,50.0653912979527
547,05.23.G.0797,Gras/kruiden,,Stadsdeel 5,,1019.817,551.595,2 x per jaar | Machinaal,,,VKR,1019.817179,551.595309984779
548,05.18.G.0476,Gazon,,Stadsdeel 5,,750.314,116.243,16 x per jaar | Machinaal,,,Malburgen,750.314335,116.242818404039
549,04.05.G.1511,Heesters hoog,Rhododendron sp.,Afdeling Bossen & Parken,Park Presikhaaf,39.521,25.134,,Rhododendron,,Presikhaaf,39.50365849,25.1308222252278
550,06.21.G.0981,Haag,Fagus sp.,Stadsdeel 6,,48.473,74.197,,,,"Schuytgraaf, Elderveld",48.473108,74.1965240655089
551,05.23.G.2087,Gazon,,Stadsdeel 5,,1.666,8.015,16 x per jaar | Machinaal,,,VKR,1.6656285,8.01497875881991
552,05.19.G.0378,Gazon,,Stadsdeel 5,,139.489,69.886,16 x per jaar | Machinaal,,,VKR,139.488223265,69.8842524789966
553,06.21.G.2433,Gazon,,Stadsdeel 6,,193.281,191.65,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",193.28115,191.650149922952
554,06.22.G.4027,Blokhaag,Acer campestre,Stadsdeel 6,,37.227,24.349,,,,Elden en De Laar,37.223492315,24.3474884654361
555,03.09.G.4448,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,34.903,40.037,,Graven onkruidvrij,,Noord-Oost,34.902792,40.0373194532914
556,05.23.G.3078,Gazon,,Stadsdeel 5,,35.219,39.389,16 x per jaar | Machinaal,,,VKR,35.218532,39.3893022314789
557,06.24.G.3037,Haag,,Stadsdeel 6,,5.557,23.223,,,,"Schuytgraaf, Elderveld",5.557459,23.2232527969916
558,02.12.G.2284,Gazon,,Afdeling Bossen & Parken,Park Sonsbeek,1245.396,171.457,25 x per jaar | Machinaal,,,Noord-West,1245.396183,171.457458110491
559,03.06.G.0400,Vaste planten,Gemengde soorten zie doc.,Stadsdeel 3,,29.341,34.643,,,,Noord-West,29.35233642,34.6397651182152
560,06.22.G.4825,Boomspiegel,,Stadsdeel 6,,2.91,6.134,16 x per jaar | Handmatig,,,Elden en De Laar,2.90955,6.13361419036988
561,06.22.G.4925,Haag,,Stadsdeel 6,,14.358,32.67,,,,Elden en De Laar,14.3584875,32.6702663150884
562,03.09.G.1746,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,14.341,17.527,,Graven onkruidvrij,,Noord-Oost,14.34109,17.5271938540459
563,06.22.G.0977,Gazon,,Stadsdeel 6,,69.808,99.152,16 x per jaar | Machinaal,,,Elden en De Laar,69.807749,99.1523486171562
564,03.09.G.3050,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,54.549,66.18,,Graven 3 x maaien handmatig,,Noord-Oost,54.5487875,66.1796445407371
565,04.03.G.1110,Struweel,,Stadsdeel 4,,111.521,104.182,,,,CSA,111.56115373,104.170929605659
566,05.19.G.0853,Gazon,,Stadsdeel 5,,110.449,62.386,16 x per jaar | Machinaal,,,VKR,110.449291,62.3857848795783
567,05.19.G.2407,Gazon,,Afdeling Bossen & Parken,Park Immerloo,24.099,50.213,18 x per jaar | Machinaal,,,VKR,24.099407,50.2134469603267
568,05.18.G.1709,Gazon,,Stadsdeel 5,,38.875,32.755,16 x per jaar | Machinaal,,,Malburgen,38.875401,32.7549035504187
569,02.15.G.0204,Heesters laag,Buddleja 'Blue Chip',Stadsdeel 2,,14.58,26.558,,Onkruid beheersen,,Noord-West,14.580396,26.5582181745813
570,05.23.G.1429,Gras/kruiden,,Stadsdeel 5,,106.838,205.197,2 x per jaar | Op Talud | Machinaal,,,VKR,106.838188,205.196797797997
571,03.06.G.0846,Gras/kruiden,,Stadsdeel 3,,126.672,53.154,2 x per jaar | Machinaal,,,Noord-West,126.636779045,53.1465819581728
572,01.01.G.1814,Heesters hoog,Prunus laurocerasus,Stadsdeel 1,,9.304,20.648,,Onkruid beheersen,,CSA,9.3041365,20.6482131345039
573,04.03.G.0423,Gazon,,Stadsdeel 4,,121.328,64.874,16 x per jaar | Machinaal,,,CSA,121.3283905,64.8738610416231
574,05.18.G.0097,Blokhaag,,Stadsdeel 5,,130.503,51.855,,,,Malburgen,130.503035,51.8546115907534
575,06.22.G.3598,Vaste planten,,Stadsdeel 6,,2.098,7.007,,,,Elden en De Laar,2.09714095,7.00555288985692
576,01.01.G.0735,Gras/kruiden,,Stadsdeel 1,,842.052,267.483,3 x per jaar | Op Talud | Machinaal,,,CSA,842.051926,267.482662183222
577,06.22.G.4135,Heesters laag,Rosa 'Schneeflocke' (Noaschnee),Stadsdeel 6,,3.859,9.977,,Onkruid beheersen,,Elden en De Laar,3.85766672,9.97494925847338
578,06.22.G.0515,Gazon,,Stadsdeel 6,,247.269,104.234,16 x per jaar | Machinaal,,,Elden en De Laar,247.2693915,104.234410508678
579,02.13.G.0083,Gras/kruiden,,Stadsdeel 2,,30.172,38.816,2 x per jaar | Machinaal,,,Noord-West,30.1722105,38.8159641913404
580,06.21.G.0084,Blokhaag,,Stadsdeel 6,,32.903,32.902,,,,"Schuytgraaf, Elderveld",32.90285,32.9016238190357
581,05.23.G.3366,Gras/kruiden,,Stadsdeel 5,,28.182,58.367,3 x per jaar | Machinaal,,,VKR,28.1824375,58.3671710559936
582,02.12.G.2649,Gras/kruiden,,Afdeling Bossen & Parken,Park Zijpendaal,137.393,278.825,2 x per jaar | Machinaal,,,Noord-West,137.392689,278.825158430159
583,01.01.G.1831,Haag,Taxus sp.,Stadsdeel 1,,4.06,17.246,,,,CSA,4.059989,17.2462996348366
584,06.20.G.1335,Gazon,,Afdeling Bossen & Parken,Park Westerveld,8.314,16.709,18 x per jaar | Machinaal,,,Elden en De Laar,8.3136085,16.7091172739588
585,04.04.G.0628,Heesters laag,Spiraea cinerea 'Grefsheim',Stadsdeel 4,,64.073,32.285,,Onkruid beheersen,,Presikhaaf,64.07299,32.285348716579
586,06.22.G.3148,Blokhaag,Lonicera nitida 'Maigrun',Stadsdeel 6,,458.16,166.198,,,,Elden en De Laar,458.1603555,166.197783494661
587,04.05.G.1561,Gazon,,Stadsdeel 4,,37.731,76.199,16 x per jaar | Machinaal,,,Presikhaaf,37.7306395,76.1989499117392
588,06.20.G.1114,Gazon,,Stadsdeel 6,,74.608,168.993,16 x per jaar | Machinaal,,,Elden en De Laar,74.608307,168.993035378712
589,01.01.G.1454,Gazon,,Stadsdeel 1,,175.813,62.158,20 x per jaar | Machinaal,,,CSA,174.775419295,62.1376473942258
590,01.01.G.0979,Wisselperken,,Stadsdeel 1,,19.664,20.412,,,,CSA,19.70156935,20.4060658619482
591,05.23.G.0526,Gazon,,Stadsdeel 5,,304.952,136.236,16 x per jaar | Machinaal,,,VKR,304.93413714,136.229420435302
592,04.05.G.1205,Blokhaag,Lonicera nitida,Stadsdeel 4,,8.926,12.521,,,,Presikhaaf,8.923727395,12.5192299485338
593,03.09.G.3078,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,142.715,139.15,,Graven 3 x maaien handmatig,,Noord-Oost,142.7148645,139.149545902859
594,05.23.G.0961,Heesters hoog,Lonicera tatarica 'Alba',Stadsdeel 5,,105.867,76.11,,Geen onkruid beheersen,,VKR,105.866667,76.1097532886811
595,03.11.G.0717,Heesters hoog,Rhododendron 'Catawbiense Boursault',Stadsdeel 3,,52.388,35.37,,Rhododendron,,Noord-Oost,52.3884805,35.369597799189
596,05.19.G.2950,Struweel,,Stadsdeel 5,,37.195,48.354,,,,VKR,37.1949985,48.3543981847898
597,02.14.G.0644,Vlak onderhoud derden,,Derden,,2.899,6.822,,,,Noord-West,2.899165,6.8222739282813
598,01.01.G.2142,Vlak onderhoud derden,,Derden,,1.173,5.173,,,,CSA,1.1727085,5.17289260785399
599,06.21.G.2926,Gras/kruiden,,Stadsdeel 6,,173.344,236.187,2 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",173.344291,236.18717243354
600,03.07.G.1663,Gazon,,Stadsdeel 3,,13.771,18.932,16 x per jaar | Machinaal,,,Noord-West,13.7712495,18.9318600243876
601,06.21.G.2819,Blokhaag,,Stadsdeel 6,,19.119,21.594,,,,"Schuytgraaf, Elderveld",19.11922,21.5935429664992
602,06.22.G.0587,Gazon,,Stadsdeel 6,,243.52,337.7,16 x per jaar | Machinaal,,,Elden en De Laar,243.712337,337.60474271737
603,06.22.G.3170,Heesters laag,Buddleja 'Free Petite Dark Pink',Stadsdeel 6,,21.179,20.71,,Onkruid beheersen,,Elden en De Laar,21.1787,20.7096534035045
604,03.11.G.2394,Gras/kruiden,,Afdeling Bossen & Parken,Park Klarenbeek,86.415,37.05,3 x per jaar | Machinaal,,,Noord-Oost,86.31336951,37.0420936974356
605,05.16.G.1434,Gras/kruiden,,Stadsdeel 5,,160.421,157.643,2 x per jaar | Machinaal,,,Malburgen,160.34871002,157.635906642472
606,04.03.G.0959,Vlak onderhoud derden,,Derden,,25.389,20.67,,,,CSA,25.389326,20.6701161886339
607,02.12.G.0739,Gazon,,Stadsdeel 2,,167.706,72.069,16 x per jaar | Machinaal,,,Noord-West,167.4883663,72.0640663323902
608,06.22.G.0428,Gazon,,Stadsdeel 6,,66.936,33.911,16 x per jaar | Machinaal,,,Elden en De Laar,66.867813855,33.9036442760427
609,03.09.G.2315,Heesters hoog,Cornus flaviramea,Afdeling Bossen & Parken,Begraafpark Moscowa,45.645,27.073,,Onkruid beheersen,,Noord-Oost,45.644959,27.073048173349
610,04.02.G.0738,Vlak onderhoud derden,Pennisetum alopecuroides,Derden,,7.446,10.943,,,,CSA,7.4455455,10.9425578175068
611,01.01.G.1160,Gras/kruiden,,Stadsdeel 1,,104.099,117.366,2 x per jaar | Machinaal,,,CSA,104.096355075,117.364553914055
612,05.23.G.2202,Gras/kruiden,,Stadsdeel 5,,768.517,346.59,1 x per jaar | Op Talud | Machinaal,,,VKR,768.5167315,346.589891481993
613,03.09.G.2710,Haag,Fagus sp.,Afdeling Bossen & Parken,Begraafpark Moscowa,3.25,6.393,,,,Noord-Oost,3.2502965,6.3931711315294
614,03.11.G.0756,Heesters hoog,Gemengde soorten,Stadsdeel 3,,257.338,78.72,,Geen onkruid beheersen,,Noord-Oost,257.3375925,78.7203711142067
615,06.22.G.4017,Gazon,,Stadsdeel 6,,24.726,29.762,16 x per jaar | Machinaal,,,Elden en De Laar,24.7256785,29.7618788741767
616,01.01.G.1696,Haag,,Stadsdeel 1,,27.447,79.83,,,,CSA,27.4468615,79.8297577357861
617,06.20.G.0011,Blokhaag,,Stadsdeel 6,,28.192,33.723,,,,Elden en De Laar,28.191824,33.7225455243669
618,03.09.G.2850,Grafbeplanting,,Afdeling Bossen & Parken,Begraafpark Moscowa,2.004,6.005,,Graven 3 x maaien handmatig,,Noord-Oost,2.003579,6.0048663599265
619,06.22.G.3478,Blokhaag,Lonicera nitida 'Maigrun',Stadsdeel 6,,8.476,13.508,,,,Elden en De Laar,8.4758205,13.5082435290481
620,06.22.G.1331,Gras/kruiden,,Stadsdeel 6,,1785.361,985.512,2 x per jaar | Op Talud | Machinaal,,,Elden en De Laar,1785.3608365,985.511815386188
621,06.22.G.2824,Gras/kruiden,,Stadsdeel 6,,102.957,100.696,2 x per jaar | Machinaal,,,Elden en De Laar,102.957007,100.695777429092
622,05.19.G.3845,Gras/kruiden,,Afdeling Bossen & Parken,Park Immerloo,131.231,265.43,2 x per jaar | Machinaal,,,VKR,131.231073,265.430455909746
623,03.10.G.0654,Vlak onderhoud derden,,Derden,,5.037,9.649,,,,Noord-Oost,5.035580935,9.64608075764835
624,05.18.G.1317,Gras/kruiden,,Stadsdeel 5,,967.932,604.833,2 x per jaar | Machinaal,,,Malburgen,968.28785355,604.802311590627
625,05.19.G.2330,Gazon,,Afdeling Bossen & Parken,Park Immerloo,38.722,79.576,18 x per jaar | Machinaal,,,VKR,38.7221675,79.5761367079394
626,02.12.G.3918,Gras/kruiden,,Afdeling Bossen & Parken,Park Zijpendaal,685.002,463.289,2 x per jaar | Machinaal,,,Noord-West,686.39801135,463.278471574726
627,06.21.G.3059,Gras/kruiden,,Stadsdeel 6,,156.657,142.759,3 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",156.6572925,142.758540137558
628,06.22.G.1971,Blokhaag,Lonicera nitida 'Maigrun',Stadsdeel 6,,21.333,19.006,,,,Elden en De Laar,21.332877555,19.0045388251909
629,05.23.G.2252,Gras/kruiden,,Stadsdeel 5,,113.173,135.946,2 x per jaar | Machinaal,,,VKR,113.140775225,135.941337984727
630,06.21.G.2718,Struweel,,Stadsdeel 6,,86.722,61.408,,,,"Schuytgraaf, Elderveld",86.7223285,61.4082307449477
631,06.21.G.2339,Struweel,,Stadsdeel 6,,2847.074,1267.299,,,,"Schuytgraaf, Elderveld",2847.0738135,1267.29933764044
632,03.09.G.2655,Haag,Taxus sp.,Afdeling Bossen & Parken,Begraafpark Moscowa,1.639,4.54,,,,Noord-Oost,1.638874,4.53975042617324
633,04.03.G.0906,Gazon,,Stadsdeel 4,,83.41,62.719,16 x per jaar | Machinaal,,,CSA,83.35611463,62.687307340107
634,04.04.G.1259,Blokhaag,,Stadsdeel 4,,9.422,13.058,,,,Presikhaaf,9.4221375,13.058421371907
635,06.22.G.4107,Struweel,,Stadsdeel 6,,230.175,160.874,,,,Elden en De Laar,230.175004,160.874090417043
636,04.04.G.0791,Gazon,,Stadsdeel 4,,187.024,373.954,16 x per jaar | Machinaal,,,Presikhaaf,187.0236225,373.954072036698
637,02.13.G.0107,Gras/kruiden,,Stadsdeel 2,,252.571,320.595,2 x per jaar | Machinaal,,,Noord-West,252.47264693,320.581659599223
638,06.24.G.2711,Gazon,,Stadsdeel 6,,70.375,56.141,16 x per jaar | Machinaal,,,"Schuytgraaf, Elderveld",70.3749895,56.1407746501223
639,06.22.G.3582,Gazon,,Stadsdeel 6,,25.366,20.413,16 x per jaar | Machinaal,,,Elden en De Laar,25.36603,20.4129364001772
640,05.18.G.1793,Gras/kruiden,,Stadsdeel 5,,576.713,438.919,2 x per jaar | Op Talud | Machinaal,,,Malburgen,576.56732309,438.878860575793
641,02.12.G.2890,Gazon,,Stadsdeel 2,,47.024,35.719,16 x per jaar | Machinaal,,,Noord-West,47.02077175,35.7173369217202
642,06.22.G.0532,Gazon,,Stadsdeel 6,,1027.888,289.204,16 x per jaar | Machinaal,,,Elden en De Laar,1027.8876625,289.203935798616
643,05.23.G.0658,Gras/kruiden,,Stadsdeel 5,,131.002,73.986,2 x per jaar | Machinaal,,,VKR,130.963781765,73.9721941075819
644,06.20.G.1487,Heesters laag,Weigela 'Bokrabob',Stadsdeel 6,,44.334,28.456,,Onkruid beheersen,,Elden en De Laar,44.333563,28.4561633546663
645,06.21.G.1953,Haag,Fagus sp.,Stadsdeel 6,,7.545,31.176,,,,"Schuytgraaf, Elderveld",7.5450165,31.1759605717206
646,05.23.G.3027,Gras/kruiden,,Stadsdeel 5,,149.28,173.33,2 x per jaar | Op Talud | Machinaal,,,VKR,149.04320887,173.305194127282
647,04.03.G.34399,Heesters hoog,Prunus sp.,Stadsdeel 4,,4.524,7.547,,Geen onkruid beheersen,,CSA,4.5235665,7.54732350760606
