FUNCTIEKLA,DEELGEB,ZONES_BG,ONTG_BG,TOEP_BG,ZONES_OG,ONTG_OG,TOEP_OG,OBJECTID,Shape__Area,Shape__Length,GlobalID
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,145,2040.81914520264,180.581447430917,f62e73b5-eb89-4ed3-9274-9e37bc2a8d1c
Water,Water,Water,Water,Water,Water,Water,Water,146,214732.644294739,5876.10685576518,0e0b39a9-1336-4a1a-adbc-559cb22192fe
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,147,22397.2355880737,708.235308925709,35f0c915-8094-4c61-bac0-36b2028a5fb7
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,148,4898.31608581543,337.143614871852,3ef934be-4ddf-47a1-8c4f-60462f5ee636
Water,Water,Water,Water,Water,Water,Water,Water,149,2440245.9513092,11433.5061439479,3ec4eccb-893e-4454-bf44-5c18b2081408
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,150,6067.62719726563,430.305150388686,d95df082-1431-499a-8edd-0363c9c30c99
Water,Water,Water,Water,Water,Water,Water,Water,151,4407.21923065186,588.62594571337,89196d99-309d-4954-b6ae-237c580d2cd4
Water,Water,Water,Water,Water,Water,Water,Water,152,5983.45520019531,2430.43424669676,be0f44af-716b-42ad-8283-cc956cc03e95
Water,Water,Water,Water,Water,Water,Water,Water,153,1526651.59884644,22861.6080192914,6e55cf22-e691-41f2-a8a6-7f48fe0b7439
Water,Water,Water,Water,Water,Water,Water,Water,154,42.8318710327148,183.894988749871,427341fc-19f1-4a64-93a9-aad0070f1b99
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,155,25520.5772399902,777.042370343452,0811fb3e-b069-4bdc-986e-31eb0079d11a
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,156,263082.258148193,2511.79004516508,6f84fdd1-be84-4fa5-9bc4-c17ba026ffe7
Water,Water,Water,Water,Water,Water,Water,Water,157,2166.95533752441,573.689196632808,c2e1fe3e-c30e-45ce-97f7-7872a54f8805
Water,Water,Water,Water,Water,Water,Water,Water,158,156911.630958557,5287.89793506574,c7427bac-36b9-4291-a3a0-131cdbcbfe4f
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,159,1118.39012908936,157.008722342515,3928a0cc-7be5-4bca-b58b-4c7ef0a7d944
Water,Water,Water,Water,Water,Water,Water,Water,160,155.852020263672,185.909470497245,42e45160-49dd-4ee6-9b7b-63cb38f4f22c
Overig,Buitengebied,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,161,40296.2221298218,4542.86147154019,c4f5de1f-6a03-4ebd-a50a-d1f1b02491f1
Wonen,Wonen na 1945,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,Samengevoegde zone,Landbouw/natuur,Landbouw/natuur,162,526477.316879272,3034.83242382615,69dbded1-2666-424e-b850-92264ec51c76
Water,Water,Water,Water,Water,Water,Water,Water,163,173270.091049194,4824.67251309707,98658f8a-ff23-429b-b759-ca75dd4c8efc
Industrie,Industrie,Industrie,Landbouw/natuur,Landbouw/natuur,Industrie,Landbouw/natuur,Landbouw/natuur,164,55.0269241333008,187.87710204633,6566cd13-a5fc-468f-9625-a75e6bd0fd9c
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,165,55.0269241333008,187.87710204633,81d4b9a3-304f-4de3-8fec-5cf5479a8498
Water,Water,Water,Water,Water,Water,Water,Water,166,13.0340881347656,252.594952252594,ee494cf8-9ac5-498c-98cf-50d26b0a013b
Water,Water,Water,Water,Water,Water,Water,Water,167,13.0340881347656,252.594952252594,9137d3f8-3f8d-45cf-8fc4-b40a3e22f1a4
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,168,5.03536987304688,36.0998063095745,9685602c-4315-41f6-a720-bc0e1181cfcb
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Wonen 1900 - 1945,Landbouw/natuur,Landbouw/natuur,169,5.03536987304688,36.0998063095745,e00be37e-c8ca-4127-ac04-7f6aca8089c7
Water,Water,Water,Water,Water,Water,Water,Water,170,910.351119995117,132.363095037849,0314cea5-4b70-4d02-b497-20e29ea3a346
Water,Water,Water,Water,Water,Water,Water,Water,171,910.351119995117,132.363095037849,01b7ce52-367a-461e-8ce9-1ee56fa7392b
Wonen,Wonen voor 1900,Wonen voor 1900,Wonen,Wonen,Wonen voor 1900,Landbouw/natuur,Landbouw/natuur,172,1.07801055908203,25.8700766288785,dd52d3e3-e8bc-4474-a938-1473c777d581
Wonen,Wonen 1900 - 1945,Wonen 1900 - 1945,Wonen,Wonen,Wonen 1900 - 1945,Landbouw/natuur,Landbouw/natuur,173,1.07801055908203,25.8700766288785,2628aedb-25e7-4f7a-9ea6-4cc284fc257a
