OBJECTID;NAME;ITEM_NUMBER;TYPE_LICHTMAST;YEAR_OF_CONSTRUCTION;EIGENAAR;HOOGTE_LICHTPUNT;STATUS_LICHTMAST;DATE_MODIFIED;BEHEERDER_OMS;STRAATNAAM_LICHTMASTNR;X;Y;LONG;LAT
7843;0023;0023;Lichtmast;2023-02-02;Gemeente Den Haag;55;In bedrijf;2012-06-20;Gemeente Den Haag;Amelandsestraat 0023;77664.1950999983;456588.886100002;4.2586893094300775;52.09214740432244
25533;0001;0001;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0001;78915.7270999998;452996.087099999;4.277749901081557;52.060033522587766
29110;0002;0002;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0002;78896.2331000008;452979.384100001;4.277469414482804;52.059880740497356
18665;0003;0003;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0003;78879.2870999985;452964.8101;4.277225603049815;52.059747440483804
33118;0004;0004;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0004;78862.9580999985;452950.842099998;4.27699065330983;52.059619670690545
20338;0005;0005;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0005;78841.3861000016;452932.351100002;4.2766802752389586;52.05945053296047
24301;0006;0006;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0006;78824.2681000009;452917.642099999;4.276433991016878;52.05931599446685
9394;0007;0007;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0007;78803.7950999998;452900.057100002;4.276139437345477;52.059155148355096
28763;0501;0501;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2017-03-09;Gemeente Den Haag;Amerongenstraat 0501;78916.4580000006;453013.339000002;4.2777567137745995;52.06018866058899
44380;0502;0502;Lichtmast;;Gemeente Den Haag;40;Onbekend;2012-06-20;Gemeente Den Haag;Amerongenstraat 0502;78899.1431000009;452998.334100001;4.277507617525441;52.060051438132504
31053;0503;0503;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0503;78881.5991000012;452983.241099998;4.277255202334993;52.059913391948534
8407;0504;0504;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2017-03-09;Gemeente Den Haag;Amerongenstraat 0504;78864.5;452968.646000002;4.277009163994373;52.05977988083658
22265;0505;0505;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2017-03-09;Gemeente Den Haag;Amerongenstraat 0505;78846.7250000015;452953.557;4.276753383198411;52.05964183778474
30682;0506;0506;Lichtmast;2023-02-02;Gemeente Den Haag;40;In bedrijf;2012-06-20;Gemeente Den Haag;Amerongenstraat 0506;78831.3200999983;452939.995099999;4.2765318173555364;52.05951784358778
43596;0507;0507;Lichtmast;;Gemeente Den Haag;40;Onbekend;2012-06-20;Gemeente Den Haag;Amerongenstraat 0507;78814.4351000004;452925.5211;4.276288877715608;52.059385448696716
58301;0508;0508;Lichtmast;;Gemeente Den Haag;40;Onbekend;2012-06-20;Gemeente Den Haag;Amerongenstraat 0508;78796.9371000007;452910.5341;4.276037117030106;52.05924835882439
25530;0001;0001;Lichtmast;;Gemeente Den Haag;50;In bedrijf;2016-07-27;Gemeente Den Haag;Amersfoortsestraat 0001;80091.064100001;458802.813099999;4.293610202159042;52.11237698984456
29108;0002;0002;Lichtmast;;Gemeente Den Haag;50;In bedrijf;2016-07-27;Gemeente Den Haag;Amersfoortsestraat 0002;80104.1730999984;458793.844099999;4.29380351887222;52.11229816332084
