;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9530 - DEF specifiek;Eindtotaal
anoniem_DEF_1197;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1198;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_1201;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1202;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1203;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1204;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1205;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1206;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1207;;;;;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;3
anoniem_DEF_1208;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1209;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
anoniem_DEF_1211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1212;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1213;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1215;;;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;1;;;1;2
anoniem_DEF_1216;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1217;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1218;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1219;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_122;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1220;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1221;;;;;;;;;;;;;;;;;;2;;;;;;;;;3;;;;;;;;;;;;;;3
anoniem_DEF_1222;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;5
anoniem_DEF_1223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1224;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1225;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_1227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_1228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1
anoniem_DEF_1229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1230;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1231;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1232;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_1233;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
anoniem_DEF_1234;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1235;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1236;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1237;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1238;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_124;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1241;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_1243;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1244;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1246;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1247;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1248;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1249;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_125;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1250;;;;;;5;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
anoniem_DEF_1251;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1252;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1253;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1254;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1255;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1256;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1257;;;;;;1;1;;;2;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;2
anoniem_DEF_1258;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1259;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_126;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1260;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1261;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1262;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1263;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1264;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1265;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_1267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1268;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1269;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_127;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1270;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;2
anoniem_DEF_1271;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1272;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1273;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1275;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1276;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1277;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1278;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1279;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_128;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1280;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1281;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1282;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1283;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1284;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1285;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1286;;;;2;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1287;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1288;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2
anoniem_DEF_1289;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_129;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1290;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1291;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1292;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1293;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1294;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1295;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1296;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1297;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1298;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1299;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_13;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_130;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1301;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1302;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1303;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1304;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1305;;;;;;1;1;;;4;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;4
anoniem_DEF_1306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1307;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1308;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1309;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_131;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3
anoniem_DEF_1310;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1311;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1312;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1313;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1314;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1315;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1316;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1317;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1318;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1319;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_132;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1320;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1321;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1322;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1323;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1325;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1326;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1328;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1329;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_133;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1330;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1331;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1332;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1333;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1334;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1336;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1337;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1339;1;;1;1;4;1;;;;1;;;;;;;;4;;;;;;;;;;;;;;;;;;;2;;;;5
anoniem_DEF_134;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_1341;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1342;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1343;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1344;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_1345;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_1349;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_135;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1350;;;;;;;1;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_1351;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1352;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_1353;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1354;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1355;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1356;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1357;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1358;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
anoniem_DEF_1359;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_136;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1360;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_1361;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_137;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_138;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_139;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_140;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
anoniem_DEF_142;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
anoniem_DEF_144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
anoniem_DEF_146;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
anoniem_DEF_147;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_148;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1
anoniem_DEF_15;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
anoniem_DEF_150;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_151;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_152;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_153;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2
anoniem_DEF_154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
anoniem_DEF_155;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_156;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_157;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_16;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2
anoniem_DEF_160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_161;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_163;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_165;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_166;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
anoniem_DEF_168;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_169;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
anoniem_DEF_17;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_170;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_171;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_172;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
anoniem_DEF_174;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_175;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_176;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_177;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3
anoniem_DEF_179;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_18;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_180;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_181;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
anoniem_DEF_183;;;;1;;1;2;;;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;2
anoniem_DEF_184;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
anoniem_DEF_186;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_187;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
anoniem_DEF_188;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
