Ministerie;Leverancier ;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
BZK;Haagse Beek organisatieadvies B.V.;;;1;;;;;1
BZK;Halito!;;1;;;;;;1
BZK;Hartelijk Gefaciliteerd;;;1;;;;;1
BZK;HaskoningDHV Nederland B.V.;;;5;;;;;5
BZK;hdb-tekst;;1;;;;;;1
BZK;headON B.V.;;;3;;;;;3
BZK;Heemheer Advies;;;3;;;;;3
BZK;Helder en Duidelijk;;;3;;;;;3
BZK;Hervormd Verenigings Gebouw;;;1;;;;;1
BZK;Het Energiehuis - Het Inspectiehuis B.V.;2;;;;;;;2
BZK;Hevo B.V.;;;2;;;;;2
BZK;Hiemstra & De Vries B.V.;;;2;;;;;2
BZK;Hoffmann Bedrijfsrecherche B.V.;;;1;;;;;1
BZK;Hooghiemstra & Partners B.V.;;;3;;;;;3
BZK;Hospitality Design B.V.;;;2;;;;;2
BZK;House of Hi B.V.;;;1;;;;;1
BZK;House of Lords B.V.;;1;;;;;;1
BZK;Huijben overhead management;;2;;;;;;2
BZK;Huiswerk;;;2;;;;;2
BZK;Huurhoeftnietduur.nl;;1;;;;;;1
BZK;IDBB Vastgoed B.V.;;;2;;;;;2
BZK;Ideeaanzee B.V.;;;1;;;;;1
BZK;IDO Research;;;4;;;;;4
BZK;Imago B.V.;;;1;;;;;1
BZK;In Position;;;3;;;;;3
BZK;Inbo;;1;;;;;;1
BZK;Ineke Ruiter Management B.V.;1;;;;;;;1
BZK;Informaat BV(Experience design);;;2;;;;;2
BZK;Inhoudelijke Zaken B.V.;;;2;;;;;2
BZK;Inkesta B.V.;;1;;;;;;1
BZK;Innovention Change Management B.V.;;1;;;;;;1
BZK;Inscene Company B.V.;;1;;;;;;1
BZK;Inside Polarisation;;;2;;;;;2
BZK;InsideStory;;;1;;;;;1
BZK;In-Staet B.V.;;;2;;;;;2
BZK;Instituut voor Wijsbegeerte B.V.;;3;;;;;;3
BZK;Intelligence Group B.V.;;;2;;;;;2
BZK;Intermedius B.V.;;;3;;;;;3
BZK;Interstate Planning;;;2;;;;;2
BZK;Involve B.V.;;;2;;;;;2
BZK;Ir. Mechtild Linssen, adv. in de v.h.v. B.V.;;;1;;;;;1
BZK;Johan B.V.;;2;;;;;;2
BZK;Jonge Honden 2 C.V.;;;4;;;;;4
BZK;Jongens van de Photobooth;;1;;;;;;1
BZK;Juriplan Advies;;2;;;;;;2
BZK;JWO Consulting;;1;;;;;;1
BZK;Kairos Green Development Group B.V.;;;1;;;;;1
BZK;Kantar Netherlands B.V.;;;4;;;;;4
BZK;KAW architecten en adviseurs 1;;;3;;;;;3
BZK;Keek Training & Advies;;;2;;;;;2
BZK;Kirin Konsult;;;2;;;;;2
BZK;Kirkman Company B.V.;;;2;;;;;2
BZK;Klaartje Peters Research;;;2;;;;;2
BZK;Klaassen PBOV B.V.;2;;;;;;;2
BZK;Klein Groenesteijn Advies;;1;;;;;;1
BZK;Kneppelhout & Korthals N.V.;;;1;;;;;1
BZK;Knowmax B.V.;;;1;;;;;1
BZK;KokxDeVoogd B.V.;;;3;;;;;3
BZK;Kompanen B.V.;;;3;;;;;3
BZK;Koninklijke Maatschappij tot Bevordering;;;2;;;;;2
BZK;KPMG Advisory N.V.;;4;;;;;;4
BZK;KPN B.V.;;;3;;;;;3
BZK;Kristiaan Asscheman mediaproducties;;2;;;;;;2
BZK;Kroesulting;;;1;;;;;1
BZK;Kwink Groep B.V.;;;4;;;;;4
BZK;KWR Water B.V.;;;2;;;;;2
BZK;L. Klaassen;;;2;;;;;2
BZK;La Jupe Sauvage;;;2;;;;;2
BZK;Laarhoven design International B.V.;;1;;;;;;1
BZK;LANDSADVOCAAT DE;;1;;;;;;1
BZK;Laos Landschapsarchitecten B.V.;;;2;;;;;2
BZK;Lasaulec Emmen;;2;;;;;;2
BZK;LBP Sight B.V.;;;2;;;;;2
BZK;Leene Communicatie;;;1;;;;;1
BZK;Leertouwer Van Dijck & U B.V.;;1;;;;;;1
BZK;Leeuwendaal Twee B.V.;;;2;;;;;2
BZK;Levenswerken;;1;;;;;;1
BZK;Lex Wobma Organisatie Advies B.V.;;;1;;;;;1
BZK;Ligthart Advies B.V.;;;2;;;;;2
BZK;Liquet B.V.;;;2;;;;;2
BZK;LiveWall;;1;;;;;;1
BZK;Lloyd's Register Nederland B.V.;;1;;;;;;1
BZK;Locus;;;2;;;;;2
BZK;Louwenaar Communicatie Management B.V.;;2;;;;;;2
BZK;Lucom Benelux B.V.;;;1;;;;;1
BZK;Lysias Advies B.V.;;;3;;;;;3
BZK;M. Fernhout B.V.;;;4;;;;;4
BZK;M3H Architecten B.V.;;;2;;;;;2
BZK;maartenrienks coaching en organisatieontwikk.;;;2;;;;;2
BZK;Marialena Kasimidi Studio;;1;;;;;;1
BZK;Mavin;;;2;;;;;2
BZK;Max.co;;;2;;;;;2
BZK;Maykin Media;;;1;;;;;1
BZK;MD&D concepts;;;2;;;;;2
BZK;Metabolic B.V.;;;2;;;;;2
BZK;Metafoor;;;2;;;;;2
BZK;Metri B.V.;;;1;;;;;1
BZK;Mett;;;1;;;;;1
BZK;Meurs HRM;;;;2;;;;2
BZK;Michelle van der Hut;;;1;;;;;1
BZK;Mieke van Maanen;;1;;;;;;1
BZK;Milvum B.V.;;;1;;;;;1
BZK;MIXST urbanisme;;;4;;;;;4
BZK;Moira B.V.;;;1;;;;;1
BZK;Monique Leyenaar;;;1;;;;;1
BZK;Montae & Partners B.V.;;;1;;;;;1
BZK;Motivaction International B.V.;;;2;;;;;2
BZK;Movares Group B.V.;;;2;;;;;2
BZK;Moxio B.V.;;;1;;;;;1
BZK;MRKS Productions;;1;;;;;;1
BZK;M-SUS;;;4;;;;;4
