FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,objectcode,kerendehoogte,capaciteit,profielurl,opmerkingen,gdb_geomattr_data,shape
gemaal_legger.28,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,-,poldergemaal de Kroon (LC11),WNZ,Noordwaard,44B-118-01,ADFFB669-ED74-4499-A13F-71B21B694E73,-99,-99,,,,"POLYGON ((114049.94469999894 420623.5445000008, 114051.52519999817 420623.1693999991, 114052.1149000004 420625.9930000007, 114052.12829999998 420626.05700000003, 114053.54830000177 420625.76960000023, 114054.49969999865 420625.5771000013, 114054.49650000036 420625.559799999, 114054.46169999987 420625.37249999866, 114054.34699999914 420624.75560000166, 114053.97459999844 420622.751699999, 114053.8647999987 420622.7721000016, 114053.77800000086 420622.78819999844, 114054.26709999889 420625.42009999976, 114053.01199999824 420625.6741000004, 114052.28339999914 420625.8216000013, 114051.68219999969 420622.9428999983, 114051.14660000056 420620.37849999964, 114052.06899999827 420620.14770000055, 114051.03009999916 420615.9946000017, 114046.87099999934 420617.03500000015, 114047.90989999846 420621.188099999, 114049.05079999939 420620.9026999995, 114049.13369999826 420620.8819999993, 114049.71040000021 420623.4162000008, 114050.35770000145 420626.2606999986, 114048.12370000035 420626.74010000005, 114048.16569999978 420626.93560000136, 114050.20760000125 420626.4974000007, 114050.59769999981 420626.41369999945, 114050.5934999995 420626.3953000009, 114049.94469999894 420623.5445000008))"
gemaal_legger.29,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N17a,WNZ,Noordwaard,44B-131-01,6EAFEB52-4132-4D36-9710-735534A7F7DC,-99,-99,,,,"POLYGON ((117258.23649999872 421554.75769999996, 117259.99109999835 421554.22289999947, 117259.50490000099 421552.7316999994, 117258.85000000149 421553.2221999988, 117258.11600000039 421553.43780000135, 117257.88949999958 421553.44849999994, 117257.32459999993 421553.47509999946, 117257.56940000132 421554.2170000002, 117257.79250000045 421554.8931000009, 117258.23649999872 421554.75769999996))"
gemaal_legger.30,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N17a,WNZ,Noordwaard,44B-131-01,A63FA8A0-7533-4AD9-9802-FB281E8FF5DA,-99,-99,,,,"POLYGON ((117260.3713000007 421561.3392000012, 117262.04960000142 421560.82759999856, 117261.56340000033 421559.3365000002, 117260.90850000083 421559.8269999996, 117260.17460000142 421560.0425999984, 117259.9710999988 421560.05220000073, 117259.38309999928 421560.07990000024, 117259.60979999974 421560.76680000126, 117259.85099999979 421561.4979000017, 117260.3713000007 421561.3392000012))"
gemaal_legger.31,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Doorspoel gemaal Diepgat (DS22),WNZ,Noordwaard,44B-121-01,4A41507A-14A8-4B19-9932-81DF584F63B1,-99,-99,,,,"POLYGON ((114137.5987999998 422504.80700000003, 114137.63489999995 422504.87099999934, 114139.09760000184 422507.46350000054, 114143.43519999832 422505.01619999856, 114147.80680000037 422502.5496999994, 114142.89279999956 422493.84050000086, 114142.45050000027 422494.08999999985, 114138.5346999988 422496.2991000004, 114134.183699999 422498.753800001, 114137.5987999998 422504.80700000003))"
gemaal_legger.32,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N16a,WNZ,Noordwaard,44B-128-01,01B03F61-2FD0-46DD-AACC-D6CEC5E455CC,-99,-99,,,,"POLYGON ((116718.07930000126 421105.29250000045, 116718.36930000037 421104.5142999999, 116718.71770000085 421103.92909999937, 116718.55680000037 421103.82189999893, 116717.47590000182 421103.504900001, 116717.27490000054 421103.5273000002, 116717.34200000018 421104.4116999991, 116717.18430000171 421105.1158999987, 116716.68809999898 421105.7969999984, 116716.85130000114 421105.9338000007, 116717.42119999975 421106.0731000006, 116717.99109999835 421106.21240000054, 116718.18299999833 421106.19370000064, 116718.07930000126 421105.29250000045))"
gemaal_legger.33,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N15a,WNZ,Noordwaard,44B-126-01,E8755382-622A-410C-93F1-E72DDF0EE402,-99,-99,,,,"POLYGON ((116339.13450000063 420934.9985000007, 116339.4860999994 420934.9534999989, 116339.89350000024 420934.90139999986, 116339.8825000003 420934.6966000013, 116339.21070000157 420933.66010000184, 116339.04199999943 420933.5240999982, 116338.79969999939 420933.90309999883, 116338.61769999936 420934.18780000135, 116337.94860000163 420934.69370000064, 116337.05649999902 420934.8269999996, 116337.08159999922 420934.9824000001, 116337.41340000182 420935.5331000015, 116337.7452000007 420936.0837999992, 116337.87629999965 420936.1755999997, 116337.95080000162 420936.0762999989, 116338.45179999992 420935.4092999995, 116339.13450000063 420934.9985000007))"
gemaal_legger.34,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N15a,WNZ,Noordwaard,44B-126-01,FA0954FB-F1A1-4825-BB29-95AFE3EF4B22,-99,-99,,,,"POLYGON ((116335.7686999999 420929.9092000015, 116336.15729999915 420929.8594999984, 116336.52769999951 420929.8121000007, 116336.51669999957 420929.6072999984, 116335.84490000084 420928.57079999894, 116335.6763000004 420928.434799999, 116335.45369999856 420928.78280000016, 116335.25189999864 420929.0984000005, 116334.5828000009 420929.60440000147, 116333.69069999829 420929.7375999987, 116333.71579999849 420929.8931000009, 116334.0476000011 420930.4437999986, 116334.37939999998 420930.99450000003, 116334.51049999893 420931.08630000055, 116335.0859999992 420930.3198999986, 116335.7686999999 420929.9092000015))"
gemaal_legger.35,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N18b,WNZ,Noordwaard,44B-134-01,56BD6228-AC71-462C-B816-E96F57FD71A9,-99,-99,,,,"POLYGON ((117604.7098999992 421843.11719999835, 117605.17280000076 421841.6066999994, 117603.62409999967 421841.1999000013, 117603.67460000142 421841.91690000147, 117603.52840000018 421842.65459999815, 117603.02549999952 421843.3137000017, 117603.82440000027 421843.60350000113, 117604.48719999939 421843.8438999988, 117604.7098999992 421843.11719999835))"
gemaal_legger.36,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N18c,WNZ,Noordwaard,44B-135-01,FBC9BEC9-C1EB-4DD1-B33D-8BE59AAB4205,-99,-99,,,,"POLYGON ((117654.89020000026 421862.4481999986, 117655.43059999868 421860.73959999904, 117653.86899999902 421860.2793999985, 117653.88969999924 421861.1196999997, 117653.70859999955 421861.84910000116, 117653.46719999984 421862.1339999996, 117653.22199999914 421862.42339999974, 117653.91099999845 421862.6565000005, 117654.73600000143 421862.93560000136, 117654.89020000026 421862.4481999986))"
gemaal_legger.37,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N16a,WNZ,Noordwaard,44B-128-01,A5F49FB0-BE17-4CF3-AD40-A5FFF52FCB3C,-99,-99,,,,"POLYGON ((116723.99159999937 421106.7456, 116724.10680000111 421106.03500000015, 116724.59809999913 421105.36939999834, 116724.47989999875 421105.254900001, 116723.3051000014 421105.04520000145, 116723.08619999886 421105.08989999816, 116723.17570000142 421105.8403000012, 116723.06929999962 421106.493999999, 116722.57440000027 421107.27270000055, 116722.79030000046 421107.4140999988, 116723.39809999987 421107.5364000015, 116723.81269999966 421107.6198000014, 116724.01249999925 421107.6110999994, 116723.99159999937 421106.7456))"
gemaal_legger.38,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N15b,WNZ,Noordwaard,44B-127-01,7A279777-9F94-4818-A202-CF3B6C1D41AF,-99,-99,,,,"POLYGON ((116095.872299999 420517.67440000176, 116095.78460000083 420516.0375000015, 116094.31030000001 420516.1339999996, 116094.51689999923 420516.76790000126, 116094.5447999984 420517.37370000035, 116094.52820000052 420517.4732999988, 116094.39039999992 420518.30260000005, 116094.97289999947 420518.2848000005, 116095.48369999975 420518.2692000009, 116095.90349999815 420518.2564000003, 116095.872299999 420517.67440000176))"
gemaal_legger.39,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,-,Natuurpoldergemaal N14c,WNZ,Noordwaard,44B-125-01,55FB3523-9BF9-42AD-AF4D-45FB585CE748,-99,-99,,,,"POLYGON ((116107.68950000033 420720.8434999995, 116107.62319999933 420720.66310000047, 116107.25800000131 420720.3344999999, 116106.71939999983 420719.8498999998, 116106.54410000145 420719.85449999943, 116104.98189999908 420721.68730000034, 116106.2285999991 420722.6400000006, 116106.49799999967 420722.01570000127, 116107.0251000002 420721.37409999967, 116107.68950000033 420720.8434999995))"
gemaal_legger.40,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N18a,WNZ,Noordwaard,44B-133-01,6DEABC2D-BEB7-4D9E-AEB3-E3288EFD80F0,-99,-99,,,,"POLYGON ((117527.78570000082 421685.4125000015, 117528.27769999951 421683.5346000008, 117526.65419999883 421683.18090000004, 117526.76850000024 421684.0573000014, 117526.64669999853 421684.80099999905, 117526.41580000147 421685.12249999866, 117526.18769999966 421685.4400999993, 117527.07970000058 421685.66230000183, 117527.68100000173 421685.8121000007, 117527.78570000082 421685.4125000015))"
gemaal_legger.41,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N18a,WNZ,Noordwaard,44B-133-01,777812A7-F684-4567-9F61-5E567ADAC20B,-99,-99,,,,"POLYGON ((117538.47879999876 421687.8222000003, 117538.89820000157 421686.31819999963, 117537.32669999823 421685.9162000008, 117537.40689999983 421686.6908, 117537.2351000011 421687.4974000007, 117536.76399999857 421688.1528000012, 117537.47049999982 421688.3304999992, 117538.28029999882 421688.5342000015, 117538.47879999876 421687.8222000003))"
gemaal_legger.42,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N14a,WNZ,Noordwaard,44B-123-01,CC14EB5F-6D4A-4801-93AC-4D2E0FA46274,-99,-99,,,,"POLYGON ((117504.15320000052 421839.6939000003, 117502.48270000145 421838.44889999926, 117501.54879999906 421839.6843999997, 117502.31219999865 421840.0144000016, 117502.93600000069 421840.47190000117, 117503.31410000101 421841.00659999996, 117503.35669999942 421841.0669, 117503.85179999843 421840.44220000133, 117504.33650000021 421839.8304999992, 117504.15320000052 421839.6939000003))"
gemaal_legger.43,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N14a,WNZ,Noordwaard,44B-123-01,53F9AAE2-5BDD-447D-A398-90D6F75F8AFC,-99,-99,,,,"POLYGON ((117500.78649999946 421844.57649999857, 117498.96570000052 421843.2362000011, 117498.06659999862 421844.4648000002, 117498.8590000011 421844.76520000026, 117499.56599999964 421845.3275000006, 117499.85979999974 421845.72780000046, 117499.96049999818 421845.86499999836, 117500.40980000049 421845.22670000046, 117500.83989999816 421844.6158000007, 117500.78649999946 421844.57649999857))"
gemaal_legger.44,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Betonplaten,Natuurpoldergemaal N14b,WNZ,Noordwaard,44B-124-01,DA23F825-AD90-421F-B81F-ADD102FE3F38,-99,-99,,,,"POLYGON ((116910.2573999986 421261.8718999997, 116909.94810000062 421261.7624000013, 116909.78579999879 421262.3995000012, 116909.26929999888 421264.24760000035, 116910.53460000083 421264.6022000015, 116910.7052000016 421263.7373000011, 116910.86560000107 421263.3093000017, 116911.09310000017 421262.8979000002, 116911.28440000117 421262.2353999987, 116911.06749999896 421262.1585999988, 116910.2573999986 421261.8718999997))"
gemaal_legger.45,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N14b,WNZ,Noordwaard,44B-124-01,5BC16D08-0C9A-4CD4-B35D-CB3988CE78CC,-99,-99,,,,"POLYGON ((116905.35310000181 421266.1440999992, 116905.82310000062 421264.6217, 116905.4162000008 421264.6656000018, 116904.89939999953 421264.65100000054, 116904.38179999962 421264.55700000003, 116903.94990000129 421264.3156999983, 116903.56879999861 421263.96240000054, 116903.15680000186 421265.44689999893, 116903.50869999826 421265.5271999985, 116905.35310000181 421266.1440999992))"
gemaal_legger.46,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,-,Spuimiddel sluis Empel,ZN,Maximakanaal,45B-352-02,B3A47447-647E-4CF3-8F3E-E6A06094C882,-99,-99,,,,"POLYGON ((151238.56069999933 416812.08900000155, 151240.19509999827 416808.2426000014, 151228.25840000063 416802.9191999994, 151225.62849999964 416808.9679999985, 151229.9695999995 416810.8894999996, 151230.95389999822 416808.79089999944, 151238.56069999933 416812.08900000155))"
gemaal_legger.47,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Overig,Sluis Panheel,ZN,Maas,58C-001-06,F79449E7-EEAD-4E76-819B-1906C186F276,-99,-99,,,,"POLYGON ((188304.21130000055 354047.69000000134, 188304.75 354034.6970000006, 188301.98800000176 354034.58399999887, 188295.48600000143 354034.31700000167, 188295.4459999986 354034.31500000134, 188294.68400000036 354034.28400000185, 188294.27699999884 354048.8539999984, 188296.00200000033 354048.91699999943, 188301.33549999818 354049.1114999987, 188304.1490000002 354049.21499999985, 188304.21130000055 354047.69000000134))"
gemaal_legger.48,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N16b,WNZ,Noordwaard,44B-129-01,2FF88E9F-B482-4ADE-808E-555EB3985387,-99,-99,,,,"POLYGON ((117144.64979999885 420715.1057999991, 117145.5614 420714.6347000003, 117145.51680000126 420714.5584000014, 117144.83940000087 420713.39919999987, 117144.79239999875 420713.31870000064, 117143.97089999914 420713.80999999866, 117142.96519999951 420714.3792000003, 117143.6689000018 420715.75499999896, 117144.64979999885 420715.1057999991))"
gemaal_legger.49,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,-,Poldergemaal de zalm-West (12),WNZ,Noordwaard,44B-119-01,CB187E7F-07BF-4EEB-94D9-E3DDB1113DEA,-99,-99,,,,"POLYGON ((114205.16539999843 419876.1363000013, 114203.34189999849 419876.6143999994, 114202.03000000119 419876.9583999999, 114203.0998999998 419881.03869999945, 114204.15819999948 419880.7613000013, 114204.95809999853 419883.52760000154, 114205.70710000023 419886.1182000004, 114204.3022999987 419886.51900000125, 114203.51920000091 419886.7424999997, 114203.5716000013 419886.9151000008, 114205.96480000019 419886.21240000054, 114205.19839999825 419883.5621000007, 114205.17069999874 419883.46609999985, 114205.21939999983 419883.4519999996, 114205.23259999976 419883.50019999966, 114206.55550000072 419883.11769999936, 114206.54569999874 419883.068500001, 114206.5896999985 419883.05579999834, 114206.6174999997 419883.1517999992, 114207.38329999894 419885.80050000176, 114208.3770999983 419885.51309999824, 114208.42540000007 419885.67990000173, 114209.87070000172 419885.2917999998, 114209.08559999987 419882.11719999835, 114208.51209999993 419882.26520000026, 114209.10209999979 419884.76359999925, 114208.24680000171 419885.0014999993, 114208.33839999884 419885.3792000003, 114207.55409999937 419885.60599999875, 114206.79919999838 419882.9952000007, 114206.01260000095 419880.2749999985, 114207.19579999894 419879.9648000002, 114206.1259999983 419875.8845000006, 114205.16539999843 419876.1363000013))"
gemaal_legger.50,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N17b,WNZ,Noordwaard,44B-132-01,0F9023D4-91AE-4924-A2D1-725334AA06DD,-99,-99,,,,"POLYGON ((117297.64730000123 420907.29670000076, 117296.31720000133 420906.3493999988, 117295.13529999927 420907.79850000143, 117294.85200000182 420908.11459999904, 117296.10159999877 420909.11740000173, 117296.42489999905 420908.76309999824, 117297.59389999881 420907.35440000147, 117297.64730000123 420907.29670000076))"
gemaal_legger.51,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,1,Geen informatie,Natuurpoldergemaal N16c,WNZ,Noordwaard,44B-130-01,54236AE1-60C2-4E0E-8D5B-5EAB64AF4991,-99,-99,,,,"POLYGON ((117162.878800001 420743.22670000046, 117162.16930000111 420742.08260000125, 117162.12209999934 420742.04879999906, 117161.30389999971 420742.5623999983, 117160.25499999896 420743.185800001, 117161.02870000154 420744.4622000009, 117162.08449999988 420743.83509999886, 117162.88489999995 420743.29989999905, 117162.878800001 420743.22670000046))"
