WKT,id,buurtcode,straatnaam,type,soort,e_type,aantal
"POLYGON ((119936.74 489892.57,119937.21 489898.48,119939.74 489898.28,119939.27 489892.37,119936.74 489892.57))","119938489895",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119937.35 490262.55,119935.78 490267.15,119938.27 490267.99,119939.82 490263.38,119937.35 490262.55))","119938490265",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119937.21 489898.48,119937.7 489904.62,119940.22 489904.42,119939.74 489898.28,119937.21 489898.48))","119939489901",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119937.7 489904.62,119938.17 489910.56,119940.69 489910.36,119940.22 489904.42,119937.7 489904.62))","119939489907",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119938.92 490257.96,119937.35 490262.55,119939.82 490263.38,119941.37 490258.78,119938.92 490257.96))","119939490261",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119938.17 489910.56,119938.4 489913.48,119938.64 489916.49,119941.16 489916.31,119940.69 489910.36,119938.17 489910.56))","119940489913",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119938.64 489916.49,119939.13 489922.64,119941.65 489922.45,119941.16 489916.31,119938.64 489916.49))","119940489919",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119939.25 489946.6,119939.24 489946.65,119939.02 489950.06,119938.84 489952.49,119941.4 489952.76,119941.79 489946.73,119939.25 489946.6))","119940489950",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119938.84 489952.49,119938.24 489958.7,119940.69 489958.9,119941.4 489952.83,119941.4 489952.76,119938.84 489952.49))","119940489956",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119939.13 489922.64,119939.13 489922.66,119939.23 489923.63,119939.46 489928.07,119939.47 489928.32,119941.98 489928.14,119941.65 489922.5,119941.65 489922.45,119939.13 489922.64))","119941489925",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119939.47 489928.32,119939.51 489929.54,119939.55 489930.76,119939.57 489931.98,119939.59 489933.2,119939.6 489934.42,119942.13 489934.4,119942.01 489928.6,119941.98 489928.14,119939.47 489928.32))","119941489931",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119939.6 489934.42,119939.55 489939.85,119939.53 489940.54,119942.01 489940.66,119942.02 489940.61,119942.13 489934.7,119942.13 489934.4,119939.6 489934.42))","119941489938",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119939.53 489940.54,119939.39 489944.04,119939.25 489946.6,119941.79 489946.73,119941.79 489946.72,119942.01 489940.66,119939.53 489940.54))","119941489944",B10a,Archangelkade,Langs,FISCAAL,,1
"POLYGON ((119941.37 490258.78,119942.92 490254.18,119940.49 490253.37,119938.92 490257.96,119941.37 490258.78))","119941490256",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119950.11 490019.75,119945.15 490015.95,119943.58 490018.14,119948.47 490021.85,119950.11 490019.75))","119947490019",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119950.19 490230.81,119950.77 490231.0,119952.55 490225.74,119950.34 490224.98,119948.53 490230.33,119950.19 490230.81))","119951490228",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119954.91 490023.42,119950.11 490019.75,119948.47 490021.85,119952.4 490024.84,119952.87 490025.2,119953.33 490025.55,119954.91 490023.42))","119952490023",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119952.55 490225.74,119954.35 490220.43,119952.13 490219.67,119950.34 490224.98,119952.55 490225.74))","119952490223",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119954.35 490220.43,119956.15 490215.13,119953.92 490214.36,119952.13 490219.67,119954.35 490220.43))","119954490217",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119956.15 490215.13,119957.95 490209.83,119955.71 490209.06,119953.92 490214.36,119956.15 490215.13))","119956490212",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119959.84 490027.21,119959.8 490027.17,119954.91 490023.42,119953.33 490025.55,119958.29 490029.26,119959.84 490027.21))","119957490026",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119957.95 490209.83,119959.74 490204.52,119957.5 490203.75,119955.71 490209.06,119957.95 490209.83))","119958490207",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119959.74 490204.52,119961.54 490199.22,119959.3 490198.45,119957.5 490203.75,119959.74 490204.52))","119960490201",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119964.48 490030.48,119959.84 490027.21,119958.29 490029.26,119962.91 490032.64,119964.48 490030.48))","119961490030",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119961.54 490199.22,119963.34 490193.91,119961.09 490193.14,119959.3 490198.45,119961.54 490199.22))","119961490196",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119963.34 490193.91,119963.41 490193.71,119965.14 490188.61,119962.88 490187.83,119961.09 490193.14,119963.34 490193.91))","119963490191",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119965.14 490188.61,119966.93 490183.31,119964.67 490182.53,119962.88 490187.83,119965.14 490188.61))","119965490186",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119969.35 490033.92,119964.48 490030.48,119962.91 490032.64,119963.08 490032.76,119963.25 490032.89,119967.72 490036.07,119969.35 490033.92))","119966490033",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119966.93 490183.31,119968.73 490178.0,119966.46 490177.22,119964.67 490182.53,119966.93 490183.31))","119967490180",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119968.73 490178.0,119970.53 490172.7,119968.25 490171.92,119966.46 490177.22,119968.73 490178.0))","119968490175",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119970.53 490172.7,119972.32 490167.39,119970.04 490166.61,119968.25 490171.92,119970.53 490172.7))","119970490170",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119972.32 490167.39,119974.12 490162.09,119971.83 490161.3,119970.04 490166.61,119972.32 490167.39))","119972490164",B10a,Moermanskkade,Langs,FISCAAL,,1
