FID,vrt_code,vrtnaam,haven_vaar,meetpunt,breedte,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
zwaaiplaats.70,082,Zijkanaal naar Almelo van de Twenthekanalen,,4.358,80,,26851,,,POINT (52.277600001999986 6.643300001)
zwaaiplaats.71,126f,Leursche Haven,,5.6,40,,27866,,,POINT (51.587200000999985 4.655200001000026)
zwaaiplaats.72,090b,Dolderkanaal te Steenwijk,,0.803,65,,28307,,,POINT (52.790899998999976 6.109299998999973)
zwaaiplaats.73,232,Hoge Vaart,,45.309,70,,28386,,,POINT (52.457400001999986 5.686999999000022)
zwaaiplaats.74,927,Alblashaven,,0.454,70,,28636,,,POINT (51.92450000000002 4.425799998999992)
zwaaiplaats.75,080,Kanaal Almelo-De Haandrik (Overijsselsch Kanaal) en Coevorden-Vechtkanaal,,5.689,90,,30204,,,POINT (52.4135 6.594500002000018)
zwaaiplaats.76,095d,Espelervaart,,5.151,25,,31211,,,POINT (52.716699999000014 5.684300001999986)
zwaaiplaats.77,150h,Haven van Waalwijk,,1.834,100,,31723,,,POINT (51.69599999899998 5.057799998999997)
zwaaiplaats.78,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,40.4,55,,31935,,,POINT (51.17929999900002 5.582100000000025)
zwaaiplaats.79,920,"Kolenhaven, Maascentrale te Buggenum",,0.163,,,31943,,,POINT (51.222800001999985 5.977400000999978)
zwaaiplaats.80,082,Zijkanaal naar Almelo van de Twenthekanalen,,12.645,100,,32277,,,POINT (52.350299999000015 6.618600000000015)
zwaaiplaats.81,1156,Europahaven,,3.431,450,,32410,,,POINT (51.959600002 4.036299999999983)
zwaaiplaats.82,206,Oude Rijn,,17.304,,,33462,,,POINT (52.0856 4.878800001000002)
zwaaiplaats.83,013,"Winschoterdiep, Rensel en havens te Winschoten",,37.277,90,,34033,,,POINT (53.14280000000002 7.0467000009999765)
zwaaiplaats.84,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,14.138,60,,34527,,,POINT (52.33879999800001 4.639699999000015)
zwaaiplaats.85,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,44.337,100,,34736,,,POINT (52.171899999999994 6.193799999000021)
zwaaiplaats.86,083,Oude IJssel,,12.251,50,,35062,,,POINT (51.966999999999985 6.274400000000014)
zwaaiplaats.87,225b,Uraniumkanaal met aanliggende havens,,1.9,100,,35104,,,POINT (52.11679999900002 5.0584999989999915)
zwaaiplaats.88,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,30.566,95,,35120,,,POINT (52.2269 6.6007999999999925)
zwaaiplaats.89,022,Van Harinxmakanaal,,6.7,,,35803,,,POINT (53.180399998999974 5.509399998999982)
zwaaiplaats.90,124,Amertak en Wilhelminakanaal,,15.545,120,,37055,,,POINT (51.61980000099999 4.932799998999997)
zwaaiplaats.91,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,39.822,75,,37098,,,POINT (52.134300000999986 6.191300001000002)
zwaaiplaats.92,924,Lingehaven,,0.41,70,,37409,,,POINT (51.92949999899997 4.419799997999974)
zwaaiplaats.93,220,Amstel-Gouwevaart (Amstel en Aarkanaal),,30.256,70,,37574,,,POINT (52.206500000999995 4.734299998999973)
zwaaiplaats.94,233,"Noordzeekanaal, Afgesloten-IJ en Buiten-IJ",,24.145,300,,39219,,,POINT (52.38159999999999 4.9266999999999825)
