LOCATIENUMMER;LOCATIENAAM;PERIODE_1;PERIODE_2;PERIODE_3;PERIODE_4;PERIODE_5;PERIODE_6;PERIODE_7;PERIODE_8;PERIODE_9;PERIODE_10;PERIODE_11;PERIODE_12;PERIODE_13;GEM;LONG;LAT;X;Y
26;026 Hengelolaan thv nr 355-371;29.9;36.3;31.5;34;32;27;24.4;28.3;25.9;29.7;31.3;35;31.6;30.5;4.2692306592764355;52.04805099610659;78311;451672
27;027 Loevesteinlaanthv nr 171;28.9;40.8;0;36;34.3;20;15.1;25;22.1;30.6;36.8;37.1;29.5;29.7;4.278054818326159;52.05318614425922;78925;452234
28;028 Vreeswijkstraat;31.9;44.1;34.6;40;33;26.4;20.1;25;25.9;29.7;38.9;35;33.6;32.2;4.277639743673575;52.058755292663704;78906;452854
29;029 Soestdijksekade thv nr 784-794;28;33.2;29.5;34;21.7;16;15.1;13.3;17.3;22.1;31.3;35;28.5;25;4.2863872667882275;52.061201419979824;79510;453117
30;030 Troelstrakade thv nr 237;33.9;47.4;34.8;42;32;27;25.5;29.1;25;31.6;39;38.5;33.6;33.8;4.297409167492923;52.057726375956726;80260;452719
31;031 Troelstrakade thv nr 619-633;34.9;45.3;37.8;42.2;40.6;24.7;25;34.4;32.6;41.2;46;37.5;37.4;36.9;4.304067231324407;52.05616082278544;80714;452538
32;032 Moerweg thv nr 322;27;40.8;30.5;33;22.9;19;18.8;19.6;19.2;27.4;36.8;35;30.5;27.7;4.296011456889581;52.055843769854704;80161;452511
33;033 Moerweg thv nr 85;33.5;42.8;35.8;42.7;38.1;28.1;27.8;31;25.9;30.6;37.8;35;34.6;34.1;4.2967840131684065;52.05345990908589;80210;452245
34;034 Loosduinseweg;25;39.6;31.5;34;26.3;18;15.1;22.9;20.2;28.5;36.8;35;30.5;27.9;4.271386545341003;52.06742434803999;78492;453825
35;035 Kamperfoeliestraat;25;40.8;35.8;35;28.6;25;18.9;26.1;19.2;26.4;35.7;37.1;28.5;29.4;4.269138231452816;52.069263712057094;78341;454032
36;036 Goudenregenstraat;24;35.2;32.5;37;32;23;20.1;24;17.3;24.3;34.6;36;26.5;28.2;4.2647919346216625;52.07564937298683;78054;454747
37;037 Sportlaan;25;36.3;30.5;31;26.3;15;16.3;20.7;17.3;17.3;25.6;0;0;23.7;4.2424503295425975;52.07309732039501;76518;454487
38;038 Segbroeklaan thv nr 562;24.5;38.5;31;30.5;26.3;19.5;13.8;15.8;13.4;16.7;29;32.8;24.2;24.3;4.260389994843491;52.078402871197525;77757;455058
39;039 Segbroeklaan thv nr 430;32.9;45.2;35.8;39;37.1;28.1;20;17.4;15.5;23.2;36.8;35;30.5;30.5;4.263118596302229;52.07954354465762;77946;455182
40;040 Segbroeklaan thv nr 306-328;29.9;44.1;34.6;40;31;21;18.8;16.3;14.4;22.1;34.6;37.1;30.5;28.8;4.268480631731943;52.081563120479466;78317;455401
41;041 Vissershavenweg;34.4;43;34.6;40.8;36.1;28;27.8;30.1;18.3;28.5;38;37.5;33.7;33.1;4.268354478942911;52.101768667691395;78343;457649
42;042 Johan de Wittlaan/Pr Kennedylaan Museon;25;33;27;31;24;16;13.8;18.5;17.3;21.1;30.3;32.9;26.5;24.3;4.2820170022084305;52.08876501328275;79257;456188
43;043 Pr Kennedylaan;31.9;47.4;38.3;0;41.6;36.6;35.5;38.8;27.6;32.6;38.5;37;34.6;36.7;4.279143253044469;52.0875515112729;79058;456056
44;044 Groot Hertoginnelaan thv nr 79;30.9;39.6;35.8;37;29.7;21;18.9;26.1;22.1;27.4;33.5;37.1;31.6;30.1;4.282498430563164;52.08463470049767;79283;455728
45;045 Groot Hertoginnelaan thv nr 13;25.5;38;28.1;33;26.3;18.5;18.9;20.7;19.7;25.8;34.1;33.4;28.5;27;4.284525811407627;52.08525593605405;79423;455795
46;046 Groot Hertoginnelaan thv nr 24;23;36.3;28.5;31.7;24;15;12.6;19.6;17.3;22.1;31.3;35;28.5;25;4.281378239384097;52.08509160890285;79207;455780
47;047 Laan van Meerdervoort;29.9;44.1;34.3;40;34.9;22;19.4;26.1;22.1;29;38.4;37;32.1;31.5;4.292821150608411;52.08434450667878;79990;455685
