COUNTER;ID;GEBIEDTYPE;OMSCHR;WEBSITE;SOORT;STRAATNAAM
65;344405;Speeltuin;Tevens Schoolpleinen;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;verboden voor honden;Panamaplein
66;344406;Gazon;;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Havannapad
67;344410;;;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Laan van Wateringse Veld
68;344412;Doorgoei;Tussen Erasmusweg en Noordweg oneven zijde;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Laan van Wateringse Veld
69;344414;Gazon;Tevens langs Joke Smitpad;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Carry van Bruggenhof
70;344415;Gazon, Doorgroei en Plantsoen;Zuiderpark, tussen Marie Heinenweg en het Apostolisch Genootschap;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Loevesteinlaan
71;344418;;;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Zuiderpark
72;344419;Speeltuin en Gazon;;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;verboden voor honden;Van Maerlantlaan
73;344420;Losloopgebied;In het Landengebied (Noord Europa);https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Zuiderpark
74;344422;Gazon en Plantsoen;Vlietpark tussen Laan van Wateringseveld en Mexicosingel;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Vlietpark
75;344430;Speeltuin, Gazon en plantsoen;;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;verboden voor honden;Dallashof
76;344431;Speeltuin, Gazon en Plantsoen;;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;verboden voor honden;Miamihof
77;344432;Wielerbaan;;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;verboden voor honden;Van Berckenrodepad
101;344426;Struweel;Tussen, Melis Stokelaan en Erasmusweg;https://www.denhaag.nl/nl/in-de-stad/natuur-en-milieu/regels-voor-het-uitlaten-van-honden-en-het-opruimen-van-hondenpoep.htm;honden het hele jaar door los;Moerweg
