FID,aanlegjaar,type,soortnaam_lat,soortnaam_ned,categorie,geometrie
O10002_Bomenkaart_OD.105,1990,Solitaire boom,Taxodium distichum,Moerascypres,Boom,MULTIPOINT ((178120.859 504457.22))
O10002_Bomenkaart_OD.106,2013,Straat- / laanboom,Prunus avium 'Landscape Bloom',Kers,Boom,MULTIPOINT ((175895.95 505078.846))
O10002_Bomenkaart_OD.107,1998,Straat- / laanboom,Acer campestre 'Queen Elizabeth',Veldesdoorn,Boom,MULTIPOINT ((176537.954 504680.034))
O10002_Bomenkaart_OD.108,2004,Straat- / laanboom,Liquidambar styraciflua 'Worplesdon',Amberboom,Boom,MULTIPOINT ((176174.179 505212.879))
O10002_Bomenkaart_OD.109,2000,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((175791.282 503722.34))
O10002_Bomenkaart_OD.110,1998,Straat- / laanboom,Acer campestre 'Queen Elizabeth',Veldesdoorn,Boom,MULTIPOINT ((176408.261 504791.962))
O10002_Bomenkaart_OD.111,1996,Solitaire boom,Pyrus calleryana 'Chanticleer',Peer,Boom,MULTIPOINT ((175767.307 503494.436))
O10002_Bomenkaart_OD.112,1998,Straat- / laanboom,Tilia cordata 'Greenspire',Kleinbladige linde,Boom,MULTIPOINT ((176516.769 505186.653))
O10002_Bomenkaart_OD.113,1985,Straat- / laanboom,Tilia europaea 'Euchlora',Hollandse linde,Boom,MULTIPOINT ((177937.489 502974.45))
O10002_Bomenkaart_OD.114,1995,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((178479.313 504516.195))
O10002_Bomenkaart_OD.115,1994,Lei- / vormboom,Robinia pseudoacacia 'Umbraculifera,Bolacacia,Boom,MULTIPOINT ((176180.94 503004.33))
O10002_Bomenkaart_OD.116,1998,Solitaire boom,Carpinus betulus 'Frans Fontaine',Haagbeuk,Boom,MULTIPOINT ((176450.91 504373.211))
O10002_Bomenkaart_OD.117,1992,Straat- / laanboom,Tilia plat. 'Delft',Grootbladige linde,Boom,MULTIPOINT ((176564.789 503028.74))
O10002_Bomenkaart_OD.118,1983,Straat- / laanboom,Fraxinus excelsior 'Geessink',Es,Boom,MULTIPOINT ((176604.409 503632.76))
O10002_Bomenkaart_OD.119,2008,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((176677.91 503716.701))
O10002_Bomenkaart_OD.120,1997,Solitaire boom,Metasequoia glyptostroboides,Moerascypres,Boom,MULTIPOINT ((176845.958 504993.982))
O10002_Bomenkaart_OD.121,1977,Straat- / laanboom,Fraxinus excelsior 'Westhof's Glori,Es,Boom,MULTIPOINT ((175471.299 502978.548))
O10002_Bomenkaart_OD.122,1985,Solitaire boom,Tilia europaea,Koningslinde,Boom,MULTIPOINT ((175532.938 503401.525))
O10002_Bomenkaart_OD.123,2008,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((177126.722 503636.331))
O10002_Bomenkaart_OD.124,2008,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((177028.066 503648.919))
O10002_Bomenkaart_OD.125,2004,Straat- / laanboom,Tilia cordata 'Bohlje',Kleinbladige linde,Boom,MULTIPOINT ((176037.709 505305.565))
O10002_Bomenkaart_OD.126,1997,Straat- / laanboom,Fraxinus excelsior 'Geessink',Es,Boom,MULTIPOINT ((176853.404 506090.93))
O10002_Bomenkaart_OD.127,1999,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((178064.873 503836.793))
O10002_Bomenkaart_OD.128,1989,Solitaire boom,Carpinus betulus 'Frans Fontaine',Haagbeuk,Boom,MULTIPOINT ((177473.205 502582.593))
O10002_Bomenkaart_OD.129,2006,Straat- / laanboom,Acer platanoides 'Olmsted',Esdoorn,Boom,MULTIPOINT ((176127.497 505459.32))
O10002_Bomenkaart_OD.130,2008,Straat- / laanboom,Quercus cerris,Moseik,Boom,MULTIPOINT ((175771.673 505571.454))
