Kenteken,Carrosserie volgnummer,Carrosserie klasse volgnummer,Voertuigklasse,Voertuigklasse omschrijving
14BDH9,1,1,1,Klasse I
14BGB1,1,1,B,Klasse B
14BGN6,1,1,1,Klasse I
14BHB4,1,1,3,Klasse III
14BHN1,1,1,3,Klasse III
14BHR4,1,1,1,Klasse I
14BHV8,1,1,1,Klasse I
14BHX3,1,1,2,Klasse II
14BJD1,1,1,3,Klasse III
14BJF1,1,1,3,Klasse III
14BJK5,1,1,1,Klasse I
14BJK8,1,1,3,Klasse III
14BJL3,1,1,3,Klasse III
14BJL8,1,1,3,Klasse III
14BJT3,1,1,B,Klasse B
14BJV3,1,1,A,Klasse A
14BKD4,1,1,1,Klasse I
14BKF4,1,1,1,Klasse I
14BKF6,1,1,1,Klasse I
14BKF8,1,1,1,Klasse I
14BKG2,1,1,1,Klasse I
14BKZ1,1,1,1,Klasse I
14BLD4,1,1,3,Klasse III
14BLF3,1,1,1,Klasse I
14BLJ7,1,1,B,Klasse B
14BLL5,1,1,1,Klasse I
14BLL6,1,1,1,Klasse I
14BLN1,1,1,1,Klasse I
14BLV5,1,1,A,Klasse A
14BNF8,1,1,3,Klasse III
14BNJ2,1,1,3,Klasse III
14BNJ6,1,1,3,Klasse III
14BNK8,1,1,1,Klasse I
14BNV1,1,1,1,Klasse I
14BNV2,1,1,1,Klasse I
14BNX3,1,1,3,Klasse III
14BNZ3,1,1,1,Klasse I
14BNZ9,1,1,2,Klasse II
14BPB1,1,1,1,Klasse I
14BPK6,1,1,3,Klasse III
14BPZ8,1,1,1,Klasse I
14BPZ9,1,1,1,Klasse I
14BRB2,1,1,1,Klasse I
14BRN9,1,1,1,Klasse I
14BTX1,1,1,1,Klasse I
15BDH9,1,1,1,Klasse I
15BFS8,1,1,3,Klasse III
15BGX5,1,1,3,Klasse III
15BHB4,1,1,3,Klasse III
15BHV8,1,1,1,Klasse I
15BHX1,1,1,1,Klasse I
15BHX5,1,1,1,Klasse I
15BJK5,1,1,1,Klasse I
15BJL8,1,1,3,Klasse III
15BJN2,1,1,2,Klasse II
15BJR5,1,1,3,Klasse III
15BJT5,1,1,1,Klasse I
15BJV3,1,1,A,Klasse A
15BJZ3,1,1,3,Klasse III
15BKD2,1,1,1,Klasse I
15BKD4,1,1,1,Klasse I
15BKD7,1,1,3,Klasse III
15BKF4,1,1,1,Klasse I
15BKF8,1,1,1,Klasse I
15BKF9,1,1,1,Klasse I
15BKZ1,1,1,1,Klasse I
15BLF3,1,1,1,Klasse I
15BLL5,1,1,1,Klasse I
15BLL6,1,1,1,Klasse I
15BLN1,1,1,1,Klasse I
15BLZ8,1,1,1,Klasse I
15BND6,1,1,3,Klasse III
15BNF8,1,1,3,Klasse III
15BNG3,1,1,3,Klasse III
15BNL5,1,1,1,Klasse I
15BNV1,1,1,1,Klasse I
15BNV2,1,1,1,Klasse I
15BNV5,1,1,3,Klasse III
15BNX3,1,1,3,Klasse III
15BNX5,1,1,1,Klasse I
15BNZ1,1,1,3,Klasse III
15BPH9,1,1,3,Klasse III
15BPK6,1,1,1,Klasse I
15BPL8,1,1,3,Klasse III
15BPS8,1,1,3,Klasse III
15BPZ8,1,1,1,Klasse I
15BPZ9,1,1,1,Klasse I
15BRB2,1,1,1,Klasse I
15BRB3,1,1,1,Klasse I
15BRB6,1,1,B,Klasse B
15BRG2,1,1,B,Klasse B
15BRN9,1,1,1,Klasse I
15BSB8,1,1,B,Klasse B
15BSJ7,1,1,3,Klasse III
15BST1,1,1,1,Klasse I
15BTF4,1,1,3,Klasse III
16BDH1,1,1,3,Klasse III
16BFX2,1,1,B,Klasse B
16BGS7,1,1,B,Klasse B
16BHB4,1,1,3,Klasse III
16BHD3,1,1,3,Klasse III
16BHP6,1,1,1,Klasse I
16BHX3,1,1,2,Klasse II
16BHX5,1,1,1,Klasse I
16BJN2,1,1,2,Klasse II
16BJT5,1,1,1,Klasse I
16BKF4,1,1,1,Klasse I
16BKF9,1,1,1,Klasse I
16BKG9,1,1,B,Klasse B
16BKJ1,1,1,3,Klasse III
16BKS2,1,1,3,Klasse III
16BKZ1,1,1,1,Klasse I
16BLF3,1,1,1,Klasse I
16BLH1,1,1,3,Klasse III
16BLL6,1,1,1,Klasse I
16BLN6,1,1,1,Klasse I
16BND6,1,1,3,Klasse III
16BNF8,1,1,3,Klasse III
16BNJ2,1,1,3,Klasse III
16BNL5,1,1,1,Klasse I
16BNT1,1,1,1,Klasse I
16BNT3,1,1,1,Klasse I
16BNV1,1,1,1,Klasse I
16BNV2,1,1,1,Klasse I
16BNX3,1,1,3,Klasse III
16BNX5,1,1,1,Klasse I
16BNZ3,1,1,1,Klasse I
16BNZ5,1,1,1,Klasse I
16BNZ9,1,1,2,Klasse II
16BPB1,1,1,1,Klasse I
16BPH9,1,1,3,Klasse III
16BPK6,1,1,1,Klasse I
16BPZ8,1,1,1,Klasse I
16BPZ9,1,1,1,Klasse I
16BRB2,1,1,1,Klasse I
16BRB3,1,1,3,Klasse III
16BRN9,1,1,1,Klasse I
16BSZ3,1,1,3,Klasse III
17BBL9,1,1,1,Klasse I
17BDH3,1,1,1,Klasse I
17BDH9,1,1,3,Klasse III
17BGX9,1,1,B,Klasse B
17BHS5,1,1,1,Klasse I
17BHS7,1,1,1,Klasse I
17BHV8,1,1,1,Klasse I
17BHX3,1,1,2,Klasse II
17BHX5,1,1,1,Klasse I
17BJH2,1,1,3,Klasse III
17BJK5,1,1,1,Klasse I
17BJN2,1,1,2,Klasse II
17BJT5,1,1,1,Klasse I
17BKD4,1,1,1,Klasse I
17BKF4,1,1,1,Klasse I
17BKF8,1,1,1,Klasse I
17BKF9,1,1,1,Klasse I
17BKS2,1,1,3,Klasse III
17BKZ1,1,1,1,Klasse I
17BLB1,1,1,B,Klasse B
17BLH9,1,1,3,Klasse III
17BLS2,1,1,3,Klasse III
17BLZ8,1,1,1,Klasse I
17BND6,1,1,3,Klasse III
17BNF8,1,1,3,Klasse III
17BNG9,1,1,3,Klasse III
17BNK8,1,1,1,Klasse I
17BNX5,1,1,1,Klasse I
17BNZ3,1,1,1,Klasse I
17BPB1,1,1,1,Klasse I
17BPD1,1,1,1,Klasse I
17BPH9,1,1,3,Klasse III
17BPS6,1,1,3,Klasse III
17BPZ2,1,1,3,Klasse III
17BPZ8,1,1,1,Klasse I
17BPZ9,1,1,1,Klasse I
17BRB2,1,1,1,Klasse I
17BRB3,1,1,1,Klasse I
17BRT9,1,1,3,Klasse III
17BST1,1,1,1,Klasse I
17BSZ9,1,1,3,Klasse III
17BTF7,1,1,3,Klasse III
17BTH7,1,1,B,Klasse B
17BTV3,1,1,3,Klasse III
17TB77,1,1,3,Klasse III
18BDH9,1,1,1,Klasse I
18BFD9,1,1,3,Klasse III
18BFX4,1,1,1,Klasse I
18BGN6,1,1,1,Klasse I
18BGZ4,1,1,3,Klasse III
18BHB2,1,1,3,Klasse III
18BHF8,1,1,2,Klasse II
18BHP6,1,1,1,Klasse I
18BHR4,1,1,1,Klasse I
18BHR5,1,1,1,Klasse I
18BHT1,1,1,2,Klasse II
18BHV8,1,1,1,Klasse I
18BHV9,1,1,3,Klasse III
18BHX3,1,1,2,Klasse II
18BHX5,1,1,1,Klasse I
18BJF8,1,1,3,Klasse III
18BJH9,1,1,3,Klasse III
18BJN2,1,1,2,Klasse II
18BJP7,1,1,3,Klasse III
18BJT5,1,1,1,Klasse I
18BKF4,1,1,1,Klasse I
18BKF9,1,1,1,Klasse I
18BKR8,1,1,3,Klasse III
18BKS9,1,1,3,Klasse III
18BKZ1,1,1,1,Klasse I
18BLL5,1,1,1,Klasse I
18BLL6,1,1,1,Klasse I
18BLP4,1,1,2,Klasse II
18BLZ8,1,1,1,Klasse I
18BND6,1,1,3,Klasse III
18BNF8,1,1,3,Klasse III
18BNG1,1,1,B,Klasse B
18BNG9,1,1,3,Klasse III
18BNJ7,1,1,1,Klasse I
18BNT1,1,1,1,Klasse I
18BNV1,1,1,1,Klasse I
18BNV5,1,1,3,Klasse III
18BNX3,1,1,3,Klasse III
18BPJ3,1,1,3,Klasse III
18BPJ7,1,1,3,Klasse III
18BPZ8,1,1,1,Klasse I
18BPZ9,1,1,1,Klasse I
18BRB2,1,1,1,Klasse I
18BRB3,1,1,1,Klasse I
18BRT9,1,1,3,Klasse III
18BSG7,1,1,3,Klasse III
18BSN1,1,1,1,Klasse I
18BTB9,1,1,3,Klasse III
18BTX5,1,1,3,Klasse III
19BDH9,1,1,1,Klasse I
19BFV2,1,1,3,Klasse III
19BFV6,1,1,B,Klasse B
19BFZ6,1,1,1,Klasse I
19BHD9,1,1,3,Klasse III
19BHK7,1,1,3,Klasse III
19BHP6,1,1,1,Klasse I
19BHR5,1,1,1,Klasse I
19BHS7,1,1,1,Klasse I
19BHT1,1,1,2,Klasse II
19BHV8,1,1,1,Klasse I
19BHX3,1,1,2,Klasse II
19BHX5,1,1,1,Klasse I
19BJF8,1,1,3,Klasse III
19BJH9,1,1,3,Klasse III
19BJK5,1,1,1,Klasse I
19BJT5,1,1,1,Klasse I
19BKD5,1,1,B,Klasse B
19BKD8,1,1,3,Klasse III
19BKF4,1,1,1,Klasse I
19BKF9,1,1,1,Klasse I
19BKZ1,1,1,1,Klasse I
19BLL5,1,1,1,Klasse I
19BLL6,1,1,1,Klasse I
19BLP4,1,1,1,Klasse I
19BLS1,1,1,3,Klasse III
19BLZ9,1,1,1,Klasse I
19BND6,1,1,3,Klasse III
19BNF8,1,1,3,Klasse III
19BNT1,1,1,1,Klasse I
19BNT3,1,1,1,Klasse I
19BNV1,1,1,1,Klasse I
19BNZ3,1,1,3,Klasse III
19BPJ9,1,1,3,Klasse III
19BPK5,1,1,3,Klasse III
19BPZ8,1,1,1,Klasse I
19BPZ9,1,1,1,Klasse I
19BRB2,1,1,1,Klasse I
19BRT9,1,1,3,Klasse III
19BST1,1,1,1,Klasse I
19BTH8,1,1,3,Klasse III
19BTV3,1,1,3,Klasse III
20BFD9,1,1,3,Klasse III
20BFV4,1,1,3,Klasse III
20BFV8,1,1,3,Klasse III
20BGG1,1,1,3,Klasse III
20BHF4,1,1,3,Klasse III
20BHH3,1,1,1,Klasse I
20BHN9,1,1,B,Klasse B
20BHR5,1,1,1,Klasse I
20BHS1,1,1,1,Klasse I
20BHV8,1,1,1,Klasse I
20BHX3,1,1,2,Klasse II
20BHX5,1,1,1,Klasse I
20BHZ3,1,1,3,Klasse III
20BJG1,1,1,2,Klasse II
20BJK2,1,1,B,Klasse B
20BJN2,1,1,2,Klasse II
20BJN9,1,1,2,Klasse II
20BJT5,1,1,1,Klasse I
20BKD2,1,1,1,Klasse I
20BKF4,1,1,1,Klasse I
20BKF8,1,1,1,Klasse I
20BKZ1,1,1,1,Klasse I
20BLL5,1,1,1,Klasse I
20BLL6,1,1,1,Klasse I
20BLR1,1,1,1,Klasse I
20BLZ8,1,1,1,Klasse I
20BND9,1,1,3,Klasse III
20BNG3,1,1,3,Klasse III
20BNK7,1,1,1,Klasse I
20BNS8,1,1,1,Klasse I
20BNT4,1,1,3,Klasse III
20BNT5,1,1,3,Klasse III
20BPB1,1,1,3,Klasse III
20BPF6,1,1,3,Klasse III
20BPJ3,1,1,3,Klasse III
20BPZ9,1,1,1,Klasse I
20BRB2,1,1,1,Klasse I
20BRB3,1,1,1,Klasse I
20BRT9,1,1,3,Klasse III
20BSF8,1,1,3,Klasse III
20BST1,1,1,1,Klasse I
20BSV7,1,1,3,Klasse III
20BTD9,1,1,B,Klasse B
20BTH8,1,1,2,Klasse II
20BTL7,1,1,3,Klasse III
20BTV6,1,1,3,Klasse III
21BDH3,1,1,1,Klasse I
21BDH9,1,1,1,Klasse I
21BFL1,1,1,3,Klasse III
21BFS9,1,1,3,Klasse III
21BFT9,1,1,3,Klasse III
21BFV4,1,1,3,Klasse III
21BFX6,1,1,3,Klasse III
21BGN6,1,1,1,Klasse I
21BGS5,1,1,B,Klasse B
21BGV4,1,1,3,Klasse III
21BGZ2,1,1,3,Klasse III
21BHP6,1,1,1,Klasse I
21BHR4,1,1,1,Klasse I
21BHR5,1,1,1,Klasse I
21BHS1,1,1,1,Klasse I
21BHT1,1,1,2,Klasse II
21BHV8,1,1,1,Klasse I
21BHX3,1,1,1,Klasse I
21BHX5,1,1,1,Klasse I
21BHZ3,1,1,3,Klasse III
21BJB9,1,1,3,Klasse III
21BJD6,1,1,3,Klasse III
21BJJ3,1,1,3,Klasse III
21BJK5,1,1,1,Klasse I
21BJN9,1,1,2,Klasse II
21BJT5,1,1,1,Klasse I
21BKF4,1,1,1,Klasse I
21BKF8,1,1,1,Klasse I
21BKF9,1,1,1,Klasse I
21BKN9,1,1,B,Klasse B
21BLL5,1,1,1,Klasse I
21BLL6,1,1,1,Klasse I
21BND6,1,1,3,Klasse III
21BND9,1,1,3,Klasse III
21BNK8,1,1,1,Klasse I
21BNS8,1,1,1,Klasse I
21BNT1,1,1,1,Klasse I
21BNV1,1,1,1,Klasse I
21BPG4,1,1,1,Klasse I
21BPG7,1,1,3,Klasse III
21BPH3,1,1,3,Klasse III
21BPJ9,1,1,3,Klasse III
21BPZ8,1,1,1,Klasse I
21BPZ9,1,1,1,Klasse I
21BRB2,1,1,1,Klasse I
21BRB3,1,1,1,Klasse I
21BRJ8,1,1,1,Klasse I
21BST1,1,1,1,Klasse I
21BTX1,1,1,A,Klasse A
22BDH9,1,1,1,Klasse I
22BGV4,1,1,3,Klasse III
22BHG1,1,1,B,Klasse B
22BHG8,1,1,3,Klasse III
22BHP6,1,1,1,Klasse I
22BHR5,1,1,1,Klasse I
22BHS1,1,1,1,Klasse I
22BHS5,1,1,1,Klasse I
22BHX3,1,1,1,Klasse I
22BHX5,1,1,1,Klasse I
22BHZ3,1,1,3,Klasse III
22BJH5,1,1,3,Klasse III
22BJH9,1,1,3,Klasse III
22BJK2,1,1,3,Klasse III
22BJK5,1,1,1,Klasse I
22BJR4,1,1,1,Klasse I
22BKD2,1,1,1,Klasse I
22BKF4,1,1,1,Klasse I
22BKF8,1,1,1,Klasse I
22BKF9,1,1,1,Klasse I
22BKN9,1,1,3,Klasse III
22BKP7,1,1,2,Klasse II
22BKT5,1,1,3,Klasse III
22BLF3,1,1,1,Klasse I
22BLL5,1,1,1,Klasse I
22BLL6,1,1,1,Klasse I
22BLN2,1,1,1,Klasse I
22BLP1,1,1,1,Klasse I
22BLV1,1,1,3,Klasse III
22BLX6,1,1,B,Klasse B
22BND3,1,1,3,Klasse III
22BND9,1,1,3,Klasse III
22BNF8,1,1,3,Klasse III
22BNG3,1,1,3,Klasse III
22BNK5,1,1,1,Klasse I
22BNP6,1,1,1,Klasse I
22BNR1,1,1,B,Klasse B
22BNS8,1,1,1,Klasse I
22BNV1,1,1,1,Klasse I
22BNX3,1,1,3,Klasse III
22BNZ1,1,1,3,Klasse III
22BPG4,1,1,1,Klasse I
22BPG5,1,1,3,Klasse III
22BPG6,1,1,B,Klasse B
22BPG7,1,1,3,Klasse III
22BPT3,1,1,B,Klasse B
22BPT5,1,1,3,Klasse III
22BPX4,1,1,1,Klasse I
22BPZ8,1,1,1,Klasse I
22BPZ9,1,1,1,Klasse I
22BRB2,1,1,1,Klasse I
22BRB3,1,1,1,Klasse I
22BRB4,1,1,3,Klasse III
22BRZ1,1,1,3,Klasse III
22BST1,1,1,1,Klasse I
23BDH9,1,1,1,Klasse I
23BFV2,1,1,3,Klasse III
23BGV9,1,1,3,Klasse III
23BHP6,1,1,1,Klasse I
23BHR5,1,1,1,Klasse I
23BHV2,1,1,2,Klasse II
23BHV8,1,1,1,Klasse I
23BHX3,1,1,1,Klasse I
23BHX5,1,1,1,Klasse I
23BJG9,1,1,3,Klasse III
23BJH2,1,1,3,Klasse III
23BJK5,1,1,1,Klasse I
23BJN9,1,1,2,Klasse II
23BJR4,1,1,1,Klasse I
23BKB9,1,1,3,Klasse III
23BKD1,1,1,3,Klasse III
23BKD2,1,1,1,Klasse I
23BKF4,1,1,1,Klasse I
23BKF8,1,1,1,Klasse I
23BKL5,1,1,3,Klasse III
23BKP7,1,1,2,Klasse II
23BKR1,1,1,3,Klasse III
23BKS2,1,1,3,Klasse III
23BLL6,1,1,1,Klasse I
23BLN8,1,1,3,Klasse III
23BLP4,1,1,1,Klasse I
23BND9,1,1,3,Klasse III
23BNF8,1,1,3,Klasse III
23BNG3,1,1,3,Klasse III
23BNK7,1,1,1,Klasse I
23BNP2,1,1,1,Klasse I
23BNR1,1,1,3,Klasse III
23BNS8,1,1,1,Klasse I
23BNT1,1,1,1,Klasse I
23BNV1,1,1,1,Klasse I
23BNV5,1,1,3,Klasse III
23BNX3,1,1,3,Klasse III
23BNX6,1,1,2,Klasse II
23BNZ3,1,1,3,Klasse III
23BPB1,1,1,1,Klasse I
23BPL4,1,1,B,Klasse B
23BPZ8,1,1,1,Klasse I
23BPZ9,1,1,1,Klasse I
23BRB2,1,1,1,Klasse I
23BRB3,1,1,3,Klasse III
23BRV8,1,1,B,Klasse B
23BSN1,1,1,1,Klasse I
23BSN7,1,1,3,Klasse III
23BSV7,1,1,3,Klasse III
23BTR2,1,1,3,Klasse III
24BBG3,1,1,2,Klasse II
24BDG7,1,1,2,Klasse II
24BFX4,1,1,1,Klasse I
24BGN6,1,1,1,Klasse I
24BGV4,1,1,3,Klasse III
24BGZ4,1,1,3,Klasse III
24BGZ6,1,1,3,Klasse III
24BHD4,1,1,3,Klasse III
24BHG3,1,1,B,Klasse B
24BHG8,1,1,3,Klasse III
24BHL4,1,1,3,Klasse III
24BHP6,1,1,1,Klasse I
24BHR5,1,1,1,Klasse I
24BHS1,1,1,1,Klasse I
24BHS5,1,1,1,Klasse I
24BHV2,1,1,2,Klasse II
24BHV8,1,1,1,Klasse I
24BHX3,1,1,1,Klasse I
24BHX5,1,1,1,Klasse I
24BHZ2,1,1,3,Klasse III
24BHZ3,1,1,3,Klasse III
24BJH2,1,1,3,Klasse III
24BJN9,1,1,2,Klasse II
24BJR4,1,1,1,Klasse I
24BKD2,1,1,1,Klasse I
24BKF4,1,1,1,Klasse I
24BKF8,1,1,1,Klasse I
24BKF9,1,1,1,Klasse I
24BKL1,1,1,1,Klasse I
24BKN4,1,1,1,Klasse I
24BKN9,1,1,3,Klasse III
24BKP7,1,1,2,Klasse II
24BKS8,1,1,3,Klasse III
24BKT9,1,1,3,Klasse III
24BLF3,1,1,1,Klasse I
24BLL5,1,1,1,Klasse I
24BLL6,1,1,1,Klasse I
24BLN2,1,1,1,Klasse I
24BLN7,1,1,1,Klasse I
24BLN8,1,1,3,Klasse III
24BLP4,1,1,2,Klasse II
24BLZ8,1,1,1,Klasse I
24BND6,1,1,3,Klasse III
24BND9,1,1,3,Klasse III
24BNH3,1,1,3,Klasse III
24BNS8,1,1,1,Klasse I
24BNX3,1,1,3,Klasse III
24BNZ7,1,1,2,Klasse II
24BPB1,1,1,1,Klasse I
24BPB8,1,1,3,Klasse III
24BPF7,1,1,3,Klasse III
24BPG6,1,1,B,Klasse B
24BPJ2,1,1,3,Klasse III
24BPT5,1,1,1,Klasse I
24BPZ8,1,1,1,Klasse I
24BPZ9,1,1,1,Klasse I
24BRB2,1,1,1,Klasse I
24BRV2,1,1,3,Klasse III
24BRX4,1,1,3,Klasse III
24BSN7,1,1,3,Klasse III
24BST1,1,1,1,Klasse I
24BSV7,1,1,3,Klasse III
25BBG3,1,1,1,Klasse I
25BDH9,1,1,1,Klasse I
25BFH4,1,1,1,Klasse I
25BGB7,1,1,3,Klasse III
25BGR8,1,1,3,Klasse III
25BGV4,1,1,3,Klasse III
25BHG3,1,1,B,Klasse B
25BHP4,1,1,1,Klasse I
25BHR4,1,1,1,Klasse I
25BHR5,1,1,1,Klasse I
25BHS1,1,1,1,Klasse I
25BHS5,1,1,1,Klasse I
25BHV2,1,1,2,Klasse II
25BHV8,1,1,1,Klasse I
25BHX3,1,1,1,Klasse I
25BJD6,1,1,3,Klasse III
25BJJ8,1,1,3,Klasse III
25BJK4,1,1,3,Klasse III
25BJK5,1,1,1,Klasse I
25BJN9,1,1,2,Klasse II
25BJZ7,1,1,B,Klasse B
25BKF4,1,1,1,Klasse I
25BKF8,1,1,1,Klasse I
25BKF9,1,1,1,Klasse I
25BKH3,1,1,B,Klasse B
25BKN4,1,1,1,Klasse I
25BKP7,1,1,2,Klasse II
25BKT1,1,1,3,Klasse III
25BLD3,1,1,2,Klasse II
25BLL5,1,1,1,Klasse I
25BLL6,1,1,1,Klasse I
25BLN2,1,1,1,Klasse I
25BLN9,1,1,1,Klasse I
25BLR3,1,1,1,Klasse I
25BNH3,1,1,3,Klasse III
25BNS8,1,1,1,Klasse I
25BNT1,1,1,1,Klasse I
25BNX7,1,1,1,Klasse I
25BNZ1,1,1,3,Klasse III
25BPB1,1,1,1,Klasse I
25BPD6,1,1,3,Klasse III
25BPG3,1,1,B,Klasse B
25BPH4,1,1,A,Klasse A
25BPJ7,1,1,3,Klasse III
25BPJ8,1,1,1,Klasse I
25BPK5,1,1,3,Klasse III
25BPL1,1,1,A,Klasse A
25BPZ8,1,1,1,Klasse I
25BPZ9,1,1,1,Klasse I
25BRB2,1,1,1,Klasse I
25BRL3,1,1,B,Klasse B
25BRR4,1,1,3,Klasse III
25BRR5,1,1,1,Klasse I
25BRV2,1,1,3,Klasse III
25BSH7,1,1,1,Klasse I
25BSN7,1,1,3,Klasse III
25BST1,1,1,1,Klasse I
25BTK1,1,1,3,Klasse III
26BBG3,1,1,2,Klasse II
26BDH3,1,1,1,Klasse I
26BDH9,1,1,1,Klasse I
26BFR7,1,1,2,Klasse II
26BGN6,1,1,1,Klasse I
26BGZ8,1,1,3,Klasse III
26BHD4,1,1,3,Klasse III
26BHG8,1,1,3,Klasse III
26BHP6,1,1,1,Klasse I
26BHR5,1,1,1,Klasse I
26BHS1,1,1,1,Klasse I
26BHS5,1,1,1,Klasse I
26BHT3,1,1,3,Klasse III
26BHV2,1,1,2,Klasse II
26BHV8,1,1,1,Klasse I
26BJF8,1,1,3,Klasse III
26BJJ8,1,1,3,Klasse III
26BJK2,1,1,3,Klasse III
26BJN9,1,1,2,Klasse II
26BJP6,1,1,1,Klasse I
26BJX3,1,1,1,Klasse I
26BKF4,1,1,1,Klasse I
26BKF8,1,1,1,Klasse I
26BKL5,1,1,3,Klasse III
26BKN4,1,1,1,Klasse I
26BKP7,1,1,2,Klasse II
26BLF3,1,1,1,Klasse I
26BLL5,1,1,1,Klasse I
26BLR1,1,1,1,Klasse I
26BLR3,1,1,1,Klasse I
26BLZ8,1,1,1,Klasse I
26BNS8,1,1,1,Klasse I
26BNZ1,1,1,3,Klasse III
26BPB1,1,1,1,Klasse I
26BPG6,1,1,2,Klasse II
26BPH4,1,1,1,Klasse I
26BPZ8,1,1,1,Klasse I
26BPZ9,1,1,1,Klasse I
26BRB2,1,1,1,Klasse I
26BRR4,1,1,3,Klasse III
26BRT3,1,1,3,Klasse III
26BRV2,1,1,3,Klasse III
26BSN7,1,1,3,Klasse III
26BST1,1,1,1,Klasse I
27BDF4,1,1,3,Klasse III
27BGB5,1,1,1,Klasse I
27BGZ6,1,1,3,Klasse III
27BHR4,1,1,1,Klasse I
27BHR5,1,1,1,Klasse I
27BHS5,1,1,1,Klasse I
27BHV2,1,1,2,Klasse II
27BHV8,1,1,1,Klasse I
27BHX3,1,1,1,Klasse I
27BHZ2,1,1,3,Klasse III
27BHZ3,1,1,3,Klasse III
27BJH2,1,1,3,Klasse III
27BJJ8,1,1,3,Klasse III
27BJK5,1,1,1,Klasse I
27BJN9,1,1,2,Klasse II
27BKD2,1,1,1,Klasse I
27BKD3,1,1,2,Klasse II
27BKF4,1,1,1,Klasse I
27BKF8,1,1,1,Klasse I
27BKN4,1,1,1,Klasse I
27BKP7,1,1,2,Klasse II
27BLL5,1,1,1,Klasse I
27BLN2,1,1,1,Klasse I
27BLN6,1,1,1,Klasse I
27BLZ8,1,1,1,Klasse I
27BNK7,1,1,1,Klasse I
27BNL6,1,1,B,Klasse B
27BNS8,1,1,1,Klasse I
27BNT1,1,1,1,Klasse I
27BNX4,1,1,1,Klasse I
27BPD6,1,1,3,Klasse III
27BPJ9,1,1,3,Klasse III
27BPL7,1,1,2,Klasse II
27BPZ8,1,1,1,Klasse I
27BRB2,1,1,1,Klasse I
27BRH5,1,1,1,Klasse I
27BRS2,1,1,1,Klasse I
27BRT3,1,1,3,Klasse III
27BRV2,1,1,3,Klasse III
27BSN7,1,1,3,Klasse III
27BST9,1,1,1,Klasse I
27BSX3,1,1,3,Klasse III
27BTS7,1,1,B,Klasse B
27BTS8,1,1,3,Klasse III
27BTV9,1,1,3,Klasse III
28BDH3,1,1,1,Klasse I
28BDH9,1,1,1,Klasse I
28BFT8,1,1,3,Klasse III
28BGN6,1,1,1,Klasse I
28BHD7,1,1,B,Klasse B
28BHG8,1,1,3,Klasse III
28BHP4,1,1,1,Klasse I
28BHP6,1,1,1,Klasse I
28BHP7,1,1,1,Klasse I
28BHP8,1,1,1,Klasse I
28BHR5,1,1,1,Klasse I
28BHS5,1,1,1,Klasse I
28BHV2,1,1,2,Klasse II
28BHV8,1,1,1,Klasse I
28BHX3,1,1,1,Klasse I
28BHZ3,1,1,3,Klasse III
28BJK5,1,1,1,Klasse I
28BJN9,1,1,2,Klasse II
28BKF4,1,1,1,Klasse I
28BKF9,1,1,1,Klasse I
28BKP7,1,1,2,Klasse II
28BKS3,1,1,1,Klasse I
28BKS9,1,1,3,Klasse III
28BLB4,1,1,3,Klasse III
28BLF3,1,1,1,Klasse I
28BLL5,1,1,1,Klasse I
28BLL7,1,1,1,Klasse I
28BLN2,1,1,1,Klasse I
28BLN6,1,1,1,Klasse I
28BLN7,1,1,1,Klasse I
28BLR3,1,1,1,Klasse I
28BLV1,1,1,3,Klasse III
28BND5,1,1,3,Klasse III
28BNS8,1,1,1,Klasse I
28BNZ1,1,1,3,Klasse III
28BNZ7,1,1,2,Klasse II
28BPB1,1,1,1,Klasse I
28BPD7,1,1,1,Klasse I
28BPJ4,1,1,1,Klasse I
28BPJ8,1,1,1,Klasse I
28BPJ9,1,1,3,Klasse III
28BPV6,1,1,1,Klasse I
28BPZ8,1,1,1,Klasse I
28BPZ9,1,1,1,Klasse I
28BRB2,1,1,1,Klasse I
28BRB4,1,1,3,Klasse III
28BRD5,1,1,B,Klasse B
28BRJ8,1,1,1,Klasse I
28BRV2,1,1,3,Klasse III
28BSN7,1,1,3,Klasse III
28BSN9,1,1,3,Klasse III
28BST9,1,1,1,Klasse I
28BTG9,1,1,3,Klasse III
28BTS1,1,1,A,Klasse A
29BDH9,1,1,1,Klasse I
29BFH4,1,1,1,Klasse I
29BFT8,1,1,3,Klasse III
29BGB9,1,1,3,Klasse III
29BGZ8,1,1,3,Klasse III
29BHB8,1,1,3,Klasse III
29BHN2,1,1,1,Klasse I
29BHP6,1,1,1,Klasse I
29BHP7,1,1,1,Klasse I
29BHP8,1,1,1,Klasse I
29BHR2,1,1,1,Klasse I
29BHR5,1,1,1,Klasse I
29BHS1,1,1,1,Klasse I
29BHV2,1,1,2,Klasse II
29BHV4,1,1,2,Klasse II
29BHV8,1,1,1,Klasse I
29BHX3,1,1,1,Klasse I
29BHZ7,1,1,B,Klasse B
29BJK5,1,1,1,Klasse I
29BJL2,1,1,3,Klasse III
29BJN4,1,1,3,Klasse III
29BJN9,1,1,2,Klasse II
29BJR3,1,1,3,Klasse III
29BKD2,1,1,1,Klasse I
29BKF4,1,1,1,Klasse I
29BKF9,1,1,1,Klasse I
29BKG1,1,1,1,Klasse I
29BKN4,1,1,1,Klasse I
29BKR3,1,1,1,Klasse I
29BLL7,1,1,1,Klasse I
29BLN2,1,1,1,Klasse I
29BLN6,1,1,1,Klasse I
29BLN7,1,1,1,Klasse I
