AreaManagerId,AreaId,StartDateSpecifications,Capacity,EndDateSpecifications,ChargingPointCapacity,DisabledAccess,MaximumVehicleHeight,LimitedAccess
2001,1927_GRAAF,20171121165337,18,,0,0,0,N
2582,P6_AIRPPL,20200225135907,270,,0,0,0,N
2582,P2_AIRPPL,20200225140735,179,,0,0,0,N
2582,P3_FAIROA,20200225095131,1374,,0,0,0,N
2199,703_PRKRY,20191008111256,160,,0,0,0,N
2199,2199_MEERS,20200228112313,88,,0,0,0,N
2199,24_PRSTE,20191003142515,7,,0,0,0,N
2001,1884_RIJPW,20171121163827,12,,0,0,0,N
2199,1509_PRTER,20191001081934,15,,0,0,0,N
505,505_RIED,20200716143339,46,,0,0,200,N
153,153_MOO,20201104115900,100,,0,0,200,N
505,505_ACHT,20201216140807,370,,2,0,200,N
2453,80_B1,20201123160100,150,,0,,0,N
995,995_ZIEK,20201123154942,220,,0,1,0,N
153,153_CPENS,20200612144658,20,,0,0,0,N
2001,569_TERAAR,20171122095049,14,,0,0,0,N
935,NBRUG,20141101000000,0,20991231235959,0,0,200,
2001,2001_CPNIE,20171108094820,44,,0,0,0,N
935,SPARK,20141101000000,0,20991231235959,0,0,0,
2001,1924_STELL,20171121165022,20,,0,0,0,N
2449,106_CITA,20191219141607,550,,0,0,220,N
2449,106_TRIA,20191219141642,560,,2,0,210,N
1680,1680_CPGIE,20191219114306,25,,0,,0,N
2001,575_NOORDW,20171122095425,10,,0,0,0,N
2001,569_NIEUWV,20171122093813,5,,0,0,0,N
1930,1930_THEA,20161004111358,650,,0,0,210,N
141,141_CS,20141101000000,0,20991231235959,0,0,0,
2001,1892_NIEUW,20171121164847,15,,0,0,0,N
2001,1884_LEIMU,20171121163622,6,,0,0,0,N
1927,1927_CPPAP,20191219122554,100,,0,,0,N
356,356_GARHT,20201229123422,0,,0,,0,N
1598,1598_CPHAV,20191219110907,26,,0,,0,N
2199,632_PRWOER,20191017094733,172,,0,0,0,N
938,938_PROO,20191018162431,90,,0,0,205,N
356,356_GARCP,20201229123339,770,,0,,200,N
307,307_PTOMK,20201228141945,38,,0,0,0,N
150,150_LEEUW,20200810152555,165,,4,1,200,N
80,80_OLDE,20170509100304,525,,0,0,220,N
80,80_KLAN,20170509100231,625,,0,0,200,N
80,80_HOEK,20170509100205,390,,0,0,210,N
80,80_ZAAI,20170509100322,720,,0,0,210,N
2459,599_BIG,20141101000000,775,20991231235959,0,1,210,
141,141_CAMPER,20170608152256,6,,0,0,0,N
2199,2199_PRZOE,20191008113725,537,,0,0,0,N
2459,599_BLAA,20141101000000,125,20991231235959,0,0,190,
2199,986_PRKLRA,20190926163514,16,,0,0,0,N
2199,18_PRHOO,20190923145201,19,,0,0,0,N
713,NIEUWEWEG,20210120114520,3,,0,1,0,J
888,888_PRSPA,20191018161106,35,,0,0,0,N
141,141_HKEL,20170608135712,125,,0,0,200,N
2199,1742_PRHOL,20191009142346,0,,0,0,0,N
713,ZEEWEG3,20210120122817,20,,0,1,0,J
2460,957_STAT,20141101000000,350,20991231235959,0,0,220,
153,153_HEEK,20170613095115,1700,,0,0,210,N
153,153_IRE,20170613102800,525,,0,0,200,N
153,153_BROU,20170613103913,70,,0,0,200,N
153,153_STAT,20170613103134,335,,0,0,200,N
153,010106,20170613093221,335,,0,0,200,N
995,995_NERI,20170615125158,256,,4,1,210,J
1916,1916_P4+2,20210301122936,133,,9,,210,N
1621,1621_PRBER,20191219112019,177,,0,,210,N
2199,1987_PRZUI,20190926114839,52,,0,0,0,N
321,321_OUDEDO,20210330153041,55,,0,,0,N
281,WLP,20170621090616,588,,30,1,210,N
236,34500,20170608094545,0,,0,0,0,N
713,ALBREGTSTR,20210119145004,25,,0,0,240,N
1916,1916_P2-2,20210301121728,646,,11,,210,N
2448,518_TORE,20160615163919,300,,2,0,200,J
2448,518_HELI,20160616114906,230,,0,0,200,J
321,321_ACHTER,20210330152220,173,,0,,0,N
340,340_BUITEN,20210330142316,42,,0,,0,N
589,589_DOCPLE,20210408131726,50,,0,,0,N
546,546_GARE,20201216112316,475,,0,1,210,N
351,351_KERKPL,20210330160836,41,,0,,0,N
713,WALENDIJK,20210120115407,900,,2,1,0,J
2460,957_KAPL,20141101000000,400,20991231235959,0,0,210,
1970,1970_CPDOK,20191111141519,38,,0,0,0,N
150,150_CPDEV,20170623112214,97,,0,0,0,N
505,505_SPOR,20201216152817,635,,0,0,200,N
150,150_CPBAT,20170623101044,25,,0,0,0,N
1883,1883_ABC,20200921153546,275,,0,0,190,N
150,150_PRDCO,20170623095344,130,,0,0,0,N
361,361_KAZER,20170623152048,87,,2,0,200,J
505,505_SPUI,20201216142651,520,,0,0,200,N
150,ZONE_4,20211214121623,0,,0,,0,N
1900,1900_NMP,20201125152335,170,,0,,200,N
80,80_OOSTSTR,20170629175214,250,,0,0,220,N
193,193_HLAND,20170620110229,335,,2,0,0,N
1731,1731_CPSPI,20190926165512,20,,0,,0,N
1731,1731_CPBE1,20190926122156,52,,0,,0,N
928,928_MAGOPL,20201102162747,95,,0,,0,N
935,935_SP3,20200907161437,91,,0,0,210,N
995,995_AGDE,20201130152820,263,,0,1,200,N
928,928_EINDER,20201102162626,40,,0,,0,N
153,153_PRZUID,20170712092236,225,,0,0,380,N
928,928_HERTLN,20201102162800,60,,0,,0,N
200,200_CPLAN,20170801132630,80,,0,0,0,N
1742,1742_CPHOL,20170815095552,9,,0,0,0,N
1742,1742_CPMAR,20170815095916,60,,0,0,0,N
2461,518_ZPAD,20141101000000,450,20991231235959,0,0,200,
983,983_MAASK,20170823103530,200,,0,0,0,N
202,202_VPOO,20141101000000,125,20150204235959,6,0,208,
983,983_MAASP4,20170823103541,80,,0,0,0,N
983,983_MAWA,20170823103623,390,,0,0,0,N
542,542_PRKRI,20191119140601,64,,0,,0,N
2199,285_PRKLA,20191018140557,34,,0,0,0,N
928,928_EUROPA,20201102162541,74,,0,,0,N
2199,1586_PRLIG,20191003154203,54,,0,0,0,N
928,928_ORLA,20201102154508,90,,0,0,200,N
928,928_KERKPL,20201102162614,35,,0,,0,N
2199,189_PRWIE,20191018141752,75,,0,0,0,N
2199,377_PRBLO,20191008113903,12,,0,0,0,N
2199,275_PRRHE,20191008111107,3,,0,0,0,N
2199,626_PRVOO1,20191009140602,76,,0,0,0,N
2199,1700_PRVRO,20191001090926,42,,0,0,0,N
2199,1742_PRRIJ,20191018141317,98,,0,0,0,N
59,59_CPKOO,20150601000000,20,20991231235959,0,0,0,
2199,18_PRMAR,20191001134244,41,,0,0,0,N
2199,1709_PRZEH,20191015145814,180,,0,0,0,N
928,928_OLDHPL,20201102162646,50,,0,,0,N
613,613_PRPOO,20150601000000,171,20991231235959,0,1,0,
523,523_CPHAR,20191119135600,42,,0,,0,N
928,928_PRCEN,20200626145756,120,,0,,0,N
855,855_TIVOLI,20150301000000,775,20991231235959,2,0,190,
855,855_KONPL,20150301000000,450,20991231235959,0,0,190,
855,855_NSTAP,20150301000000,860,20991231235959,0,0,190,
855,855_PVPLEI,20150301000000,780,20991231235959,0,0,190,
855,855_SCHB,20150301000000,540,20991231235959,2,0,190,
855,855_EMMA,20150301000000,297,20991231235959,0,0,190,
2199,1525_PRSAS,20191003145609,520,,0,0,0,N
928,BZ1,20201103144912,95,,0,,0,N
