FID,vrt_code,vrtnaam,haven_vaar,meetpunt,doorv_hoog,ref_vlak,hoogte_t_n,opmerking,bhr_naam,bhr_afdeli,bhr_type,bhr_be_adr,bhr_b_plts,bhr_postad,bhr_pos_pc,bhr_p_plts,bhr_tel_nr,bhr_fax_nr,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
hoogspanningsleiding.109,022,Van Harinxmakanaal,,32.8,30.1,KP,30.1,,,,,,,,,,,,,21768,,,POINT (53.17379999899998 5.8607000000000085)
hoogspanningsleiding.110,124a,Donge en Noordergat,,4.421,,NAP,27,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,21770,,,POINT (51.693100001999994 4.844400000000007)
hoogspanningsleiding.111,022,Van Harinxmakanaal,,31.3,30.1,KP,30.1,,,,,,,,,,,,,22018,,,POINT (53.186500002 5.854300000000023)
hoogspanningsleiding.112,012,"Slochterdiep, Afwateringskanaal van Duurswold, Schildmeer en Groeve (zuidelijk gedeelte)",,3.516,,KP,16.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,22109,,,POINT (53.235199998999974 6.701499999000021)
hoogspanningsleiding.113,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,116.5,20,KP,20,,,,,,,,,,,,,22647,,,POINT (50.95109999900001 5.706599998999991)
hoogspanningsleiding.114,211a,Dubbele Wiericke,,1.036,,KP,10.4,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,22797,,,POINT (52.02289999999999 4.806400000999986)
hoogspanningsleiding.115,242a,Ringvaart van de Heerhugowaard (oostelijk gedeelte),,0.45,,KP,15,,,,,,,,,,,,,22809,,,POINT (52.63789999900001 4.876899998999988)
hoogspanningsleiding.116,234,Noordhollandsch Kanaal,,12.098,,KP,40.1,,,,,,,,,,,,,22940,,,POINT (52.474599997999974 4.947000000999992)
hoogspanningsleiding.117,076,Hoogeveensche Vaart en Verlengde Hoogeveensche Vaart,,49.506,,KP,7.8,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,23231,,,POINT (52.723000001 6.812800001000028)
hoogspanningsleiding.118,206,Oude Rijn,,10.668,18.4,KP,18.4,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,23604,,,POINT (52.10049999900002 4.940000000999987)
hoogspanningsleiding.119,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,29.209,,NAP,27,"Hoogte: KP+17,00m=NAP+27,00m. ",,,,,,,,,,,,23676,,,POINT (52.22410000100001 6.581500000999995)
hoogspanningsleiding.120,076,Hoogeveensche Vaart en Verlengde Hoogeveensche Vaart,,21.307,,KP,17.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,23722,,,POINT (52.71300000000002 6.430300000999978)
hoogspanningsleiding.162,238,Trekvaart van Het Schouw naar Monnickendam,,1.594,,KP,12,,,,,,,,,,,,,33019,,,POINT (52.428199999000014 4.971099998999989)
hoogspanningsleiding.121,086,"Zwolle-IJsselkanaal, Zwarte Water, Zwolsche Diep, Ramsdiep en Schokkerhaven",,32.927,,MP,31.4,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,23875,,,POINT (52.6182 5.865099999999984)
hoogspanningsleiding.122,108,Nieuwe Merwede en Hollandsch Diep,,6.715,,NAP,41,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,24283,,,POINT (51.800999999 4.807799998999997)
hoogspanningsleiding.123,086a,Overijsselsche Vecht,,26.215,,MP,28,"MP+28,0m=NAP+27,60m. 110 kV lijn tussen mastnrs. 13 en 14.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,24328,,,POINT (52.52109999999999 6.168900001999987)
hoogspanningsleiding.124,125,Markkanaal,,3.405,,KP,28.2,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,24739,,,POINT (51.64009999899997 4.794100001000004)
hoogspanningsleiding.125,234,Noordhollandsch Kanaal,,4.964,,KP,32.4,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,24838,,,POINT (52.4135 4.940999999999974)
hoogspanningsleiding.126,203,Trekvaart Haarlem naar Leiden,,13.926,,KP,18,,,,,,,,,,,,,24998,,,POINT (52.203899998 4.482000001000017)
hoogspanningsleiding.127,225,Amsterdam-Rijnkanaal,,5.409,,KP,22.4,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,25038,,,POINT (52.344799998999974 4.993700000999979)
hoogspanningsleiding.128,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,69.053,,SP,28.2,"Hoogte: SP+28,25m=NAP+39,00m.",,,,,,,,,,,,25254,,,POINT (51.32820000100003 6.117899998999974)
hoogspanningsleiding.129,039,Vaarweg van het Prinses Margrietkanaal naar de Kuinder of Tjonger,,12.447,,KP,20,,,,,,,,,,,,,25508,,,POINT (52.97419999900001 5.887800001000016)
hoogspanningsleiding.130,124,Amertak en Wilhelminakanaal,,1.561,,NAP,32.8,,,,,,,,,,,,,25905,,,POINT (51.69770000099999 4.829100002000018)
hoogspanningsleiding.131,084d,"Ganzendiep, Goot en Scheepvaartgat",,5.456,,MP,19.6,,,,,,,,,,,,,26182,,,POINT (52.59250000100002 5.938099998999974)
hoogspanningsleiding.132,254,Vaarweg van de Pampusgeul naar het Gooimeer,,8.437,,MP,23,,,,,,,,,,,,,26267,,,POINT (52.32769999999999 5.136300000999995)
hoogspanningsleiding.133,203,Trekvaart Haarlem naar Leiden,,15.719,,KP,35.8,,,,,,,,,,,,,26367,,,POINT (52.18829999899998 4.485800002000019)
hoogspanningsleiding.134,019,Vaarweg Veendam-Stadskanaal-Ter Apel,,26.862,,KP,20.4,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,26615,,,POINT (52.91890000199999 7.037500001000012)
hoogspanningsleiding.135,044,Vaarweg van het Prinses Margrietkanaal naar de Ossenzijlersloot,,3.146,,KP,30.5,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,26761,,,POINT (52.88589999800001 5.742600001000028)
hoogspanningsleiding.136,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,7.419,,NAP,42,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,26888,,,POINT (51.91809999899999 5.982099999000013)
hoogspanningsleiding.137,113,Spui en Beningen,,7.146,,NAP,28,,,,,,,,,,,,,27081,,,POINT (51.817299999 4.342799999000022)
hoogspanningsleiding.138,022,Van Harinxmakanaal,,31.3,30.1,KP,30.1,,,,,,,,,,,,,27263,,,POINT (53.18629999799998 5.854400000999988)
hoogspanningsleiding.139,110,Wantij en Otterkanaal,,5.039,,NAP,22.9,,,,,,,,,,,,,27564,,,POINT (51.80449999899997 4.738699999000005)
hoogspanningsleiding.140,124,Amertak en Wilhelminakanaal,,54.102,,KP,30.5,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,27765,,,POINT (51.495499998000014 5.402100001000008)
hoogspanningsleiding.141,064,Franekervaart,,0.799,,KP,19.8,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,27891,,,POINT (53.17289999899998 5.597300000000018)
hoogspanningsleiding.142,076,Hoogeveensche Vaart en Verlengde Hoogeveensche Vaart,,23.543,,KP,12.1,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,28240,,,POINT (52.71170000000001 6.463199998999983)
hoogspanningsleiding.143,231b,Larservaart,,0.23,,NAP,18.6,"Hoogte: KP+24,80m=NAP+18,60m. ",nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,28400,,,POINT (52.48480000000001 5.504599999999982)
hoogspanningsleiding.144,084d,"Ganzendiep, Goot en Scheepvaartgat",,5.387,,MP,19.6,,,,,,,,,,,,,28431,,,POINT (52.591899997999974 5.937600002000011)
hoogspanningsleiding.145,086,"Zwolle-IJsselkanaal, Zwarte Water, Zwolsche Diep, Ramsdiep en Schokkerhaven",,9.113,,MP,30.3,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,28491,,,POINT (52.57339999800001 6.10330000099998)
hoogspanningsleiding.146,229,Vaarweg vanaf het IJmeer via de Randmeren naar het Ketelmeer,,43.8,27.8,NAP,27.8,"Hoogte: MP (winterpeil)+28,10m=NAP+27,80m / lijn tussen mastnrs. 18 en 19.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,28778,,,POINT (52.37330000100002 5.625500000999978)
hoogspanningsleiding.147,005a,Aduarderdiep (benoorden het Van Starkenborghkanaal),,4.399,,KP,15,,,,,,,,,,,,,29283,,,POINT (53.299199998000006 6.481299999999976)
hoogspanningsleiding.148,124a,Donge en Noordergat,,4.321,,NAP,27,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,29987,,,POINT (51.693599999000014 4.845600002000026)
hoogspanningsleiding.149,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",,1.811,,NAP,65,,Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,30562,,,POINT (51.89440000100001 4.59409999799999)
hoogspanningsleiding.150,037,Vaarweg van Het Deel langs Akkrum en Gorredijk naar de Drentsche Hoofdvaart,,0.7,,KP,29.8,,,,,,,,,,,,,30780,,,POINT (53.046899999999994 5.818500001000018)
hoogspanningsleiding.151,016a,Vereenigd- of B.L. Tijdenskanaal,,2.801,,KP,0,,,,,,,,,,,,,31180,,,POINT (53.14999999899999 7.186199999999985)
hoogspanningsleiding.152,082,Zijkanaal naar Almelo van de Twenthekanalen,,13.843,,KP,17.8,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,31197,,,POINT (52.36100000099998 6.62009999899999)
hoogspanningsleiding.153,006,"Vaarwegen in de stad Groningen, Reitdiep en Lauwersmeer",,7.141,,KP,30.4,Tussen mastnrs. 33 en 34.,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,31489,,,POINT (53.24089999900002 6.526000001)
hoogspanningsleiding.154,210,"Schie-Schiekanaal, Noorderkanaal, Rotte, Hennipsloot en Ringvaart van de Zuidplaspolder",,26.839,,BP,4.1,,,,,,,,,,,,,31673,,,POINT (51.97740000099998 4.651000001)
hoogspanningsleiding.155,150i2,Haven van Sprang-Capelle of Capelse Haven,,0.774,,NAP,30.2,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,31929,,,POINT (51.704999998000005 4.983899999000016)
hoogspanningsleiding.156,124a,Donge en Noordergat,,1.943,,NAP,30.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,32674,,,POINT (51.70490000000001 4.865800001000025)
hoogspanningsleiding.157,060,Lemmer - Delfzijl,,90.6,30,KP,30,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,32708,,,POINT (53.06069999900001 5.7993000000000166)
hoogspanningsleiding.158,225,Amsterdam-Rijnkanaal,,6.987,,KP,20.4,380 KV lijn tussen mast nrs 158 en 159.,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,32801,,,POINT (52.33539999999999 5.011000000000024)
hoogspanningsleiding.159,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,90.3,20,KP,20,,,,,,,,,,,,,32882,,,POINT (51.15890000000002 5.6107000000000085)
hoogspanningsleiding.160,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,120.1,,SP,21.5,"Hoogte: SP+21,50m=NAP+29,00m.",,,,,,,,,,,,32914,,,POINT (51.692499999000006 5.958900001000018)
hoogspanningsleiding.161,086a,Overijsselsche Vecht,,25.068,,MP,16.4,"MP+16,4m=NAP+16,0m. 380 kV-lijn tussen mastnrs. 92 en 93.",nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,33012,,,POINT (52.52259999900002 6.1831000000000245)
hoogspanningsleiding.163,044,Vaarweg van het Prinses Margrietkanaal naar de Ossenzijlersloot,,14.375,,KP,30,,,,,,,,,,,,,33302,,,POINT (52.85909999900002 5.893899999999974)
hoogspanningsleiding.164,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,1.849,,KP,36.9,,Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,33420,,,POINT (52.42460000099999 4.699299999000004)
hoogspanningsleiding.165,038,Kanaal van het Nieuwediep naar de Heeresloot,,7.811,,KP,25.3,,,,,,,,,,,,,33610,,,POINT (53.006700002 5.885000002000027)
hoogspanningsleiding.166,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,26.42,,KP,25,,,,,,,,,,,,,33829,,,POINT (51.02829999800002 5.793400001000009)
hoogspanningsleiding.167,016,"Westerwoldsche Aa, Pekel-Aa en Pekelerhoofddiep",,29.743,,KP,15,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,33883,,,POINT (53.05510000100003 6.94319999999999)
hoogspanningsleiding.168,012,"Slochterdiep, Afwateringskanaal van Duurswold, Schildmeer en Groeve (zuidelijk gedeelte)",,17.508,,KP,16.1,110 kV lijn.,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,33890,,,POINT (53.29730000000001 6.845400002000019)
hoogspanningsleiding.169,232,Hoge Vaart,,15.27,,NAP,19.6,"Hoogte: KP+24,80m=NAP+19,60m / lijn tussen mastnrs. 29 en 30.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,34201,,,POINT (52.30970000100001 5.347699999999975)
hoogspanningsleiding.170,060,Lemmer - Delfzijl,,36.4,23,KP,23,,,,,,,,,,,,,34287,,,POINT (53.26049999899999 6.470600002000026)
hoogspanningsleiding.171,152a3,Stuwkanaal Roermond,,2.021,27.5,SP,27.5,"SP+27,50m=NAP+41,60m.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,34332,,,POINT (51.22140000000002 5.981100000000026)
hoogspanningsleiding.172,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,135.647,,SP,32.5,"Hoogte: SP+32,50m=NAP+40,00m.",nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,34542,,,POINT (51.75580000100001 5.802700001999995)
hoogspanningsleiding.173,245a,Van Ewijcksvaart en Boezem van de Zijpe,,6.967,,KP,11.3,,,,,,,,,,,,,35228,,,POINT (52.84360000100003 4.80970000100001)
hoogspanningsleiding.174,218,Ringvaart van de Haarlemmermeerpolder (noordelijk gedeelte),,7.463,,KP,20.5,,,,,,,,,,,,,35376,,,POINT (52.38089999900001 4.699000001000002)
hoogspanningsleiding.175,241,Beemsterringvaart,,3.706,,KP,8,,,,,,,,,,,,,35427,,,POINT (52.565999999999974 4.862900000000025)
hoogspanningsleiding.176,043,Kuinder of Tjonger,,7.243,,KP,20,,,,,,,,,,,,,35896,,,POINT (52.90700000200002 5.931200000999979)
hoogspanningsleiding.177,003c,Hoendiep,,9.471,,KP,30,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,36088,,,POINT (53.2097 6.47610000100002)
hoogspanningsleiding.178,227e,Naardertrekvaart,,3.103,,KP,11.4,,,,,,,,,,,,,36337,,,POINT (52.318100001999994 5.103500000999986)
hoogspanningsleiding.179,124,Amertak en Wilhelminakanaal,,1.348,,NAP,29,,,,,,,,,,,,,36400,,,POINT (51.699599999999975 4.828499998999973)
hoogspanningsleiding.180,039c,"Deel, Monnikerak en Heeresloot",,6.299,,KP,20,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,36507,,,POINT (52.97140000000002 5.905200001000026)
hoogspanningsleiding.181,231,Lage Vaart,,27.763,,NAP,18.6,"Hoogte: KP+24,80m=NAP+18,60m.",nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,36682,,,POINT (52.50629999900002 5.540700000000015)
hoogspanningsleiding.182,037,Vaarweg van Het Deel langs Akkrum en Gorredijk naar de Drentsche Hoofdvaart,,0.9,,KP,30.1,,,,,,,,,,,,,36804,,,POINT (53.04789999899998 5.82099999899998)
hoogspanningsleiding.183,044c,Vaargeul in Tjeukemeer naar St. Nicolaasga,,3.639,,KP,12,,,,,,,,,,,,,37043,,,POINT (52.910199999999975 5.761599998999998)
hoogspanningsleiding.184,039,Vaarweg van het Prinses Margrietkanaal naar de Kuinder of Tjonger,,3.773,,KP,29.8,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,37213,,,POINT (53.0385 5.823199998999996)
hoogspanningsleiding.185,044b,Kuinder of Tjonger en Linde naar de Ossenzijlersloot,,14,,KP,13,,,,,,,,,,,,,37382,,,POINT (52.805500000999984 5.8557999989999985)
hoogspanningsleiding.186,210,"Schie-Schiekanaal, Noorderkanaal, Rotte, Hennipsloot en Ringvaart van de Zuidplaspolder",,26.739,,BP,4.1,,,,,,,,,,,,,37513,,,POINT (51.9778 4.649700000999985)
hoogspanningsleiding.187,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,5.577,,NAP,42.5,Lijn tussen mastnrs. 41 en 42.,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,37716,,,POINT (51.90599999900002 5.999699998999972)
hoogspanningsleiding.188,075,Drentsche Hoofdvaart,,38.753,,KP,18,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,38504,,,POINT (52.72720000100003 6.200499999999977)
hoogspanningsleiding.189,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,112.51,,NAP,48.5,,,,,,,,,,,,,38953,,,POINT (51.822299998000005 4.744399998000006)
hoogspanningsleiding.190,117h,"Haringvliet, zuidelijke doorvaart Haringvlietbrug",,1.886,,NAP,39,,,,,,,,,,,,,39036,,,POINT (51.71409999999997 4.396799999999985)
hoogspanningsleiding.191,087,Stadsgrachten en havens te Zwolle,,4.883,,MP,17.7,,,,,,,,,,,,,39224,,,POINT (52.50079999899998 6.126600000999986)
hoogspanningsleiding.192,094e,Enservaart,,4.989,,KP,14.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,39340,,,POINT (52.66809999899999 5.816300001000002)
hoogspanningsleiding.193,137,Kanaal door Zuid-Beveland,,8.1,,NAP,47,,nv Delta Nutsbedrijven,,ET,Poelendaelesingel 10,Middelburg,Postbus 5048,4330 KA,Middelburg,0118-692111,,,39500,,,POINT (51.45879999900001 4.008600000000001)
hoogspanningsleiding.194,112,Dordtsche Kil,,4.03,,NAP,49.5,,nv Eneco,,ET,Koperstraat 19,Rotterdam,Postbus 899,2900 AW,Capelle aan de IJssel,010-4550533,,,39723,,,POINT (51.76419999799998 4.626300000000015)
hoogspanningsleiding.195,011,Damsterdiep,,16.97,,KP,18.3,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,40442,,,POINT (53.31899999799998 6.822400000000016)
hoogspanningsleiding.196,060,Lemmer - Delfzijl,,63.7,30,KP,30,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,40658,,,POINT (53.20349999899997 6.0870000009999785)
hoogspanningsleiding.197,228,Eem en havens van Amersfoort,,3.264,,MP,23.4,,,,,,,,,,,,,40894,,,POINT (52.175900001 5.347899998999992)
hoogspanningsleiding.198,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,108.213,,NAP,41,,,,,,,,,,,,,41140,,,POINT (51.81779999999998 4.8031999990000145)
hoogspanningsleiding.199,244,Vaarweg Stolpen-Schagen-Kolhorn-Medemblik-IJsselmeer,,7.077,,KP,11,,,,,,,,,,,,,41153,,,POINT (52.79940000200003 4.832400001999986)
hoogspanningsleiding.200,094c,Luttelgeestervaart,,1.092,,KP,7.4,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,41706,,,POINT (52.71779999900002 5.824000001000002)
hoogspanningsleiding.201,242,Vaarweg Alkmaar-Huigendijk-Ursum-Avenhorn,,6.394,,KP,9.2,,,,,,,,,,,,,41740,,,POINT (52.632300000999976 4.835800000000006)
hoogspanningsleiding.202,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,5.561,,KP,47,,Electrabel (B),,ET,,,,,,,,,42327,,,POINT (51.119399998000006 3.7562999990000208)
hoogspanningsleiding.203,236,"Zaan, Tap- of Tochtsloot, Markervaart en Alkmaardermeer",,4.699,,KP,36,,,,,,,,,,,,,42736,,,POINT (52.45540000099999 4.812399997999989)
hoogspanningsleiding.204,211,Hollandsche IJssel,,13.911,,NAP,67,,Tennet,,ET,Utrechtseweg 310 ,Arnhem ,Postbus 718 ,6812 AR,Arnhem ,026-3731111,,,43003,,,POINT (51.93549999999999 4.621899999999982)
hoogspanningsleiding.205,124,Amertak en Wilhelminakanaal,,58.786,,KP,26.9,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,43649,,,POINT (51.504500001999986 5.466499999000007)
hoogspanningsleiding.206,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,28.44,41.3,NAP,41.3,150 kV lijn tussen mastnrs. 1 en 2.,nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,43683,,,POINT (51.860199998999974 5.837099998999975)
hoogspanningsleiding.207,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,44.419,21.3,SP,21.3,"Hoogte: SP+21,35m=NAP+42,15m.",nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,43968,,,POINT (51.168200001 5.911600001000011)
hoogspanningsleiding.208,076,Hoogeveensche Vaart en Verlengde Hoogeveensche Vaart,,39.335,,KP,17.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,43991,,,POINT (52.728999998000006 6.678399999000021)
hoogspanningsleiding.209,082,Zijkanaal naar Almelo van de Twenthekanalen,,1.003,,KP,27.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,44119,,,POINT (52.247900001999994 6.650800000999993)
hoogspanningsleiding.210,005a,Aduarderdiep (benoorden het Van Starkenborghkanaal),,3.028,,KP,15,,,,,,,,,,,,,44138,,,POINT (53.28699999999998 6.484399999999994)
hoogspanningsleiding.211,150f1,Kraaijenbergse Plassen,,0.916,,SP,9.6,"SP+9,60m=NAP+17,10m.",nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,44277,,,POINT (51.754399999999976 5.837299998999981)
hoogspanningsleiding.212,150h,Haven van Waalwijk,,0.705,,KP,29.2,"Hoogte: KP+29,20m=NAP+29,70m.",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,44707,,,POINT (51.70609999800001 5.057000000000016)
hoogspanningsleiding.213,204a,"Haarlemmer Trekvaart, traject: Leiden - Warmonder Leede",,0.547,,KP,30,,,,,,,,,,,,,44878,,,POINT (52.182000000000016 4.489700001000017)
hoogspanningsleiding.214,039c,"Deel, Monnikerak en Heeresloot",,5.682,,KP,20.1,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,44958,,,POINT (52.97569999799998 5.899599998999975)
hoogspanningsleiding.215,008,Winsumerdiep,,6.487,,KP,15,,,,,,,,,,,,,45464,,,POINT (53.332699999 6.496800001999986)
hoogspanningsleiding.216,039b,Diepesloot en Polsloot naar de Boorne te Akkrum,,0.507,,KP,25.1,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,45535,,,POINT (53.03680000100002 5.837299998999981)
hoogspanningsleiding.217,222a1,Gein,,0.719,,KP,15,,Particulier,,PART,,,,,,,,,45549,,,POINT (52.29820000000001 5.013999999000021)
hoogspanningsleiding.218,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,42.001,,NAP,33.3,"Hoogte: KP+17,30m=NAP+33,30m",Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,45659,,,POINT (52.2509 6.759100000999979)
hoogspanningsleiding.219,060,Lemmer - Delfzijl,,25.6,47,KP,47,-,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,45723,,,POINT (53.22520000100002 6.608600002000003)
hoogspanningsleiding.220,075,Drentsche Hoofdvaart,,0.803,,KP,20.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,45955,,,POINT (52.996699999999976 6.519699998000021)
hoogspanningsleiding.221,005,Aduarderdiep (bezuiden het Van Starkenborghkanaal),,4.348,,KP,18.8,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,45958,,,POINT (53.22230000000002 6.485800002000019)
hoogspanningsleiding.222,206,Oude Rijn,,44.599,,KP,42.6,,,,,,,,,,,,,46287,,,POINT (52.128199998000014 4.5767999999999915)
