FID,DATUM,VAN_KNPNR,NAAR_KNPNR,STRENGNR,STRENGTYPE,AFVOERTYPE,JAAR,JAAR_RECON,MATERIAAL,VORM,VANBOBPEIL,NARBOBPEIL,BREEDTE,HOOGTE,BODEMBRDT,LENGTE,INSPECTIE,JAARVERV_INDICATIE,DD_BIJGEWERKT,GEOMETRIE
BOR_RIO_LEIDINGEN.1536,2022-11-09,11241,11242,1,regen,gescheiden,1967,1967,beton,rond,5.82,5.89,300,300,130,36.14,2015-05-19,2085,2023-02-01,"LINESTRING (183052.067 424556.627, 183085.862 424569.432)"
BOR_RIO_LEIDINGEN.1537,2022-11-09,11241,Z11127,1,regen,gescheiden,1967,1967,beton,rond,5.82,5.8,400,400,130,20.32,2015-05-19,2085,2023-02-01,"LINESTRING (183052.067 424556.627, 183033.156 424549.188)"
BOR_RIO_LEIDINGEN.1538,2022-11-09,11242,11277,1,regen,gescheiden,1967,1967,beton,rond,6.5,6.37,300,300,130,38.69,2013-10-14,2083,2023-02-01,"LINESTRING (183085.862 424569.432, 183099.478 424533.226)"
BOR_RIO_LEIDINGEN.1539,2022-11-09,11243,11244,1,regen,gescheiden,1967,1967,beton,rond,6.04,6.11,300,300,130,46.35,2015-05-19,2085,2023-02-01,"LINESTRING (183174.946 424603.34, 183218.288 424619.65)"
BOR_RIO_LEIDINGEN.1540,2022-11-09,11243,11267,1,regen,gescheiden,1967,1967,beton,rond,6.5,6.45,300,300,130,37.85,2013-10-14,2083,2023-02-01,"LINESTRING (183174.946 424603.34, 183188.22 424567.854)"
BOR_RIO_LEIDINGEN.1541,2022-11-09,11244,11245,1,regen,gescheiden,1967,1967,beton,rond,6.11,6.18,300,300,130,47.11,2015-05-19,2085,2023-02-01,"LINESTRING (183218.288 424619.65, 183262.52 424635.876)"
BOR_RIO_LEIDINGEN.1542,2022-11-09,11245,11246,1,regen,gescheiden,1967,1967,beton,rond,6.42,6.45,300,300,130,26.28,2015-05-19,2085,2023-02-01,"LINESTRING (183262.52 424635.876, 183271.781 424611.269)"
BOR_RIO_LEIDINGEN.1543,2022-11-09,11245,11248,1,regen,gescheiden,1967,1967,beton,rond,6.18,6.27,300,300,130,39.09,2013-10-14,2083,2023-02-01,"LINESTRING (183262.52 424635.876, 183248.732 424672.532)"
BOR_RIO_LEIDINGEN.1544,2022-11-09,11246,11247,1,regen,gescheiden,1967,1967,beton,rond,6.45,6.5,300,300,130,34.64,2015-05-11,2025,2023-02-01,"LINESTRING (183271.781 424611.269, 183304.348 424623.096)"
BOR_RIO_LEIDINGEN.1545,2022-09-05,11249,11202,1,regen,water it,2011,2011,beton,rond,8.3,8.29,400,400,400,10.17,2011-04-22,2081,2023-02-01,"LINESTRING (184683.53 427443.934, 184674.892 427449.178)"
BOR_RIO_LEIDINGEN.1546,2022-11-09,11250,11251,1,vuil,gescheiden,1967,1967,beton,rond,5.12,5.24,300,300,130,43.64,2015-05-19,2040,2023-02-01,"LINESTRING (183245.237 424677.69, 183260.593 424636.847)"
BOR_RIO_LEIDINGEN.1547,2022-11-09,11251,11252,1,vuil,gescheiden,1967,1967,beton,rond,5.33,5.55,300,300,130,29.39,2015-05-19,2085,2023-02-01,"LINESTRING (183260.593 424636.847, 183271.048 424609.37)"
BOR_RIO_LEIDINGEN.1548,2022-11-09,11252,11253,1,vuil,gescheiden,1967,1967,beton,rond,6.45,6.5,300,300,130,16.57,2015-05-19,2085,2023-02-01,"LINESTRING (183271.048 424609.37, 183255.513 424603.607)"
BOR_RIO_LEIDINGEN.1549,2022-11-09,11252,11254,1,vuil,gescheiden,1967,1967,beton,rond,5.55,5.67,300,300,130,38.92,2015-05-19,2085,2023-02-01,"LINESTRING (183271.048 424609.37, 183307.58 424622.803)"
BOR_RIO_LEIDINGEN.1550,2022-11-09,11254,11255,1,vuil,gescheiden,1967,1967,beton,rond,6.28,6.39,300,300,130,37.91,2015-05-19,2085,2023-02-01,"LINESTRING (183307.58 424622.803, 183294.108 424658.264)"
BOR_RIO_LEIDINGEN.1551,2022-11-09,11254,11257,1,vuil,gescheiden,1967,1967,beton,rond,5.67,5.7,300,300,130,5.1,2015-05-19,2085,2023-02-01,"LINESTRING (183307.58 424622.803, 183312.278 424624.782)"
BOR_RIO_LEIDINGEN.1552,2022-11-09,11255,11256,1,vuil,gescheiden,1967,1967,beton,rond,6.39,6.5,300,300,130,37.36,2015-05-19,2085,2023-02-01,"LINESTRING (183294.108 424658.264, 183280.868 424693.187)"
BOR_RIO_LEIDINGEN.1553,2022-11-09,11257,11258,1,vuil,gescheiden,1967,1967,beton,rond,5.7,5.83,300,300,130,46.14,2015-05-19,2085,2023-02-01,"LINESTRING (183312.278 424624.782, 183328.593 424581.623)"
BOR_RIO_LEIDINGEN.1554,2022-11-09,11258,11259,1,vuil,gescheiden,1967,1967,beton,rond,6.18,6.34,300,300,130,52.64,2015-10-07,2085,2023-02-01,"LINESTRING (183328.593 424581.623, 183279.531 424562.563)"
BOR_RIO_LEIDINGEN.1555,2022-11-09,11258,11261,1,vuil,gescheiden,1967,1967,beton,rond,5.83,5.93,300,300,130,33.43,2015-10-07,2085,2023-02-01,"LINESTRING (183328.593 424581.623, 183359.742 424593.795)"
BOR_RIO_LEIDINGEN.1556,2022-11-09,11259,11260,1,vuil,gescheiden,1967,1967,beton,rond,6.34,6.5,300,300,130,41.43,2015-05-20,2085,2023-02-01,"LINESTRING (183279.531 424562.563, 183294.766 424524.031)"
BOR_RIO_LEIDINGEN.1557,2022-11-09,1126,1127,1,regen,gescheiden v,1956,1956,beton,rond,9.38,9.26,250,250,130,39.27,2021-05-18,2046,2023-02-01,"LINESTRING (185600.099 429559.417, 185639.269 429562.154)"
BOR_RIO_LEIDINGEN.1558,2022-11-09,11261,11262,1,vuil,gescheiden,1967,1967,beton,rond,5.93,6.04,300,300,130,34.32,2015-05-19,2085,2023-02-01,"LINESTRING (183359.742 424593.795, 183347.734 424625.938)"
BOR_RIO_LEIDINGEN.1559,2022-11-09,11262,11263,1,vuil,gescheiden,1967,1967,beton,rond,6.39,6.5,300,300,130,37.05,2015-10-07,2085,2023-02-01,"LINESTRING (183347.734 424625.938, 183334.793 424660.664)"
BOR_RIO_LEIDINGEN.1560,2022-11-09,11264,11265,1,regen,gescheiden,1967,1967,beton,rond,6.5,6.33,400,400,130,57.44,2013-11-22,2083,2023-02-01,"LINESTRING (183321.632 424580.923, 183375.141 424601.906)"
BOR_RIO_LEIDINGEN.1561,2022-11-09,11265,11266,1,regen,gescheiden,1967,1967,beton,rond,6,5.9,400,400,130,33.84,2013-11-22,2083,2023-02-01,"LINESTRING (183375.141 424601.906, 183387.016 424570.219)"
