X,Y,OBJECTID,IDENTIFICATIE,HOOGTE,LOCATIE,X_GEVEL,Y_GEVEL,BRONHOUDER
4.85058681369317,51.5688481695172,166,50B0853,8.017,Lijndonkseweg 4,0065,0045,Gemeente Breda
4.75568229157008,51.5540638543956,167,50B0854,5.561,Overaseweg 110,0025,0025,Gemeente Breda
4.75065940791803,51.5503062317541,168,50B0855,3.959,Overaseweg 158,0026,0055,Gemeente Breda
4.71380795512354,51.5677718570372,169,50A0174,5.579,boerderij  hazardweg  24,-0078,+0050,Rijkswaterstaat
4.72444662157581,51.5642191277618,170,50A0175,5.509,"boerderij  "" t  eitje ""  rithsestraat  148",+0173,+0048,Rijkswaterstaat
4.7114984696107,51.570796769874,171,50A0187,4.648,huis  sprundelsebaan  100,-0356,+0026,Rijkswaterstaat
4.68826492598441,51.5808266140791,172,50A0201,5.959,bungalow  moerdijksepostlaan  8,-0046,+0040,Rijkswaterstaat
4.71249193998572,51.5854813155628,173,50A0202,4.781,huis  drielindendreef  57,-0061,+0038,Rijkswaterstaat
4.72213662256044,51.5850691415608,174,50A0203,4.465,schuur  boerdrij  vinkenburgseweg  10,+0325,+0038,Rijkswaterstaat
4.69154601508502,51.5738438430352,175,50A0217,6.797,bejaardenoord ' liesbos ' liesboslaan  315,-0125,+0075,Rijkswaterstaat
4.68349261996213,51.5554762744164,176,50A0266,7.986,boerderij  hoge  bremberg  46  w-z,+0040,+0040,Rijkswaterstaat
4.68581531056677,51.5619442665259,177,50A0267,6.607,"trafo  brembergseweg ,o-z hilsebaan",-0032,+0050,Rijkswaterstaat
4.72196948825188,51.5442767200422,178,50A0274,6.751,schuur  bij  boerderij  mastdreef  3,+0238,+0032,Rijkswaterstaat
4.7351476236547,51.5029302267126,179,50A0280,7.124,trafo z-z hazeldonksestraat-paandijkstraat,+0128,+0028,Rijkswaterstaat
4.69659734518001,51.5736850214281,180,50A0288,6.109,rooms katholieke kerk  liesboslaan  293,-0032,+0064,Rijkswaterstaat
4.71637932005527,51.5567572930996,181,50A0294,6.737,trafo  aan de  achterste  rithweg,-0040,+0069,Rijkswaterstaat
4.72428028968861,51.5766048307414,182,50A0302,4.701,huis  sprundelsebaan  50,+0026,+0023,Rijkswaterstaat
4.69807178145305,51.5639767389515,183,50A0303,5.81,boerderij  sprundelsebaan  167,+0087,+0027,Rijkswaterstaat
4.72927116356835,51.521863820529,184,50A0306,7.465,huis  boerderij  overasebaan  31,-0025,+0036,Rijkswaterstaat
4.70680118430808,51.5434882625372,185,50A0317,6.402,in pl  r / v  ingang huis cintelweg  23,+0025,+0026,Rijkswaterstaat
4.73648022122801,51.5426954735337,186,50A0325,3.101,stuw in AA of weerijs 60 m z-z tweegelandenbrugweg,-0197,-0012,Rijkswaterstaat
4.70389099581115,51.5730986524382,187,50A0336,4.838,Trafo a/d Liesstraat hoek Zoudlandseweg,-0033,+0030,Rijkswaterstaat
4.71319461838853,51.5449455544466,188,50A0339,6.168,"Huis Sintelweg 21, ingang R-pilaar",-0025,-0033,Rijkswaterstaat
4.73160017403322,51.5542189027597,189,50A0340,7.104,Trafo t/o RKK a/d Effenseweg,+0023,+0071,Rijkswaterstaat
4.72940195688168,51.5447053118533,190,50A0341,5.928,"Huis Oudlandstraatje 35, ingang Z-pilaar",-0032,+009,Rijkswaterstaat
4.71149953931957,51.5707248651097,191,50A0350,4.589,Huis Sprundelsebaan 100,+0016,+0027,Rijkswaterstaat
4.72888936917307,51.5781050422966,192,50A0801,4.441,liesboslaan  57  princeville  ,+0032,+0043,Gemeente Breda
4.73354126007354,51.5776547313986,193,50A0802,4.471,liesboslaan  19,+0036,-0040,Gemeente Breda
4.73607762554871,51.570801406052,194,50A0804,4.428,flat  tussen  ambachtenlaan en RW  16,+0053,+0068,Gemeente Breda
4.73679002841775,51.5704098621038,195,50A0805,3.664,garage isenburgstraat 67,+0048,+0033,Gemeente Breda
4.77108417836915,51.5219839404788,196,50B0047,4.49,huis galderseweg  2a,+0373,+0034,Rijkswaterstaat
4.73940664448969,51.5325722792335,197,50B0057,5.696,boerderij  overaseweg  270,-0031,+0034,Rijkswaterstaat
4.76215264768503,51.5281298246835,198,50B0062,6.781,boerderij Zwaantjesweg 2,-0045,+0054,Rijkswaterstaat
4.77815298676069,51.5278098279945,199,50B0063,3.683,boerderij Daasdonkseweg 5,-0051,+0023,Rijkswaterstaat
4.7922972788781,51.5305523888215,200,50B0064,5.649,boerderij Strijbeekseweg 33,-0064,+0066,Rijkswaterstaat
4.7928291445801,51.528451706136,201,50B0065,5.119,huis Strijbeekseweg 37,-0663,+0044,Rijkswaterstaat
4.80798375286907,51.5311615392744,202,50B0067,6.962,"huis ""Luchtenburg"" Chaamseweg 14",+0085,+0038,Rijkswaterstaat
4.74517934506201,51.5371255433529,203,50B0073,6.37,boerderij Overaseweg 240,-0049,+0053,Rijkswaterstaat
4.76740085913771,51.5342791970117,204,50B0076,6.962,"boerderij ""Johannahoeve"" Galderseweg 70",-0294,+0052,Rijkswaterstaat
4.77557076242309,51.5397964583981,205,50B0077,5.627,Schuur boerderij Galderseweg 85,+0488,+0053,Rijkswaterstaat
4.80723030991449,51.5371263852679,206,50B0083,5.888,sch bdr couwelaarseweg 4,-0326,+0037,Rijkswaterstaat
4.82919527589004,51.5384198429724,207,50B0085,7.498,huis Valkenburgseweg 4,-0067,+0039,Rijkswaterstaat
4.74625614570347,51.5445832273515,208,50B0089,5.693,boerderij Overaseweg 19,-0034,+0028,Rijkswaterstaat
