FID,aanlegjaar,categorie,leeftijd_doelgroep,max_valhoogte,omschrijving,toesteltype,geometrie
O10002_Speelobjecten_OD.179,2007,speeltoestel,0-6 jaar,55 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((177250.606 503115.603))
O10002_Speelobjecten_OD.180,2008,speeltoestel,0-6 jaar,55 cm,speelvoorziening,Veertoestel,MULTIPOINT ((176998.802 502726.666))
O10002_Speelobjecten_OD.181,2015,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((177850.219 504274.791))
O10002_Speelobjecten_OD.182,2001,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((177772.201 504277.797))
O10002_Speelobjecten_OD.183,2001,speeltoestel,0-6 jaar,30 cm,speelvoorziening,Zandbak,MULTIPOINT ((177781.742 504262.535))
O10002_Speelobjecten_OD.184,2001,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((177782.318 504273.367))
O10002_Speelobjecten_OD.185,2011,speeltoestel,0-6 jaar,34 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((177886.759 504727.729))
O10002_Speelobjecten_OD.186,2012,speeltoestel,6-12 jaar,110 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((177952.663 504400.315))
O10002_Speelobjecten_OD.187,2011,speeltoestel,6-12 jaar,35 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178229.821 504690.63))
O10002_Speelobjecten_OD.188,2011,speeltoestel,6-12 jaar,45 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178238.869 504688.25))
O10002_Speelobjecten_OD.189,1995,speeltoestel,6-12 jaar,86 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((175554.083 495964.817))
O10002_Speelobjecten_OD.190,2004,speeltoestel,12-18 jaar,150 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((175400.107 496115.359))
O10002_Speelobjecten_OD.191,2008,speeltoestel,0-6 jaar,70 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175834.406 495906.523))
O10002_Speelobjecten_OD.192,2008,speeltoestel,6-12 jaar,28 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((172244.645 508167.862))
O10002_Speelobjecten_OD.193,1999,speeltoestel,0-6 jaar,90 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((171906.892 509218.466))
O10002_Speelobjecten_OD.194,1999,speeltoestel,0-6 jaar,147 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((171910.338 509211.807))
O10002_Speelobjecten_OD.195,2016,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Draaiveertoestel,MULTIPOINT ((172165.809 508530.744))
O10002_Speelobjecten_OD.196,2011,speeltoestel,6-12 jaar,110 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((175846.632 496118.256))
O10002_Speelobjecten_OD.197,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Trimparcours,MULTIPOINT ((172313.367 507981.856))
O10002_Speelobjecten_OD.198,2012,speeltoestel,6-12 jaar,55 cm,speelvoorziening,Stappalen,MULTIPOINT ((172107.389 508290.878))
O10002_Speelobjecten_OD.199,2013,speeltoestel,6-12 jaar,285 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((172097.701 508916.658))
O10002_Speelobjecten_OD.200,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Schommel,MULTIPOINT ((172066.843 509590.984))
O10002_Speelobjecten_OD.201,2011,speeltoestel,0-6 jaar,37 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((172396.707 508711.036))
O10002_Speelobjecten_OD.202,2008,speeltoestel,6-12 jaar,190 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((172567.519 508702.228))
O10002_Speelobjecten_OD.203,2012,speeltoestel,6-12 jaar,198 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((172380.949 509130.741))
O10002_Speelobjecten_OD.204,2011,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Draaitoestel,MULTIPOINT ((172547.447 509147.788))
O10002_Speelobjecten_OD.205,2014,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((172141.859 509210.937))
O10002_Speelobjecten_OD.206,1999,speeltoestel,0-6 jaar,80 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((171910.927 509226.347))
O10002_Speelobjecten_OD.207,2014,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((171901.47 509216.764))
O10002_Speelobjecten_OD.208,2012,speeltoestel,6-12 jaar,52 cm,speelvoorziening,Speelprikkels,MULTIPOINT ((172060.196 508252.234))
O10002_Speelobjecten_OD.209,1999,speeltoestel,0-6 jaar,25 cm,speelvoorziening,Zandbak,MULTIPOINT ((171867.769 509197.663))
O10002_Speelobjecten_OD.210,2006,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Glijbaan,MULTIPOINT ((172031.092 508693.854))
O10002_Speelobjecten_OD.211,2015,speeltoestel,0-6 jaar,105 cm,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((172128.345 509232.233))
O10002_Speelobjecten_OD.212,2005,speeltoestel,6-12 jaar,98 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((172183.36 509286.269))
O10002_Speelobjecten_OD.213,2011,speeltoestel,0-6 jaar,55 cm,speelvoorziening,Stappalen,MULTIPOINT ((172397.247 508722.675))
O10002_Speelobjecten_OD.214,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((176474.2 503064.114))
O10002_Speelobjecten_OD.215,2012,speeltoestel,6-12 jaar,230 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175792.92 503374.894))
O10002_Speelobjecten_OD.216,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((176482.267 503082.238))
O10002_Speelobjecten_OD.217,2003,speeltoestel,0-6 jaar,35 cm,speelvoorziening,Zandbak,MULTIPOINT ((176623.42 503175.119))
O10002_Speelobjecten_OD.218,2008,speeltoestel,0-6 jaar,55 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((177248.626 503112.99))
O10002_Speelobjecten_OD.219,2003,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Mikpaal,MULTIPOINT ((176615.323 503116.597))
O10002_Speelobjecten_OD.220,2008,speeltoestel,6-12 jaar,141 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176499.202 503117.638))
O10002_Speelobjecten_OD.221,2005,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((176124.072 503290.301))
O10002_Speelobjecten_OD.222,2008,speeltoestel,6-12 jaar,175 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176987.795 502731.818))
O10002_Speelobjecten_OD.223,2009,speeltoestel,6-12 jaar,145 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177434.483 503859.8))
O10002_Speelobjecten_OD.224,2008,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((176993.593 502729.511))
O10002_Speelobjecten_OD.225,2008,speeltoestel,6-12 jaar,65 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((175794.632 503382.897))
O10002_Speelobjecten_OD.226,2010,speeltoestel,6-12 jaar,700 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((176467.286 503070.819))
O10002_Speelobjecten_OD.227,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((176350.55 503170.542))
O10002_Speelobjecten_OD.228,2008,speeltoestel,0-6 jaar,75 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((177248.415 503119.311))
O10002_Speelobjecten_OD.229,2005,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Kabelbaan,MULTIPOINT ((176143.459 503292.984))
O10002_Speelobjecten_OD.230,2008,speeltoestel,0-6 jaar,30 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((176896.647 502977.381))
O10002_Speelobjecten_OD.231,2008,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((176896.093 502981.5))
O10002_Speelobjecten_OD.232,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((176097.374 502923.459))
O10002_Speelobjecten_OD.233,2004,speeltoestel,12-18 jaar,40 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((177705.448 502729.655))
O10002_Speelobjecten_OD.234,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((177794.801 503115.94))
O10002_Speelobjecten_OD.235,2011,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((177835.312 502747.115))
O10002_Speelobjecten_OD.236,2004,speeltoestel,12-18 jaar,40 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((177712.763 502722.421))
O10002_Speelobjecten_OD.237,2005,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((177703.307 503281.235))
O10002_Speelobjecten_OD.238,2006,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Glijbaan,MULTIPOINT ((178005.317 503198.813))
O10002_Speelobjecten_OD.239,1997,speeltoestel,0-6 jaar,30 cm,speelvoorziening,Zandbak,MULTIPOINT ((177814.064 502742.621))
O10002_Speelobjecten_OD.240,1999,speeltoestel,6-12 jaar,216 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177774.662 502757.206))
O10002_Speelobjecten_OD.241,2005,speeltoestel,0-6 jaar,60 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177697.408 503292.62))
O10002_Speelobjecten_OD.242,2005,speeltoestel,6-12 jaar,195 cm,speelvoorziening,Glijbaan,MULTIPOINT ((177694.989 503283.198))
O10002_Speelobjecten_OD.243,2004,speeltoestel,12-18 jaar,90 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((177697.978 502717.141))
O10002_Speelobjecten_OD.244,1996,speeltoestel,0-6 jaar,28 cm,speelvoorziening,Zandbak,MULTIPOINT ((177782.218 502772.397))
O10002_Speelobjecten_OD.245,2011,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((177827.791 502743.446))
O10002_Speelobjecten_OD.246,2006,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((178001.873 503202.759))
O10002_Speelobjecten_OD.247,2005,speeltoestel,6-12 jaar,280 cm,speelvoorziening,Ruimtenet,MULTIPOINT ((177843.344 503308.788))
O10002_Speelobjecten_OD.248,2006,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177995.399 503196.542))
O10002_Speelobjecten_OD.249,2005,speeltoestel,0-6 jaar,51 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177697.82 503289.602))
O10002_Speelobjecten_OD.250,2008,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177777.246 502767.473))
O10002_Speelobjecten_OD.251,2007,speeltoestel,0-6 jaar,48 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177776.77 502762.14))
O10002_Speelobjecten_OD.252,2005,speeltoestel,6-12 jaar,125 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((177706.74 503288.651))
O10002_Speelobjecten_OD.253,2006,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((178000.87 503198.417))
O10002_Speelobjecten_OD.254,1997,speeltoestel,0-6 jaar,48 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((177824.795 502737.179))
O10002_Speelobjecten_OD.255,1999,speeltoestel,0-6 jaar,25 cm,speelvoorziening,Speelelement,MULTIPOINT ((177646.798 502778.653))
O10002_Speelobjecten_OD.256,2011,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Schommel,MULTIPOINT ((176262.467 496527.716))
O10002_Speelobjecten_OD.257,2011,speeltoestel,Niet ingevuld,147 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((176252.467 496535.144))
O10002_Speelobjecten_OD.258,2008,speeltoestel,6-12 jaar,130 cm,speelvoorziening,Schommel,MULTIPOINT ((175834.943 495917.463))
O10002_Speelobjecten_OD.259,2004,speeltoestel,12-18 jaar,40 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((175395.246 496125.966))
O10002_Speelobjecten_OD.260,2010,speeltoestel,0-6 jaar,51 cm,speelvoorziening,Veertoestel,MULTIPOINT ((176166.719 496041.802))
O10002_Speelobjecten_OD.261,2008,speeltoestel,6-12 jaar,260 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((176129.273 495787.309))
O10002_Speelobjecten_OD.262,2010,speeltoestel,0-6 jaar,140 cm,speelvoorziening,Glijbaan,MULTIPOINT ((175637.342 496271.208))
O10002_Speelobjecten_OD.263,2011,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175843.264 496121.026))
O10002_Speelobjecten_OD.264,2004,speeltoestel,12-18 jaar,32 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((175389.294 496132.418))
O10002_Speelobjecten_OD.265,2011,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((176256.086 496523.525))
O10002_Speelobjecten_OD.266,2008,speeltoestel,6-12 jaar,65 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((176128.337 495794.406))
O10002_Speelobjecten_OD.267,2008,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((176110.243 495791.676))
O10002_Speelobjecten_OD.268,2011,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176267.133 496534.097))
O10002_Speelobjecten_OD.269,2011,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((176250.752 496526.287))
O10002_Speelobjecten_OD.270,2017,speeltoestel,6-12 jaar,85 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((175630.636 496278.193))
O10002_Speelobjecten_OD.271,2011,speeltoestel,6-12 jaar,147 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175851.497 496123.646))
O10002_Speelobjecten_OD.272,2008,speeltoestel,0-6 jaar,115 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175832.594 495910.252))
O10002_Speelobjecten_OD.273,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((176473.048 503074.905))
O10002_Speelobjecten_OD.274,2008,speeltoestel,0-6 jaar,70 cm,speelvoorziening,Veertoestel,MULTIPOINT ((176889.146 502984.206))
O10002_Speelobjecten_OD.275,2010,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Skatetoestel,MULTIPOINT ((176470.743 503065.162))
O10002_Speelobjecten_OD.276,2012,speeltoestel,6-12 jaar,66 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175782.84 503382.132))
O10002_Speelobjecten_OD.277,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((176479.648 503075.114))
O10002_Speelobjecten_OD.278,2012,speeltoestel,0-6 jaar,41 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175793.059 503387.031))
O10002_Speelobjecten_OD.279,2005,speeltoestel,0-6 jaar,110 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((176132.447 503291.732))
O10002_Speelobjecten_OD.280,2017,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Draaiveertoestel,MULTIPOINT ((175787.743 503387.317))
O10002_Speelobjecten_OD.281,2008,speeltoestel,6-12 jaar,100 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((176886.256 502979.533))
O10002_Speelobjecten_OD.282,2012,speeltoestel,6-12 jaar,203 cm,speelvoorziening,Vogelnestschommel,MULTIPOINT ((176088.458 502933.221))
O10002_Speelobjecten_OD.283,2009,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177435.674 503876.318))
O10002_Speelobjecten_OD.284,2008,speeltoestel,0-6 jaar,60 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((177005.466 502729.1))
O10002_Speelobjecten_OD.285,2008,speeltoestel,0-6 jaar,45 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((177000.391 502730.565))
O10002_Speelobjecten_OD.286,2010,speeltoestel,0-6 jaar,60 cm,speelvoorziening,Speelprikkels,MULTIPOINT ((175532.019 505259.744))
O10002_Speelobjecten_OD.287,2010,speeltoestel,0-6 jaar,19 cm,speelvoorziening,Draaitoestel,MULTIPOINT ((175527.138 505261.297))
O10002_Speelobjecten_OD.288,2012,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((175885.711 505368.753))
O10002_Speelobjecten_OD.289,2011,speeltoestel,6-12 jaar,60 cm,speelvoorziening,Bokspringpaal,MULTIPOINT ((174958.672 505664.12))
O10002_Speelobjecten_OD.290,2011,speeltoestel,6-12 jaar,117 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((174957.314 505652.824))
O10002_Speelobjecten_OD.291,2010,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Klimelement,MULTIPOINT ((175348.902 505566.859))
O10002_Speelobjecten_OD.292,2010,speeltoestel,6-12 jaar,263 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((175291.592 505560.13))
O10002_Speelobjecten_OD.293,2011,speeltoestel,0-6 jaar,60 cm,speelvoorziening,Glijbaan,MULTIPOINT ((175713.904 504778.693))
O10002_Speelobjecten_OD.294,2011,speeltoestel,6-12 jaar,30 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((175711.242 504764.876))
O10002_Speelobjecten_OD.295,2010,speeltoestel,6-12 jaar,165 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((175563.375 505187.416))
O10002_Speelobjecten_OD.296,2001,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Zandbak,MULTIPOINT ((175796.118 505270.459))
O10002_Speelobjecten_OD.297,2001,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Zandbak,MULTIPOINT ((175894.183 505374.189))
O10002_Speelobjecten_OD.298,2001,speeltoestel,6-12 jaar,0 cm,speelvoorziening,Mikpaal,MULTIPOINT ((175781.237 505298.876))
O10002_Speelobjecten_OD.299,Niet ingevuld,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Veertoestel,MULTIPOINT ((175838.634 505362.894))
O10002_Speelobjecten_OD.300,2011,speeltoestel,0-6 jaar,120 cm,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((174956.018 505675.323))
O10002_Speelobjecten_OD.301,2011,speeltoestel,6-12 jaar,183 cm,speelvoorziening,Ruimtenet,MULTIPOINT ((174961.158 505640.228))
O10002_Speelobjecten_OD.302,2010,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Speelprikkels,MULTIPOINT ((175525.142 505259.744))
O10002_Speelobjecten_OD.303,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((178336.678 503701.025))
O10002_Speelobjecten_OD.304,2008,speeltoestel,6-12 jaar,104 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((178025.414 503766.312))
O10002_Speelobjecten_OD.305,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Glijbaan,MULTIPOINT ((178343.847 503705.851))
O10002_Speelobjecten_OD.306,2006,speeltoestel,0-6 jaar,88 cm,speelvoorziening,Glijbaan,MULTIPOINT ((178041.307 503370.084))
O10002_Speelobjecten_OD.307,2007,speeltoestel,0-6 jaar,45 cm,speelvoorziening,Veertoestel,MULTIPOINT ((178133.847 503684.861))
O10002_Speelobjecten_OD.308,1999,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((178155.134 503857.11))
O10002_Speelobjecten_OD.309,2015,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Schommel,MULTIPOINT ((178335.575 503708.415))
O10002_Speelobjecten_OD.310,2001,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((178139.664 503682.192))
O10002_Speelobjecten_OD.311,2001,speeltoestel,0-6 jaar,100 cm,speelvoorziening,Wiptoestel,MULTIPOINT ((178152.033 503862.658))
O10002_Speelobjecten_OD.312,2002,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Evenwichtsbalk,MULTIPOINT ((177950.024 503643.192))
O10002_Speelobjecten_OD.313,2009,speeltoestel,0-6 jaar,30 cm,speelvoorziening,Zandbak,MULTIPOINT ((177991.286 503776.488))
O10002_Speelobjecten_OD.314,2012,speeltoestel,6-12 jaar,30 cm,speelvoorziening,Trimparcours,MULTIPOINT ((178305.359 503477.315))
O10002_Speelobjecten_OD.315,2012,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Combinatietoestel,MULTIPOINT ((178285.21 503454.414))
O10002_Speelobjecten_OD.316,2007,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Veertoestel,MULTIPOINT ((178147.941 503858.822))
O10002_Speelobjecten_OD.317,1999,speeltoestel,0-6 jaar,115 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((177941.764 503683.248))
O10002_Speelobjecten_OD.318,2012,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((178282.697 503460.518))
O10002_Speelobjecten_OD.319,2006,speeltoestel,6-12 jaar,130 cm,speelvoorziening,Schommel,MULTIPOINT ((178039.749 503365.143))
O10002_Speelobjecten_OD.320,2013,speeltoestel,6-12 jaar,190 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177649.428 502786.308))
O10002_Speelobjecten_OD.321,2011,speeltoestel,0-6 jaar,54 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177158.788 504431.207))
O10002_Speelobjecten_OD.322,2011,speeltoestel,0-6 jaar,60 cm,speelvoorziening,Speelhuisje,MULTIPOINT ((177155.025 504440.823))
O10002_Speelobjecten_OD.323,2011,speeltoestel,6-12 jaar,140 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((177154.561 504431.161))
O10002_Speelobjecten_OD.324,2007,speeltoestel,0-6 jaar,40 cm,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((177434.297 503567.779))
O10002_Speelobjecten_OD.325,2011,speeltoestel,0-6 jaar,50 cm,speelvoorziening,Veertoestel,MULTIPOINT ((175542.223 505400.857))
O10002_Speelobjecten_OD.326,2011,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Speelprikkels,MULTIPOINT ((175538.606 505397.156))
O10002_Speelobjecten_OD.327,2011,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Speelprikkels,MULTIPOINT ((175553.449 505397.156))
O10002_Speelobjecten_OD.328,2011,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Fantasiespeelstruc.,MULTIPOINT ((175547.753 505399.859))
O10002_Speelobjecten_OD.329,Niet ingevuld,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Balanceerparcours,MULTIPOINT ((176906.599 504428.763))
O10002_Speelobjecten_OD.330,Niet ingevuld,speeltoestel,4-12 jaar,Niet ingevuld,speelvoorziening,Glijbaan,MULTIPOINT ((176908.294 504437.1))
O10002_Speelobjecten_OD.331,Niet ingevuld,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Klimelement,MULTIPOINT ((176900.538 504441.529))
O10002_Speelobjecten_OD.332,2005,speeltoestel,6-12 jaar,150 cm,speelvoorziening,Schommel,MULTIPOINT ((178011.285 503303.447))
O10002_Speelobjecten_OD.333,2015,speeltoestel,0-6 jaar,147 cm,speelvoorziening,Combinatietoestel,MULTIPOINT ((178021.203 503299.281))
O10002_Speelobjecten_OD.334,2003,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((178020.249 503293.985))
O10002_Speelobjecten_OD.335,2019,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Duikeltoestel,MULTIPOINT ((178013.003 502849.732))
O10002_Speelobjecten_OD.336,2019,speeltoestel,5-12 jaar,100 cm,speelvoorziening,Balanceerparcours,MULTIPOINT ((178015.843 502848.538))
O10002_Speelobjecten_OD.337,2019,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Schommel,MULTIPOINT ((178013.279 502844.666))
O10002_Speelobjecten_OD.338,2019,speeltoestel,5-12 jaar,100 cm,speelvoorziening,Balanceerparcours,MULTIPOINT ((178019.392 502847.479))
O10002_Speelobjecten_OD.339,2019,speeltoestel,5-12 jaar,Niet ingevuld,speelvoorziening,Speeltoestel,MULTIPOINT ((178079.739 504782.917))
O10002_Speelobjecten_OD.340,2019,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Speelhuisje,MULTIPOINT ((178051.749 504765.44))
O10002_Speelobjecten_OD.341,Niet ingevuld,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,,MULTIPOINT ((178058.539 504763.405))
O10002_Speelobjecten_OD.342,2019,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Speelhuisje,MULTIPOINT ((178065.717 504758.17))
O10002_Speelobjecten_OD.343,2019,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Speeltoestel,MULTIPOINT ((178060.285 504771.838))
O10002_Speelobjecten_OD.344,2019,speeltoestel,5-12 jaar,Niet ingevuld,speelvoorziening,Speeltoestel,MULTIPOINT ((178071.207 504744.778))
O10002_Speelobjecten_OD.345,2019,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Zwerfkeien,MULTIPOINT ((178055.196 504770.101))
O10002_Speelobjecten_OD.346,2019,speeltoestel,5-12 jaar,Niet ingevuld,speelvoorziening,Speeltoestel,MULTIPOINT ((178054.761 504793.769))
O10002_Speelobjecten_OD.347,2019,speeltoestel,Niet ingevuld,Niet ingevuld,speelvoorziening,Schommel,MULTIPOINT ((178053.495 504751.288))
O10002_Speelobjecten_OD.348,2008,speeltoestel,0-6 jaar,48 cm,speelvoorziening,Veertoestel,MULTIPOINT ((177137.315 505719.098))
O10002_Speelobjecten_OD.349,2002,speeltoestel,0-6 jaar,110 cm,speelvoorziening,Duikeltoestel,MULTIPOINT ((177136.96 505718.129))
O10002_Speelobjecten_OD.350,Niet ingevuld,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Skatetoestel,MULTIPOINT ((176735.519 505166.074))
O10002_Speelobjecten_OD.351,2008,speeltoestel,6-12 jaar,120 cm,speelvoorziening,Klimtoestel,MULTIPOINT ((176128.892 505251.899))
O10002_Speelobjecten_OD.352,2019,speeltoestel,0-6 jaar,Niet ingevuld,speelvoorziening,Veertoestel,MULTIPOINT ((171709.555 509513.015))
O10002_Speelobjecten_OD.353,Niet ingevuld,speeltoestel,12-18 jaar,140 cm,speelvoorziening,Schommel,MULTIPOINT ((171707.572 509521.144))
O10002_Speelobjecten_OD.354,2019,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Duikeltoestel,MULTIPOINT ((171713.945 509499.392))
O10002_Speelobjecten_OD.355,2019,speeltoestel,6-12 jaar,Niet ingevuld,speelvoorziening,Wiptoestel,MULTIPOINT ((171712.462 509506.383))
O10002_Speelobjecten_OD.356,2021,speeltoestel,5-12 jaar,Niet ingevuld,speelvoorziening,Speelprikkels,MULTIPOINT ((176320.007 503183.561))
