Kenteken,As nummer,Aantal assen,Aangedreven as,Hefas,Plaatscode as,Spoorbreedte,Weggedrag code,Wettelijk toegestane maximum aslast,Technisch toegestane maximum aslast,Geremde as indicator,Afstand tot volgende as voertuig,Afstand tot volgende as voertuig minimum,Afstand tot volgende as voertuig maximum,Maximum last as technisch maximum,Maximum last as technisch minimum
0011ZZ,2,5,,N,A,,,9000,10000,,,,,,
0011ZZ,3,5,,N,A,,,9000,10000,,,,,,
0011ZZ,4,5,,N,A,,,9000,10000,,,,,,
0011ZZ,5,5,,N,A,,,9000,10000,,,,,,
0012GM,1,2,,,V,,,,,,,,,,
0012GM,2,2,,,A,,,,,,,,,,
0012UJ,1,2,,,V,,,,,,,,,,
0012UJ,2,2,,,A,,,,,,,,,,
0012VM,1,2,,,V,,,,,,,,,,
0012VM,2,2,,,A,,,,,,,,,,
0012WG,1,1,,N,A,,,890,890,,,,,,
0012WP,1,1,,N,A,,,2000,2000,,,,,,
0012WT,1,1,,N,A,,,1000,1000,,,,,,
0012WZ,1,1,,N,A,,,1000,1000,,,,,,
0012XK,1,2,,,V,,,,,,,,,,
0012XK,2,2,,,A,,,,,,,,,,
0012ZZ,1,5,,N,A,,,9000,10000,,,,,,
0012ZZ,2,5,,N,A,,,9000,10000,,,,,,
0012ZZ,3,5,,N,A,,,9000,10000,,,,,,
0012ZZ,4,5,,N,A,,,9000,10000,,,,,,
0012ZZ,5,5,,N,A,,,9000,10000,,,,,,
0013BR,1,2,,,V,,,,,,,,,,
0013BR,2,2,,,A,,,,,,,,,,
0013HX,1,2,,,V,,,,,,,,,,
0013HX,2,2,,,A,,,,,,,,,,
0013JF,1,2,,,V,,,,,,,,,,
0013JF,2,2,,,A,,,,,,,,,,
0013JK,1,2,,,V,,,,,,,,,,
0013JK,2,2,,,A,,,,,,,,,,
0013PL,1,2,,,V,,,,,,,,,,
0013PL,2,2,,,A,,,,,,,,,,
0013WN,1,1,,N,A,,,900,900,,,,,,
0013WS,1,1,,N,A,,,850,850,,,,,,
0013WU,1,1,,N,A,,,2000,2000,,,,,,
0013WV,1,1,,N,A,,,1300,1300,,,,,,
0013WX,1,1,,N,A,,,2000,2000,,,,,,
0013ZB,1,2,,,V,,,1380,1380,,,,,,
0013ZB,2,2,,,A,,,3150,3150,,,,,,
