BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW;TOTAAL
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO KL lj 3-4;Economie;Economie en ondernemen;6465;LWOO KB Economie en ondernemen;0;0;0;0;0;0;1;0;0;0;0;0;1
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6121;VMBO KB Produceren, installeren en energie;0;0;0;0;13;16;8;0;0;0;0;0;37
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6621;VMBO KB Zorg en welzijn;0;0;0;0;18;9;19;25;0;0;0;0;71
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6665;LWOO KB Zorg en welzijn;0;0;0;0;0;0;1;0;0;0;0;0;1
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;9;11;8;13;0;0;0;0;41
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO TL lj 3-4;Techniek;N.v.t.;0470;MAVO/Theor Lw-Profiel Techniek;0;0;0;0;10;11;14;3;0;0;0;0;38
13ZU;02;Reitdiepcollege;GRONINGEN;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;9;10;5;15;0;0;0;0;39
13ZU;03;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0023;Ljvb op VMBO-Alle Lw;27;27;0;0;0;0;0;0;0;0;0;0;54
13ZU;03;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0031;Ljvb op VMBO-BBg Lw;11;14;9;10;0;0;0;0;0;0;0;0;44
13ZU;03;Reitdiepcollege;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0032;Ljvb op VMBO-Kbg Lw;0;0;6;1;0;0;0;0;0;0;0;0;7
13ZU;03;Reitdiepcollege;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6155;LWOO BB Produceren, installeren en energie;0;0;0;0;1;0;0;0;0;0;0;0;1
13ZU;03;Reitdiepcollege;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6665;LWOO KB Zorg en welzijn;0;0;0;0;1;0;0;0;0;0;0;0;1
14RP;00;CSG;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0011;Ljvb op HAVO/VMBO-Th/Gm Lw;1;0;0;0;0;0;0;0;0;0;0;0;1
14RP;00;CSG;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0016;Ljvb op VWO/HAVO/VMBO-Th/Gm Lw;82;78;0;0;0;0;0;0;0;0;0;0;160
14RP;00;CSG;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;22;26;0;0;0;0;0;0;0;0;48
14RP;00;CSG;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0300;HAVO;0;0;43;42;0;0;0;0;0;0;0;0;85
14RP;00;CSG;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;0;0;24;24;0;0;0;0;0;0;0;0;48
14RP;00;CSG;GRONINGEN;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;3;7;2;14;0;0;26
14RP;00;CSG;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;22;17;19;21;0;0;79
14RP;00;CSG;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;16;17;4;13;0;0;50
14RP;00;CSG;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;8;3;3;3;0;0;17
14RP;00;CSG;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;19;28;0;0;0;0;0;0;47
14RP;00;CSG;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;30;55;0;0;0;0;0;0;85
14RP;00;CSG;GRONINGEN;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;45;37;31;11;0;0;0;0;124
14RP;00;CSG;GRONINGEN;VMBO TL lj 3-4;Landbouw;N.v.t.;0473;MAVO/Theor Lw-Profiel Landbouw;0;0;0;0;0;0;1;0;0;0;0;0;1
14RP;00;CSG;GRONINGEN;VMBO TL lj 3-4;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;0;0;0;0;0;0;1;0;0;0;0;0;1
14RP;00;CSG;GRONINGEN;VMBO TL lj 3-4;Techniek;N.v.t.;0470;MAVO/Theor Lw-Profiel Techniek;0;0;0;0;0;0;9;1;0;0;0;0;10
14RP;00;CSG;GRONINGEN;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;0;0;11;23;0;0;0;0;34
14RP;00;CSG;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;1;1;2;5;1;1;11
14RP;00;CSG;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;5;6;5;5;2;2;25
14RP;00;CSG;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;3;5;1;6;0;6;21
14RP;00;CSG;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;7;3;3;10;3;1;27
14RP;01;CSG - locatie Augustinus;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0011;Ljvb op HAVO/VMBO-Th/Gm Lw;58;43;0;0;0;0;0;0;0;0;0;0;101
14RP;01;CSG - locatie Augustinus;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;38;41;0;0;0;0;0;0;0;0;0;0;79
14RP;01;CSG - locatie Augustinus;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;18;21;32;41;0;0;0;0;0;0;0;0;112
14RP;01;CSG - locatie Augustinus;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0300;HAVO;0;0;50;52;0;0;0;0;0;0;0;0;102
14RP;01;CSG - locatie Augustinus;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;0;0;44;29;0;0;0;0;0;0;0;0;73
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;1;6;5;7;0;0;19
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;35;39;25;20;0;0;119
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;12;26;10;19;0;0;67
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;20;6;18;4;0;0;48
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;0;0;5;2;0;0;7
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;6;13;0;0;19
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;29;21;0;0;0;0;0;0;50
14RP;01;CSG - locatie Augustinus;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;44;58;0;0;0;0;0;0;102
14RP;01;CSG - locatie Augustinus;GRONINGEN;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;57;49;33;25;0;0;0;0;164
14RP;01;CSG - locatie Augustinus;GRONINGEN;VMBO TL lj 3-4;Landbouw;N.v.t.;0473;MAVO/Theor Lw-Profiel Landbouw;0;0;0;0;0;0;0;1;0;0;0;0;1
14RP;01;CSG - locatie Augustinus;GRONINGEN;VMBO TL lj 3-4;Techniek;N.v.t.;0470;MAVO/Theor Lw-Profiel Techniek;0;0;0;0;0;0;14;7;0;0;0;0;21
14RP;01;CSG - locatie Augustinus;GRONINGEN;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;0;0;4;13;0;0;0;0;17
14RP;01;CSG - locatie Augustinus;GRONINGEN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4045;VMBO-TL naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;6;5;0;0;0;0;11
14RP;01;CSG - locatie Augustinus;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;0;5;0;4;0;10;19
14RP;01;CSG - locatie Augustinus;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;12;12;11;6;8;6;55
14RP;01;CSG - locatie Augustinus;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;1;17;7;13;4;6;48
14RP;01;CSG - locatie Augustinus;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;7;7;7;3;22;8;54
14RP;01;CSG - locatie Augustinus;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4011;VWO-ATH NW naar VAVO;0;0;0;0;0;0;0;0;0;0;3;5;8
14RP;01;CSG - locatie Augustinus;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4016;VWO-ATH NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;0;0;6;4;10
14RP;02;CSG - locatieKluiverboom;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0023;Ljvb op VMBO-Alle Lw;16;15;35;20;0;0;0;0;0;0;0;0;86
14RP;02;CSG - locatieKluiverboom;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;3;2;0;0;0;0;0;0;0;0;0;0;5
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO BL lj 3-4;Techniek;Mobiliteit en transport;6211;VMBO BB Mobiliteit en transport;0;0;0;0;5;0;1;0;0;0;0;0;6
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO BL lj 3-4;Techniek;Mobiliteit en transport;6255;LWOO BB Mobiliteit en transport;0;0;0;0;0;0;1;0;0;0;0;0;1
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6111;VMBO BB Produceren, installeren en energie;0;0;0;0;3;0;1;0;0;0;0;0;4
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6155;LWOO BB Produceren, installeren en energie;0;0;0;0;0;0;6;1;0;0;0;0;7
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6611;VMBO BB Zorg en welzijn;0;0;0;0;3;10;3;4;0;0;0;0;20
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6655;LWOO BB Zorg en welzijn;0;0;0;0;0;1;0;3;0;0;0;0;4
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO KL lj 3-4;Techniek;Mobiliteit en transport;6221;VMBO KB Mobiliteit en transport;0;0;0;0;7;0;4;0;0;0;0;0;11
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6121;VMBO KB Produceren, installeren en energie;0;0;0;0;5;0;3;1;0;0;0;0;9
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6165;LWOO KB Produceren, installeren en energie;0;0;0;0;0;0;3;0;0;0;0;0;3
14RP;02;CSG - locatieKluiverboom;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6621;VMBO KB Zorg en welzijn;0;0;0;0;1;24;5;13;0;0;0;0;43
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0023;Ljvb op VMBO-Alle Lw;36;10;38;11;0;0;0;0;0;0;0;0;95
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0033;Ljvb op VMBO-Bbg/Kbg Lw;32;17;15;23;0;0;0;0;0;0;0;0;87
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Economie;Economie en ondernemen;6411;VMBO BB Economie en ondernemen;0;0;0;0;5;6;1;0;0;0;0;0;12
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Economie;Economie en ondernemen;6455;LWOO BB Economie en ondernemen;0;0;0;0;0;0;2;0;0;0;0;0;2
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Techniek;Bouwen, wonen en interieur;6011;VMBO BB Bouwen, wonen en interieur;0;0;0;0;11;3;2;0;0;0;0;0;16
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Techniek;Bouwen, wonen en interieur;6055;LWOO BB Bouwen, wonen en interieur;0;0;0;0;0;0;5;0;0;0;0;0;5
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6111;VMBO BB Produceren, installeren en energie;0;0;0;0;8;0;6;0;0;0;0;0;14
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6155;LWOO BB Produceren, installeren en energie;0;0;0;0;0;0;7;0;0;0;0;0;7
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6611;VMBO BB Zorg en welzijn;0;0;0;0;5;13;4;7;0;0;0;0;29
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6655;LWOO BB Zorg en welzijn;0;0;0;0;0;0;1;6;0;0;0;0;7
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO KL lj 3-4;Economie;Economie en ondernemen;6421;VMBO KB Economie en ondernemen;0;0;0;0;5;1;5;3;0;0;0;0;14
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO KL lj 3-4;Techniek;Bouwen, wonen en interieur;6021;VMBO KB Bouwen, wonen en interieur;0;0;0;0;10;4;4;1;0;0;0;0;19
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO KL lj 3-4;Techniek;Bouwen, wonen en interieur;6065;LWOO KB Bouwen, wonen en interieur;0;0;0;0;0;0;1;0;0;0;0;0;1
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6121;VMBO KB Produceren, installeren en energie;0;0;0;0;2;1;6;0;0;0;0;0;9
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6621;VMBO KB Zorg en welzijn;0;0;0;0;10;10;7;4;0;0;0;0;31
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6665;LWOO KB Zorg en welzijn;0;0;0;0;0;0;2;0;0;0;0;0;2
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO TL lj 3-4;Economie;N.v.t.;0472;MAVO/Theor Lw-Profiel Economie;0;0;0;0;16;6;2;0;0;0;0;0;24
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO TL lj 3-4;Economie;N.v.t.;2213;LWOO/Theor Lw-Profiel Economie;0;0;0;0;0;0;1;0;0;0;0;0;1
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO TL lj 3-4;Techniek;N.v.t.;0470;MAVO/Theor Lw-Profiel Techniek;0;0;0;0;0;0;15;5;0;0;0;0;20
14RP;03;CSG - locatie Diamantlaan;GRONINGEN;VMBO TL lj 3-4;Techniek;N.v.t.;2211;LWOO/Theor Lw-Profiel Techniek;0;0;0;0;0;0;1;0;0;0;0;0;1
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0016;Ljvb op VWO/HAVO/VMBO-Th/Gm Lw;58;112;67;91;0;0;0;0;0;0;0;0;328
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;11;51;2;13;0;0;77
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;15;19;7;10;0;0;51
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;13;15;5;3;0;0;36
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;20;6;2;7;0;0;35
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0374;HAVO Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;0;0;0;1;0;0;1
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;0;0;1;2;0;0;3
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0100;VWO-ATHENEUMSTROOM;0;0;0;0;18;32;0;0;0;0;0;0;50
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0300;HAVO;0;0;0;0;30;40;0;0;0;0;0;0;70
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VMBO TL lj 3-4;N.v.t.;N.v.t.;0400;MAVO/Theor Lw-VMBO;0;0;0;0;0;0;13;34;0;0;0;0;47
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VMBO TL lj 3-4;N.v.t.;N.v.t.;2210;LWOO MAVO/Theor Lw;0;0;0;0;0;0;2;0;0;0;0;0;2
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;32;43;0;0;0;0;0;0;75
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4040;VMBO-TL naar VAVO;0;0;0;0;0;0;0;2;0;0;0;0;2
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VMBO uitbest. aan VAVO;N.v.t.;N.v.t.;4045;VMBO-TL naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;1;1;0;0;0;0;2
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0173;VWO-ATH Prf Cul/Maat;0;0;0;0;0;0;2;13;1;12;2;9;39
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0172;VWO-ATH Prf Ec/Maat;0;0;0;0;0;0;2;7;8;3;3;6;29
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0171;VWO-ATH Prf Nat/Gezond;0;0;0;0;0;0;3;7;0;5;2;4;21
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0170;VWO-ATH Prf Nat/Tech;0;0;0;0;0;0;13;8;4;5;1;8;39
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0174;VWO-ATH Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;0;0;0;0;1;2;3
16NK;01;Vrije school Zutphen-Groningen;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4011;VWO-ATH NW naar VAVO;0;0;0;0;0;0;0;0;0;0;0;3;3
17SG;00;Heyerdahl College;GRONINGEN;Praktijkonderwijs alle vj;N.v.t.;N.v.t.;0090;Praktijkonderwijs;28;12;26;10;10;8;13;10;8;10;10;13;158
20BV;00;Praedinius Gymnasium;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0200;VWO-GYMNASIUMSTROOM;73;85;66;74;0;0;0;0;0;0;0;0;298
20BV;00;Praedinius Gymnasium;GRONINGEN;HAVO/VWO lj 3;N.v.t.;N.v.t.;0200;VWO-GYMNASIUMSTROOM;0;0;0;0;77;65;0;0;0;0;0;0;142
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Cultuur en Maatschappij;0273;VWO-GYM Prf Cul/Maat;0;0;0;0;0;0;0;0;11;14;5;21;51
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij;0272;VWO-GYM Prf Ec/Maat;0;0;0;0;0;0;0;0;14;9;14;8;45
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0279;VWO-GYM Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;15;19;0;0;3;3;40
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid;0271;VWO-GYM Prf Nat/Gezond;0;0;0;0;0;0;9;9;24;23;23;30;118
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid / Cultuur en Maatschappij;0277;VWO-GYM Prf Nat/Gezond & Cul/Maat;0;0;0;0;0;0;0;2;0;0;0;0;2
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Gezondheid / Economie en Maatschappij;0278;VWO-GYM Prf Nat/Gezond & Ec/Maat;0;0;0;0;0;0;1;0;0;0;0;0;1
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek;0270;VWO-GYM Prf Nat/Tech;0;0;0;0;0;0;5;0;27;16;29;19;96
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO lj 4-6;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0274;VWO-GYM Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;45;29;1;0;2;1;78
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4011;VWO-ATH NW naar VAVO;0;0;0;0;0;0;0;0;2;0;0;0;2
20BV;00;Praedinius Gymnasium;GRONINGEN;VWO uitbest. aan VAVO;N.v.t.;N.v.t.;4026;VWO-GYM NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;0;0;2;3;5
20EM;00;H.N. Werkman College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;27;28;23;32;0;0;0;0;0;0;0;0;110
20EM;00;H.N. Werkman College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0017;Ljvb op VWO;53;60;53;59;0;0;0;0;0;0;0;0;225
20EM;00;H.N. Werkman College;GRONINGEN;Brugjaar 1-2;N.v.t.;N.v.t.;0300;HAVO;36;48;33;53;0;0;0;0;0;0;0;0;170
20EM;00;H.N. Werkman College;GRONINGEN;HAVO lj 4-5;N.v.t.;Cultuur en Maatschappij;0373;HAVO Prf Cul/Maat;0;0;0;0;0;0;3;9;6;17;0;0;35
20EM;00;H.N. Werkman College;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij;0372;HAVO Prf Ec/Maat;0;0;0;0;0;0;36;31;37;21;0;0;125
20EM;00;H.N. Werkman College;GRONINGEN;HAVO lj 4-5;N.v.t.;Economie en Maatschappij / Cultuur en Maatschappij;0379;HAVO Prf Ec/Maat & Cul/Maat;0;0;0;0;0;0;0;0;2;8;0;0;10
20EM;00;H.N. Werkman College;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Gezondheid;0371;HAVO Prf Nat/Gezond;0;0;0;0;0;0;15;25;19;28;0;0;87
20EM;00;H.N. Werkman College;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek;0370;HAVO Prf Nat/Tech;0;0;0;0;0;0;15;2;4;1;0;0;22
20EM;00;H.N. Werkman College;GRONINGEN;HAVO lj 4-5;N.v.t.;Natuur en Techniek / Natuur en Gezondheid;0374;HAVO Prf Nat/Tech & Nat/Gezond;0;0;0;0;0;0;0;0;13;13;0;0;26
20EM;00;H.N. Werkman College;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4031;HAVO NW naar VAVO;0;0;0;0;0;0;0;0;2;3;0;0;5
20EM;00;H.N. Werkman College;GRONINGEN;HAVO uitbest. aan VAVO;N.v.t.;N.v.t.;4036;HAVO NW naar VAVO teruggekeerd gezakt;0;0;0;0;0;0;0;0;4;8;0;0;12
